	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L
CHRAC1	571.05	599.49	500.46	599.49	441.64	579.04	450.94	503.95	571.05	587.13	466.88	583.07	638.15	624.99	543.96	967.76	802.41	947.83	591.22	651.58	860.08	909.17	860.08	679.29	665.29	854.13	848.22	679.29	860.08	854.13	660.68	718.08	825.0	651.58	848.22	591.22	638.15	629.35	872.1	764.36	698.41	954.43	830.75	848.22	802.41	947.83	728.11	934.76	830.75	813.63	909.17	620.67	830.75	723.08	743.43
CLSTN2	4.31	2.34	8.78	13.93	3.35	4.35	2.39	6.06	4.7	4.13	4.06	5.77	1.89	7.75	12.36	8.65	30.12	75.64	2.23	5.63	64.8	50.27	80.57	55.49	25.91	42.71	29.06	23.42	26.86	57.89	76.71	41.22	30.34	19.53	55.49	19.53	29.7	9.27	33.3	67.12	67.12	14.67	45.85	34.02	32.59	55.49	22.92	6.73	43.63	48.52	43.63	24.99	8.78	27.05	60.39
CRISPLD2	72.01	22.26	131.51	234.57	65.72	155.5	118.43	195.72	155.5	114.36	78.34	57.89	59.13	148.09	139.07	802.41	361.04	2271.4	211.31	389.72	525.39	1359.57	1477.58	1135.2	420.68	543.96	429.54	454.09	1529.73	277.2	688.78	1447.15	264.03	241.19	2209.26	159.9	309.83	327.56	1059.11	1295.13	2047.0	236.21	1151.06	543.96	267.73	1617.0	583.07	237.86	409.15	3039.3	1135.2	228.13	379.04	1127.35	647.07
CSTF2T	197.09	244.57	180.02	164.42	221.86	152.28	117.6	172.65	237.86	157.68	173.85	175.07	161.02	199.85	234.57	312.0	271.48	384.34	150.17	194.36	329.84	303.44	368.65	279.14	267.73	299.25	214.27	305.55	348.71	305.55	316.37	444.72	237.86	214.27	403.5	170.25	217.27	236.21	277.2	373.81	332.14	253.23	323.03	336.79	181.28	376.41	224.97	271.48	329.84	376.41	358.54	202.66	244.57	316.37	295.11
CYB561A3	529.06	583.07	444.72	612.11	540.19	543.96	536.45	638.15	1088.92	575.03	423.61	486.75	500.46	463.65	543.96	669.92	785.88	728.11	371.22	536.45	825.0	679.29	785.88	934.76	674.59	974.5	738.29	915.51	599.49	708.18	660.68	909.17	529.06	854.13	723.08	660.68	684.02	703.28	669.92	854.13	1044.52	775.05	743.43	642.59	603.67	698.41	703.28	591.22	825.0	728.11	674.59	587.13	603.67	759.08	698.41
CYP2U1	56.28	67.59	56.68	74.06	53.57	85.22	47.17	50.27	36.01	42.71	37.59	40.36	38.12	40.36	53.95	63.45	56.68	106.63	16.88	63.45	113.56	78.34	108.9	69.52	63.45	74.06	127.89	83.45	67.12	108.14	75.64	97.36	49.91	80.57	81.14	47.17	41.22	81.14	92.05	88.26	91.41	48.18	52.82	63.0	56.68	88.26	33.06	57.08	82.87	102.25	53.95	50.98	50.63	102.25	92.7
DAB2	343.89	146.03	206.94	314.17	150.17	343.89	181.28	392.44	743.43	201.25	316.37	217.27	175.07	237.86	366.09	316.37	376.41	723.08	111.99	420.68	536.45	536.45	624.99	281.09	376.41	563.18	642.59	432.53	334.46	463.65	490.14	638.15	476.71	285.03	426.57	291.04	223.41	366.09	323.03	447.82	567.1	251.48	400.71	277.2	277.2	559.28	293.07	251.48	417.77	511.0	575.03	159.9	195.72	346.29	412.0
DAG1	684.02	571.05	529.06	460.44	540.19	507.46	563.18	447.82	500.46	518.15	480.04	555.41	480.04	432.53	674.59	825.0	759.08	1073.91	454.09	575.03	934.76	866.07	819.3	713.11	603.67	860.08	878.17	909.17	909.17	842.36	723.08	848.22	397.93	684.02	890.44	591.22	679.29	698.41	813.63	854.13	860.08	624.99	791.35	941.27	665.29	764.36	595.34	802.41	848.22	830.75	780.44	559.28	447.82	878.17	759.08
DCLK1	7.75	9.7	13.93	13.72	3.32	13.42	3.86	25.72	41.81	4.54	21.01	4.62	7.46	19.82	18.84	27.84	57.49	264.03	0.66	49.21	80.57	607.87	214.27	87.03	41.52	122.64	91.41	69.03	100.13	44.57	130.6	303.44	35.25	127.0	164.42	49.91	9.63	58.3	37.59	198.47	186.4	43.02	43.94	47.84	26.1	73.03	59.55	11.13	65.26	76.17	95.34	31.9	24.99	159.9	111.21
DCLRE1B	48.87	23.93	19.82	45.21	27.25	51.35	33.54	38.12	46.18	34.26	34.51	52.45	20.86	32.59	45.21	70.01	51.71	80.57	30.56	42.71	73.03	58.71	77.25	54.33	62.56	78.34	76.71	60.39	57.89	51.71	65.26	80.57	27.64	51.71	66.65	36.79	49.91	56.68	65.26	56.68	69.52	66.65	55.1	64.34	36.27	54.72	48.18	59.13	67.12	49.91	71.5	39.22	37.85	58.71	66.18
DNAJC14	460.44	366.09	371.22	336.79	356.05	332.14	358.54	265.87	470.14	358.54	312.0	392.44	368.65	339.14	414.87	583.07	571.05	591.22	389.72	346.29	656.11	651.58	603.67	607.87	423.61	638.15	551.56	620.67	607.87	543.96	579.04	620.67	281.09	490.14	599.49	409.15	503.95	473.41	603.67	543.96	693.58	403.5	633.73	688.78	441.64	642.59	403.5	540.19	665.29	713.11	679.29	387.02	463.65	559.28	579.04
