	GTEX.SNMC.0826.SM.4DM66	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.D8.A1Y1.01A.21R.A14M.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.B6.A0RN.01A.12R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.C8.A12T.01A.11R.A115.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.78.8648.01A.11R.2403.07	TCGA.44.6774.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.BR.6705.01A.12R.1884.13	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.YJ8O.1126.SM.5P9IS	GTEX.T2IS.2226.SM.4DM65
FAM65A	620.67	1044.52	974.5	830.75	470.14	231.32	819.3	417.77	830.75	775.05	366.09	698.41	733.19	447.82	708.18	376.41	457.25	267.73	486.75	579.04	607.87	206.94	703.28	808.0	753.83	1030.12	718.08	656.11	341.51	480.04	769.69	373.81	551.56	728.11	559.28	836.53	620.67	995.0	703.28	466.88	529.06	486.75	688.78	878.17	728.11	775.05	780.44	503.95	1104.13	941.27	616.37	1721.16	1477.58	2240.11	1529.73	1350.18	1268.46	947.83	723.08	1044.52	1216.75	0.0	1037.29	1896.65	1733.13	1151.06	1216.75	1295.13	1457.23
FES	423.61	1250.98	473.41	84.63	77.25	27.64	191.67	50.63	318.57	297.17	36.01	117.6	148.09	202.66	148.09	38.95	76.71	32.82	154.42	161.02	163.28	29.7	212.78	205.5	82.87	346.29	211.31	208.38	112.77	152.28	155.5	20.41	144.01	172.65	127.89	218.79	172.65	376.41	169.07	176.29	123.5	102.25	249.73	112.77	376.41	231.32	92.05	172.65	316.37	256.78	157.68	733.19	607.87	830.75	493.56	214.27	281.09	167.9	183.82	748.61	343.89	0.0	470.14	483.38	665.29	764.36	567.1	896.64	536.45
FLT4	48.52	126.12	141.02	63.45	46.5	16.51	153.34	20.41	119.26	131.51	32.59	70.01	46.18	90.14	194.36	28.24	32.13	19.82	71.0	77.25	77.79	19.68	105.89	101.54	26.86	267.73	78.34	67.12	48.52	30.56	57.08	21.47	87.03	96.68	59.13	134.3	69.03	75.64	74.06	76.71	53.57	46.84	167.9	72.52	217.27	130.6	59.13	59.13	178.77	221.86	164.42	264.03	493.56	583.07	256.78	138.1	126.12	97.36	98.73	371.22	251.48	0.0	144.01	251.48	395.18	808.0	69.03	967.76	500.46
GJA4	591.22	1183.45	438.59	303.44	49.21	105.15	656.11	44.25	518.15	490.14	187.71	264.03	129.69	447.82	842.36	110.43	154.42	80.57	218.79	198.47	232.94	44.57	358.54	460.44	154.42	1096.5	470.14	182.55	148.09	111.21	186.4	40.93	228.13	395.18	161.02	256.78	229.72	395.18	189.02	480.04	202.66	176.29	438.59	217.27	688.78	493.56	194.36	285.03	348.71	1167.14	269.6	583.07	961.07	1757.34	878.17	159.9	297.17	253.23	248.0	775.05	775.05	0.0	175.07	665.29	1977.24	624.99	392.44	1304.15	507.46
GLI1	70.01	23.25	55.89	12.36	0.0	0.39	59.97	24.28	215.77	46.84	18.7	5.96	17.25	43.32	49.21	9.56	1.14	2.29	18.03	14.03	1.2	5.63	56.28	21.01	4.03	73.54	27.84	13.03	11.47	3.99	13.32	1.46	7.0	24.46	9.7	6.26	12.64	45.85	27.25	11.47	1.57	17.51	8.58	14.89	62.12	34.02	6.84	10.24	22.1	50.27	78.34	186.4	37.59	68.07	165.57	33.3	48.18	49.21	46.84	40.93	146.03	0.0	131.51	575.03	483.38	27.25	69.52	40.07	2875.3
GLI2	37.05	36.27	124.37	29.7	16.27	14.67	115.16	19.82	162.14	80.57	28.45	23.59	17.13	37.85	80.01	10.47	20.11	12.36	32.36	77.79	88.26	3.23	70.51	101.54	10.71	85.82	42.71	109.66	27.84	21.94	62.12	8.45	22.75	51.35	32.36	56.28	18.29	81.14	59.55	25.17	23.25	45.53	33.78	19.39	107.38	67.59	42.11	43.94	85.82	75.64	100.83	255.0	89.51	178.77	71.0	76.71	65.72	89.51	47.5	104.42	161.02	0.0	137.14	775.05	457.25	46.18	177.53	94.67	738.29
GPR124	836.53	518.15	1781.89	251.48	195.72	109.66	620.67	108.14	1081.39	503.95	164.42	249.73	220.32	339.14	967.76	99.43	204.07	72.52	273.37	409.15	400.71	32.82	769.69	518.15	131.51	796.86	255.0	397.93	253.23	131.51	353.59	98.73	368.65	438.59	242.88	595.34	217.27	1044.52	426.57	514.56	318.57	239.52	579.04	246.28	1030.12	633.73	221.86	329.84	1313.23	587.13	2061.24	6983.79	2777.33	2287.2	775.05	607.87	1044.52	1088.92	698.41	819.3	915.51	0.0	753.83	1857.6	1844.76	813.63	1159.07	1268.46	2417.67
GRAP	74.58	181.28	101.54	76.17	19.68	24.63	149.12	13.62	78.89	122.64	22.59	130.6	63.0	81.14	121.79	32.36	65.72	20.56	57.89	63.45	53.19	16.88	80.57	78.34	27.05	275.28	128.79	44.89	54.72	41.81	64.34	15.56	53.57	90.77	58.71	113.56	75.64	92.05	74.58	85.22	54.33	54.72	116.78	73.03	90.77	157.68	71.0	72.01	96.01	303.44	137.14	329.84	647.07	206.94	169.07	146.03	150.17	80.01	94.67	241.19	155.5	0.0	90.14	122.64	236.21	221.86	66.18	305.55	92.7
GRASP	1242.34	1697.45	295.11	102.97	22.26	21.16	190.34	50.27	432.53	190.34	81.71	138.1	70.51	142.01	228.13	44.57	36.79	77.25	106.63	133.36	173.85	25.72	260.38	172.65	40.64	466.88	156.59	100.13	78.89	68.55	93.35	23.59	92.7	146.03	105.15	195.72	94.67	316.37	144.01	176.29	108.9	93.35	206.94	99.43	384.34	223.41	87.03	59.97	463.65	521.76	395.18	551.56	1950.0	651.58	493.56	346.29	447.82	208.38	161.02	629.35	309.83	0.0	334.46	693.58	775.05	206.94	728.11	620.67	878.17
GRK5	223.41	624.99	412.0	106.63	63.45	58.3	180.02	44.25	301.33	211.31	74.58	115.16	129.69	189.02	303.44	71.0	129.69	71.0	131.51	167.9	165.57	59.13	493.56	173.85	62.56	299.25	234.57	121.79	111.21	116.78	151.22	32.59	149.12	169.07	129.69	164.42	143.01	447.82	205.5	212.78	102.97	109.66	151.22	122.64	289.02	234.57	66.65	147.06	215.77	432.53	368.65	309.83	463.65	967.76	371.22	279.14	273.37	318.57	307.69	674.59	583.07	0.0	332.14	543.96	791.35	1437.15	493.56	291.04	145.02
HIC1	693.58	909.17	759.08	148.09	37.05	37.05	395.18	33.06	373.81	316.37	68.55	135.24	97.36	277.2	356.05	32.59	75.11	35.25	129.69	220.32	127.89	4.62	368.65	193.01	58.71	688.78	152.28	253.23	145.02	111.21	169.07	38.95	81.71	204.07	157.68	281.09	171.45	603.67	187.71	172.65	153.34	139.07	271.48	145.02	301.33	258.57	163.28	92.05	571.05	237.86	314.17	1175.27	802.41	551.56	281.09	334.46	483.38	406.31	400.71	532.74	351.14	0.0	318.57	1378.57	1697.45	733.19	44.89	583.07	2335.28
HYAL2	1167.14	4210.15	1427.22	1044.52	466.88	426.57	1259.69	215.77	1008.9	1001.93	567.1	1066.48	703.28	1127.35	1277.29	371.22	693.58	476.71	872.1	1059.11	1015.93	518.15	1066.48	902.89	642.59	2133.97	866.07	748.61	967.76	1037.29	753.83	255.0	884.29	928.3	860.08	1447.15	819.3	1322.37	1259.69	981.29	684.02	665.29	1183.45	1015.93	1991.0	1225.22	759.08	698.41	1733.13	2090.03	1540.37	1437.15	4010.71	4802.93	2835.7	1199.98	1259.69	1073.91	981.29	2090.03	1963.57	0.0	1322.37	1551.09	2502.97	791.35	1277.29	1369.04	1870.53
IFFO1	201.25	507.46	607.87	176.29	146.03	30.34	248.0	154.42	279.14	281.09	58.3	178.77	246.28	217.27	246.28	70.51	91.41	32.82	197.09	217.27	267.73	22.59	297.17	205.5	81.14	373.81	339.14	297.17	127.89	103.69	255.0	43.02	265.87	197.09	153.34	454.09	198.47	693.58	231.32	332.14	224.97	175.07	314.17	206.94	289.02	363.56	128.79	186.4	348.71	420.68	262.2	842.36	483.38	665.29	738.29	457.25	358.54	293.07	156.59	532.74	346.29	0.0	356.05	412.0	387.02	660.68	110.43	753.83	559.28
IGDCC4	185.11	167.9	146.03	24.63	21.63	9.27	68.07	20.41	249.73	72.52	44.25	50.63	22.92	55.49	98.04	16.03	29.7	18.16	28.65	64.8	44.89	1.3	132.44	67.12	19.53	83.45	41.22	76.71	30.78	14.35	57.89	48.18	35.25	49.21	51.71	32.59	14.14	255.0	45.21	52.08	67.59	48.87	78.34	31.22	231.32	67.59	47.84	28.45	343.89	100.13	320.8	684.02	665.29	236.21	141.02	122.64	57.08	159.9	64.34	231.32	44.25	0.0	191.67	195.72	147.06	61.68	454.09	162.14	205.5
KANK3	113.56	232.94	82.87	21.94	7.88	8.85	44.25	19.53	85.82	76.71	16.88	25.72	26.47	73.03	28.24	3.38	11.64	6.01	21.16	23.42	39.5	4.7	80.01	46.18	15.8	170.25	45.85	23.25	26.86	21.32	20.26	4.35	17.77	29.27	53.19	52.08	33.3	43.63	49.91	28.04	36.53	21.01	36.27	17.25	125.24	57.49	23.76	14.24	162.14	82.29	99.43	303.44	314.17	277.2	206.94	68.55	69.52	25.17	41.81	260.38	87.03	0.0	37.59	246.28	348.71	339.14	64.8	420.68	373.81
KCND1	57.49	44.89	34.51	20.26	11.64	21.16	34.02	10.16	66.65	38.67	14.56	23.08	13.93	32.82	52.08	36.79	33.78	27.44	47.17	21.63	23.08	4.66	41.22	32.13	9.34	49.56	37.05	21.47	16.51	24.81	34.02	10.88	19.82	22.43	14.89	29.7	17.25	37.05	29.91	23.25	19.53	16.75	23.59	11.64	47.5	50.27	12.74	25.54	45.21	40.07	45.85	108.9	77.25	65.72	60.82	41.52	67.59	46.18	30.78	93.35	52.82	0.0	66.18	251.48	93.35	66.65	318.57	246.28	115.16
LHFP	1378.57	1909.85	1977.24	802.41	460.44	251.48	1447.15	229.72	1950.0	1286.18	759.08	884.29	490.14	848.22	2104.58	327.56	460.44	212.78	669.92	738.29	842.36	105.15	2468.49	890.44	511.0	1277.29	775.05	796.86	476.71	400.71	728.11	674.59	759.08	890.44	555.41	1159.07	473.41	1950.0	995.0	1628.26	629.35	872.1	1457.23	591.22	2032.85	1167.14	441.64	669.92	603.67	2434.5	1781.89	2032.85	1991.0	1896.65	1233.75	1037.29	1242.34	830.75	842.36	1066.48	1151.06	226.54	872.1	2209.26	1991.0	2485.67	1427.22	2287.2	1457.23
LRRC4B	267.73	18.16	61.68	0.83	0.83	0.45	19.82	0.0	41.52	19.39	6.06	3.53	2.53	13.42	12.36	1.83	0.0	1.43	3.72	7.51	0.0	1.93	21.94	8.99	1.23	18.56	11.73	4.03	4.39	5.5	10.55	0.47	1.31	8.65	1.5	2.14	5.06	7.51	7.0	2.16	2.84	1.2	4.7	0.87	32.82	16.03	4.5	2.46	389.72	16.39	80.57	4388.98	2075.59	28.65	3.11	24.99	10.16	13.03	28.24	61.68	36.79	0.0	27.44	162.14	191.67	131.51	24.11	237.86	3060.45
LYL1	176.29	262.2	108.9	66.65	9.7	14.67	115.97	15.22	89.51	135.24	26.67	113.56	79.45	137.14	61.25	15.45	39.22	12.93	90.77	94.01	106.63	12.09	120.94	78.89	25.54	262.2	125.24	98.04	68.55	65.72	74.06	7.46	40.64	103.69	63.89	82.87	105.89	187.71	105.15	90.14	59.55	55.49	105.89	70.51	115.16	129.69	31.0	36.53	78.89	175.07	97.36	318.57	221.86	236.21	180.02	98.04	129.69	76.71	112.77	373.81	176.29	0.0	94.01	289.02	309.83	204.07	140.04	521.76	397.93
MFNG	303.44	473.41	147.06	120.1	85.82	51.71	297.17	36.79	293.07	287.01	97.36	178.77	115.97	341.51	217.27	103.69	101.54	50.98	89.51	130.6	189.02	41.22	343.89	189.02	106.63	403.5	318.57	122.64	84.63	106.63	162.14	37.85	123.5	191.67	81.71	145.02	98.04	244.57	232.94	157.68	85.22	94.01	149.12	108.9	395.18	264.03	108.14	149.12	154.42	423.61	343.89	414.87	624.99	417.77	323.03	232.94	115.97	91.41	185.11	708.18	332.14	0.0	260.38	341.51	460.44	368.65	169.07	547.75	258.57
MICAL1	780.44	441.64	660.68	242.88	129.69	45.85	260.38	234.57	297.17	249.73	108.14	187.71	291.04	295.11	189.02	133.36	181.28	113.56	460.44	271.48	269.6	61.68	320.8	178.77	90.77	438.59	629.35	205.5	156.59	246.28	612.11	47.5	158.79	242.88	255.0	356.05	195.72	753.83	281.09	307.69	244.57	228.13	275.28	148.09	297.17	346.29	137.14	197.09	764.36	591.22	241.19	1208.34	2287.2	785.88	1015.93	429.54	521.76	432.53	373.81	1167.14	417.77	0.0	571.05	480.04	733.19	1104.13	555.41	1001.93	497.0
NAALADL1	312.0	470.14	454.09	98.04	96.68	23.93	116.78	73.03	314.17	329.84	47.84	211.31	180.02	152.28	316.37	49.56	96.01	29.91	140.04	177.53	297.17	11.73	299.25	157.68	71.0	389.72	212.78	215.77	130.6	72.52	165.57	38.12	220.32	163.28	104.42	229.72	127.0	409.15	143.01	366.09	166.73	155.5	275.28	145.02	295.11	283.05	121.79	248.0	149.12	320.8	363.56	665.29	872.1	232.94	246.28	258.57	279.14	220.32	143.01	289.02	256.78	0.0	329.84	293.07	285.03	361.04	85.22	981.29	1096.5
NOTCH4	273.37	642.59	329.84	212.78	116.78	85.82	460.44	38.95	353.59	305.55	111.99	167.9	116.78	248.0	500.46	86.43	137.14	59.55	164.42	156.59	120.1	29.91	293.07	295.11	72.01	476.71	204.07	153.34	66.18	111.21	165.57	76.17	194.36	175.07	155.5	239.52	112.77	246.28	172.65	287.01	145.02	167.9	301.33	152.28	483.38	341.51	120.94	144.01	293.07	547.75	567.1	258.57	242.88	1127.35	1030.12	175.07	318.57	214.27	267.73	607.87	476.71	82.29	356.05	473.41	866.07	1369.04	279.14	466.88	400.71
