	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.VS.A9V2.01A.11R.A42T.07	TCGA.MY.A5BF.01A.11R.A26T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.JX.A3Q0.01A.11R.A32Y.07	TCGA.C5.A1BK.01B.11R.A13Y.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
CERCAM	379.04	69.03	228.13	412.0	189.02	103.69	368.65	81.71	325.29	51.71	218.79	269.6	153.34	1832.01	486.75	518.15	279.14	764.36	167.9	339.14	271.48	126.12	414.87	262.2	244.57	429.54
CLIP3	67.12	13.03	41.81	49.21	14.35	21.16	12.36	36.27	6.36	36.01	74.06	239.52	47.17	703.28	379.04	376.41	156.59	417.77	145.02	152.28	212.78	55.49	299.25	175.07	63.0	189.02
CLMP	25.35	40.36	87.03	15.11	11.82	2.16	3.44	12.55	5.77	7.63	6.78	31.22	28.65	438.59	139.07	234.57	54.33	148.09	9.93	119.26	98.04	107.38	86.43	46.18	8.85	68.07
CNRIP1	68.07	19.82	54.33	62.12	15.68	22.1	12.27	16.27	15.22	19.39	50.27	334.46	353.59	647.07	1806.78	642.59	334.46	1073.91	1127.35	403.5	429.54	106.63	486.75	283.05	444.72	361.04
CNTN4	6.89	2.84	9.63	16.88	4.74	3.66	0.64	3.5	4.5	2.53	14.45	87.03	24.99	96.68	177.53	68.55	59.13	81.71	44.89	348.71	33.3	27.05	63.89	40.64	24.63	104.42
CNTN6	0.33	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.78	0.0	0.0	75.11	67.59	4.24	127.0	24.28	100.83	12.83	62.56	33.54	277.2	145.02	26.1	90.14	187.71	87.65
COL10A1	217.27	24.63	112.77	7.0	27.44	28.45	4.06	0.85	2.25	32.59	11.64	10.55	69.03	325.29	48.87	480.04	41.22	447.82	13.72	177.53	47.17	57.49	24.63	100.83	22.26	56.68
COL14A1	94.67	11.04	45.21	106.63	11.21	16.39	4.17	15.34	11.91	17.64	93.35	532.74	353.59	2502.97	1127.35	1519.15	708.18	3060.45	125.24	1551.09	830.75	251.48	476.71	633.73	232.94	1896.65
COL24A1	4.66	5.68	1.91	4.5	3.66	0.78	0.48	1.28	18.56	1.99	2.76	10.88	5.45	12.83	13.62	20.11	6.01	26.47	18.16	5.82	10.0	24.28	17.77	4.58	5.36	5.45
COL5A1	703.28	170.25	336.79	234.57	98.73	141.02	94.67	109.66	33.3	135.24	183.82	264.03	117.6	10959.3	1015.93	1233.75	441.64	1617.0	164.42	620.67	387.02	159.9	536.45	312.0	221.86	753.83
COL5A2	395.18	106.63	255.0	171.45	120.94	87.03	55.1	100.13	53.57	136.19	191.67	255.0	134.3	8901.53	381.68	723.08	279.14	1662.49	518.15	647.07	329.84	193.01	470.14	256.78	175.07	842.36
COL6A1	3168.41	896.64	1769.57	1191.69	633.73	358.54	518.15	708.18	178.77	547.75	1051.79	3491.39	1015.93	16157.44	7485.11	6983.79	4210.15	14663.09	2133.97	7537.18	4419.52	1183.45	4543.8	1191.69	3325.99	4066.71
COL6A2	3081.75	921.88	1561.89	1359.57	638.15	559.28	332.14	884.29	198.47	819.3	1119.56	8363.13	1447.15	41475.31	10959.3	12415.75	9088.59	32540.65	7537.18	14663.09	12076.21	1991.0	8538.88	2935.74	5751.61	11345.82
COL6A3	1359.57	241.19	656.11	759.08	191.67	151.22	156.59	249.73	72.01	194.36	660.68	1487.87	947.83	7966.99	3081.75	3280.18	2417.67	8538.88	728.11	2758.13	2075.59	967.76	4038.61	1605.83	1119.56	2451.44
COLEC12	49.21	19.82	35.76	16.63	21.78	9.06	28.04	18.97	4.7	19.25	14.14	444.72	1096.5	830.75	3303.0	830.75	961.07	5183.54	169.07	6337.83	2032.85	1781.89	1950.0	884.29	785.88	5633.22
CPXM2	51.35	17.9	20.11	31.22	4.98	2.18	8.06	31.0	9.56	27.05	28.45	480.04	514.56	285.03	543.96	281.09	414.87	368.65	201.25	571.05	567.1	143.01	223.41	371.22	226.54	1044.52
CREB3L1	334.46	39.5	163.28	226.54	11.91	10.39	14.56	15.45	13.03	28.04	48.18	1819.35	2434.5	1216.75	379.04	371.22	435.55	543.96	191.67	343.89	1286.18	3794.3	656.11	669.92	1397.83	395.18
CTSK	1519.15	253.23	525.39	780.44	260.38	206.94	253.23	301.33	149.12	256.78	579.04	1001.93	1350.18	13306.94	1151.06	6607.01	1216.75	3874.05	389.72	5672.41	2193.99	480.04	1529.73	7032.37	780.44	2303.12
CYBRD1	260.38	92.05	483.38	336.79	80.57	314.17	98.04	89.51	242.88	82.87	323.03	3303.0	4066.71	3690.52	4836.35	4010.71	3081.75	5995.9	890.44	5594.3	4802.93	2032.85	3124.78	3235.01	3491.39	4512.4
CYS1	16.63	2.84	16.15	13.93	10.31	4.21	15.68	5.41	5.36	11.47	7.17	262.2	182.55	47.84	559.28	323.03	102.97	518.15	346.29	177.53	718.08	153.34	146.03	140.04	301.33	297.17
DAB2	291.04	125.24	217.27	141.02	67.59	150.17	102.25	139.07	85.82	119.26	164.42	3303.0	5112.16	1733.13	656.11	1359.57	3303.0	4388.98	3235.01	3081.75	2935.74	2627.46	2627.46	3443.31	2627.46	2895.31
DDR2	33.06	7.94	35.5	45.21	13.52	9.41	8.25	18.03	8.65	10.08	23.76	339.14	170.25	2004.85	1286.18	412.0	258.57	503.95	154.42	441.64	470.14	167.9	341.51	146.03	218.79	518.15
DOCK11	52.45	32.13	51.71	45.21	71.0	36.53	22.92	52.08	23.76	32.59	48.87	403.5	1936.53	221.86	447.82	228.13	1051.79	409.15	599.49	269.6	808.0	353.59	1605.83	373.81	486.75	1037.29
DOK6	3.92	0.65	2.18	1.97	0.71	0.36	0.0	0.0	0.38	0.4	1.06	68.07	81.71	17.38	329.84	15.22	60.82	95.34	186.4	189.02	65.26	27.44	37.85	24.99	36.79	155.5
DPYSL3	312.0	42.41	73.03	60.82	35.5	40.07	13.93	44.57	17.9	41.22	285.03	1487.87	902.89	7130.55	3589.58	1457.23	2796.65	13399.51	486.75	1950.0	3639.7	1059.11	1950.0	353.59	1628.26	2018.8
DSEL	5.23	1.28	1.97	2.63	2.86	0.95	0.41	2.39	2.43	2.34	1.13	12.74	29.7	36.53	82.29	56.68	21.63	29.27	21.47	87.65	36.79	18.03	24.28	14.35	49.56	63.89
EBF1	21.78	5.68	17.64	22.1	8.78	6.89	1.83	8.99	3.79	5.77	28.24	108.14	19.25	129.69	239.52	142.01	62.56	145.02	37.85	104.42	108.14	25.72	90.77	183.82	41.52	119.26
ECM2	27.05	4.74	26.86	29.91	11.73	9.34	7.28	3.76	17.38	12.74	20.86	543.96	521.76	633.73	1216.75	656.11	511.0	1540.37	339.14	1015.93	860.08	403.5	470.14	476.71	567.1	836.53
EFEMP2	486.75	165.57	346.29	285.03	141.02	126.12	157.68	182.55	77.25	140.04	260.38	1883.54	1059.11	6516.03	2777.33	1594.73	2682.69	7382.04	3280.18	2875.3	2720.15	1119.56	2976.74	902.89	3081.75	2739.08
EMILIN1	476.71	112.77	190.34	201.25	101.54	85.82	49.56	149.12	38.12	121.79	248.0	444.72	187.71	10512.82	1844.76	842.36	878.17	4769.75	1250.98	1044.52	603.67	332.14	1572.76	785.88	366.09	612.11
EML1	55.89	8.92	19.25	31.0	66.18	11.82	40.07	80.57	12.83	10.47	18.97	185.11	82.87	348.71	698.41	361.04	113.56	121.79	38.4	109.66	361.04	185.11	134.3	65.72	262.2	145.02
ENPP1	15.68	1.6	4.82	7.75	2.78	1.87	1.28	2.2	1.33	6.41	6.21	13.52	5.59	4.1	42.41	11.64	25.17	39.5	8.13	41.81	15.11	13.22	16.27	1.75	14.03	14.14
ENPP2	336.79	78.34	249.73	199.85	116.78	172.65	66.65	74.06	96.68	49.91	164.42	2090.03	1023.0	780.44	4836.35	769.69	1794.29	2895.31	813.63	2319.15	6935.54	718.08	1015.93	563.18	2777.33	1806.78
FAM180A	3.59	0.0	4.43	1.75	0.0	0.4	0.71	1.14	2.51	2.73	3.11	35.5	42.41	77.25	182.55	165.57	64.8	95.34	187.71	59.13	67.12	37.85	28.24	53.57	58.3	120.1
FAM198B	117.6	35.76	82.87	68.07	41.22	25.17	20.71	43.63	73.54	28.04	62.12	81.71	115.97	1498.22	325.29	660.68	71.5	688.78	55.89	187.71	277.2	242.88	126.12	169.07	246.28	559.28
FAM26E	8.45	2.84	3.5	3.63	1.07	2.81	0.97	2.76	2.18	2.39	3.72	33.06	2.2	85.22	94.01	39.22	11.91	39.22	6.89	61.68	50.27	9.2	73.03	16.39	12.36	48.52
FAP	164.42	54.72	136.19	105.15	57.49	45.21	23.42	52.82	21.01	37.05	180.02	253.23	197.09	1159.07	256.78	189.02	132.44	521.76	450.94	146.03	128.79	204.07	255.0	185.11	260.38	242.88
FBLN2	223.41	58.71	599.49	193.01	120.94	78.34	62.56	58.71	75.64	99.43	189.02	808.0	351.14	2664.15	1628.26	1819.35	954.43	1781.89	121.79	1487.87	1259.69	248.0	713.11	500.46	595.34	1697.45
FBLN5	133.36	71.5	236.21	136.19	45.21	22.92	24.28	68.55	36.01	60.82	145.02	2209.26	848.22	1991.0	3768.09	4607.24	2287.2	2417.67	1551.09	6207.38	2119.22	1870.53	2520.38	3491.39	2119.22	2855.44
FBN1	214.27	31.45	105.89	59.13	43.94	30.78	23.76	47.5	19.39	48.18	80.57	438.59	108.9	2104.58	780.44	1519.15	444.72	1001.93	176.29	1066.48	476.71	277.2	429.54	647.07	457.25	1745.2
FBXL7	29.48	6.36	16.39	14.24	7.22	6.89	2.63	9.63	5.45	8.13	14.89	265.87	113.56	167.9	381.68	226.54	256.78	1023.0	277.2	336.79	423.61	68.55	218.79	65.72	309.83	460.44
FGF14	15.22	0.34	1.58	1.36	1.58	0.68	0.22	0.0	3.72	1.38	3.35	226.54	127.89	332.14	381.68	299.25	187.71	356.05	205.5	314.17	87.65	525.39	170.25	191.67	271.48	277.2
FGFR1	191.67	15.0	115.97	151.22	67.59	36.01	23.93	66.18	49.91	51.71	115.16	1340.84	435.55	753.83	1561.89	563.18	2720.15	3081.75	3874.05	2224.63	1832.01	529.06	785.88	1304.15	2573.36	3146.52
FILIP1L	183.82	56.28	81.71	51.35	41.22	39.5	19.25	34.51	22.75	57.49	96.01	728.11	314.17	1322.37	4671.57	1225.22	981.29	1369.04	791.35	1806.78	1175.27	466.88	921.88	483.38	981.29	1594.73
FKBP10	878.17	85.82	486.75	236.21	92.05	185.11	54.33	105.15	72.52	105.89	281.09	470.14	248.0	5555.65	896.64	1051.79	551.56	2193.99	293.07	503.95	563.18	114.36	540.19	525.39	371.22	961.07
FNDC1	37.32	2.56	10.71	8.58	11.82	8.92	3.08	3.32	2.18	5.54	5.63	125.24	28.65	507.46	105.15	229.72	47.5	860.08	74.06	56.28	124.37	126.12	81.14	16.88	70.51	163.28
FREM1	38.4	0.0	12.64	9.41	3.14	0.93	0.68	3.66	0.41	2.66	15.22	130.6	85.82	242.88	299.25	140.04	145.02	339.14	54.33	239.52	199.85	81.14	202.66	66.18	156.59	185.11
FZD1	161.02	84.63	194.36	126.12	105.89	358.54	150.17	127.89	127.0	102.25	100.13	387.02	159.9	872.1	2163.77	497.0	273.37	540.19	295.11	269.6	514.56	171.45	395.18	130.6	264.03	287.01
GAS1	116.78	14.24	684.02	30.12	44.25	65.26	75.64	97.36	23.93	16.75	34.51	57.08	24.46	2956.17	314.17	713.11	35.25	107.38	25.91	205.5	312.0	26.1	38.95	120.94	24.46	215.77
GGT5	384.34	105.15	255.0	323.03	98.73	47.5	67.59	138.1	20.56	99.43	343.89	208.38	92.05	1639.59	273.37	2739.08	198.47	629.35	88.26	228.13	299.25	176.29	123.5	921.88	147.06	312.0
GLT8D2	110.43	24.63	80.01	67.12	33.3	14.24	16.39	24.11	20.41	18.43	55.49	483.38	281.09	532.74	624.99	656.11	314.17	1059.11	226.54	543.96	543.96	182.55	525.39	185.11	249.73	587.13
GPR124	100.13	23.42	52.45	46.5	22.1	24.99	6.84	30.78	13.32	28.86	37.32	423.61	150.17	1628.26	1119.56	656.11	379.04	1233.75	291.04	802.41	915.51	199.85	579.04	273.37	314.17	698.41
GPR133	21.63	5.41	4.98	10.39	0.88	1.66	2.86	5.28	2.39	3.89	10.39	872.1	241.19	555.41	13399.51	85.82	1008.9	708.18	1427.22	1909.85	2537.92	249.73	215.77	651.58	1769.57	3303.0
GPR173	8.92	2.27	1.46	4.06	5.96	2.27	2.01	3.41	1.75	2.25	4.86	18.97	5.59	14.67	44.25	61.68	21.63	78.34	11.13	32.13	57.08	4.94	49.56	26.47	12.36	37.32
GRID1	5.23	0.66	10.96	11.38	3.08	3.0	1.36	0.0	2.34	2.86	14.45	56.28	30.78	10.47	123.5	77.79	90.14	295.11	57.89	55.1	246.28	27.64	83.45	103.69	89.51	339.14
GUCY1A2	7.82	1.28	9.06	8.13	2.41	4.03	1.91	1.87	2.89	2.81	6.11	77.25	61.25	32.82	656.11	25.54	78.34	182.55	348.71	143.01	97.36	78.34	117.6	48.87	97.36	190.34
HEPH	52.45	10.79	37.05	27.05	13.32	7.69	7.06	10.88	9.48	11.55	22.1	183.82	77.25	693.58	575.03	703.28	307.69	651.58	202.66	660.68	291.04	92.7	361.04	224.97	176.29	320.8
HHIPL1	11.13	1.28	14.14	3.44	1.46	2.94	1.91	6.11	1.69	2.48	4.82	6.36	10.39	71.5	41.81	28.86	13.52	29.48	12.93	23.59	18.97	3.23	18.56	9.93	14.24	17.0
HIC1	57.89	52.82	15.56	38.4	13.42	60.39	7.69	26.1	23.93	30.78	65.72	244.57	148.09	231.32	575.03	221.86	127.89	361.04	285.03	444.72	273.37	164.42	198.47	118.43	297.17	275.28
HLA-DPA1	72213.45	15824.9	16269.83	7537.18	16045.82	16727.26	21919.61	16496.96	3349.13	10808.41	18431.96	140478.49	318292.9	128373.58	25887.07	82378.63	193234.41	82378.63	97288.74	309589.14	313910.86	163620.18	171754.88	453265.5	100023.92	186652.11
HLA-DRA	122293.5	46339.95	69753.56	39510.91	32315.87	32994.92	51417.5	47974.16	11827.67	23820.89	39510.91	569761.05	606436.73	258533.99	68318.04	195931.88	341137.96	111755.56	341137.96	466008.55	668235.84	378516.38	417089.23	1085552.95	273275.14	645473.24
HLA-DRB1	53601.03	11267.44	20881.4	20737.16	17804.06	14163.58	6699.25	18304.63	1233.75	8658.09	15075.35	159145.95	389157.95	35856.82	20170.07	103551.29	90146.51	74243.68	207103.59	54727.32	195931.88	189257.69	164758.26	472513.8	223512.12	249727.34
HMCN1	20.26	6.62	41.81	8.38	15.11	6.67	11.73	8.32	4.46	8.99	3.08	559.28	579.04	599.49	1745.2	764.36	279.14	1151.06	356.05	1023.0	961.07	476.71	1015.93	417.77	575.03	1104.13
HTRA3	529.06	199.85	187.71	89.51	80.01	106.63	38.67	54.72	25.54	51.35	165.57	698.41	379.04	1721.16	1651.0	791.35	1268.46	2739.08	387.02	728.11	988.12	271.48	1745.2	409.15	1008.9	854.13
IL1R1	175.07	94.01	209.84	341.51	75.11	14.03	29.7	82.87	186.4	47.84	231.32	3768.09	4512.4	5041.77	2090.03	934.76	2104.58	5255.91	3614.55	6381.92	1295.13	2956.17	4066.71	1437.15	1832.01	3794.3
ISLR	830.75	115.16	507.46	444.72	128.79	116.78	84.63	132.44	78.34	194.36	392.44	902.89	529.06	2303.12	2351.53	1529.73	1059.11	3742.05	802.41	2224.63	1733.13	490.14	1135.2	825.0	890.44	1551.09
ISM1	26.47	9.13	89.51	21.94	8.25	80.57	5.15	0.28	7.57	40.36	46.84	201.25	36.01	1183.45	36.27	291.04	22.43	61.68	8.99	123.5	37.59	70.01	248.0	10.24	25.54	129.69
ITGA8	29.06	2.56	36.01	47.5	8.78	3.76	4.17	7.28	7.4	14.89	31.0	463.65	129.69	915.51	1250.98	1143.1	536.45	1819.35	363.56	587.13	651.58	165.57	854.13	226.54	432.53	457.25
ITGBL1	144.01	2.27	15.56	10.79	8.0	4.82	1.11	1.31	4.13	13.62	20.71	400.71	1498.22	4152.18	1628.26	1583.71	647.07	1151.06	802.41	2351.53	426.57	540.19	842.36	1066.48	1457.23	1769.57
JAM3	96.68	32.36	54.33	53.57	32.82	40.93	17.51	33.3	20.41	32.82	43.32	444.72	253.23	723.08	2209.26	241.19	830.75	934.76	909.17	1388.16	521.76	470.14	890.44	518.15	651.58	1561.89
JMJD1C	476.71	248.0	551.56	327.56	486.75	392.44	460.44	279.14	269.6	305.55	457.25	1268.46	1008.9	890.44	2104.58	759.08	1583.71	1733.13	3081.75	2835.7	1259.69	1721.16	2451.44	974.5	1175.27	1794.29
KCND2	8.51	0.66	7.17	1.73	1.13	0.26	0.27	0.31	4.35	1.16	0.6	35.5	19.25	13.42	36.79	0.53	10.31	5.82	4.74	16.39	12.27	3.86	30.34	10.16	0.47	3.56
KIAA1462	144.01	30.34	36.01	33.54	17.38	22.92	8.0	25.72	9.56	15.22	59.97	748.61	166.73	312.0	1936.53	536.45	723.08	813.63	909.17	603.67	981.29	353.59	872.1	764.36	1167.14	1001.93
KIAA1755	31.0	8.85	12.93	31.45	3.2	17.64	2.29	12.0	3.06	5.82	38.4	58.71	28.45	137.14	81.14	262.2	52.08	212.78	7.4	23.42	64.34	11.04	55.49	79.45	24.46	32.36
LHFP	205.5	37.59	167.9	131.51	297.17	50.98	30.34	53.19	39.5	47.17	138.1	1923.14	1073.91	981.29	5006.93	1259.69	1721.16	3665.02	2255.7	2935.74	2555.58	995.0	2573.36	1143.1	2255.7	2555.58
LIX1L	339.14	82.29	148.09	119.26	113.56	47.5	37.59	151.22	51.71	152.28	140.04	301.33	256.78	698.41	753.83	466.88	473.41	934.76	205.5	493.56	483.38	162.14	514.56	289.02	381.68	688.78
LRRC15	69.52	6.94	7.51	2.58	2.73	1.3	2.48	3.17	0.2	9.2	10.88	34.02	15.11	974.5	336.79	51.71	63.0	353.59	17.38	15.68	47.84	204.07	3.76	4.86	371.22	154.42
LRRC17	31.22	0.99	17.9	10.31	7.28	2.97	13.62	1.08	8.99	4.66	12.55	69.03	27.44	387.02	157.68	295.11	27.44	356.05	4.9	20.41	97.36	15.45	71.0	52.82	16.75	170.25
MAML2	22.43	22.43	42.71	42.71	18.84	13.12	26.28	18.43	26.1	21.63	44.25	379.04	289.02	316.37	503.95	255.0	429.54	323.03	332.14	356.05	325.29	363.56	334.46	358.54	327.56	490.14
MEIS3	75.64	45.21	36.53	31.67	33.78	28.04	22.26	25.35	10.39	31.9	47.5	137.14	25.72	447.82	205.5	332.14	59.13	460.44	123.5	114.36	109.66	26.86	175.07	74.06	63.45	172.65
METTL24	0.67	0.64	2.07	1.17	0.0	0.0	0.0	1.2	0.0	1.5	0.87	28.24	10.63	42.41	146.03	21.78	22.92	122.64	4.13	67.59	38.95	7.28	63.89	4.31	20.56	61.68
MFAP4	403.5	65.26	231.32	255.0	43.63	45.53	21.47	29.27	44.57	175.07	287.01	30151.71	12943.04	22535.88	61571.56	17681.08	51062.33	47974.16	65082.31	65990.84	38430.46	13033.07	32540.65	16496.96	39785.74	39785.74
MICAL2	175.07	260.38	180.02	139.07	75.11	123.5	186.4	435.55	39.5	94.67	142.01	1208.34	1313.23	902.89	536.45	463.65	1417.35	1388.16	723.08	2271.4	2061.24	1819.35	271.48	1111.82	2434.5	2739.08
