	TCGA.35.5375.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.Y5LM.0726.SM.4VBRP	GTEX.TMMY.0926.SM.4TT1Z	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1
CCDC92	312.0	476.71	769.69	1674.06	1437.15	1977.24	1242.34	2609.3	1651.0	2104.58	2224.63	1350.18	1295.13	1051.79	1437.15	2255.7	232.94	318.57	318.57
CDH1	775.05	1340.84	796.86	3639.7	1832.01	3257.52	1551.09	2468.49	4268.94	2739.08	2178.83	2434.5	2417.67	2004.85	1832.01	3690.52	1286.18	620.67	620.67
CGN	115.16	0.0	460.44	4836.35	1191.69	6652.97	748.61	1794.29	4736.79	4181.07	3168.41	2609.3	3419.52	1008.9	1151.06	2796.65	63.0	204.07	204.07
CHIC2	444.72	346.29	529.06	791.35	624.99	713.11	341.51	595.34	791.35	723.08	688.78	599.49	693.58	373.81	486.75	651.58	567.1	441.64	441.64
CHRNA10	1.58	0.0	11.38	57.49	18.84	60.39	9.48	36.79	47.84	56.28	60.39	36.27	10.55	24.28	28.86	14.24	4.28	0.72	0.72
CLDN18	0.6	173.85	5329.3	132900.7	17681.08	180294.02	3564.78	125731.67	96616.71	22380.2	110216.97	61999.83	69271.73	31432.17	49322.93	52863.07	8.25	38.95	38.95
CNNM4	79.45	351.14	175.07	764.36	232.94	457.25	182.55	373.81	638.15	571.05	351.14	624.99	189.02	295.11	303.44	381.68	118.43	94.67	94.67
CNTF	3.63	0.0	9.2	24.46	5.45	30.78	4.74	11.13	26.28	28.65	20.11	24.81	15.11	9.85	7.51	12.93	0.88	2.51	2.51
CPB2	0.0	0.0	56.28	4575.41	3303.0	4450.27	4607.24	6745.86	4607.24	7280.4	4903.87	2758.13	1745.2	5479.15	2319.15	3081.75	0.0	1.5	1.5
CSGALNACT1	87.03	0.0	120.94	1233.75	185.11	486.75	336.79	371.22	1051.79	229.72	473.41	915.51	283.05	128.79	463.65	363.56	60.82	63.0	63.0
CXorf57	1.83	0.0	24.46	325.29	65.26	392.44	21.32	51.35	229.72	669.92	134.3	332.14	56.28	112.77	82.87	44.57	9.06	49.21	49.21
DDX27	633.73	1191.69	412.0	902.89	525.39	1135.2	490.14	651.58	947.83	1066.48	860.08	902.89	476.71	423.61	486.75	866.07	403.5	260.38	260.38
DDX3X	791.35	1519.15	1832.01	6381.92	2255.7	5913.33	2935.74	2591.27	4328.55	3443.31	4268.94	4123.49	2627.46	1977.24	2758.13	3081.75	665.29	780.44	780.44
DLC1	58.3	120.1	708.18	8658.09	981.29	11112.3	638.15	2468.49	40341.14	4903.87	7966.99	4010.71	5751.61	961.07	3395.89	2720.15	29.27	29.27	29.27
DLGAP4	718.08	0.0	688.78	1051.79	915.51	743.43	1119.56	1242.34	1088.92	1088.92	1225.22	728.11	1030.12	738.29	934.76	1242.34	473.41	769.69	769.69
DLST	1519.15	0.0	1437.15	2417.67	1427.22	1909.85	1529.73	1806.78	1909.85	2417.67	2047.0	2224.63	1477.58	1628.26	1259.69	1781.89	1487.87	718.08	718.08
DPH3	551.56	0.0	503.95	733.19	486.75	665.29	521.76	679.29	848.22	607.87	595.34	426.57	444.72	629.35	435.55	595.34	540.19	490.14	490.14
DUSP16	46.84	0.0	307.69	2133.97	218.79	1769.57	713.11	974.5	1159.07	1561.89	1757.34	921.88	660.68	579.04	651.58	825.0	115.16	98.04	98.04
DUSP6	228.13	0.0	1757.34	13033.07	2319.15	9673.69	775.05	3325.99	13586.57	8778.97	9025.81	13586.57	2224.63	8191.0	4607.24	2061.24	212.78	148.09	148.09
DYNLL2	236.21	587.13	392.44	915.51	748.61	571.05	426.57	974.5	1313.23	791.35	638.15	559.28	555.41	587.13	624.99	1242.34	234.57	279.14	279.14
DYRK3	108.9	0.0	115.16	1135.2	87.65	808.0	72.52	159.9	738.29	450.94	1015.93	802.41	143.01	159.9	137.14	215.77	165.57	50.27	50.27
ERCC6-PGBD3	0.75	0.0	4.66	36.79	0.0	19.97	29.91	13.12	37.05	18.56	19.68	22.92	16.39	14.78	11.13	26.28	0.4	0.89	0.89
EZR	2090.03	10585.95	2627.46	19348.38	6037.61	21026.65	6516.03	14971.21	20593.91	15934.98	19348.38	14163.58	14663.09	8022.41	5147.73	16727.26	1832.01	2335.28	2335.28
FAM46C	149.12	0.0	190.34	2004.85	169.07	791.35	120.94	376.41	1066.48	684.02	1151.06	1295.13	392.44	249.73	205.5	182.55	36.53	141.02	141.02
FAM47E	37.59	0.0	125.24	142.01	198.47	204.07	142.01	236.21	791.35	285.03	389.72	234.57	234.57	218.79	325.29	218.79	40.07	65.26	65.26
FAM47E-STBD1	43.02	0.0	92.7	289.02	164.42	224.97	173.85	147.06	441.64	86.43	325.29	289.02	137.14	206.94	323.03	303.44	35.76	83.45	83.45
FASTKD5	218.79	0.0	277.2	476.71	307.69	493.56	281.09	356.05	503.95	438.59	417.77	366.09	343.89	397.93	279.14	301.33	97.36	115.16	115.16
FLJ27365	4.1	0.0	13.03	28.04	25.72	34.75	54.33	91.41	13.22	57.49	85.82	63.89	40.64	16.88	24.99	73.03	23.59	3.66	3.66
FOXD4L1	1.77	0.0	2.27	9.13	0.71	16.88	3.63	6.26	4.1	8.13	11.64	2.53	3.56	2.78	3.63	4.62	1.31	0.31	0.31
FPR2	8.06	0.0	267.73	1733.13	303.44	785.88	1096.5	1151.06	1594.73	473.41	470.14	423.61	511.0	341.51	486.75	1561.89	31.22	6.46	6.46
FSCN3	0.0	0.0	1.03	9.93	2.92	19.82	7.06	2.81	8.58	5.77	10.39	4.39	3.82	2.29	1.04	3.53	2.05	0.0	0.0
GDPGP1	21.94	0.0	60.39	132.44	94.01	90.14	81.71	140.04	124.37	102.97	145.02	97.36	53.95	109.66	103.69	77.79	71.0	65.26	65.26
GGN	8.99	0.0	3.26	38.95	4.82	17.0	7.34	7.4	18.16	11.47	20.56	15.68	11.04	7.4	5.59	9.06	3.63	2.01	2.01
GNRH2	0.0	0.0	0.0	8.25	0.0	1.89	3.23	2.68	18.56	0.0	12.09	2.18	0.0	3.72	7.69	4.03	0.0	0.0	0.0
HIPK1	211.31	183.82	414.87	796.86	457.25	748.61	532.74	743.43	1304.15	1286.18	1111.82	579.04	656.11	493.56	848.22	603.67	120.94	129.69	129.69
HNRNPUL1	1883.54	2075.59	1977.24	3928.15	2287.2	4769.75	3901.01	4210.15	3847.29	4268.94	4181.07	3794.3	3564.78	2777.33	2835.7	3190.46	1709.26	1259.69	1259.69
IL27RA	74.06	0.0	215.77	536.45	190.34	500.46	934.76	1191.69	947.83	480.04	559.28	387.02	289.02	551.56	514.56	1286.18	82.29	78.34	78.34
ITPK1	525.39	0.0	764.36	2627.46	1313.23	2255.7	1745.2	2682.69	1561.89	1674.06	1909.85	1250.98	1487.87	1721.16	1697.45	2627.46	466.88	470.14	470.14
JOSD1	414.87	0.0	769.69	2209.26	934.76	2875.3	1127.35	1250.98	1059.11	1733.13	1277.29	1051.79	764.36	780.44	432.53	1417.35	713.11	764.36	764.36
KCNH4	1.19	0.0	1.64	2.94	1.16	2.01	2.56	1.91	3.99	1.91	4.17	0.59	1.14	0.89	4.62	1.91	0.44	0.42	0.42
KCNK1	26.28	493.56	237.86	1225.22	229.72	521.76	356.05	796.86	941.27	303.44	884.29	819.3	616.37	444.72	162.14	293.07	217.27	457.25	457.25
KIAA0232	70.51	0.0	194.36	860.08	260.38	400.71	241.19	423.61	866.07	753.83	587.13	307.69	435.55	273.37	447.82	476.71	111.99	53.19	53.19
KIAA0895	67.12	0.0	57.08	175.07	92.7	232.94	82.87	133.36	303.44	170.25	182.55	262.2	155.5	161.02	140.04	144.01	55.89	32.36	32.36
KIF16B	153.34	0.0	141.02	376.41	208.38	228.13	232.94	346.29	379.04	318.57	303.44	177.53	161.02	199.85	267.73	307.69	53.95	79.45	79.45
KLF10	309.83	0.0	842.36	4298.64	1963.57	4010.71	1135.2	2018.8	4358.66	4450.27	3467.27	1407.55	3928.15	1447.15	1561.89	2434.5	400.71	547.75	547.75
LMTK2	72.01	126.12	127.0	423.61	224.97	426.57	237.86	361.04	447.82	470.14	248.0	395.18	336.79	223.41	301.33	368.65	44.57	63.45	63.45
LONRF2	2.46	0.0	8.38	497.0	10.96	187.71	37.32	72.01	108.14	63.89	178.77	48.18	43.94	22.1	22.43	41.52	24.99	0.74	0.74
MMP21	0.0	0.0	1.01	3.32	0.42	4.82	1.46	1.1	3.38	3.72	2.58	0.51	1.69	2.48	2.36	0.87	0.0	0.0	0.0
MYADM	769.69	1286.18	1745.2	27938.14	7130.55	21468.49	7130.55	9740.98	27363.16	22072.07	42937.97	16269.83	13033.07	3168.41	3847.29	17317.18	163.28	271.48	271.48
NEBL	29.27	0.0	583.07	2451.44	723.08	2335.28	1151.06	1605.83	4123.49	1883.54	1806.78	1781.89	1073.91	1295.13	1457.23	1674.06	305.55	283.05	283.05
NECAB1	7.34	0.0	209.84	417.77	309.83	395.18	262.2	417.77	890.44	514.56	244.57	269.6	291.04	158.79	244.57	414.87	7.88	4.24	4.24
NEDD4L	884.29	660.68	819.3	3325.99	1519.15	3060.45	1540.37	1498.22	3614.55	2645.74	1662.49	2224.63	1359.57	1437.15	1388.16	1208.34	297.17	651.58	651.58
NFATC1	69.03	0.0	271.48	1088.92	373.81	457.25	236.21	660.68	249.73	1295.13	633.73	642.59	191.67	346.29	297.17	441.64	111.21	34.75	34.75
NFIC	204.07	1143.1	669.92	2384.37	764.36	1617.0	1477.58	1909.85	2047.0	1407.55	1896.65	1709.26	1572.76	848.22	1617.0	3614.55	221.86	135.24	135.24
NHLH1	0.96	0.0	3.14	10.24	2.78	9.41	3.59	4.17	8.85	5.06	5.15	5.19	3.41	0.93	2.81	2.39	0.53	0.51	0.51
NLRP14	0.0	0.0	0.64	3.99	0.73	1.16	0.77	1.51	3.08	1.91	2.78	0.0	1.11	1.95	2.25	1.13	0.0	0.0	0.0
NODAL	1.93	0.0	2.97	4.66	1.68	7.51	5.23	3.92	5.82	9.56	9.63	8.25	4.98	0.73	0.0	2.39	0.0	1.33	1.33
NR4A3	24.63	97.36	169.07	878.17	76.17	1605.83	186.4	206.94	1151.06	429.54	435.55	307.69	356.05	54.33	56.68	253.23	19.25	40.36	40.36
PDE4D	77.79	59.97	287.01	1073.91	205.5	1639.59	334.46	616.37	909.17	723.08	1015.93	693.58	536.45	241.19	379.04	379.04	82.29	80.57	80.57
PER2	29.06	27.44	87.03	438.59	80.01	571.05	122.64	153.34	463.65	242.88	620.67	204.07	218.79	287.01	264.03	191.67	37.05	72.01	72.01
PLEKHG2	190.34	217.27	348.71	1111.82	237.86	2090.03	466.88	277.2	1037.29	753.83	454.09	384.34	470.14	273.37	323.03	624.99	153.34	63.89	63.89
PPP1R10	185.11	0.0	353.59	1498.22	412.0	1437.15	764.36	753.83	1340.84	1104.13	1529.73	669.92	395.18	473.41	988.12	708.18	307.69	242.88	242.88
PPP4R1	1183.45	860.08	961.07	4358.66	1304.15	3168.41	1191.69	2287.2	4450.27	2609.3	2997.45	1832.01	2701.35	1259.69	1651.0	2384.37	733.19	1081.39	1081.39
RAB35	325.29	0.0	842.36	1175.27	813.63	1119.56	791.35	1111.82	1304.15	974.5	974.5	854.13	703.28	733.19	860.08	1304.15	435.55	447.82	447.82
RAB8A	368.65	1023.0	1051.79	1561.89	1259.69	1313.23	1037.29	1617.0	2287.2	1417.35	1359.57	1135.2	902.89	1135.2	1397.83	1540.37	497.0	819.3	819.3
RAPGEF2	52.08	0.0	291.04	2739.08	612.11	2163.77	514.56	1225.22	2645.74	1286.18	1225.22	1199.98	1059.11	713.11	1242.34	1175.27	48.18	26.28	26.28
RASEF	32.59	0.0	117.6	1030.12	277.2	748.61	297.17	1159.07	775.05	305.55	830.75	967.76	217.27	265.87	158.79	194.36	49.91	21.32	21.32
RBM23	1059.11	884.29	896.64	1806.78	1369.04	1322.37	1151.06	1397.83	1709.26	1457.23	1477.58	878.17	961.07	941.27	1617.0	1259.69	642.59	872.1	872.1
RFX1	48.52	0.0	111.21	454.09	111.99	423.61	149.12	297.17	316.37	305.55	579.04	318.57	102.25	232.94	256.78	194.36	41.22	46.18	46.18
RIPK1	265.87	0.0	358.54	896.64	497.0	599.49	563.18	684.02	796.86	718.08	748.61	480.04	656.11	536.45	633.73	599.49	180.02	212.78	212.78
RNF122	312.0	111.21	318.57	825.0	251.48	872.1	358.54	320.8	733.19	470.14	674.59	450.94	334.46	214.27	339.14	529.06	269.6	180.02	180.02
RNF133	0.0	0.0	3.38	15.0	5.59	37.05	6.46	7.17	16.51	14.45	18.29	10.0	3.89	3.11	4.66	3.0	0.0	1.43	1.43
RNF148	6.57	0.0	2.36	19.82	6.21	42.71	4.13	16.51	31.22	15.68	30.78	25.17	2.61	4.28	7.75	3.72	2.94	0.97	0.97
SERTAD1	674.59	0.0	651.58	2104.58	583.07	1769.57	305.55	842.36	3235.01	1819.35	1936.53	1427.22	748.61	743.43	954.43	890.44	420.68	624.99	624.99
SF1	830.75	2537.92	2133.97	6935.54	2271.4	5006.93	2303.12	3768.09	3982.99	4836.35	5555.65	4937.99	4066.71	1963.57	4268.94	4066.71	1977.24	1295.13	1295.13
SFTPA1	148.09	0.0	286861.53	5809569.18	1703415.74	2326934.84	3406832.48	4252853.3	1171559.48	1916442.45	3832885.91	3968052.37	2691538.19	1691649.38	2425749.94	3028138.0	8658.09	967.76	967.76
SFTPA2	256.78	22225.61	341137.96	6014443.23	1246973.04	2493947.08	4851500.88	5163792.94	1751305.3	2786455.11	5163792.94	3968052.37	2825352.59	1775752.63	3406832.48	4051429.61	13681.08	1183.45	1183.45
SGMS2	42.71	0.0	307.69	15499.21	769.69	6471.02	921.88	2468.49	8963.45	3982.99	5913.33	3081.75	4152.18	1023.0	1143.1	7280.4	51.35	59.13	59.13
SIK2	38.95	0.0	180.02	507.46	363.56	723.08	384.34	532.74	473.41	890.44	669.92	473.41	466.88	242.88	356.05	441.64	45.53	60.82	60.82
SIPA1L3	107.38	98.73	122.64	486.75	223.41	387.02	483.38	368.65	420.68	309.83	329.84	341.51	147.06	299.25	450.94	563.18	72.52	61.25	61.25
SLC19A2	147.06	0.0	381.68	1119.56	363.56	1151.06	420.68	555.41	854.13	728.11	854.13	728.11	423.61	265.87	316.37	397.93	185.11	305.55	305.55
SLC25A44	162.14	339.14	356.05	1073.91	381.68	830.75	486.75	540.19	854.13	723.08	1059.11	486.75	591.22	400.71	480.04	599.49	201.25	348.71	348.71
SLC31A2	397.93	0.0	1359.57	2018.8	1340.84	2573.36	2591.27	2701.35	1950.0	2133.97	2133.97	1191.69	1508.65	2104.58	1044.52	1096.5	241.19	299.25	299.25
SLC45A4	108.14	0.0	194.36	551.56	134.3	283.05	189.02	185.11	201.25	607.87	279.14	334.46	258.57	204.07	231.32	155.5	96.68	68.07	68.07
SLC7A6	124.37	0.0	127.0	660.68	299.25	551.56	320.8	426.57	536.45	463.65	518.15	529.06	392.44	236.21	178.77	368.65	100.83	111.99	111.99
SNIP1	90.14	120.94	141.02	291.04	153.34	232.94	113.56	191.67	279.14	217.27	217.27	215.77	144.01	140.04	178.77	147.06	74.06	93.35	93.35
SPATA2L	76.17	0.0	197.09	599.49	279.14	454.09	190.34	301.33	497.0	579.04	651.58	403.5	156.59	255.0	167.9	291.04	107.38	106.63	106.63
SSTR4	0.0	0.0	0.0	3.47	1.43	0.0	4.21	5.54	4.03	2.58	1.91	0.0	1.81	0.0	3.23	4.9	0.0	0.0	0.0
STIM1	269.6	1322.37	651.58	1127.35	587.13	808.0	1216.75	934.76	830.75	981.29	1081.39	769.69	665.29	679.29	575.03	995.0	540.19	497.0	497.0
SYNE1	87.65	0.0	688.78	4937.99	1268.46	2664.15	1277.29	8191.0	1896.65	3146.52	7749.1	3982.99	2004.85	1757.34	1977.24	7081.29	65.72	43.02	43.02
TGM4	0.0	0.0	0.82	10.0	1.77	23.76	1.23	8.38	7.4	6.36	15.68	1.22	6.94	2.27	0.43	2.18	87.03	1.28	1.28
THBD	271.48	0.0	878.17	3515.68	1594.73	4639.29	2255.7	3443.31	4512.4	4298.64	4481.23	1216.75	2351.53	5329.3	2178.83	2739.08	226.54	61.25	61.25
TMEM30B	529.06	173.85	371.22	1081.39	723.08	1066.48	796.86	1044.52	1151.06	688.78	884.29	1044.52	995.0	708.18	718.08	684.02	379.04	144.01	144.01
TRIM26	291.04	890.44	567.1	1037.29	759.08	915.51	866.07	1044.52	988.12	896.64	872.1	1051.79	738.29	890.44	836.53	1066.48	206.94	329.84	329.84
TSSC4	444.72	0.0	633.73	1250.98	915.51	1909.85	486.75	775.05	1757.34	830.75	1519.15	1175.27	1191.69	860.08	813.63	902.89	525.39	429.54	429.54
UBALD1	262.2	0.0	426.57	890.44	819.3	860.08	620.67	647.07	825.0	703.28	1167.14	1073.91	547.75	647.07	493.56	775.05	234.57	429.54	429.54
UNC5B	54.72	0.0	104.42	525.39	194.36	115.16	358.54	1119.56	97.36	607.87	1001.93	102.25	127.0	271.48	571.05	1030.12	115.97	54.72	54.72
USP27X	14.45	57.49	53.19	802.41	117.6	348.71	69.52	264.03	642.59	283.05	305.55	392.44	100.83	162.14	149.12	201.25	10.71	17.25	17.25
VPS37B	136.19	587.13	713.11	2682.69	638.15	2400.97	693.58	1104.13	2209.26	1745.2	2018.8	1781.89	1286.18	728.11	909.17	961.07	287.01	208.38	208.38
ZBTB42	80.01	0.0	177.53	447.82	312.0	299.25	323.03	384.34	260.38	269.6	325.29	297.17	236.21	341.51	334.46	316.37	92.7	81.71	81.71
ZC3H4	77.25	185.11	229.72	713.11	366.09	511.0	518.15	579.04	679.29	420.68	583.07	403.5	281.09	417.77	559.28	412.0	89.51	60.82	60.82
ZDHHC11B	22.1	0.0	19.11	273.37	18.7	173.85	57.89	223.41	96.01	738.29	343.89	318.57	47.5	96.68	111.21	21.78	17.9	14.45	14.45
