	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.14E6E.1526.SM.5RQIG	GTEX.11I78.1326.SM.5PNY9	GTEX.RWS6.1826.SM.47JXX	GTEX.12WSL.1826.SM.5LZW9	GTEX.V955.1726.SM.4JBHF	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.QEL4.1526.SM.447AB	GTEX.U8XE.1826.SM.4E3HV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.13111.1326.SM.5GCNO	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.FP.7735.11A.01R.2055.13
CETN2	2193.99	2434.5	2047.0	624.99	1397.83	2148.82	4010.71	1685.71	329.84	1001.93	1135.2	921.88	947.83	1417.35	1745.2	1721.16	2018.8	1447.15	2090.03	769.69	825.0	0.0	0.0	3491.39	2451.44	2271.4	3665.02	2855.44	2468.49	1378.57	2682.69
DYX1C1	40.93	38.67	57.08	22.43	34.75	36.79	55.89	31.22	1.04	26.86	21.78	29.48	14.35	32.36	22.75	29.27	25.54	16.75	76.17	6.67	4.03	0.0	0.0	54.72	41.52	57.49	31.22	39.22	44.57	27.05	54.33
DZIP3	211.31	217.27	275.28	29.48	115.97	146.03	204.07	143.01	74.06	56.68	105.15	83.45	110.43	76.71	224.97	234.57	237.86	180.02	262.2	157.68	119.26	0.0	0.08	204.07	309.83	343.89	217.27	221.86	211.31	136.19	150.17
ENTPD1	2835.7	1437.15	1832.01	71.5	329.84	567.1	1259.69	381.68	51.71	460.44	285.03	295.11	348.71	796.86	1159.07	1111.82	753.83	638.15	1216.75	379.04	329.84	241.19	82.87	872.1	693.58	587.13	366.09	612.11	480.04	376.41	703.28
FBXO16	118.43	58.3	40.64	3.08	18.03	57.49	28.04	18.16	32.13	0.0	32.82	36.27	24.99	16.15	2.56	12.45	8.78	14.24	82.87	8.65	2.84	0.0	0.0	106.63	76.17	127.89	120.1	189.02	19.39	18.7	78.34
FGFBP3	28.86	26.67	47.84	9.41	24.63	19.11	19.25	23.76	6.21	4.98	8.45	5.68	25.91	16.03	17.64	17.77	19.53	18.84	44.89	13.22	6.57	0.0	0.13	28.45	33.3	43.94	29.06	39.5	29.06	33.3	31.45
FSBP	30.78	29.91	37.32	9.85	16.88	15.45	30.78	15.11	0.0	2.76	3.38	9.48	7.22	3.35	16.39	11.91	12.18	23.08	23.25	14.35	10.79	0.0	0.21	33.3	52.82	64.34	42.11	38.12	32.82	11.13	18.84
GALNT11	860.08	684.02	708.18	177.53	629.35	780.44	753.83	532.74	194.36	476.71	490.14	444.72	454.09	444.72	607.87	669.92	651.58	633.73	718.08	361.04	325.29	0.0	0.64	808.0	785.88	981.29	728.11	884.29	764.36	599.49	703.28
GPR27	37.32	75.11	17.25	0.83	35.5	55.1	65.26	48.87	0.0	13.32	20.11	51.71	11.91	45.53	46.5	113.56	118.43	75.11	127.0	26.47	4.66	0.0	0.35	167.9	208.38	224.97	163.28	215.77	85.22	46.18	56.28
GPRASP2	392.44	323.03	341.51	5.63	353.59	309.83	665.29	218.79	12.45	88.88	154.42	111.21	85.22	107.38	141.02	269.6	281.09	232.94	392.44	92.7	87.65	0.0	0.28	400.71	563.18	563.18	423.61	473.41	490.14	356.05	373.81
GSTM4	2224.63	236.21	2004.85	336.79	1733.13	1561.89	1651.0	1757.34	1498.22	1378.57	1467.37	921.88	1167.14	1059.11	1081.39	1143.1	1331.57	954.43	2271.4	759.08	961.07	0.0	0.74	1757.34	1896.65	1447.15	2997.45	3372.43	1369.04	1304.15	2090.03
HLCS	185.11	149.12	155.5	99.43	146.03	122.64	149.12	88.26	28.65	93.35	101.54	84.63	88.26	120.1	134.3	164.42	139.07	177.53	204.07	90.77	111.21	0.0	0.23	148.09	301.33	351.14	173.85	215.77	153.34	148.09	156.59
IQCK	140.04	173.85	209.84	175.07	148.09	224.97	204.07	145.02	113.56	97.36	123.5	126.12	101.54	165.57	141.02	152.28	122.64	183.82	329.84	173.85	88.26	0.0	0.22	211.31	264.03	363.56	457.25	358.54	224.97	178.77	273.37
KB-1507C5.2	57.08	72.52	104.42	22.43	49.91	96.68	106.63	58.3	23.93	18.97	67.59	17.9	28.86	58.3	55.1	45.21	51.71	79.45	81.71	9.13	50.63	0.0	0.01	106.63	108.14	123.5	208.38	283.05	111.99	73.54	108.14
KDELC2	1477.58	684.02	764.36	161.02	373.81	543.96	791.35	435.55	67.59	312.0	301.33	265.87	267.73	629.35	518.15	723.08	397.93	470.14	769.69	180.02	329.84	0.0	0.46	872.1	785.88	995.0	878.17	708.18	713.11	518.15	540.19
KY	50.63	57.89	96.01	0.0	115.16	106.63	638.15	44.25	0.91	2.27	18.7	3.26	16.63	1.19	16.75	43.02	72.52	20.86	151.22	21.63	2.89	0.0	0.01	106.63	289.02	81.71	61.25	173.85	248.0	80.01	128.79
LNP1	99.43	120.94	105.89	19.11	52.08	77.25	114.36	75.11	10.16	32.13	42.71	31.67	23.93	34.02	44.57	66.18	82.29	69.52	80.57	31.67	25.91	0.0	0.16	100.83	81.14	75.64	106.63	134.3	90.14	47.17	109.66
MAGED1	2855.44	1605.83	1977.24	1030.12	1378.57	1498.22	1781.89	1359.57	703.28	1037.29	921.88	941.27	1051.79	1561.89	909.17	1096.5	954.43	981.29	2758.13	713.11	890.44	0.0	0.66	1936.53	2720.15	2573.36	2061.24	3349.13	1477.58	1639.59	2255.7
MAGED2	5995.9	4869.99	5791.62	1844.76	3325.99	3820.7	5954.47	3081.75	607.87	1909.85	2485.67	1697.45	2935.74	3419.52	2351.53	3168.41	3768.09	2720.15	5403.7	2520.38	1781.89	0.0	0.82	6745.86	6607.01	7280.4	7180.15	9474.59	3928.15	3280.18	4802.93
MAGEE1	95.34	79.45	105.89	2.43	64.8	68.55	132.44	57.08	0.38	29.27	62.12	52.45	24.28	34.51	31.67	65.72	67.59	48.87	146.03	36.53	29.06	0.0	0.15	89.51	144.01	130.6	144.01	224.97	78.89	62.12	78.34
MAGEF1	967.76	842.36	860.08	265.87	728.11	836.53	947.83	693.58	170.25	693.58	728.11	656.11	647.07	642.59	624.99	507.46	507.46	500.46	1023.0	571.05	500.46	0.0	0.84	1295.13	1119.56	1242.34	1066.48	1572.76	878.17	723.08	738.29
MAGEH1	860.08	603.67	743.43	62.56	521.76	688.78	878.17	571.05	52.45	293.07	389.72	334.46	343.89	368.65	307.69	555.41	438.59	540.19	941.27	332.14	376.41	0.0	0.61	981.29	954.43	1037.29	1059.11	1143.1	679.29	587.13	825.0
MAOB	3146.52	3847.29	3928.15	14.35	1295.13	1697.45	3168.41	1313.23	223.41	819.3	1088.92	299.25	279.14	366.09	1030.12	1685.71	2739.08	1457.23	4388.98	1066.48	785.88	0.0	0.55	6207.38	6164.49	3665.02	7331.05	11424.74	1909.85	1008.9	1572.76
MYL9	475800.4	485798.0	437825.58	1295.13	434801.29	456418.21	1800541.22	296977.71	1870.53	102836.01	95949.32	84109.6	102125.66	636586.81	1070607.81	716197.51	1916442.45	610654.84	223512.12	149521.18	122293.5	0.0	0.89	280957.98	228208.61	124863.17	355624.68	462789.59	527933.71	327241.36	485798.0
NAP1L2	169.07	157.68	193.01	0.99	130.6	135.24	226.54	115.16	26.86	23.59	100.83	54.33	50.98	49.91	75.11	153.34	183.82	120.94	307.69	26.86	41.22	0.0	0.16	194.36	251.48	305.55	187.71	209.84	204.07	119.26	124.37
NAT14	525.39	438.59	518.15	162.14	423.61	507.46	921.88	351.14	92.05	197.09	269.6	316.37	403.5	521.76	253.23	215.77	368.65	209.84	567.1	353.59	271.48	0.0	0.33	490.14	307.69	412.0	291.04	316.37	473.41	343.89	567.1
NDN	1313.23	1111.82	947.83	45.53	1030.12	1259.69	1769.57	1051.79	161.02	518.15	703.28	713.11	669.92	642.59	599.49	1447.15	1199.98	974.5	1540.37	620.67	497.0	0.0	0.61	2018.8	1883.54	1697.45	2255.7	2367.9	995.0	928.3	2075.59
NEK1	226.54	221.86	239.52	37.32	145.02	147.06	204.07	111.99	31.67	102.97	110.43	92.7	85.22	64.8	145.02	136.19	156.59	157.68	190.34	98.73	99.43	0.0	0.27	165.57	218.79	279.14	232.94	123.5	229.72	159.9	120.94
NGFRAP1	4704.07	3146.52	3372.43	185.11	2319.15	3257.52	4010.71	3039.3	206.94	802.41	1757.34	1508.65	1407.55	2956.17	2645.74	3081.75	2417.67	2627.46	4512.4	2434.5	769.69	0.0	1.0	6935.54	6381.92	4937.99	10014.87	9673.69	3124.78	2835.7	4575.41
NUCB2	6250.56	1819.35	2032.85	1167.14	1104.13	1359.57	1457.23	1427.22	336.79	878.17	854.13	866.07	769.69	785.88	1151.06	974.5	921.88	1487.87	2104.58	842.36	884.29	0.0	0.6	2855.44	2148.82	2777.33	2400.97	1844.76	1529.73	1477.58	2224.63
NUDT17	218.79	141.02	145.02	17.9	118.43	101.54	215.77	92.7	23.42	39.22	69.03	40.64	52.08	42.71	52.45	63.89	78.89	96.68	176.29	67.12	35.0	0.0	0.33	226.54	138.1	140.04	217.27	162.14	119.26	82.29	131.51
PCDHB16	58.3	77.79	59.97	29.06	38.67	38.12	102.97	31.67	0.0	25.54	28.45	30.34	23.76	40.36	31.0	109.66	61.25	49.56	80.01	26.86	51.35	0.0	0.36	56.28	85.22	71.0	178.77	55.89	57.08	33.54	72.01
PCDHB17	3.06	2.16	3.92	0.0	0.96	3.0	5.77	0.93	0.0	0.24	1.46	1.04	1.5	0.88	2.66	4.78	3.63	1.77	5.11	2.86	4.86	0.0	0.2	1.0	3.29	5.23	3.26	2.43	4.74	1.58	3.23
PCDHB4	99.43	79.45	65.26	1.75	59.55	64.8	127.0	47.5	2.07	21.63	29.91	39.79	23.08	30.78	68.55	136.19	95.34	56.28	102.97	41.52	59.55	0.0	0.3	76.71	89.51	126.12	144.01	98.73	81.14	51.35	95.34
PCDHB6	30.56	27.64	31.45	1.07	21.32	26.1	55.89	16.27	0.36	11.64	10.63	12.0	9.34	19.25	29.91	59.55	22.75	19.68	62.12	11.38	25.72	0.0	0.35	17.77	27.64	29.91	23.42	22.59	23.76	22.92	20.11
PEX14	2720.15	2335.28	1605.83	316.37	406.31	412.0	514.56	426.57	275.28	341.51	358.54	387.02	307.69	493.56	389.72	373.81	426.57	348.71	438.59	332.14	353.59	303.44	295.11	1896.65	961.07	1066.48	1909.85	1832.01	368.65	463.65	438.59
PHGDH	2739.08	1111.82	1350.18	169.07	813.63	1295.13	2573.36	764.36	21.16	409.15	733.19	205.5	486.75	305.55	791.35	507.46	651.58	1037.29	1304.15	334.46	358.54	0.0	0.67	1551.09	2004.85	1457.23	3235.01	3280.18	723.08	753.83	1378.57
PIFO	228.13	236.21	201.25	18.84	281.09	271.48	775.05	175.07	2.39	49.21	108.14	56.68	69.52	17.25	52.08	85.82	100.13	113.56	277.2	59.13	33.54	0.0	0.0	348.71	392.44	432.53	412.0	490.14	403.5	165.57	332.14
PTCD2	166.73	150.17	137.14	44.57	88.26	94.01	114.36	98.04	37.59	55.49	82.29	63.89	66.18	82.87	93.35	88.26	98.04	84.63	112.77	56.28	57.08	0.0	0.0	161.02	173.85	136.19	133.36	149.12	128.79	86.43	76.17
RABL5	1008.9	1051.79	860.08	244.57	813.63	988.12	1733.13	718.08	139.07	450.94	612.11	493.56	403.5	638.15	679.29	698.41	842.36	591.22	842.36	583.07	387.02	0.0	0.06	1119.56	961.07	947.83	1883.54	1407.55	1277.29	651.58	1397.83
RBM43	158.79	152.28	164.42	22.26	139.07	129.69	237.86	116.78	30.78	35.5	115.97	50.27	48.18	48.87	88.26	137.14	72.01	84.63	157.68	46.5	55.89	0.0	0.06	187.71	231.32	269.6	221.86	180.02	287.01	88.88	116.78
RHCE	6.11	3.03	6.57	1.45	6.62	2.39	5.23	10.71	5.68	4.03	2.86	3.14	3.69	3.82	3.56	3.96	1.55	5.5	3.72	2.29	1.66	0.0	0.16	17.64	18.84	39.22	28.86	22.26	5.77	6.26	6.94
RNF180	161.02	166.73	159.9	1.08	145.02	109.66	224.97	72.52	2.78	47.5	53.95	38.67	43.63	27.44	53.95	104.42	117.6	111.21	152.28	97.36	58.71	0.0	0.26	318.57	389.72	301.33	379.04	381.68	269.6	121.79	100.83
RPGRIP1L	107.38	73.03	65.26	26.47	51.35	54.72	69.03	44.89	7.88	52.08	45.53	40.36	34.51	67.12	69.03	69.52	55.49	52.45	69.52	41.81	38.12	0.0	0.0	73.03	112.77	108.14	43.02	47.84	70.51	50.63	45.53
RWDD2B	587.13	463.65	595.34	208.38	348.71	470.14	521.76	316.37	128.79	309.83	426.57	293.07	320.8	253.23	211.31	256.78	277.2	269.6	638.15	229.72	387.02	0.0	0.0	660.68	518.15	426.57	518.15	500.46	532.74	244.57	363.56
SLC25A30	325.29	332.14	241.19	72.01	143.01	187.71	206.94	165.57	62.12	201.25	111.21	122.64	107.38	87.03	138.1	166.73	134.3	143.01	185.11	85.22	137.14	0.0	0.27	381.68	698.41	490.14	309.83	244.57	224.97	128.79	144.01
SUCO	215.77	256.78	175.07	162.14	201.25	186.4	185.11	194.36	180.02	144.01	183.82	170.25	208.38	217.27	217.27	231.32	201.25	293.07	285.03	234.57	163.28	0.0	0.52	224.97	314.17	454.09	656.11	536.45	251.48	244.57	194.36
TMEM17	56.68	55.1	38.4	14.56	37.59	42.71	74.06	27.44	3.69	21.32	27.25	22.92	22.1	29.27	42.11	40.36	50.63	28.86	56.68	15.34	18.03	0.0	0.0	69.03	48.18	62.12	59.55	70.01	50.27	39.5	54.33
TRAM1L1	68.07	34.51	47.84	1.89	34.51	62.12	120.1	45.85	4.9	7.82	21.94	16.39	24.63	9.06	7.4	18.7	18.03	27.05	62.12	6.73	5.23	0.0	0.0	74.06	98.04	94.01	43.63	80.57	81.14	33.78	28.86
TRIM6	255.0	61.68	92.05	3.06	57.89	121.79	148.09	67.59	3.86	19.82	41.22	22.26	50.98	57.89	107.38	151.22	105.15	88.88	75.11	22.26	16.88	0.0	0.35	125.24	103.69	120.94	80.57	81.71	126.12	46.18	86.43
TTC8	438.59	368.65	536.45	130.6	368.65	412.0	497.0	279.14	144.01	289.02	336.79	223.41	291.04	260.38	371.22	435.55	463.65	312.0	521.76	198.47	145.02	0.0	0.06	791.35	738.29	665.29	525.39	954.43	551.56	441.64	397.93
TTLL1	218.79	169.07	228.13	28.45	137.14	171.45	279.14	152.28	70.51	53.19	113.56	106.63	112.77	79.45	121.79	121.79	122.64	108.9	217.27	67.59	46.5	0.0	0.0	246.28	217.27	231.32	244.57	267.73	229.72	166.73	136.19
USP51	52.08	58.3	57.08	1.22	28.45	26.1	44.89	29.27	1.16	7.63	20.26	10.08	12.36	10.79	17.64	36.53	29.06	28.24	57.08	13.12	7.69	0.0	0.0	44.89	78.34	79.45	79.45	113.56	47.17	33.06	37.32
UXS1	808.0	450.94	733.19	559.28	476.71	575.03	555.41	587.13	466.88	417.77	366.09	384.34	511.0	521.76	738.29	486.75	473.41	497.0	1059.11	457.25	444.72	0.0	0.39	896.64	764.36	796.86	836.53	1044.52	575.03	629.35	902.89
VPS41	769.69	796.86	748.61	273.37	567.1	591.22	633.73	470.14	262.2	444.72	521.76	450.94	500.46	503.95	674.59	679.29	624.99	679.29	733.19	540.19	343.89	379.04	444.72	723.08	988.12	1073.91	518.15	830.75	825.0	603.67	595.34
VWA8	132.44	208.38	187.71	114.36	170.25	150.17	155.5	158.79	135.24	76.17	150.17	76.71	81.14	82.29	156.59	151.22	180.02	171.45	269.6	108.14	78.89	0.0	0.39	131.51	262.2	224.97	199.85	199.85	180.02	173.85	218.79
WWOX	318.57	239.52	271.48	81.71	165.57	212.78	221.86	129.69	33.78	92.7	101.54	93.35	112.77	149.12	142.01	151.22	133.36	151.22	237.86	108.9	80.01	0.0	0.48	199.85	199.85	339.14	329.84	320.8	162.14	158.79	199.85
ZC2HC1A	299.25	320.8	454.09	38.4	208.38	198.47	346.29	157.68	17.13	96.68	113.56	118.43	123.5	127.0	205.5	262.2	291.04	224.97	314.17	147.06	44.57	0.0	0.16	348.71	361.04	400.71	316.37	339.14	392.44	239.52	215.77
ZNF157	3.06	3.89	4.39	0.0	2.76	4.86	3.32	1.57	0.0	0.23	1.83	2.27	1.35	1.53	2.05	4.46	3.63	1.73	5.5	1.17	0.21	0.0	0.0	2.61	4.46	6.16	4.13	3.53	4.5	1.01	2.56
ZNF846	503.95	503.95	397.93	87.03	159.9	147.06	264.03	195.72	84.04	99.43	206.94	137.14	301.33	234.57	305.55	387.02	332.14	336.79	323.03	248.0	155.5	0.0	0.37	587.13	423.61	521.76	547.75	693.58	228.13	215.77	277.2
ZSCAN2	162.14	138.1	152.28	63.89	115.16	142.01	178.77	126.12	55.89	91.41	135.24	77.79	141.02	105.89	57.89	81.14	70.51	111.99	144.01	120.1	122.64	0.0	0.37	120.1	182.55	183.82	246.28	197.09	144.01	95.34	170.25
