	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2R8.01A.21R.A18M.07	TCGA.MU.A8JM.01A.11R.A36F.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.C5.A2LT.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.AD.A5EJ.01A.11R.A28H.07	TCGA.NH.A6GB.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	TCGA.34.5240.01A.01R.1443.07	TCGA.39.5035.01A.01R.1443.07	TCGA.60.2723.01A.01R.0851.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2769.01A.02R.0851.07	TCGA.37.3783.01A.01R.1201.07
HMGCL	743.43	514.56	638.15	785.88	384.34	470.14	525.39	343.89	616.37	518.15	0.0	0.31	878.17	1639.59	819.3	981.29	208.38	860.08	1540.37	1183.45	1151.06	432.53	713.11	1167.14	1350.18	1457.23	1135.2	1044.52	1427.22	1167.14	1639.59	1572.76	698.41	1487.87	1216.75	1378.57	902.89	591.22	954.43	1639.59	1143.1	1037.29	1540.37	514.56	1259.69	1143.1	1175.27	1167.14	1697.45	1037.29	1119.56	1159.07	1794.29	1233.75	728.11	1467.37	1427.22	1407.55	1183.45	1617.0	743.43	417.77	587.13	480.04	674.59	559.28
HSD17B8	260.38	253.23	351.14	255.0	189.02	320.8	237.86	297.17	115.16	189.02	0.0	0.28	1417.35	1397.83	902.89	808.0	165.57	830.75	988.12	854.13	665.29	529.06	575.03	599.49	954.43	1183.45	941.27	414.87	708.18	483.38	1073.91	432.53	665.29	1583.71	1662.49	890.44	981.29	607.87	836.53	1457.23	836.53	785.88	1350.18	660.68	819.3	733.19	1127.35	1225.22	1923.14	1457.23	1225.22	1199.98	941.27	1225.22	429.54	1286.18	848.22	660.68	733.19	981.29	483.38	387.02	269.6	323.03	387.02	674.59
IL17RC	251.48	320.8	183.82	540.19	532.74	303.44	215.77	327.56	426.57	412.0	0.0	0.55	392.44	808.0	567.1	579.04	239.52	629.35	836.53	866.07	753.83	297.17	361.04	438.59	713.11	890.44	555.41	329.84	660.68	563.18	559.28	420.68	435.55	1088.92	928.3	397.93	884.29	314.17	603.67	551.56	490.14	836.53	665.29	532.74	884.29	336.79	376.41	780.44	1001.93	466.88	406.31	813.63	703.28	1008.9	334.46	896.64	866.07	1159.07	684.02	909.17	447.82	473.41	271.48	450.94	336.79	334.46
IL17RE	76.17	167.9	151.22	78.34	269.6	161.02	21.32	161.02	665.29	133.36	0.0	0.23	503.95	1001.93	395.18	1216.75	76.71	532.74	669.92	1073.91	941.27	204.07	361.04	229.72	1208.34	1639.59	271.48	228.13	555.41	514.56	872.1	713.11	205.5	1088.92	447.82	808.0	961.07	177.53	616.37	981.29	1151.06	921.88	1175.27	212.78	780.44	358.54	708.18	1066.48	642.59	255.0	450.94	1208.34	490.14	540.19	303.44	1340.84	909.17	1023.0	733.19	769.69	66.18	221.86	35.25	152.28	113.56	66.65
INCA1	11.73	5.96	7.0	6.36	18.97	12.36	19.82	18.97	21.16	14.45	0.0	0.24	98.73	102.97	57.49	143.01	84.63	129.69	95.34	65.72	55.49	47.5	90.77	27.05	82.29	122.64	45.53	40.07	89.51	103.69	119.26	39.79	55.49	115.97	37.59	106.63	77.79	99.43	90.14	76.17	99.43	126.12	142.01	56.68	94.01	34.02	85.82	103.69	64.34	23.93	42.71	112.77	44.89	158.79	59.55	82.29	102.25	137.14	74.58	22.43	14.67	17.77	14.67	21.78	19.53	8.19
INPP5K	500.46	269.6	295.11	190.34	480.04	215.77	497.0	379.04	400.71	212.78	0.0	0.33	1322.37	2090.03	890.44	2287.2	1135.2	1388.16	1540.37	2240.11	1066.48	607.87	1437.15	1250.98	1628.26	2468.49	1151.06	974.5	1594.73	1135.2	1909.85	1059.11	1001.93	1447.15	693.58	1111.82	1350.18	1073.91	1216.75	1561.89	1844.76	1167.14	1883.54	693.58	1769.57	612.11	1697.45	1639.59	1030.12	718.08	1015.93	2303.12	915.51	1487.87	679.29	1991.0	1529.73	2351.53	941.27	860.08	435.55	397.93	486.75	429.54	660.68	265.87
ITGA8	35.0	1.22	2.89	15.8	11.64	4.9	11.04	3.53	7.06	12.45	0.0	0.39	265.87	660.68	45.53	934.76	281.09	540.19	460.44	878.17	327.56	20.56	172.65	187.71	764.36	674.59	242.88	120.1	995.0	164.42	651.58	392.44	283.05	486.75	182.55	202.66	651.58	190.34	525.39	397.93	808.0	551.56	819.3	166.73	842.36	92.05	511.0	426.57	293.07	31.45	175.07	1340.84	269.6	323.03	287.01	684.02	351.14	567.1	283.05	59.97	33.78	31.0	7.82	72.52	38.12	35.25
KAT6B	65.72	73.54	51.35	83.45	75.64	37.59	34.51	36.27	120.94	78.34	53.95	57.08	241.19	289.02	132.44	420.68	169.07	332.14	246.28	249.73	180.02	74.06	131.51	161.02	244.57	253.23	126.12	154.42	212.78	164.42	226.54	199.85	127.89	256.78	115.16	217.27	264.03	128.79	248.0	384.34	297.17	285.03	314.17	85.82	307.69	193.01	228.13	256.78	202.66	89.51	154.42	316.37	185.11	260.38	68.07	283.05	231.32	264.03	271.48	167.9	88.88	79.45	143.01	131.51	87.65	27.44
KIAA1109	185.11	309.83	275.28	218.79	201.25	220.32	197.09	99.43	256.78	351.14	0.0	0.77	551.56	796.86	205.5	921.88	713.11	802.41	748.61	389.72	500.46	193.01	432.53	358.54	1051.79	507.46	400.71	178.77	583.07	389.72	1001.93	543.96	525.39	836.53	543.96	825.0	629.35	379.04	420.68	819.3	896.64	669.92	1008.9	318.57	934.76	444.72	460.44	802.41	368.65	159.9	432.53	780.44	571.05	842.36	480.04	647.07	579.04	1051.79	708.18	1059.11	113.56	147.06	105.89	384.34	208.38	112.77
LDHD	7.94	12.93	15.11	23.08	37.59	8.0	3.59	4.94	33.78	6.16	0.0	0.32	228.13	638.15	138.1	583.07	25.54	507.46	363.56	423.61	371.22	45.21	77.79	218.79	463.65	884.29	246.28	202.66	583.07	356.05	808.0	228.13	96.68	1051.79	169.07	624.99	551.56	67.59	209.84	1183.45	376.41	575.03	878.17	161.02	743.43	145.02	575.03	961.07	536.45	244.57	115.16	616.37	915.51	435.55	104.42	1250.98	514.56	579.04	373.81	325.29	55.89	23.93	14.35	59.13	27.64	53.57
