	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07
PGM2L1	6.89	6.94	100.83	20.11	99.43	10.08	48.87	72.01	58.3	10.88	11.91	24.11	17.38	217.27	120.1	12.93	17.64	116.78	35.25	104.42	29.91	38.4
PHC1	29.91	92.7	169.07	84.04	299.25	47.17	120.94	206.94	154.42	51.71	78.34	76.71	81.14	295.11	204.07	87.65	102.97	435.55	166.73	287.01	111.21	64.8
PNMAL2	1.5	11.82	35.76	2.66	24.11	2.18	7.82	25.54	8.38	2.58	3.82	2.61	3.14	30.78	13.52	3.0	5.87	34.75	13.22	20.41	4.17	5.36
RASL10B	3.32	0.14	27.84	8.32	37.32	5.15	33.78	43.63	17.77	2.29	3.59	3.08	2.43	71.0	16.51	3.96	3.44	24.81	17.64	20.56	10.16	5.06
RCAN2	15.56	12.45	202.66	57.89	769.69	34.75	133.36	334.46	63.45	15.56	18.84	20.56	30.78	525.39	334.46	22.92	41.81	312.0	195.72	307.69	67.12	85.22
SALL4	5.41	6.31	28.45	2.01	62.12	1.68	17.13	35.0	30.56	2.14	4.94	2.29	4.66	97.36	10.71	3.5	5.36	73.03	19.97	56.28	13.22	5.63
SLC17A9	7.0	14.67	178.77	20.41	103.69	33.78	173.85	246.28	36.53	37.32	15.56	28.65	23.25	205.5	205.5	13.32	15.8	182.55	81.14	185.11	61.68	25.35
SLC24A2	0.6	0.0	19.39	1.81	49.56	2.16	17.51	20.86	8.32	3.23	0.78	1.28	1.19	93.35	21.47	2.18	5.11	26.28	15.11	15.68	8.13	4.62
SLC27A1	84.63	171.45	170.25	101.54	660.68	54.33	149.12	309.83	120.94	74.58	102.97	60.82	88.26	211.31	157.68	81.14	112.77	356.05	116.78	214.27	86.43	78.34
SLC43A1	4.58	2.43	89.51	25.54	191.67	15.8	91.41	135.24	41.81	14.67	17.0	12.74	22.92	194.36	128.79	16.39	26.28	176.29	56.28	72.52	38.67	28.45
SMAD4	389.72	223.41	708.18	395.18	830.75	417.77	595.34	490.14	397.93	287.01	285.03	273.37	320.8	1023.0	866.07	395.18	406.31	830.75	718.08	769.69	587.13	291.04
SOX11	0.31	0.0	7.4	12.93	72.52	2.2	11.21	39.79	10.47	1.51	0.8	4.06	3.47	76.17	14.03	2.94	1.27	23.08	9.13	28.86	4.78	7.88
TBX2	31.45	29.06	185.11	53.95	132.44	55.49	320.8	368.65	140.04	21.63	50.63	128.79	63.45	299.25	111.99	57.08	57.08	189.02	125.24	135.24	58.3	67.59
TM6SF2	3.89	1.06	20.56	11.3	68.07	4.74	23.59	71.0	13.93	6.36	3.59	5.23	0.0	88.88	19.97	7.63	5.73	63.0	24.46	16.27	15.45	8.25
VGLL4	285.03	753.83	928.3	518.15	1295.13	409.15	1073.91	1259.69	872.1	884.29	647.07	366.09	688.78	1936.53	928.3	441.64	551.56	1617.0	825.0	1191.69	728.11	728.11
WNT2	1.53	0.0	363.56	72.52	271.48	32.82	187.71	320.8	76.17	18.7	17.25	7.34	3.79	612.11	318.57	10.39	30.56	356.05	217.27	63.45	93.35	120.1
XYLT1	1.55	48.18	127.89	31.45	100.13	28.65	202.66	163.28	67.59	37.32	40.36	3.72	7.22	205.5	143.01	9.78	115.97	176.29	100.13	130.6	24.46	99.43
ZEB1	19.39	4.7	246.28	60.39	470.14	32.82	204.07	318.57	106.63	27.84	36.53	25.35	44.57	529.06	299.25	51.35	52.82	438.59	183.82	236.21	116.78	50.98
ZNF469	8.58	3.99	131.51	40.36	540.19	14.56	406.31	149.12	111.21	7.11	14.89	16.88	9.93	536.45	242.88	13.93	25.54	183.82	185.11	166.73	59.55	48.52
ZNF532	204.07	111.99	909.17	348.71	1044.52	314.17	450.94	500.46	466.88	239.52	248.0	273.37	403.5	1487.87	679.29	368.65	299.25	791.35	406.31	896.64	473.41	289.02
