	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.11P82.1026.SM.5BC5J	GTEX.145MN.1726.SM.5SIA6	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.WQUQ.2626.SM.4MVNP	GTEX.UPIC.1726.SM.4IHKG	GTEX.QDVN.1326.SM.48TZ3	GTEX.117YW.1826.SM.5PNY5	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	TCGA.BA.5557.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4279.01A.01R.1131.13	TCGA.BR.6802.11A.01R.1884.13	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.P78B.1826.SM.3P5YX
CAMKK1	93.35	124.37	35.5	57.49	122.64	185.11	163.28	118.43	111.99	88.88	82.87	96.68	62.12	71.0	226.54	84.04	144.01	147.06	103.69	124.37	44.89	57.49	67.12	91.41	44.89	52.08	38.12	26.86	51.71	68.55	49.21	99.43
CCS	1529.73	830.75	647.07	934.76	525.39	1991.0	1674.06	1127.35	866.07	693.58	1030.12	860.08	796.86	995.0	1561.89	1127.35	1477.58	1508.65	981.29	1199.98	381.68	579.04	423.61	1030.12	318.57	265.87	384.34	684.02	341.51	450.94	796.86	1709.26
CDAN1	199.85	146.03	86.43	127.0	94.67	273.37	194.36	169.07	131.51	69.03	241.19	128.79	142.01	131.51	237.86	154.42	256.78	236.21	128.79	236.21	91.41	103.69	63.89	36.53	39.79	67.12	81.71	52.82	47.17	91.41	149.12	260.38
CNTROB	651.58	571.05	351.14	490.14	214.27	698.41	563.18	1051.79	679.29	559.28	599.49	525.39	521.76	718.08	802.41	518.15	947.83	830.75	412.0	743.43	289.02	454.09	148.09	361.04	236.21	262.2	143.01	140.04	193.01	256.78	543.96	684.02
CTBP1	2956.17	2351.53	1540.37	2434.5	1745.2	3874.05	3257.52	2664.15	2573.36	1437.15	2739.08	2555.58	2434.5	2502.97	2935.74	2148.82	2573.36	3257.52	2351.53	2997.45	1096.5	1963.57	1037.29	909.17	1427.22	1322.37	1037.29	1487.87	688.78	1397.83	2104.58	4123.49
CXXC1	2193.99	1457.23	1044.52	1572.76	1143.1	2163.77	1819.35	2163.77	1191.69	1437.15	2178.83	1721.16	1685.71	1745.2	2119.22	1437.15	2075.59	1977.24	1313.23	2303.12	1073.91	1175.27	497.0	363.56	223.41	435.55	400.71	500.46	307.69	941.27	1437.15	1685.71
DDX51	316.37	305.55	171.45	163.28	339.14	463.65	406.31	262.2	202.66	172.65	332.14	236.21	262.2	218.79	450.94	253.23	507.46	483.38	249.73	389.72	82.29	145.02	57.89	191.67	108.9	100.13	67.59	106.63	59.97	190.34	255.0	332.14
DHX34	239.52	211.31	91.41	115.16	194.36	260.38	273.37	295.11	132.44	125.24	221.86	135.24	140.04	201.25	224.97	255.0	277.2	260.38	194.36	220.32	100.83	162.14	89.51	55.89	122.64	112.77	54.72	84.63	39.22	148.09	209.84	392.44
DNMT3A	228.13	244.57	149.12	157.68	136.19	295.11	289.02	255.0	221.86	151.22	353.59	183.82	199.85	199.85	366.09	154.42	287.01	297.17	150.17	255.0	116.78	163.28	100.13	49.91	76.71	55.89	110.43	117.6	63.45	177.53	115.16	262.2
DPH1	693.58	624.99	406.31	480.04	559.28	1037.29	796.86	890.44	503.95	244.57	497.0	674.59	536.45	483.38	587.13	444.72	679.29	703.28	507.46	620.67	182.55	336.79	258.57	220.32	153.34	289.02	429.54	460.44	392.44	507.46	656.11	825.0
E4F1	536.45	420.68	273.37	287.01	325.29	423.61	412.0	432.53	392.44	242.88	444.72	346.29	379.04	406.31	503.95	473.41	409.15	529.06	346.29	490.14	212.78	262.2	155.5	108.9	114.36	258.57	119.26	183.82	77.79	293.07	353.59	532.74
ENTHD2	616.37	438.59	387.02	511.0	358.54	669.92	612.11	669.92	358.54	59.55	624.99	503.95	500.46	486.75	529.06	384.34	543.96	591.22	409.15	775.05	183.82	251.48	108.9	138.1	62.12	120.1	102.97	232.94	94.01	325.29	363.56	708.18
ENTPD2	511.0	273.37	281.09	500.46	176.29	299.25	258.57	166.73	273.37	559.28	529.06	100.83	397.93	583.07	409.15	629.35	483.38	258.57	336.79	457.25	56.68	28.65	20.11	5.96	14.14	18.29	35.0	98.73	98.73	63.89	193.01	684.02
FASTK	2351.53	1709.26	1883.54	1832.01	1066.48	1909.85	1977.24	2119.22	1662.49	825.0	2319.15	1685.71	1923.14	1936.53	2018.8	2555.58	1721.16	2240.11	1651.0	1991.0	941.27	1127.35	921.88	759.08	1183.45	1242.34	693.58	988.12	426.57	967.76	1081.39	2335.28
FBXL8	320.8	356.05	281.09	414.87	269.6	253.23	253.23	346.29	281.09	182.55	417.77	293.07	332.14	384.34	273.37	320.8	295.11	299.25	189.02	371.22	63.45	75.11	34.75	54.72	37.59	56.68	66.65	208.38	195.72	212.78	236.21	629.35
HINFP	679.29	417.77	426.57	529.06	450.94	525.39	551.56	808.0	435.55	438.59	698.41	536.45	514.56	503.95	493.56	571.05	633.73	583.07	409.15	733.19	156.59	228.13	281.09	151.22	103.69	115.16	202.66	341.51	108.14	289.02	361.04	599.49
IGHMBP2	368.65	267.73	199.85	173.85	170.25	480.04	514.56	214.27	197.09	177.53	262.2	232.94	249.73	193.01	429.54	181.28	409.15	599.49	454.09	363.56	148.09	229.72	107.38	109.66	70.01	76.17	99.43	87.65	114.36	201.25	228.13	381.68
IGJ	654483.73	539026.74	499455.67	506427.83	472513.8	636586.81	632189.57	561916.97	472513.8	456418.21	602247.76	706337.4	506427.83	641014.63	509950.32	602247.76	506427.83	254974.66	428815.23	348306.01	134.3	33224.42	417.77	14361.31	5006.93	371.22	204252.32	239554.43	23492.92	641014.63	453265.5	299043.36
IKBKB	693.58	693.58	414.87	620.67	775.05	1008.9	660.68	733.19	473.41	343.89	928.3	884.29	713.11	775.05	759.08	525.39	1030.12	915.51	454.09	909.17	244.57	518.15	457.25	126.12	236.21	438.59	248.0	293.07	287.01	536.45	669.92	981.29
KCTD13	473.41	363.56	253.23	295.11	231.32	551.56	368.65	753.83	316.37	209.84	532.74	336.79	334.46	312.0	435.55	323.03	397.93	389.72	262.2	470.14	122.64	177.53	116.78	70.51	56.68	96.68	159.9	221.86	89.51	145.02	262.2	480.04
MAEA	1857.6	1477.58	1674.06	1709.26	1519.15	1437.15	1457.23	1639.59	1561.89	808.0	1963.57	1721.16	2133.97	2018.8	1583.71	1709.26	1417.35	1745.2	1617.0	1844.76	921.88	1183.45	1233.75	884.29	928.3	1447.15	738.29	1127.35	571.05	1088.92	1519.15	2271.4
METTL17	1923.14	1572.76	1322.37	1388.16	1073.91	1561.89	1757.34	1529.73	1350.18	1030.12	1991.0	1909.85	1561.89	1883.54	1819.35	1498.22	2119.22	1757.34	1331.57	1923.14	395.18	507.46	775.05	995.0	224.97	497.0	392.44	723.08	361.04	802.41	967.76	1378.57
MRI1	480.04	403.5	368.65	463.65	183.82	571.05	277.2	567.1	343.89	79.45	529.06	297.17	253.23	409.15	540.19	346.29	389.72	587.13	277.2	555.41	148.09	287.01	371.22	151.22	205.5	316.37	108.14	336.79	76.71	248.0	343.89	1259.69
MST1	381.68	234.57	127.0	212.78	85.82	241.19	403.5	271.48	287.01	82.29	403.5	102.97	133.36	395.18	150.17	187.71	368.65	279.14	105.15	155.5	17.64	81.71	32.82	44.57	10.08	29.27	32.13	95.34	102.97	120.1	341.51	934.76
MUS81	1183.45	1081.39	764.36	890.44	753.83	1477.58	1388.16	954.43	854.13	764.36	1175.27	890.44	954.43	921.88	1427.22	1008.9	1437.15	1388.16	1008.9	1322.37	373.81	647.07	395.18	791.35	295.11	226.54	348.71	713.11	384.34	575.03	780.44	1119.56
MZF1	480.04	299.25	197.09	323.03	137.14	536.45	387.02	447.82	255.0	84.04	397.93	283.05	287.01	336.79	392.44	361.04	460.44	466.88	181.28	579.04	63.89	130.6	72.01	20.41	34.02	99.43	84.04	143.01	72.01	148.09	264.03	688.78
NAA40	346.29	303.44	336.79	336.79	291.04	293.07	237.86	514.56	297.17	165.57	412.0	256.78	371.22	525.39	361.04	348.71	297.17	353.59	242.88	320.8	60.39	170.25	125.24	114.36	54.33	77.25	92.7	116.78	115.97	190.34	206.94	336.79
NBPF11	356.05	242.88	312.0	295.11	150.17	432.53	507.46	293.07	144.01	127.0	379.04	414.87	229.72	450.94	356.05	193.01	493.56	450.94	201.25	392.44	84.04	162.14	105.89	12.09	64.8	94.67	77.79	69.52	60.39	108.14	166.73	191.67
NCKIPSD	511.0	366.09	368.65	406.31	249.73	299.25	316.37	708.18	414.87	432.53	406.31	289.02	525.39	412.0	426.57	414.87	559.28	432.53	412.0	420.68	155.5	269.6	117.6	97.36	140.04	132.44	180.02	202.66	177.53	236.21	470.14	480.04
NEK8	105.89	102.97	97.36	120.1	67.59	96.01	53.19	182.55	98.73	36.79	137.14	127.0	113.56	111.99	102.25	64.8	111.21	92.7	56.68	110.43	15.22	44.57	26.67	20.56	20.71	15.22	16.27	30.34	35.76	41.52	50.27	134.3
NEURL4	480.04	387.02	289.02	373.81	295.11	412.0	476.71	896.64	312.0	77.79	432.53	348.71	368.65	470.14	559.28	341.51	497.0	607.87	339.14	603.67	76.17	165.57	62.56	67.59	57.89	96.01	52.45	56.28	38.67	129.69	239.52	483.38
PABPN1	2796.65	2335.28	1832.01	2451.44	1857.6	3564.78	3018.3	2255.7	2591.27	1857.6	2502.97	2645.74	2434.5	2739.08	2701.35	2627.46	3018.3	2935.74	2335.28	3540.14	1167.14	1427.22	819.3	1651.0	785.88	974.5	1388.16	1277.29	961.07	1923.14	2119.22	3124.78
PARP10	1199.98	703.28	457.25	603.67	432.53	1331.57	1359.57	878.17	669.92	305.55	1135.2	928.3	540.19	647.07	1583.71	1183.45	1350.18	2485.67	633.73	878.17	287.01	679.29	215.77	299.25	154.42	253.23	183.82	229.72	255.0	332.14	493.56	1674.06
PELP1	669.92	698.41	218.79	316.37	647.07	759.08	759.08	1359.57	514.56	379.04	620.67	559.28	366.09	412.0	1051.79	540.19	1015.93	1037.29	728.11	688.78	258.57	518.15	229.72	190.34	228.13	363.56	314.17	162.14	194.36	599.49	723.08	1030.12
PHKA2	540.19	307.69	215.77	320.8	273.37	543.96	371.22	438.59	277.2	178.77	665.29	323.03	457.25	432.53	454.09	327.56	679.29	511.0	242.88	1037.29	96.01	159.9	121.79	134.3	53.95	99.43	164.42	141.02	138.1	199.85	301.33	521.76
PIDD	409.15	249.73	249.73	320.8	137.14	346.29	325.29	392.44	249.73	133.36	363.56	253.23	341.51	339.14	441.64	346.29	420.68	397.93	205.5	334.46	64.34	136.19	68.07	57.89	35.76	103.69	25.72	180.02	94.67	193.01	295.11	423.61
POLM	392.44	395.18	307.69	303.44	316.37	336.79	275.28	607.87	249.73	212.78	480.04	348.71	339.14	389.72	414.87	271.48	547.75	379.04	275.28	414.87	193.01	163.28	131.51	39.79	53.95	89.51	109.66	211.31	185.11	336.79	457.25	620.67
PPP1R10	854.13	842.36	500.46	708.18	412.0	743.43	684.02	1059.11	854.13	258.57	866.07	669.92	603.67	599.49	825.0	514.56	1073.91	748.61	674.59	872.1	466.88	599.49	312.0	163.28	339.14	368.65	384.34	348.71	255.0	500.46	974.5	1023.0
RP11-5A19.5	50.98	42.41	20.71	56.28	22.92	44.25	42.71	54.33	32.59	30.78	59.97	37.59	14.89	33.06	40.93	88.26	54.72	43.02	10.39	54.33	0.0	12.64	3.32	0.0	1.25	1.77	6.46	0.0	21.63	18.16	34.75	141.02
SAMD1	1388.16	764.36	723.08	842.36	748.61	1096.5	1388.16	825.0	1088.92	780.44	1250.98	642.59	830.75	909.17	1037.29	1639.59	981.29	1369.04	1119.56	1216.75	518.15	579.04	299.25	320.8	603.67	688.78	237.86	412.0	244.57	575.03	567.1	1467.37
SHARPIN	1769.57	967.76	813.63	1151.06	764.36	1806.78	2417.67	1286.18	1104.13	500.46	1498.22	954.43	1135.2	988.12	1378.57	1651.0	1250.98	1757.34	1467.37	1529.73	1304.15	1015.93	866.07	1233.75	748.61	759.08	591.22	1216.75	327.56	1015.93	1529.73	2367.9
SIRT3	518.15	521.76	454.09	656.11	301.33	532.74	473.41	567.1	325.29	323.03	551.56	563.18	567.1	684.02	466.88	454.09	536.45	507.46	387.02	486.75	162.14	176.29	176.29	176.29	142.01	190.34	154.42	187.71	141.02	301.33	283.05	429.54
SLC35E2B	738.29	358.54	511.0	698.41	334.46	1225.22	890.44	764.36	460.44	244.57	860.08	587.13	884.29	612.11	616.37	514.56	928.3	909.17	384.34	1143.1	82.29	325.29	123.5	43.02	133.36	138.1	178.77	193.01	158.79	507.46	764.36	1216.75
SPDYA	13.32	13.62	15.45	6.11	5.32	25.54	18.16	12.27	7.69	6.52	11.91	8.71	7.34	10.63	31.0	23.42	29.27	16.63	8.85	18.56	7.11	3.44	0.74	6.21	0.0	1.95	1.28	3.38	3.03	5.02	10.24	23.25
SRRM5	15.91	13.03	5.92	6.84	4.31	14.14	14.35	13.42	12.93	2.07	12.0	12.74	4.17	12.18	11.13	15.91	11.55	15.34	8.92	10.71	0.73	4.35	3.08	0.0	0.82	1.45	0.0	0.0	0.17	3.06	8.71	21.78
STK11IP	480.04	503.95	409.15	493.56	507.46	579.04	497.0	587.13	348.71	265.87	414.87	438.59	532.74	348.71	470.14	518.15	525.39	563.18	400.71	624.99	221.86	236.21	131.51	173.85	105.15	177.53	115.97	133.36	167.9	212.78	307.69	511.0
TAB1	329.84	309.83	194.36	297.17	199.85	447.82	470.14	327.56	316.37	152.28	307.69	307.69	281.09	277.2	406.31	273.37	435.55	435.55	323.03	387.02	262.2	228.13	212.78	164.42	206.94	209.84	166.73	234.57	96.68	190.34	226.54	454.09
TMEM63A	1437.15	1286.18	733.19	1127.35	947.83	1167.14	902.89	1119.56	1143.1	1001.93	2148.82	1721.16	1259.69	1561.89	1674.06	1340.84	2384.37	1378.57	723.08	1697.45	242.88	297.17	100.13	69.03	90.77	120.94	447.82	429.54	620.67	728.11	1359.57	2271.4
TOP3B	426.57	305.55	201.25	271.48	301.33	575.03	301.33	381.68	403.5	125.24	447.82	483.38	343.89	432.53	438.59	473.41	595.34	503.95	281.09	629.35	262.2	217.27	138.1	124.37	67.59	116.78	99.43	131.51	90.14	239.52	379.04	529.06
TRIM52	277.2	201.25	133.36	197.09	153.34	341.51	246.28	229.72	161.02	107.38	320.8	242.88	221.86	289.02	356.05	209.84	389.72	356.05	131.51	400.71	35.0	99.43	33.06	16.63	18.03	23.42	92.7	63.45	87.65	128.79	158.79	361.04
TRMT2A	915.51	775.05	363.56	500.46	647.07	934.76	1104.13	1015.93	571.05	161.02	796.86	713.11	551.56	708.18	1135.2	775.05	1119.56	1051.79	995.0	775.05	599.49	651.58	339.14	647.07	303.44	241.19	239.52	529.06	158.79	361.04	483.38	954.43
TSC2	1340.84	1143.1	728.11	1127.35	759.08	1674.06	1437.15	1561.89	890.44	684.02	1662.49	1008.9	1199.98	1388.16	1225.22	947.83	1628.26	1561.89	878.17	1487.87	651.58	651.58	400.71	206.94	234.57	583.07	507.46	327.56	529.06	813.63	1175.27	1991.0
TTC31	429.54	454.09	414.87	389.72	389.72	607.87	514.56	547.75	312.0	215.77	486.75	406.31	454.09	444.72	529.06	303.44	587.13	555.41	387.02	559.28	167.9	256.78	108.14	142.01	136.19	82.87	189.02	214.27	173.85	265.87	309.83	629.35
UBXN11	412.0	224.97	146.03	212.78	201.25	511.0	309.83	490.14	426.57	162.14	283.05	277.2	214.27	237.86	500.46	293.07	503.95	435.55	271.48	269.6	151.22	144.01	108.14	102.25	114.36	73.03	152.28	295.11	185.11	279.14	312.0	457.25
USP21	567.1	423.61	346.29	432.53	267.73	718.08	733.19	490.14	435.55	255.0	669.92	493.56	373.81	473.41	674.59	525.39	743.43	728.11	457.25	713.11	177.53	277.2	336.79	132.44	194.36	363.56	312.0	397.93	209.84	366.09	529.06	954.43
ZADH2	616.37	392.44	503.95	825.0	525.39	872.1	624.99	808.0	426.57	426.57	825.0	480.04	660.68	536.45	603.67	547.75	738.29	718.08	551.56	884.29	142.01	327.56	412.0	151.22	460.44	314.17	223.41	351.14	248.0	267.73	297.17	718.08
ZBTB12	85.82	78.89	21.78	31.45	40.64	120.94	107.38	94.01	60.39	36.79	116.78	55.49	34.26	48.87	86.43	102.25	74.58	102.25	68.07	90.14	17.9	32.59	22.1	6.67	31.45	18.43	19.82	26.86	0.95	23.76	62.56	155.5
ZNF284	38.95	21.94	14.67	26.67	33.78	48.18	48.52	22.26	20.11	1.57	34.02	38.4	18.16	41.22	31.22	20.86	24.63	34.75	18.29	36.79	6.26	14.89	7.11	4.13	4.7	8.71	9.63	20.71	2.01	13.72	15.56	43.02
ZNF785	275.28	183.82	94.67	169.07	129.69	156.59	127.89	204.07	104.42	50.27	307.69	134.3	146.03	269.6	189.02	95.34	258.57	232.94	80.57	295.11	19.68	55.89	45.85	31.22	22.43	16.15	41.81	71.5	27.64	86.43	130.6	371.22
