	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
ANKRD12	88.26	26.47	0.0	0.49	88.26	177.53	134.3	397.93	381.68	161.02	376.41	136.19	303.44	181.28	137.14	141.02	172.65	277.2	197.09	226.54	202.66	314.17	118.43	241.19	157.68	143.01	414.87	117.6	93.35	299.25	206.94	135.24	149.12	146.03	185.11	181.28	95.34	134.3	120.1	348.71	80.01	107.38	110.43	128.79	159.9	316.37	189.02	256.78	231.32	223.41	214.27	142.01	236.21	132.44	132.44	318.57	307.69	92.7	165.57	277.2	289.02	117.6	173.85	131.51	162.14	231.32	159.9	149.12	88.26	234.57	114.36	140.04	94.01	172.65	138.1
ANXA5	4038.61	1519.15	0.0	1.11	8479.89	10585.95	6887.62	10585.95	14461.21	5112.16	9673.69	8901.53	14867.79	8598.28	7695.57	6840.04	8840.04	6516.03	12502.12	7695.57	9945.68	10368.08	6037.61	6381.92	7230.1	6792.79	9151.82	5441.3	9474.59	8598.28	8421.31	7803.01	5633.22	6561.36	7032.37	8778.97	7081.29	10225.32	5555.65	8963.45	6121.9	5791.62	11992.79	9740.98	8191.0	8078.22	8134.41	8901.53	10154.69	7130.55	2935.74	4038.61	9344.14	5255.91	6983.79	12415.75	8247.98	5831.91	8191.0	8598.28	7695.57	5441.3	8598.28	4937.99	12676.65	6079.61	5329.3	8191.0	9279.58	6792.79	6840.04	5711.87	6037.61	6294.04	5219.6
AP1AR	281.09	82.29	0.0	0.4	103.69	242.88	199.85	329.84	417.77	253.23	429.54	211.31	384.34	273.37	173.85	217.27	249.73	366.09	400.71	332.14	289.02	366.09	185.11	305.55	299.25	159.9	379.04	228.13	271.48	381.68	218.79	234.57	217.27	182.55	327.56	329.84	145.02	189.02	199.85	400.71	86.43	170.25	255.0	159.9	246.28	493.56	441.64	351.14	314.17	336.79	305.55	185.11	346.29	172.65	224.97	460.44	299.25	212.78	242.88	361.04	417.77	158.79	303.44	204.07	297.17	327.56	161.02	256.78	198.47	165.57	178.77	202.66	226.54	167.9	113.56
ATAD2B	26.1	14.89	0.0	0.36	52.45	59.55	63.0	164.42	164.42	67.12	150.17	69.52	120.1	108.9	64.8	77.79	112.77	177.53	145.02	116.78	134.3	149.12	48.18	130.6	66.18	56.28	193.01	58.71	57.08	171.45	82.29	78.34	84.04	46.5	102.97	79.45	52.45	57.08	52.45	162.14	35.0	53.19	80.01	66.65	104.42	126.12	114.36	112.77	123.5	90.14	71.0	50.63	124.37	77.79	88.88	147.06	85.22	60.82	95.34	133.36	152.28	72.52	89.51	70.01	94.01	100.83	59.55	64.34	42.41	89.51	54.72	47.84	46.5	89.51	50.27
ATG3	476.71	305.55	1225.22	309.83	665.29	718.08	660.68	860.08	1023.0	607.87	866.07	591.22	896.64	708.18	684.02	583.07	633.73	915.51	651.58	665.29	743.43	813.63	620.67	723.08	753.83	642.59	620.67	334.46	647.07	928.3	579.04	660.68	854.13	708.18	688.78	921.88	759.08	688.78	633.73	860.08	693.58	660.68	713.11	660.68	728.11	647.07	921.88	769.69	665.29	1023.0	698.41	595.34	679.29	607.87	748.61	796.86	909.17	698.41	733.19	796.86	769.69	514.56	612.11	703.28	684.02	723.08	651.58	665.29	638.15	738.29	656.11	651.58	688.78	759.08	525.39
ATP13A3	155.5	656.11	2739.08	226.54	414.87	647.07	483.38	1015.93	1159.07	728.11	1487.87	547.75	1268.46	791.35	483.38	656.11	813.63	1378.57	941.27	733.19	723.08	1322.37	500.46	669.92	785.88	470.14	1378.57	620.67	656.11	947.83	769.69	708.18	579.04	521.76	713.11	1008.9	358.54	559.28	679.29	1407.55	400.71	395.18	587.13	441.64	612.11	947.83	1159.07	1135.2	521.76	921.88	1242.34	525.39	713.11	414.87	708.18	1111.82	1104.13	480.04	603.67	830.75	1350.18	429.54	825.0	532.74	616.37	1233.75	579.04	819.3	473.41	551.56	529.06	486.75	529.06	389.72	361.04
ATP6V1G1	2758.13	1628.26	2758.13	1583.71	6840.04	10585.95	8078.22	15285.81	11345.82	7966.99	8658.09	11112.3	13399.51	9151.82	8479.89	11424.74	9606.86	7081.29	10084.54	10225.32	10585.95	9673.69	6745.86	8022.41	8305.36	6840.04	11584.24	9151.82	9673.69	9409.14	8840.04	9945.68	8134.41	5872.48	8778.97	12160.22	10084.54	9606.86	8247.98	10154.69	11424.74	6935.54	9740.98	8658.09	10440.2	14262.1	10368.08	13968.57	11992.79	10733.74	8718.32	5147.73	16727.26	6840.04	8901.53	9344.14	9151.82	8718.32	10585.95	9876.98	8134.41	7382.04	9409.14	7537.18	9945.68	8421.31	5555.65	7280.4	7749.1	6652.97	7911.95	5791.62	7749.1	6983.79	5954.47
BAZ1A	115.97	42.11	0.0	0.29	156.59	307.69	249.73	463.65	532.74	281.09	490.14	351.14	457.25	438.59	293.07	323.03	361.04	728.11	497.0	500.46	493.56	525.39	223.41	460.44	339.14	172.65	775.05	327.56	279.14	633.73	376.41	293.07	343.89	208.38	514.56	295.11	320.8	295.11	423.61	591.22	303.44	229.72	299.25	287.01	356.05	500.46	587.13	463.65	500.46	521.76	260.38	336.79	483.38	325.29	363.56	490.14	389.72	185.11	403.5	470.14	521.76	325.29	295.11	251.48	417.77	417.77	242.88	249.73	194.36	258.57	189.02	164.42	205.5	339.14	197.09
BCLAF1	164.42	140.04	0.0	0.74	470.14	1159.07	915.51	2018.8	2367.9	872.1	2090.03	753.83	2303.12	1378.57	1008.9	603.67	1167.14	1605.83	1313.23	1447.15	1407.55	2163.77	860.08	1757.34	1096.5	796.86	1963.57	651.58	934.76	1721.16	1127.35	884.29	775.05	884.29	1037.29	1369.04	366.09	733.19	493.56	2004.85	547.75	679.29	967.76	981.29	1208.34	1519.15	1572.76	1832.01	1605.83	1159.07	1397.83	753.83	967.76	830.75	890.44	2193.99	1359.57	529.06	1119.56	1977.24	1857.6	599.49	1199.98	759.08	860.08	1508.65	1081.39	1111.82	483.38	1081.39	642.59	743.43	679.29	848.22	500.46
BICD1	53.57	6.62	0.0	0.57	198.47	409.15	244.57	934.76	403.5	285.03	426.57	441.64	460.44	493.56	332.14	275.28	529.06	1111.82	633.73	532.74	480.04	884.29	215.77	629.35	381.68	209.84	3146.52	309.83	559.28	607.87	791.35	305.55	185.11	165.57	339.14	647.07	301.33	185.11	104.42	693.58	599.49	262.2	334.46	647.07	400.71	563.18	638.15	674.59	764.36	511.0	323.03	249.73	665.29	127.89	346.29	896.64	206.94	175.07	723.08	497.0	473.41	153.34	559.28	186.4	112.77	441.64	166.73	429.54	291.04	94.01	127.0	105.15	181.28	80.57	303.44
C16orf87	55.1	114.36	0.0	0.22	105.89	165.57	128.79	237.86	209.84	120.94	204.07	155.5	223.41	148.09	124.37	117.6	165.57	241.19	180.02	127.89	148.09	214.27	113.56	185.11	138.1	117.6	215.77	144.01	126.12	205.5	127.0	116.78	116.78	94.67	146.03	234.57	80.01	127.89	101.54	239.52	109.66	114.36	88.88	123.5	146.03	197.09	264.03	187.71	176.29	127.89	167.9	101.54	429.54	76.71	138.1	237.86	208.38	108.14	158.79	185.11	244.57	90.14	171.45	108.9	129.69	154.42	84.63	156.59	130.6	82.29	111.99	96.68	131.51	82.29	97.36
CAB39	463.65	253.23	0.0	0.79	890.44	1286.18	1191.69	1572.76	1733.13	1233.75	1806.78	1001.93	1529.73	1044.52	1127.35	1304.15	934.76	1159.07	1437.15	1183.45	1081.39	1295.13	941.27	1183.45	1467.37	1167.14	1191.69	915.51	934.76	1388.16	1073.91	1191.69	954.43	1119.56	1651.0	1936.53	813.63	915.51	764.36	1745.2	866.07	842.36	1096.5	974.5	1388.16	1233.75	1250.98	1191.69	878.17	1322.37	1857.6	854.13	1111.82	1104.13	1427.22	1769.57	1651.0	785.88	928.3	1369.04	1697.45	785.88	1709.26	1059.11	954.43	1427.22	1051.79	1051.79	1242.34	967.76	928.3	1059.11	995.0	890.44	723.08
CCDC59	283.05	98.73	0.0	0.61	463.65	708.18	595.34	1135.2	830.75	466.88	780.44	638.15	723.08	753.83	607.87	796.86	651.58	796.86	921.88	633.73	703.28	860.08	389.72	713.11	518.15	591.22	718.08	583.07	540.19	825.0	551.56	575.03	612.11	571.05	703.28	733.19	547.75	624.99	819.3	698.41	543.96	559.28	563.18	995.0	791.35	836.53	791.35	769.69	775.05	753.83	518.15	450.94	656.11	529.06	629.35	629.35	693.58	387.02	555.41	624.99	1397.83	693.58	665.29	551.56	743.43	551.56	651.58	514.56	679.29	660.68	703.28	583.07	688.78	764.36	463.65
CCNC	988.12	441.64	1639.59	193.01	536.45	1628.26	1037.29	1745.2	1896.65	1561.89	1508.65	1044.52	2271.4	1250.98	1081.39	559.28	1322.37	1350.18	961.07	1277.29	1477.58	1551.09	583.07	1457.23	1242.34	961.07	1119.56	866.07	1044.52	748.61	1685.71	1331.57	1322.37	819.3	1561.89	1605.83	813.63	1044.52	775.05	1674.06	842.36	775.05	802.41	684.02	1167.14	1259.69	1572.76	1583.71	1304.15	1572.76	1697.45	780.44	928.3	1191.69	1216.75	1572.76	1583.71	679.29	1159.07	1685.71	1561.89	638.15	1183.45	981.29	1583.71	1119.56	775.05	1208.34	1143.1	1059.11	836.53	884.29	1127.35	947.83	842.36
CCNJ	47.84	8.0	0.0	0.45	38.12	90.77	63.89	105.15	163.28	73.03	113.56	76.71	125.24	96.01	69.03	76.17	109.66	140.04	105.15	121.79	114.36	130.6	46.5	102.25	72.01	55.1	159.9	54.72	75.11	121.79	82.87	63.45	64.34	68.55	80.01	95.34	56.68	68.55	42.71	156.59	42.71	60.82	91.41	79.45	108.9	128.79	143.01	119.26	140.04	107.38	86.43	49.91	87.03	53.19	71.0	150.17	86.43	55.1	107.38	114.36	166.73	58.71	98.73	64.34	63.0	90.77	56.28	42.71	43.63	64.34	50.27	38.12	48.18	48.18	23.25
CDC23	189.02	208.38	0.0	0.46	265.87	423.61	387.02	529.06	497.0	457.25	480.04	356.05	507.46	429.54	476.71	376.41	447.82	514.56	454.09	466.88	457.25	543.96	336.79	507.46	392.44	376.41	571.05	406.31	332.14	647.07	483.38	490.14	387.02	314.17	432.53	536.45	251.48	351.14	316.37	493.56	395.18	309.83	371.22	307.69	463.65	579.04	532.74	463.65	373.81	521.76	612.11	371.22	371.22	397.93	336.79	470.14	579.04	295.11	392.44	463.65	579.04	325.29	426.57	429.54	438.59	500.46	412.0	400.71	435.55	507.46	361.04	363.56	356.05	358.54	358.54
CDK2	118.43	251.48	1909.85	186.4	309.83	334.46	454.09	616.37	514.56	420.68	511.0	384.34	457.25	480.04	457.25	379.04	441.64	559.28	476.71	595.34	599.49	575.03	381.68	595.34	518.15	397.93	674.59	414.87	460.44	743.43	397.93	353.59	361.04	366.09	529.06	353.59	389.72	432.53	470.14	295.11	432.53	368.65	518.15	316.37	563.18	660.68	660.68	543.96	450.94	555.41	486.75	314.17	525.39	387.02	397.93	457.25	366.09	351.14	500.46	511.0	660.68	351.14	376.41	361.04	301.33	497.0	387.02	348.71	341.51	395.18	358.54	483.38	379.04	409.15	289.02
CDK5R1	27.05	7.17	0.0	0.46	43.63	21.47	17.64	17.77	17.9	34.02	33.06	23.76	23.25	20.11	24.99	30.12	43.32	68.55	42.11	32.36	34.51	31.45	29.48	34.75	24.81	22.92	48.52	35.0	52.08	37.85	20.11	21.32	24.99	48.87	27.84	29.48	27.05	12.93	42.41	41.81	15.0	25.54	32.36	55.89	30.56	54.33	35.0	40.07	32.36	32.82	39.79	113.56	46.18	26.28	22.43	33.06	19.53	16.15	33.78	34.26	42.41	25.91	40.93	24.46	19.68	52.82	20.11	87.65	30.12	9.7	22.1	10.0	27.84	8.32	11.3
CEP170	65.26	48.52	0.0	0.75	98.73	204.07	171.45	361.04	529.06	92.7	341.51	157.68	371.22	242.88	148.09	226.54	212.78	371.22	264.03	224.97	275.28	366.09	119.26	249.73	141.02	144.01	432.53	140.04	148.09	351.14	153.34	111.99	143.01	215.77	214.27	223.41	92.7	143.01	143.01	403.5	110.43	133.36	157.68	167.9	204.07	293.07	277.2	334.46	228.13	293.07	205.5	127.0	177.53	115.97	172.65	392.44	237.86	114.36	185.11	305.55	353.59	178.77	199.85	166.73	139.07	197.09	191.67	220.32	121.79	201.25	142.01	155.5	139.07	129.69	159.9
CHD7	42.11	32.59	0.0	0.69	43.63	88.88	88.88	90.77	116.78	109.66	164.42	148.09	87.65	133.36	151.22	94.01	99.43	154.42	70.01	156.59	195.72	109.66	90.14	170.25	79.45	68.55	232.94	83.45	96.68	146.03	81.71	100.83	135.24	79.45	137.14	63.0	46.5	84.63	87.65	147.06	41.52	95.34	49.56	80.01	111.99	137.14	86.43	95.34	131.51	86.43	108.14	120.94	180.02	132.44	70.01	88.88	135.24	59.13	128.79	151.22	119.26	68.07	143.01	87.03	98.73	121.79	88.26	115.16	62.56	100.83	107.38	68.55	62.56	86.43	80.57
CNOT6	53.95	25.17	111.99	231.32	177.53	353.59	249.73	536.45	432.53	318.57	529.06	271.48	532.74	323.03	237.86	248.0	320.8	379.04	336.79	426.57	379.04	624.99	283.05	409.15	295.11	221.86	400.71	224.97	346.29	463.65	371.22	293.07	256.78	209.84	343.89	397.93	191.67	255.0	181.28	603.67	248.0	226.54	295.11	202.66	265.87	503.95	511.0	595.34	417.77	395.18	447.82	228.13	348.71	215.77	285.03	555.41	371.22	185.11	343.89	457.25	486.75	217.27	384.34	237.86	287.01	414.87	255.0	285.03	256.78	218.79	214.27	198.47	223.41	229.72	194.36
CNTNAP2	107.38	34.02	0.0	0.19	143.01	961.07	660.68	647.07	264.03	1991.0	693.58	444.72	400.71	713.11	743.43	638.15	420.68	389.72	1081.39	470.14	642.59	612.11	483.38	842.36	679.29	547.75	329.84	1151.06	460.44	1151.06	616.37	490.14	753.83	651.58	320.8	1268.46	202.66	532.74	603.67	995.0	563.18	265.87	514.56	303.44	301.33	441.64	1709.26	339.14	159.9	759.08	486.75	665.29	651.58	329.84	1051.79	854.13	703.28	223.41	384.34	808.0	995.0	339.14	423.61	915.51	1709.26	769.69	529.06	633.73	358.54	460.44	371.22	660.68	595.34	253.23	231.32
