	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.132AR.0826.SM.5EGK6	GTEX.Y3IK.2326.SM.4WWDT	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.11TT1.0426.SM.5EGI9	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13X6H.1626.SM.5Q5CT	GTEX.1339X.1426.SM.5K7YO
GRHL1	1674.06	521.76	497.0	13.93	738.29	1628.26	283.05	896.64	164.42	368.65	144.01	486.75	16.15	22.43	525.39	1066.48	244.57	244.57	49.21	830.75	665.29	802.41	139.07	688.78	583.07	185.11	52.08	52.08	182.55	316.37	320.8	27.44	15.34	0.0	0.35	8.45	12.64
ITPRIPL1	137.14	77.79	139.07	69.52	191.67	158.79	99.43	191.67	56.68	133.36	92.05	83.45	75.11	81.71	187.71	195.72	48.52	120.1	30.34	271.48	142.01	134.3	42.41	220.32	114.36	35.76	50.27	15.0	75.11	142.01	201.25	85.22	6.36	0.0	0.24	11.04	12.18
KIT	6887.62	1023.0	2032.85	50.63	4010.71	6516.03	921.88	4937.99	511.0	1143.1	878.17	1896.65	149.12	75.64	2468.49	5076.84	723.08	435.55	77.25	3325.99	3235.01	5403.7	161.02	2090.03	1417.35	110.43	31.67	80.01	212.78	579.04	2319.15	9.06	575.03	0.0	0.45	223.41	260.38
KLRC4-KLRK1	54.33	20.56	44.25	1.46	42.71	136.19	9.63	51.71	33.06	5.59	18.97	35.5	5.5	12.64	44.57	41.81	13.83	27.64	24.81	60.82	36.79	45.21	9.48	31.45	2.1	4.43	54.33	0.0	5.5	7.34	36.53	38.67	7.28	0.0	0.19	0.0	0.0
KRT40	11.3	4.78	9.06	1.41	7.22	7.69	4.21	10.0	2.12	3.17	0.43	3.23	0.0	0.0	4.39	14.14	0.0	0.95	0.0	13.03	1.81	8.25	0.0	8.71	5.73	0.93	0.0	0.0	0.0	3.08	3.2	0.0	0.0	0.0	0.0	0.0	0.0
LHFPL2	1437.15	447.82	575.03	316.37	708.18	1378.57	483.38	733.19	414.87	341.51	406.31	748.61	323.03	172.65	896.64	1561.89	555.41	743.43	273.37	1127.35	866.07	679.29	518.15	688.78	660.68	232.94	182.55	169.07	483.38	579.04	764.36	366.09	249.73	0.0	0.49	414.87	301.33
LRRC8D	599.49	348.71	318.57	111.99	363.56	665.29	293.07	432.53	239.52	265.87	232.94	314.17	211.31	155.5	332.14	575.03	256.78	277.2	185.11	463.65	511.0	403.5	234.57	547.75	368.65	105.15	187.71	105.15	158.79	199.85	320.8	172.65	143.01	0.0	0.2	127.89	127.89
MGME1	713.11	409.15	384.34	161.02	514.56	713.11	267.73	563.18	253.23	348.71	271.48	420.68	194.36	201.25	384.34	728.11	356.05	291.04	241.19	607.87	525.39	473.41	221.86	638.15	387.02	135.24	208.38	229.72	248.0	327.56	423.61	251.48	116.78	0.0	0.44	186.4	198.47
MLK4	198.47	47.17	56.68	1.87	108.14	215.77	31.67	112.77	15.56	43.32	27.25	63.45	9.06	4.13	50.27	147.06	28.45	43.32	7.94	97.36	71.5	141.02	7.28	125.24	63.89	0.73	3.41	3.35	18.16	30.34	49.21	35.76	4.94	0.0	0.04	5.87	7.06
NDUFAF6	486.75	525.39	525.39	351.14	438.59	579.04	420.68	483.38	389.72	493.56	540.19	473.41	348.71	379.04	379.04	1066.48	532.74	307.69	285.03	571.05	426.57	403.5	237.86	753.83	587.13	206.94	409.15	277.2	231.32	395.18	473.41	244.57	269.6	0.0	0.49	197.09	202.66
NEBL	1268.46	551.56	660.68	65.26	921.88	1519.15	426.57	981.29	237.86	529.06	197.09	819.3	78.89	40.64	688.78	1001.93	273.37	204.07	111.21	1044.52	748.61	1199.98	35.0	698.41	599.49	41.52	444.72	123.5	73.03	403.5	603.67	97.36	17.51	0.0	0.52	5.54	5.68
PADI2	3103.19	199.85	435.55	4.58	830.75	1923.14	271.48	941.27	193.01	231.32	351.14	1081.39	10.47	9.48	872.1	1950.0	134.3	148.09	16.88	1001.93	733.19	1639.59	17.51	1119.56	780.44	39.22	22.75	18.03	98.04	172.65	518.15	529.06	4.82	38.95	96.68	54.72	68.07
PDE7A	1081.39	275.28	361.04	77.25	587.13	1806.78	307.69	884.29	204.07	241.19	232.94	547.75	138.1	90.77	698.41	1096.5	260.38	273.37	111.21	1051.79	612.11	669.92	172.65	612.11	395.18	80.57	117.6	115.16	161.02	279.14	334.46	137.14	126.12	0.0	0.69	60.39	67.59
PIK3C2G	373.81	116.78	177.53	1.75	287.01	802.41	100.83	412.0	35.76	176.29	79.45	206.94	1.68	1.97	229.72	480.04	60.82	37.59	7.69	334.46	371.22	264.03	1.53	329.84	69.52	2.48	3.32	0.0	11.91	92.05	157.68	0.88	1.71	0.0	0.0	1.35	0.41
PRSS16	607.87	275.28	406.31	40.64	373.81	587.13	183.82	540.19	90.77	291.04	104.42	224.97	16.15	28.86	332.14	785.88	135.24	147.06	3.92	612.11	483.38	571.05	11.91	665.29	197.09	6.46	6.73	2.92	25.72	220.32	224.97	92.7	2.12	0.0	0.0	8.92	26.1
ROPN1	947.83	92.05	201.25	0.0	447.82	463.65	59.97	329.84	35.76	82.29	74.06	197.09	0.0	0.0	246.28	753.83	52.82	10.47	0.0	307.69	612.11	273.37	0.0	543.96	267.73	1.43	0.0	0.0	2.46	45.21	389.72	12.27	0.0	0.0	0.06	0.0	0.0
ROPN1B	2061.24	167.9	412.0	1.48	708.18	1199.98	131.51	651.58	96.68	153.34	178.77	314.17	7.28	6.89	612.11	1250.98	121.79	60.39	1.58	753.83	1066.48	698.41	2.18	769.69	460.44	0.71	2.41	6.52	2.68	115.16	470.14	1.69	4.13	0.0	0.0	0.0	0.0
SEMA5A	620.67	208.38	232.94	40.64	417.77	791.35	181.28	583.07	122.64	293.07	143.01	363.56	94.67	23.42	277.2	830.75	224.97	232.94	24.63	718.08	587.13	624.99	73.03	612.11	417.77	22.43	25.54	45.21	85.82	90.77	392.44	81.14	18.97	0.0	0.14	17.0	21.63
SH3YL1	3928.15	1216.75	1745.2	423.61	2148.82	3820.7	1008.9	2004.85	769.69	988.12	872.1	1295.13	563.18	329.84	1977.24	3039.3	967.76	1037.29	444.72	2032.85	1437.15	2224.63	647.07	1991.0	1572.76	392.44	426.57	511.0	607.87	1225.22	941.27	748.61	303.44	0.0	0.74	287.01	366.09
SLC13A2	1037.29	62.12	195.72	0.0	381.68	579.04	94.01	450.94	70.51	92.7	89.51	182.55	0.0	0.8	400.71	934.76	46.18	53.95	0.0	476.71	624.99	571.05	1.06	291.04	152.28	1.45	2.14	1.51	0.0	52.82	122.64	81.71	0.0	0.0	0.0	0.0	0.0
SLC35B3	884.29	497.0	521.76	429.54	420.68	629.35	426.57	547.75	497.0	403.5	444.72	536.45	414.87	348.71	397.93	647.07	454.09	403.5	429.54	723.08	483.38	529.06	358.54	429.54	423.61	265.87	497.0	409.15	426.57	397.93	412.0	466.88	264.03	0.0	0.41	187.71	285.03
SLC5A1	780.44	43.02	258.57	0.0	466.88	890.44	109.66	429.54	50.27	90.14	106.63	164.42	3.76	1.99	239.52	1286.18	37.59	71.0	0.49	595.34	612.11	514.56	0.46	620.67	125.24	4.39	138.1	8.13	4.74	22.1	318.57	218.79	0.89	0.0	0.0	14.89	35.76
SPATA13	703.28	281.09	384.34	76.71	480.04	624.99	346.29	486.75	206.94	285.03	194.36	473.41	114.36	120.94	371.22	612.11	166.73	236.21	149.12	583.07	511.0	473.41	127.89	500.46	217.27	65.26	221.86	204.07	126.12	187.71	289.02	267.73	98.73	0.0	0.58	99.43	56.28
SPHKAP	76.71	8.65	4.78	0.28	49.21	118.43	6.46	48.18	5.15	8.92	20.86	63.0	0.35	0.0	42.71	55.1	4.82	6.62	2.76	72.01	202.66	44.89	2.68	29.27	9.63	0.0	14.78	2.71	0.0	4.62	20.11	0.0	2.39	0.0	0.0	3.44	3.11
TMEM71	381.68	135.24	97.36	27.44	147.06	587.13	76.71	301.33	55.49	57.08	51.35	253.23	34.75	36.01	314.17	842.36	29.91	61.68	37.59	583.07	285.03	447.82	30.12	208.38	62.56	24.63	80.57	18.16	44.57	137.14	55.49	38.67	30.56	0.0	0.53	59.97	37.59
TP53AIP1	141.02	17.0	30.56	1.27	71.0	285.03	32.36	151.22	29.7	73.03	52.45	42.41	0.72	0.0	87.65	223.41	31.67	38.12	0.0	239.52	118.43	44.89	8.38	217.27	148.09	4.1	5.28	4.17	3.17	24.99	154.42	1.6	0.0	0.0	0.17	0.0	2.71
TREM2	830.75	195.72	161.02	44.89	241.19	397.93	178.77	409.15	148.09	123.5	157.68	305.55	1.89	14.14	316.37	460.44	353.59	167.9	98.04	503.95	698.41	532.74	1322.37	457.25	187.71	23.25	118.43	36.79	307.69	215.77	583.07	153.34	2.23	0.0	0.0	31.0	6.01
TRPV4	190.34	48.18	85.22	7.11	131.51	162.14	53.95	94.67	20.11	40.64	34.51	60.82	7.63	3.63	186.4	209.84	30.12	46.84	10.16	165.57	143.01	231.32	24.99	127.89	50.98	8.0	17.51	15.34	17.77	39.5	91.41	10.96	2.68	0.0	0.14	7.34	9.34
ZNF491	50.27	42.41	40.64	19.39	45.21	51.71	31.67	59.55	36.79	43.63	48.87	31.45	46.84	21.78	33.06	72.52	62.56	31.0	23.76	76.17	72.52	26.1	37.85	80.57	67.59	9.41	37.32	10.79	32.59	19.39	20.86	23.42	21.78	0.0	0.15	15.56	25.17
ZRANB3	93.35	55.1	49.91	33.54	69.03	94.01	40.36	77.79	55.49	55.1	78.34	58.71	55.1	52.45	54.33	94.01	58.71	31.9	46.5	81.14	71.5	40.36	96.68	81.71	56.28	45.85	53.57	42.11	41.52	40.07	62.56	35.25	36.53	0.0	0.27	34.75	19.82
