	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.E2.A15M.01A.11R.A12D.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AC.A23C.01A.12R.A169.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.D7.6820.01A.11R.1884.13	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BG.01A.11R.A19W.07
BMI1	551.56	1191.69	1369.04	1572.76	2664.15	2133.97	1806.78	2090.03	2193.99	3847.29	1551.09	2591.27	1487.87	1870.53	1059.11	1295.13	279.14	309.83	848.22	1059.11	217.27	791.35	361.04	1208.34	1216.75	802.41	713.11	483.38	748.61	248.0	417.77	212.78	142.01	0.0	493.56	483.38	480.04	473.41	1242.34	684.02	1407.55	878.17	1359.57	967.76	307.69	426.57	466.88	384.34	150.17
BMPR2	154.42	1015.93	842.36	647.07	713.11	1397.83	708.18	629.35	674.59	733.19	638.15	514.56	620.67	356.05	674.59	723.08	167.9	187.71	473.41	470.14	76.17	226.54	45.21	269.6	336.79	115.97	193.01	384.34	316.37	61.25	57.89	52.08	84.04	0.0	255.0	373.81	361.04	167.9	273.37	417.77	209.84	248.0	346.29	559.28	166.73	199.85	199.85	204.07	98.73
C5orf42	55.49	688.78	295.11	244.57	237.86	633.73	209.84	175.07	161.02	176.29	262.2	265.87	191.67	197.09	232.94	309.83	21.01	35.0	77.79	149.12	31.9	54.33	31.67	118.43	77.25	71.5	27.64	67.59	85.22	36.01	17.38	9.93	5.82	0.0	125.24	89.51	128.79	105.89	52.45	81.14	130.6	72.52	181.28	12.83	24.63	88.26	29.48	53.19	4.74
C7orf25	17.64	100.13	105.89	89.51	74.06	65.72	61.25	59.55	57.08	65.72	62.56	71.0	76.17	74.58	118.43	65.72	30.78	103.69	71.0	69.03	23.42	47.5	22.59	74.58	33.54	39.5	44.25	33.3	92.7	16.88	36.53	17.77	7.82	0.0	48.87	66.65	115.16	29.7	52.08	46.18	30.78	63.45	44.57	43.94	45.85	33.54	43.02	39.22	26.86
CAPS2	18.29	314.17	204.07	172.65	131.51	202.66	78.89	82.87	112.77	181.28	161.02	117.6	170.25	81.14	98.73	191.67	37.05	14.67	172.65	265.87	55.1	73.03	13.42	54.72	56.28	43.02	21.01	34.51	29.27	13.03	8.92	23.76	9.06	0.0	54.72	47.5	141.02	9.7	45.85	24.28	30.78	44.89	46.5	62.56	25.54	10.16	42.11	88.88	21.94
CEP63	279.14	463.65	629.35	536.45	384.34	376.41	473.41	571.05	438.59	825.0	511.0	521.76	599.49	444.72	575.03	486.75	348.71	379.04	309.83	543.96	297.17	366.09	262.2	379.04	426.57	325.29	242.88	301.33	341.51	218.79	269.6	88.88	156.59	255.0	444.72	232.94	260.38	145.02	511.0	387.02	397.93	201.25	435.55	329.84	320.8	165.57	258.57	325.29	185.11
CHRNA6	0.0	31.45	16.88	13.42	23.76	57.08	20.26	76.17	10.0	71.5	33.06	16.51	13.52	15.91	9.06	0.65	0.0	0.0	9.63	32.59	0.0	0.32	0.0	0.62	0.0	0.88	2.1	1.43	2.97	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	2.84	0.0	7.75	0.33	0.36	1.27	1.57	1.99	0.95	0.0	0.0	0.17
COL4A5	23.76	571.05	848.22	348.71	733.19	813.63	620.67	525.39	460.44	454.09	1104.13	713.11	563.18	579.04	819.3	603.67	10.71	40.36	264.03	327.56	2.25	10.24	1.62	75.64	191.67	107.38	141.02	169.07	307.69	64.34	2.03	23.93	3.35	0.0	232.94	127.0	212.78	26.86	246.28	115.16	91.41	20.56	77.79	102.97	87.03	63.0	136.19	94.01	4.03
CSRNP2	193.01	674.59	693.58	698.41	571.05	633.73	1151.06	540.19	688.78	785.88	559.28	759.08	525.39	571.05	669.92	884.29	105.89	127.89	295.11	466.88	214.27	237.86	150.17	182.55	153.34	202.66	176.29	172.65	212.78	92.7	79.45	32.82	73.03	0.0	258.57	253.23	178.77	244.57	159.9	392.44	325.29	170.25	287.01	441.64	248.0	212.78	211.31	125.24	107.38
CUL4B	346.29	1051.79	1250.98	1037.29	941.27	954.43	1088.92	764.36	1051.79	921.88	723.08	961.07	848.22	638.15	941.27	1088.92	743.43	579.04	660.68	848.22	454.09	466.88	356.05	521.76	463.65	432.53	551.56	624.99	412.0	255.0	287.01	104.42	170.25	536.45	463.65	624.99	583.07	211.31	483.38	532.74	651.58	438.59	656.11	579.04	327.56	339.14	279.14	435.55	262.2
DDX6	140.04	2816.11	1685.71	1350.18	1617.0	2119.22	1378.57	1208.34	1819.35	1769.57	1295.13	1350.18	1457.23	1594.73	1331.57	1639.59	759.08	454.09	470.14	1081.39	193.01	356.05	201.25	246.28	392.44	239.52	348.71	435.55	444.72	63.45	82.29	116.78	90.14	373.81	878.17	995.0	909.17	178.77	371.22	559.28	567.1	607.87	490.14	603.67	239.52	540.19	450.94	384.34	209.84
DENND1B	169.07	1721.16	1259.69	591.22	748.61	775.05	329.84	273.37	248.0	2555.58	343.89	995.0	351.14	514.56	339.14	486.75	400.71	521.76	115.16	115.16	39.79	63.45	42.11	92.05	150.17	19.53	105.15	149.12	136.19	29.27	69.52	18.03	47.17	136.19	208.38	199.85	189.02	81.71	182.55	121.79	149.12	98.73	134.3	194.36	43.63	59.13	166.73	107.38	5.19
DNAJB14	96.68	902.89	497.0	511.0	486.75	780.44	429.54	397.93	450.94	493.56	409.15	414.87	435.55	420.68	297.17	633.73	120.1	157.68	182.55	329.84	126.12	189.02	136.19	153.34	400.71	92.7	202.66	265.87	214.27	58.3	87.65	26.47	59.13	0.0	269.6	251.48	241.19	97.36	262.2	231.32	299.25	260.38	241.19	277.2	122.64	111.99	143.01	191.67	96.68
DNAJC13	429.54	1277.29	633.73	493.56	457.25	1127.35	525.39	466.88	674.59	674.59	483.38	444.72	454.09	902.89	529.06	423.61	183.82	198.47	226.54	251.48	249.73	376.41	172.65	397.93	450.94	318.57	307.69	371.22	293.07	96.01	208.38	87.65	53.57	0.0	256.78	297.17	327.56	214.27	397.93	373.81	529.06	336.79	660.68	483.38	320.8	244.57	423.61	305.55	201.25
DSTYK	44.89	473.41	262.2	195.72	189.02	551.56	289.02	236.21	194.36	199.85	234.57	293.07	190.34	232.94	303.44	281.09	134.3	176.29	189.02	218.79	70.51	79.45	43.32	122.64	90.14	82.29	109.66	91.41	109.66	15.68	46.18	13.03	4.58	85.82	127.0	182.55	199.85	45.85	90.14	64.34	74.58	53.19	86.43	122.64	77.79	100.13	70.51	69.03	40.93
ELMOD2	281.09	1233.75	521.76	567.1	896.64	1044.52	476.71	708.18	748.61	587.13	503.95	941.27	595.34	796.86	432.53	769.69	186.4	221.86	251.48	395.18	171.45	193.01	137.14	170.25	228.13	102.25	169.07	251.48	180.02	211.31	305.55	99.43	62.56	0.0	279.14	381.68	237.86	110.43	267.73	293.07	289.02	255.0	206.94	323.03	123.5	80.01	154.42	148.09	332.14
EMB	50.27	1135.2	890.44	665.29	575.03	1242.34	665.29	981.29	417.77	651.58	624.99	651.58	616.37	848.22	366.09	518.15	199.85	149.12	397.93	423.61	7.11	89.51	46.84	116.78	232.94	36.27	236.21	244.57	169.07	10.71	36.53	20.71	66.18	0.0	139.07	218.79	138.1	58.3	309.83	503.95	17.77	187.71	514.56	366.09	111.99	26.86	363.56	420.68	6.73
ERBB2IP	320.8	3325.99	1066.48	1081.39	1340.84	2591.27	1119.56	1183.45	1059.11	1127.35	1088.92	1250.98	718.08	1259.69	941.27	1467.37	403.5	457.25	638.15	1044.52	325.29	108.14	228.13	450.94	395.18	320.8	325.29	525.39	358.54	163.28	226.54	89.51	201.25	0.0	571.05	579.04	642.59	262.2	525.39	633.73	514.56	547.75	473.41	536.45	273.37	249.73	616.37	733.19	260.38
ERCC4	75.64	141.02	341.51	162.14	217.27	323.03	158.79	144.01	177.53	212.78	149.12	151.22	251.48	169.07	187.71	293.07	30.12	59.13	50.98	152.28	34.51	58.71	24.46	38.4	66.65	26.1	53.57	33.3	27.25	23.93	18.56	17.0	8.85	0.0	59.97	55.49	63.89	39.22	52.45	48.18	60.82	29.06	63.0	111.99	52.08	63.89	54.72	60.39	29.91
EVL	665.29	2627.46	9215.48	2758.13	4419.52	3716.2	3768.09	16727.26	2739.08	7130.55	8658.09	4639.29	4671.57	3901.01	3847.29	4704.07	389.72	1073.91	1467.37	1340.84	246.28	1259.69	733.19	303.44	738.29	480.04	575.03	759.08	1088.92	403.5	1242.34	1745.2	878.17	0.0	1467.37	866.07	961.07	830.75	287.01	2104.58	1295.13	511.0	1233.75	896.64	1151.06	432.53	2895.31	802.41	220.32
EXOC5	177.53	703.28	902.89	878.17	1119.56	688.78	1051.79	775.05	890.44	1066.48	713.11	759.08	802.41	733.19	728.11	878.17	480.04	316.37	277.2	432.53	236.21	305.55	170.25	236.21	483.38	242.88	316.37	438.59	295.11	105.15	130.6	51.35	90.14	0.0	299.25	547.75	435.55	106.63	197.09	295.11	660.68	293.07	351.14	351.14	134.3	248.0	236.21	209.84	191.67
FAM13B	57.49	780.44	713.11	470.14	395.18	633.73	381.68	529.06	441.64	525.39	457.25	480.04	493.56	212.78	441.64	575.03	105.89	162.14	297.17	400.71	84.04	158.79	82.87	172.65	165.57	96.68	147.06	186.4	159.9	40.64	38.95	21.01	73.54	0.0	199.85	218.79	264.03	47.5	158.79	148.09	139.07	90.14	325.29	253.23	91.41	117.6	187.71	142.01	85.82
FAM198B	131.51	5555.65	3589.58	1277.29	2609.3	2997.45	1806.78	5076.84	1721.16	2287.2	2104.58	7485.11	1936.53	1467.37	2148.82	1529.73	29.06	47.5	470.14	753.83	57.89	239.52	55.49	67.59	136.19	164.42	177.53	156.59	363.56	21.94	88.26	22.92	17.13	0.0	39.5	104.42	172.65	209.84	476.71	1037.29	896.64	242.88	934.76	674.59	373.81	197.09	191.67	185.11	24.28
FBXO11	521.76	1498.22	1081.39	947.83	1015.93	1304.15	1059.11	780.44	947.83	1001.93	836.53	896.64	866.07	607.87	1044.52	1151.06	409.15	518.15	551.56	780.44	358.54	457.25	376.41	647.07	842.36	438.59	693.58	769.69	599.49	218.79	275.28	119.26	122.64	0.0	540.19	647.07	607.87	336.79	559.28	525.39	743.43	591.22	698.41	651.58	303.44	351.14	476.71	409.15	279.14
FOXO3	559.28	941.27	743.43	543.96	748.61	1369.04	785.88	607.87	941.27	1159.07	825.0	764.36	890.44	764.36	1350.18	896.64	660.68	1104.13	848.22	802.41	387.02	336.79	202.66	332.14	417.77	497.0	320.8	379.04	368.65	85.22	180.02	153.34	543.96	226.54	540.19	497.0	1037.29	175.07	486.75	486.75	521.76	185.11	2720.15	392.44	218.79	571.05	279.14	438.59	170.25
FRS2	59.55	1127.35	1216.75	2895.31	660.68	1023.0	579.04	507.46	693.58	2271.4	629.35	780.44	587.13	842.36	559.28	2417.67	115.16	135.24	242.88	320.8	85.22	115.97	52.08	113.56	120.94	122.64	140.04	133.36	132.44	43.94	74.58	56.28	40.64	0.0	146.03	248.0	368.65	108.14	115.16	185.11	231.32	74.58	145.02	209.84	96.01	141.02	107.38	88.26	35.76
GABPA	128.79	679.29	599.49	403.5	457.25	674.59	540.19	353.59	543.96	312.0	447.82	379.04	457.25	500.46	301.33	583.07	239.52	295.11	264.03	351.14	193.01	204.07	129.69	199.85	166.73	126.12	214.27	195.72	170.25	93.35	108.14	64.34	112.77	0.0	231.32	301.33	267.73	91.41	205.5	269.6	220.32	205.5	241.19	234.57	141.02	131.51	170.25	185.11	67.12
GLTSCR1L	75.11	279.14	312.0	265.87	256.78	353.59	271.48	283.05	327.56	334.46	262.2	327.56	301.33	307.69	356.05	395.18	76.17	139.07	242.88	336.79	114.36	138.1	87.65	167.9	214.27	167.9	124.37	98.73	231.32	38.95	43.32	38.67	11.82	63.0	142.01	149.12	186.4	215.77	103.69	133.36	158.79	518.15	226.54	198.47	85.22	158.79	134.3	144.01	65.26
GPATCH2	124.37	1159.07	748.61	444.72	353.59	2061.24	555.41	432.53	384.34	674.59	373.81	656.11	264.03	301.33	1909.85	387.02	117.6	106.63	107.38	157.68	154.42	112.77	92.05	178.77	267.73	72.01	206.94	195.72	147.06	41.52	75.64	19.39	33.78	0.0	116.78	108.14	112.77	72.52	162.14	93.35	215.77	101.54	161.02	172.65	71.0	72.01	80.57	111.99	60.82
GZF1	113.56	258.57	363.56	231.32	242.88	303.44	202.66	236.21	260.38	186.4	256.78	172.65	303.44	318.57	267.73	323.03	132.44	96.01	127.0	194.36	153.34	165.57	102.25	137.14	246.28	139.07	165.57	135.24	208.38	76.17	65.26	56.28	110.43	0.0	89.51	136.19	100.13	220.32	163.28	180.02	249.73	212.78	162.14	271.48	162.14	133.36	105.15	148.09	76.17
HHAT	58.3	417.77	293.07	295.11	563.18	753.83	177.53	271.48	162.14	599.49	208.38	429.54	255.0	297.17	473.41	277.2	242.88	251.48	273.37	638.15	35.76	34.75	22.59	63.0	30.56	1.73	42.71	45.53	29.06	48.52	58.71	54.72	14.67	0.0	157.68	72.01	122.64	12.0	45.21	64.34	85.82	38.4	56.28	61.25	18.7	40.64	46.18	53.95	35.0
KIAA0947	169.07	587.13	497.0	417.77	314.17	555.41	426.57	256.78	379.04	307.69	285.03	323.03	348.71	571.05	275.28	543.96	72.01	119.26	161.02	208.38	195.72	229.72	117.6	273.37	320.8	172.65	217.27	204.07	277.2	85.82	59.13	29.7	191.67	0.0	176.29	211.31	265.87	170.25	198.47	143.01	273.37	204.07	457.25	220.32	129.69	232.94	87.03	121.79	84.04
KIDINS220	189.02	1199.98	759.08	587.13	579.04	1096.5	536.45	624.99	808.0	934.76	743.43	684.02	748.61	591.22	723.08	902.89	379.04	293.07	420.68	555.41	194.36	314.17	253.23	384.34	555.41	353.59	285.03	420.68	384.34	82.87	118.43	76.17	81.14	205.5	403.5	563.18	583.07	283.05	356.05	387.02	463.65	309.83	490.14	511.0	291.04	293.07	291.04	325.29	126.12
KIFAP3	236.21	1304.15	785.88	1096.5	1487.87	1529.73	713.11	669.92	995.0	1127.35	830.75	1457.23	769.69	866.07	1259.69	738.29	497.0	595.34	397.93	591.22	395.18	249.73	182.55	463.65	595.34	231.32	339.14	429.54	327.56	320.8	447.82	194.36	105.15	0.0	423.61	389.72	406.31	112.77	723.08	339.14	441.64	329.84	320.8	309.83	232.94	43.63	273.37	262.2	186.4
KLHL20	111.99	503.95	406.31	356.05	277.2	540.19	389.72	256.78	309.83	397.93	291.04	353.59	320.8	363.56	420.68	384.34	125.24	182.55	209.84	490.14	165.57	226.54	126.12	186.4	303.44	166.73	217.27	209.84	229.72	86.43	118.43	101.54	95.34	215.77	158.79	183.82	220.32	111.99	346.29	215.77	122.64	86.43	143.01	164.42	134.3	186.4	193.01	175.07	57.89
LCN2	318292.9	30.12	139.07	563.18	346.29	42.71	21.94	175.07	142.01	607.87	37.59	743.43	241.19	87.65	189.02	147.06	565825.41	1179708.33	706337.4	313910.86	316094.29	542775.98	72715.74	343510.77	606436.73	654483.73	1238359.56	336441.4	513497.31	17.0	177811.84	201.25	1104.13	0.0	425853.18	284880.02	267651.2	1034138.94	565825.41	1472666.19	593956.43	431797.89	334117.42	466008.55	251464.33	350728.68	301123.38	320506.81	3395.89
LMLN	47.84	267.73	186.4	158.79	173.85	289.02	109.66	125.24	183.82	190.34	118.43	137.14	130.6	193.01	143.01	269.6	55.49	55.1	109.66	177.53	64.8	80.01	47.17	128.79	98.73	40.36	57.89	78.89	64.34	246.28	11.82	7.57	1.17	0.0	76.17	108.14	86.43	18.03	89.51	90.14	96.68	71.5	66.65	111.21	66.18	65.72	37.59	69.52	21.78
LRRC40	82.87	289.02	255.0	156.59	432.53	397.93	228.13	256.78	287.01	248.0	249.73	273.37	262.2	341.51	158.79	314.17	119.26	127.0	126.12	140.04	164.42	163.28	154.42	150.17	198.47	158.79	166.73	153.34	105.15	68.07	121.79	60.82	231.32	0.0	101.54	244.57	204.07	70.51	244.57	124.37	195.72	248.0	232.94	215.77	74.06	84.63	82.29	124.37	89.51
LTN1	72.52	665.29	417.77	314.17	256.78	679.29	318.57	271.48	309.83	323.03	281.09	289.02	320.8	343.89	195.72	486.75	84.04	110.43	87.03	180.02	139.07	99.43	57.08	128.79	139.07	66.18	176.29	116.78	111.21	35.5	42.41	33.54	57.49	0.0	224.97	166.73	171.45	87.03	183.82	194.36	215.77	185.11	162.14	228.13	75.64	116.78	130.6	186.4	27.44
LYRM2	525.39	457.25	728.11	595.34	1044.52	559.28	1111.82	764.36	1191.69	878.17	753.83	934.76	1001.93	753.83	780.44	1208.34	403.5	547.75	447.82	571.05	454.09	363.56	316.37	251.48	454.09	559.28	947.83	371.22	255.0	143.01	232.94	60.82	186.4	759.08	366.09	684.02	733.19	198.47	547.75	389.72	669.92	193.01	353.59	253.23	265.87	575.03	373.81	397.93	376.41
MED13L	87.65	1651.0	1268.46	1208.34	872.1	1583.71	728.11	974.5	1127.35	1286.18	1259.69	708.18	1143.1	1059.11	988.12	1044.52	231.32	206.94	363.56	409.15	236.21	215.77	143.01	387.02	281.09	273.37	262.2	336.79	316.37	58.71	84.04	49.91	46.5	0.0	532.74	591.22	836.53	251.48	253.23	273.37	447.82	358.54	409.15	450.94	206.94	246.28	211.31	303.44	73.54
METTL14	159.9	285.03	429.54	493.56	514.56	275.28	441.64	414.87	450.94	521.76	470.14	493.56	500.46	368.65	361.04	599.49	133.36	217.27	289.02	371.22	152.28	226.54	115.97	111.99	217.27	96.68	86.43	130.6	142.01	141.02	100.83	151.22	130.6	159.9	244.57	251.48	277.2	78.34	150.17	159.9	185.11	121.79	130.6	197.09	98.73	84.04	157.68	153.34	134.3
MFAP3	115.97	825.0	571.05	647.07	954.43	1159.07	620.67	559.28	915.51	890.44	633.73	679.29	808.0	559.28	540.19	830.75	299.25	291.04	246.28	325.29	148.09	226.54	127.0	161.02	384.34	137.14	228.13	275.28	241.19	94.01	109.66	110.43	123.5	0.0	334.46	363.56	277.2	119.26	171.45	316.37	158.79	262.2	231.32	246.28	158.79	228.13	275.28	237.86	113.56
MIB1	103.69	1225.22	417.77	444.72	432.53	1397.83	363.56	309.83	583.07	470.14	395.18	295.11	507.46	403.5	547.75	473.41	100.83	122.64	183.82	361.04	83.45	158.79	120.1	232.94	138.1	92.05	147.06	161.02	171.45	49.56	77.79	46.18	35.76	0.0	185.11	251.48	258.57	81.71	224.97	177.53	183.82	154.42	217.27	277.2	111.99	150.17	69.03	78.89	61.25
MOB1B	71.5	693.58	503.95	260.38	341.51	483.38	301.33	575.03	283.05	312.0	346.29	291.04	277.2	175.07	182.55	521.76	89.51	94.67	171.45	229.72	102.25	129.69	51.71	88.88	175.07	78.34	102.97	131.51	107.38	35.5	52.08	17.25	144.01	0.0	139.07	242.88	155.5	96.68	180.02	138.1	223.41	208.38	205.5	166.73	70.51	37.32	78.34	66.65	45.53
MOB4	500.46	718.08	974.5	1059.11	1295.13	848.22	1066.48	718.08	890.44	825.0	860.08	934.76	698.41	813.63	785.88	981.29	1066.48	753.83	629.35	753.83	450.94	500.46	339.14	555.41	674.59	514.56	854.13	961.07	669.92	171.45	309.83	143.01	339.14	0.0	791.35	733.19	802.41	303.44	532.74	447.82	656.11	884.29	551.56	575.03	348.71	429.54	529.06	363.56	373.81
