	TCGA.FD.A5C1.01A.11R.A28M.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.VR.AA7B.01A.31R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4494.01A.01R.1206.07	GTEX.13FH7.1726.SM.5IJE7	TCGA.56.A4ZJ.01A.11R.A262.07
C4orf21	42.11	72.52	214.27	115.16	309.83	215.77	389.72	1.22	14.03	0.0	27.25	26.86	79.45
C9orf3	500.46	2520.38	6792.79	2609.3	3081.75	4268.94	2701.35	1950.0	1662.49	642.59	1286.18	1199.98	1008.9
CAMSAP1	88.26	1594.73	753.83	251.48	511.0	480.04	511.0	21.78	45.53	0.0	108.9	267.73	165.57
CARF	11.64	64.34	123.5	58.71	88.88	91.41	120.1	105.15	12.36	0.0	40.93	69.03	63.0
CCDC66	91.41	95.34	194.36	201.25	314.17	260.38	249.73	46.5	65.26	201.25	64.8	145.02	166.73
CCNT2	63.0	149.12	460.44	412.0	575.03	543.96	651.58	29.06	51.35	0.0	119.26	144.01	269.6
CDK13	262.2	279.14	748.61	511.0	1183.45	693.58	599.49	97.36	183.82	0.0	271.48	239.52	497.0
CEBPA	15.8	209.84	71.5	58.3	73.03	164.42	107.38	1.6	117.6	0.0	5.06	27.84	26.1
CHD2	156.59	409.15	638.15	457.25	825.0	551.56	599.49	54.33	101.54	0.0	98.73	293.07	450.94
CLIP4	234.57	2997.45	1242.34	878.17	1250.98	1417.35	813.63	33.06	6.46	0.0	141.02	447.82	432.53
CLUH	656.11	1685.71	1268.46	1073.91	1008.9	1561.89	2209.26	128.79	974.5	633.73	373.81	1111.82	753.83
DCAF17	52.45	87.65	242.88	271.48	258.57	314.17	406.31	31.0	31.45	0.0	72.01	98.04	123.5
DENND4A	54.33	153.34	242.88	163.28	279.14	295.11	237.86	197.09	105.89	0.0	92.7	155.5	140.04
DGKA	1191.69	33922.56	7032.37	4328.55	10368.08	7331.05	6426.31	20.86	87.03	0.0	536.45	384.34	3190.46
DOCK3	0.99	66.18	58.71	62.56	40.93	64.34	22.1	1.97	0.0	0.0	2.03	1.68	9.34
DVL2	285.03	1015.93	1250.98	988.12	981.29	1286.18	1437.15	40.36	158.79	0.0	518.15	356.05	490.14
EPN2	281.09	2032.85	1378.57	559.28	878.17	1015.93	1044.52	31.22	153.34	0.0	392.44	432.53	447.82
ERVW-1	0.65	0.06	6.94	3.99	8.65	8.06	10.24	0.0	0.0	0.0	0.0	2.73	0.91
FAM212A	178.77	1208.34	389.72	269.6	753.83	353.59	323.03	34.75	50.27	0.0	68.07	90.14	173.85
FAM63B	48.87	102.25	212.78	120.1	242.88	111.21	92.7	201.25	14.89	46.5	43.63	96.68	90.14
FMR1	480.04	403.5	813.63	170.25	688.78	866.07	1030.12	567.1	316.37	0.0	236.21	289.02	463.65
FNBP4	289.02	429.54	1551.09	1250.98	3168.41	2758.13	3395.89	41.52	255.0	518.15	248.0	480.04	954.43
GABBR1	162.14	36.01	1044.52	1427.22	1447.15	1639.59	2148.82	52.45	19.25	0.0	19.39	69.52	503.95
GJB5	547.75	391864.76	2816.11	2520.38	5255.91	1883.54	3325.99	0.78	1.04	0.0	53.57	2609.3	406.31
GRHL3	13.22	80683.28	1685.71	351.14	5403.7	1594.73	2915.45	1.93	7.06	0.0	15.22	28.65	228.13
HAP1	16.88	73.54	460.44	197.09	555.41	211.31	144.01	0.42	0.0	0.0	1.1	0.0	17.25
ICA1L	19.39	0.0	141.02	120.94	35.25	156.59	181.28	1.2	2.14	47.5	16.51	59.13	75.64
JMJD7-PLA2G4B	12.36	267.73	314.17	209.84	633.73	447.82	403.5	4.46	19.11	0.0	9.06	12.36	131.51
JMY	53.95	120.94	239.52	111.21	241.19	189.02	165.57	31.45	30.56	0.0	24.99	41.81	91.41
KAT2A	791.35	432.53	1259.69	2178.83	2591.27	2163.77	2468.49	64.34	351.14	0.0	698.41	241.19	884.29
KDM3A	178.77	1127.35	1322.37	753.83	1250.98	1119.56	1135.2	110.43	137.14	0.0	334.46	264.03	540.19
KLF8	5.15	186.4	738.29	567.1	563.18	406.31	703.28	0.84	3.14	0.0	63.0	24.81	117.6
KRTAP9-1	0.0	0.0	0.91	0.56	1.48	1.25	0.55	0.0	0.0	0.0	0.0	0.0	0.0
LGI4	22.59	37.05	323.03	63.0	698.41	409.15	123.5	11.64	63.0	0.0	11.21	100.83	51.35
LINS	178.77	329.84	441.64	318.57	848.22	403.5	444.72	69.03	46.18	101.54	80.01	191.67	217.27
LUC7L3	1233.75	1191.69	2816.11	2119.22	4388.98	3955.48	3395.89	167.9	591.22	1277.29	624.99	909.17	1427.22
LYSMD4	154.42	186.4	341.51	329.84	441.64	343.89	303.44	29.48	57.89	0.0	85.82	96.68	109.66
MAPK7	155.5	928.3	738.29	497.0	674.59	463.65	769.69	30.12	120.94	0.0	291.04	348.71	429.54
MARCH7	435.55	3103.19	2645.74	1561.89	2956.17	2555.58	2682.69	139.07	381.68	0.0	518.15	412.0	830.75
METTL16	320.8	195.72	642.59	353.59	438.59	412.0	500.46	170.25	171.45	199.85	295.11	295.11	341.51
MNT	128.79	507.46	902.89	703.28	961.07	733.19	988.12	46.18	43.32	0.0	150.17	358.54	323.03
MYO9A	36.27	68.07	334.46	198.47	246.28	206.94	256.78	21.94	8.99	54.33	36.79	142.01	90.14
NAA16	49.56	161.02	251.48	269.6	285.03	348.71	441.64	81.71	30.56	176.29	84.63	93.35	197.09
NEMF	291.04	603.67	733.19	624.99	1030.12	825.0	688.78	150.17	189.02	0.0	220.32	397.93	476.71
NPIPA7	713.11	417.77	3515.68	1322.37	4512.4	6164.49	7280.4	68.55	616.37	242.88	312.0	72.01	1216.75
NPIPB11	5.68	13.32	51.35	18.29	138.1	110.43	100.83	3.69	10.96	0.0	5.02	11.82	42.71
NR6A1	7.17	52.82	60.82	21.78	37.85	41.81	63.45	0.0	26.28	12.64	9.2	19.82	30.78
NT5DC3	76.17	10.63	363.56	387.02	273.37	780.44	1233.75	3.17	25.91	209.84	38.67	43.94	59.97
NUP188	275.28	563.18	1457.23	660.68	836.53	1159.07	1127.35	20.71	104.42	0.0	320.8	620.67	426.57
OR13H1	0.0	0.0	1.51	0.57	1.57	0.78	1.69	0.0	0.0	0.0	0.0	0.0	0.0
PHYHIP	15.91	285.03	167.9	57.89	120.94	73.54	48.18	1.22	7.94	0.0	11.55	167.9	35.76
PIKFYVE	43.63	63.89	182.55	169.07	153.34	132.44	211.31	12.45	48.52	0.0	32.36	109.66	139.07
PITX2	36.79	1806.78	1159.07	684.02	1127.35	1322.37	1359.57	0.0	0.0	0.0	148.09	0.0	5.11
PKD2L2	1.57	4.74	4.28	1.6	8.13	8.78	2.68	2.29	0.0	0.0	0.88	1.01	1.87
PKN2	96.01	785.88	660.68	543.96	559.28	480.04	842.36	73.54	123.5	341.51	109.66	214.27	432.53
PKP4	473.41	830.75	1331.57	902.89	1183.45	1498.22	2090.03	96.68	473.41	325.29	514.56	518.15	884.29
PLA2G4B	114.36	1175.27	830.75	460.44	1757.34	915.51	1023.0	6.94	54.33	0.0	40.93	22.75	307.69
PLEKHO1	2148.82	43.94	6207.38	1225.22	5183.54	5219.6	1313.23	76.17	356.05	0.0	1781.89	830.75	1733.13
PNISR	529.06	616.37	2645.74	1806.78	2976.74	2935.74	3639.7	111.99	325.29	775.05	204.07	441.64	1304.15
PNN	493.56	684.02	2133.97	1605.83	2682.69	2915.45	2664.15	59.97	297.17	575.03	269.6	860.08	915.51
PPIP5K1	51.35	454.09	575.03	532.74	813.63	332.14	466.88	106.63	26.28	0.0	49.21	129.69	236.21
PPL	211.31	46019.85	2796.65	2835.7	14971.21	5366.37	6207.38	3.89	500.46	0.0	400.71	738.29	563.18
PRPF4B	387.02	389.72	802.41	819.3	1350.18	1044.52	1388.16	177.53	234.57	0.0	384.34	447.82	532.74
PTCD3	253.23	426.57	1313.23	1191.69	1427.22	1844.76	1794.29	239.52	289.02	1151.06	327.56	507.46	713.11
RABGAP1	197.09	571.05	1233.75	674.59	703.28	1015.93	866.07	147.06	81.14	271.48	147.06	540.19	323.03
RAPGEF5	54.33	629.35	825.0	346.29	1199.98	620.67	303.44	39.5	74.06	0.0	215.77	309.83	312.0
RARG	941.27	10368.08	2682.69	1427.22	1806.78	2739.08	5147.73	19.53	61.68	0.0	191.67	249.73	848.22
RBMS1	414.87	599.49	1572.76	1313.23	1628.26	1359.57	1167.14	105.89	67.12	473.41	356.05	1151.06	921.88
RFX7	49.56	158.79	172.65	85.22	277.2	193.01	201.25	12.27	20.56	0.0	71.0	105.89	89.51
RP11-3B7.1	6.52	0.0	18.16	11.3	21.78	21.32	7.57	0.0	0.0	0.0	1.48	5.02	6.06
RSRC2	995.0	1331.57	1963.57	1551.09	2240.11	1628.26	1896.65	460.44	470.14	0.0	587.13	915.51	1583.71
RUFY3	109.66	392.44	743.43	698.41	1096.5	599.49	848.22	197.09	283.05	0.0	198.47	206.94	473.41
S100A2	74243.68	3.15251512E7	115696.65	179048.63	834179.46	159145.95	120609.84	497.0	1.87	0.0	7485.11	2825352.59	47313.67
SAP30	221.86	84.04	633.73	327.56	409.15	271.48	384.34	38.4	175.07	0.0	341.51	323.03	244.57
SASH1	67.59	1313.23	277.2	204.07	205.5	211.31	237.86	48.87	28.04	67.12	34.75	253.23	127.89
SERTAD2	234.57	4268.94	1208.34	665.29	1159.07	438.59	1151.06	9.78	167.9	0.0	121.79	253.23	447.82
SHANK3	49.56	62.56	265.87	395.18	476.71	466.88	470.14	19.68	111.21	0.0	32.13	176.29	260.38
SLTM	884.29	1015.93	1594.73	1044.52	2255.7	1594.73	1388.16	142.01	454.09	0.0	547.75	1023.0	1030.12
SMYD4	67.59	98.04	204.07	137.14	161.02	158.79	273.37	111.21	38.4	61.25	59.97	154.42	128.79
SOX13	195.72	108.9	860.08	866.07	698.41	769.69	1159.07	11.13	356.05	0.0	98.04	251.48	441.64
SP3	256.78	693.58	1143.1	884.29	988.12	1111.82	1313.23	89.51	241.19	0.0	441.64	447.82	563.18
SPIN2A	5.02	3.11	29.7	14.03	73.03	20.41	29.06	1.23	1.04	0.0	2.23	3.89	19.39
SREBF1	1331.57	13215.02	7589.61	3491.39	5479.15	5872.48	5672.41	698.41	1757.34	1551.09	1617.0	1159.07	2047.0
SRSF10	713.11	764.36	1844.76	1923.14	2148.82	1594.73	2627.46	483.38	536.45	0.0	1268.46	1135.2	1340.84
STX1B	11.55	48.87	44.57	34.75	98.73	80.01	43.32	0.0	31.0	27.64	1.6	5.96	13.12
TAF1	83.45	195.72	426.57	356.05	417.77	460.44	423.61	15.11	49.91	231.32	85.22	287.01	237.86
TANC1	172.65	426.57	743.43	521.76	579.04	802.41	808.0	120.94	41.22	0.0	139.07	363.56	493.56
TANK	483.38	890.44	995.0	555.41	1388.16	1143.1	1369.04	277.2	529.06	878.17	915.51	780.44	878.17
TARDBP	1733.13	1832.01	3212.66	2485.67	2796.65	3280.18	4268.94	363.56	1508.65	0.0	1250.98	1794.29	2224.63
TJP1	220.32	1977.24	1111.82	1073.91	1350.18	1104.13	1437.15	99.43	336.79	307.69	209.84	713.11	503.95
TRIM29	4543.8	1212874.47	31870.96	23330.64	38164.99	31650.8	63742.91	1.95	10.39	0.0	147.06	11035.54	8963.45
TRMT13	77.79	96.68	242.88	151.22	339.14	229.72	400.71	54.33	42.41	0.0	51.71	115.97	121.79
TRPM7	67.59	98.04	387.02	285.03	363.56	353.59	343.89	52.45	71.0	166.73	85.82	187.71	189.02
TRPS1	17.77	3303.0	389.72	341.51	579.04	353.59	514.56	7.34	21.63	0.0	8.65	56.68	94.67
TRPV4	48.52	351.14	660.68	199.85	753.83	587.13	1250.98	17.13	2.43	0.0	24.99	189.02	197.09
TSPYL6	0.0	0.0	0.75	0.15	1.06	0.57	1.01	0.0	0.0	0.0	0.0	0.75	0.41
TUBGCP5	79.45	63.45	246.28	312.0	305.55	301.33	226.54	54.72	72.01	0.0	101.54	181.28	172.65
UBE2G1	595.34	2645.74	1242.34	769.69	1674.06	1015.93	1498.22	204.07	140.04	460.44	521.76	486.75	575.03
UBE3A	208.38	551.56	656.11	551.56	647.07	718.08	624.99	265.87	318.57	417.77	190.34	476.71	450.94
UBR3	155.5	201.25	473.41	334.46	371.22	497.0	579.04	149.12	181.28	0.0	147.06	287.01	295.11
UPF3B	208.38	185.11	457.25	303.44	486.75	536.45	660.68	12.27	107.38	0.0	65.72	158.79	221.86
USP33	307.69	511.0	825.0	665.29	684.02	693.58	921.88	368.65	287.01	624.99	368.65	368.65	567.1
WDR73	307.69	256.78	571.05	563.18	896.64	620.67	688.78	89.51	134.3	0.0	376.41	521.76	392.44
XPO1	1167.14	1277.29	2537.92	2555.58	1639.59	2701.35	3982.99	363.56	743.43	1268.46	921.88	921.88	1605.83
ZBTB34	21.32	54.33	145.02	71.5	102.97	94.67	94.01	13.93	11.13	0.0	22.92	50.27	61.68
ZCCHC8	283.05	269.6	624.99	379.04	808.0	616.37	796.86	113.56	148.09	0.0	271.48	199.85	299.25
ZMIZ2	1119.56	723.08	2133.97	1378.57	3349.13	2004.85	1963.57	169.07	366.09	0.0	1896.65	599.49	1519.15
ZNF609	78.34	185.11	493.56	318.57	325.29	320.8	299.25	12.83	80.57	119.26	116.78	239.52	217.27
ZNF771	59.55	24.63	124.37	275.28	187.71	255.0	232.94	85.82	190.34	0.0	36.79	52.08	64.34
