	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QBU.1826.SM.5IJG3	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.QESD.0726.SM.4R1KQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145LU.1326.SM.5LU9N	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8487.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ATP1A2	6516.03	53.95	115.97	74.06	500.46	74.58	503.95	234.57	536.45	866.07	69.03	48.18	102.97	176.29	2004.85	878.17	759.08	708.18	2591.27	842.36	860.08	540.19	1030.12	665.29	11.3	4.43	18.43	22.75	13.52	11.82	39.79	155.5	35.25	14.03	29.7	60.82	164.42	149.12	20.71	6.11	8.51	5.63	13.62	3.03	39.5	17.0	18.56	6.41	14.56	16.03	43.94	46.5	21.94	26.47	7.75	1.66	12.55	193.01	3.06	642.59	1143.1	80.57	176.29	67.59	836.53	988.12	16.27	1594.73	1561.89	2224.63	95.34	974.5	713.11	19.11	73.03	17.38
BAI3	253.23	12.55	10.24	10.31	26.67	10.71	18.84	22.43	24.28	28.04	11.04	4.82	25.72	22.26	111.99	111.21	152.28	90.77	120.94	52.08	85.22	84.04	126.12	111.99	2.23	0.96	2.34	1.89	5.63	2.94	0.48	24.46	2.1	5.87	3.08	9.27	14.35	12.36	8.25	0.57	0.95	5.96	17.38	6.57	16.88	3.06	9.7	3.41	19.53	3.72	20.11	11.55	3.0	7.34	17.25	5.5	23.93	27.64	0.97	53.19	81.14	14.67	9.13	22.1	53.95	77.25	3.29	159.9	139.07	142.01	5.06	16.03	12.64	35.76	8.71	19.39
BMP3	432.53	406.31	64.8	353.59	753.83	470.14	395.18	64.34	303.44	189.02	297.17	651.58	193.01	198.47	46.18	65.26	48.87	155.5	59.13	65.72	53.57	48.87	89.51	64.8	0.43	0.0	0.0	0.0	0.0	0.0	9.48	0.45	0.83	0.41	0.43	5.23	4.9	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.42	0.41	0.41	0.47	0.45	0.45	1.69	0.41	0.0	0.44	0.0	0.51	387.02	0.49	87.03	551.56	115.97	2.51	14.03	126.12	205.5	9.78	406.31	713.11	540.19	13.72	40.64	2.84	0.0	1.04	0.0
BTC	1277.29	59.13	65.72	82.87	327.56	85.22	289.02	145.02	571.05	384.34	85.22	96.68	166.73	102.97	599.49	384.34	88.26	884.29	674.59	197.09	325.29	356.05	279.14	231.32	134.3	27.44	25.91	197.09	303.44	218.79	75.64	19.82	48.87	48.52	269.6	98.04	117.6	131.51	20.71	2.03	0.0	11.47	11.21	25.54	6.31	5.63	38.95	28.65	41.81	17.9	42.11	9.85	2.43	10.08	28.04	3.63	20.56	77.79	66.65	234.57	320.8	131.51	100.13	108.14	260.38	291.04	58.3	579.04	563.18	684.02	130.6	258.57	96.01	206.94	73.54	224.97
BVES	2796.65	11.38	11.55	10.31	105.15	8.58	100.83	46.5	132.44	98.73	6.01	7.0	30.34	23.08	262.2	150.17	145.02	532.74	208.38	490.14	152.28	116.78	206.94	236.21	5.28	1.43	3.69	10.16	13.93	30.78	10.96	31.45	21.01	10.39	9.56	10.08	14.24	29.7	2.34	3.41	1.85	2.66	2.56	1.68	7.4	2.63	4.82	1.57	7.63	5.92	11.04	11.64	11.38	7.69	7.17	1.97	6.57	211.31	11.3	353.59	1037.29	101.54	111.99	78.89	420.68	591.22	19.82	759.08	967.76	961.07	67.12	134.3	281.09	19.53	20.41	30.12
C14orf28	244.57	59.55	69.03	58.3	94.01	82.87	71.5	66.18	167.9	96.01	63.0	85.82	61.25	93.35	201.25	154.42	105.89	253.23	236.21	130.6	178.77	186.4	258.57	241.19	92.7	61.68	50.27	131.51	42.11	66.18	106.63	77.25	74.06	49.21	75.64	72.01	63.45	57.89	75.11	117.6	45.21	77.25	46.18	72.52	105.89	90.77	100.13	108.9	116.78	102.25	170.25	120.1	120.1	38.4	120.94	45.85	102.97	206.94	53.57	191.67	409.15	89.51	142.01	83.45	181.28	187.71	64.34	214.27	236.21	208.38	111.99	202.66	141.02	100.13	73.03	52.45
C15orf52	3257.52	166.73	242.88	151.22	426.57	189.02	748.61	476.71	909.17	896.64	202.66	82.87	265.87	214.27	1397.83	693.58	1950.0	1407.55	2193.99	1037.29	759.08	497.0	902.89	718.08	251.48	217.27	738.29	511.0	220.32	18.97	723.08	75.64	202.66	204.07	915.51	92.05	221.86	129.69	547.75	112.77	27.25	39.79	273.37	61.68	59.55	143.01	193.01	84.04	43.02	162.14	21.78	139.07	31.67	11.13	47.84	20.86	30.12	540.19	57.08	934.76	2351.53	251.48	547.75	287.01	1175.27	1674.06	303.44	1991.0	2193.99	2335.28	214.27	723.08	141.02	483.38	265.87	214.27
C1QTNF2	128.79	25.72	35.76	34.75	35.5	17.64	33.78	46.84	41.81	49.56	15.91	28.04	61.25	53.19	182.55	178.77	61.25	127.89	155.5	31.22	176.29	341.51	223.41	97.36	1.36	1.46	9.41	20.71	2.05	7.51	16.39	40.93	28.04	5.92	12.36	7.11	24.28	13.72	7.11	0.99	5.36	4.94	6.36	6.78	19.39	9.41	9.34	3.76	11.04	17.51	27.05	10.63	14.56	5.41	13.62	0.72	20.56	78.34	2.1	49.56	34.02	28.04	35.76	21.16	78.34	115.16	16.03	124.37	220.32	178.77	14.56	73.54	23.76	8.25	51.35	17.51
C1QTNF7	507.46	37.85	38.12	38.95	63.0	26.47	30.34	56.28	105.89	103.69	22.92	18.03	59.55	120.94	246.28	447.82	149.12	159.9	466.88	72.52	348.71	371.22	521.76	314.17	4.78	2.81	8.25	6.89	45.21	13.03	13.22	35.76	72.01	57.08	46.18	133.36	116.78	162.14	3.86	2.66	1.22	10.63	14.78	15.8	32.36	12.74	7.82	17.51	19.68	7.69	41.81	36.01	9.56	38.12	23.42	0.0	51.35	105.89	14.56	151.22	85.82	63.45	301.33	65.72	447.82	244.57	25.72	361.04	241.19	466.88	28.45	320.8	132.44	8.51	267.73	6.46
C3orf70	738.29	43.32	52.08	57.89	142.01	49.91	128.79	90.14	215.77	141.02	57.89	36.27	94.01	62.12	177.53	190.34	180.02	420.68	242.88	373.81	158.79	127.0	191.67	137.14	12.45	6.26	10.31	14.56	5.68	55.89	30.56	140.04	53.95	32.59	22.75	15.45	49.56	28.45	3.59	7.63	6.11	3.63	3.0	1.51	10.71	2.58	3.69	0.92	8.71	7.11	11.21	3.17	4.24	3.86	4.5	0.0	4.94	199.85	4.5	241.19	988.12	107.38	66.18	109.66	361.04	470.14	15.56	587.13	547.75	616.37	23.93	141.02	63.89	69.03	100.83	26.67
CACNA1C	5329.3	18.16	29.48	20.56	136.19	23.76	226.54	91.41	307.69	204.07	25.72	12.55	72.01	43.02	620.67	500.46	813.63	921.88	748.61	947.83	503.95	267.73	420.68	318.57	25.35	7.4	17.25	25.91	15.22	172.65	35.25	148.09	125.24	26.1	34.51	24.46	52.82	43.32	6.89	8.25	8.0	4.03	4.03	2.27	19.11	3.29	8.65	2.12	26.47	18.16	19.25	8.45	3.53	13.83	8.51	4.78	26.86	320.8	31.9	642.59	1832.01	323.03	180.02	303.44	928.3	1015.93	64.8	941.27	1037.29	954.43	34.02	147.06	63.89	48.87	131.51	78.34
CACNG7	9.13	1.58	1.64	5.28	4.03	3.29	2.23	2.07	3.63	5.87	3.47	3.0	2.23	1.51	1.06	1.06	0.0	2.92	2.48	0.0	5.32	2.68	4.86	2.2	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.27	0.0	0.0	0.25	0.0	0.66	0.27	0.0	0.0	0.0	0.22	3.47	0.24	1.06	3.06	1.99	29.91	4.06	1.91	0.0	0.0	7.0	13.22	0.85	31.67	22.26	16.39	0.0	0.51	0.0	0.0	0.0	6.78
CADM2	185.11	10.63	13.03	5.23	15.34	8.78	26.28	15.91	13.83	14.45	10.39	3.66	15.8	27.05	105.89	161.02	223.41	80.01	169.07	52.08	199.85	65.72	204.07	122.64	0.0	1.41	2.78	0.0	0.39	2.1	0.0	0.0	0.83	0.0	0.87	3.96	6.41	4.39	0.0	6.01	0.0	6.06	5.32	12.45	105.89	8.71	13.42	1.39	29.91	3.38	34.51	0.91	34.51	11.21	6.11	1.33	3.06	48.52	1.97	45.21	98.73	30.78	1.89	20.86	30.12	95.34	0.0	177.53	248.0	480.04	103.69	13.52	77.79	1.81	2.43	1.95
CAMK2A	123.5	4.54	12.55	18.03	10.55	4.35	10.47	12.64	7.46	11.38	7.4	4.06	6.89	11.38	86.43	75.64	94.01	143.01	123.5	35.5	63.45	41.81	106.63	25.91	0.0	0.0	0.0	0.0	0.41	45.21	0.0	2.81	2.53	53.19	4.43	43.63	68.07	25.72	0.0	0.0	23.08	0.85	13.83	0.09	1.58	0.83	10.0	0.41	8.58	6.89	7.0	0.44	0.06	1.04	0.48	0.77	4.39	14.45	5.82	40.36	109.66	38.67	6.57	6.31	77.79	78.34	8.71	241.19	289.02	189.02	3.86	27.25	4.7	0.99	5.59	0.0
CARTPT	2004.85	0.0	2.05	1.03	54.33	1.66	5.54	19.25	48.52	76.17	0.0	0.95	23.25	2.76	25.17	163.28	212.78	748.61	208.38	54.33	197.09	36.27	384.34	204.07	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0	1.28	3.17	0.0	0.0	1.08	0.0	0.0	3.89	0.0	1.43	1.41	0.0	0.0	0.0	3.5	120.1	3.82	2645.74	616.37	10.79	7.22	23.42	1304.15	612.11	93.35	1870.53	3467.27	1030.12	3.59	303.44	18.03	0.0	0.0	0.0
CASQ2	8363.13	26.86	35.5	29.7	295.11	15.11	293.07	162.14	884.29	406.31	27.44	17.9	236.21	102.97	967.76	878.17	329.84	2758.13	1208.34	1059.11	723.08	688.78	753.83	629.35	14.45	12.74	45.53	31.0	16.39	103.69	104.42	444.72	60.82	17.0	19.53	31.45	81.14	100.83	4.31	8.92	13.72	1.62	8.45	4.9	21.78	3.38	7.4	5.92	12.0	6.52	42.11	3.82	9.41	10.71	10.63	0.68	4.58	66.65	1.08	825.0	1037.29	31.67	190.34	89.51	1369.04	361.04	11.91	1519.15	819.3	567.1	47.5	460.44	260.38	34.75	71.5	39.79
CCDC136	4802.93	5.68	23.08	22.43	151.22	39.5	105.15	79.45	493.56	232.94	13.62	15.11	85.22	33.3	460.44	466.88	164.42	1088.92	713.11	660.68	366.09	236.21	371.22	248.0	6.84	6.36	14.78	15.8	56.68	1.35	11.82	20.71	50.98	223.41	31.67	8.99	14.67	16.15	41.52	2.01	1.85	6.67	0.82	3.76	10.63	1.69	0.57	0.31	11.3	6.89	8.25	5.36	2.56	1.41	0.39	0.05	11.91	723.08	4.28	633.73	5517.27	169.07	277.2	141.02	1143.1	1001.93	171.45	665.29	571.05	660.68	40.07	150.17	23.08	50.98	38.95	96.01
CCDC69	14262.1	348.71	414.87	373.81	1508.65	389.72	1794.29	780.44	1909.85	1467.37	220.32	239.52	656.11	603.67	4038.61	1991.0	2591.27	4607.24	3443.31	3018.3	2701.35	3419.52	2701.35	3103.19	115.16	73.03	583.07	412.0	226.54	262.2	518.15	336.79	417.77	64.8	144.01	189.02	241.19	237.86	91.41	193.01	466.88	543.96	327.56	287.01	93.35	371.22	358.54	486.75	218.79	688.78	309.83	780.44	1447.15	123.5	255.0	218.79	226.54	878.17	70.51	1769.57	2796.65	426.57	361.04	473.41	1794.29	2664.15	73.54	4181.07	4123.49	4298.64	406.31	2645.74	703.28	612.11	336.79	110.43
CHRM2	3874.05	1.14	1.85	0.0	112.77	0.43	86.43	81.71	154.42	185.11	2.14	0.0	50.63	6.01	17.38	51.35	115.97	40.93	93.35	275.28	26.67	26.28	80.57	22.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	10.08	11.21	11.21	29.48	5.06	6.06	2.34	18.56	11.91	8.51	9.56	13.12	7.0	5.28	0.0	24.99	156.59	1.66	363.56	583.07	31.67	267.73	64.8	493.56	669.92	24.28	854.13	1104.13	1397.83	5.96	171.45	9.78	0.0	6.11	0.0
CHRNA3	403.5	41.81	54.72	23.76	70.01	31.9	53.95	68.55	65.26	102.97	96.68	28.04	54.72	88.88	0.71	8.13	7.22	106.63	17.0	4.24	19.82	2.25	31.22	12.09	0.0	25.17	0.46	2.34	4.03	8.19	0.48	0.0	15.8	1.27	6.11	0.89	3.47	1.33	0.0	0.56	0.0	0.65	0.0	0.0	0.42	0.0	0.0	0.97	1.95	0.0	0.37	0.0	7.28	0.27	0.0	0.3	1.19	155.5	1.71	954.43	1757.34	76.17	121.79	53.95	728.11	660.68	30.34	591.22	981.29	660.68	2.76	76.17	9.7	4.21	9.7	9.06
CLIP3	6250.56	108.14	155.5	130.6	551.56	113.56	624.99	256.78	629.35	583.07	78.89	110.43	178.77	171.45	1066.48	825.0	769.69	1191.69	981.29	1322.37	791.35	796.86	947.83	1135.2	34.75	12.27	32.82	39.5	403.5	80.57	70.51	277.2	244.57	260.38	96.68	287.01	426.57	226.54	70.01	18.56	19.53	40.36	21.32	31.22	176.29	35.5	35.5	20.86	52.45	31.0	63.89	63.45	35.0	34.51	22.75	4.58	53.57	454.09	102.97	1781.89	3491.39	291.04	656.11	429.54	2032.85	2075.59	181.28	3847.29	2976.74	3847.29	157.68	928.3	441.64	358.54	723.08	82.29
CLMP	2104.58	90.77	90.14	67.12	277.2	77.25	258.57	137.14	713.11	339.14	49.21	33.54	108.9	165.57	279.14	500.46	336.79	981.29	493.56	624.99	460.44	417.77	543.96	457.25	0.89	0.0	0.95	5.63	1.22	25.35	0.0	6.01	3.79	595.34	6.57	88.26	41.22	124.37	0.79	0.65	4.39	4.03	3.11	3.17	23.25	8.06	0.77	1.58	3.47	28.24	15.34	12.74	2.51	13.52	0.84	10.0	7.51	447.82	38.95	563.18	1662.49	163.28	171.45	142.01	616.37	1119.56	62.56	1286.18	1977.24	1551.09	69.52	656.11	67.12	10.24	112.77	53.95
CMTM5	500.46	9.93	26.1	15.34	13.83	7.06	27.84	36.79	30.56	36.79	12.83	13.93	58.3	10.63	189.02	228.13	127.0	112.77	265.87	27.25	232.94	120.1	353.59	80.01	1.81	0.0	1.43	0.0	0.42	2.68	4.39	15.8	5.5	6.36	9.27	5.82	10.55	4.5	1.2	0.0	0.0	12.27	4.46	1.14	7.11	5.92	5.23	1.08	0.8	2.32	9.34	7.22	7.17	6.57	3.38	0.0	4.06	23.08	0.0	89.51	48.18	7.57	8.06	15.0	14.45	30.78	2.18	205.5	232.94	177.53	15.22	38.4	21.16	7.4	0.0	1.97
