	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
ATG4B	928.3	1119.56	1127.35	954.43	915.51	995.0	860.08	1322.37	854.13	713.11	775.05	624.99	633.73	791.35	684.02	638.15	836.53	748.61	595.34	684.02	536.45	660.68	713.11	842.36	836.53	665.29	591.22	791.35	483.38	802.41	521.76	995.0	620.67	866.07	1073.91	1044.52	1594.73	1216.75	988.12	1340.84	1594.73	1572.76	1870.53	1508.65	1096.5	947.83	1143.1	1477.58	1844.76	1733.13	896.64	1268.46	1350.18	1605.83	1388.16	1250.98	1191.69	1447.15	1304.15	890.44	1407.55	1639.59	1023.0	1447.15	1104.13	1781.89	1369.04	1008.9	1437.15	1417.35	1487.87	1369.04	1268.46	1617.0	1369.04	1073.91	1519.15	1081.39	1832.01	1304.15	1088.92	1233.75	1159.07	1088.92	1127.35	1331.57	1331.57	1498.22	1594.73	909.17	1388.16	1233.75	1066.48	1832.01	796.86	1457.23	1427.22	2163.77	954.43	1268.46	1487.87	1467.37	1051.79	1044.52	1023.0	1259.69	1304.15	1175.27	703.28	1674.06	1883.54	1417.35	830.75	1250.98	1331.57	1781.89	1331.57	1551.09	1467.37	1259.69	1407.55	1572.76	1685.71	1250.98	1295.13	988.12	1191.69	1127.35	1044.52	1051.79	896.64	1674.06	1369.04	860.08	1183.45	1183.45	743.43	1250.98	1233.75	1191.69	941.27	1685.71	1277.29	1498.22	1135.2	1225.22	1151.06	1378.57	1001.93	995.0	1561.89	1277.29	1216.75	1685.71	1313.23	1447.15	1225.22	1191.69	1331.57	1001.93	1572.76	1175.27	1340.84	1191.69	1733.13	1127.35	1233.75	995.0	1159.07	1819.35	1250.98	1030.12	1030.12	1023.0	1447.15	1331.57	1216.75	1427.22	1104.13	1378.57	1417.35	1286.18	1662.49
BCS1L	769.69	633.73	571.05	503.95	432.53	753.83	529.06	1605.83	395.18	336.79	441.64	647.07	616.37	563.18	620.67	559.28	368.65	525.39	521.76	521.76	483.38	514.56	540.19	514.56	559.28	791.35	647.07	708.18	417.77	559.28	555.41	358.54	426.57	603.67	400.71	563.18	1015.93	759.08	579.04	848.22	866.07	825.0	947.83	651.58	536.45	599.49	665.29	595.34	775.05	1159.07	470.14	941.27	738.29	1030.12	713.11	896.64	713.11	785.88	583.07	480.04	708.18	703.28	688.78	624.99	642.59	872.1	525.39	480.04	872.1	728.11	981.29	872.1	753.83	813.63	718.08	616.37	967.76	555.41	928.3	629.35	373.81	866.07	753.83	642.59	842.36	764.36	693.58	780.44	947.83	417.77	764.36	748.61	620.67	954.43	457.25	638.15	708.18	1111.82	483.38	688.78	748.61	748.61	629.35	651.58	571.05	599.49	759.08	703.28	409.15	559.28	909.17	713.11	441.64	713.11	769.69	764.36	896.64	785.88	896.64	599.49	830.75	928.3	775.05	769.69	860.08	483.38	599.49	536.45	567.1	543.96	414.87	738.29	738.29	616.37	660.68	647.07	392.44	728.11	693.58	559.28	651.58	684.02	518.15	848.22	612.11	947.83	723.08	651.58	638.15	693.58	769.69	532.74	551.56	1175.27	1015.93	1119.56	718.08	463.65	808.0	529.06	507.46	698.41	629.35	808.0	854.13	842.36	830.75	633.73	753.83	974.5	698.41	819.3	406.31	555.41	665.29	698.41	708.18	743.43	603.67	836.53	651.58	921.88	764.36
BRICD5	120.1	371.22	74.58	221.86	299.25	173.85	52.45	81.14	52.82	63.89	31.9	72.01	28.45	32.36	35.76	20.26	32.82	36.27	13.22	34.26	10.16	34.02	34.02	19.39	35.25	65.26	43.63	40.64	33.54	91.41	33.06	35.5	41.22	18.7	43.63	12.27	579.04	356.05	215.77	583.07	884.29	555.41	567.1	473.41	186.4	170.25	336.79	334.46	591.22	660.68	157.68	457.25	371.22	555.41	536.45	507.46	273.37	223.41	265.87	61.68	287.01	287.01	287.01	169.07	395.18	599.49	209.84	217.27	743.43	406.31	514.56	480.04	232.94	559.28	316.37	224.97	981.29	208.38	860.08	195.72	220.32	387.02	500.46	267.73	595.34	518.15	279.14	684.02	514.56	193.01	258.57	343.89	146.03	397.93	68.55	152.28	414.87	825.0	137.14	154.42	1175.27	258.57	231.32	353.59	209.84	251.48	476.71	271.48	137.14	303.44	759.08	536.45	102.25	409.15	217.27	384.34	563.18	307.69	511.0	320.8	547.75	728.11	612.11	363.56	417.77	182.55	198.47	242.88	165.57	131.51	72.01	450.94	536.45	447.82	84.63	289.02	71.0	273.37	249.73	194.36	525.39	366.09	147.06	438.59	368.65	738.29	173.85	295.11	409.15	209.84	373.81	376.41	197.09	825.0	591.22	830.75	267.73	128.79	738.29	253.23	169.07	309.83	279.14	480.04	559.28	381.68	403.5	236.21	389.72	559.28	309.83	454.09	139.07	293.07	669.92	198.47	400.71	332.14	149.12	486.75	373.81	483.38	379.04
C1orf63	2935.74	2434.5	928.3	2835.7	2591.27	1781.89	738.29	2573.36	417.77	81.14	336.79	607.87	703.28	447.82	713.11	651.58	379.04	429.54	490.14	753.83	559.28	299.25	878.17	351.14	802.41	1407.55	447.82	249.73	665.29	293.07	423.61	1015.93	134.3	854.13	348.71	267.73	4066.71	2701.35	2178.83	4543.8	3690.52	4328.55	4239.45	2956.17	928.3	2720.15	3419.52	819.3	3847.29	4802.93	1191.69	4481.23	2502.97	3716.2	2915.45	2855.44	3491.39	2537.92	3928.15	2351.53	2367.9	1628.26	3212.66	3190.46	3395.89	2997.45	1909.85	1721.16	3235.01	1697.45	3303.0	3742.05	1605.83	3039.3	2090.03	2627.46	3103.19	1721.16	4210.15	1529.73	1674.06	3212.66	3124.78	3039.3	2895.31	4066.71	2739.08	3190.46	4671.57	2875.3	2384.37	2032.85	1331.57	3589.58	1561.89	1477.58	2664.15	5791.62	1259.69	896.64	3614.55	2240.11	2384.37	1832.01	1896.65	2133.97	3768.09	3060.45	1096.5	2335.28	4181.07	3235.01	1457.23	1561.89	2417.67	2178.83	4419.52	3124.78	2895.31	1832.01	2609.3	4181.07	3847.29	2502.97	3901.01	2627.46	1806.78	2367.9	2935.74	988.12	988.12	2645.74	3742.05	1508.65	1519.15	2720.15	1844.76	3820.7	1583.71	2178.83	3018.3	3395.89	1359.57	3901.01	1467.37	3443.31	3303.0	2032.85	3280.18	2855.44	2935.74	2591.27	1397.83	6164.49	3103.19	5219.6	2148.82	1242.34	3349.13	3039.3	1001.93	2303.12	2502.97	3168.41	3742.05	4268.94	3901.01	1073.91	3325.99	4704.07	2367.9	4010.71	954.43	2148.82	3103.19	2816.11	3372.43	1963.57	1498.22	3349.13	2956.17	2835.7	3257.52
C3orf35	2.92	26.86	6.57	8.32	26.67	17.0	11.91	13.93	9.63	15.0	8.85	10.08	6.62	9.06	8.51	11.21	29.7	7.34	8.13	12.18	7.51	5.59	13.03	3.76	7.06	9.78	6.57	10.79	22.59	4.24	12.27	20.86	4.03	5.73	4.98	6.26	35.76	36.79	15.56	29.27	35.76	60.39	40.93	31.45	24.99	19.11	28.24	25.17	42.71	38.4	10.88	38.95	18.84	35.5	68.55	53.95	22.26	13.93	17.25	18.03	24.11	15.68	19.53	24.11	24.81	34.26	16.63	16.75	40.93	18.56	26.67	43.94	25.35	31.22	25.17	17.38	41.52	13.03	55.1	29.27	13.42	43.32	15.91	20.11	34.26	29.7	19.82	29.7	35.0	22.26	43.02	23.93	9.41	40.36	15.8	15.56	30.12	27.84	9.85	14.14	33.54	36.79	29.27	27.84	18.29	30.12	33.06	36.01	21.16	19.11	43.94	40.36	7.88	24.28	17.51	23.08	44.89	30.34	23.59	22.59	30.34	35.5	54.33	45.21	43.63	24.81	13.22	11.3	9.41	16.39	14.78	27.44	32.13	17.13	13.32	10.31	5.15	26.1	31.67	18.84	23.76	34.26	31.9	68.55	16.39	66.18	29.48	21.01	43.02	17.38	22.43	29.27	14.03	85.22	58.3	59.97	17.25	14.56	35.76	35.76	8.99	19.25	24.81	23.08	47.84	30.56	19.97	4.98	40.93	42.11	18.29	31.45	14.24	12.09	49.56	21.01	21.32	27.84	16.51	21.94	22.1	24.46	29.27
C9orf163	3.63	5.68	0.6	3.14	7.75	6.11	0.88	13.12	4.31	2.1	2.78	3.53	3.82	4.5	3.76	6.78	4.9	4.98	3.0	4.03	1.99	7.4	3.35	2.97	9.63	2.71	4.86	3.59	1.53	3.03	2.18	1.04	2.32	3.53	2.86	2.27	27.84	12.55	8.32	17.9	15.8	25.91	20.71	19.53	2.86	13.52	14.78	9.56	16.88	21.94	2.43	23.25	10.96	23.08	17.0	21.94	11.64	24.11	11.13	4.78	12.18	13.12	14.24	9.56	17.38	38.95	14.24	10.08	15.0	12.0	28.24	14.45	12.55	15.91	10.63	14.45	17.51	3.63	30.12	9.34	5.23	20.26	21.01	15.11	10.88	20.56	16.27	13.83	16.27	12.55	20.86	16.75	8.13	23.25	5.92	13.12	19.97	21.32	8.99	9.27	18.29	13.52	12.83	12.09	8.32	12.83	12.27	11.04	2.03	16.03	21.16	17.51	2.89	15.22	11.13	17.64	19.53	14.56	13.52	12.09	24.81	25.72	20.86	12.45	21.16	9.85	13.93	13.83	5.96	4.17	6.06	16.15	9.85	12.45	7.75	28.86	6.36	17.25	10.08	10.88	11.13	13.62	5.41	18.84	13.22	21.01	18.84	22.75	13.32	14.78	17.64	9.13	6.21	29.91	24.63	23.42	17.13	5.06	21.01	7.22	6.94	13.72	14.56	29.48	25.35	23.42	12.64	5.68	17.0	20.86	15.8	14.45	8.58	10.71	18.7	18.56	10.96	13.72	7.88	12.45	9.63	10.24	17.64
CATSPER2	40.93	28.86	84.04	52.08	60.82	59.13	46.18	93.35	43.94	42.41	12.09	39.22	36.01	44.89	33.3	30.34	74.58	33.54	48.87	16.51	34.51	39.5	53.57	52.82	18.29	31.0	47.5	22.75	92.7	54.72	69.03	62.56	27.44	59.97	19.82	17.9	193.01	209.84	127.0	228.13	135.24	251.48	169.07	236.21	87.03	142.01	224.97	119.26	217.27	194.36	108.14	173.85	161.02	171.45	165.57	113.56	122.64	172.65	182.55	161.02	125.24	185.11	155.5	175.07	98.73	334.46	57.49	83.45	194.36	209.84	152.28	218.79	170.25	182.55	258.57	170.25	119.26	131.51	150.17	153.34	53.19	244.57	158.79	166.73	169.07	150.17	156.59	195.72	220.32	126.12	191.67	122.64	71.5	214.27	61.68	122.64	209.84	77.25	152.28	96.68	156.59	131.51	119.26	172.65	129.69	199.85	197.09	208.38	152.28	175.07	212.78	141.02	112.77	147.06	166.73	173.85	157.68	215.77	108.9	141.02	236.21	144.01	314.17	146.03	202.66	138.1	127.0	56.28	86.43	96.68	151.22	163.28	177.53	128.79	158.79	114.36	78.89	134.3	228.13	120.94	194.36	231.32	165.57	194.36	80.01	143.01	248.0	127.0	137.14	146.03	159.9	246.28	172.65	291.04	191.67	438.59	135.24	123.5	198.47	155.5	91.41	191.67	167.9	195.72	150.17	236.21	191.67	82.87	193.01	283.05	117.6	205.5	95.34	97.36	151.22	199.85	116.78	116.78	142.01	96.68	201.25	92.05	165.57
CCDC130	420.68	802.41	423.61	679.29	532.74	830.75	309.83	466.88	353.59	303.44	423.61	423.61	336.79	426.57	567.1	457.25	332.14	603.67	277.2	265.87	155.5	234.57	346.29	258.57	473.41	483.38	511.0	493.56	249.73	454.09	265.87	420.68	226.54	295.11	327.56	271.48	1233.75	896.64	713.11	1088.92	1331.57	1388.16	1313.23	1111.82	748.61	665.29	819.3	796.86	1350.18	1498.22	693.58	1143.1	1051.79	1388.16	1199.98	1250.98	842.36	947.83	896.64	579.04	796.86	902.89	967.76	848.22	981.29	1407.55	656.11	808.0	1167.14	915.51	1508.65	1066.48	981.29	1250.98	836.53	866.07	1477.58	775.05	1427.22	603.67	738.29	1135.2	995.0	902.89	860.08	1250.98	1008.9	1151.06	1286.18	656.11	1023.0	830.75	674.59	1286.18	607.87	836.53	1199.98	1519.15	529.06	540.19	1350.18	1044.52	884.29	759.08	642.59	813.63	1066.48	974.5	595.34	1066.48	1477.58	1250.98	612.11	796.86	961.07	1037.29	1175.27	1015.93	1304.15	718.08	1199.98	1427.22	1437.15	909.17	1023.0	769.69	733.19	684.02	825.0	616.37	579.04	1151.06	1304.15	764.36	603.67	902.89	633.73	981.29	819.3	651.58	1051.79	1037.29	633.73	1369.04	967.76	1594.73	1044.52	941.27	995.0	878.17	1119.56	890.44	665.29	1757.34	1397.83	1605.83	1030.12	563.18	1208.34	848.22	547.75	785.88	896.64	1044.52	1437.15	1088.92	1001.93	718.08	1151.06	1268.46	1037.29	1199.98	660.68	967.76	954.43	1023.0	1051.79	1037.29	669.92	1159.07	872.1	1250.98	981.29
CDK3	194.36	197.09	89.51	118.43	201.25	148.09	94.67	141.02	74.58	104.42	49.91	125.24	44.25	64.8	172.65	69.52	154.42	21.16	52.82	86.43	63.89	45.53	55.89	58.71	87.03	162.14	123.5	27.44	89.51	43.02	157.68	67.12	57.08	91.41	63.45	45.53	547.75	253.23	155.5	371.22	325.29	423.61	389.72	329.84	133.36	186.4	212.78	220.32	316.37	483.38	117.6	303.44	251.48	343.89	406.31	325.29	265.87	214.27	228.13	193.01	206.94	224.97	293.07	195.72	164.42	450.94	182.55	176.29	244.57	232.94	363.56	334.46	229.72	291.04	163.28	180.02	327.56	163.28	376.41	165.57	136.19	387.02	320.8	199.85	228.13	253.23	265.87	343.89	397.93	185.11	336.79	264.03	111.99	412.0	59.13	129.69	353.59	457.25	135.24	100.13	297.17	291.04	162.14	169.07	149.12	220.32	258.57	215.77	104.42	287.01	473.41	381.68	87.65	256.78	234.57	267.73	262.2	237.86	397.93	156.59	283.05	395.18	514.56	226.54	297.17	173.85	178.77	170.25	187.71	111.21	122.64	373.81	312.0	134.3	158.79	217.27	78.89	212.78	223.41	155.5	293.07	281.09	146.03	409.15	215.77	351.14	258.57	211.31	244.57	181.28	305.55	248.0	115.97	514.56	387.02	483.38	260.38	130.6	267.73	181.28	147.06	199.85	195.72	258.57	348.71	285.03	249.73	138.1	221.86	320.8	185.11	395.18	148.09	167.9	246.28	262.2	260.38	265.87	137.14	305.55	198.47	287.01	279.14
CEP95	371.22	698.41	289.02	409.15	642.59	463.65	397.93	854.13	332.14	198.47	295.11	325.29	212.78	265.87	293.07	249.73	379.04	256.78	255.0	371.22	371.22	195.72	403.5	212.78	283.05	373.81	248.0	255.0	540.19	289.02	231.32	854.13	131.51	231.32	194.36	176.29	902.89	688.78	688.78	819.3	1369.04	1088.92	848.22	813.63	486.75	633.73	679.29	543.96	878.17	1073.91	361.04	902.89	780.44	1008.9	738.29	981.29	753.83	684.02	733.19	718.08	775.05	595.34	693.58	1119.56	718.08	1023.0	629.35	743.43	723.08	567.1	974.5	854.13	890.44	988.12	591.22	759.08	808.0	400.71	921.88	616.37	612.11	988.12	764.36	665.29	616.37	860.08	764.36	688.78	1119.56	521.76	748.61	551.56	409.15	1030.12	447.82	511.0	802.41	909.17	438.59	325.29	728.11	896.64	555.41	514.56	493.56	728.11	703.28	733.19	723.08	563.18	967.76	796.86	457.25	540.19	728.11	547.75	713.11	769.69	679.29	406.31	995.0	1175.27	1096.5	651.58	896.64	718.08	555.41	591.22	679.29	400.71	406.31	769.69	796.86	603.67	547.75	595.34	409.15	642.59	713.11	507.46	764.36	836.53	540.19	1051.79	559.28	1119.56	819.3	780.44	728.11	575.03	748.61	620.67	460.44	1617.0	941.27	1216.75	764.36	583.07	759.08	571.05	373.81	616.37	616.37	848.22	988.12	890.44	698.41	540.19	825.0	1015.93	591.22	802.41	500.46	441.64	698.41	819.3	599.49	808.0	575.03	753.83	543.96	698.41	813.63
CES4A	237.86	50.27	171.45	139.07	536.45	285.03	187.71	483.38	153.34	166.73	248.0	232.94	186.4	156.59	148.09	128.79	75.11	63.0	172.65	149.12	118.43	124.37	244.57	37.59	265.87	312.0	269.6	49.56	161.02	197.09	79.45	368.65	71.0	251.48	120.1	70.51	884.29	412.0	229.72	579.04	796.86	651.58	651.58	981.29	223.41	260.38	603.67	264.03	1216.75	872.1	353.59	397.93	420.68	447.82	603.67	435.55	429.54	616.37	536.45	239.52	303.44	476.71	389.72	429.54	830.75	532.74	229.72	229.72	961.07	493.56	660.68	934.76	283.05	759.08	316.37	381.68	698.41	450.94	830.75	371.22	571.05	325.29	738.29	395.18	346.29	679.29	384.34	884.29	674.59	220.32	395.18	376.41	204.07	733.19	146.03	289.02	368.65	669.92	346.29	476.71	872.1	438.59	454.09	253.23	289.02	387.02	497.0	412.0	155.5	279.14	748.61	486.75	281.09	392.44	420.68	460.44	1119.56	323.03	361.04	201.25	595.34	921.88	842.36	348.71	536.45	316.37	363.56	262.2	395.18	320.8	199.85	555.41	423.61	289.02	187.71	483.38	234.57	470.14	325.29	406.31	518.15	497.0	301.33	915.51	620.67	791.35	264.03	269.6	389.72	253.23	624.99	967.76	392.44	1378.57	647.07	854.13	486.75	358.54	624.99	432.53	124.37	435.55	563.18	591.22	713.11	620.67	511.0	303.44	346.29	679.29	825.0	339.14	228.13	674.59	813.63	890.44	412.0	353.59	177.53	480.04	373.81	423.61	493.56
CHKA	718.08	543.96	620.67	599.49	780.44	432.53	599.49	2104.58	591.22	669.92	728.11	769.69	486.75	1023.0	1001.93	1259.69	432.53	633.73	785.88	791.35	587.13	616.37	1617.0	409.15	759.08	1127.35	728.11	1508.65	432.53	848.22	738.29	813.63	163.28	567.1	503.95	356.05	1096.5	961.07	728.11	1088.92	1769.57	1175.27	1268.46	1037.29	638.15	909.17	878.17	941.27	1199.98	1617.0	567.1	1225.22	808.0	1540.37	1081.39	1059.11	872.1	941.27	1008.9	791.35	860.08	703.28	884.29	866.07	1199.98	1628.26	915.51	813.63	1832.01	1066.48	1378.57	1268.46	1104.13	1417.35	981.29	738.29	1519.15	878.17	1437.15	802.41	825.0	1304.15	1208.34	1250.98	934.76	1832.01	842.36	1051.79	1561.89	660.68	1073.91	884.29	638.15	1304.15	698.41	684.02	921.88	1313.23	780.44	1407.55	1733.13	1030.12	780.44	866.07	703.28	941.27	1127.35	1127.35	575.03	769.69	1407.55	1268.46	575.03	947.83	738.29	1159.07	1295.13	1066.48	909.17	842.36	1417.35	2047.0	1583.71	1015.93	1457.23	866.07	743.43	698.41	842.36	525.39	713.11	1059.11	1066.48	728.11	679.29	679.29	587.13	890.44	836.53	733.19	928.3	1233.75	830.75	1417.35	988.12	2178.83	1331.57	934.76	981.29	866.07	1073.91	748.61	503.95	3146.52	1427.22	1685.71	860.08	571.05	1015.93	669.92	693.58	848.22	785.88	1088.92	1540.37	1135.2	890.44	743.43	1340.84	1175.27	988.12	1519.15	656.11	571.05	1151.06	928.3	775.05	1135.2	769.69	1159.07	813.63	674.59	878.17
