	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1626.SM.4AD6G	TCGA.G4.6321.01A.11R.1723.07	GTEX.ZVT2.1926.SM.5GU5T	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11NUK.1226.SM.5P9GM	TCGA.44.2662.11A.01R.1758.07	GTEX.11EI6.0826.SM.5985V	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.N7MS.0926.SM.2HMIZ	GTEX.13NYB.0626.SM.5MR47	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.43.6143.11A.01R.1820.07	TCGA.HU.8238.11A.01R.2343.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.RWS6.0926.SM.47JXE	GTEX.ZYY3.1726.SM.5EGH3
C4orf46	400.71	77.79	94.01	75.11	92.7	95.34	102.25	96.68	85.22	81.14	164.42	120.1	100.13	72.52	109.66	69.03	99.43	71.0	122.64	75.11	110.43	118.43	74.06	116.78	159.9	64.34	51.71	52.45	177.53	120.1	88.88	85.82	112.77	132.44	60.39	151.22	104.42	140.04	182.55	103.69	72.52	56.68	361.04	104.42	71.0	97.36	140.04	84.63	102.97	57.08	122.64	74.58	106.63	49.56	122.64	105.89	59.13	90.14	155.5	149.12	32.36	82.29	25.17	11.91	10.16	51.35	60.39	76.17	37.59	55.89	33.78	60.82	156.59	55.1	50.98	32.36	57.49	52.08	41.22	54.33	30.12	40.64
CENPQ	158.79	84.63	148.09	49.21	220.32	199.85	264.03	62.12	162.14	77.25	146.03	183.82	88.26	138.1	186.4	84.04	91.41	92.05	153.34	109.66	158.79	103.69	65.72	115.16	323.03	88.88	195.72	69.03	208.38	127.89	130.6	111.21	125.24	186.4	92.05	175.07	138.1	185.11	122.64	78.89	62.12	88.88	237.86	102.97	46.84	314.17	98.73	183.82	96.01	108.9	129.69	96.01	71.0	197.09	165.57	116.78	190.34	87.65	262.2	185.11	52.45	34.02	6.94	14.14	33.78	58.71	41.52	28.04	11.13	26.1	53.95	70.51	53.95	32.13	37.85	78.34	35.5	64.34	26.86	44.25	39.22	61.25
CMSS1	1963.57	486.75	543.96	447.82	718.08	629.35	1151.06	379.04	356.05	575.03	684.02	470.14	660.68	457.25	441.64	896.64	514.56	486.75	409.15	647.07	616.37	928.3	514.56	638.15	1583.71	507.46	412.0	656.11	607.87	688.78	718.08	603.67	620.67	633.73	791.35	525.39	514.56	361.04	363.56	507.46	194.36	656.11	921.88	476.71	660.68	1457.23	497.0	759.08	642.59	412.0	708.18	1685.71	738.29	981.29	775.05	476.71	872.1	532.74	441.64	1304.15	103.69	114.36	289.02	258.57	123.5	366.09	289.02	303.44	376.41	525.39	384.34	297.17	409.15	536.45	450.94	1909.85	490.14	409.15	90.14	279.14	120.94	166.73
COG5	902.89	291.04	366.09	384.34	591.22	708.18	414.87	318.57	660.68	289.02	518.15	669.92	417.77	486.75	693.58	441.64	423.61	339.14	660.68	409.15	376.41	454.09	341.51	507.46	748.61	486.75	277.2	356.05	651.58	514.56	438.59	587.13	412.0	571.05	279.14	587.13	551.56	780.44	688.78	521.76	547.75	195.72	1081.39	429.54	688.78	325.29	575.03	571.05	808.0	361.04	638.15	595.34	493.56	273.37	665.29	514.56	251.48	470.14	665.29	511.0	273.37	205.5	140.04	77.79	71.0	275.28	381.68	486.75	193.01	305.55	293.07	417.77	231.32	361.04	226.54	166.73	395.18	264.03	220.32	246.28	146.03	318.57
COQ3	293.07	141.02	130.6	158.79	119.26	279.14	406.31	166.73	68.07	173.85	186.4	144.01	178.77	166.73	143.01	226.54	120.94	181.28	253.23	177.53	237.86	423.61	214.27	175.07	176.29	105.15	223.41	183.82	265.87	221.86	253.23	224.97	256.78	262.2	223.41	224.97	209.84	228.13	215.77	271.48	180.02	202.66	406.31	173.85	289.02	237.86	175.07	158.79	218.79	320.8	307.69	172.65	283.05	480.04	334.46	202.66	293.07	84.63	279.14	289.02	143.01	91.41	92.7	256.78	236.21	65.72	40.93	39.5	47.84	24.63	65.72	68.55	77.79	43.32	56.28	63.89	66.18	105.89	125.24	92.05	129.69	74.58
CWC22	579.04	244.57	205.5	258.57	249.73	438.59	279.14	226.54	217.27	265.87	395.18	246.28	297.17	214.27	262.2	414.87	228.13	253.23	256.78	217.27	435.55	435.55	305.55	368.65	366.09	249.73	173.85	334.46	703.28	460.44	463.65	420.68	392.44	660.68	361.04	674.59	387.02	540.19	555.41	476.71	480.04	341.51	928.3	555.41	603.67	567.1	518.15	555.41	629.35	447.82	480.04	412.0	563.18	444.72	587.13	450.94	323.03	361.04	559.28	412.0	193.01	164.42	23.42	40.36	178.77	228.13	237.86	153.34	133.36	201.25	214.27	271.48	132.44	228.13	206.94	185.11	163.28	281.09	153.34	187.71	149.12	147.06
CWC27	624.99	325.29	182.55	293.07	400.71	346.29	241.19	239.52	353.59	303.44	417.77	642.59	400.71	279.14	444.72	483.38	395.18	341.51	307.69	412.0	473.41	361.04	392.44	441.64	269.6	285.03	403.5	397.93	518.15	507.46	358.54	470.14	389.72	547.75	463.65	579.04	400.71	470.14	511.0	497.0	389.72	253.23	748.61	432.53	529.06	441.64	339.14	444.72	642.59	363.56	444.72	521.76	514.56	423.61	454.09	406.31	305.55	334.46	551.56	599.49	187.71	161.02	55.89	43.02	135.24	265.87	316.37	123.5	85.82	156.59	299.25	264.03	265.87	244.57	162.14	154.42	271.48	327.56	193.01	234.57	206.94	177.53
DCUN1D5	1617.0	438.59	607.87	525.39	476.71	1081.39	571.05	353.59	297.17	473.41	438.59	417.77	629.35	490.14	226.54	532.74	612.11	529.06	543.96	718.08	503.95	878.17	493.56	384.34	674.59	490.14	476.71	551.56	688.78	450.94	480.04	353.59	540.19	669.92	486.75	529.06	486.75	336.79	426.57	521.76	387.02	500.46	629.35	403.5	435.55	536.45	348.71	400.71	1051.79	260.38	309.83	1143.1	373.81	1639.59	511.0	438.59	890.44	312.0	555.41	1277.29	244.57	118.43	215.77	113.56	131.51	264.03	186.4	197.09	172.65	120.94	287.01	215.77	366.09	169.07	329.84	187.71	185.11	341.51	165.57	309.83	423.61	228.13
DDX10	1044.52	356.05	679.29	316.37	438.59	819.3	438.59	376.41	346.29	595.34	305.55	361.04	503.95	271.48	373.81	295.11	406.31	457.25	403.5	620.67	616.37	684.02	466.88	447.82	802.41	336.79	579.04	511.0	738.29	591.22	420.68	543.96	497.0	511.0	543.96	674.59	493.56	351.14	497.0	567.1	490.14	316.37	1008.9	567.1	780.44	866.07	387.02	633.73	543.96	536.45	665.29	1104.13	420.68	603.67	718.08	511.0	361.04	323.03	547.75	954.43	151.22	175.07	54.33	108.9	125.24	249.73	220.32	115.97	153.34	101.54	400.71	194.36	221.86	267.73	275.28	149.12	171.45	414.87	90.77	131.51	264.03	152.28
DDX18	1870.53	463.65	954.43	769.69	884.29	1769.57	785.88	547.75	629.35	603.67	1277.29	1313.23	796.86	595.34	890.44	1037.29	796.86	633.73	688.78	651.58	1151.06	813.63	934.76	1044.52	1757.34	909.17	503.95	967.76	1909.85	1322.37	1104.13	1151.06	995.0	1561.89	728.11	1819.35	665.29	1369.04	1487.87	1191.69	1437.15	896.64	2485.67	896.64	1322.37	1369.04	1963.57	967.76	1883.54	813.63	1199.98	1295.13	1407.55	780.44	1295.13	1268.46	791.35	647.07	1487.87	1119.56	361.04	395.18	139.07	214.27	253.23	507.46	363.56	343.89	256.78	603.67	567.1	575.03	291.04	532.74	414.87	497.0	567.1	633.73	607.87	417.77	318.57	246.28
DDX50	1407.55	511.0	483.38	521.76	579.04	878.17	583.07	616.37	579.04	612.11	825.0	684.02	684.02	607.87	703.28	409.15	536.45	587.13	575.03	536.45	947.83	665.29	813.63	775.05	802.41	551.56	599.49	866.07	1216.75	1051.79	884.29	890.44	854.13	1159.07	785.88	1081.39	796.86	947.83	1051.79	1030.12	738.29	1088.92	2047.0	723.08	1096.5	1331.57	1127.35	941.27	1216.75	791.35	703.28	1277.29	1059.11	1111.82	1059.11	624.99	890.44	791.35	934.76	1208.34	218.79	237.86	148.09	107.38	153.34	438.59	258.57	147.06	208.38	299.25	420.68	444.72	426.57	379.04	409.15	314.17	348.71	507.46	197.09	197.09	269.6	122.64
DPH5	878.17	684.02	954.43	409.15	638.15	651.58	447.82	642.59	571.05	723.08	878.17	470.14	460.44	563.18	723.08	514.56	718.08	669.92	332.14	435.55	769.69	769.69	791.35	684.02	551.56	486.75	669.92	624.99	1088.92	1127.35	612.11	723.08	909.17	728.11	802.41	872.1	703.28	571.05	1023.0	848.22	698.41	656.11	1561.89	703.28	679.29	1023.0	507.46	669.92	579.04	764.36	693.58	457.25	860.08	1167.14	1143.1	733.19	1167.14	660.68	884.29	1119.56	218.79	336.79	518.15	299.25	236.21	265.87	309.83	180.02	151.22	146.03	262.2	264.03	395.18	204.07	285.03	348.71	220.32	450.94	220.32	281.09	412.0	167.9
DTWD1	511.0	463.65	642.59	490.14	612.11	941.27	218.79	518.15	543.96	543.96	1044.52	551.56	497.0	679.29	612.11	395.18	759.08	665.29	688.78	339.14	1295.13	995.0	540.19	693.58	476.71	486.75	575.03	723.08	1561.89	1268.46	878.17	642.59	759.08	1331.57	718.08	1733.13	1059.11	733.19	1030.12	775.05	808.0	529.06	3443.31	753.83	785.88	1159.07	915.51	954.43	1709.26	796.86	698.41	941.27	1030.12	1709.26	1340.84	813.63	764.36	674.59	1143.1	1183.45	305.55	255.0	66.65	105.15	269.6	466.88	511.0	361.04	226.54	457.25	497.0	476.71	231.32	486.75	525.39	307.69	368.65	444.72	171.45	334.46	327.56	194.36
DUSP11	559.28	463.65	603.67	460.44	473.41	708.18	283.05	460.44	441.64	563.18	633.73	583.07	575.03	353.59	450.94	612.11	400.71	511.0	397.93	441.64	728.11	642.59	529.06	583.07	902.89	371.22	273.37	454.09	819.3	693.58	583.07	500.46	647.07	878.17	454.09	748.61	511.0	567.1	563.18	497.0	476.71	447.82	808.0	493.56	507.46	733.19	559.28	651.58	529.06	473.41	507.46	525.39	507.46	748.61	764.36	575.03	629.35	555.41	860.08	688.78	426.57	341.51	332.14	218.79	208.38	297.17	323.03	155.5	102.25	255.0	264.03	265.87	175.07	249.73	253.23	283.05	214.27	392.44	392.44	260.38	289.02	241.19
DYRK4	3491.39	1037.29	866.07	878.17	603.67	1540.37	563.18	1088.92	438.59	1015.93	802.41	1119.56	819.3	511.0	603.67	1388.16	620.67	647.07	642.59	1159.07	1008.9	1159.07	1216.75	848.22	884.29	1088.92	529.06	718.08	1037.29	1044.52	884.29	1088.92	1104.13	896.64	1175.27	1073.91	961.07	915.51	941.27	1199.98	1023.0	848.22	743.43	733.19	395.18	1781.89	878.17	909.17	802.41	1519.15	1417.35	902.89	660.68	1519.15	1359.57	1127.35	1259.69	866.07	872.1	1896.65	532.74	237.86	703.28	303.44	358.54	638.15	860.08	314.17	583.07	379.04	764.36	796.86	836.53	551.56	547.75	563.18	358.54	947.83	429.54	473.41	612.11	389.72
EEF1E1	624.99	486.75	723.08	231.32	575.03	728.11	878.17	303.44	624.99	536.45	361.04	733.19	532.74	287.01	612.11	423.61	463.65	473.41	343.89	620.67	769.69	348.71	647.07	583.07	1540.37	403.5	497.0	417.77	679.29	454.09	447.82	620.67	567.1	896.64	642.59	457.25	323.03	493.56	363.56	607.87	429.54	723.08	698.41	466.88	642.59	703.28	532.74	503.95	540.19	336.79	532.74	1216.75	603.67	1794.29	860.08	387.02	1896.65	307.69	521.76	1066.48	163.28	158.79	518.15	155.5	92.05	277.2	182.55	171.45	195.72	137.14	197.09	232.94	381.68	171.45	251.48	169.07	228.13	348.71	204.07	426.57	392.44	226.54
ESF1	547.75	159.9	186.4	187.71	332.14	397.93	135.24	153.34	208.38	170.25	251.48	358.54	194.36	159.9	255.0	242.88	239.52	144.01	195.72	262.2	289.02	444.72	177.53	289.02	441.64	182.55	229.72	193.01	450.94	229.72	269.6	215.77	224.97	371.22	223.41	490.14	169.07	371.22	476.71	253.23	241.19	125.24	813.63	215.77	255.0	279.14	327.56	361.04	334.46	271.48	199.85	307.69	285.03	239.52	497.0	198.47	208.38	161.02	379.04	291.04	133.36	152.28	16.63	27.44	85.82	108.9	84.04	32.82	29.7	76.17	87.65	88.88	44.89	70.01	56.28	66.18	75.64	133.36	152.28	74.06	63.0	21.63
FAM115A	1304.15	503.95	514.56	547.75	1183.45	909.17	490.14	563.18	703.28	595.34	642.59	708.18	500.46	854.13	1015.93	529.06	878.17	435.55	713.11	791.35	780.44	718.08	718.08	928.3	890.44	493.56	371.22	836.53	1059.11	848.22	836.53	902.89	890.44	878.17	728.11	1023.0	995.0	1286.18	1909.85	974.5	764.36	764.36	947.83	748.61	921.88	483.38	995.0	941.27	567.1	629.35	633.73	297.17	1199.98	389.72	764.36	656.11	587.13	813.63	1159.07	1286.18	332.14	157.68	55.89	112.77	220.32	463.65	518.15	575.03	314.17	351.14	463.65	483.38	417.77	769.69	514.56	295.11	423.61	429.54	287.01	264.03	246.28	217.27
FAM216A	329.84	86.43	67.12	59.13	52.82	205.5	74.06	64.8	105.15	96.68	80.01	92.05	94.01	41.81	100.13	111.99	72.01	58.3	48.18	249.73	199.85	165.57	134.3	112.77	262.2	88.88	38.95	143.01	244.57	146.03	178.77	105.15	180.02	163.28	148.09	220.32	115.97	127.89	145.02	176.29	88.26	102.25	435.55	141.02	73.03	267.73	121.79	72.52	57.08	255.0	137.14	341.51	202.66	291.04	66.18	126.12	236.21	138.1	115.97	417.77	34.26	39.79	31.9	26.86	98.73	82.29	74.06	31.0	15.8	47.5	69.52	104.42	49.56	46.84	35.0	81.71	68.07	74.06	44.57	32.59	69.52	37.05
