	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
GJA1	842.36	129.69	57.89	231.32	64.34	1001.93	748.61	684.02	1175.27	1044.52	1674.06	193.01	435.55	483.38	507.46	620.67	320.8	406.31	1037.29	660.68	785.88	463.65	149.12	454.09	813.63	172.65	559.28	275.28	1721.16	872.1	92.05	181.28	878.17	785.88	698.41	69.03	289.02	353.59	267.73	1551.09	277.2	118.43	323.03	269.6	130.6	665.29	381.68	753.83	460.44	141.02	316.37	518.15	366.09	387.02	161.02	116.78	316.37	1427.22	1639.59	2400.97	1331.57	1407.55	1963.57
HEPH	59.55	42.71	23.25	29.91	13.42	135.24	106.63	262.2	264.03	297.17	314.17	31.45	121.79	46.5	85.82	115.97	80.57	125.24	178.77	66.18	351.14	67.59	8.92	98.04	98.04	37.05	148.09	68.55	429.54	265.87	9.78	55.89	123.5	126.12	202.66	12.55	28.65	130.6	20.71	258.57	43.94	57.89	26.28	98.73	31.0	226.54	164.42	147.06	47.17	7.75	76.17	208.38	42.11	83.45	34.26	37.59	62.12	231.32	295.11	353.59	389.72	152.28	819.3
HSPB8	928.3	86.43	53.19	155.5	88.26	1498.22	1457.23	1991.0	2956.17	2895.31	4066.71	140.04	909.17	368.65	1066.48	738.29	651.58	796.86	2047.0	514.56	1794.29	836.53	13.62	1498.22	1119.56	156.59	1540.37	583.07	2537.92	3081.75	46.5	145.02	947.83	665.29	1769.57	41.81	122.64	825.0	89.51	2739.08	226.54	96.68	417.77	1096.5	279.14	1081.39	915.51	2287.2	258.57	39.22	223.41	1870.53	199.85	1191.69	180.02	138.1	733.19	2895.31	3639.7	5517.27	4095.0	2224.63	4239.45
ITGA9	49.91	27.25	7.63	40.93	18.03	66.65	53.19	158.79	182.55	211.31	248.0	21.47	53.95	51.35	72.52	67.12	56.68	66.65	127.89	62.12	186.4	53.57	15.34	46.5	88.26	18.84	105.89	40.07	262.2	175.07	10.63	27.84	100.13	102.25	106.63	19.39	24.81	78.89	22.1	202.66	45.53	24.81	45.21	47.84	24.63	113.56	114.36	102.25	39.22	13.12	145.02	94.01	43.02	49.56	35.25	25.54	34.26	208.38	166.73	267.73	260.38	112.77	318.57
JAZF1	98.04	57.89	29.7	70.51	28.86	214.27	217.27	320.8	363.56	389.72	525.39	72.52	148.09	79.45	157.68	99.43	107.38	228.13	336.79	77.79	532.74	106.63	16.88	125.24	171.45	43.02	181.28	88.88	575.03	381.68	17.25	96.01	153.34	152.28	265.87	23.25	59.13	176.29	72.01	483.38	80.01	91.41	60.82	132.44	76.71	159.9	228.13	291.04	73.03	38.12	97.36	325.29	59.97	152.28	67.59	37.32	103.69	358.54	514.56	607.87	500.46	295.11	967.76
KANK2	854.13	387.02	249.73	503.95	255.0	1781.89	1963.57	2255.7	2485.67	2739.08	3018.3	320.8	1340.84	514.56	1216.75	830.75	813.63	825.0	1487.87	921.88	2193.99	759.08	244.57	1322.37	1127.35	450.94	1295.13	854.13	3235.01	2895.31	206.94	764.36	1617.0	1313.23	1745.2	423.61	457.25	1030.12	273.37	2351.53	708.18	595.34	693.58	1259.69	532.74	2004.85	1350.18	2240.11	616.37	309.83	684.02	1427.22	669.92	1208.34	629.35	483.38	860.08	2255.7	3515.68	4358.66	3060.45	1781.89	5441.3
KCNMB1	103.69	22.1	14.56	22.1	19.68	289.02	277.2	361.04	551.56	591.22	769.69	35.76	231.32	67.12	205.5	135.24	132.44	180.02	262.2	82.29	332.14	126.12	3.89	295.11	182.55	28.86	295.11	140.04	483.38	679.29	8.25	40.93	239.52	123.5	242.88	7.57	21.78	134.3	24.99	397.93	56.68	58.71	90.14	199.85	63.45	187.71	205.5	417.77	65.26	16.15	42.41	629.35	55.89	260.38	42.41	26.28	164.42	450.94	780.44	872.1	583.07	409.15	830.75
KIRREL	52.08	21.16	12.09	42.11	11.55	76.71	108.9	170.25	186.4	173.85	163.28	40.93	81.71	39.79	60.39	82.87	53.57	56.28	109.66	76.71	128.79	50.27	11.38	49.21	91.41	19.82	79.45	40.07	253.23	144.01	12.74	75.64	132.44	126.12	96.01	18.7	31.67	70.51	21.47	178.77	53.95	41.81	34.75	69.03	22.75	149.12	100.13	119.26	49.91	14.89	57.49	76.71	63.0	61.25	35.25	30.12	44.89	170.25	153.34	218.79	201.25	69.52	301.33
KLK3	881742.8	1345768.59	450134.56	726195.27	1116072.03	1212874.47	1163466.92	1116072.03	687022.54	731246.37	1055868.42	906531.99	711250.37	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	746611.43	1100706.72	1327240.99	751804.53	887875.81	1147449.11	925580.18	581732.96	978355.0	1412675.8	726195.27	822695.06	906531.99	919186.72	1238359.56	1327240.99	1196176.45	746611.43	736332.6	851707.37	757033.75	767601.56	1063212.58	542775.98	1212874.47	1238359.56	985160.01	845824.19	1048575.0	736332.6	1345768.59	767601.56	1472666.19	1229805.58	1019901.63	711250.37	450134.56	696613.03	800198.39	1019901.63	925580.18	834179.46	985160.01	1063212.58	573724.06
LDB3	98.04	19.53	6.57	54.72	20.26	189.02	204.07	267.73	607.87	384.34	529.06	21.78	154.42	70.51	122.64	69.52	78.89	155.5	2075.59	55.1	260.38	191.67	7.4	185.11	162.14	24.11	412.0	90.14	371.22	536.45	9.93	23.42	191.67	68.07	204.07	8.45	18.84	121.79	12.45	381.68	32.82	19.53	53.19	165.57	36.01	236.21	144.01	289.02	56.28	9.41	26.67	251.48	34.51	154.42	31.45	13.62	105.89	473.41	599.49	579.04	518.15	723.08	1508.65
LMOD1	547.75	190.34	88.88	182.55	115.16	1427.22	1331.57	2758.13	2537.92	3794.3	4239.45	208.38	1191.69	307.69	1277.29	928.3	884.29	902.89	1870.53	532.74	2468.49	647.07	24.63	1662.49	1167.14	165.57	1757.34	830.75	3540.14	3235.01	32.59	231.32	1277.29	842.36	1572.76	67.59	173.85	848.22	133.36	2520.38	417.77	289.02	497.0	1183.45	379.04	1844.76	1397.83	2240.11	323.03	87.65	316.37	2061.24	403.5	1066.48	323.03	239.52	830.75	2739.08	4152.18	5183.54	3614.55	1963.57	5183.54
MEIS1	70.01	46.84	50.27	25.54	16.75	226.54	275.28	368.65	320.8	356.05	571.05	59.97	194.36	51.35	190.34	135.24	150.17	126.12	215.77	98.04	309.83	99.43	5.23	187.71	206.94	52.08	224.97	144.01	486.75	379.04	12.36	73.03	218.79	138.1	226.54	33.78	102.97	149.12	34.26	348.71	94.01	81.14	92.7	187.71	88.88	199.85	189.02	275.28	87.03	28.24	40.93	293.07	98.04	198.47	68.07	41.81	137.14	406.31	460.44	507.46	547.75	320.8	612.11
MRVI1	152.28	75.64	15.68	53.57	28.65	353.59	258.57	500.46	536.45	808.0	825.0	54.33	299.25	85.22	249.73	190.34	183.82	204.07	379.04	152.28	579.04	165.57	13.72	271.48	228.13	45.53	346.29	139.07	878.17	698.41	15.56	98.04	289.02	226.54	441.64	30.34	46.5	260.38	33.78	551.56	112.77	89.51	98.73	295.11	90.14	417.77	353.59	429.54	103.69	19.68	84.63	441.64	115.97	248.0	82.29	66.65	151.22	642.59	785.88	995.0	854.13	420.68	1208.34
MSRB3	271.48	55.49	40.07	78.89	44.25	480.04	371.22	642.59	642.59	796.86	1008.9	73.03	381.68	119.26	299.25	279.14	218.79	341.51	708.18	167.9	738.29	223.41	21.01	303.44	312.0	82.29	432.53	214.27	819.3	830.75	25.17	129.69	406.31	323.03	490.14	43.63	80.57	236.21	78.89	1044.52	117.6	108.14	128.79	400.71	111.99	493.56	343.89	651.58	124.37	33.54	111.21	521.76	128.79	289.02	122.64	96.01	217.27	884.29	1088.92	1662.49	1030.12	693.58	1457.23
NCAM1	30.34	6.06	7.69	14.89	1.5	55.49	49.21	156.59	332.14	157.68	173.85	5.77	43.32	31.0	29.27	26.28	36.01	55.1	198.47	19.97	239.52	60.39	2.2	48.52	85.22	9.78	106.63	47.5	265.87	106.63	4.66	12.83	26.1	40.07	105.15	4.35	13.62	80.57	8.0	72.52	31.45	13.72	10.96	52.82	19.53	102.25	76.17	140.04	18.7	13.03	17.0	72.01	19.39	41.81	15.45	11.13	13.72	198.47	206.94	171.45	234.57	138.1	414.87
NEXN	183.82	55.49	33.3	84.63	36.01	457.25	389.72	796.86	785.88	866.07	1001.93	69.52	320.8	103.69	303.44	231.32	201.25	381.68	1208.34	111.99	967.76	220.32	20.11	221.86	271.48	45.21	500.46	166.73	915.51	764.36	25.17	92.05	246.28	258.57	521.76	34.26	47.84	232.94	65.72	1001.93	108.9	111.21	120.1	325.29	101.54	435.55	395.18	432.53	90.14	20.26	79.45	486.75	96.01	283.05	105.15	69.52	175.07	775.05	1066.48	1096.5	1225.22	595.34	1529.73
NID1	182.55	88.26	25.35	115.16	29.91	318.57	241.19	305.55	334.46	336.79	356.05	59.13	218.79	131.51	156.59	191.67	131.51	128.79	299.25	156.59	438.59	144.01	51.35	153.34	142.01	43.02	144.01	98.73	723.08	423.61	40.93	162.14	309.83	275.28	376.41	54.72	81.14	165.57	70.51	476.71	101.54	98.73	84.04	209.84	64.34	295.11	273.37	218.79	153.34	34.26	106.63	279.14	108.9	172.65	85.82	56.28	104.42	373.81	620.67	647.07	384.34	173.85	1037.29
PGM5	543.96	132.44	60.39	107.38	85.82	1225.22	1088.92	1844.76	1991.0	2240.11	4450.27	111.21	1059.11	212.78	1104.13	738.29	647.07	1286.18	1639.59	414.87	2537.92	447.82	9.78	1350.18	1561.89	191.67	902.89	587.13	3280.18	3325.99	38.12	175.07	915.51	500.46	1277.29	65.72	136.19	848.22	96.01	2935.74	214.27	124.37	295.11	974.5	241.19	1081.39	1119.56	2367.9	267.73	38.67	223.41	1870.53	224.97	775.05	195.72	141.02	759.08	3212.66	3303.0	5403.7	3212.66	1909.85	4802.93
PGR	8.58	3.63	2.03	4.94	2.56	16.75	23.08	34.26	23.25	34.75	44.57	5.41	24.11	6.67	10.16	9.85	10.47	15.0	23.42	10.31	51.71	8.92	0.52	9.63	24.99	3.66	11.55	9.06	53.95	36.53	0.54	8.25	16.03	18.03	21.47	4.54	5.73	13.72	2.73	62.56	9.27	2.97	5.59	14.45	6.36	23.25	26.47	22.26	5.19	1.16	8.38	18.7	6.62	10.0	4.62	4.7	8.99	29.48	37.05	59.55	36.79	19.39	90.14
PMP22	277.2	241.19	81.14	166.73	73.03	567.1	587.13	595.34	1950.0	748.61	753.83	146.03	371.22	363.56	312.0	397.93	237.86	329.84	1143.1	285.03	713.11	412.0	82.87	480.04	332.14	147.06	620.67	361.04	1331.57	954.43	143.01	314.17	540.19	674.59	612.11	108.14	249.73	314.17	127.89	669.92	281.09	256.78	208.38	371.22	226.54	518.15	540.19	674.59	212.78	122.64	211.31	679.29	285.03	379.04	211.31	123.5	204.07	791.35	1066.48	1044.52	1167.14	563.18	1369.04
PTGIS	66.18	24.99	12.83	23.76	20.56	199.85	202.66	371.22	320.8	314.17	551.56	31.0	181.28	46.84	158.79	112.77	87.65	178.77	341.51	95.34	384.34	62.12	2.73	163.28	140.04	24.63	126.12	92.05	559.28	518.15	5.96	49.21	125.24	98.73	244.57	6.36	27.64	212.78	20.86	473.41	38.95	56.28	69.03	157.68	30.34	190.34	198.47	305.55	38.67	11.3	51.71	269.6	45.53	150.17	45.53	52.08	109.66	318.57	450.94	591.22	457.25	220.32	954.43
RASL12	201.25	69.03	29.91	50.98	54.72	412.0	483.38	785.88	1008.9	981.29	1322.37	59.97	267.73	117.6	379.04	253.23	198.47	361.04	536.45	185.11	733.19	283.05	39.79	486.75	316.37	59.13	389.72	297.17	1225.22	890.44	31.22	85.82	397.93	299.25	579.04	33.78	71.5	444.72	42.11	642.59	156.59	73.54	152.28	312.0	107.38	441.64	417.77	521.76	116.78	31.45	82.29	698.41	133.36	327.56	83.45	63.45	226.54	988.12	860.08	1697.45	1277.29	718.08	1583.71
SEMA3A	0.85	2.03	1.28	11.82	0.56	11.47	5.15	45.85	84.04	50.98	71.5	0.88	9.41	6.46	10.79	14.78	10.16	19.97	13.62	2.78	21.32	13.42	0.27	4.78	12.36	1.46	32.36	2.14	12.27	16.75	2.07	5.11	4.7	11.91	23.42	1.68	4.06	11.47	2.14	39.5	2.39	1.75	4.54	1.51	2.34	30.34	9.56	17.0	2.41	0.26	4.13	13.93	2.12	4.03	2.61	3.5	4.9	63.0	17.77	46.5	66.18	18.84	55.1
SMIM10	38.67	35.76	12.09	17.64	15.56	97.36	106.63	146.03	220.32	215.77	275.28	26.47	77.79	50.98	74.06	75.11	72.01	93.35	128.79	51.35	186.4	75.11	8.99	125.24	136.19	25.91	185.11	72.01	271.48	239.52	8.78	28.86	101.54	101.54	142.01	11.91	31.45	89.51	26.86	183.82	49.91	31.45	52.45	69.03	48.52	69.03	105.89	134.3	48.18	15.11	37.59	182.55	58.71	115.16	35.25	17.51	52.82	248.0	271.48	287.01	323.03	221.86	279.14
SULF2	204.07	163.28	51.71	129.69	57.49	339.14	220.32	301.33	397.93	423.61	651.58	161.02	256.78	228.13	269.6	251.48	193.01	197.09	373.81	241.19	353.59	198.47	96.01	327.56	289.02	102.25	400.71	209.84	624.99	470.14	58.71	122.64	332.14	423.61	329.84	54.72	142.01	231.32	136.19	454.09	177.53	171.45	138.1	167.9	147.06	325.29	253.23	470.14	202.66	106.63	177.53	493.56	195.72	248.0	137.14	135.24	220.32	450.94	429.54	1023.0	688.78	486.75	1119.56
SYDE1	52.45	56.28	15.8	39.5	18.84	119.26	169.07	208.38	251.48	228.13	279.14	52.45	97.36	45.53	103.69	75.64	74.58	108.14	151.22	97.36	120.94	73.03	25.35	162.14	113.56	38.12	127.89	105.15	327.56	289.02	21.47	67.12	145.02	183.82	159.9	22.43	44.89	96.68	32.36	132.44	66.18	49.21	79.45	77.25	43.32	150.17	137.14	182.55	65.72	35.5	56.68	161.02	80.57	114.36	50.27	37.05	75.11	199.85	285.03	239.52	218.79	115.97	332.14
TRPC1	24.63	7.06	5.63	22.26	7.63	34.75	40.93	71.5	82.29	89.51	58.3	14.78	26.1	19.25	18.84	42.41	17.25	40.93	87.03	18.56	80.01	34.26	3.96	17.64	38.67	8.51	43.94	25.17	109.66	54.33	3.41	10.96	42.71	78.89	71.0	8.06	26.28	25.91	8.85	72.52	16.88	8.92	15.34	33.3	11.82	37.32	38.4	43.02	14.78	15.56	17.51	32.59	19.68	34.26	19.82	10.39	32.59	97.36	63.45	94.67	114.36	40.93	171.45
VCL	733.19	301.33	239.52	214.27	329.84	1295.13	1119.56	1870.53	1508.65	1963.57	3280.18	457.25	1073.91	336.79	1015.93	1030.12	583.07	808.0	1561.89	384.34	2090.03	476.71	152.28	728.11	921.88	318.57	693.58	368.65	2209.26	2133.97	221.86	518.15	988.12	738.29	1096.5	191.67	332.14	748.61	255.0	2720.15	332.14	301.33	320.8	909.17	432.53	1605.83	1104.13	1427.22	392.44	289.02	607.87	1963.57	343.89	743.43	305.55	423.61	633.73	1896.65	2591.27	3928.15	2351.53	1508.65	4450.27
WFDC1	218.79	148.09	82.29	105.15	64.34	551.56	575.03	1037.29	1023.0	1605.83	2163.77	120.94	368.65	301.33	583.07	441.64	486.75	591.22	796.86	353.59	1059.11	381.68	82.87	854.13	476.71	113.56	954.43	718.08	1572.76	1769.57	28.45	107.38	713.11	595.34	830.75	47.17	181.28	447.82	149.12	1001.93	271.48	212.78	325.29	497.0	229.72	842.36	647.07	934.76	208.38	72.01	182.55	1745.2	237.86	684.02	181.28	77.79	341.51	1529.73	1617.0	2384.37	2209.26	1135.2	2090.03
ZEB1	67.12	26.86	24.81	49.91	26.67	114.36	135.24	185.11	291.04	229.72	185.11	55.1	122.64	105.15	86.43	100.83	105.89	108.9	251.48	93.35	237.86	94.67	12.64	57.89	85.82	36.01	148.09	49.91	269.6	183.82	43.02	89.51	154.42	185.11	177.53	34.02	43.32	96.68	39.5	291.04	72.01	53.19	55.49	121.79	42.11	262.2	127.0	142.01	57.49	25.35	69.52	110.43	82.87	93.35	72.52	63.89	57.49	202.66	183.82	343.89	327.56	189.02	441.64
