	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6745.11A.01R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.Q2AH.0426.SM.2I3EP	GTEX.N7MS.0926.SM.2HMIZ	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.PW2O.0526.SM.2I3DX	TCGA.33.4587.11A.01R.2125.07
FUNDC2	1199.98	1340.84	1397.83	1.01	5006.93	4388.98	6164.49	6699.25	3901.01	3794.3	1519.15	2384.37	2520.38	2271.4	3081.75	3146.52	2739.08	2384.37	3564.78	4181.07	2520.38	1378.57	5913.33
GLO1	1008.9	2645.74	1628.26	0.71	3419.52	3467.27	3690.52	3820.7	2255.7	3928.15	2319.15	1709.26	2739.08	2004.85	1794.29	2209.26	2018.8	1104.13	2485.67	3419.52	2997.45	1225.22	3419.52
GMFG	291.04	389.72	521.76	0.83	5076.84	7433.4	7230.1	6983.79	7382.04	5219.6	1001.93	1617.0	6037.61	3103.19	1781.89	2032.85	3491.39	1733.13	9876.98	3847.29	2555.58	2537.92	7803.01
GNG10	94.01	909.17	532.74	764.36	2335.28	2451.44	3614.55	2855.44	2875.3	2148.82	769.69	1651.0	1437.15	1030.12	1159.07	1059.11	1369.04	866.07	1561.89	2178.83	1059.11	1167.14	2720.15
HDDC2	825.0	1561.89	909.17	0.73	2240.11	2193.99	2956.17	2537.92	2555.58	2018.8	1477.58	1104.13	1617.0	1397.83	2645.74	2209.26	1561.89	1605.83	2400.97	3081.75	1651.0	1225.22	2720.15
HEBP2	866.07	1397.83	470.14	0.82	1119.56	1059.11	1378.57	1151.06	802.41	775.05	417.77	579.04	890.44	518.15	842.36	511.0	275.28	400.71	947.83	941.27	802.41	373.81	1208.34
HINT1	1819.35	4010.71	4639.29	1.25	12244.81	9740.98	14971.21	12589.08	8901.53	10154.69	2335.28	4769.75	10512.82	3443.31	5831.91	8598.28	3690.52	4607.24	7911.95	19482.97	6887.62	2573.36	12943.04
HOPX	397.93	1340.84	4268.94	0.92	33688.23	17681.08	31432.17	32540.65	23169.48	55107.99	68793.23	21919.61	37901.36	17804.06	14867.79	18178.19	5995.9	4836.35	26986.43	45701.96	126606.21	12764.83	23492.92
IDI1	629.35	808.0	995.0	0.16	2645.74	2468.49	2148.82	2537.92	2367.9	2627.46	2609.3	2627.46	2287.2	1572.76	2004.85	4639.29	2240.11	842.36	1781.89	1733.13	5183.54	1467.37	3081.75
IL2	0.0	1.66	3.38	0.0	7.17	21.94	22.92	6.84	5.63	1.13	3.23	9.41	3.38	7.28	2.73	9.41	0.0	0.0	0.0	2.78	10.24	5.73	19.25
LAMTOR5	1844.76	1662.49	2384.37	0.99	6652.97	5711.87	6935.54	6561.36	5995.9	7911.95	1769.57	4358.66	5791.62	2178.83	3716.2	3614.55	3280.18	1529.73	5006.93	6607.01	3443.31	2468.49	8022.41
LAPTM4A	8305.36	5517.27	5517.27	1.03	10296.45	9606.86	11909.94	11664.82	6745.86	10883.59	6426.31	8421.31	6121.9	4328.55	9409.14	7695.57	6207.38	6699.25	7433.4	13872.08	5329.3	4736.79	11112.3
LSM6	153.34	571.05	525.39	0.58	1529.73	1378.57	1651.0	1508.65	1331.57	1427.22	738.29	651.58	1950.0	872.1	1277.29	988.12	1008.9	389.72	1397.83	2133.97	819.3	708.18	1936.53
MRPL18	872.1	1331.57	1225.22	1304.15	2148.82	1540.37	2119.22	1923.14	1477.58	1883.54	1447.15	511.0	1639.59	1151.06	1467.37	1081.39	1529.73	647.07	1508.65	1936.53	1417.35	1119.56	2417.67
MRPL23	182.55	1583.71	1583.71	0.64	3103.19	2485.67	2855.44	2485.67	2555.58	2367.9	1477.58	921.88	4358.66	1857.6	2193.99	2032.85	2047.0	819.3	2816.11	3257.52	1769.57	1498.22	3060.45
MRPL33	1397.83	1350.18	1051.79	1191.69	6250.56	4575.41	6121.9	6745.86	5403.7	4210.15	2224.63	2104.58	5913.33	2303.12	4388.98	3847.29	2520.38	3103.19	3901.01	5831.91	3325.99	1685.71	7230.1
MRPL41	67.59	769.69	384.34	0.51	981.29	836.53	1066.48	836.53	1001.93	866.07	476.71	366.09	2351.53	591.22	753.83	587.13	624.99	368.65	825.0	796.86	1119.56	575.03	1277.29
MRPL53	759.08	1135.2	1127.35	0.6	2835.7	1857.6	2351.53	2645.74	2384.37	2915.45	1313.23	397.93	1594.73	1519.15	1662.49	1923.14	1617.0	599.49	2609.3	2758.13	1923.14	1561.89	2956.17
MYL12B	4836.35	9740.98	12502.12	1.17	26986.43	22072.07	28723.62	27745.15	18950.18	21919.61	11992.79	13306.94	30151.71	11504.21	9945.68	14065.74	7803.01	17197.56	26431.04	29124.6	13215.02	5751.61	26614.89
MYL6	20737.16	26614.89	38430.46	13968.57	127486.83	123144.13	164758.26	141455.6	99333.0	87075.75	42346.82	46019.85	97965.44	53230.77	50359.33	60304.42	55107.99	79572.48	58655.36	103551.29	58250.19	48643.87	150561.19
NDUFA11	1044.52	4181.07	4769.75	1.13	9740.98	7803.01	10084.54	11584.24	8078.22	9344.14	3665.02	1883.54	11267.44	4575.41	5517.27	4181.07	3955.48	1781.89	6471.02	12943.04	5672.41	4704.07	12764.83
NDUFAB1	466.88	1628.26	1498.22	0.62	3491.39	2915.45	4450.27	3847.29	2555.58	3467.27	1295.13	1259.69	2701.35	1519.15	2255.7	1350.18	1883.54	612.11	2400.97	3303.0	1662.49	1350.18	3982.99
NDUFAF2	483.38	281.09	373.81	0.59	1111.82	872.1	1119.56	1242.34	848.22	708.18	256.78	429.54	651.58	248.0	738.29	836.53	473.41	332.14	567.1	947.83	612.11	265.87	1407.55
NDUFB6	108.14	412.0	447.82	0.66	2255.7	1923.14	2178.83	2224.63	1594.73	2255.7	902.89	748.61	2255.7	1175.27	1605.83	660.68	1233.75	497.0	1467.37	2502.97	902.89	941.27	2720.15
NT5C	412.0	647.07	620.67	0.93	1304.15	1059.11	1208.34	1151.06	1175.27	1030.12	679.29	323.03	2047.0	872.1	679.29	642.59	633.73	536.45	1304.15	1447.15	934.76	603.67	1519.15
ORMDL2	624.99	1561.89	2061.24	0.13	2303.12	2075.59	2645.74	2287.2	2255.7	2739.08	1583.71	872.1	2133.97	1721.16	1950.0	1477.58	1923.14	1088.92	2777.33	2434.5	1268.46	1721.16	2485.67
PAIP2	1001.93	1096.5	1605.83	0.74	3395.89	2758.13	3515.68	3349.13	2682.69	3257.52	1551.09	3257.52	2915.45	1857.6	2047.0	1883.54	1909.85	1572.76	2209.26	3874.05	2004.85	1233.75	3325.99
PFDN4	341.51	480.04	500.46	0.43	1127.35	1175.27	1832.01	1322.37	915.51	988.12	397.93	387.02	1127.35	387.02	603.67	507.46	387.02	283.05	688.78	1397.83	559.28	514.56	1417.35
PIN1	351.14	1175.27	1477.58	0.75	2664.15	1991.0	2090.03	1870.53	2119.22	2351.53	1844.76	928.3	1733.13	1769.57	1745.2	1369.04	1628.26	733.19	2163.77	2555.58	2935.74	1369.04	3018.3
POLR1D	1561.89	2720.15	1923.14	0.97	3820.7	3168.41	4481.23	4123.49	3325.99	2796.65	2682.69	3982.99	3325.99	1909.85	2335.28	5112.16	1529.73	1340.84	2351.53	5479.15	6699.25	1950.0	3794.3
RAB34	819.3	1023.0	1088.92	2758.13	2018.8	2061.24	2777.33	2287.2	2075.59	1111.82	1127.35	1896.65	1870.53	1151.06	1437.15	3280.18	1757.34	1350.18	1268.46	2485.67	2400.97	1896.65	2555.58
RAP1B	3742.05	3103.19	2520.38	1015.93	5112.16	4607.24	6207.38	7180.15	5183.54	3639.7	2061.24	5995.9	2875.3	2451.44	1883.54	2224.63	2104.58	5872.48	2609.3	2591.27	2090.03	2520.38	5517.27
RNF13	1233.75	1322.37	967.76	0.6	2997.45	3018.3	2956.17	3742.05	3124.78	3928.15	2148.82	1685.71	2701.35	1781.89	1991.0	1685.71	1709.26	890.44	2193.99	2384.37	2224.63	981.29	2976.74
RPL10A	13586.57	17804.06	15075.35	1.57	51062.33	37379.55	50011.46	63302.6	36610.26	41763.8	11909.94	23986.58	30785.28	21320.18	28525.2	25354.3	25708.25	17681.08	32315.87	113315.62	39237.98	11112.3	56657.31
RPL11	13399.51	26067.14	19892.37	1.51	83528.61	64632.75	104996.83	80125.95	50359.33	65082.31	28132.47	40341.14	81244.48	36106.23	54727.32	62431.08	37121.34	31432.17	59887.86	160252.91	88291.3	37121.34	99333.0
RPL12	22535.88	20170.07	17927.91	753.83	61571.56	52497.92	79022.82	73221.53	52863.07	40341.14	14663.09	23820.89	33455.53	17681.08	33224.42	28723.62	30785.28	17681.08	51062.33	136637.07	42054.3	22072.07	66912.05
RPL13A	19348.38	22535.88	29736.59	1.81	106462.55	77396.54	114103.8	119776.72	77396.54	50359.33	23986.58	37379.55	68793.23	38966.94	52135.28	53601.03	42641.37	48982.22	62865.33	244588.0	60723.88	41763.8	126606.21
RPL15	11424.74	11112.3	13586.57	1.58	59887.86	51417.5	68793.23	78476.96	48982.22	44761.41	19482.97	32092.64	24832.5	17804.06	23986.58	35118.87	21026.65	25354.3	30151.71	118949.35	27938.14	22850.48	69753.56
RPL18A	7695.57	17437.64	24321.43	1651.0	72715.74	58655.36	71219.26	81809.59	57051.4	48307.85	23009.42	25530.66	31650.8	25354.3	35363.15	39510.91	27745.15	17197.56	38430.46	130165.62	60723.88	27174.14	88905.42
RPL19	7857.29	21617.82	26431.04	854.13	71714.63	60304.42	68318.04	83528.61	56657.31	52135.28	27174.14	32092.64	52135.28	35118.87	47642.77	50359.33	38697.77	26248.46	67377.47	116501.39	60723.88	36357.37	80125.95
RPL21	11992.79	14663.09	11745.96	1295.13	63302.6	52497.92	87075.75	87075.75	50709.61	37901.36	13033.07	28132.47	53230.77	22380.2	38966.94	42937.97	23986.58	26800.01	49322.93	76861.91	47313.67	13968.57	93974.69
RPL23A	10014.87	16269.83	15180.22	1.64	46986.85	48307.85	53973.86	61146.25	38966.94	43537.38	15285.81	24660.96	48307.85	22380.2	33688.23	38966.94	30785.28	20030.74	51775.15	114103.8	45072.75	28923.41	61571.56
RPL26	20310.37	19618.49	21468.49	2835.7	85283.74	69753.56	125731.67	114103.8	67846.12	44761.41	14765.09	27938.14	61999.83	24660.96	45072.75	46986.85	30785.28	30999.42	44452.21	126606.21	49666.0	28132.47	100719.65
RPL27	6840.04	20170.07	24153.43	1583.71	104271.56	98646.85	148488.36	148488.36	81809.59	58250.19	18819.27	30785.28	58250.19	26431.04	43537.38	49322.93	34158.52	20310.37	62431.08	118127.7	48982.22	23009.42	135693.24
RPL27A	13215.02	27553.49	32540.65	1936.53	108699.57	88291.3	154794.07	161367.56	86474.27	58655.36	20170.07	27745.15	63742.91	28328.16	53230.77	58250.19	30785.28	25005.23	59474.18	141455.6	67846.12	26986.43	118949.35
RPL29	5594.3	11112.3	13872.08	1.6	53973.86	44761.41	54349.29	63742.91	41763.8	28923.41	17317.18	19348.38	19348.38	20310.37	32540.65	29531.18	20593.91	10440.2	32315.87	103551.29	43236.64	25179.16	60304.42
RPL31	7911.95	21172.91	28525.2	1.68	115696.65	114897.47	162489.97	155870.75	87075.75	74243.68	46662.28	34635.37	70727.3	41475.31	59887.86	79572.48	50011.46	37901.36	91404.92	201440.3	115696.65	61571.56	156954.93
RPL32	12943.04	12502.12	14262.1	1.66	75280.1	66912.05	92040.7	104271.56	50709.61	43840.21	18431.96	35118.87	61571.56	26431.04	35118.87	46986.85	33922.56	30361.44	57448.23	140478.49	55491.3	24153.43	90146.51
RPL34	7911.95	13968.57	15715.58	1.28	86474.27	69753.56	129266.49	110216.97	65082.31	48982.22	17681.08	32092.64	70238.75	22225.61	44761.41	43840.21	29124.6	28328.16	49322.93	104271.56	55107.99	20310.37	99333.0
RPL35A	13306.94	25530.66	18950.18	1.69	63302.6	54349.29	84694.64	90773.53	40621.74	35363.15	13033.07	26431.04	37379.55	14361.31	26800.01	33224.42	17558.94	22072.07	36357.37	104271.56	34396.12	16383.0	69271.73
RPL36	5913.33	11424.74	14461.21	1.35	35363.15	28328.16	43236.64	39510.91	26986.43	23169.48	8840.04	8022.41	32994.92	11424.74	17078.76	18431.96	12943.04	8778.97	22072.07	54349.29	27938.14	13968.57	46019.85
RPL37A	14765.09	26614.89	33224.42	1.79	117311.73	102836.01	128373.58	145432.49	82378.63	90773.53	43537.38	44145.15	94628.34	47313.67	69753.56	77396.54	57051.4	54727.32	65082.31	269512.87	103551.29	53230.77	136637.07
RPL38	20737.16	13681.08	17197.56	1447.15	56657.31	50359.33	76330.98	75803.72	46019.85	35856.82	19082.0	26067.14	58655.36	18560.17	29736.59	36864.92	23820.89	22535.88	38430.46	72715.74	43537.38	24153.43	66912.05
RPL39	16383.0	27553.49	29531.18	2193.99	117311.73	127486.83	198667.0	177811.84	97965.44	70727.3	18560.17	31215.04	80683.28	29327.18	44452.21	46662.28	27938.14	32540.65	64186.29	169390.27	58655.36	28723.62	154794.07
RPL41	21617.82	37639.55	35856.82	1806.78	156954.93	114103.8	164758.26	174152.51	108699.57	100023.92	37121.34	49666.0	114897.47	56265.94	87681.42	104271.56	68318.04	53601.03	106462.55	256748.15	96616.71	58655.36	191899.64
RPL5	10659.59	12160.22	11267.44	3443.31	50359.33	32767.0	49322.93	65990.84	32092.64	25179.16	14361.31	25179.16	26067.14	15075.35	23330.64	26248.46	20030.74	21468.49	24321.43	66449.85	29327.18	17927.91	51775.15
RPL8	13586.57	27745.15	41188.81	921.88	92040.7	69753.56	107203.06	107203.06	66912.05	48643.87	44452.21	27553.49	57847.82	50011.46	41475.31	77396.54	51775.15	30785.28	80683.28	124863.17	82378.63	53973.86	110983.6
RPL9	6652.97	11424.74	11909.94	1.5	72213.45	89523.81	118949.35	124000.67	71219.26	32315.87	9344.14	20170.07	59887.86	12589.08	33224.42	45701.96	15824.9	31650.8	34635.37	112532.89	40904.3	20030.74	119776.72
RPLP0	14765.09	28923.41	33224.42	25708.25	80125.95	65535.0	91404.92	93325.55	57847.82	48982.22	27553.49	40341.14	31432.17	29943.43	42346.82	34635.37	44761.41	18950.18	44452.21	109455.64	41763.8	38430.46	85876.94
RPLP1	3820.7	14663.09	30785.28	728.11	96616.71	75803.72	100719.65	85283.74	73730.83	82378.63	18950.18	28923.41	88291.3	24153.43	51775.15	63302.6	34396.12	17804.06	59063.35	181548.07	57847.82	39237.98	112532.89
RPLP2	4639.29	12676.65	14663.09	2777.33	51775.15	40621.74	54727.32	53230.77	39510.91	33224.42	17197.56	26800.01	57847.82	28328.16	29124.6	33922.56	23656.34	22692.63	45072.75	59887.86	37121.34	24832.5	56657.31
RPS10	7749.1	21617.82	19618.49	1.69	66449.85	64632.75	85283.74	93325.55	52497.92	47313.67	11745.96	16157.44	53230.77	20030.74	28723.62	28328.16	23656.34	10440.2	44145.15	106462.55	52863.07	23169.48	85876.94
RPS11	21320.18	25530.66	32092.64	1.77	133825.1	118949.35	162489.97	180294.02	96616.71	72715.74	41188.81	49666.0	79572.48	42937.97	58655.36	77934.88	55877.28	66912.05	87681.42	179048.63	108699.57	53601.03	147462.67
RPS12	8479.89	18304.63	23330.64	1104.13	84109.6	74243.68	97965.44	102836.01	65535.0	57051.4	24321.43	24832.5	57847.82	27363.16	44145.15	40341.14	33224.42	26986.43	52863.07	160252.91	62865.33	35609.13	100023.92
RPS13	7280.4	11112.3	11112.3	2451.44	45701.96	35609.13	56265.94	57051.4	37121.34	30361.44	11189.6	22072.07	36106.23	13776.25	22380.2	22692.63	14867.79	16269.83	25708.25	60723.88	33224.42	17804.06	55491.3
RPS14	3874.05	9474.59	15180.22	1.45	76861.91	61999.83	93325.55	96616.71	51417.5	38430.46	30999.42	32540.65	32767.0	31432.17	42641.37	50359.33	25179.16	17804.06	59063.35	142439.51	75280.1	36357.37	91404.92
RPS15A	21172.91	19082.0	21468.49	1639.59	86474.27	74243.68	136637.07	131071.0	73221.53	49666.0	17681.08	25887.07	47642.77	24153.43	44761.41	42937.97	26431.04	23656.34	43537.38	107203.06	49322.93	28328.16	113315.62
RPS17	287.01	2351.53	3955.48	1.31	17317.18	9088.59	9409.14	9606.86	11424.74	9540.5	3018.3	2384.37	7180.15	4481.23	4736.79	5441.3	8538.88	5403.7	20170.07	10368.08	7382.04	3768.09	21172.91
RPS17L	15075.35	9606.86	15180.22	0.51	52497.92	45072.75	72213.45	65535.0	34876.28	22692.63	17558.94	26986.43	46339.95	23330.64	31870.96	32092.64	18560.17	19754.96	15824.9	65535.0	26431.04	25708.25	71219.26
RPS18	20170.07	42641.37	47313.67	1.83	165904.25	144427.91	217400.14	244588.0	128373.58	89523.81	30151.71	37901.36	77396.54	38697.77	62431.08	21768.19	48982.22	34635.37	55107.99	215898.44	108699.57	43840.21	208544.12
RPS20	16496.96	18178.19	20310.37	1.6	81809.59	80125.95	117311.73	97965.44	61146.25	53973.86	29124.6	39237.98	72213.45	30361.44	39237.98	59887.86	29531.18	47642.77	57847.82	128373.58	85283.74	38697.77	102125.66
RPS21	4268.94	20310.37	20310.37	1.64	103551.29	80683.28	136637.07	136637.07	74760.09	59474.18	28132.47	19082.0	93325.55	32315.87	49322.93	54727.32	32540.65	17078.76	63742.91	125731.67	90146.51	35118.87	131982.68
RPS23	7589.61	14065.74	20310.37	1.73	80683.28	72715.74	109455.64	100023.92	65082.31	56265.94	26614.89	41188.81	87075.75	34396.12	48307.85	53230.77	48307.85	40341.14	65990.84	133825.1	60304.42	40621.74	98646.85
RPS24	49666.0	27363.16	28723.62	2645.74	105727.15	91404.92	177811.84	141455.6	80683.28	72213.45	23169.48	34396.12	80683.28	32994.92	60304.42	70238.75	45701.96	34158.52	73730.83	220434.95	74243.68	39785.74	131071.0
RPS25	9945.68	8022.41	9606.86	1378.57	42346.82	32767.0	49666.0	46662.28	26800.01	24321.43	11584.24	21919.61	25179.16	12764.83	21919.61	22535.88	16843.62	12589.08	23986.58	46986.85	25005.23	11909.94	43840.21
RPS27	51775.15	40341.14	42641.37	1.68	217400.14	218912.29	324980.94	299043.36	180294.02	175363.84	50709.61	87681.42	180294.02	74760.09	118127.7	141455.6	84109.6	79572.48	153724.82	292889.12	218912.29	97965.44	271387.49
RPS27A	5791.62	16269.83	15824.9	1.69	52863.07	38697.77	64186.29	64632.75	40062.48	31215.04	11584.24	21468.49	48307.85	16843.62	24832.5	27553.49	21026.65	29943.43	38966.94	77396.54	35118.87	12589.08	68793.23
RPS29	29531.18	29736.59	39785.74	830.75	164758.26	142439.51	226632.25	217400.14	127486.83	121448.75	33224.42	54727.32	114897.47	53973.86	69271.73	69271.73	57847.82	40621.74	102836.01	239554.43	95286.54	45386.27	198667.0
RPS3	14262.1	23009.42	33455.53	1.75	95949.32	93974.69	131982.68	151608.43	71219.26	89523.81	29124.6	18052.61	84109.6	41763.8	51775.15	66449.85	38697.77	26614.89	70238.75	234624.45	77934.88	45072.75	105727.15
