	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14E6C.2226.SM.5QGQG	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.X8HC.1326.SM.46MWB	GTEX.13QBU.0826.SM.5IJBU	GTEX.X15G.1026.SM.4PQZF	GTEX.146FQ.1126.SM.5NQBM	GTEX.146FH.1626.SM.5NQ9H	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13O3O.0726.SM.5J1N7	GTEX.11NUK.2426.SM.5BC4U
MRPL48	591.22	237.86	500.46	358.54	423.61	466.88	351.14	346.29	723.08	638.15	718.08	0.0	0.25	329.84	665.29
MTFR1L	3280.18	1104.13	2047.0	2061.24	3690.52	2047.0	1388.16	1447.15	2555.58	2645.74	2319.15	0.0	0.69	476.71	507.46
NCDN	909.17	130.6	463.65	567.1	603.67	480.04	423.61	395.18	656.11	842.36	723.08	0.0	0.52	217.27	64.34
NDUFA8	4038.61	1216.75	1313.23	1183.45	1794.29	1447.15	1059.11	1233.75	2739.08	3124.78	2915.45	0.0	0.21	432.53	902.89
NGRN	7331.05	1857.6	3614.55	4268.94	6699.25	3820.7	2178.83	2855.44	4903.87	4512.4	5147.73	0.0	0.88	2148.82	1572.76
NLRX1	470.14	221.86	373.81	497.0	684.02	412.0	202.66	255.0	693.58	547.75	470.14	0.0	0.1	63.89	159.9
NPTXR	934.76	34.02	256.78	395.18	432.53	271.48	50.27	361.04	447.82	351.14	463.65	0.0	0.39	7.4	1.93
NYNRIN	339.14	72.52	205.5	255.0	256.78	215.77	157.68	149.12	318.57	297.17	400.71	0.0	0.39	26.86	58.3
PARD6A	206.94	79.45	93.35	167.9	183.82	172.65	105.89	83.45	327.56	260.38	334.46	0.0	0.32	24.99	7.63
PCBD1	3564.78	974.5	1651.0	1857.6	2287.2	2178.83	1059.11	1936.53	2915.45	3955.48	4869.99	0.0	0.52	583.07	1417.35
PCDHA10	8.85	2.46	7.82	47.84	33.54	11.13	3.99	6.57	26.28	12.09	19.11	0.0	0.0	5.59	0.0
PDE6D	638.15	323.03	532.74	480.04	511.0	397.93	392.44	384.34	389.72	713.11	713.11	0.0	0.56	171.45	260.38
PET112	371.22	190.34	312.0	265.87	307.69	279.14	158.79	232.94	358.54	444.72	507.46	0.0	0.0	77.79	98.73
PPP1R3F	332.14	80.01	166.73	258.57	346.29	191.67	76.71	70.51	373.81	193.01	387.02	0.0	0.43	79.45	9.93
PPP2R4	4607.24	1331.57	1583.71	1721.16	2193.99	1733.13	2796.65	1508.65	3794.3	4388.98	4123.49	0.0	0.41	764.36	1081.39
PRDX2	6983.79	2240.11	4575.41	4836.35	6037.61	5112.16	3060.45	3419.52	7803.01	8363.13	7642.41	0.0	1.07	1159.07	4704.07
PRMT2	3540.14	1143.1	2255.7	2855.44	2997.45	2367.9	1397.83	1745.2	2956.17	3742.05	3235.01	1111.82	995.0	1322.37	713.11
R3HCC1	1167.14	718.08	450.94	651.58	954.43	780.44	532.74	688.78	967.76	1199.98	1023.0	0.0	0.34	423.61	151.22
RAB6B	299.25	64.34	181.28	221.86	371.22	226.54	98.04	255.0	336.79	444.72	460.44	0.0	0.67	60.39	87.65
REPIN1	1794.29	1639.59	1143.1	1277.29	1359.57	1437.15	1059.11	1127.35	2485.67	1498.22	2303.12	0.0	0.97	444.72	307.69
RIMKLA	55.1	14.89	26.86	63.0	52.45	22.43	23.93	15.91	61.68	75.11	107.38	0.0	0.15	7.28	20.86
SMTN	641014.63	10154.69	318292.9	93325.55	1034138.94	150561.19	16843.62	16383.0	36610.26	46019.85	17558.94	0.0	0.48	1088.92	2835.7
SNPH	473.41	102.25	121.79	189.02	295.11	173.85	63.89	89.51	368.65	279.14	346.29	0.0	0.41	14.89	11.55
SPR	480.04	395.18	387.02	341.51	406.31	551.56	336.79	438.59	1159.07	961.07	2104.58	0.0	0.08	145.02	246.28
SYDE1	1427.22	295.11	1561.89	2682.69	2335.28	1191.69	665.29	587.13	698.41	723.08	743.43	0.0	0.72	438.59	68.07
TBKBP1	688.78	221.86	316.37	420.68	420.68	417.77	371.22	232.94	575.03	363.56	591.22	0.0	0.71	99.43	78.89
TDRKH	204.07	75.11	88.88	89.51	133.36	110.43	72.01	92.05	145.02	175.07	172.65	0.0	0.3	31.0	22.26
THEM6	226.54	63.89	239.52	142.01	204.07	205.5	119.26	218.79	368.65	264.03	511.0	0.0	0.1	59.55	133.36
TMEM129	878.17	679.29	656.11	954.43	1030.12	866.07	764.36	769.69	1487.87	1111.82	1322.37	0.0	0.73	301.33	152.28
TMEM143	232.94	177.53	141.02	187.71	180.02	214.27	158.79	148.09	323.03	199.85	353.59	0.0	0.3	44.25	57.89
TPM2	1063212.58	44761.41	706337.4	663619.99	2392353.91	408505.64	34635.37	109455.64	76861.91	185362.8	44145.15	0.0	1.2	5831.91	3443.31
TRIM35	323.03	123.5	339.14	289.02	281.09	205.5	182.55	214.27	329.84	336.79	447.82	127.89	87.03	173.85	45.85
TSR3	1844.76	830.75	1159.07	1044.52	1277.29	1175.27	723.08	830.75	1844.76	2555.58	2163.77	0.0	0.34	295.11	246.28
UBE2D4	1167.14	208.38	571.05	669.92	842.36	656.11	334.46	400.71	764.36	825.0	860.08	343.89	444.72	173.85	175.07
VTI1B	2816.11	1540.37	2061.24	1572.76	1721.16	1781.89	1519.15	1757.34	2434.5	2739.08	3982.99	0.0	0.75	878.17	1059.11
ZDHHC4	1628.26	961.07	698.41	860.08	1008.9	1015.93	802.41	1008.9	1709.26	1594.73	1794.29	0.0	0.58	379.04	438.59
ZNF219	2148.82	1059.11	1457.23	1781.89	2384.37	1733.13	860.08	713.11	2855.44	1991.0	2400.97	0.0	0.92	368.65	318.57
ZNF32	1757.34	642.59	878.17	967.76	1111.82	1096.5	842.36	954.43	1551.09	1199.98	1583.71	0.0	0.56	217.27	226.54
ZNF428	1350.18	532.74	743.43	819.3	1073.91	884.29	836.53	638.15	1044.52	1216.75	1295.13	351.14	1709.26	341.51	205.5
ZNF768	1111.82	698.41	688.78	738.29	1199.98	703.28	497.0	463.65	1447.15	988.12	1388.16	0.0	0.59	121.79	90.14
ZNF853	587.13	123.5	156.59	305.55	366.09	258.57	141.02	112.77	473.41	336.79	339.14	0.0	0.42	78.34	20.71
