	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.11P82.1026.SM.5BC5J	GTEX.R53T.1326.SM.48FCQ	GTEX.145MN.1726.SM.5SIA6	GTEX.147JS.2526.SM.5S2Q8	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.OXRK.1726.SM.3NB16	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XMK1.1726.SM.4B64Z	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.12KS4.2426.SM.5LU8P	GTEX.113JC.1026.SM.5H117	GTEX.12584.1426.SM.5EGJ9	GTEX.11NV4.1126.SM.5HL6J	TCGA.CG.5733.11A.01R.1602.13	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.13N1W.2026.SM.5K7YU	GTEX.ZVT3.2126.SM.59HL2	GTEX.13RTK.0226.SM.5RQHR	GTEX.P78B.1826.SM.3P5YX
FAM175B	186.4	244.57	249.73	275.28	234.57	149.12	224.97	229.72	229.72	248.0	231.32	228.13	224.97	145.02	215.77	133.36	65.26	152.28	186.4	102.25	132.44	132.44	78.89	171.45	183.82	221.86
GMNN	1733.13	836.53	1369.04	1963.57	1467.37	559.28	1015.93	1540.37	1651.0	2451.44	2075.59	1605.83	1350.18	624.99	1359.57	169.07	218.79	138.1	525.39	329.84	356.05	447.82	153.34	305.55	397.93	587.13
HSDL2	780.44	660.68	1037.29	1135.2	866.07	426.57	638.15	669.92	759.08	785.88	1191.69	638.15	884.29	414.87	728.11	414.87	332.14	167.9	540.19	400.71	406.31	476.71	591.22	444.72	473.41	688.78
IGJ	654483.73	539026.74	499455.67	453265.5	506427.83	636586.81	561916.97	602247.76	706337.4	411347.03	641014.63	509950.32	496005.67	565825.41	506427.83	37.05	38697.77	1008.9	489177.0	23492.92	641014.63	453265.5	285.03	103551.29	26614.89	299043.36
KIF9	341.51	291.04	260.38	193.01	301.33	301.33	273.37	236.21	279.14	237.86	309.83	381.68	473.41	248.0	351.14	112.77	260.38	113.56	267.73	120.1	161.02	94.01	112.77	236.21	185.11	199.85
LCMT1	1233.75	1015.93	1388.16	1104.13	1242.34	995.0	1104.13	1175.27	860.08	1104.13	1111.82	842.36	1151.06	791.35	796.86	269.6	353.59	209.84	909.17	395.18	486.75	521.76	273.37	599.49	555.41	688.78
LEPREL4	361.04	253.23	151.22	371.22	249.73	521.76	267.73	256.78	165.57	323.03	255.0	368.65	199.85	148.09	255.0	155.5	40.36	43.63	277.2	50.98	20.86	71.0	36.53	136.19	127.0	211.31
LRBA	607.87	733.19	748.61	791.35	791.35	633.73	656.11	688.78	616.37	728.11	753.83	616.37	660.68	348.71	591.22	249.73	381.68	295.11	454.09	599.49	503.95	514.56	231.32	476.71	432.53	532.74
MARVELD2	381.68	397.93	587.13	543.96	587.13	92.7	460.44	555.41	473.41	620.67	567.1	262.2	525.39	209.84	187.71	10.0	72.01	80.01	366.09	134.3	134.3	175.07	0.0	244.57	161.02	229.72
METTL2A	341.51	366.09	366.09	547.75	358.54	220.32	291.04	381.68	435.55	444.72	351.14	381.68	403.5	241.19	256.78	150.17	101.54	102.25	218.79	194.36	173.85	176.29	127.89	264.03	139.07	232.94
MINPP1	299.25	384.34	559.28	660.68	647.07	301.33	406.31	454.09	483.38	633.73	660.68	384.34	366.09	316.37	267.73	148.09	234.57	96.68	244.57	46.5	68.55	90.14	66.65	182.55	159.9	211.31
MKKS	708.18	718.08	1143.1	769.69	890.44	620.67	521.76	599.49	819.3	603.67	915.51	988.12	896.64	346.29	400.71	291.04	101.54	41.81	518.15	392.44	397.93	348.71	148.09	543.96	435.55	563.18
MRPL1	808.0	599.49	759.08	1023.0	698.41	450.94	688.78	813.63	733.19	854.13	698.41	791.35	934.76	575.03	743.43	226.54	176.29	191.67	518.15	189.02	450.94	379.04	144.01	392.44	490.14	660.68
MRPL44	743.43	698.41	974.5	974.5	915.51	361.04	638.15	791.35	780.44	1073.91	836.53	684.02	890.44	486.75	476.71	220.32	133.36	246.28	447.82	356.05	454.09	293.07	226.54	392.44	414.87	457.25
MRPS22	1378.57	1250.98	1674.06	1529.73	1628.26	638.15	1127.35	1437.15	1322.37	1498.22	1208.34	1242.34	1697.45	974.5	1001.93	417.77	356.05	264.03	819.3	813.63	780.44	500.46	392.44	651.58	698.41	656.11
MRPS28	1628.26	1388.16	2485.67	1909.85	2075.59	890.44	1208.34	1388.16	1617.0	1733.13	1183.45	1540.37	1977.24	764.36	1135.2	483.38	559.28	447.82	854.13	665.29	624.99	497.0	414.87	438.59	612.11	836.53
NIF3L1	543.96	532.74	583.07	665.29	698.41	346.29	633.73	684.02	620.67	665.29	679.29	579.04	703.28	332.14	381.68	123.5	119.26	151.22	551.56	221.86	384.34	197.09	125.24	283.05	540.19	607.87
NIP7	432.53	665.29	567.1	559.28	511.0	171.45	381.68	470.14	500.46	490.14	571.05	423.61	540.19	532.74	234.57	206.94	229.72	218.79	239.52	208.38	226.54	135.24	67.59	234.57	351.14	287.01
NMNAT1	325.29	373.81	444.72	511.0	463.65	194.36	309.83	397.93	329.84	441.64	371.22	246.28	417.77	137.14	202.66	86.43	31.0	31.45	105.89	63.45	84.63	94.67	53.95	108.9	141.02	186.4
NUP37	507.46	381.68	486.75	616.37	543.96	248.0	447.82	486.75	473.41	540.19	579.04	536.45	693.58	334.46	373.81	94.67	101.54	44.57	371.22	197.09	307.69	107.38	91.41	205.5	262.2	332.14
PHOSPHO2	100.83	97.36	120.1	164.42	116.78	88.26	134.3	147.06	92.05	191.67	169.07	152.28	90.77	53.57	155.5	50.27	33.54	13.03	79.45	12.27	72.52	31.45	50.98	66.18	76.71	93.35
PKIB	6337.83	5791.62	12415.75	4543.8	7331.05	1008.9	6983.79	5995.9	5672.41	6037.61	6607.01	2875.3	5954.47	3372.43	2240.11	8.32	36.79	90.77	1001.93	299.25	205.5	299.25	27.64	409.15	223.41	332.14
PPCS	2075.59	2178.83	3235.01	2061.24	2835.7	1639.59	1950.0	2163.77	2047.0	2502.97	2573.36	2133.97	2384.37	1369.04	1977.24	473.41	406.31	329.84	1857.6	1081.39	1322.37	1015.93	497.0	1378.57	1304.15	1769.57
PRKRIR	521.76	753.83	934.76	743.43	813.63	555.41	547.75	693.58	656.11	896.64	921.88	872.1	808.0	878.17	571.05	332.14	429.54	295.11	529.06	325.29	403.5	231.32	137.14	551.56	470.14	435.55
PROSC	1313.23	872.1	1963.57	2573.36	1819.35	748.61	1208.34	1617.0	872.1	1923.14	1639.59	1268.46	1508.65	830.75	1030.12	384.34	693.58	194.36	808.0	435.55	275.28	392.44	616.37	559.28	693.58	854.13
RAD17	275.28	262.2	346.29	358.54	389.72	289.02	293.07	389.72	320.8	373.81	426.57	371.22	312.0	198.47	339.14	139.07	96.68	100.83	503.95	156.59	273.37	239.52	115.16	251.48	295.11	363.56
SAMD13	738.29	525.39	941.27	753.83	813.63	126.12	647.07	708.18	460.44	620.67	738.29	414.87	651.58	248.0	426.57	6.73	5.59	1.46	142.01	32.13	32.13	31.0	7.0	74.58	51.71	111.21
SH3YL1	2609.3	1896.65	2502.97	2335.28	1977.24	1651.0	1628.26	2591.27	1745.2	3081.75	2303.12	2004.85	1733.13	1617.0	2178.83	351.14	353.59	289.02	2537.92	1487.87	848.22	995.0	373.81	1096.5	961.07	1331.57
SLC35B3	872.1	1015.93	1388.16	1008.9	1350.18	511.0	878.17	1096.5	1088.92	1127.35	1250.98	780.44	988.12	669.92	748.61	318.57	144.01	104.42	417.77	256.78	256.78	246.28	170.25	371.22	334.46	473.41
SLC39A9	728.11	748.61	1073.91	866.07	884.29	651.58	708.18	819.3	830.75	854.13	954.43	733.19	896.64	551.56	612.11	209.84	251.48	237.86	599.49	493.56	480.04	423.61	223.41	872.1	563.18	693.58
SMYD2	540.19	599.49	511.0	748.61	633.73	518.15	432.53	674.59	547.75	571.05	551.56	547.75	669.92	426.57	536.45	269.6	503.95	493.56	483.38	373.81	420.68	371.22	157.68	511.0	358.54	595.34
STYXL1	1088.92	624.99	981.29	1540.37	1340.84	1037.29	909.17	1313.23	753.83	1662.49	1322.37	764.36	1081.39	759.08	819.3	323.03	384.34	180.02	921.88	480.04	595.34	620.67	248.0	878.17	651.58	1225.22
SUCLA2	890.44	995.0	1561.89	1242.34	1191.69	525.39	703.28	866.07	1111.82	1225.22	860.08	1088.92	1277.29	450.94	819.3	587.13	287.01	167.9	486.75	872.1	642.59	376.41	497.0	409.15	521.76	587.13
TFAM	571.05	543.96	429.54	860.08	559.28	208.38	551.56	633.73	629.35	738.29	638.15	579.04	703.28	450.94	447.82	191.67	248.0	182.55	358.54	251.48	217.27	92.7	123.5	212.78	265.87	260.38
TMEM14C	2645.74	3820.7	3491.39	2875.3	4152.18	3168.41	3146.52	3349.13	2209.26	2520.38	3257.52	2895.31	2573.36	1709.26	2855.44	2255.7	1896.65	1617.0	2835.7	1832.01	1991.0	1697.45	1437.15	1870.53	1870.53	2720.15
TRIAP1	748.61	607.87	708.18	884.29	483.38	426.57	368.65	651.58	441.64	854.13	647.07	743.43	684.02	543.96	438.59	277.2	178.77	212.78	470.14	201.25	332.14	195.72	181.28	241.19	307.69	400.71
TSN	764.36	848.22	921.88	1044.52	848.22	567.1	819.3	780.44	759.08	878.17	915.51	947.83	1104.13	642.59	688.78	224.97	215.77	204.07	559.28	412.0	409.15	262.2	221.86	423.61	543.96	583.07
UBAC2	1844.76	1437.15	2004.85	2367.9	1781.89	1662.49	1378.57	2075.59	1709.26	1819.35	1572.76	1216.75	1508.65	1073.91	1277.29	967.76	525.39	1519.15	988.12	896.64	660.68	954.43	967.76	825.0	1250.98	1250.98
USP1	307.69	325.29	414.87	559.28	312.0	232.94	329.84	366.09	376.41	463.65	447.82	460.44	397.93	256.78	490.14	303.44	122.64	226.54	236.21	187.71	158.79	105.15	143.01	253.23	265.87	297.17
UTP14C	185.11	283.05	376.41	356.05	281.09	127.0	187.71	339.14	214.27	320.8	281.09	242.88	253.23	144.01	206.94	94.01	69.03	67.12	176.29	27.25	40.64	100.13	87.03	152.28	185.11	269.6
VAV3	2090.03	1143.1	3280.18	2148.82	3794.3	316.37	3168.41	2956.17	2018.8	2895.31	2664.15	1008.9	2915.45	473.41	1059.11	15.56	52.08	49.91	60.39	59.55	98.73	121.79	8.71	166.73	81.14	127.89
VWA8	115.97	158.79	157.68	204.07	265.87	114.36	167.9	161.02	156.59	206.94	178.77	146.03	177.53	72.52	149.12	112.77	62.12	49.21	136.19	142.01	125.24	75.64	148.09	127.89	104.42	107.38
WDR61	1143.1	1216.75	1233.75	1208.34	1044.52	954.43	988.12	967.76	1304.15	961.07	1216.75	1467.37	1286.18	890.44	1313.23	703.28	629.35	366.09	808.0	551.56	555.41	463.65	703.28	785.88	769.69	759.08
WDSUB1	128.79	147.06	217.27	171.45	169.07	134.3	140.04	178.77	143.01	206.94	161.02	126.12	138.1	74.58	180.02	51.71	81.71	57.89	129.69	44.57	59.13	83.45	67.12	136.19	120.94	169.07
YKT6	1233.75	1662.49	1721.16	1467.37	1674.06	961.07	1135.2	1407.55	1639.59	1477.58	1628.26	1088.92	1909.85	1322.37	764.36	1001.93	387.02	647.07	1359.57	1135.2	1104.13	1030.12	444.72	1498.22	961.07	981.29
YTHDF2	878.17	1183.45	1119.56	1167.14	961.07	579.04	921.88	921.88	988.12	1135.2	1268.46	854.13	1023.0	753.83	753.83	780.44	780.44	872.1	848.22	819.3	723.08	559.28	669.92	703.28	1008.9	928.3
