	TCGA.CM.4744.01A.01R.A32Z.07	GTEX.13O61.1226.SM.5KM21	GTEX.S7SE.0926.SM.2XCD6	TCGA.85.7710.11A.01R.2125.07	TCGA.CG.5732.01A.11R.1602.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.IN.A6RI.01A.11R.A32D.31	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.HU.A4GT.01A.21R.A251.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.12WSG.2026.SM.5FQUU
CYSLTR1	5.63	191.67	1151.06	262.2	41.52	164.42	64.8	8.92	48.18	178.77	47.17	66.65	6.46	21.63	195.72	28.04	60.39	25.91	16.51	9.56	29.7	5.59	25.91	81.14	124.37	74.58	234.57	59.55	151.22	17.38
EHD3	16.63	43.32	117.6	170.25	65.26	198.47	82.87	46.5	107.38	82.29	65.72	157.68	33.06	43.63	159.9	37.32	134.3	80.57	46.5	22.1	60.82	35.76	105.15	87.65	120.94	73.03	100.13	51.35	81.14	91.41
FLT3LG	114.36	583.07	1561.89	769.69	277.2	656.11	287.01	127.0	165.57	507.46	414.87	848.22	69.52	103.69	1088.92	139.07	363.56	115.16	226.54	80.01	167.9	61.68	105.89	486.75	612.11	289.02	1030.12	540.19	860.08	285.03
GIMAP1	9.93	123.5	532.74	381.68	59.13	205.5	82.87	14.45	65.26	165.57	74.06	140.04	26.28	35.25	336.79	23.08	149.12	43.02	32.82	16.03	27.05	15.8	40.36	147.06	81.14	99.43	166.73	150.17	137.14	31.22
GIMAP4	87.03	486.75	3303.0	2351.53	325.29	1508.65	624.99	87.03	460.44	1015.93	571.05	921.88	169.07	182.55	1721.16	229.72	890.44	316.37	194.36	182.55	285.03	144.01	208.38	961.07	432.53	486.75	1216.75	674.59	1191.69	348.71
GIMAP5	99.43	603.67	1295.13	2319.15	215.77	1081.39	490.14	96.68	318.57	514.56	426.57	575.03	73.03	161.02	1259.69	114.36	480.04	155.5	114.36	82.87	191.67	85.22	151.22	743.43	423.61	470.14	1407.55	651.58	941.27	145.02
GIMAP6	38.4	239.52	1447.15	1183.45	159.9	543.96	248.0	50.98	281.09	403.5	185.11	435.55	50.27	100.83	713.11	102.25	332.14	183.82	84.04	60.82	134.3	63.45	98.04	521.76	295.11	336.79	603.67	334.46	603.67	163.28
GIMAP7	82.29	612.11	2287.2	2303.12	239.52	1498.22	371.22	73.03	412.0	988.12	339.14	759.08	110.43	126.12	1583.71	118.43	753.83	204.07	144.01	127.0	185.11	74.58	173.85	647.07	376.41	414.87	1508.65	651.58	1104.13	244.57
GIMAP8	13.22	262.2	679.29	693.58	61.68	256.78	162.14	30.34	142.01	164.42	79.45	215.77	37.05	47.84	309.83	51.35	253.23	69.52	49.56	28.24	69.52	37.05	61.68	271.48	130.6	109.66	226.54	120.1	181.28	77.79
GLIPR1	66.65	616.37	1322.37	1233.75	269.6	974.5	463.65	115.16	323.03	854.13	521.76	703.28	38.67	191.67	753.83	262.2	642.59	169.07	67.59	102.25	232.94	62.56	149.12	358.54	713.11	363.56	1104.13	406.31	954.43	60.82
GNAI2	1388.16	5751.61	8022.41	8479.89	3564.78	7331.05	4239.45	2287.2	3257.52	4181.07	4575.41	8840.04	2758.13	2224.63	7032.37	2682.69	5791.62	5041.77	2047.0	1685.71	3847.29	1936.53	2915.45	5366.37	7382.04	3124.78	5954.47	3349.13	6516.03	3124.78
GYPC	146.03	2018.8	1991.0	2935.74	660.68	2075.59	376.41	105.15	454.09	1407.55	1059.11	3018.3	110.43	325.29	1407.55	246.28	1561.89	457.25	183.82	172.65	215.77	130.6	376.41	1295.13	2520.38	674.59	2537.92	1417.35	2855.44	769.69
ITPKB	68.55	878.17	480.04	540.19	152.28	854.13	271.48	241.19	241.19	376.41	133.36	1950.0	51.71	80.01	854.13	148.09	450.94	126.12	96.01	107.38	256.78	112.77	153.34	656.11	2047.0	186.4	318.57	172.65	587.13	211.31
LDLRAD4	38.4	279.14	173.85	277.2	102.97	351.14	249.73	99.43	198.47	293.07	226.54	629.35	22.59	102.25	348.71	52.08	198.47	81.71	76.17	100.83	90.14	74.58	204.07	305.55	567.1	170.25	277.2	90.77	241.19	108.9
MICAL3	122.64	693.58	256.78	423.61	170.25	947.83	525.39	341.51	514.56	381.68	221.86	866.07	87.03	201.25	896.64	164.42	318.57	147.06	187.71	132.44	211.31	180.02	178.77	583.07	785.88	180.02	175.07	90.14	251.48	164.42
MKL1	262.2	902.89	674.59	759.08	412.0	934.76	633.73	376.41	579.04	571.05	591.22	808.0	255.0	521.76	947.83	289.02	536.45	444.72	460.44	283.05	312.0	285.03	432.53	679.29	708.18	607.87	529.06	463.65	547.75	414.87
MLLT6	669.92	1662.49	2224.63	1794.29	1896.65	2591.27	2468.49	1208.34	1519.15	1806.78	669.92	2061.24	854.13	819.3	3794.3	1167.14	1167.14	1023.0	1397.83	743.43	1295.13	1359.57	934.76	1733.13	1819.35	1104.13	1388.16	915.51	1023.0	884.29
MSN	447.82	2915.45	5594.3	7485.11	1225.22	5831.91	2303.12	896.64	2537.92	3467.27	2573.36	5329.3	624.99	1081.39	5913.33	2720.15	4481.23	1628.26	830.75	607.87	2451.44	878.17	1572.76	2645.74	3515.68	1909.85	2816.11	2075.59	3103.19	1295.13
NDNL2	260.38	379.04	454.09	555.41	339.14	500.46	291.04	175.07	316.37	429.54	285.03	579.04	159.9	144.01	379.04	209.84	381.68	275.28	191.67	256.78	236.21	176.29	409.15	358.54	476.71	325.29	624.99	353.59	693.58	232.94
NDST2	199.85	529.06	536.45	638.15	490.14	500.46	420.68	195.72	381.68	444.72	346.29	466.88	305.55	220.32	723.08	314.17	463.65	229.72	400.71	202.66	476.71	339.14	323.03	397.93	490.14	327.56	559.28	248.0	435.55	316.37
NLRP1	45.85	395.18	1769.57	1119.56	116.78	802.41	241.19	162.14	228.13	607.87	159.9	703.28	55.49	100.83	941.27	59.13	387.02	82.87	120.94	54.33	134.3	50.63	139.07	447.82	559.28	182.55	532.74	164.42	529.06	211.31
PGC	15.91	8046889.67	339.14	20170.07	636586.81	506427.83	716197.51	400098.69	434801.29	2310861.52	1255646.43	1212874.47	535303.41	535303.41	1794.29	3200796.55	1916442.45	1.011504819E7	1131651.83	301.33	1600397.78	805764.22	5128124.01	672883.8	659036.03	5690009.96	2025714.3	4885245.74	2654482.97	509950.32
PLEKHO2	248.0	656.11	656.11	1127.35	289.02	624.99	444.72	129.69	447.82	432.53	279.14	1059.11	86.43	165.57	587.13	194.36	583.07	273.37	137.14	76.17	178.77	140.04	283.05	525.39	921.88	260.38	575.03	202.66	599.49	164.42
PPP1R18	457.25	1167.14	1340.84	3235.01	791.35	3212.66	1051.79	177.53	848.22	1733.13	1225.22	2047.0	264.03	441.64	2664.15	493.56	1250.98	583.07	316.37	255.0	1081.39	318.57	379.04	1127.35	1369.04	642.59	2701.35	679.29	2319.15	426.57
RASGRP2	53.19	1008.9	1199.98	2075.59	202.66	2163.77	204.07	39.22	141.02	890.44	234.57	563.18	54.33	88.88	2434.5	62.12	283.05	81.14	85.22	94.67	226.54	34.26	59.97	363.56	796.86	128.79	1340.84	194.36	954.43	74.06
RASSF2	20.11	297.17	995.0	1191.69	127.0	1030.12	212.78	52.82	208.38	514.56	127.0	182.55	23.42	81.14	775.05	116.78	379.04	108.9	85.22	35.76	172.65	52.08	78.34	175.07	293.07	169.07	540.19	122.64	429.54	52.82
S1PR1	45.21	808.0	848.22	1457.23	293.07	1104.13	595.34	163.28	483.38	785.88	571.05	860.08	169.07	244.57	1322.37	209.84	1745.2	341.51	191.67	172.65	242.88	127.0	251.48	753.83	1030.12	454.09	718.08	466.88	854.13	309.83
SCARA3	3.82	536.45	579.04	447.82	198.47	633.73	271.48	76.71	271.48	303.44	123.5	775.05	236.21	77.25	540.19	312.0	363.56	172.65	107.38	17.0	249.73	24.11	111.99	406.31	1023.0	209.84	406.31	189.02	409.15	221.86
SH2D3C	43.94	255.0	1216.75	1159.07	221.86	591.22	234.57	77.79	221.86	334.46	256.78	511.0	94.67	100.83	1037.29	116.78	567.1	208.38	146.03	67.59	117.6	122.64	108.14	323.03	358.54	187.71	438.59	199.85	368.65	153.34
SH3BP5	43.63	1001.93	1225.22	1508.65	307.69	1183.45	329.84	81.71	314.17	647.07	271.48	444.72	152.28	177.53	1119.56	141.02	551.56	159.9	81.71	72.01	100.13	96.01	162.14	503.95	961.07	255.0	540.19	161.02	567.1	208.38
SNED1	11.21	217.27	387.02	244.57	88.26	387.02	262.2	60.82	139.07	237.86	117.6	285.03	34.75	60.82	497.0	123.5	214.27	98.04	102.97	30.34	99.43	52.45	180.02	218.79	275.28	95.34	127.0	72.01	106.63	98.73
STAT5A	189.02	638.15	629.35	1073.91	341.51	934.76	567.1	351.14	429.54	540.19	466.88	703.28	334.46	204.07	1143.1	426.57	435.55	376.41	438.59	201.25	381.68	291.04	293.07	616.37	753.83	353.59	521.76	275.28	500.46	281.09
STAT5B	264.03	909.17	947.83	1096.5	303.44	1350.18	775.05	412.0	723.08	1096.5	368.65	1233.75	297.17	358.54	1417.35	466.88	748.61	511.0	444.72	366.09	607.87	500.46	444.72	764.36	1350.18	629.35	703.28	395.18	629.35	438.59
SYNE1	36.53	1008.9	4066.71	1529.73	269.6	1250.98	403.5	177.53	620.67	1081.39	211.31	1233.75	50.27	212.78	1378.57	204.07	928.3	181.28	199.85	67.59	249.73	111.99	256.78	748.61	1508.65	466.88	753.83	389.72	728.11	92.05
SYT15	7.0	61.25	406.31	785.88	26.47	94.67	19.68	7.0	37.59	37.59	18.84	100.13	11.21	14.56	128.79	5.02	40.64	17.9	27.64	6.89	22.92	15.8	15.8	93.35	94.01	27.05	63.45	55.1	66.65	23.42
ZNF547	5.02	53.95	53.57	63.89	23.08	66.65	48.87	10.63	31.67	60.39	45.53	110.43	17.0	40.93	77.25	37.32	57.08	51.35	36.53	31.67	48.52	37.05	43.63	58.3	63.89	35.5	74.58	32.59	78.34	19.53
