	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.AACK.01A.11R.A41C.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.X4XY.1626.SM.46MVN	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13QJC.0726.SM.5RQJK	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11DXY.0426.SM.5H12R	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
FBLN2	4.86	9.63	7.57	9.93	34.75	15.56	13.03	40.07	5.28	229.72	108.9	98.04	181.28	466.88	713.11	718.08	1104.13	647.07	825.0	1605.83	830.75	551.56	1259.69	1551.09	43.02	3280.18	603.67	909.17	1883.54	775.05	3212.66	769.69	1709.26	1685.71	395.18	412.0	2384.37	866.07	780.44	571.05	1044.52	2895.31	1685.71	289.02	231.32	1662.49	316.37	830.75	1183.45	1304.15	555.41	480.04	279.14	575.03	791.35	738.29	559.28	486.75	426.57	343.89	156.59	376.41	629.35	1127.35	1023.0	1417.35	325.29	435.55	616.37	830.75	633.73
FGL2	42.11	7.88	40.64	54.33	28.65	80.57	40.36	57.08	102.25	0.0	0.31	72.01	116.78	199.85	836.53	172.65	723.08	1322.37	281.09	1001.93	293.07	176.29	743.43	616.37	76.17	1242.34	813.63	223.41	289.02	260.38	1685.71	334.46	253.23	808.0	476.71	400.71	1199.98	559.28	332.14	543.96	275.28	1023.0	403.5	198.47	371.22	1378.57	110.43	1059.11	148.09	1191.69	156.59	87.03	191.67	371.22	293.07	137.14	540.19	109.66	186.4	116.78	80.57	156.59	183.82	197.09	283.05	738.29	287.01	473.41	698.41	1119.56	493.56
FRZB	32.13	30.34	27.05	42.71	10.31	10.79	2.32	58.71	22.26	0.0	0.16	71.0	63.0	98.04	332.14	63.0	193.01	486.75	134.3	301.33	115.97	140.04	769.69	197.09	110.43	295.11	703.28	159.9	129.69	72.52	651.58	183.82	102.97	329.84	490.14	218.79	414.87	470.14	208.38	249.73	66.65	361.04	61.25	88.88	82.87	642.59	123.5	281.09	75.64	256.78	97.36	38.95	36.27	325.29	53.95	94.67	507.46	74.58	27.64	71.5	72.01	84.04	54.72	53.57	96.01	457.25	156.59	239.52	142.01	358.54	198.47
FXYD6	45.21	54.33	118.43	206.94	228.13	356.05	172.65	138.1	138.1	329.84	435.55	400.71	395.18	1832.01	3280.18	2047.0	4010.71	3372.43	1127.35	5672.41	1233.75	1030.12	4639.29	3124.78	1457.23	3515.68	3955.48	1225.22	1313.23	1883.54	3639.7	1397.83	1977.24	4607.24	3039.3	1909.85	3060.45	2468.49	1096.5	3443.31	1378.57	2682.69	1757.34	961.07	1286.18	3874.05	1697.45	3614.55	1242.34	2739.08	813.63	1066.48	753.83	934.76	1350.18	718.08	2451.44	780.44	872.1	708.18	981.29	1008.9	1519.15	1457.23	1551.09	2351.53	1709.26	1081.39	3212.66	3928.15	2591.27
GDF10	1.77	5.87	0.0	1.35	1.13	2.97	0.02	0.0	0.0	0.0	0.16	18.16	3.17	61.68	466.88	249.73	450.94	830.75	312.0	693.58	379.04	75.64	500.46	647.07	4.82	769.69	525.39	105.15	444.72	89.51	1639.59	129.69	195.72	665.29	271.48	83.45	1340.84	295.11	134.3	316.37	426.57	2417.67	334.46	122.64	14.03	1457.23	40.93	379.04	239.52	397.93	164.42	15.56	39.22	71.0	145.02	78.34	457.25	29.06	22.75	136.19	40.93	31.22	71.0	74.58	177.53	438.59	66.65	25.35	555.41	473.41	438.59
GPR124	14.56	42.71	18.7	69.52	27.25	14.56	11.91	41.22	8.85	0.0	0.42	114.36	121.79	141.02	368.65	143.01	249.73	220.32	182.55	497.0	144.01	140.04	265.87	176.29	28.04	400.71	332.14	171.45	201.25	178.77	591.22	241.19	206.94	547.75	366.09	162.14	379.04	341.51	98.73	287.01	140.04	460.44	251.48	131.51	119.26	480.04	301.33	351.14	130.6	361.04	187.71	63.0	149.12	163.28	128.79	84.63	130.6	69.52	71.5	94.01	137.14	140.04	77.25	157.68	171.45	218.79	102.97	41.52	323.03	312.0	236.21
GSTM5	3.5	7.22	3.38	4.1	14.89	31.45	1.64	29.06	5.41	0.0	0.21	0.0	4.82	113.56	571.05	133.36	521.76	642.59	101.54	381.68	100.83	98.04	796.86	406.31	5.28	988.12	612.11	74.06	195.72	84.04	1001.93	253.23	147.06	1487.87	525.39	186.4	1088.92	150.17	163.28	381.68	92.05	1135.2	642.59	77.25	75.64	1127.35	260.38	435.55	186.4	651.58	50.63	77.79	60.39	104.42	43.02	81.14	293.07	58.71	119.26	90.77	79.45	56.28	43.63	115.97	143.01	447.82	119.26	28.65	660.68	595.34	368.65
ISLR2	1.35	1.53	0.73	1.77	4.43	1.41	3.72	0.79	0.75	0.0	0.0	7.0	4.06	4.7	32.59	9.48	12.18	19.82	7.57	12.93	13.72	5.11	14.78	10.47	1.79	17.9	11.91	5.87	15.8	2.97	43.32	4.82	1.64	72.52	36.01	3.53	19.11	8.65	7.88	23.59	13.83	23.25	3.08	7.46	1.23	30.78	10.39	43.63	3.0	9.27	3.66	3.72	0.52	15.68	6.89	2.34	9.63	1.93	9.56	4.58	1.93	6.16	1.95	0.53	4.86	6.78	4.74	3.92	14.56	37.05	12.64
MFAP4	21.63	33.3	1.33	1.3	279.14	40.64	45.21	395.18	26.67	0.0	0.6	20.11	55.49	872.1	1733.13	830.75	4210.15	2609.3	450.94	5441.3	941.27	232.94	3639.7	1883.54	33.54	19082.0	2451.44	713.11	2777.33	543.96	10883.59	1407.55	1757.34	11504.21	1757.34	2468.49	10959.3	1437.15	1167.14	1757.34	974.5	8421.31	1233.75	228.13	1127.35	12244.81	164.42	3124.78	684.02	3491.39	693.58	307.69	441.64	688.78	2758.13	307.69	2148.82	154.42	275.28	583.07	151.22	1508.65	854.13	329.84	1001.93	4328.55	909.17	332.14	3124.78	4972.34	2485.67
MSRB3	3.14	7.4	16.88	27.05	16.51	6.16	12.0	27.64	46.84	0.0	0.55	154.42	111.99	153.34	279.14	166.73	366.09	356.05	226.54	486.75	156.59	169.07	387.02	341.51	54.33	1096.5	287.01	332.14	195.72	155.5	785.88	260.38	217.27	285.03	177.53	202.66	571.05	221.86	273.37	239.52	162.14	514.56	191.67	218.79	163.28	444.72	152.28	454.09	161.02	381.68	142.01	138.1	98.04	215.77	176.29	246.28	256.78	142.01	82.29	98.73	117.6	143.01	125.24	177.53	171.45	356.05	211.31	242.88	186.4	307.69	387.02
NLGN3	4.1	1.5	1.79	2.2	3.26	3.53	9.13	3.11	1.5	0.0	0.27	2.71	3.92	10.39	23.42	5.87	18.03	33.06	10.39	40.36	16.63	10.79	32.36	17.0	3.69	34.51	23.25	10.63	12.0	6.16	36.79	13.03	9.2	35.0	24.46	9.93	47.84	28.04	8.99	17.77	5.63	48.52	11.82	14.24	8.32	31.9	9.7	15.91	8.85	20.71	5.63	3.82	6.67	13.93	9.78	4.46	17.0	3.76	4.28	7.06	6.41	6.52	8.06	7.22	9.93	31.45	4.98	4.31	27.44	25.72	17.64
NPY1R	4.78	1.58	2.23	2.18	47.5	23.25	29.27	29.91	49.21	0.0	0.15	27.64	36.53	49.56	136.19	102.25	283.05	206.94	181.28	124.37	115.97	153.34	164.42	244.57	7.82	629.35	198.47	312.0	187.71	55.49	483.38	107.38	267.73	242.88	301.33	68.55	323.03	151.22	58.3	151.22	78.34	299.25	165.57	67.12	37.05	295.11	132.44	305.55	157.68	148.09	26.28	70.51	49.56	77.79	76.17	99.43	183.82	167.9	40.93	48.18	36.01	117.6	36.27	112.77	312.0	232.94	143.01	26.67	211.31	217.27	299.25
NPY5R	0.29	0.0	0.0	0.0	3.59	2.16	2.63	8.25	0.0	0.0	0.0	1.35	0.91	3.5	14.67	7.22	19.82	24.81	8.65	14.45	15.56	13.93	13.22	20.41	0.85	57.49	18.29	24.99	19.11	8.71	51.35	14.78	24.81	26.1	25.35	4.62	22.43	18.03	6.73	19.53	4.82	34.51	18.43	6.62	6.67	52.08	8.45	21.94	9.27	33.54	4.28	4.31	2.92	7.11	11.47	3.29	16.27	9.93	2.76	9.48	7.4	6.73	4.03	11.64	21.63	18.7	17.25	1.1	17.0	14.89	25.35
OGN	0.73	0.0	1.38	0.0	5.73	1.2	1.53	25.72	3.0	0.0	0.09	0.0	0.0	114.36	693.58	108.14	2148.82	1143.1	180.02	842.36	102.25	99.43	1883.54	358.54	5.59	2701.35	373.81	97.36	327.56	80.01	3665.02	325.29	218.79	1304.15	397.93	190.34	1977.24	228.13	124.37	571.05	40.36	2451.44	204.07	65.72	191.67	4972.34	29.48	1073.91	41.81	1605.83	29.06	98.73	99.43	181.28	64.8	32.13	228.13	38.12	86.43	58.3	10.63	101.54	25.17	75.64	122.64	1051.79	332.14	190.34	607.87	1066.48	1030.12
OLFML2B	38.67	36.27	31.67	139.07	2.1	1.79	10.79	14.45	35.25	0.0	0.6	102.25	178.77	190.34	518.15	124.37	486.75	743.43	171.45	780.44	180.02	115.97	529.06	559.28	65.26	1936.53	563.18	178.77	248.0	281.09	934.76	521.76	339.14	1242.34	587.13	239.52	1051.79	961.07	190.34	813.63	373.81	1096.5	470.14	214.27	162.14	1081.39	88.88	764.36	195.72	591.22	204.07	69.03	183.82	406.31	183.82	148.09	490.14	87.65	85.22	189.02	116.78	99.43	119.26	136.19	242.88	679.29	309.83	126.12	775.05	688.78	283.05
OMD	0.0	0.0	0.0	0.0	3.86	0.55	0.41	2.39	7.82	0.0	0.14	1.62	1.13	51.35	287.01	64.8	769.69	532.74	166.73	397.93	134.3	83.45	890.44	438.59	1.1	698.41	366.09	84.63	137.14	48.18	1111.82	115.97	65.26	381.68	209.84	74.06	1216.75	115.16	75.64	223.41	82.29	718.08	56.28	17.25	65.72	1407.55	17.64	361.04	145.02	921.88	3.17	46.84	14.78	153.34	104.42	57.89	246.28	47.84	11.3	53.57	2.92	116.78	35.5	59.13	88.26	305.55	52.82	137.14	454.09	728.11	191.67
PI16	0.0	0.0	0.0	1.87	15.22	2.89	0.77	0.1	6.78	0.0	0.04	3.14	3.5	127.89	684.02	112.77	921.88	769.69	76.71	3820.7	753.83	161.02	1208.34	1651.0	24.28	3665.02	1923.14	124.37	1096.5	94.67	7966.99	1104.13	514.56	3467.27	343.89	202.66	6983.79	189.02	412.0	599.49	1757.34	1794.29	107.38	269.6	242.88	2319.15	244.57	698.41	392.44	2502.97	84.63	157.68	47.5	291.04	447.82	420.68	974.5	58.3	38.4	249.73	26.86	57.49	379.04	59.13	351.14	2255.7	29.7	138.1	1733.13	4239.45	866.07
PRRX1	2.1	4.17	14.14	31.45	0.0	0.84	2.46	5.96	0.0	0.0	0.61	166.73	82.87	414.87	848.22	291.04	603.67	1044.52	665.29	1457.23	432.53	258.57	334.46	532.74	34.75	2004.85	483.38	301.33	414.87	295.11	1733.13	620.67	429.54	1159.07	555.41	361.04	1447.15	1250.98	249.73	629.35	466.88	2090.03	307.69	351.14	264.03	1733.13	173.85	743.43	262.2	1225.22	466.88	164.42	318.57	397.93	199.85	329.84	189.02	164.42	143.01	139.07	197.09	212.78	157.68	307.69	532.74	507.46	316.37	371.22	642.59	642.59	728.11
PTRF	72.52	135.24	202.66	420.68	143.01	189.02	148.09	167.9	229.72	1963.57	1427.22	1651.0	1857.6	2502.97	3349.13	2796.65	3742.05	3564.78	2758.13	6607.01	2537.92	2434.5	2895.31	2956.17	1963.57	6207.38	2855.44	3168.41	2758.13	2335.28	5672.41	3768.09	2335.28	4123.49	3018.3	2018.8	4802.93	3690.52	2777.33	3124.78	1883.54	4937.99	2400.97	2133.97	1977.24	5403.7	2193.99	3443.31	2451.44	2915.45	3039.3	1709.26	1407.55	2133.97	2047.0	2351.53	2796.65	1242.34	1594.73	1378.57	2133.97	2468.49	1733.13	2271.4	2104.58	3665.02	2303.12	2417.67	3081.75	3303.0	3168.41
RP11-247C2.2	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.75	0.38	11.13	1.64	1.79	4.74	2.58	6.46	2.81	0.31	3.99	0.92	0.28	2.48	1.81	1.28	0.62	0.0	8.65	1.3	0.32	9.78	7.28	0.0	2.48	0.97	0.92	6.26	5.02	5.11	0.65	2.41	0.62	3.59	1.73	5.68	0.31	3.29	0.31	0.64	0.0	3.32	0.64	0.32	1.93	0.0	4.13	1.0	0.3	0.0	0.31	0.0	0.65	2.1	0.28	1.69	3.63	4.31	1.51
SLC17A7	0.45	0.39	1.91	1.03	0.0	1.1	3.66	3.08	2.86	0.0	0.36	5.11	3.17	22.92	133.36	50.63	69.03	48.18	42.11	116.78	30.12	29.91	63.0	39.79	5.41	78.89	79.45	26.1	24.99	35.5	95.34	54.72	30.12	88.88	38.67	40.07	129.69	91.41	26.1	64.34	17.51	149.12	25.35	22.92	19.25	147.06	54.72	80.57	14.24	56.68	23.76	17.64	10.47	63.0	14.78	9.85	33.78	9.2	8.19	10.63	23.42	24.46	7.63	26.1	22.43	48.52	36.53	16.63	81.14	52.45	37.32
SLIT2	0.0	2.89	2.46	3.23	4.54	9.7	15.56	2.25	4.98	0.0	0.41	24.99	65.26	206.94	559.28	132.44	387.02	595.34	118.43	348.71	198.47	82.87	303.44	356.05	10.71	1001.93	366.09	82.29	128.79	95.34	921.88	285.03	127.89	629.35	486.75	84.63	1088.92	152.28	112.77	500.46	145.02	698.41	226.54	198.47	66.65	463.65	105.15	373.81	187.71	718.08	194.36	76.71	120.94	182.55	88.26	110.43	277.2	102.25	49.56	59.97	39.22	67.12	105.89	177.53	115.16	412.0	77.25	42.71	423.61	607.87	217.27
SOX21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.4	1.93	3.44	1.3	2.46	4.28	2.36	4.21	1.79	3.59	0.96	1.5	0.0	6.26	6.06	0.41	2.05	2.81	5.15	0.0	1.01	3.59	0.71	1.2	4.21	2.63	0.0	2.05	1.53	2.23	0.72	2.46	2.58	3.66	0.43	5.19	1.27	6.67	0.4	0.99	0.99	0.67	0.41	0.41	1.0	0.69	1.45	1.89	0.97	0.71	0.0	1.01	2.89	2.94	0.39	1.62	3.2	5.11	2.73
SSC5D	1.07	4.62	2.86	3.89	13.83	7.0	8.85	5.96	2.66	0.0	0.27	10.96	13.52	72.52	85.22	25.91	149.12	77.79	43.32	205.5	48.87	66.65	111.21	56.68	15.11	339.14	100.13	27.64	75.64	22.1	197.09	59.55	43.02	175.07	62.12	27.25	277.2	33.54	73.54	78.34	42.11	409.15	78.89	27.05	24.99	223.41	14.14	98.73	16.15	74.06	11.13	15.8	43.02	106.63	37.85	8.19	47.17	12.09	23.59	23.59	14.24	24.46	16.63	33.78	15.45	88.88	26.67	39.5	95.34	95.34	86.43
TG	518.15	2271.4	35.5	1.89	21.32	8.85	7.75	21.63	5.92	0.0	0.64	945028.61	1123834.93	1131651.83	1282030.25	1364554.84	1393227.06	2068278.89	1452391.55	1179708.33	2247670.86	2126426.15	1751305.3	2375828.71	2111737.85	757033.75	1622738.51	1493223.86	1739208.14	1838374.44	1535204.12	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	1196176.45	2425749.94	1402917.72	1318073.06	1929772.37	1299926.74	1327240.99	1034138.94	1943195.01	1622738.51	1727194.55	1589343.01	1355129.16	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1800541.22	3178687.03	3886391.01	1116072.03	1622738.51	1123834.93	2263304.65	1282030.25	1535204.12	2672946.37	1514068.5	1864037.21	1634025.56	1482909.4
