	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.4279.01A.01R.1131.13
BOK	1359.57	120.94	947.83	1023.0	397.93	559.28	323.03	158.79	283.05	1769.57	921.88	1066.48	454.09	1143.1	921.88	748.61	221.86	69.03	1183.45	363.56	890.44	583.07	466.88	988.12	579.04	87.65	1081.39	29.91	1037.29	890.44	1225.22	387.02	329.84	860.08	872.1	629.35	743.43	1225.22	1151.06	759.08	733.19	769.69	587.13	267.73	629.35	559.28	651.58	791.35	679.29	476.71	1498.22	493.56	521.76	878.17	842.36	0.0	0.6	327.56
C19orf44	169.07	68.07	155.5	158.79	72.52	141.02	43.32	70.51	88.88	156.59	86.43	312.0	60.82	182.55	153.34	108.9	102.25	27.25	98.04	135.24	108.9	75.64	167.9	164.42	81.71	95.34	96.01	71.5	105.15	96.01	161.02	75.11	128.79	109.66	136.19	117.6	71.0	193.01	53.57	127.0	121.79	127.89	108.14	98.73	99.43	115.16	193.01	126.12	190.34	98.73	112.77	94.67	226.54	90.77	120.1	0.0	0.13	43.32
C1orf159	612.11	55.89	480.04	406.31	96.01	256.78	150.17	208.38	141.02	698.41	279.14	540.19	30.12	387.02	400.71	75.64	63.89	77.79	177.53	231.32	473.41	124.37	346.29	753.83	127.89	57.08	346.29	42.11	307.69	120.1	547.75	102.97	275.28	258.57	642.59	146.03	146.03	543.96	98.04	119.26	63.0	186.4	175.07	60.39	177.53	277.2	125.24	251.48	269.6	204.07	88.26	90.14	269.6	154.42	212.78	0.0	0.79	59.97
C1orf170	260.38	10.55	156.59	101.54	102.25	17.38	22.75	48.52	25.72	111.99	26.67	74.58	14.56	155.5	158.79	18.97	20.86	12.27	22.26	25.35	177.53	19.82	53.19	275.28	29.27	19.25	109.66	0.43	43.32	40.07	144.01	28.65	68.07	94.67	94.01	65.72	52.45	78.89	45.21	7.4	19.68	48.52	45.53	19.68	99.43	37.59	12.09	31.67	66.18	28.24	17.64	25.72	76.71	43.32	43.94	0.0	0.66	6.16
C1orf63	3794.3	325.29	2502.97	1733.13	384.34	1295.13	267.73	384.34	708.18	2255.7	1583.71	1870.53	426.57	1529.73	2104.58	547.75	1044.52	579.04	1697.45	890.44	2193.99	848.22	1073.91	2417.67	723.08	1143.1	2004.85	591.22	1225.22	281.09	2255.7	480.04	1208.34	1175.27	1417.35	860.08	733.19	2875.3	303.44	409.15	1208.34	1250.98	1519.15	1447.15	1721.16	1950.0	2119.22	1936.53	1883.54	441.64	988.12	1088.92	1467.37	1066.48	1044.52	0.0	1.66	429.54
C21orf2	1175.27	43.63	842.36	1001.93	202.66	571.05	267.73	92.05	153.34	872.1	713.11	928.3	53.57	1023.0	981.29	341.51	75.11	118.43	389.72	603.67	769.69	363.56	660.68	1233.75	351.14	25.17	616.37	115.16	796.86	190.34	842.36	460.44	490.14	607.87	1175.27	316.37	264.03	629.35	157.68	536.45	170.25	353.59	323.03	87.65	540.19	368.65	483.38	769.69	503.95	273.37	318.57	121.79	780.44	633.73	373.81	0.0	0.69	157.68
CACTIN	728.11	127.89	518.15	547.75	260.38	414.87	190.34	186.4	166.73	642.59	473.41	728.11	173.85	547.75	420.68	265.87	187.71	97.36	327.56	325.29	559.28	258.57	438.59	620.67	260.38	133.36	351.14	115.16	450.94	305.55	429.54	241.19	414.87	384.34	567.1	267.73	229.72	497.0	134.3	309.83	239.52	332.14	291.04	178.77	366.09	186.4	351.14	281.09	603.67	197.09	295.11	92.7	473.41	248.0	255.0	0.0	0.72	109.66
CAPN10	728.11	20.86	486.75	447.82	121.79	353.59	155.5	92.05	82.29	674.59	457.25	567.1	57.08	503.95	470.14	117.6	72.52	63.0	206.94	348.71	483.38	191.67	343.89	738.29	152.28	22.43	389.72	118.43	500.46	217.27	497.0	198.47	202.66	214.27	679.29	176.29	209.84	633.73	100.83	201.25	80.57	242.88	204.07	78.34	320.8	305.55	150.17	273.37	476.71	115.97	201.25	55.89	412.0	281.09	185.11	0.0	1.03	147.06
CASZ1	693.58	48.87	1167.14	713.11	400.71	961.07	403.5	90.77	143.01	1295.13	389.72	884.29	70.51	954.43	599.49	426.57	256.78	170.25	241.19	1378.57	1277.29	532.74	595.34	808.0	379.04	170.25	921.88	190.34	1030.12	480.04	1081.39	295.11	142.01	412.0	698.41	432.53	237.86	769.69	387.02	563.18	209.84	426.57	414.87	212.78	392.44	579.04	466.88	656.11	521.76	327.56	183.82	323.03	743.43	346.29	412.0	0.0	0.58	109.66
CCDC130	2148.82	162.14	1313.23	1119.56	366.09	1225.22	218.79	194.36	264.03	1331.57	1127.35	1519.15	148.09	1331.57	1242.34	417.77	301.33	100.83	555.41	559.28	1081.39	529.06	947.83	1745.2	521.76	133.36	1447.15	128.79	1359.57	409.15	1322.37	607.87	713.11	595.34	1427.22	470.14	316.37	1477.58	161.02	743.43	297.17	703.28	507.46	291.04	624.99	647.07	559.28	884.29	1096.5	503.95	536.45	400.71	1015.93	775.05	511.0	0.0	1.19	237.86
