	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.4279.01A.01R.1131.13
TSSC4	1135.2	178.77	1159.07	995.0	813.63	928.3	620.67	441.64	713.11	1268.46	796.86	1417.35	361.04	1359.57	1111.82	348.71	195.72	265.87	775.05	759.08	1001.93	406.31	1030.12	1340.84	743.43	173.85	1023.0	262.2	1143.1	854.13	1242.34	748.61	525.39	872.1	1572.76	575.03	607.87	1096.5	441.64	825.0	323.03	743.43	684.02	186.4	830.75	346.29	417.77	476.71	813.63	1225.22	2720.15	248.0	665.29	1447.15	703.28	0.0	0.66	269.6
TTC34	58.3	2.86	38.67	30.34	7.57	8.99	6.41	0.43	0.87	18.56	36.27	26.86	1.16	22.26	32.59	5.15	2.48	1.08	1.77	26.1	38.4	5.92	10.47	44.89	9.93	2.63	37.32	5.15	12.0	1.97	41.81	0.44	1.87	13.42	11.04	11.55	3.79	24.63	3.72	1.08	15.56	15.11	19.68	17.25	17.77	33.54	18.16	88.88	52.08	8.45	1.77	9.56	22.59	16.63	14.56	0.0	0.25	1.13
TUBGCP6	1104.13	107.38	995.0	896.64	211.31	571.05	185.11	102.97	187.71	638.15	836.53	769.69	146.03	780.44	595.34	297.17	110.43	80.57	244.57	511.0	1044.52	239.52	346.29	796.86	291.04	78.34	872.1	85.22	848.22	279.14	748.61	204.07	353.59	429.54	684.02	392.44	301.33	1051.79	201.25	384.34	260.38	483.38	470.14	206.94	466.88	409.15	679.29	540.19	866.07	231.32	318.57	204.07	967.76	476.71	397.93	0.0	1.22	132.44
TUT1	579.04	170.25	656.11	607.87	384.34	521.76	289.02	157.68	343.89	500.46	511.0	703.28	232.94	830.75	540.19	297.17	101.54	103.69	395.18	417.77	555.41	178.77	450.94	679.29	392.44	229.72	486.75	194.36	547.75	316.37	463.65	387.02	271.48	376.41	555.41	351.14	253.23	638.15	197.09	435.55	208.38	457.25	356.05	223.41	483.38	285.03	493.56	483.38	759.08	287.01	185.11	368.65	532.74	674.59	466.88	0.0	0.54	59.55
UBAP1L	92.05	13.93	94.67	87.65	12.55	67.59	14.45	16.51	13.32	78.34	49.21	110.43	3.44	84.04	75.11	20.71	5.73	8.85	19.97	33.06	73.03	19.97	43.63	114.36	18.7	6.46	41.81	9.2	36.27	4.78	69.03	6.11	13.03	55.49	49.91	30.56	13.93	100.13	3.23	7.94	58.3	52.82	66.65	21.16	59.13	33.54	57.49	88.88	96.01	23.93	17.0	47.17	134.3	28.45	29.48	0.0	0.68	3.14
UBXN11	1508.65	61.25	842.36	813.63	332.14	624.99	353.59	218.79	283.05	1487.87	1250.98	1477.58	104.42	825.0	1350.18	341.51	166.73	74.58	271.48	555.41	1044.52	356.05	555.41	1781.89	275.28	69.03	802.41	124.37	1119.56	281.09	753.83	303.44	223.41	665.29	1417.35	397.93	195.72	1216.75	283.05	571.05	228.13	555.41	457.25	163.28	571.05	466.88	361.04	665.29	723.08	497.0	299.25	341.51	954.43	718.08	432.53	0.0	0.67	152.28
UPF1	1259.69	571.05	1407.55	1322.37	780.44	1191.69	647.07	748.61	651.58	1216.75	1008.9	1286.18	540.19	1233.75	1151.06	775.05	866.07	470.14	1044.52	1286.18	1313.23	1066.48	1096.5	1242.34	1008.9	507.46	1225.22	327.56	1001.93	1001.93	1066.48	842.36	921.88	1250.98	1159.07	878.17	1015.93	1388.16	612.11	1044.52	543.96	769.69	836.53	514.56	1066.48	1023.0	981.29	1037.29	1191.69	723.08	575.03	473.41	1225.22	483.38	830.75	0.0	0.97	371.22
USP19	791.35	438.59	1066.48	1073.91	460.44	1037.29	575.03	583.07	595.34	981.29	536.45	1199.98	353.59	842.36	791.35	802.41	303.44	234.57	511.0	878.17	1015.93	511.0	571.05	909.17	518.15	162.14	791.35	638.15	842.36	738.29	866.07	629.35	493.56	698.41	1023.0	665.29	633.73	1073.91	656.11	669.92	620.67	934.76	808.0	438.59	713.11	587.13	1268.46	1096.5	954.43	447.82	629.35	325.29	1208.34	775.05	775.05	0.0	0.17	376.41
WDR27	1175.27	110.43	603.67	612.11	105.15	387.02	84.04	161.02	149.12	536.45	486.75	656.11	67.59	599.49	616.37	177.53	142.01	126.12	234.57	236.21	450.94	117.6	341.51	532.74	169.07	68.55	387.02	185.11	353.59	170.25	417.77	191.67	169.07	381.68	563.18	299.25	161.02	563.18	46.18	140.04	279.14	409.15	307.69	275.28	312.0	591.22	961.07	366.09	738.29	102.97	108.14	143.01	878.17	226.54	323.03	0.0	1.04	106.63
XAB2	1457.23	224.97	1183.45	1437.15	624.99	896.64	363.56	334.46	392.44	1250.98	1242.34	1551.09	256.78	1313.23	1233.75	633.73	334.46	148.09	848.22	909.17	1023.0	669.92	1051.79	1457.23	708.18	204.07	1498.22	249.73	1175.27	796.86	1023.0	723.08	616.37	1030.12	1447.15	764.36	567.1	1407.55	406.31	1001.93	532.74	748.61	825.0	251.48	961.07	693.58	748.61	872.1	1259.69	651.58	718.08	351.14	1088.92	753.83	718.08	0.0	0.85	521.76
ZBTB17	866.07	107.38	713.11	769.69	260.38	543.96	297.17	329.84	228.13	791.35	536.45	1001.93	66.18	728.11	708.18	229.72	142.01	85.82	353.59	438.59	785.88	295.11	463.65	1059.11	379.04	68.55	551.56	100.83	819.3	332.14	723.08	329.84	414.87	444.72	934.76	329.84	327.56	743.43	229.72	334.46	185.11	457.25	389.72	133.36	587.13	373.81	356.05	444.72	684.02	669.92	406.31	231.32	629.35	435.55	420.68	0.0	0.78	129.69
ZBTB48	813.63	58.71	825.0	796.86	242.88	603.67	287.01	341.51	244.57	884.29	497.0	1030.12	74.06	848.22	825.0	301.33	173.85	143.01	363.56	473.41	583.07	371.22	896.64	1119.56	323.03	51.35	543.96	146.03	921.88	312.0	651.58	299.25	406.31	607.87	896.64	348.71	241.19	1159.07	293.07	438.59	239.52	376.41	432.53	135.24	429.54	381.68	555.41	463.65	764.36	327.56	941.27	191.67	674.59	325.29	555.41	0.0	0.72	220.32
ZNF219	1183.45	100.83	728.11	1167.14	132.44	525.39	118.43	85.82	106.63	1081.39	567.1	1059.11	93.35	967.76	854.13	299.25	115.16	55.89	480.04	395.18	607.87	384.34	854.13	967.76	177.53	55.1	603.67	61.68	301.33	293.07	825.0	368.65	201.25	769.69	791.35	521.76	246.28	713.11	84.04	189.02	323.03	332.14	361.04	262.2	813.63	567.1	529.06	595.34	327.56	197.09	688.78	65.72	603.67	733.19	409.15	0.0	0.92	150.17
ZNF282	500.46	121.79	503.95	493.56	351.14	490.14	384.34	251.48	218.79	460.44	830.75	656.11	124.37	518.15	476.71	318.57	181.28	181.28	384.34	743.43	490.14	246.28	559.28	450.94	269.6	99.43	412.0	450.94	423.61	316.37	454.09	432.53	400.71	329.84	603.67	297.17	307.69	551.56	215.77	490.14	256.78	253.23	289.02	103.69	361.04	262.2	473.41	291.04	397.93	164.42	199.85	173.85	473.41	239.52	277.2	0.0	0.27	148.09
ZNF513	738.29	131.51	540.19	466.88	180.02	483.38	201.25	136.19	156.59	728.11	332.14	718.08	215.77	563.18	514.56	265.87	195.72	149.12	343.89	429.54	660.68	303.44	406.31	679.29	223.41	105.89	432.53	166.73	748.61	265.87	669.92	237.86	221.86	299.25	728.11	224.97	223.41	587.13	112.77	301.33	132.44	329.84	236.21	190.34	339.14	363.56	269.6	299.25	348.71	409.15	255.0	198.47	320.8	497.0	277.2	0.0	0.88	81.71
ZNF775	507.46	34.75	392.44	441.64	132.44	389.72	151.22	115.97	111.99	525.39	656.11	708.18	37.32	423.61	486.75	204.07	111.21	96.01	221.86	366.09	473.41	144.01	518.15	575.03	197.09	45.53	289.02	142.01	409.15	153.34	332.14	287.01	285.03	206.94	551.56	201.25	133.36	473.41	92.05	432.53	154.42	175.07	220.32	102.25	285.03	297.17	353.59	218.79	334.46	84.63	269.6	105.89	403.5	150.17	205.5	0.0	0.22	191.67
ZNF783	358.54	51.71	329.84	353.59	81.71	323.03	139.07	166.73	85.22	348.71	480.04	432.53	101.54	314.17	246.28	124.37	65.26	90.77	201.25	171.45	460.44	147.06	221.86	336.79	107.38	42.41	260.38	262.2	211.31	101.54	312.0	199.85	209.84	170.25	327.56	147.06	74.58	426.57	98.04	141.02	126.12	195.72	171.45	115.16	205.5	147.06	211.31	244.57	253.23	117.6	39.22	49.91	295.11	124.37	128.79	108.14	309.83	55.49
ZNF821	271.48	170.25	269.6	275.28	135.24	236.21	165.57	166.73	117.6	249.73	175.07	277.2	102.25	336.79	307.69	171.45	126.12	50.98	181.28	117.6	260.38	251.48	181.28	283.05	256.78	58.71	205.5	211.31	384.34	158.79	226.54	156.59	144.01	301.33	358.54	212.78	111.21	241.19	86.43	212.78	197.09	262.2	277.2	152.28	323.03	361.04	384.34	312.0	258.57	90.14	265.87	197.09	346.29	267.73	181.28	0.0	0.23	64.34
ZNF837	124.37	7.46	69.52	104.42	32.36	67.59	31.45	8.45	20.71	126.12	63.89	94.01	7.22	102.25	83.45	28.24	4.58	4.13	28.04	62.12	105.89	18.97	92.05	127.89	37.59	6.73	87.65	7.63	61.25	37.32	80.01	42.71	18.43	41.52	78.89	26.67	42.41	61.25	10.08	42.41	7.28	26.28	20.41	6.31	44.57	29.27	43.94	68.07	29.48	14.24	59.55	3.92	59.13	43.02	30.78	0.0	0.07	9.93
ZNHIT2	500.46	87.65	438.59	532.74	403.5	348.71	234.57	181.28	187.71	743.43	470.14	525.39	140.04	536.45	551.56	241.19	62.56	55.1	303.44	525.39	518.15	108.14	551.56	684.02	348.71	107.38	470.14	70.01	429.54	358.54	518.15	371.22	191.67	423.61	842.36	180.02	239.52	271.48	127.0	575.03	108.14	145.02	206.94	73.03	336.79	83.45	211.31	293.07	144.01	141.02	753.83	37.32	162.14	511.0	126.12	0.0	0.0	83.45
