	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.AJ.A3BK.01A.11R.A19W.07
AP2B1	1662.49	981.29	1605.83	1540.37	1037.29	2061.24	1151.06	1583.71	1605.83	1745.2	753.83	1051.79	1304.15	1397.83	1268.46	708.18	921.88	1378.57	1104.13	1066.48	1183.45	1487.87	1051.79	1167.14	896.64	866.07	878.17	967.76	1015.93	1151.06	1322.37	1268.46	1268.46	890.44	1225.22	1104.13	1617.0	1208.34	909.17	967.76	1561.89	1407.55	1037.29	1457.23	1359.57	1498.22	854.13	1540.37	909.17	1674.06	1081.39	1268.46	1143.1	954.43	1583.71	1242.34	921.88	928.3	1030.12	1467.37	1397.83	1331.57	1183.45
ARMCX5	351.14	201.25	356.05	426.57	281.09	323.03	384.34	454.09	414.87	444.72	197.09	190.34	381.68	312.0	277.2	312.0	264.03	336.79	318.57	309.83	307.69	356.05	237.86	264.03	189.02	189.02	260.38	318.57	285.03	285.03	271.48	356.05	366.09	279.14	269.6	291.04	392.44	255.0	161.02	209.84	447.82	395.18	336.79	417.77	366.09	395.18	191.67	379.04	226.54	320.8	199.85	204.07	251.48	325.29	376.41	289.02	351.14	289.02	258.57	429.54	397.93	371.22	62.12
ARNT	525.39	183.82	579.04	514.56	271.48	567.1	325.29	514.56	438.59	555.41	232.94	244.57	409.15	332.14	320.8	314.17	221.86	368.65	256.78	234.57	356.05	409.15	285.03	412.0	124.37	161.02	218.79	323.03	249.73	301.33	384.34	339.14	397.93	353.59	236.21	316.37	426.57	277.2	185.11	248.0	529.06	412.0	242.88	551.56	316.37	460.44	157.68	426.57	316.37	397.93	248.0	199.85	295.11	301.33	480.04	351.14	251.48	273.37	295.11	420.68	414.87	366.09	152.28
ASXL2	214.27	27.25	246.28	228.13	57.49	228.13	80.57	205.5	157.68	229.72	56.28	71.0	161.02	94.01	85.22	100.83	44.25	83.45	67.59	55.89	78.34	162.14	53.19	105.89	29.27	31.0	41.52	97.36	41.52	62.12	140.04	113.56	153.34	85.82	66.65	72.01	185.11	65.26	41.81	63.45	244.57	180.02	44.89	248.0	123.5	171.45	42.71	199.85	59.97	148.09	46.84	43.63	54.72	51.35	147.06	85.22	48.87	60.82	55.49	139.07	152.28	89.51	37.59
ATRN	460.44	299.25	514.56	555.41	303.44	651.58	265.87	575.03	444.72	483.38	162.14	236.21	435.55	351.14	309.83	409.15	171.45	267.73	289.02	232.94	275.28	441.64	232.94	301.33	146.03	205.5	191.67	376.41	214.27	191.67	392.44	486.75	273.37	323.03	312.0	271.48	435.55	285.03	170.25	343.89	480.04	438.59	236.21	525.39	353.59	525.39	241.19	571.05	301.33	426.57	186.4	209.84	198.47	241.19	376.41	307.69	248.0	264.03	202.66	417.77	457.25	343.89	195.72
ATRX	511.0	109.66	620.67	503.95	229.72	603.67	277.2	559.28	457.25	693.58	167.9	231.32	420.68	353.59	273.37	260.38	206.94	312.0	223.41	253.23	301.33	466.88	177.53	343.89	98.04	115.97	139.07	279.14	190.34	267.73	376.41	387.02	356.05	253.23	208.38	211.31	511.0	220.32	141.02	234.57	603.67	500.46	165.57	624.99	332.14	507.46	122.64	521.76	256.78	420.68	162.14	142.01	205.5	191.67	384.34	253.23	211.31	191.67	198.47	368.65	358.54	334.46	108.9
BMPR2	543.96	130.6	536.45	616.37	173.85	703.28	220.32	521.76	373.81	651.58	178.77	182.55	343.89	229.72	255.0	287.01	182.55	287.01	197.09	218.79	289.02	341.51	180.02	307.69	66.65	127.89	167.9	239.52	177.53	226.54	381.68	400.71	325.29	299.25	163.28	208.38	309.83	209.84	151.22	256.78	656.11	587.13	172.65	511.0	262.2	426.57	146.03	518.15	221.86	376.41	185.11	165.57	190.34	231.32	420.68	336.79	229.72	201.25	220.32	412.0	460.44	275.28	133.36
CASC4	2895.31	1191.69	1674.06	2119.22	1709.26	2351.53	1487.87	2104.58	1685.71	2335.28	587.13	1199.98	1991.0	1674.06	1340.84	1950.0	1832.01	2384.37	1721.16	1857.6	1909.85	1832.01	1628.26	1304.15	808.0	1008.9	1225.22	1407.55	1051.79	1883.54	1909.85	2224.63	3395.89	1250.98	1286.18	1167.14	3124.78	1304.15	988.12	1781.89	2627.46	2777.33	1088.92	2075.59	1781.89	1923.14	1378.57	2591.27	974.5	2178.83	1225.22	1250.98	1304.15	1340.84	1794.29	1369.04	2193.99	1397.83	1242.34	3018.3	2682.69	2104.58	368.65
CBX5	521.76	244.57	532.74	470.14	334.46	490.14	305.55	493.56	400.71	493.56	201.25	234.57	493.56	409.15	285.03	195.72	211.31	267.73	289.02	256.78	366.09	426.57	234.57	397.93	260.38	177.53	191.67	275.28	246.28	251.48	327.56	341.51	392.44	363.56	279.14	269.6	493.56	318.57	167.9	314.17	571.05	529.06	239.52	571.05	318.57	400.71	285.03	514.56	291.04	454.09	277.2	237.86	249.73	269.6	346.29	299.25	224.97	215.77	258.57	435.55	457.25	314.17	450.94
CHUK	339.14	138.1	246.28	271.48	277.2	265.87	217.27	323.03	297.17	329.84	125.24	164.42	264.03	194.36	221.86	198.47	197.09	211.31	214.27	231.32	228.13	332.14	217.27	283.05	112.77	162.14	197.09	255.0	165.57	226.54	234.57	275.28	303.44	234.57	193.01	176.29	363.56	201.25	177.53	206.94	241.19	392.44	189.02	291.04	231.32	287.01	143.01	336.79	214.27	265.87	148.09	178.77	165.57	190.34	255.0	166.73	199.85	241.19	206.94	297.17	279.14	244.57	74.58
CTDSPL2	346.29	87.03	387.02	406.31	135.24	450.94	181.28	366.09	295.11	476.71	100.13	136.19	273.37	189.02	151.22	153.34	121.79	193.01	151.22	136.19	193.01	291.04	149.12	159.9	87.65	73.03	122.64	185.11	132.44	158.79	217.27	229.72	251.48	143.01	118.43	142.01	406.31	120.1	100.83	178.77	444.72	316.37	99.43	420.68	194.36	325.29	104.42	392.44	164.42	249.73	126.12	92.05	153.34	162.14	237.86	170.25	124.37	125.24	135.24	373.81	262.2	241.19	84.63
CUL4B	738.29	334.46	848.22	836.53	373.81	1051.79	507.46	718.08	723.08	842.36	497.0	307.69	607.87	514.56	476.71	607.87	368.65	483.38	470.14	470.14	603.67	693.58	363.56	638.15	397.93	320.8	379.04	432.53	420.68	463.65	571.05	571.05	647.07	748.61	463.65	521.76	733.19	368.65	267.73	435.55	890.44	679.29	371.22	808.0	493.56	679.29	332.14	743.43	836.53	543.96	400.71	361.04	457.25	473.41	748.61	503.95	412.0	435.55	511.0	579.04	559.28	518.15	267.73
CYFIP1	2119.22	819.3	1977.24	1721.16	1119.56	1757.34	1388.16	2468.49	1551.09	1844.76	423.61	1088.92	1498.22	1487.87	1175.27	1617.0	1111.82	1583.71	1529.73	981.29	1119.56	1417.35	941.27	1437.15	1331.57	1119.56	684.02	1909.85	1104.13	1015.93	1594.73	1794.29	1991.0	1151.06	1242.34	1322.37	1909.85	1096.5	1051.79	967.76	1950.0	1519.15	1015.93	2502.97	1991.0	2319.15	954.43	1709.26	1143.1	1662.49	995.0	1051.79	866.07	1233.75	1508.65	1331.57	1268.46	1037.29	1313.23	1617.0	2090.03	1081.39	1183.45
DCAF16	460.44	178.77	583.07	651.58	312.0	450.94	287.01	532.74	397.93	651.58	217.27	239.52	507.46	373.81	299.25	323.03	277.2	376.41	283.05	318.57	371.22	460.44	356.05	368.65	587.13	165.57	197.09	373.81	265.87	329.84	400.71	447.82	432.53	348.71	307.69	297.17	543.96	291.04	218.79	307.69	435.55	414.87	289.02	543.96	384.34	551.56	173.85	483.38	591.22	406.31	231.32	164.42	299.25	264.03	447.82	366.09	264.03	307.69	305.55	521.76	429.54	325.29	148.09
DCAF7	1183.45	642.59	1477.58	1104.13	785.88	1340.84	713.11	1447.15	1044.52	1111.82	571.05	669.92	988.12	981.29	612.11	775.05	612.11	703.28	775.05	583.07	769.69	1088.92	642.59	629.35	483.38	551.56	420.68	674.59	595.34	599.49	915.51	1268.46	1073.91	620.67	713.11	748.61	1498.22	500.46	454.09	854.13	1208.34	819.3	543.96	1369.04	921.88	1369.04	547.75	1088.92	842.36	890.44	555.41	555.41	547.75	674.59	1151.06	698.41	624.99	698.41	738.29	934.76	941.27	603.67	660.68
DDX50	591.22	490.14	607.87	769.69	435.55	684.02	575.03	521.76	521.76	738.29	358.54	334.46	638.15	429.54	595.34	435.55	371.22	473.41	426.57	497.0	460.44	629.35	511.0	555.41	414.87	457.25	514.56	435.55	497.0	490.14	543.96	521.76	543.96	529.06	463.65	511.0	536.45	441.64	466.88	444.72	638.15	669.92	583.07	669.92	490.14	529.06	389.72	579.04	543.96	547.75	454.09	409.15	480.04	356.05	616.37	463.65	406.31	470.14	551.56	583.07	579.04	620.67	507.46
DDX6	1044.52	156.59	1286.18	1104.13	432.53	1135.2	511.0	1167.14	1044.52	1167.14	204.07	371.22	866.07	559.28	435.55	511.0	309.83	511.0	460.44	246.28	543.96	854.13	341.51	400.71	167.9	157.68	201.25	543.96	211.31	412.0	698.41	825.0	866.07	551.56	348.71	438.59	1183.45	348.71	186.4	429.54	1350.18	1023.0	204.07	1233.75	656.11	981.29	197.09	1167.14	591.22	753.83	217.27	289.02	305.55	291.04	743.43	486.75	314.17	312.0	384.34	854.13	813.63	450.94	111.99
DENND4C	518.15	119.26	753.83	679.29	218.79	684.02	287.01	607.87	368.65	660.68	226.54	239.52	536.45	336.79	256.78	361.04	186.4	346.29	275.28	239.52	303.44	529.06	206.94	312.0	88.26	120.1	141.02	341.51	211.31	242.88	387.02	473.41	389.72	299.25	239.52	279.14	525.39	208.38	99.43	242.88	688.78	503.95	194.36	1127.35	381.68	665.29	181.28	665.29	361.04	387.02	154.42	153.34	190.34	277.2	571.05	297.17	220.32	226.54	323.03	486.75	470.14	316.37	51.71
DGKH	28.24	3.03	60.39	25.17	3.72	39.5	11.82	28.04	23.25	31.45	4.43	7.69	22.75	5.96	16.75	38.67	5.77	14.03	4.39	8.85	8.92	13.32	7.0	12.36	1.83	6.26	8.71	23.25	12.93	12.74	17.25	9.41	14.67	5.63	4.82	10.55	18.03	10.71	10.24	5.59	38.12	28.45	12.55	46.18	10.24	21.78	7.88	37.05	3.53	16.75	9.63	6.57	11.73	10.55	15.0	18.43	14.67	6.52	7.17	16.27	25.54	18.84	11.82
DIS3	379.04	91.41	384.34	426.57	241.19	483.38	265.87	417.77	339.14	466.88	173.85	119.26	371.22	279.14	199.85	202.66	242.88	285.03	244.57	221.86	232.94	248.0	231.32	137.14	183.82	125.24	130.6	271.48	183.82	275.28	208.38	195.72	341.51	148.09	173.85	246.28	438.59	194.36	148.09	129.69	514.56	353.59	195.72	493.56	316.37	373.81	145.02	400.71	273.37	239.52	127.0	127.89	193.01	229.72	312.0	170.25	194.36	223.41	191.67	343.89	327.56	271.48	150.17
DLD	1407.55	954.43	1277.29	1295.13	1081.39	1617.0	1081.39	1277.29	1277.29	1457.23	620.67	988.12	1233.75	961.07	967.76	941.27	842.36	1008.9	988.12	981.29	872.1	1561.89	819.3	961.07	698.41	878.17	915.51	995.0	860.08	988.12	1001.93	981.29	1286.18	902.89	728.11	836.53	848.22	842.36	954.43	941.27	1991.0	1617.0	974.5	1437.15	1088.92	1051.79	808.0	1477.58	1119.56	1088.92	902.89	764.36	759.08	679.29	1304.15	738.29	733.19	1059.11	909.17	1001.93	1081.39	1044.52	698.41
DLST	1561.89	1008.9	1407.55	1457.23	1088.92	1447.15	1259.69	1407.55	1437.15	1340.84	633.73	1242.34	1313.23	1104.13	1183.45	1008.9	1127.35	1104.13	1066.48	961.07	1037.29	1242.34	928.3	954.43	915.51	647.07	1030.12	1295.13	1111.82	1096.5	1175.27	1023.0	1685.71	1081.39	1096.5	1199.98	1378.57	981.29	995.0	1111.82	1487.87	1331.57	1037.29	1651.0	1191.69	1304.15	854.13	1322.37	860.08	1259.69	1008.9	1119.56	1023.0	1044.52	1540.37	1127.35	902.89	1037.29	1073.91	1313.23	1369.04	1208.34	830.75
DNAJC27	83.45	19.82	84.04	77.79	36.01	70.01	54.72	67.59	65.72	87.65	35.76	30.78	77.25	33.06	57.89	53.95	31.22	71.0	39.79	38.67	51.71	58.3	49.21	53.19	30.12	26.1	28.04	61.25	50.27	60.82	45.21	55.1	52.45	43.02	32.36	47.17	77.79	38.67	28.86	40.36	76.71	69.03	31.0	84.63	57.08	43.94	24.28	64.8	57.49	62.12	43.32	37.05	44.89	60.82	55.49	62.12	39.22	35.0	50.63	66.18	66.65	85.82	19.53
EAF1	423.61	189.02	429.54	387.02	248.0	460.44	285.03	450.94	316.37	447.82	295.11	162.14	309.83	285.03	204.07	341.51	246.28	249.73	237.86	194.36	414.87	299.25	241.19	183.82	180.02	172.65	189.02	251.48	172.65	291.04	273.37	307.69	420.68	251.48	236.21	183.82	642.59	234.57	197.09	226.54	438.59	339.14	180.02	397.93	293.07	417.77	191.67	358.54	194.36	293.07	190.34	242.88	212.78	164.42	406.31	258.57	229.72	258.57	226.54	460.44	309.83	258.57	81.71
EML1	309.83	88.88	381.68	251.48	51.35	279.14	157.68	327.56	198.47	265.87	72.01	128.79	195.72	74.58	157.68	193.01	111.21	155.5	190.34	73.54	87.03	193.01	78.34	198.47	68.07	107.38	106.63	173.85	122.64	112.77	215.77	215.77	246.28	122.64	120.1	126.12	141.02	115.97	111.99	112.77	287.01	273.37	85.82	514.56	165.57	339.14	80.57	283.05	185.11	206.94	108.9	102.97	99.43	126.12	177.53	173.85	109.66	136.19	167.9	151.22	194.36	215.77	103.69
ENOX2	190.34	69.03	246.28	167.9	86.43	193.01	110.43	157.68	105.15	177.53	108.14	81.14	149.12	102.97	100.83	111.99	72.01	102.97	92.05	77.79	137.14	142.01	86.43	107.38	53.57	61.68	80.57	96.68	84.63	82.87	133.36	125.24	145.02	108.14	96.01	106.63	199.85	71.0	60.39	99.43	197.09	167.9	92.7	220.32	108.14	157.68	80.01	171.45	129.69	145.02	87.03	84.04	76.17	58.71	167.9	128.79	92.7	89.51	101.54	165.57	167.9	166.73	54.33
EPC1	466.88	267.73	743.43	540.19	403.5	583.07	454.09	563.18	476.71	583.07	303.44	363.56	642.59	379.04	387.02	525.39	314.17	651.58	389.72	441.64	497.0	616.37	525.39	521.76	258.57	215.77	323.03	457.25	503.95	521.76	547.75	529.06	253.23	371.22	368.65	607.87	470.14	346.29	291.04	395.18	642.59	490.14	587.13	607.87	316.37	529.06	285.03	514.56	563.18	503.95	373.81	305.55	429.54	575.03	571.05	583.07	660.68	457.25	525.39	529.06	500.46	579.04	167.9
ERC1	329.84	81.14	414.87	329.84	126.12	379.04	177.53	323.03	193.01	384.34	62.12	146.03	242.88	171.45	223.41	158.79	112.77	234.57	146.03	104.42	173.85	241.19	122.64	193.01	59.55	105.15	102.25	194.36	125.24	172.65	291.04	199.85	273.37	105.15	155.5	181.28	275.28	147.06	93.35	127.0	343.89	275.28	143.01	389.72	217.27	281.09	97.36	318.57	169.07	277.2	141.02	142.01	153.34	158.79	232.94	183.82	119.26	128.79	120.1	209.84	297.17	239.52	86.43
ERC2	17.64	2.56	35.25	25.35	5.96	31.67	20.86	16.15	23.25	34.75	2.73	12.18	26.67	4.74	27.84	3.59	7.22	19.25	10.47	7.63	16.03	26.1	3.66	6.62	4.9	9.34	15.8	7.51	13.52	29.48	13.62	10.47	24.81	9.63	11.3	8.78	46.84	22.59	13.03	8.19	19.25	15.34	22.26	22.92	18.97	6.62	10.16	37.59	3.66	13.22	14.35	4.21	12.0	10.71	24.46	11.82	22.59	15.68	12.36	11.13	22.26	18.16	2.36
ERCC4	120.1	32.59	126.12	122.64	60.39	178.77	58.71	149.12	111.99	120.1	60.82	34.26	94.67	54.72	73.03	57.49	26.86	82.87	61.68	52.45	71.5	89.51	37.85	62.56	25.72	34.26	39.79	77.25	41.52	52.82	105.89	81.14	105.89	54.33	56.68	92.05	127.0	54.33	32.59	58.3	165.57	111.21	46.5	127.89	66.65	123.5	37.85	121.79	46.5	100.13	40.93	36.53	46.84	62.12	86.43	43.63	43.32	52.45	55.49	123.5	122.64	73.03	15.45
ERCC6L2	511.0	102.97	633.73	532.74	232.94	540.19	224.97	532.74	299.25	514.56	120.1	177.53	346.29	223.41	229.72	297.17	159.9	323.03	191.67	191.67	271.48	371.22	180.02	275.28	104.42	94.01	135.24	309.83	121.79	258.57	303.44	283.05	368.65	172.65	191.67	211.31	435.55	155.5	131.51	190.34	511.0	426.57	163.28	551.56	279.14	426.57	103.69	438.59	212.78	457.25	143.01	139.07	205.5	163.28	332.14	262.2	183.82	159.9	150.17	435.55	473.41	265.87	56.28
