	TCGA.CH.5739.01A.11R.1580.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.V1.A9ZG.01A.11R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A6E6.01A.11R.A311.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7231.01A.11R.2118.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5769.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.ZG.A9LZ.01A.11R.A41O.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.VN.A88L.01A.11R.A352.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ATG5	450.94	457.25	171.45	256.78	473.41	435.55	323.03	460.44	339.14	543.96	190.34	186.4	368.65	414.87	551.56	406.31	447.82	234.57	358.54	363.56	368.65	186.4	379.04	543.96	237.86	208.38	239.52	255.0	171.45	356.05	293.07	373.81	299.25	441.64	379.04	285.03	343.89	348.71	486.75	343.89	417.77	493.56	414.87	285.03	412.0	239.52	423.61	332.14	264.03	305.55	269.6	325.29	297.17	358.54	409.15	109.66	320.8	460.44	336.79	187.71	209.84	373.81	583.07	320.8	387.02	251.48	223.41	486.75	218.79	353.59	400.71	460.44	320.8	457.25	454.09	348.71	470.14	285.03	414.87	275.28	307.69	447.82	379.04	441.64	226.54	320.8	295.11	171.45	371.22	376.41	525.39	226.54	387.02	368.65	454.09	373.81	267.73	395.18	189.02	325.29	571.05	256.78	500.46	503.95	607.87	540.19	493.56	273.37	454.09	197.09	253.23	361.04	521.76	353.59	429.54	368.65	366.09	343.89	193.01	361.04	417.77	363.56	371.22	748.61	457.25
ATP7B	262.2	82.29	43.94	72.52	143.01	214.27	89.51	189.02	40.36	130.6	47.5	44.57	93.35	260.38	129.69	373.81	293.07	91.41	173.85	206.94	202.66	54.33	127.89	204.07	102.97	105.89	41.81	65.72	31.22	173.85	172.65	58.71	76.17	75.11	80.57	95.34	109.66	189.02	63.89	146.03	93.35	116.78	81.71	118.43	69.52	79.45	323.03	307.69	81.14	209.84	70.51	181.28	102.25	77.25	102.25	77.79	102.97	95.34	139.07	90.14	28.24	80.57	299.25	135.24	102.25	87.03	111.99	96.01	54.72	113.56	152.28	102.25	80.57	239.52	124.37	127.0	204.07	74.58	195.72	71.5	208.38	103.69	183.82	140.04	56.68	92.05	103.69	112.77	130.6	68.07	208.38	167.9	77.25	279.14	341.51	221.86	70.51	215.77	58.71	182.55	145.02	241.19	58.71	98.73	172.65	67.12	111.21	41.22	84.04	93.35	78.34	121.79	152.28	145.02	68.07	57.08	161.02	89.51	78.34	77.79	88.88	201.25	197.09	57.49	85.22
ATP9A	603.67	708.18	309.83	397.93	525.39	909.17	327.56	981.29	279.14	902.89	473.41	255.0	486.75	460.44	813.63	1015.93	1111.82	381.68	583.07	738.29	884.29	532.74	314.17	775.05	480.04	423.61	406.31	329.84	417.77	575.03	490.14	361.04	373.81	500.46	476.71	480.04	529.06	607.87	260.38	483.38	503.95	397.93	371.22	629.35	277.2	417.77	896.64	669.92	406.31	361.04	309.83	412.0	493.56	379.04	813.63	204.07	275.28	872.1	703.28	387.02	318.57	457.25	780.44	460.44	902.89	260.38	511.0	616.37	463.65	379.04	511.0	341.51	909.17	854.13	703.28	733.19	647.07	368.65	656.11	483.38	620.67	583.07	493.56	934.76	351.14	316.37	281.09	429.54	301.33	753.83	896.64	616.37	343.89	974.5	967.76	543.96	395.18	941.27	275.28	403.5	808.0	579.04	457.25	507.46	860.08	423.61	688.78	295.11	397.93	389.72	473.41	599.49	665.29	693.58	486.75	256.78	532.74	318.57	450.94	470.14	412.0	660.68	633.73	409.15	463.65
BBS12	57.08	59.13	29.27	11.04	63.0	75.64	34.75	82.29	13.93	69.52	42.41	49.21	47.84	26.67	88.88	73.54	61.68	35.0	28.04	26.28	54.33	18.03	29.06	62.56	31.22	42.71	26.28	24.28	14.24	67.12	30.78	25.72	41.81	52.08	36.01	38.95	23.93	65.26	12.27	43.02	76.71	33.54	23.59	48.52	26.1	23.59	57.89	36.27	53.19	37.05	22.26	15.68	43.32	22.1	49.21	27.25	33.06	87.65	51.71	23.93	37.05	29.27	77.25	60.39	64.8	21.78	29.48	43.32	52.82	36.79	48.18	31.22	35.76	50.27	80.57	57.49	27.05	25.35	45.21	30.56	27.25	31.0	75.11	48.52	31.22	19.82	26.86	32.59	32.82	39.79	113.56	48.52	30.56	69.03	69.03	34.75	34.75	80.57	34.02	44.57	56.68	25.91	41.22	48.18	62.12	33.3	47.17	30.56	45.85	27.64	24.99	56.68	76.17	40.64	36.01	20.86	52.08	25.54	11.73	29.91	36.27	38.67	36.79	40.93	38.4
BBS7	170.25	239.52	98.73	166.73	152.28	205.5	105.15	264.03	120.94	239.52	133.36	77.79	128.79	144.01	258.57	242.88	256.78	112.77	137.14	107.38	220.32	157.68	130.6	237.86	125.24	124.37	103.69	143.01	88.26	163.28	145.02	146.03	171.45	113.56	129.69	145.02	94.01	130.6	102.97	106.63	269.6	164.42	129.69	228.13	137.14	194.36	198.47	124.37	131.51	154.42	135.24	125.24	116.78	173.85	191.67	54.33	87.03	194.36	205.5	173.85	88.88	144.01	226.54	110.43	239.52	84.04	176.29	165.57	111.21	116.78	114.36	157.68	205.5	163.28	195.72	187.71	193.01	127.89	177.53	81.14	111.99	209.84	178.77	147.06	119.26	127.0	115.16	112.77	170.25	166.73	251.48	163.28	102.25	215.77	181.28	140.04	118.43	217.27	74.06	115.97	195.72	167.9	122.64	140.04	218.79	135.24	264.03	105.89	125.24	108.14	173.85	173.85	171.45	154.42	164.42	125.24	217.27	146.03	59.55	137.14	132.44	98.73	180.02	143.01	110.43
BCLAF1	1909.85	1457.23	470.14	764.36	1159.07	2047.0	860.08	2367.9	872.1	2090.03	647.07	629.35	753.83	902.89	2303.12	2163.77	1963.57	603.67	1167.14	1331.57	2384.37	995.0	836.53	2163.77	860.08	1023.0	616.37	866.07	688.78	1378.57	1096.5	934.76	947.83	796.86	941.27	1037.29	1104.13	1540.37	651.58	934.76	1127.35	1127.35	884.29	1883.54	775.05	836.53	1909.85	1216.75	1059.11	1127.35	813.63	1081.39	1073.91	981.29	1350.18	575.03	366.09	1923.14	1250.98	995.0	493.56	961.07	2004.85	954.43	1639.59	547.75	1277.29	1268.46	981.29	703.28	1088.92	1208.34	1721.16	1594.73	1832.01	1605.83	1397.83	808.0	1388.16	753.83	890.44	2032.85	1359.57	1639.59	954.43	830.75	890.44	928.3	1119.56	1721.16	2193.99	1340.84	624.99	1950.0	2555.58	1159.07	669.92	1977.24	529.06	1119.56	1977.24	1111.82	1151.06	1331.57	1883.54	890.44	1857.6	599.49	759.08	651.58	791.35	1250.98	1437.15	1508.65	928.3	483.38	1242.34	928.3	1015.93	988.12	842.36	1135.2	1073.91	995.0	679.29
BZW1	2224.63	3564.78	1277.29	1427.22	3794.3	3124.78	2090.03	4802.93	1378.57	3768.09	1407.55	2163.77	2224.63	2255.7	5441.3	3325.99	4328.55	2303.12	2555.58	2555.58	4123.49	1447.15	1963.57	3103.19	1447.15	2351.53	1745.2	1781.89	1233.75	3081.75	1806.78	2148.82	2133.97	2645.74	1674.06	1844.76	2417.67	2956.17	1883.54	2434.5	2609.3	1963.57	1963.57	3212.66	1628.26	1651.0	3325.99	2682.69	1883.54	2104.58	1733.13	1806.78	1583.71	2351.53	2855.44	1397.83	1870.53	3280.18	3372.43	1651.0	1909.85	1662.49	3955.48	2047.0	4802.93	1487.87	3325.99	2148.82	2451.44	1674.06	2468.49	2935.74	3146.52	3419.52	3039.3	2835.7	3018.3	1977.24	2935.74	1304.15	1508.65	4328.55	2573.36	2032.85	2209.26	1551.09	1991.0	1397.83	2193.99	3146.52	3768.09	3955.48	2163.77	4543.8	2976.74	2119.22	2224.63	3768.09	1806.78	2451.44	3768.09	1709.26	2400.97	2682.69	3820.7	2384.37	5292.48	1709.26	2119.22	1685.71	1769.57	2720.15	3639.7	2609.3	2271.4	2193.99	2777.33	1733.13	1977.24	1709.26	2701.35	2520.38	2720.15	3018.3	2255.7
C2orf69	275.28	264.03	89.51	136.19	138.1	170.25	146.03	289.02	190.34	301.33	115.16	143.01	134.3	161.02	361.04	169.07	218.79	165.57	199.85	165.57	260.38	114.36	131.51	221.86	135.24	166.73	130.6	125.24	110.43	116.78	137.14	121.79	113.56	121.79	98.04	145.02	141.02	164.42	126.12	139.07	220.32	122.64	142.01	163.28	121.79	131.51	175.07	173.85	108.9	119.26	159.9	100.83	117.6	151.22	193.01	57.49	104.42	309.83	205.5	144.01	114.36	98.04	267.73	135.24	185.11	95.34	150.17	178.77	154.42	113.56	135.24	169.07	217.27	187.71	303.44	256.78	217.27	212.78	156.59	92.05	128.79	190.34	166.73	173.85	122.64	110.43	138.1	150.17	146.03	177.53	260.38	239.52	92.05	169.07	204.07	152.28	209.84	187.71	89.51	123.5	256.78	162.14	166.73	156.59	246.28	125.24	316.37	82.87	120.94	96.68	177.53	128.79	265.87	206.94	104.42	123.5	162.14	118.43	107.38	109.66	130.6	159.9	133.36	102.25	166.73
C4orf46	98.04	105.89	43.63	48.52	55.49	94.01	72.01	108.9	62.12	100.13	37.05	36.79	75.11	75.11	108.9	113.56	76.71	66.65	74.06	87.03	102.25	107.38	50.63	108.14	49.56	85.22	62.12	61.25	69.52	61.25	54.72	49.56	67.59	53.95	66.18	75.11	78.34	70.01	47.84	54.72	75.64	59.97	49.56	100.83	54.33	82.29	125.24	59.55	81.14	66.18	48.87	105.15	68.07	94.67	80.01	71.5	41.81	122.64	70.01	89.51	55.49	55.1	120.94	65.72	57.08	56.28	68.07	69.03	50.63	53.19	78.34	50.27	62.56	116.78	107.38	94.67	86.43	126.12	101.54	57.49	41.22	69.52	74.06	110.43	68.55	61.25	53.57	69.03	98.73	102.25	153.34	92.7	43.02	76.71	80.01	79.45	81.14	88.26	57.49	81.14	92.7	79.45	69.52	80.57	121.79	63.0	123.5	48.18	52.82	44.89	75.64	75.11	117.6	93.35	45.53	57.49	72.01	55.89	117.6	55.89	45.53	72.01	100.83	54.72	70.01
C9orf85	316.37	392.44	283.05	273.37	429.54	435.55	316.37	376.41	260.38	400.71	279.14	293.07	314.17	351.14	435.55	376.41	389.72	232.94	392.44	409.15	366.09	237.86	232.94	438.59	271.48	339.14	264.03	295.11	224.97	246.28	273.37	343.89	305.55	264.03	226.54	373.81	392.44	400.71	279.14	318.57	426.57	301.33	273.37	323.03	285.03	318.57	406.31	400.71	309.83	312.0	212.78	429.54	320.8	400.71	392.44	316.37	325.29	376.41	332.14	320.8	327.56	303.44	497.0	353.59	316.37	253.23	217.27	346.29	295.11	309.83	329.84	271.48	341.51	518.15	373.81	325.29	329.84	579.04	460.44	265.87	371.22	384.34	356.05	473.41	264.03	277.2	301.33	253.23	447.82	406.31	371.22	318.57	351.14	301.33	285.03	320.8	336.79	346.29	293.07	339.14	371.22	314.17	412.0	327.56	323.03	301.33	351.14	234.57	253.23	376.41	289.02	303.44	329.84	368.65	293.07	285.03	234.57	281.09	220.32	293.07	253.23	379.04	466.88	339.14	291.04
CAPZA1	1259.69	1359.57	866.07	1151.06	1088.92	1304.15	1159.07	1991.0	947.83	1498.22	974.5	1175.27	1191.69	1051.79	1709.26	1417.35	1369.04	1199.98	1135.2	1277.29	1508.65	1015.93	1135.2	1628.26	1023.0	1295.13	872.1	1037.29	825.0	1350.18	1359.57	954.43	1175.27	995.0	1096.5	1191.69	1208.34	995.0	941.27	1340.84	1331.57	988.12	1104.13	1605.83	981.29	1322.37	1388.16	1295.13	1199.98	1617.0	1119.56	1467.37	1066.48	928.3	1397.83	941.27	830.75	1605.83	1242.34	1242.34	961.07	1167.14	1733.13	1322.37	1268.46	1051.79	1183.45	1233.75	1135.2	1037.29	1208.34	1313.23	1295.13	1605.83	1407.55	1369.04	1268.46	974.5	1639.59	921.88	954.43	1322.37	1216.75	1340.84	1191.69	1073.91	1111.82	1277.29	1369.04	1447.15	1498.22	1529.73	941.27	1467.37	1477.58	1143.1	1286.18	1397.83	974.5	1135.2	1540.37	1313.23	1519.15	1277.29	1487.87	1104.13	1378.57	1037.29	941.27	1059.11	921.88	1135.2	1697.45	1427.22	1044.52	995.0	1277.29	1081.39	1397.83	974.5	915.51	1175.27	1529.73	1030.12	1151.06
CCDC6	1051.79	1369.04	525.39	429.54	921.88	1066.48	435.55	1001.93	358.54	1350.18	454.09	473.41	633.73	591.22	2319.15	1001.93	1135.2	511.0	642.59	921.88	1605.83	490.14	327.56	1051.79	490.14	441.64	366.09	447.82	368.65	483.38	466.88	450.94	493.56	559.28	511.0	507.46	909.17	665.29	273.37	1066.48	928.3	457.25	457.25	423.61	373.81	325.29	988.12	1001.93	497.0	1350.18	346.29	603.67	507.46	287.01	1304.15	447.82	559.28	1008.9	1159.07	490.14	384.34	381.68	1378.57	842.36	656.11	348.71	802.41	890.44	571.05	426.57	660.68	454.09	830.75	1447.15	1143.1	1030.12	647.07	693.58	1008.9	493.56	825.0	633.73	902.89	693.58	660.68	371.22	483.38	470.14	599.49	1081.39	1199.98	1572.76	476.71	947.83	941.27	848.22	607.87	954.43	384.34	688.78	1066.48	603.67	748.61	624.99	1015.93	483.38	854.13	493.56	435.55	444.72	429.54	764.36	1216.75	967.76	476.71	507.46	703.28	429.54	376.41	563.18	403.5	1037.29	830.75	409.15	529.06
CCNC	1417.35	1407.55	536.45	674.59	1628.26	1015.93	872.1	1896.65	1561.89	1508.65	688.78	607.87	1044.52	1183.45	2271.4	1023.0	1183.45	559.28	1322.37	1073.91	1397.83	540.19	1143.1	1551.09	583.07	842.36	567.1	708.18	454.09	1407.55	1242.34	1268.46	884.29	961.07	872.1	947.83	1277.29	902.89	866.07	1044.52	1605.83	967.76	1331.57	769.69	1322.37	642.59	1183.45	1159.07	780.44	1286.18	954.43	1685.71	718.08	647.07	1561.89	366.09	813.63	1277.29	1175.27	679.29	775.05	1127.35	1674.06	1127.35	1175.27	842.36	759.08	1417.35	684.02	890.44	1233.75	1167.14	1397.83	1551.09	1583.71	1304.15	1697.45	1183.45	1721.16	780.44	866.07	1427.22	1427.22	1639.59	1167.14	1191.69	1216.75	819.3	1519.15	1628.26	1572.76	638.15	836.53	1259.69	1127.35	1096.5	902.89	1388.16	679.29	1159.07	1685.71	909.17	1322.37	1183.45	1359.57	1096.5	1561.89	638.15	981.29	473.41	848.22	1044.52	1407.55	1119.56	967.76	1143.1	1250.98	1216.75	583.07	981.29	1183.45	1359.57	1561.89	1127.35	1127.35
CCNY	1030.12	988.12	647.07	497.0	775.05	947.83	669.92	1088.92	921.88	1183.45	866.07	435.55	607.87	698.41	1001.93	988.12	890.44	723.08	684.02	988.12	961.07	743.43	559.28	1111.82	785.88	872.1	532.74	647.07	708.18	796.86	796.86	703.28	713.11	713.11	890.44	848.22	860.08	1088.92	579.04	896.64	684.02	642.59	764.36	738.29	591.22	500.46	1044.52	802.41	967.76	698.41	759.08	647.07	693.58	620.67	1066.48	723.08	480.04	967.76	866.07	1143.1	629.35	718.08	981.29	547.75	890.44	775.05	753.83	825.0	447.82	536.45	796.86	808.0	1015.93	830.75	967.76	791.35	1088.92	1088.92	642.59	947.83	660.68	1104.13	1044.52	1350.18	775.05	575.03	616.37	981.29	693.58	808.0	1104.13	808.0	559.28	988.12	1037.29	775.05	830.75	890.44	679.29	785.88	1001.93	575.03	878.17	934.76	1208.34	703.28	1096.5	612.11	603.67	612.11	1008.9	688.78	1183.45	941.27	743.43	620.67	595.34	769.69	555.41	633.73	490.14	669.92	591.22	708.18	713.11
CDKL5	30.56	47.17	2.07	24.28	43.94	94.67	10.71	57.49	16.75	76.71	32.36	4.06	14.03	21.32	69.52	105.15	125.24	10.0	17.0	31.0	72.52	18.84	6.84	64.8	88.26	13.93	3.08	19.39	10.79	28.24	43.63	47.5	7.17	30.56	23.25	19.68	52.82	14.56	15.91	17.51	7.88	23.76	47.84	82.87	21.47	5.96	31.67	27.44	37.32	2.32	13.93	14.78	13.32	24.81	50.27	1.71	1.23	58.3	17.77	25.72	8.85	31.0	115.97	11.04	88.88	3.92	47.17	27.84	22.43	4.82	24.81	11.91	189.02	53.95	45.53	38.12	49.56	12.74	31.9	26.47	12.36	54.33	29.7	24.81	8.38	44.89	17.51	29.91	12.64	32.82	73.03	31.45	3.08	96.68	86.43	46.84	8.45	123.5	7.69	20.26	64.8	7.28	8.51	10.39	57.49	23.08	35.5	6.06	25.91	9.7	34.02	13.52	20.56	58.71	47.5	13.22	15.8	19.82	10.16	41.22	15.8	41.81	31.0	28.65	9.7
COPS4	733.19	713.11	679.29	587.13	808.0	723.08	629.35	1023.0	665.29	981.29	669.92	656.11	629.35	599.49	928.3	896.64	860.08	599.49	791.35	860.08	769.69	651.58	651.58	915.51	693.58	830.75	486.75	698.41	463.65	836.53	660.68	802.41	647.07	753.83	785.88	656.11	679.29	915.51	457.25	669.92	915.51	698.41	665.29	954.43	665.29	656.11	791.35	638.15	708.18	703.28	616.37	563.18	642.59	718.08	759.08	1088.92	669.92	854.13	813.63	728.11	599.49	698.41	915.51	624.99	825.0	684.02	660.68	860.08	802.41	620.67	693.58	620.67	866.07	718.08	813.63	665.29	723.08	547.75	890.44	620.67	547.75	769.69	974.5	748.61	703.28	660.68	684.02	607.87	748.61	693.58	848.22	733.19	825.0	444.72	813.63	624.99	708.18	759.08	514.56	791.35	764.36	629.35	738.29	842.36	974.5	669.92	848.22	493.56	738.29	470.14	603.67	688.78	884.29	775.05	738.29	603.67	642.59	612.11	387.02	559.28	525.39	406.31	825.0	947.83	866.07
CSDE1	7032.37	8078.22	3103.19	4095.0	5292.48	7857.29	4639.29	9088.59	3794.3	8538.88	4038.61	2976.74	4671.57	3928.15	8363.13	7911.95	6471.02	4607.24	5366.37	6426.31	7433.4	4450.27	4298.64	7537.18	4704.07	4869.99	4123.49	4869.99	4095.0	6294.04	4607.24	5594.3	4575.41	5517.27	6037.61	5255.91	5147.73	5329.3	4010.71	5076.84	4481.23	5147.73	4210.15	4937.99	4010.71	6121.9	5329.3	4802.93	4972.34	4543.8	4181.07	5112.16	5366.37	4639.29	6164.49	2555.58	3257.52	8421.31	4836.35	4038.61	4450.27	4869.99	7537.18	5555.65	6250.56	4607.24	4328.55	5329.3	4639.29	3982.99	5711.87	4512.4	5672.41	6516.03	6699.25	5403.7	5441.3	5441.3	6207.38	4450.27	3874.05	5672.41	5633.22	5633.22	4869.99	3847.29	5147.73	4704.07	5292.48	5441.3	7695.57	4671.57	3928.15	6121.9	7230.1	4869.99	5112.16	6792.79	3372.43	4736.79	6652.97	3847.29	6792.79	5076.84	8363.13	5183.54	6792.79	3325.99	4607.24	4298.64	3443.31	4903.87	7180.15	5913.33	4607.24	3540.14	5672.41	4358.66	3124.78	4704.07	3124.78	4869.99	5672.41	5292.48	5219.6
CUL2	483.38	435.55	237.86	285.03	420.68	423.61	305.55	638.15	301.33	587.13	275.28	159.9	307.69	297.17	651.58	457.25	470.14	312.0	356.05	426.57	457.25	291.04	267.73	536.45	318.57	420.68	237.86	332.14	218.79	368.65	361.04	318.57	307.69	320.8	329.84	289.02	353.59	265.87	269.6	329.84	271.48	358.54	269.6	463.65	305.55	251.48	420.68	267.73	320.8	363.56	279.14	358.54	256.78	289.02	403.5	239.52	273.37	525.39	262.2	341.51	271.48	334.46	575.03	307.69	348.71	314.17	295.11	368.65	215.77	255.0	332.14	366.09	420.68	379.04	476.71	353.59	381.68	295.11	348.71	239.52	277.2	507.46	358.54	371.22	339.14	255.0	314.17	314.17	283.05	392.44	612.11	363.56	303.44	417.77	447.82	351.14	320.8	371.22	309.83	325.29	426.57	265.87	353.59	387.02	511.0	329.84	540.19	231.32	323.03	221.86	389.72	301.33	463.65	511.0	332.14	299.25	258.57	258.57	241.19	283.05	262.2	327.56	329.84	366.09	297.17
CYFIP1	1844.76	1769.57	819.3	1088.92	1709.26	1977.24	1295.13	1977.24	1119.56	1757.34	1286.18	791.35	1304.15	1119.56	1963.57	2591.27	2468.49	1073.91	1008.9	1073.91	2400.97	1159.07	1286.18	1844.76	1540.37	1572.76	1059.11	1175.27	1088.92	1721.16	1487.87	1175.27	1167.14	1216.75	1159.07	1487.87	1674.06	1936.53	1111.82	1407.55	1175.27	1583.71	1529.73	1561.89	981.29	1175.27	1857.6	1685.71	1119.56	1111.82	941.27	1674.06	1191.69	1437.15	1923.14	1331.57	1119.56	2004.85	1437.15	1208.34	684.02	1340.84	2367.9	1183.45	1806.78	1628.26	1909.85	1662.49	1208.34	1104.13	1407.55	1015.93	2956.17	1757.34	1936.53	1794.29	1991.0	1151.06	1417.35	1242.34	1322.37	1909.85	1151.06	1896.65	1081.39	1096.5	1143.1	967.76	1397.83	1498.22	1950.0	1721.16	1015.93	2224.63	2502.97	1991.0	1037.29	2319.15	954.43	1583.71	1709.26	1143.1	1313.23	1498.22	1662.49	1023.0	1594.73	995.0	1250.98	1143.1	1477.58	1250.98	1322.37	1936.53	1208.34	1051.79	1350.18	866.07	1233.75	1331.57	1268.46	1781.89	1572.76	1081.39	967.76
DAG1	1175.27	1167.14	753.83	830.75	1487.87	1477.58	638.15	1225.22	921.88	1313.23	813.63	559.28	1059.11	928.3	1709.26	2004.85	1617.0	785.88	1088.92	1059.11	1781.89	1059.11	808.0	1167.14	1044.52	713.11	684.02	808.0	878.17	1250.98	954.43	896.64	775.05	1037.29	1030.12	988.12	1008.9	698.41	660.68	1030.12	995.0	819.3	842.36	1037.29	620.67	684.02	1143.1	1111.82	703.28	909.17	738.29	660.68	825.0	583.07	1277.29	536.45	629.35	1397.83	1529.73	921.88	607.87	884.29	1322.37	1073.91	1322.37	808.0	974.5	974.5	902.89	796.86	1388.16	738.29	1233.75	1378.57	1508.65	1340.84	1119.56	848.22	1104.13	836.53	769.69	1119.56	1208.34	1259.69	769.69	842.36	723.08	780.44	708.18	1030.12	1651.0	1369.04	603.67	1437.15	2163.77	1233.75	819.3	1745.2	559.28	1313.23	1617.0	872.1	1030.12	1066.48	1397.83	890.44	1073.91	642.59	796.86	830.75	848.22	1051.79	1135.2	1023.0	836.53	791.35	947.83	633.73	884.29	884.29	679.29	1225.22	1127.35	753.83	884.29
