	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU1J.0326.SM.46MUM	GTEX.13FH7.0526.SM.5IJF8	GTEX.11EQ9.0726.SM.5A5K2	GTEX.14BMU.0926.SM.5S2QB	TCGA.CV.7424.11A.01R.2081.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07
CDC27	559.28	438.59	463.65	723.08	599.49	603.67	543.96	529.06	420.68	260.38	285.03	146.03	289.02	167.9
CHMP1B	728.11	669.92	713.11	1350.18	974.5	1081.39	1457.23	1127.35	521.76	493.56	420.68	583.07	387.02	460.44
CLP1	234.57	164.42	201.25	253.23	283.05	309.83	346.29	277.2	218.79	139.07	128.79	256.78	146.03	169.07
CNTF	9.56	9.56	6.84	22.59	23.76	22.92	28.86	15.34	6.36	3.41	3.56	6.11	5.77	1.66
COPS2	961.07	1030.12	921.88	1378.57	1088.92	1051.79	1467.37	1250.98	669.92	559.28	473.41	536.45	470.14	173.85
CRIM1	669.92	312.0	379.04	361.04	483.38	559.28	559.28	348.71	123.5	86.43	73.54	101.54	157.68	105.15
CS	3325.99	3325.99	4095.0	4181.07	4358.66	4152.18	3280.18	3467.27	1561.89	1286.18	1104.13	854.13	915.51	769.69
CSTB	1432396.03	2805836.45	5931640.6	43537.38	52135.28	84694.64	45072.75	39237.98	2255.7	3515.68	3639.7	1909.85	2956.17	1781.89
CUL5	208.38	180.02	211.31	239.52	293.07	271.48	249.73	244.57	150.17	115.16	108.9	140.04	114.36	77.79
CYB5R4	289.02	231.32	241.19	460.44	406.31	476.71	417.77	473.41	159.9	103.69	46.5	70.01	96.68	72.01
DCLRE1B	108.14	82.29	80.57	106.63	115.97	93.35	115.16	57.89	36.27	32.59	25.91	24.99	35.25	18.56
DDX18	764.36	567.1	460.44	909.17	1008.9	884.29	1322.37	830.75	406.31	312.0	244.57	316.37	371.22	214.27
DHX15	1781.89	1674.06	1447.15	2384.37	2335.28	2163.77	2895.31	1806.78	802.41	780.44	647.07	595.34	703.28	406.31
DHX29	314.17	353.59	353.59	525.39	480.04	473.41	529.06	414.87	215.77	175.07	165.57	154.42	145.02	89.51
DHX36	511.0	555.41	368.65	733.19	693.58	651.58	764.36	500.46	387.02	279.14	293.07	305.55	237.86	158.79
DLAT	507.46	466.88	480.04	902.89	915.51	723.08	713.11	571.05	463.65	389.72	195.72	151.22	212.78	144.01
DNAJC24	136.19	97.36	83.45	185.11	137.14	205.5	194.36	120.1	100.83	62.56	34.75	37.59	53.19	22.26
EIF1AD	503.95	460.44	579.04	647.07	616.37	587.13	698.41	571.05	486.75	463.65	285.03	587.13	435.55	234.57
EIF1AX	1081.39	947.83	934.76	1794.29	2502.97	1397.83	2875.3	1277.29	708.18	638.15	466.88	551.56	791.35	379.04
EIF4G3	796.86	660.68	703.28	909.17	802.41	866.07	896.64	753.83	293.07	341.51	260.38	130.6	139.07	71.0
EPT1	209.84	231.32	242.88	341.51	329.84	336.79	384.34	265.87	246.28	211.31	202.66	145.02	163.28	181.28
ERCC8	94.67	79.45	76.17	121.79	113.56	141.02	130.6	86.43	36.79	50.63	52.45	49.56	37.59	45.85
EXOC8	96.01	104.42	87.65	212.78	170.25	139.07	180.02	157.68	116.78	75.11	58.3	87.65	63.45	60.82
FAM136A	575.03	511.0	435.55	848.22	878.17	878.17	947.83	748.61	595.34	480.04	529.06	507.46	624.99	463.65
FGD4	76.71	68.07	81.14	271.48	356.05	320.8	343.89	183.82	68.55	81.71	52.45	59.97	71.5	78.34
GNPDA2	143.01	145.02	142.01	158.79	223.41	218.79	152.28	183.82	53.19	43.02	46.84	16.39	46.84	17.38
GOLGA4	540.19	733.19	728.11	2701.35	1794.29	1369.04	1225.22	1313.23	728.11	595.34	466.88	529.06	583.07	127.89
GPATCH11	81.14	82.29	62.12	153.34	150.17	137.14	139.07	107.38	62.12	50.63	45.21	34.75	43.63	9.56
GTF3C4	147.06	120.94	115.16	169.07	177.53	220.32	191.67	209.84	59.55	42.71	26.1	47.5	50.27	36.01
HARS	1295.13	1199.98	1295.13	1605.83	1295.13	1794.29	1832.01	1268.46	1059.11	954.43	890.44	1199.98	928.3	679.29
HBS1L	642.59	669.92	633.73	974.5	1073.91	1051.79	954.43	842.36	480.04	441.64	429.54	265.87	444.72	356.05
IGF2BP3	208.38	87.03	164.42	114.36	144.01	246.28	177.53	136.19	0.69	0.61	0.0	0.64	0.0	0.0
IL1RN	619179.28	2408994.05	2053992.24	53230.77	32994.92	47313.67	42346.82	21026.65	3103.19	2451.44	1225.22	9876.98	1427.22	1066.48
KIAA1958	18.29	18.03	27.44	96.01	66.65	83.45	70.01	64.34	21.78	22.59	16.39	17.9	14.03	18.43
KIF16B	175.07	145.02	151.22	269.6	264.03	297.17	279.14	201.25	105.89	92.05	58.3	52.82	61.25	43.02
KIF2A	329.84	256.78	293.07	358.54	412.0	507.46	555.41	327.56	92.7	64.34	35.76	30.78	36.27	18.16
KPNA3	703.28	532.74	486.75	507.46	579.04	493.56	536.45	497.0	334.46	287.01	271.48	204.07	236.21	108.14
L2HGDH	75.64	109.66	77.79	201.25	187.71	122.64	153.34	107.38	52.08	39.5	48.52	61.68	42.71	80.57
LMBR1	297.17	265.87	267.73	447.82	336.79	507.46	633.73	387.02	237.86	202.66	248.0	241.19	231.32	258.57
LMTK2	251.48	232.94	242.88	493.56	409.15	447.82	460.44	392.44	135.24	85.82	83.45	42.41	76.17	63.89
MAP2K4	500.46	575.03	547.75	723.08	665.29	669.92	665.29	575.03	255.0	176.29	144.01	152.28	201.25	175.07
MAPK1	1081.39	1008.9	1111.82	1745.2	1662.49	1883.54	1781.89	1806.78	441.64	323.03	226.54	187.71	323.03	307.69
MTM1	153.34	165.57	148.09	285.03	198.47	214.27	264.03	202.66	140.04	157.68	194.36	141.02	115.97	145.02
MTMR12	267.73	358.54	346.29	551.56	429.54	379.04	400.71	343.89	190.34	134.3	146.03	127.0	167.9	164.42
MTPAP	186.4	172.65	139.07	229.72	237.86	248.0	241.19	224.97	143.01	129.69	87.65	149.12	132.44	88.88
NAA35	249.73	256.78	226.54	341.51	339.14	368.65	373.81	279.14	120.94	100.13	74.58	107.38	72.52	72.01
NAPG	295.11	307.69	297.17	587.13	500.46	603.67	493.56	409.15	260.38	201.25	209.84	143.01	150.17	130.6
NASP	1896.65	1674.06	1350.18	1628.26	2090.03	1709.26	1709.26	1359.57	915.51	808.0	713.11	1259.69	1044.52	551.56
OPA1	703.28	647.07	547.75	1250.98	1268.46	1191.69	1208.34	921.88	457.25	262.2	178.77	217.27	279.14	234.57
PANK3	325.29	318.57	242.88	583.07	466.88	575.03	612.11	395.18	291.04	271.48	329.84	211.31	161.02	242.88
PCYT1A	961.07	954.43	848.22	1519.15	1322.37	1467.37	1331.57	791.35	460.44	450.94	447.82	363.56	387.02	275.28
PDCD10	1304.15	1551.09	1369.04	1605.83	1769.57	1508.65	2061.24	1519.15	612.11	470.14	571.05	384.34	529.06	190.34
PIGW	205.5	100.83	108.14	228.13	249.73	285.03	244.57	232.94	91.41	82.29	87.03	97.36	98.04	44.57
PIK3C2A	234.57	229.72	204.07	392.44	361.04	368.65	403.5	336.79	167.9	94.01	74.06	62.12	49.91	23.93
PLAA	400.71	414.87	514.56	665.29	624.99	616.37	825.0	400.71	246.28	255.0	217.27	223.41	99.43	186.4
POLR2B	941.27	1001.93	842.36	1250.98	1313.23	1295.13	1088.92	995.0	587.13	423.61	329.84	323.03	397.93	332.14
POLR3A	140.04	128.79	120.94	162.14	156.59	151.22	162.14	157.68	105.89	80.01	81.71	76.71	92.7	65.72
PSMD11	2271.4	2255.7	2133.97	3018.3	2367.9	2209.26	2004.85	1950.0	1769.57	1605.83	988.12	1397.83	1143.1	723.08
RAD23B	3589.58	3395.89	4181.07	3847.29	3325.99	3395.89	3372.43	3564.78	2434.5	2384.37	1950.0	1295.13	1857.6	2032.85
RDX	500.46	559.28	540.19	1023.0	1044.52	1199.98	713.11	698.41	656.11	525.39	674.59	647.07	447.82	384.34
RFWD3	287.01	231.32	248.0	435.55	341.51	341.51	392.44	293.07	100.13	49.56	51.35	39.22	49.56	45.85
RP11-385D13.1	9.06	19.11	10.63	24.63	18.29	57.49	63.0	13.93	4.5	1.41	0.61	0.0	0.0	0.0
SEC23IP	325.29	293.07	285.03	583.07	532.74	633.73	674.59	507.46	336.79	239.52	199.85	186.4	220.32	145.02
SLC10A7	90.77	114.36	83.45	293.07	197.09	258.57	167.9	223.41	98.73	85.82	65.26	41.52	55.1	67.59
SLC25A46	368.65	432.53	356.05	647.07	764.36	688.78	514.56	579.04	309.83	256.78	197.09	166.73	161.02	124.37
SPRR4	7.11	43.63	17.13	231.32	21.63	147.06	125.24	40.64	0.0	0.0	0.0	0.0	0.0	0.0
SPTLC2	633.73	417.77	813.63	759.08	638.15	703.28	759.08	624.99	100.83	158.79	57.49	117.6	147.06	45.53
STAC2	5.32	1.31	0.0	38.95	3.66	16.51	16.03	3.56	0.64	0.55	0.57	0.0	0.59	0.0
STAM	312.0	291.04	258.57	536.45	525.39	403.5	575.03	371.22	140.04	105.15	84.63	73.54	94.67	97.36
SYT13	1.57	0.0	0.0	16.39	12.27	14.03	20.56	4.7	2.84	0.0	2.16	0.0	0.65	3.5
TIPRL	633.73	660.68	620.67	684.02	728.11	629.35	665.29	551.56	629.35	559.28	563.18	417.77	420.68	232.94
TMEM30A	872.1	1175.27	1096.5	1594.73	1208.34	1167.14	1628.26	1183.45	808.0	718.08	381.68	392.44	674.59	642.59
TMX1	356.05	432.53	299.25	616.37	738.29	698.41	698.41	583.07	366.09	307.69	277.2	198.47	312.0	237.86
TNPO1	463.65	420.68	392.44	884.29	813.63	703.28	902.89	679.29	231.32	195.72	170.25	131.51	156.59	116.78
TRMT13	152.28	177.53	135.24	285.03	273.37	273.37	312.0	221.86	124.37	71.0	65.72	43.02	60.82	11.55
TRMT5	123.5	123.5	105.89	228.13	193.01	120.94	244.57	221.86	111.21	61.25	69.52	90.14	113.56	54.72
TXNL1	1259.69	1508.65	1540.37	2240.11	1733.13	1572.76	1963.57	1857.6	1508.65	1594.73	1651.0	1561.89	1407.55	947.83
UCHL5	480.04	698.41	647.07	848.22	884.29	733.19	723.08	656.11	521.76	332.14	346.29	316.37	208.38	119.26
UEVLD	205.5	221.86	293.07	343.89	376.41	343.89	234.57	275.28	147.06	101.54	119.26	67.12	73.54	52.45
USO1	1111.82	1617.0	1605.83	2271.4	2287.2	2335.28	2075.59	1781.89	890.44	866.07	775.05	438.59	595.34	264.03
WRN	92.7	83.45	76.71	127.0	167.9	173.85	162.14	101.54	50.27	25.91	17.25	22.26	24.46	21.01
ZBTB24	61.68	58.71	63.0	85.82	104.42	126.12	105.15	78.89	36.01	41.81	24.63	20.26	38.12	17.77
ZNF639	412.0	417.77	299.25	381.68	358.54	323.03	420.68	403.5	283.05	271.48	239.52	256.78	293.07	139.07
