	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.1122O.0226.SM.5N9DA	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
NF1	105.15	211.31	232.94	231.32	248.0	199.85	305.55	341.51	251.48	146.03	543.96	660.68	480.04	277.2	325.29	376.41	406.31	532.74	435.55	612.11	297.17	309.83	346.29	400.71	291.04	320.8	414.87	384.34	381.68	603.67	281.09	242.88	323.03	432.53	420.68	575.03	293.07	353.59	279.14	483.38	438.59	262.2	295.11	457.25
PHC3	37.32	68.55	85.82	88.26	87.65	73.54	147.06	95.34	120.94	47.17	403.5	708.18	403.5	139.07	221.86	229.72	242.88	555.41	214.27	267.73	142.01	181.28	194.36	178.77	158.79	211.31	242.88	193.01	231.32	555.41	121.79	113.56	183.82	258.57	299.25	277.2	115.97	256.78	91.41	353.59	316.37	161.02	158.79	299.25
PHF20	81.71	151.22	131.51	123.5	149.12	145.02	162.14	154.42	138.1	123.5	316.37	253.23	293.07	194.36	251.48	221.86	251.48	323.03	332.14	371.22	212.78	182.55	221.86	224.97	246.28	253.23	279.14	256.78	249.73	314.17	177.53	181.28	220.32	262.2	305.55	264.03	163.28	223.41	201.25	299.25	264.03	202.66	208.38	295.11
PHF3	199.85	221.86	237.86	277.2	277.2	291.04	351.14	164.42	334.46	199.85	780.44	902.89	884.29	332.14	450.94	507.46	607.87	753.83	748.61	819.3	387.02	346.29	521.76	591.22	669.92	500.46	629.35	651.58	503.95	915.51	356.05	251.48	392.44	642.59	579.04	555.41	358.54	521.76	346.29	890.44	521.76	466.88	473.41	587.13
PHIP	33.78	61.68	96.01	100.13	109.66	79.45	118.43	69.03	142.01	63.0	316.37	363.56	217.27	111.21	141.02	167.9	214.27	241.19	167.9	295.11	126.12	111.21	182.55	182.55	154.42	208.38	204.07	163.28	147.06	406.31	111.99	101.54	134.3	190.34	239.52	191.67	94.01	163.28	112.77	348.71	164.42	141.02	186.4	201.25
POGK	120.94	181.28	157.68	214.27	212.78	267.73	260.38	148.09	253.23	127.0	406.31	420.68	429.54	248.0	381.68	371.22	323.03	346.29	371.22	514.56	329.84	293.07	400.71	429.54	255.0	258.57	490.14	256.78	348.71	363.56	208.38	258.57	343.89	384.34	490.14	518.15	239.52	334.46	279.14	392.44	381.68	218.79	283.05	339.14
PRKD3	69.03	139.07	163.28	151.22	159.9	149.12	180.02	134.3	139.07	78.89	490.14	607.87	384.34	170.25	206.94	218.79	242.88	373.81	426.57	518.15	189.02	198.47	212.78	273.37	223.41	166.73	301.33	363.56	277.2	368.65	139.07	190.34	193.01	297.17	343.89	325.29	158.79	267.73	229.72	525.39	265.87	175.07	264.03	273.37
RBM27	77.79	106.63	113.56	109.66	118.43	99.43	141.02	127.89	120.94	115.97	303.44	246.28	371.22	111.99	206.94	175.07	260.38	236.21	309.83	320.8	148.09	138.1	152.28	190.34	189.02	158.79	312.0	190.34	224.97	412.0	133.36	137.14	167.9	197.09	265.87	178.77	133.36	175.07	157.68	218.79	209.84	178.77	191.67	262.2
RBM7	256.78	212.78	190.34	260.38	295.11	279.14	301.33	154.42	231.32	183.82	660.68	759.08	543.96	356.05	444.72	435.55	389.72	575.03	587.13	656.11	295.11	395.18	363.56	318.57	406.31	708.18	486.75	521.76	629.35	595.34	275.28	397.93	332.14	497.0	769.69	463.65	318.57	339.14	358.54	718.08	476.71	514.56	373.81	414.87
RNF38	119.26	265.87	237.86	234.57	323.03	295.11	389.72	204.07	318.57	202.66	703.28	796.86	836.53	358.54	490.14	470.14	536.45	599.49	612.11	1059.11	417.77	265.87	536.45	406.31	463.65	397.93	624.99	476.71	441.64	878.17	295.11	420.68	346.29	571.05	559.28	555.41	397.93	457.25	373.81	780.44	438.59	429.54	603.67	587.13
SMAD4	273.37	387.02	490.14	381.68	476.71	563.18	723.08	332.14	633.73	351.14	2209.26	1832.01	1674.06	974.5	1331.57	1427.22	1757.34	1540.37	1322.37	2018.8	693.58	836.53	890.44	1119.56	872.1	1119.56	1519.15	1199.98	1313.23	3124.78	775.05	791.35	1183.45	1498.22	1857.6	1529.73	476.71	1277.29	743.43	1832.01	1397.83	836.53	947.83	1119.56
SMARCC1	127.0	327.56	301.33	283.05	316.37	287.01	305.55	336.79	309.83	291.04	808.0	607.87	651.58	356.05	403.5	397.93	511.0	555.41	540.19	660.68	363.56	406.31	486.75	426.57	476.71	450.94	698.41	463.65	420.68	748.61	309.83	339.14	444.72	633.73	547.75	547.75	329.84	454.09	454.09	620.67	438.59	395.18	470.14	567.1
SP3	283.05	507.46	607.87	473.41	493.56	406.31	607.87	486.75	567.1	384.34	1277.29	1519.15	1508.65	633.73	819.3	934.76	1081.39	1167.14	1378.57	1508.65	854.13	607.87	954.43	915.51	769.69	698.41	954.43	780.44	967.76	1721.16	718.08	802.41	928.3	1023.0	981.29	1023.0	753.83	830.75	764.36	1059.11	995.0	633.73	909.17	1066.48
SPOPL	72.01	77.25	80.01	85.22	87.03	73.54	121.79	63.0	94.01	55.1	279.14	260.38	260.38	108.9	111.99	156.59	183.82	163.28	241.19	312.0	131.51	105.89	142.01	155.5	143.01	111.99	164.42	140.04	126.12	305.55	92.7	114.36	124.37	165.57	158.79	180.02	101.54	156.59	100.83	249.73	135.24	139.07	120.1	201.25
STAG1	72.01	137.14	135.24	138.1	148.09	156.59	191.67	148.09	161.02	88.26	575.03	447.82	483.38	208.38	212.78	376.41	361.04	332.14	412.0	460.44	209.84	212.78	316.37	232.94	329.84	191.67	420.68	312.0	336.79	486.75	218.79	193.01	271.48	336.79	400.71	389.72	198.47	241.19	234.57	325.29	336.79	258.57	246.28	361.04
STAG2	249.73	409.15	400.71	409.15	447.82	426.57	591.22	473.41	500.46	297.17	1208.34	902.89	1277.29	559.28	813.63	647.07	1037.29	1183.45	1250.98	1477.58	547.75	543.96	830.75	674.59	842.36	825.0	1051.79	1066.48	791.35	2004.85	567.1	595.34	759.08	954.43	1111.82	890.44	486.75	764.36	656.11	1628.26	796.86	934.76	785.88	1059.11
STRN	63.89	81.71	76.71	72.01	67.12	61.68	80.01	54.72	71.0	44.89	164.42	182.55	153.34	66.65	82.29	98.04	97.36	110.43	137.14	193.01	78.89	75.11	90.77	100.83	92.7	90.14	113.56	108.14	80.57	209.84	85.22	79.45	94.01	98.04	140.04	113.56	68.07	100.13	75.11	129.69	114.36	79.45	87.65	117.6
TAOK1	84.63	141.02	155.5	143.01	138.1	137.14	191.67	182.55	156.59	94.01	381.68	392.44	314.17	118.43	228.13	236.21	237.86	309.83	258.57	406.31	198.47	198.47	241.19	221.86	178.77	197.09	236.21	209.84	206.94	409.15	169.07	152.28	201.25	249.73	341.51	287.01	145.02	248.0	158.79	281.09	256.78	172.65	221.86	279.14
TG	17.51	610654.84	794671.01	736332.6	794671.01	623486.02	992012.34	778316.89	906531.99	663619.99	1019901.63	1264380.15	2068278.89	1085552.95	2247670.86	2126426.15	1751305.3	1273174.62	2375828.71	1204496.53	1131651.83	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1929772.37	992012.34	1943195.01	2636147.11	2263304.65	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1155430.26	2263304.65	2672946.37	1864037.21	1634025.56
TLK2	212.78	305.55	356.05	334.46	343.89	412.0	371.22	295.11	339.14	295.11	633.73	490.14	587.13	358.54	466.88	483.38	463.65	620.67	684.02	559.28	395.18	376.41	466.88	529.06	480.04	450.94	514.56	466.88	441.64	599.49	412.0	387.02	454.09	529.06	536.45	616.37	339.14	490.14	389.72	543.96	493.56	460.44	409.15	555.41
TRIM44	76.17	133.36	123.5	98.04	103.69	115.16	215.77	114.36	169.07	98.73	669.92	780.44	733.19	114.36	381.68	529.06	718.08	708.18	603.67	587.13	255.0	323.03	420.68	493.56	384.34	320.8	791.35	358.54	583.07	620.67	246.28	88.88	429.54	490.14	679.29	343.89	94.67	366.09	279.14	878.17	909.17	173.85	244.57	684.02
TTBK2	17.9	23.08	45.53	42.71	55.1	48.18	57.08	47.5	60.82	24.99	111.21	130.6	94.67	65.26	52.82	70.01	72.52	83.45	93.35	129.69	58.71	49.91	80.57	80.01	98.04	92.7	87.65	76.17	58.71	133.36	48.52	49.91	77.79	82.87	92.05	69.52	52.08	72.01	57.08	189.02	74.06	71.0	74.58	100.13
UBE3A	466.88	246.28	438.59	483.38	423.61	389.72	551.56	353.59	473.41	343.89	947.83	1111.82	854.13	454.09	629.35	620.67	819.3	802.41	934.76	1044.52	612.11	507.46	679.29	638.15	638.15	518.15	791.35	748.61	656.11	1427.22	521.76	547.75	603.67	629.35	791.35	743.43	555.41	629.35	540.19	802.41	633.73	500.46	607.87	866.07
USP37	9.41	26.47	22.43	17.51	13.93	15.91	38.12	19.82	27.44	13.03	119.26	170.25	128.79	25.54	35.76	45.53	75.64	106.63	72.52	77.25	29.7	27.25	50.98	45.85	58.3	34.02	84.04	59.55	53.19	153.34	19.97	20.11	57.08	70.01	100.83	67.59	17.51	50.98	30.34	100.13	52.08	53.57	32.36	66.18
UTRN	53.57	327.56	356.05	249.73	336.79	291.04	450.94	246.28	476.71	143.01	1617.0	1417.35	1437.15	603.67	854.13	575.03	934.76	1378.57	1369.04	1561.89	591.22	486.75	921.88	432.53	1208.34	521.76	1322.37	1096.5	791.35	1066.48	493.56	366.09	454.09	1519.15	1225.22	1397.83	426.57	688.78	884.29	2148.82	902.89	872.1	769.69	1594.73
WAC	633.73	941.27	947.83	796.86	1030.12	1008.9	1199.98	961.07	1066.48	759.08	2104.58	1781.89	2148.82	1104.13	1487.87	1572.76	1819.35	1909.85	2032.85	2287.2	1350.18	1167.14	1242.34	1529.73	1427.22	1651.0	1757.34	1628.26	1583.71	2502.97	1015.93	1191.69	1457.23	1936.53	1923.14	1617.0	1331.57	1583.71	1467.37	2255.7	1628.26	1447.15	1447.15	1806.78
ZDHHC20	46.84	99.43	93.35	76.71	78.34	69.52	180.02	109.66	113.56	33.54	698.41	371.22	447.82	73.54	242.88	334.46	341.51	547.75	412.0	656.11	156.59	128.79	297.17	217.27	120.94	164.42	361.04	277.2	305.55	493.56	145.02	50.63	226.54	366.09	426.57	713.11	69.52	265.87	197.09	379.04	241.19	163.28	220.32	303.44
ZFHX3	31.45	113.56	101.54	128.79	150.17	111.99	182.55	143.01	162.14	91.41	353.59	293.07	223.41	155.5	343.89	339.14	273.37	293.07	195.72	301.33	182.55	167.9	293.07	167.9	228.13	183.82	299.25	251.48	226.54	297.17	167.9	156.59	248.0	318.57	279.14	361.04	191.67	273.37	157.68	341.51	221.86	195.72	269.6	299.25
ZNF322	30.34	91.41	80.01	76.17	84.04	64.8	135.24	92.05	109.66	71.5	361.04	460.44	332.14	159.9	161.02	264.03	256.78	329.84	320.8	447.82	198.47	140.04	208.38	241.19	248.0	198.47	297.17	231.32	193.01	368.65	110.43	92.05	172.65	299.25	244.57	255.0	110.43	202.66	189.02	334.46	211.31	182.55	189.02	217.27
ZZZ3	201.25	246.28	246.28	241.19	255.0	273.37	368.65	242.88	285.03	231.32	808.0	679.29	769.69	312.0	417.77	412.0	480.04	599.49	629.35	842.36	389.72	320.8	493.56	490.14	457.25	389.72	532.74	503.95	500.46	988.12	320.8	409.15	406.31	532.74	490.14	587.13	358.54	463.65	343.89	490.14	500.46	389.72	409.15	536.45
