	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.ZF.A9R2.01A.11R.A39I.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.50.5045.01A.01R.1628.07	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.35.4123.01A.01R.1107.07	TCGA.49.4506.01A.01R.1206.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5066.01A.01R.1628.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07
C7orf10	5.5	39.79	8.99	22.43	17.64	2.78	35.25	32.82	20.86	135.24	61.68	22.92	5.06	23.93	269.6	123.5	45.21	93.35	76.71	242.88	13.03	61.68	3.63	49.56	30.56	31.22	346.29	12.45	12.27	954.43	305.55	267.73	193.01	58.71	400.71	309.83	76.17	100.13	85.82	144.01	224.97
CACNA2D4	44.89	11.55	8.13	18.03	15.0	37.05	20.56	19.53	25.35	86.43	17.77	11.91	23.59	45.85	53.95	27.25	50.98	6.89	73.03	28.45	31.22	27.64	19.53	38.12	5.45	43.02	63.45	35.0	14.14	190.34	58.71	147.06	241.19	37.85	323.03	457.25	100.83	129.69	246.28	68.07	37.32
CCL19	61.68	12.36	0.0	71.5	0.0	1.55	2.14	33.78	20.86	7911.95	1023.0	1.55	16.03	387.02	633.73	51.71	3.17	35.0	229.72	339.14	84.04	713.11	24.28	679.29	1.53	470.14	708.18	29.06	13.72	4152.18	358.54	4298.64	995.0	2645.74	656.11	3515.68	366.09	708.18	366.09	1388.16	281.09
CD19	1.38	1.3	0.31	0.35	0.35	3.63	0.0	4.28	2.89	389.72	137.14	0.0	0.96	40.36	32.82	12.55	0.0	5.5	3.76	7.69	31.67	27.25	2.58	20.11	0.0	5.19	7.57	5.19	0.0	258.57	22.1	275.28	43.02	64.8	31.45	175.07	21.47	9.34	9.93	20.11	1.57
CD1D	44.25	11.13	4.03	10.55	5.87	6.31	12.27	4.28	16.75	90.77	23.59	12.09	4.98	18.56	24.81	16.51	13.03	9.06	21.63	11.13	9.48	7.4	5.77	10.0	4.78	9.27	14.78	10.08	11.82	131.51	59.97	53.19	43.32	42.71	40.07	115.16	69.03	30.12	64.8	32.36	39.22
CD209	5.11	3.53	2.05	15.0	1.35	1.25	1.85	19.11	8.65	186.4	12.83	4.62	1.58	14.67	90.77	12.27	0.89	13.03	102.25	10.0	7.17	18.03	26.47	52.82	2.43	4.5	172.65	20.86	11.91	63.45	45.53	108.9	65.72	33.78	246.28	70.51	71.5	201.25	279.14	38.12	12.27
CD22	9.13	12.09	0.32	13.12	3.29	0.95	3.35	1.87	3.53	514.56	186.4	7.0	17.51	81.14	23.25	9.93	5.45	1.99	17.38	6.16	15.91	33.78	3.89	13.12	0.0	9.27	23.42	2.34	3.26	353.59	120.94	289.02	163.28	44.57	40.64	43.63	366.09	435.55	164.42	76.17	102.25
CD28	5.36	3.79	0.59	12.64	0.34	0.32	0.0	6.36	4.43	65.72	20.11	3.63	1.55	10.16	12.93	11.47	3.41	1.31	25.35	18.97	4.39	28.86	7.94	32.59	0.32	5.5	17.38	7.69	11.13	176.29	25.54	131.51	46.18	20.41	74.58	63.89	53.57	75.64	35.0	33.54	17.64
CD37	150.17	101.54	9.63	154.42	24.99	12.55	31.67	221.86	43.02	3190.46	967.76	21.32	17.25	334.46	497.0	189.02	10.47	65.26	511.0	187.71	35.25	299.25	132.44	555.41	25.72	89.51	320.8	149.12	50.63	2351.53	1437.15	2193.99	1051.79	540.19	1594.73	921.88	3847.29	19892.37	2720.15	669.92	339.14
CD3G	7.69	7.57	3.69	19.25	4.5	1.5	2.1	60.82	8.85	94.67	23.42	0.92	5.54	25.72	27.64	49.21	7.88	18.03	28.04	5.36	6.06	48.18	23.76	62.12	15.91	7.69	19.25	30.34	10.79	163.28	64.34	165.57	400.71	76.17	76.71	186.4	75.11	73.03	151.22	31.0	17.0
CD40LG	5.02	6.62	0.29	3.79	2.58	0.6	0.6	2.71	4.74	54.72	12.64	1.51	3.06	7.94	2.05	11.13	1.69	0.97	5.87	2.68	0.0	10.79	3.17	21.01	1.19	7.34	8.58	3.69	0.64	40.64	14.24	46.18	19.68	9.2	8.06	25.91	28.24	22.75	84.04	16.63	9.06
CD52	525.39	293.07	186.4	299.25	126.12	18.29	114.36	1359.57	759.08	8658.09	2417.67	123.5	135.24	974.5	2271.4	718.08	86.43	215.77	1540.37	414.87	156.59	1397.83	417.77	1295.13	85.82	571.05	583.07	651.58	318.57	12076.21	7331.05	5751.61	9409.14	4639.29	3212.66	9474.59	106462.55	201440.3	6207.38	3081.75	2417.67
CD53	115.97	83.45	10.88	158.79	26.28	37.59	28.45	318.57	91.41	1950.0	389.72	38.95	38.67	287.01	819.3	348.71	23.93	146.03	890.44	204.07	44.57	457.25	228.13	981.29	19.11	144.01	444.72	248.0	78.34	3820.7	1745.2	2720.15	2701.35	1216.75	2682.69	2976.74	2591.27	11424.74	1950.0	733.19	540.19
CD79B	96.01	37.85	14.89	33.54	10.16	12.09	28.86	33.3	41.81	1572.76	473.41	39.5	21.63	114.36	113.56	57.49	14.24	33.78	63.45	55.49	72.52	115.97	13.83	74.06	4.54	58.3	68.07	31.45	22.43	1259.69	59.55	723.08	260.38	228.13	167.9	961.07	214.27	77.25	376.41	156.59	75.11
CD84	5.82	2.92	0.32	9.34	0.37	0.34	0.95	16.15	2.27	49.21	10.96	1.27	1.28	21.16	28.65	21.47	1.19	7.17	35.25	8.92	1.39	31.22	11.21	47.5	1.85	4.86	28.24	9.85	1.33	144.01	172.65	171.45	124.37	38.12	154.42	117.6	119.26	204.07	1008.9	33.54	22.26
CERKL	19.53	16.75	2.03	15.22	3.92	3.35	6.01	14.24	6.67	119.26	37.59	7.28	1.27	30.12	78.89	31.9	3.72	13.52	32.82	24.11	12.83	41.22	13.12	40.93	3.89	11.47	38.95	25.35	9.93	211.31	191.67	157.68	251.48	72.01	99.43	176.29	289.02	80.01	136.19	49.56	26.67
CLEC17A	1.0	0.64	0.0	0.0	0.65	0.89	0.6	0.0	0.32	67.59	32.13	0.0	0.92	4.66	1.17	1.64	0.0	0.33	1.23	1.51	0.0	3.17	0.0	3.08	0.0	0.74	1.71	0.57	0.96	29.91	1.46	33.78	9.41	4.66	4.54	30.56	7.28	6.62	9.56	2.71	0.0
CNR2	0.67	0.0	0.0	0.0	0.0	0.6	0.0	0.3	0.0	38.95	13.93	0.0	0.0	1.08	1.75	0.99	0.28	0.0	0.0	0.39	0.0	1.27	0.0	0.93	0.0	1.1	0.35	0.0	0.64	13.32	1.28	9.34	2.56	3.2	1.25	5.23	2.43	1.11	4.31	1.85	0.1
CORO1A	435.55	775.05	387.02	214.27	85.22	237.86	164.42	848.22	346.29	3874.05	1001.93	307.69	172.65	647.07	1259.69	693.58	100.83	303.44	878.17	373.81	129.69	679.29	420.68	921.88	271.48	356.05	358.54	718.08	341.51	4769.75	1378.57	3716.2	2835.7	1508.65	2090.03	1806.78	836.53	656.11	3515.68	1709.26	591.22
CR1	0.69	0.97	0.0	1.3	1.0	0.0	0.0	0.64	0.34	41.81	11.21	0.33	0.64	9.78	5.02	1.35	0.59	1.64	15.11	2.71	6.06	5.15	4.17	5.28	0.32	0.77	11.64	2.03	2.89	48.87	53.19	55.49	13.52	10.0	69.03	51.71	10.55	62.56	56.28	6.62	1.85
CTB-133G6.1	2.03	0.0	0.0	0.65	0.0	0.0	1.5	0.0	0.0	28.86	2.25	0.61	0.0	0.74	0.31	0.67	0.0	0.0	2.48	0.0	0.68	3.5	0.97	3.41	0.6	1.11	11.91	0.0	0.65	15.22	2.58	15.34	1.58	1.35	0.27	3.72	12.36	18.29	19.97	1.5	0.16
CYTH4	37.32	21.32	2.07	31.67	6.94	2.78	14.89	73.54	22.1	334.46	48.87	12.55	7.51	43.02	155.5	53.57	4.06	22.75	155.5	41.81	10.31	85.82	55.49	141.02	4.58	32.82	97.36	44.25	17.13	497.0	241.19	457.25	392.44	128.79	532.74	397.93	373.81	400.71	620.67	125.24	59.97
CYTIP	35.0	15.22	1.19	51.71	6.89	6.67	3.06	66.65	26.1	514.56	135.24	8.85	11.47	102.25	136.19	127.0	17.64	20.71	91.41	59.97	17.64	111.99	39.5	255.0	8.13	47.17	72.01	73.03	26.28	813.63	143.01	708.18	309.83	206.94	423.61	575.03	796.86	1369.04	228.13	220.32	127.89
DACT1	11.21	13.12	4.66	71.5	3.32	6.11	5.77	6.46	7.06	98.73	45.53	16.75	15.22	72.52	51.71	23.76	9.78	13.03	208.38	123.5	34.75	84.63	2.94	43.94	2.16	22.1	185.11	3.82	11.3	183.82	123.5	202.66	131.51	42.71	162.14	127.0	293.07	406.31	43.02	87.03	32.13
DOCK10	29.7	14.03	4.62	21.01	14.56	3.66	2.76	31.45	11.13	155.5	42.71	9.48	1.28	64.34	43.02	38.12	5.45	8.78	92.05	38.12	22.59	53.19	37.05	65.72	4.54	27.25	44.25	35.76	11.55	281.09	99.43	256.78	152.28	54.33	387.02	201.25	718.08	698.41	376.41	127.0	78.89
DOCK2	27.84	16.27	1.2	31.9	6.26	3.38	12.45	63.89	14.35	353.59	68.55	8.92	5.96	88.88	129.69	64.34	19.68	22.1	139.07	37.32	17.38	88.26	39.22	116.78	6.36	16.03	84.63	46.5	8.13	444.72	320.8	525.39	255.0	139.07	258.57	228.13	884.29	2004.85	780.44	148.09	64.34
EGR2	19.68	6.01	4.86	159.9	9.06	4.5	11.91	24.63	11.04	171.45	36.27	3.96	2.48	89.51	65.72	33.78	120.94	19.25	236.21	81.71	45.53	108.14	9.85	28.86	3.89	15.34	154.42	4.62	4.46	221.86	96.01	158.79	265.87	25.72	145.02	151.22	674.59	1437.15	255.0	47.17	68.55
ENTHD1	0.34	0.0	0.0	0.32	0.33	0.0	0.0	0.0	0.0	2.81	0.38	0.0	0.31	0.0	0.59	0.99	3.35	0.65	9.13	0.0	0.0	1.27	0.0	1.23	0.0	0.74	1.03	0.85	0.32	11.04	9.34	6.11	22.92	2.29	43.32	7.4	3.29	5.63	1.73	1.38	0.91
EVI2A	24.11	18.43	2.07	51.71	11.13	3.69	5.77	43.02	12.83	366.09	68.55	7.4	12.18	69.52	126.12	92.05	6.62	18.16	153.34	50.63	14.67	128.79	36.01	135.24	4.86	21.47	214.27	41.22	11.64	1127.35	218.79	447.82	780.44	403.5	878.17	2193.99	312.0	1457.23	258.57	162.14	108.14
EVI2B	32.82	21.63	8.38	37.32	9.85	5.23	7.0	78.89	20.11	500.46	118.43	13.83	15.56	90.77	123.5	127.89	10.31	23.08	151.22	58.71	12.27	153.34	50.63	201.25	3.66	37.32	123.5	59.55	18.29	981.29	406.31	884.29	547.75	316.37	612.11	738.29	808.0	1721.16	435.55	209.84	137.14
F13A1	41.22	26.86	8.78	100.83	7.94	10.39	17.64	76.71	37.05	1250.98	87.03	13.62	11.3	17.0	211.31	90.14	12.45	27.84	353.59	73.03	78.34	102.25	50.27	141.02	2.18	106.63	642.59	43.63	44.89	738.29	223.41	830.75	518.15	89.51	2287.2	587.13	348.71	185.11	3212.66	211.31	201.25
FAM20A	25.91	30.34	7.28	45.21	39.79	19.11	25.35	54.33	8.71	529.06	58.71	19.39	2.56	41.22	371.22	89.51	4.39	84.04	525.39	53.95	18.84	88.88	45.53	190.34	7.28	23.08	547.75	33.3	16.15	1008.9	368.65	591.22	748.61	189.02	902.89	780.44	1225.22	2451.44	3146.52	7180.15	4010.71
FCRL2	1.01	0.0	0.0	0.33	0.0	0.0	0.0	1.51	0.96	69.03	25.72	0.0	0.32	7.94	7.06	1.33	0.0	0.97	1.85	3.79	0.35	5.41	0.0	7.69	0.0	0.0	1.38	1.71	0.0	57.49	49.56	62.56	13.83	39.5	57.49	191.67	13.52	73.03	1.25	6.41	1.41
FCRL3	5.02	1.27	5.36	0.96	0.34	0.0	0.31	6.01	0.0	70.01	47.17	0.0	1.23	14.03	4.7	6.84	0.29	1.3	3.99	0.78	0.35	16.63	7.57	19.82	0.91	0.74	3.08	1.16	1.91	84.63	17.0	44.89	24.63	9.56	15.45	31.22	16.63	21.16	14.03	20.86	6.11
FERMT3	158.79	78.89	62.12	118.43	98.04	111.99	67.59	285.03	161.02	902.89	327.56	105.15	62.56	320.8	521.76	190.34	35.76	135.24	591.22	182.55	147.06	242.88	164.42	493.56	61.68	134.3	234.57	185.11	96.01	1923.14	785.88	1674.06	1135.2	571.05	1242.34	967.76	2627.46	6792.79	2682.69	536.45	314.17
FMNL1	105.89	177.53	12.0	98.73	54.33	123.5	123.5	660.68	93.35	753.83	158.79	42.11	100.13	190.34	559.28	166.73	57.49	170.25	967.76	85.82	202.66	241.19	199.85	753.83	58.3	97.36	215.77	191.67	77.79	981.29	400.71	1331.57	555.41	703.28	1594.73	376.41	1832.01	2240.11	866.07	830.75	348.71
FPR1	6.52	4.86	0.92	41.22	8.85	7.06	4.62	15.34	23.25	423.61	17.0	1.28	8.45	31.22	215.77	35.76	3.2	15.0	148.09	22.43	12.64	33.78	18.43	205.5	5.45	3.03	117.6	49.91	12.0	229.72	127.89	332.14	323.03	239.52	642.59	555.41	314.17	376.41	389.72	212.78	48.18
GAB3	8.78	13.93	3.47	6.73	2.32	0.95	4.24	11.55	4.17	60.39	11.3	15.45	5.59	7.34	18.97	12.27	2.89	12.64	23.76	7.69	8.51	14.78	8.0	22.92	3.63	10.71	24.11	8.38	4.21	61.25	36.01	69.52	58.3	30.34	42.71	43.32	94.67	215.77	173.85	111.21	81.71
GAPT	9.7	6.62	2.86	11.13	1.97	0.32	2.12	0.32	5.06	155.5	27.05	0.32	2.78	5.45	7.4	14.45	7.94	0.99	8.65	5.36	3.06	8.92	5.11	9.63	2.1	20.41	9.27	5.45	5.11	138.1	35.25	60.82	81.71	26.86	15.8	50.98	40.93	37.32	167.9	28.24	23.76
GLIPR1	50.63	103.69	29.7	123.5	25.91	22.26	64.34	116.78	20.26	547.75	117.6	21.01	68.55	187.71	148.09	110.43	20.41	39.22	356.05	183.82	68.55	143.01	44.25	507.46	100.83	42.11	366.09	56.28	47.84	915.51	429.54	417.77	656.11	253.23	1447.15	1313.23	595.34	775.05	713.11	316.37	201.25
GNG2	41.52	50.27	9.27	42.71	9.48	8.25	18.7	55.49	18.84	246.28	94.67	13.12	7.22	72.52	103.69	96.68	16.88	60.82	133.36	58.3	56.68	127.0	34.26	169.07	12.64	17.13	158.79	59.13	23.08	361.04	104.42	329.84	256.78	121.79	242.88	241.19	232.94	305.55	293.07	164.42	83.45
GPR18	6.01	1.91	1.16	4.13	3.23	5.96	3.29	15.0	5.06	78.89	27.64	1.22	3.99	9.78	7.06	5.59	0.0	2.92	7.11	6.11	2.03	10.16	9.48	8.65	1.79	4.78	4.46	3.14	4.13	106.63	8.06	45.53	52.82	21.78	12.64	52.45	10.0	18.43	19.68	9.34	7.28
GPR34	9.2	4.21	1.48	17.9	3.63	2.46	10.0	20.26	8.99	152.28	7.94	7.06	2.53	24.46	32.82	29.91	3.47	6.21	38.12	34.75	10.55	31.0	26.47	36.27	5.15	14.78	124.37	12.93	1.33	339.14	156.59	127.89	493.56	47.5	409.15	395.18	141.02	214.27	543.96	40.07	40.36
IFFO1	73.54	37.05	10.47	45.53	28.86	23.42	14.67	44.57	18.7	466.88	84.63	22.1	19.11	50.63	136.19	64.34	17.0	30.78	152.28	61.25	43.63	84.04	33.06	108.9	8.85	73.54	166.73	44.57	25.91	281.09	115.97	249.73	153.34	100.13	220.32	253.23	353.59	571.05	684.02	211.31	117.6
IKZF1	15.22	11.13	1.19	12.83	1.35	1.85	3.06	31.45	7.69	208.38	47.5	2.48	4.7	32.36	40.64	25.72	10.0	25.17	36.53	14.56	7.51	52.45	22.1	77.25	2.14	18.43	35.0	28.24	9.34	205.5	91.41	277.2	144.01	83.45	102.97	96.01	249.73	417.77	187.71	55.1	33.54
IL10RA	41.22	16.03	17.64	61.68	17.38	10.96	11.3	65.26	16.03	450.94	64.34	10.16	7.88	78.89	198.47	91.41	3.5	35.76	199.85	59.13	30.56	152.28	60.82	145.02	9.41	37.05	139.07	78.34	20.56	603.67	295.11	796.86	371.22	220.32	444.72	493.56	1015.93	836.53	902.89	234.57	124.37
IL16	47.84	25.17	13.32	36.79	6.26	8.25	8.25	50.98	21.16	583.07	126.12	12.0	23.93	64.8	109.66	68.55	7.82	24.81	107.38	40.36	22.43	98.73	33.3	90.14	6.06	55.1	215.77	35.25	22.92	764.36	204.07	728.11	336.79	153.34	251.48	642.59	896.64	173.85	384.34	173.85	63.0
IL2RA	5.11	4.46	2.03	19.97	1.97	1.53	1.23	31.67	13.32	113.56	17.25	3.96	1.27	31.9	111.99	23.42	2.01	16.51	133.36	27.05	2.73	70.51	32.36	220.32	0.92	4.1	60.82	36.79	11.21	137.14	40.36	258.57	193.01	82.29	363.56	221.86	59.97	226.54	31.9	127.0	60.82
IRF8	17.0	8.0	0.61	71.0	4.94	2.16	6.11	21.63	10.24	748.61	68.55	2.81	1.28	75.11	150.17	37.32	2.92	13.62	138.1	27.64	4.82	90.14	32.13	98.04	4.54	17.77	69.03	19.53	3.92	563.18	260.38	473.41	334.46	197.09	299.25	447.82	1233.75	2816.11	351.14	122.64	28.04
ITGBL1	24.11	13.83	1.5	429.54	13.12	54.33	14.56	126.12	8.71	325.29	88.26	8.0	12.55	137.14	612.11	224.97	36.27	88.26	486.75	299.25	65.72	688.78	3.29	26.28	1.87	43.94	1963.57	13.12	23.25	988.12	988.12	813.63	397.93	109.66	466.88	620.67	400.71	1498.22	536.45	551.56	117.6
KERA	0.0	0.0	0.0	5.02	0.0	0.0	0.0	0.0	0.0	2.1	0.38	0.0	0.0	0.73	0.0	0.99	0.0	1.91	1.23	0.39	0.0	0.32	0.0	0.93	0.0	0.0	7.75	0.0	0.0	12.64	1.91	2.56	9.41	1.23	1.0	5.82	5.73	5.02	7.28	2.23	0.0
KIAA0226L	6.46	19.25	0.32	9.63	2.97	0.64	1.55	3.99	2.27	147.06	37.85	1.57	1.58	23.25	13.93	10.96	1.17	7.46	24.11	15.34	3.76	11.91	9.27	29.7	0.93	7.06	71.0	3.79	0.68	136.19	38.12	99.43	84.63	30.56	57.89	79.45	96.01	197.09	146.03	97.36	69.52
KLRB1	8.06	22.92	0.0	22.43	3.89	0.61	4.5	20.71	12.27	164.42	55.89	3.03	9.78	17.77	36.53	47.17	3.69	6.11	43.94	10.31	4.06	67.12	24.63	25.35	6.21	24.81	31.67	23.08	20.86	171.45	52.45	193.01	269.6	211.31	96.68	289.02	173.85	303.44	71.0	29.48	35.5
LAIR1	85.82	52.08	17.13	98.73	26.86	8.32	30.34	78.89	55.1	759.08	118.43	20.26	10.71	127.0	400.71	139.07	8.99	63.89	457.25	115.16	22.26	186.4	100.83	339.14	18.43	51.71	267.73	111.99	23.08	1135.2	819.3	1073.91	902.89	277.2	1183.45	1159.07	2777.33	9808.75	4481.23	249.73	191.67
LAT2	38.67	37.05	13.93	63.45	18.03	30.12	25.72	149.12	38.67	412.0	80.01	31.9	16.51	87.03	194.36	81.14	10.63	30.56	297.17	57.08	30.12	88.88	47.17	190.34	19.53	47.17	129.69	77.79	28.04	967.76	348.71	808.0	825.0	193.01	748.61	660.68	988.12	2367.9	490.14	297.17	162.14
LCK	85.22	13.32	17.64	40.36	19.97	11.13	14.35	142.01	57.89	500.46	102.97	25.72	27.64	81.14	193.01	132.44	64.34	63.45	134.3	50.98	19.53	118.43	90.77	169.07	22.92	43.02	59.13	98.73	49.91	629.35	95.34	447.82	830.75	307.69	447.82	444.72	341.51	291.04	291.04	162.14	65.26
LILRA2	7.11	2.89	1.46	7.34	1.33	4.86	5.73	3.06	3.86	71.0	2.29	1.85	1.58	8.45	22.43	8.25	0.6	0.68	22.59	9.2	2.07	7.4	3.86	8.13	1.53	4.82	18.84	3.76	0.99	91.41	180.02	114.36	47.5	40.64	69.52	71.5	119.26	100.83	197.09	85.82	44.89
LY86	35.0	28.24	2.63	57.89	5.59	3.08	15.11	29.06	15.91	518.15	91.41	12.55	1.28	64.8	134.3	62.12	4.9	21.78	131.51	62.12	8.19	79.45	45.53	100.13	9.93	41.52	74.58	28.45	8.38	928.3	476.71	332.14	521.76	178.77	447.82	532.74	2537.92	3982.99	1508.65	217.27	116.78
LY96	90.77	77.79	25.72	98.73	11.55	5.54	19.11	72.52	53.57	769.69	94.67	24.81	21.16	152.28	435.55	171.45	32.82	62.56	371.22	100.83	48.52	145.02	71.0	368.65	33.3	36.01	426.57	62.12	108.9	2468.49	2148.82	1295.13	1008.9	1617.0	1819.35	3614.55	473.41	2271.4	764.36	420.68	543.96
MFNG	94.01	56.28	20.71	53.57	18.97	30.56	42.41	88.26	41.22	543.96	124.37	32.36	49.56	72.01	149.12	68.07	12.09	35.0	139.07	58.3	143.01	113.56	45.85	78.34	27.64	96.68	131.51	69.03	53.57	521.76	226.54	450.94	291.04	175.07	318.57	275.28	669.92	616.37	571.05	217.27	123.5
