	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
DYRK1A	493.56	559.28	293.07	299.25	536.45	429.54	291.04	376.41	409.15	444.72	497.0	503.95	591.22	493.56	444.72	579.04	540.19	928.3	934.76	813.63	854.13	759.08	934.76	1208.34	769.69	1023.0	1143.1	738.29	848.22	660.68	748.61	909.17	842.36	796.86	866.07	616.37	819.3	616.37	854.13	460.44	802.41	1167.14	759.08	791.35	624.99	511.0	708.18	587.13	974.5	1066.48	1023.0	796.86	629.35	780.44
EYA1	1.25	3.86	3.41	1.62	1.53	1.16	3.56	1.73	0.0	3.32	5.36	1.08	0.65	2.2	4.24	8.45	3.79	35.25	11.55	19.82	43.02	24.63	36.53	17.64	19.68	40.36	114.36	29.7	37.85	33.78	8.19	42.71	16.51	6.36	15.22	19.53	14.03	25.54	19.39	15.8	6.21	39.5	21.94	32.82	19.39	18.29	16.03	26.1	71.0	51.71	49.21	35.5	11.73	11.64
FBXO21	366.09	423.61	432.53	361.04	417.77	332.14	438.59	358.54	414.87	389.72	483.38	400.71	555.41	400.71	353.59	551.56	450.94	1073.91	551.56	638.15	954.43	866.07	620.67	718.08	723.08	1359.57	791.35	651.58	1059.11	480.04	529.06	718.08	432.53	551.56	540.19	532.74	896.64	441.64	941.27	669.92	429.54	708.18	1015.93	825.0	860.08	753.83	890.44	603.67	1073.91	842.36	688.78	791.35	660.68	480.04
FBXO34	379.04	409.15	392.44	301.33	507.46	466.88	348.71	387.02	376.41	395.18	423.61	368.65	551.56	547.75	368.65	555.41	403.5	819.3	698.41	738.29	995.0	579.04	587.13	759.08	738.29	981.29	633.73	723.08	947.83	432.53	633.73	684.02	529.06	587.13	629.35	595.34	802.41	473.41	713.11	688.78	583.07	616.37	842.36	698.41	624.99	607.87	743.43	507.46	884.29	947.83	665.29	587.13	463.65	638.15
G2E3	61.68	61.68	25.91	37.32	53.57	49.56	39.22	67.59	46.5	52.45	76.71	47.5	63.45	68.55	55.49	77.25	74.58	387.02	305.55	153.34	131.51	129.69	134.3	167.9	84.63	180.02	90.14	134.3	113.56	115.16	89.51	140.04	88.26	94.01	132.44	100.83	135.24	82.87	141.02	89.51	102.97	162.14	146.03	182.55	171.45	98.04	148.09	65.72	323.03	140.04	255.0	129.69	80.57	94.67
HIF1AN	170.25	150.17	145.02	161.02	127.89	107.38	124.37	191.67	129.69	133.36	153.34	107.38	151.22	120.1	152.28	218.79	146.03	316.37	587.13	269.6	299.25	244.57	312.0	325.29	198.47	329.84	264.03	251.48	363.56	265.87	205.5	351.14	271.48	220.32	305.55	195.72	264.03	206.94	318.57	187.71	309.83	343.89	260.38	339.14	251.48	166.73	253.23	237.86	351.14	303.44	400.71	368.65	162.14	283.05
IREB2	299.25	248.0	157.68	223.41	267.73	202.66	121.79	204.07	197.09	229.72	295.11	199.85	295.11	255.0	178.77	316.37	241.19	591.22	567.1	432.53	490.14	348.71	466.88	473.41	379.04	575.03	397.93	368.65	417.77	373.81	371.22	423.61	318.57	283.05	420.68	379.04	376.41	256.78	470.14	329.84	287.01	379.04	473.41	493.56	507.46	301.33	395.18	255.0	703.28	529.06	603.67	400.71	287.01	265.87
KDM3B	555.41	532.74	397.93	441.64	567.1	473.41	400.71	376.41	353.59	412.0	529.06	450.94	555.41	514.56	547.75	688.78	490.14	974.5	988.12	764.36	878.17	708.18	796.86	878.17	563.18	928.3	872.1	651.58	947.83	616.37	836.53	775.05	563.18	532.74	819.3	651.58	703.28	511.0	896.64	529.06	656.11	909.17	884.29	890.44	764.36	583.07	708.18	718.08	1322.37	947.83	981.29	775.05	575.03	679.29
KIAA0947	148.09	149.12	100.13	125.24	144.01	121.79	105.15	118.43	108.14	124.37	152.28	104.42	148.09	144.01	124.37	167.9	143.01	307.69	334.46	323.03	279.14	241.19	208.38	287.01	260.38	275.28	242.88	209.84	260.38	173.85	246.28	258.57	273.37	209.84	262.2	221.86	229.72	175.07	275.28	178.77	229.72	307.69	291.04	343.89	281.09	151.22	229.72	162.14	361.04	312.0	395.18	265.87	239.52	236.21
KIF24	15.22	10.71	9.85	17.64	20.26	18.7	8.92	18.16	11.38	14.67	18.84	21.32	17.51	13.72	16.15	25.72	17.77	39.5	22.43	28.04	43.63	38.4	41.52	39.5	28.24	40.93	38.12	24.63	49.91	38.4	37.32	26.28	22.75	23.76	30.56	23.59	29.7	23.42	46.5	35.25	28.65	32.82	40.93	36.01	21.63	36.53	48.18	22.26	48.18	38.12	50.27	52.45	21.63	36.79
KMT2E	395.18	435.55	206.94	241.19	490.14	339.14	260.38	287.01	295.11	309.83	373.81	291.04	387.02	543.96	346.29	529.06	363.56	693.58	718.08	748.61	638.15	567.1	532.74	759.08	684.02	791.35	507.46	490.14	457.25	312.0	454.09	483.38	642.59	511.0	559.28	426.57	497.0	392.44	583.07	277.2	392.44	624.99	536.45	620.67	493.56	232.94	483.38	373.81	728.11	595.34	500.46	486.75	460.44	591.22
MED13L	244.57	269.6	111.21	149.12	256.78	214.27	211.31	237.86	149.12	189.02	277.2	209.84	285.03	269.6	287.01	295.11	234.57	830.75	693.58	441.64	624.99	373.81	583.07	748.61	343.89	884.29	607.87	521.76	743.43	400.71	351.14	511.0	346.29	262.2	454.09	255.0	483.38	297.17	595.34	212.78	325.29	656.11	647.07	547.75	638.15	229.72	532.74	423.61	1044.52	616.37	616.37	450.94	267.73	301.33
MYO9A	102.25	133.36	73.03	66.65	115.97	89.51	55.49	105.89	109.66	96.01	125.24	101.54	107.38	154.42	94.67	161.02	107.38	567.1	384.34	273.37	314.17	265.87	271.48	269.6	356.05	429.54	264.03	283.05	273.37	163.28	253.23	223.41	228.13	148.09	244.57	229.72	209.84	197.09	297.17	151.22	173.85	336.79	316.37	299.25	460.44	133.36	373.81	93.35	457.25	384.34	379.04	232.94	177.53	182.55
NUP160	277.2	353.59	182.55	195.72	346.29	262.2	191.67	329.84	244.57	239.52	312.0	223.41	366.09	332.14	273.37	341.51	318.57	679.29	733.19	450.94	500.46	476.71	480.04	500.46	343.89	660.68	466.88	450.94	551.56	412.0	435.55	525.39	389.72	397.93	395.18	389.72	444.72	351.14	500.46	368.65	454.09	518.15	493.56	559.28	603.67	348.71	447.82	423.61	620.67	547.75	698.41	503.95	336.79	420.68
OTUD4	193.01	193.01	139.07	166.73	189.02	215.77	132.44	144.01	144.01	146.03	190.34	129.69	211.31	226.54	143.01	224.97	164.42	497.0	514.56	307.69	303.44	255.0	269.6	343.89	253.23	441.64	287.01	275.28	264.03	242.88	256.78	273.37	206.94	260.38	339.14	258.57	264.03	217.27	279.14	229.72	260.38	269.6	267.73	299.25	329.84	158.79	287.01	231.32	400.71	305.55	395.18	303.44	229.72	275.28
PHC3	122.64	132.44	53.95	100.83	115.97	100.13	68.55	85.82	88.26	87.65	136.19	105.15	147.06	119.26	95.34	206.94	120.94	403.5	708.18	403.5	260.38	221.86	229.72	555.41	214.27	346.29	295.11	187.71	289.02	181.28	194.36	178.77	158.79	211.31	242.88	193.01	231.32	121.79	303.44	113.56	183.82	329.84	258.57	299.25	277.2	115.97	256.78	91.41	723.08	244.57	339.14	316.37	161.02	158.79
PIKFYVE	122.64	115.16	56.68	92.7	118.43	98.04	73.54	108.9	92.7	93.35	120.1	83.45	131.51	122.64	81.71	127.0	106.63	289.02	223.41	183.82	202.66	154.42	237.86	211.31	158.79	248.0	167.9	197.09	195.72	178.77	113.56	204.07	142.01	133.36	169.07	142.01	178.77	125.24	221.86	123.5	158.79	204.07	224.97	220.32	232.94	122.64	177.53	97.36	366.09	209.84	305.55	248.0	118.43	139.07
PRDM5	112.77	123.5	60.82	71.0	79.45	63.89	40.64	92.05	43.63	70.01	114.36	59.97	102.25	87.65	105.89	108.9	70.01	223.41	273.37	217.27	165.57	129.69	199.85	190.34	221.86	277.2	149.12	109.66	197.09	169.07	113.56	190.34	126.12	147.06	142.01	212.78	191.67	107.38	183.82	113.56	146.03	195.72	178.77	155.5	158.79	101.54	183.82	88.26	260.38	195.72	293.07	183.82	131.51	178.77
PTPRJ	92.05	84.63	63.45	108.9	83.45	63.45	88.26	76.17	50.63	76.17	129.69	84.04	148.09	78.89	76.17	144.01	95.34	379.04	325.29	384.34	426.57	363.56	414.87	503.95	293.07	466.88	253.23	329.84	341.51	318.57	301.33	329.84	242.88	236.21	327.56	177.53	325.29	195.72	480.04	120.1	316.37	457.25	500.46	454.09	470.14	117.6	361.04	223.41	583.07	529.06	423.61	356.05	158.79	217.27
RABGAP1	583.07	656.11	371.22	379.04	587.13	423.61	414.87	536.45	470.14	511.0	693.58	438.59	525.39	620.67	547.75	708.18	607.87	1819.35	1286.18	1208.34	1359.57	1030.12	988.12	1457.23	1081.39	1923.14	1096.5	896.64	1277.29	836.53	896.64	1127.35	872.1	915.51	1044.52	791.35	1066.48	743.43	1350.18	743.43	796.86	1508.65	1295.13	896.64	1268.46	587.13	1081.39	872.1	1295.13	1806.78	1378.57	1295.13	848.22	1037.29
REL	29.7	23.25	11.64	19.11	18.43	20.56	19.68	33.3	23.25	15.8	38.67	15.56	31.45	30.56	14.35	38.12	29.7	98.73	89.51	145.02	48.18	50.98	73.03	63.45	167.9	61.25	56.28	36.01	61.25	33.3	63.45	64.34	52.45	29.27	110.43	53.19	73.54	38.95	57.89	29.06	46.18	63.0	40.64	133.36	77.25	18.16	43.32	22.43	89.51	56.68	94.01	74.06	39.5	33.78
RICTOR	104.42	112.77	63.45	61.25	123.5	115.16	57.49	70.51	85.22	82.87	110.43	97.36	141.02	140.04	63.89	131.51	102.25	366.09	295.11	170.25	201.25	171.45	195.72	221.86	146.03	363.56	206.94	191.67	182.55	169.07	157.68	171.45	139.07	144.01	157.68	143.01	173.85	118.43	201.25	136.19	151.22	164.42	194.36	217.27	242.88	153.34	156.59	81.14	384.34	195.72	287.01	183.82	148.09	157.68
RSBN1	106.63	122.64	82.87	64.34	108.14	90.14	76.71	70.51	92.05	89.51	120.94	92.05	118.43	112.77	84.04	152.28	92.7	381.68	249.73	183.82	205.5	224.97	177.53	264.03	152.28	212.78	187.71	157.68	199.85	153.34	195.72	141.02	141.02	150.17	202.66	111.99	195.72	109.66	146.03	131.51	122.64	218.79	211.31	217.27	163.28	169.07	138.1	166.73	279.14	206.94	194.36	155.5	133.36	175.07
SART3	567.1	543.96	483.38	381.68	567.1	435.55	379.04	426.57	486.75	529.06	547.75	381.68	503.95	454.09	450.94	660.68	497.0	591.22	748.61	563.18	660.68	607.87	567.1	718.08	476.71	718.08	738.29	579.04	743.43	647.07	629.35	708.18	511.0	559.28	651.58	521.76	559.28	518.15	688.78	397.93	543.96	723.08	647.07	656.11	599.49	483.38	638.15	536.45	878.17	688.78	872.1	674.59	493.56	748.61
SEC24B	244.57	246.28	195.72	187.71	256.78	218.79	187.71	229.72	178.77	205.5	237.86	171.45	255.0	236.21	212.78	297.17	206.94	612.11	480.04	426.57	412.0	366.09	361.04	480.04	379.04	493.56	366.09	327.56	429.54	351.14	325.29	409.15	297.17	327.56	373.81	264.03	366.09	267.73	412.0	224.97	299.25	395.18	414.87	567.1	423.61	236.21	363.56	343.89	543.96	356.05	525.39	361.04	262.2	267.73
SMAD4	629.35	532.74	323.03	325.29	511.0	373.81	387.02	490.14	381.68	476.71	684.02	395.18	723.08	525.39	332.14	753.83	633.73	2209.26	1832.01	1674.06	1487.87	1331.57	1427.22	1540.37	1322.37	1498.22	934.76	1208.34	1242.34	836.53	890.44	1119.56	872.1	1119.56	1519.15	1199.98	1313.23	775.05	1583.71	791.35	1183.45	1015.93	1498.22	1857.6	1529.73	476.71	1277.29	743.43	1572.76	1447.15	2018.8	1397.83	836.53	947.83
SMCR8	46.5	24.11	12.45	33.54	24.63	11.64	16.51	17.9	9.93	18.16	38.95	13.72	49.56	27.44	18.29	50.27	31.67	169.07	180.02	93.35	115.97	95.34	157.68	226.54	61.68	117.6	131.51	69.03	231.32	73.03	116.78	122.64	84.04	70.51	162.14	49.56	125.24	36.53	171.45	10.55	80.57	223.41	148.09	198.47	111.99	21.78	124.37	124.37	181.28	175.07	155.5	214.27	34.51	85.22
SMG1	205.5	204.07	106.63	96.01	189.02	173.85	104.42	190.34	158.79	148.09	228.13	106.63	208.38	236.21	183.82	208.38	214.27	591.22	718.08	348.71	400.71	305.55	346.29	466.88	351.14	540.19	397.93	332.14	417.77	237.86	312.0	373.81	329.84	366.09	299.25	320.8	264.03	209.84	368.65	241.19	346.29	371.22	351.14	438.59	679.29	173.85	316.37	205.5	638.15	435.55	460.44	371.22	224.97	301.33
TAB3	125.24	127.89	90.77	121.79	113.56	121.79	106.63	124.37	105.89	86.43	127.0	80.01	111.99	140.04	99.43	150.17	127.0	346.29	389.72	234.57	279.14	208.38	223.41	271.48	177.53	312.0	255.0	231.32	206.94	131.51	199.85	226.54	166.73	181.28	187.71	185.11	187.71	169.07	265.87	197.09	206.94	224.97	228.13	287.01	285.03	175.07	228.13	108.9	269.6	251.48	291.04	271.48	149.12	177.53
TAF1	260.38	206.94	163.28	176.29	185.11	178.77	173.85	198.47	186.4	189.02	255.0	120.94	218.79	236.21	190.34	279.14	220.32	490.14	718.08	423.61	351.14	444.72	457.25	607.87	417.77	384.34	480.04	239.52	503.95	320.8	271.48	432.53	379.04	409.15	384.34	320.8	332.14	218.79	490.14	155.5	279.14	547.75	339.14	454.09	318.57	180.02	329.84	303.44	665.29	497.0	599.49	397.93	214.27	346.29
TAF1A	60.39	52.08	55.1	51.71	35.25	38.4	43.94	53.95	55.49	50.98	76.17	29.27	50.98	48.52	56.68	59.13	49.91	226.54	269.6	167.9	108.9	80.57	165.57	181.28	141.02	208.38	133.36	197.09	173.85	162.14	117.6	109.66	118.43	100.13	206.94	77.79	125.24	74.58	116.78	58.71	149.12	185.11	165.57	138.1	244.57	74.58	106.63	148.09	88.26	123.5	232.94	134.3	115.16	111.99
TBCEL	156.59	164.42	83.45	143.01	172.65	136.19	127.0	141.02	109.66	115.97	155.5	115.16	149.12	178.77	122.64	194.36	137.14	366.09	368.65	229.72	289.02	228.13	256.78	316.37	248.0	356.05	234.57	244.57	223.41	202.66	217.27	253.23	195.72	199.85	218.79	212.78	229.72	172.65	295.11	194.36	173.85	293.07	301.33	384.34	239.52	197.09	271.48	165.57	616.37	312.0	341.51	293.07	183.82	223.41
TG	822695.06	857631.47	296977.71	711250.37	706337.4	531605.79	610654.84	794671.01	736332.6	794671.01	985160.01	598087.73	992012.34	932018.1	778316.89	1147449.11	906531.99	1019901.63	1264380.15	2068278.89	1452391.55	2247670.86	2126426.15	1273174.62	2375828.71	1308968.45	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1929772.37	1943195.01	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1055868.42	1622738.51	1085552.95	2263304.65	2672946.37	1864037.21
TMEM183A	769.69	775.05	785.88	728.11	785.88	733.19	860.08	703.28	698.41	703.28	802.41	688.78	769.69	791.35	595.34	733.19	748.61	954.43	961.07	1111.82	1051.79	915.51	1030.12	988.12	1225.22	1051.79	915.51	1037.29	981.29	974.5	890.44	1023.0	941.27	967.76	1001.93	1015.93	967.76	796.86	1044.52	878.17	928.3	1088.92	1037.29	1001.93	1001.93	860.08	1008.9	921.88	1191.69	1111.82	896.64	1175.27	954.43	928.3
TNKS2	353.59	395.18	244.57	309.83	371.22	320.8	209.84	260.38	287.01	279.14	361.04	228.13	403.5	389.72	172.65	463.65	323.03	872.1	753.83	642.59	579.04	529.06	624.99	633.73	563.18	759.08	532.74	500.46	493.56	432.53	412.0	647.07	412.0	483.38	575.03	454.09	507.46	336.79	633.73	435.55	444.72	591.22	647.07	808.0	684.02	466.88	529.06	435.55	1073.91	688.78	743.43	555.41	444.72	470.14
UBR2	221.86	221.86	149.12	177.53	206.94	206.94	194.36	209.84	154.42	154.42	224.97	191.67	214.27	234.57	241.19	265.87	221.86	420.68	412.0	293.07	356.05	275.28	341.51	343.89	241.19	466.88	301.33	281.09	287.01	279.14	285.03	299.25	312.0	251.48	303.44	234.57	287.01	215.77	341.51	239.52	271.48	305.55	307.69	323.03	307.69	269.6	318.57	218.79	743.43	339.14	373.81	285.03	279.14	307.69
