	GTEX.U4B1.0926.SM.4DXUV	TCGA.KN.8432.11A.01R.2315.07	TCGA.GL.8500.01A.11R.2404.07	GTEX.ZAB4.0826.SM.5LU9D	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.RNOR.1426.SM.48FDJ	GTEX.QV44.0326.SM.4R1KD	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.UPK5.1426.SM.4JBHH	TCGA.67.3770.01A.01R.0946.07	TCGA.64.1678.01A.01R.0946.07	TCGA.05.5423.01A.01R.1628.07	TCGA.75.5146.01A.01R.1628.07	TCGA.67.3772.01A.01R.0946.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.N7MS.0926.SM.2HMIZ	TCGA.37.4135.01A.01R.1100.07	TCGA.34.5234.01A.01R.1635.07	TCGA.AG.3725.11A.01R.1736.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.S341.0226.SM.5S2VG	GTEX.WXYG.0226.SM.3NB2Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF
C1orf43	2777.33	8840.04	1950.0	2520.38	4010.71	6935.54	2915.45	4972.34	4836.35	4607.24	5006.93	8840.04	10512.82	13586.57	8538.88	7749.1	17558.94	14867.79	7130.55	2434.5	2875.3	15392.14	11745.96	7803.01	3419.52	3443.31	2875.3	2875.3	3395.89	3060.45	3419.52
C1orf50	218.79	620.67	132.44	511.0	305.55	346.29	248.0	397.93	579.04	256.78	293.07	748.61	579.04	414.87	314.17	579.04	563.18	848.22	444.72	217.27	152.28	426.57	591.22	483.38	376.41	236.21	271.48	241.19	287.01	260.38	251.48
CCDC167	180.02	961.07	665.29	309.83	967.76	1111.82	423.61	738.29	743.43	1225.22	941.27	1529.73	6745.86	1950.0	2163.77	2193.99	2835.7	3820.7	1685.71	223.41	228.13	5441.3	2816.11	1963.57	819.3	684.02	353.59	493.56	854.13	1111.82	301.33
CENPM	6.78	64.8	100.83	32.36	27.44	10.63	5.87	29.27	18.97	47.84	31.22	226.54	450.94	242.88	198.47	285.03	1111.82	651.58	199.85	56.68	23.25	1769.57	830.75	543.96	37.32	17.77	14.45	37.85	50.63	25.54	39.79
CHMP4C	19.68	738.29	616.37	289.02	95.34	70.51	80.57	76.17	118.43	114.36	102.25	493.56	1340.84	819.3	921.88	547.75	457.25	860.08	466.88	38.4	102.97	500.46	336.79	866.07	500.46	392.44	194.36	444.72	412.0	423.61	529.06
CNIH4	890.44	1870.53	974.5	325.29	493.56	638.15	343.89	909.17	961.07	511.0	866.07	4972.34	4972.34	6935.54	3395.89	5006.93	4639.29	9808.75	3820.7	591.22	743.43	6699.25	6699.25	2875.3	674.59	435.55	543.96	607.87	988.12	769.69	775.05
COA6	447.82	2047.0	543.96	571.05	733.19	651.58	536.45	753.83	813.63	866.07	825.0	1457.23	5255.91	3515.68	1551.09	1721.16	3081.75	3257.52	1378.57	297.17	159.9	3690.52	3982.99	2400.97	1037.29	563.18	567.1	629.35	902.89	848.22	688.78
CRIPT	283.05	684.02	346.29	214.27	167.9	387.02	152.28	208.38	291.04	231.32	236.21	785.88	2004.85	638.15	483.38	521.76	819.3	1259.69	563.18	107.38	81.71	1088.92	954.43	728.11	239.52	182.55	191.67	199.85	197.09	176.29	172.65
DGUOK	967.76	2895.31	2163.77	1437.15	1250.98	1331.57	819.3	603.67	1015.93	563.18	1167.14	3280.18	4836.35	2664.15	3395.89	2303.12	3901.01	4152.18	2335.28	738.29	909.17	4802.93	3589.58	2555.58	1721.16	1135.2	1340.84	1487.87	2018.8	1551.09	1313.23
DPY30	1111.82	4388.98	2627.46	1295.13	1331.57	1685.71	1023.0	1651.0	1674.06	1806.78	1594.73	5995.9	7331.05	5147.73	5751.61	3419.52	6699.25	7695.57	3742.05	728.11	703.28	5366.37	5255.91	3847.29	3443.31	2351.53	1896.65	2255.7	3190.46	3665.02	3168.41
DTYMK	161.02	1208.34	896.64	162.14	289.02	135.24	180.02	189.02	417.77	283.05	262.2	1529.73	3443.31	947.83	1242.34	1037.29	2555.58	2796.65	660.68	251.48	185.11	3982.99	1844.76	1295.13	460.44	356.05	392.44	356.05	551.56	470.14	316.37
EIF4E2	1119.56	2209.26	1674.06	1066.48	1977.24	1651.0	1030.12	1963.57	2271.4	2075.59	1457.23	1745.2	4123.49	2400.97	1733.13	2682.69	3325.99	4419.52	1806.78	825.0	733.19	2468.49	3742.05	3820.7	830.75	1369.04	854.13	1167.14	1008.9	1331.57	1350.18
EMC4	1896.65	5517.27	2997.45	1572.76	2119.22	2555.58	2061.24	2240.11	2609.3	2367.9	2271.4	3589.58	5112.16	3928.15	3589.58	3168.41	4210.15	5913.33	3235.01	1135.2	1467.37	5831.91	5672.41	3665.02	2976.74	2573.36	2627.46	2573.36	3018.3	2720.15	3060.45
ENY2	2004.85	3564.78	3540.14	2935.74	3039.3	5006.93	2335.28	3146.52	3901.01	3212.66	2720.15	4802.93	6745.86	6121.9	2956.17	3564.78	5791.62	6792.79	3768.09	1674.06	2240.11	3982.99	5594.3	4543.8	2032.85	1909.85	1529.73	2555.58	2777.33	2032.85	2591.27
EXOSC1	511.0	1159.07	642.59	591.22	490.14	860.08	595.34	447.82	728.11	497.0	660.68	1259.69	1819.35	1167.14	1397.83	1073.91	1427.22	1844.76	1030.12	536.45	444.72	1397.83	1417.35	1081.39	988.12	629.35	759.08	796.86	813.63	928.3	860.08
GPR160	17.64	1950.0	830.75	181.28	18.03	34.75	9.34	17.25	50.27	55.1	139.07	2209.26	299.25	3190.46	1757.34	1268.46	529.06	941.27	1001.93	88.88	82.87	743.43	397.93	3742.05	133.36	88.26	36.01	68.55	121.79	60.82	127.0
HAX1	1529.73	5041.77	1096.5	1832.01	1909.85	1857.6	2367.9	1909.85	3103.19	1651.0	2047.0	5441.3	8840.04	5791.62	3081.75	4066.71	9344.14	6840.04	3768.09	896.64	1030.12	11504.21	6699.25	4328.55	2758.13	1757.34	2537.92	1819.35	2075.59	2224.63	2032.85
LAMTOR5	2148.82	14867.79	5913.33	2555.58	2701.35	3372.43	1697.45	2976.74	4123.49	2434.5	3146.52	6516.03	10733.74	9808.75	10084.54	4512.4	9474.59	19082.0	5633.22	896.64	1529.73	11664.82	11267.44	8421.31	5329.3	3168.41	3235.01	3820.7	4736.79	3982.99	3716.2
LEMD1	0.0	100.13	6.78	0.0	0.0	2.43	0.0	0.0	3.32	2.51	0.0	473.41	111.21	884.29	403.5	303.44	12.83	1143.1	90.14	0.0	0.0	98.04	543.96	0.0	27.84	12.36	8.06	19.25	10.63	9.41	0.0
MED31	169.07	1088.92	316.37	211.31	180.02	334.46	244.57	258.57	223.41	249.73	381.68	825.0	1540.37	1745.2	780.44	866.07	1870.53	2875.3	890.44	212.78	158.79	1457.23	1977.24	947.83	567.1	334.46	403.5	447.82	536.45	507.46	444.72
MRPL43	1529.73	5555.65	3168.41	1407.55	2193.99	1199.98	2303.12	1991.0	2367.9	1991.0	2018.8	3982.99	4123.49	4123.49	3564.78	3168.41	4736.79	5831.91	2816.11	921.88	591.22	5041.77	5183.54	4388.98	2701.35	2335.28	2335.28	2537.92	3639.7	2855.44	2591.27
MRPS15	1199.98	4010.71	1233.75	1540.37	1806.78	2555.58	2303.12	2047.0	2956.17	1936.53	3491.39	4639.29	5791.62	4450.27	3443.31	4268.94	5292.48	7032.37	3515.68	703.28	860.08	7589.61	6207.38	3768.09	1819.35	1233.75	1628.26	1340.84	1709.26	1857.6	1378.57
MT1G	218.79	28525.2	2156109.97	3290783.22	2786455.11	1656835.72	1063212.58	4079609.54	2039804.27	2126426.15	4342214.81	1628.26	5711.87	356.05	7642.41	2119.22	1286.18	11909.94	334.46	178.77	96.01	4181.07	842.36	13123.73	1838374.44	1327240.99	1093103.58	1318073.06	1645391.11	1393227.06	3601083.44
NENF	1051.79	4450.27	743.43	1437.15	2090.03	607.87	2816.11	1073.91	1304.15	1745.2	1340.84	5329.3	2400.97	4736.79	3874.05	4481.23	3847.29	6121.9	3589.58	1088.92	2193.99	7537.18	4607.24	3419.52	3847.29	1304.15	2032.85	1583.71	2935.74	2240.11	1991.0
NOP10	1745.2	7642.41	4512.4	3515.68	3820.7	3982.99	2520.38	3874.05	5594.3	4181.07	4181.07	7537.18	5183.54	8901.53	5751.61	6887.62	11504.21	17927.91	7749.1	2816.11	2075.59	10808.41	11267.44	10368.08	4268.94	2609.3	3124.78	3540.14	4704.07	3874.05	3716.2
NPM3	101.54	1304.15	723.08	327.56	555.41	368.65	297.17	120.94	785.88	163.28	170.25	2609.3	3665.02	2367.9	1331.57	1378.57	3614.55	3614.55	1378.57	163.28	206.94	3349.13	3443.31	1268.46	575.03	297.17	483.38	490.14	490.14	334.46	264.03
NTPCR	665.29	4095.0	1313.23	836.53	1551.09	1295.13	693.58	1081.39	1175.27	1081.39	1304.15	2555.58	3081.75	3124.78	1709.26	2997.45	2417.67	3372.43	2240.11	1183.45	1143.1	4903.87	3018.3	2287.2	2178.83	1073.91	1066.48	1044.52	1639.59	1617.0	1378.57
NXT1	269.6	808.0	336.79	226.54	167.9	173.85	117.6	146.03	242.88	104.42	232.94	1397.83	3540.14	854.13	2573.36	1304.15	2240.11	2976.74	825.0	638.15	503.95	1467.37	2400.97	819.3	532.74	325.29	536.45	466.88	521.76	514.56	299.25
PAFAH1B3	69.52	1081.39	591.22	285.03	194.36	70.01	72.01	291.04	178.77	271.48	532.74	890.44	4358.66	723.08	2485.67	2224.63	2502.97	2537.92	1151.06	114.36	115.97	2090.03	878.17	928.3	620.67	403.5	500.46	318.57	532.74	575.03	303.44
PDZD11	503.95	2224.63	1709.26	884.29	647.07	703.28	518.15	665.29	743.43	813.63	759.08	2451.44	3395.89	2591.27	1583.71	1870.53	3168.41	3982.99	1857.6	356.05	525.39	3716.2	2777.33	2090.03	1519.15	934.76	954.43	1051.79	1369.04	1127.35	1066.48
PHF5A	463.65	1662.49	563.18	334.46	555.41	718.08	356.05	414.87	753.83	450.94	521.76	1883.54	2609.3	1639.59	1487.87	1519.15	2303.12	2895.31	1540.37	392.44	305.55	4328.55	4450.27	1806.78	890.44	511.0	583.07	733.19	872.1	665.29	633.73
PPIH	397.93	1617.0	591.22	460.44	426.57	438.59	314.17	251.48	723.08	412.0	334.46	1936.53	3768.09	1963.57	1369.04	2163.77	2255.7	3018.3	1427.22	175.07	429.54	4328.55	2367.9	1950.0	981.29	902.89	872.1	1151.06	1081.39	1199.98	1225.22
PSMA7	3955.48	7230.1	5403.7	4328.55	6207.38	4903.87	2976.74	4358.66	6337.83	4903.87	4671.57	6561.36	17927.91	12329.98	8363.13	10084.54	13872.08	14561.8	8421.31	2816.11	3372.43	26248.46	16496.96	8658.09	3280.18	4181.07	3955.48	3982.99	5006.93	4937.99	3794.3
PSMG3	229.72	2061.24	1508.65	341.51	429.54	339.14	656.11	237.86	703.28	314.17	571.05	2796.65	2255.7	2104.58	1151.06	1883.54	5831.91	3467.27	1529.73	198.47	204.07	4575.41	4937.99	1662.49	902.89	679.29	638.15	796.86	1208.34	1167.14	743.43
RNF7	1135.2	3874.05	2319.15	1250.98	1498.22	1322.37	1397.83	1437.15	1923.14	1183.45	1572.76	3716.2	3081.75	3395.89	2004.85	2468.49	5555.65	4972.34	2935.74	1487.87	961.07	6164.49	6426.31	5751.61	2417.67	1909.85	2018.8	2004.85	2335.28	2400.97	2303.12
SELT	1651.0	7695.57	2047.0	796.86	1437.15	2627.46	981.29	1857.6	2209.26	1819.35	1806.78	8305.36	4769.75	8247.98	3303.0	4328.55	8078.22	9025.81	7433.4	1487.87	1250.98	9409.14	13776.25	6037.61	2796.65	2627.46	2451.44	2209.26	2935.74	2555.58	2796.65
SLC50A1	299.25	2855.44	409.15	1617.0	830.75	684.02	660.68	703.28	808.0	497.0	1540.37	6652.97	3768.09	7911.95	5672.41	5403.7	6792.79	7642.41	2537.92	1135.2	543.96	3614.55	3690.52	2895.31	1037.29	1175.27	941.27	1127.35	1427.22	1617.0	1037.29
SLC5A2	9.27	53.95	21.16	6.89	2.68	9.13	11.73	3.08	9.78	10.63	17.9	120.94	68.07	177.53	145.02	27.64	17.9	58.71	33.78	1.69	10.24	26.1	27.25	32.59	22.59	8.06	19.82	20.11	23.42	5.45	10.63
SMIM12	684.02	2664.15	718.08	890.44	1551.09	896.64	738.29	1397.83	2384.37	819.3	1143.1	2417.67	2417.67	1628.26	1127.35	1745.2	2119.22	2682.69	1617.0	753.83	896.64	1781.89	3103.19	2193.99	723.08	941.27	1008.9	947.83	988.12	1167.14	775.05
SNRPB	2591.27	4388.98	3467.27	1991.0	2104.58	1447.15	1225.22	947.83	3081.75	780.44	1295.13	6935.54	13492.72	4639.29	5672.41	4802.93	17078.76	10733.74	3874.05	2645.74	2895.31	16960.78	8778.97	5751.61	2468.49	2468.49	2976.74	2915.45	3018.3	3639.7	2645.74
SNRPG	1225.22	6079.61	3395.89	1605.83	2032.85	2287.2	1286.18	1806.78	3146.52	1963.57	1745.2	9808.75	24660.96	8658.09	7032.37	6037.61	12764.83	16611.71	7130.55	2133.97	1127.35	21468.49	18052.61	8191.0	2796.65	2855.44	1757.34	3060.45	3168.41	3303.0	3235.01
SNX11	420.68	1081.39	406.31	144.01	242.88	164.42	172.65	204.07	271.48	258.57	194.36	698.41	713.11	759.08	660.68	813.63	698.41	1143.1	808.0	246.28	258.57	1233.75	1322.37	802.41	830.75	620.67	567.1	703.28	708.18	633.73	579.04
STK32C	138.1	441.64	343.89	118.43	99.43	53.57	273.37	35.76	124.37	185.11	164.42	217.27	267.73	198.47	470.14	325.29	346.29	540.19	283.05	183.82	105.89	273.37	223.41	251.48	146.03	199.85	187.71	156.59	180.02	170.25	202.66
TMA7	2645.74	19618.49	8421.31	4903.87	5403.7	4512.4	4836.35	5292.48	8538.88	5555.65	4802.93	13968.57	21768.19	16269.83	8901.53	8598.28	18819.27	22850.48	13123.73	5041.77	3742.05	18819.27	20310.37	19082.0	13492.72	6561.36	7382.04	9540.5	9540.5	11664.82	11424.74
TMEM126B	728.11	3665.02	1519.15	791.35	511.0	928.3	450.94	878.17	825.0	555.41	1175.27	4769.75	2417.67	4152.18	2287.2	2133.97	2816.11	5995.9	2701.35	713.11	529.06	2573.36	4388.98	2895.31	1096.5	1044.52	825.0	1096.5	1119.56	1111.82	1015.93
TMEM14C	2335.28	10368.08	5751.61	1757.34	2502.97	2777.33	1674.06	2895.31	2935.74	2645.74	2796.65	7966.99	12329.98	6652.97	5633.22	6426.31	11745.96	8778.97	5366.37	1135.2	1159.07	7642.41	11504.21	8598.28	4607.24	2915.45	2895.31	3349.13	4268.94	3874.05	3820.7
TMEM182	22.1	323.03	98.73	15.22	63.89	115.97	19.11	114.36	26.86	50.98	163.28	309.83	228.13	195.72	193.01	205.5	218.79	348.71	163.28	34.51	12.55	258.57	166.73	119.26	68.55	50.98	71.0	62.12	55.1	57.08	45.21
TMEM183A	1313.23	2384.37	511.0	457.25	466.88	743.43	307.69	830.75	1242.34	921.88	791.35	1991.0	4095.0	3540.14	2075.59	1685.71	3168.41	4123.49	1909.85	656.11	616.37	8840.04	4210.15	3564.78	1001.93	1030.12	860.08	1023.0	878.17	860.08	1008.9
TMEM223	186.4	1331.57	884.29	271.48	587.13	236.21	447.82	379.04	836.53	483.38	444.72	1008.9	2255.7	1250.98	1008.9	780.44	1477.58	1896.65	616.37	273.37	145.02	1639.59	1498.22	1359.57	607.87	395.18	543.96	514.56	688.78	638.15	518.15
TMEM258	1378.57	7130.55	4575.41	3018.3	3372.43	5147.73	2255.7	2739.08	3768.09	3168.41	3235.01	9474.59	21320.18	10959.3	11035.54	9025.81	11035.54	13872.08	9673.69	2061.24	2997.45	11504.21	10659.59	8718.32	6516.03	3212.66	3742.05	4769.75	5711.87	5112.16	4543.8
TMEM70	507.46	1044.52	575.03	211.31	591.22	830.75	376.41	674.59	974.5	543.96	808.0	1733.13	3303.0	2664.15	896.64	1417.35	1628.26	2287.2	1225.22	866.07	371.22	647.07	1674.06	1447.15	351.14	262.2	318.57	417.77	444.72	373.81	320.8
TXNDC17	1104.13	4903.87	5403.7	3665.02	3742.05	3419.52	2573.36	3146.52	5555.65	4671.57	4181.07	11345.82	13872.08	25887.07	11345.82	11909.94	12943.04	26986.43	7911.95	384.34	583.07	5441.3	14361.31	12589.08	3443.31	1745.2	1508.65	2400.97	3081.75	3039.3	2485.67
UQCC2	314.17	5041.77	1651.0	1030.12	1242.34	1096.5	1397.83	1233.75	1561.89	1216.75	1781.89	12943.04	26248.46	5255.91	5441.3	7695.57	11424.74	9474.59	4010.71	579.04	559.28	9876.98	10808.41	4358.66	3325.99	1781.89	2855.44	2502.97	3419.52	3349.13	1819.35
UQCRH	3874.05	19482.97	8305.36	4388.98	3395.89	4388.98	2287.2	4450.27	7331.05	5183.54	4388.98	18178.19	20737.16	10225.32	9673.69	16960.78	18819.27	23330.64	7382.04	1909.85	2287.2	16045.82	20593.91	25530.66	7695.57	4298.64	3820.7	5041.77	6337.83	6652.97	6164.49
UXT	1733.13	7180.15	3614.55	3212.66	2591.27	3303.0	2645.74	2335.28	2319.15	2451.44	2400.97	5479.15	12244.81	8718.32	4836.35	6164.49	10154.69	11035.54	7485.11	1487.87	1709.26	12160.22	11345.82	9474.59	4543.8	2855.44	3257.52	3349.13	3982.99	4543.8	3018.3
WFDC3	4.06	125.24	166.73	56.68	0.0	24.81	19.97	17.51	8.25	28.24	20.71	759.08	236.21	9088.59	269.6	1457.23	1757.34	9025.81	312.0	19.53	2.89	269.6	620.67	285.03	14.14	8.78	42.11	34.26	45.85	12.45	57.89
XRCC6BP1	122.64	348.71	147.06	89.51	214.27	129.69	205.5	71.0	158.79	144.01	193.01	346.29	281.09	373.81	316.37	249.73	293.07	269.6	108.9	150.17	24.11	220.32	381.68	753.83	202.66	133.36	148.09	226.54	176.29	202.66	149.12
ZCCHC17	551.56	1685.71	559.28	376.41	412.0	320.8	218.79	232.94	603.67	255.0	212.78	1697.45	1709.26	1498.22	1143.1	1540.37	1819.35	2104.58	1183.45	525.39	366.09	2335.28	2133.97	1605.83	1015.93	718.08	579.04	802.41	693.58	708.18	802.41
ZNHIT3	660.68	1896.65	1277.29	426.57	780.44	748.61	896.64	665.29	1088.92	688.78	647.07	2271.4	3124.78	1561.89	1519.15	1447.15	1936.53	1745.2	1508.65	412.0	293.07	3690.52	2090.03	1896.65	1233.75	708.18	796.86	967.76	1015.93	848.22	954.43
