	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF29.1926.SM.5S2P1	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.ZTX8.0426.SM.59HLG	GTEX.11P7K.1726.SM.5GU6F
CHMP2B	1467.37	1250.98	432.53	211.31	423.61	363.56	223.41	258.57	392.44	253.23	332.14	400.71	651.58	183.82	256.78	412.0	271.48	1037.29	921.88	1030.12	473.41	1008.9	1437.15	947.83	808.0	775.05	629.35	1268.46	1073.91	967.76	1015.93	802.41	1225.22	612.11	825.0	1769.57	909.17	866.07	802.41	1769.57	1259.69	860.08	878.17	967.76	988.12	718.08	1487.87	669.92	1059.11	679.29	2573.36	1216.75	660.68	941.27	529.06	1427.22	1135.2	1437.15	1709.26	1369.04
CTDSPL2	1059.11	514.56	96.01	63.0	47.84	69.52	52.45	54.33	40.93	50.98	54.72	49.91	49.21	47.5	37.59	62.12	51.71	232.94	142.01	171.45	94.67	246.28	191.67	209.84	172.65	143.01	131.51	214.27	249.73	129.69	165.57	143.01	157.68	171.45	112.77	221.86	218.79	211.31	285.03	387.02	181.28	186.4	273.37	177.53	223.41	185.11	232.94	103.69	102.97	181.28	329.84	189.02	114.36	332.14	193.01	361.04	346.29	339.14	486.75	432.53
DHX29	1397.83	842.36	195.72	193.01	146.03	209.84	191.67	148.09	226.54	154.42	165.57	224.97	215.77	232.94	89.51	148.09	142.01	341.51	229.72	262.2	187.71	232.94	212.78	239.52	191.67	267.73	327.56	361.04	356.05	271.48	406.31	264.03	346.29	239.52	135.24	246.28	273.37	376.41	318.57	571.05	312.0	201.25	307.69	312.0	373.81	248.0	220.32	202.66	323.03	381.68	836.53	507.46	190.34	595.34	141.02	638.15	426.57	392.44	708.18	423.61
DHX40	2224.63	1104.13	149.12	142.01	142.01	171.45	194.36	118.43	130.6	141.02	120.94	163.28	118.43	155.5	100.13	185.11	106.63	429.54	713.11	316.37	191.67	616.37	656.11	457.25	647.07	348.71	438.59	376.41	878.17	381.68	753.83	429.54	830.75	638.15	409.15	567.1	503.95	473.41	432.53	466.88	423.61	387.02	540.19	358.54	780.44	435.55	1059.11	241.19	343.89	620.67	733.19	406.31	417.77	884.29	423.61	543.96	872.1	368.65	802.41	718.08
DOCK1	1477.58	1498.22	228.13	223.41	190.34	127.89	98.73	217.27	187.71	171.45	209.84	92.05	92.05	256.78	140.04	191.67	100.83	447.82	629.35	318.57	285.03	529.06	351.14	336.79	334.46	244.57	299.25	293.07	633.73	273.37	417.77	363.56	476.71	591.22	277.2	460.44	403.5	454.09	403.5	511.0	547.75	480.04	529.06	332.14	297.17	493.56	395.18	232.94	299.25	211.31	307.69	406.31	363.56	660.68	647.07	629.35	1023.0	457.25	780.44	674.59
DSTYK	400.71	336.79	22.43	90.14	32.82	28.24	15.68	64.8	54.72	29.91	16.88	40.36	41.52	47.5	13.03	26.1	11.64	158.79	176.29	105.15	82.29	239.52	164.42	175.07	195.72	107.38	181.28	135.24	229.72	127.0	165.57	199.85	217.27	199.85	101.54	198.47	157.68	173.85	146.03	135.24	120.94	149.12	175.07	158.79	177.53	187.71	181.28	100.13	127.0	150.17	183.82	129.69	143.01	206.94	147.06	205.5	287.01	120.1	204.07	175.07
FAM115A	947.83	995.0	303.44	232.94	152.28	363.56	307.69	140.04	269.6	141.02	193.01	205.5	194.36	191.67	112.77	376.41	260.38	361.04	665.29	253.23	224.97	890.44	406.31	511.0	780.44	441.64	708.18	343.89	836.53	406.31	563.18	490.14	718.08	559.28	195.72	403.5	417.77	518.15	708.18	486.75	447.82	409.15	571.05	339.14	547.75	426.57	547.75	291.04	429.54	423.61	381.68	271.48	291.04	1059.11	493.56	612.11	981.29	264.03	500.46	808.0
FAM172A	1030.12	775.05	74.06	99.43	55.89	61.68	46.84	56.68	70.51	70.01	37.05	60.39	57.89	89.51	39.79	74.06	57.49	158.79	239.52	147.06	127.89	169.07	183.82	142.01	193.01	136.19	105.89	237.86	312.0	165.57	234.57	212.78	281.09	201.25	90.77	229.72	180.02	177.53	214.27	264.03	205.5	175.07	211.31	182.55	193.01	226.54	183.82	97.36	151.22	297.17	273.37	218.79	148.09	303.44	117.6	339.14	299.25	249.73	698.41	490.14
FEM1B	1540.37	1135.2	165.57	92.7	120.1	239.52	265.87	102.25	110.43	153.34	178.77	74.58	99.43	85.82	101.54	170.25	194.36	384.34	299.25	420.68	309.83	420.68	343.89	341.51	285.03	269.6	289.02	351.14	563.18	389.72	361.04	258.57	400.71	325.29	279.14	470.14	429.54	368.65	299.25	540.19	529.06	314.17	514.56	348.71	376.41	376.41	423.61	237.86	253.23	307.69	651.58	309.83	316.37	693.58	269.6	503.95	521.76	599.49	961.07	764.36
FOXJ2	575.03	435.55	64.34	82.29	35.25	63.89	53.19	59.55	66.65	71.0	69.03	82.87	20.41	54.72	60.82	61.25	48.87	194.36	281.09	379.04	183.82	343.89	251.48	215.77	249.73	150.17	258.57	211.31	325.29	260.38	283.05	309.83	262.2	205.5	191.67	269.6	384.34	323.03	197.09	283.05	412.0	218.79	603.67	242.88	256.78	204.07	226.54	180.02	206.94	191.67	295.11	195.72	226.54	371.22	273.37	275.28	293.07	395.18	476.71	563.18
FZD3	198.47	177.53	13.22	2.23	20.71	12.36	15.91	0.0	14.24	5.11	13.22	6.78	9.7	4.74	6.62	5.63	7.4	17.38	26.86	32.13	32.13	40.64	29.06	38.4	45.85	9.78	24.99	49.91	47.17	28.45	41.52	27.05	65.72	34.51	42.41	31.67	15.8	28.04	66.65	64.8	22.92	56.68	105.15	28.04	75.11	19.82	60.82	21.47	23.25	33.3	116.78	50.63	34.26	59.97	32.82	38.12	36.79	73.03	134.3	142.01
GABPA	1088.92	616.37	157.68	88.26	96.68	121.79	93.35	102.25	81.14	93.35	177.53	102.97	70.01	81.14	64.34	163.28	138.1	264.03	285.03	281.09	150.17	320.8	262.2	325.29	285.03	283.05	185.11	336.79	529.06	241.19	353.59	314.17	376.41	232.94	171.45	435.55	381.68	353.59	269.6	466.88	195.72	305.55	264.03	312.0	392.44	229.72	289.02	221.86	241.19	297.17	507.46	271.48	248.0	563.18	232.94	441.64	540.19	285.03	363.56	463.65
GINM1	2682.69	2032.85	656.11	633.73	723.08	529.06	269.6	237.86	463.65	373.81	518.15	301.33	336.79	412.0	444.72	575.03	312.0	1030.12	1407.55	947.83	444.72	1407.55	1397.83	665.29	974.5	866.07	791.35	1457.23	1540.37	928.3	1159.07	961.07	1331.57	1605.83	476.71	1233.75	1709.26	1369.04	1167.14	1143.1	1359.57	1151.06	753.83	764.36	1111.82	1111.82	1457.23	466.88	1175.27	1208.34	2047.0	1216.75	866.07	1340.84	624.99	1605.83	1733.13	1096.5	1757.34	1378.57
GLG1	1819.35	3515.68	470.14	651.58	281.09	432.53	371.22	412.0	346.29	426.57	587.13	457.25	551.56	473.41	466.88	490.14	334.46	764.36	2075.59	1073.91	1037.29	1794.29	974.5	872.1	1044.52	414.87	1081.39	848.22	1529.73	1059.11	1199.98	1199.98	1457.23	1870.53	486.75	954.43	1259.69	1135.2	1709.26	1304.15	995.0	1119.56	1685.71	1135.2	1313.23	988.12	1175.27	808.0	785.88	1605.83	1628.26	1359.57	1250.98	2047.0	1143.1	1529.73	1127.35	2178.83	1508.65	1583.71
HIAT1	1467.37	1066.48	224.97	211.31	289.02	305.55	155.5	211.31	215.77	232.94	169.07	314.17	297.17	190.34	202.66	242.88	244.57	1191.69	819.3	633.73	738.29	915.51	934.76	718.08	629.35	616.37	651.58	1233.75	1697.45	703.28	961.07	728.11	947.83	796.86	463.65	1143.1	836.53	854.13	738.29	1417.35	1551.09	775.05	884.29	1208.34	780.44	764.36	921.88	624.99	825.0	866.07	1733.13	1044.52	728.11	995.0	432.53	1135.2	1088.92	1340.84	1037.29	995.0
HMGB1	11424.74	8658.09	4066.71	4802.93	3768.09	4704.07	2682.69	4903.87	3443.31	3955.48	3955.48	2701.35	2645.74	3794.3	2224.63	4419.52	4704.07	3928.15	5292.48	6164.49	3928.15	4388.98	6250.56	4802.93	6037.61	9279.58	3874.05	5112.16	9474.59	4268.94	6561.36	6792.79	4639.29	7032.37	4736.79	7537.18	6250.56	5872.48	7032.37	6561.36	8191.0	5183.54	7589.61	3820.7	6983.79	4481.23	4358.66	6516.03	5517.27	5479.15	9808.75	4972.34	3847.29	6887.62	4358.66	6037.61	4836.35	6381.92	9945.68	9673.69
HSF2	567.1	463.65	58.3	98.73	61.68	84.63	36.79	41.81	66.65	40.36	73.54	39.22	96.68	76.17	40.93	68.07	35.25	104.42	121.79	190.34	138.1	127.0	127.0	199.85	211.31	236.21	170.25	187.71	323.03	190.34	224.97	176.29	190.34	178.77	223.41	144.01	212.78	153.34	217.27	334.46	273.37	199.85	429.54	98.73	236.21	113.56	283.05	151.22	130.6	166.73	358.54	152.28	177.53	204.07	169.07	211.31	217.27	656.11	339.14	395.18
KIF5B	2855.44	2664.15	232.94	348.71	260.38	253.23	141.02	258.57	277.2	198.47	186.4	258.57	248.0	269.6	98.04	221.86	209.84	1286.18	1127.35	1008.9	854.13	1447.15	988.12	1378.57	934.76	1001.93	941.27	1208.34	1674.06	1151.06	1159.07	1159.07	1295.13	1242.34	595.34	1572.76	1008.9	1277.29	1628.26	2271.4	1199.98	961.07	1044.52	1286.18	1388.16	1119.56	1023.0	836.53	1066.48	981.29	1781.89	1295.13	629.35	1397.83	947.83	1870.53	1781.89	1277.29	2417.67	1857.6
KLHL7	1617.0	551.56	177.53	120.1	181.28	183.82	251.48	206.94	144.01	154.42	237.86	189.02	185.11	167.9	120.94	173.85	114.36	255.0	426.57	307.69	166.73	325.29	500.46	466.88	406.31	312.0	265.87	371.22	571.05	348.71	444.72	511.0	688.78	295.11	218.79	483.38	540.19	473.41	507.46	591.22	226.54	293.07	336.79	299.25	493.56	269.6	563.18	293.07	307.69	595.34	620.67	334.46	318.57	423.61	305.55	518.15	620.67	447.82	587.13	656.11
KRIT1	1073.91	819.3	258.57	156.59	156.59	325.29	204.07	205.5	180.02	139.07	154.42	239.52	117.6	248.0	57.89	231.32	201.25	329.84	414.87	567.1	277.2	543.96	587.13	486.75	493.56	447.82	470.14	444.72	647.07	529.06	563.18	414.87	447.82	500.46	473.41	521.76	470.14	698.41	387.02	603.67	341.51	571.05	441.64	339.14	507.46	346.29	555.41	389.72	353.59	483.38	426.57	423.61	571.05	684.02	503.95	679.29	872.1	563.18	878.17	759.08
LRRC58	813.63	642.59	90.14	82.87	82.29	116.78	70.01	131.51	56.28	89.51	65.72	81.71	117.6	85.22	28.86	87.03	92.05	159.9	182.55	137.14	147.06	171.45	147.06	128.79	135.24	115.16	139.07	255.0	486.75	199.85	157.68	157.68	214.27	181.28	90.77	246.28	205.5	153.34	237.86	466.88	152.28	195.72	267.73	161.02	234.57	116.78	170.25	135.24	128.79	148.09	848.22	253.23	120.94	318.57	102.97	258.57	289.02	336.79	334.46	264.03
LTN1	555.41	543.96	86.43	28.45	44.25	70.51	35.5	38.67	29.7	41.22	57.49	44.89	19.68	45.21	33.54	61.68	36.01	157.68	99.43	223.41	115.16	176.29	107.38	198.47	156.59	139.07	116.78	190.34	379.04	189.02	211.31	124.37	164.42	115.16	96.68	159.9	224.97	186.4	198.47	297.17	80.01	178.77	127.89	183.82	181.28	136.19	202.66	134.3	147.06	176.29	189.02	190.34	136.19	273.37	133.36	231.32	291.04	175.07	190.34	206.94
MATR3	10808.41	6516.03	1388.16	1685.71	1151.06	1733.13	1096.5	1051.79	1378.57	1066.48	1322.37	1857.6	1709.26	1617.0	514.56	1295.13	954.43	4181.07	3257.52	2739.08	3018.3	3690.52	3515.68	3639.7	2555.58	3124.78	2555.58	4038.61	4937.99	2976.74	3982.99	3589.58	3768.09	3443.31	1745.2	3794.3	3742.05	3443.31	3443.31	5517.27	3768.09	2956.17	3847.29	3349.13	3614.55	3257.52	3768.09	2367.9	3589.58	3303.0	6935.54	3467.27	2520.38	5366.37	2895.31	4704.07	4239.45	4575.41	4481.23	4512.4
MEX3C	1001.93	703.28	115.97	76.71	107.38	119.26	42.11	56.68	76.71	67.59	80.01	63.89	92.05	74.06	57.49	90.14	166.73	387.02	162.14	154.42	241.19	429.54	297.17	204.07	223.41	178.77	301.33	277.2	273.37	224.97	209.84	190.34	358.54	234.57	183.82	307.69	256.78	334.46	269.6	423.61	454.09	169.07	323.03	267.73	262.2	228.13	297.17	206.94	187.71	287.01	373.81	154.42	166.73	466.88	297.17	320.8	409.15	356.05	497.0	612.11
MIB1	693.58	802.41	102.25	75.64	67.12	80.57	49.56	57.89	53.95	52.08	44.25	47.5	40.36	61.68	46.18	92.7	50.27	211.31	148.09	125.24	78.34	214.27	165.57	143.01	137.14	117.6	136.19	127.89	346.29	135.24	130.6	126.12	191.67	161.02	92.7	185.11	178.77	149.12	154.42	260.38	181.28	131.51	279.14	129.69	185.11	175.07	157.68	102.97	108.9	127.89	273.37	132.44	104.42	283.05	143.01	211.31	348.71	209.84	395.18	309.83
MITF	1572.76	595.34	31.22	9.34	27.64	17.38	10.55	15.11	19.39	13.22	30.12	5.45	14.89	17.64	15.22	10.96	7.88	403.5	217.27	297.17	115.16	438.59	529.06	229.72	318.57	236.21	121.79	119.26	361.04	148.09	293.07	186.4	242.88	283.05	220.32	500.46	251.48	220.32	170.25	277.2	248.0	260.38	616.37	237.86	183.82	332.14	258.57	221.86	221.86	186.4	447.82	320.8	389.72	371.22	217.27	312.0	373.81	412.0	460.44	1023.0
NCKAP1	3928.15	2303.12	463.65	327.56	511.0	450.94	205.5	447.82	358.54	251.48	320.8	429.54	291.04	373.81	303.44	406.31	189.02	1295.13	1143.1	748.61	878.17	1208.34	902.89	1088.92	748.61	941.27	1030.12	1268.46	1697.45	1331.57	1378.57	1008.9	995.0	1081.39	567.1	2133.97	961.07	1540.37	1519.15	2032.85	1447.15	941.27	1407.55	1073.91	988.12	866.07	1015.93	769.69	954.43	860.08	2303.12	1151.06	567.1	1709.26	902.89	2032.85	1794.29	1427.22	3515.68	2555.58
NEDD1	536.45	480.04	45.21	34.26	54.72	60.39	29.91	24.63	30.56	20.71	39.79	28.65	51.35	30.78	17.9	34.75	17.64	133.36	145.02	158.79	130.6	251.48	166.73	185.11	167.9	172.65	111.21	189.02	412.0	176.29	242.88	176.29	248.0	217.27	96.68	170.25	136.19	152.28	246.28	571.05	98.04	127.89	162.14	159.9	248.0	132.44	127.0	133.36	110.43	164.42	318.57	202.66	161.02	392.44	155.5	232.94	346.29	217.27	332.14	341.51
OXR1	2047.0	954.43	241.19	224.97	234.57	260.38	100.83	137.14	397.93	170.25	177.53	400.71	180.02	432.53	105.15	323.03	204.07	217.27	395.18	412.0	167.9	429.54	563.18	457.25	379.04	397.93	325.29	336.79	642.59	376.41	497.0	409.15	450.94	429.54	253.23	483.38	497.0	457.25	389.72	708.18	389.72	540.19	748.61	209.84	547.75	237.86	476.71	241.19	224.97	336.79	532.74	395.18	353.59	651.58	366.09	476.71	624.99	660.68	775.05	819.3
PDS5B	1183.45	941.27	125.24	177.53	81.71	88.26	53.57	125.24	104.42	74.58	50.63	67.59	46.5	105.15	38.12	105.89	93.35	316.37	463.65	281.09	224.97	397.93	295.11	277.2	312.0	275.28	376.41	241.19	384.34	262.2	346.29	248.0	291.04	249.73	307.69	497.0	281.09	450.94	392.44	348.71	287.01	346.29	476.71	244.57	348.71	206.94	281.09	301.33	199.85	303.44	381.68	258.57	212.78	511.0	293.07	476.71	403.5	543.96	567.1	551.56
PJA2	5594.3	2855.44	525.39	412.0	361.04	679.29	381.68	320.8	454.09	289.02	476.71	463.65	287.01	320.8	476.71	595.34	387.02	1340.84	1467.37	915.51	583.07	1551.09	1143.1	1167.14	759.08	825.0	780.44	1540.37	2240.11	830.75	1487.87	1331.57	1697.45	1073.91	287.01	1697.45	1572.76	934.76	1225.22	2090.03	1295.13	1073.91	1242.34	1286.18	1551.09	1127.35	1359.57	571.05	1119.56	1359.57	2645.74	1242.34	825.0	2075.59	656.11	1594.73	2367.9	2061.24	2573.36	2816.11
POLK	866.07	444.72	89.51	50.63	62.56	133.36	63.89	56.68	56.68	48.87	55.1	81.14	70.51	104.42	18.29	81.14	53.95	177.53	165.57	220.32	148.09	232.94	204.07	202.66	189.02	180.02	104.42	195.72	493.56	194.36	260.38	215.77	226.54	217.27	88.26	229.72	220.32	231.32	283.05	423.61	271.48	237.86	241.19	223.41	215.77	187.71	197.09	170.25	140.04	177.53	409.15	249.73	170.25	429.54	139.07	323.03	325.29	511.0	414.87	403.5
PPP1R2	2485.67	961.07	287.01	371.22	265.87	262.2	195.72	612.11	211.31	361.04	426.57	343.89	371.22	353.59	124.37	264.03	186.4	684.02	595.34	698.41	409.15	603.67	1073.91	665.29	674.59	713.11	466.88	947.83	1081.39	500.46	802.41	728.11	967.76	813.63	438.59	928.3	825.0	728.11	656.11	1167.14	1044.52	780.44	764.36	921.88	764.36	642.59	890.44	381.68	647.07	743.43	1551.09	764.36	647.07	909.17	684.02	954.43	909.17	1508.65	1844.76	1651.0
PRKAR1A	6164.49	6207.38	1313.23	1427.22	1733.13	1769.57	854.13	1191.69	1733.13	1051.79	693.58	1594.73	872.1	2287.2	1233.75	1447.15	536.45	6561.36	7857.29	4802.93	3168.41	8840.04	8658.09	7032.37	6983.79	4639.29	3901.01	5329.3	6840.04	5711.87	5555.65	4419.52	5366.37	5041.77	2997.45	10084.54	4358.66	4543.8	6607.01	8363.13	5479.15	4903.87	6337.83	5006.93	9474.59	5255.91	7749.1	3540.14	6607.01	7642.41	7032.37	5791.62	3491.39	5041.77	4239.45	6516.03	6516.03	6935.54	4181.07	4937.99
