	GTEX.S341.1326.SM.4AD72	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.U8T8.2226.SM.3DB95	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T
B9D1	1286.18	173.85	995.0	775.05	1883.54	629.35	738.29	571.05	974.5	497.0	753.83	638.15	802.41	947.83	603.67	813.63	591.22	363.56	447.82	866.07	785.88	275.28	612.11	529.06	215.77	642.59	642.59	842.36	571.05	802.41	896.64	389.72	1733.13	470.14	1023.0	392.44	842.36	441.64	988.12	961.07	1733.13	214.27	848.22	567.1	612.11	723.08	1208.34	460.44	291.04	221.86	303.44
BAI2	126.12	124.37	68.07	37.32	244.57	111.99	90.77	32.36	96.68	87.03	156.59	98.04	21.47	158.79	77.25	224.97	41.52	45.53	94.67	66.65	151.22	23.76	43.32	43.02	56.28	127.89	88.88	68.07	46.5	100.13	71.0	39.22	293.07	12.18	262.2	9.34	59.13	37.32	111.99	100.13	98.04	16.63	204.07	41.52	43.94	115.16	87.65	16.88	26.1	65.26	20.56
BBS5	281.09	136.19	289.02	88.26	514.56	275.28	142.01	105.89	242.88	127.0	256.78	125.24	131.51	447.82	127.0	246.28	158.79	103.69	172.65	96.68	332.14	78.34	87.03	146.03	129.69	159.9	185.11	194.36	132.44	253.23	194.36	131.51	363.56	169.07	470.14	116.78	94.67	139.07	373.81	212.78	409.15	63.45	323.03	133.36	119.26	239.52	329.84	71.0	135.24	167.9	120.94
C10orf111	42.41	8.06	18.97	5.11	55.49	8.45	20.56	8.19	22.75	17.77	26.67	21.78	12.0	27.64	16.75	41.22	10.31	10.63	16.88	7.28	10.71	2.94	6.73	12.0	10.16	12.36	17.13	15.8	8.99	26.47	17.9	17.25	31.67	3.89	36.01	1.6	6.62	11.13	15.0	15.34	31.45	4.82	41.52	4.35	9.85	23.59	36.27	7.63	4.35	3.72	3.82
C11orf70	3146.52	206.94	603.67	567.1	1909.85	642.59	297.17	493.56	669.92	642.59	361.04	303.44	540.19	463.65	329.84	1639.59	202.66	149.12	412.0	638.15	525.39	88.26	291.04	620.67	105.15	265.87	669.92	684.02	480.04	688.78	547.75	150.17	1769.57	175.07	981.29	129.69	346.29	120.94	974.5	878.17	2664.15	82.87	567.1	368.65	305.55	420.68	1167.14	220.32	73.54	31.67	176.29
C11orf88	726195.27	1313.23	3794.3	1127.35	8538.88	2895.31	2701.35	2537.92	4010.71	1498.22	2468.49	2502.97	1529.73	2777.33	2075.59	4575.41	1369.04	934.76	2287.2	1447.15	3190.46	579.04	842.36	2271.4	764.36	2209.26	2351.53	4038.61	2178.83	2502.97	3540.14	1857.6	9945.68	603.67	5672.41	397.93	1088.92	1721.16	4903.87	2384.37	6983.79	483.38	3540.14	1709.26	2303.12	2090.03	4802.93	921.88	177.53	281.09	387.02
C16orf93	684.02	74.06	368.65	183.82	1369.04	642.59	397.93	195.72	521.76	212.78	688.78	389.72	305.55	665.29	309.83	825.0	281.09	231.32	291.04	295.11	518.15	107.38	155.5	170.25	164.42	368.65	571.05	373.81	195.72	379.04	470.14	181.28	1023.0	162.14	1119.56	134.3	195.72	379.04	480.04	366.09	642.59	41.81	693.58	237.86	387.02	551.56	753.83	111.21	96.01	187.71	94.01
C1QTNF8	10.16	1.16	1.64	1.06	6.16	1.71	2.14	2.78	3.26	0.38	3.41	2.39	0.89	2.66	1.73	7.57	1.69	0.95	2.14	0.89	4.35	0.17	0.73	1.28	0.82	2.97	0.8	3.47	0.75	2.97	0.28	0.73	6.67	0.48	7.34	0.39	0.62	1.62	2.25	3.5	1.85	0.38	5.19	0.91	0.92	2.81	2.14	0.77	0.27	1.04	1.23
C1orf158	85283.74	94.01	392.44	147.06	1183.45	164.42	260.38	241.19	403.5	253.23	381.68	223.41	159.9	406.31	221.86	633.73	164.42	127.89	275.28	193.01	373.81	71.5	152.28	197.09	78.89	332.14	244.57	339.14	305.55	265.87	409.15	186.4	775.05	108.14	703.28	70.51	149.12	218.79	376.41	346.29	607.87	62.12	450.94	153.34	201.25	395.18	620.67	178.77	25.17	44.57	86.43
C1orf173	6607.01	135.24	480.04	197.09	1233.75	591.22	356.05	214.27	587.13	297.17	543.96	221.86	269.6	525.39	198.47	490.14	173.85	98.73	353.59	236.21	417.77	77.25	126.12	343.89	85.22	368.65	409.15	432.53	389.72	403.5	547.75	211.31	896.64	80.01	915.51	77.79	161.02	198.47	988.12	389.72	1119.56	49.91	616.37	190.34	204.07	559.28	723.08	143.01	29.7	46.5	64.34
C1orf228	343.89	291.04	896.64	144.01	2240.11	974.5	974.5	121.79	1304.15	1037.29	480.04	395.18	195.72	642.59	785.88	1268.46	194.36	314.17	307.69	283.05	698.41	150.17	59.55	486.75	353.59	409.15	579.04	872.1	536.45	518.15	674.59	348.71	1359.57	140.04	2758.13	106.63	158.79	373.81	947.83	473.41	1359.57	153.34	1359.57	189.02	543.96	563.18	1030.12	108.9	607.87	476.71	117.6
C20orf195	239.52	31.9	73.54	44.57	314.17	111.99	77.25	66.65	165.57	86.43	77.79	98.73	52.08	102.97	137.14	100.83	42.71	24.63	63.89	59.97	130.6	16.39	16.75	27.64	38.12	62.56	79.45	100.13	59.97	98.73	48.18	47.17	147.06	18.7	293.07	9.27	35.76	67.59	98.73	90.14	159.9	12.83	253.23	40.93	90.14	81.14	157.68	31.9	9.2	39.22	17.0
C22orf15	780.44	215.77	483.38	202.66	1857.6	295.11	490.14	314.17	656.11	363.56	684.02	379.04	171.45	497.0	514.56	1313.23	187.71	171.45	363.56	262.2	660.68	49.21	159.9	289.02	82.29	435.55	454.09	679.29	363.56	454.09	420.68	291.04	1388.16	64.34	1175.27	45.53	154.42	253.23	693.58	423.61	1023.0	95.34	902.89	253.23	258.57	555.41	860.08	173.85	55.1	90.14	50.27
C2orf73	579.04	85.22	121.79	55.1	476.71	105.15	163.28	65.26	159.9	127.89	94.01	64.34	62.12	86.43	53.19	307.69	31.0	51.35	104.42	33.3	99.43	24.11	65.26	73.03	42.71	90.14	129.69	218.79	119.26	108.14	183.82	80.57	237.86	16.03	320.8	7.88	17.64	90.14	209.84	158.79	251.48	26.47	172.65	47.84	67.12	156.59	395.18	43.32	9.13	42.71	29.27
C2orf81	1909.85	154.42	368.65	180.02	1183.45	248.0	323.03	176.29	463.65	260.38	429.54	332.14	205.5	435.55	358.54	551.56	185.11	193.01	327.56	221.86	435.55	93.35	113.56	199.85	144.01	287.01	341.51	358.54	258.57	325.29	301.33	186.4	674.59	89.51	988.12	73.03	211.31	206.94	521.76	312.0	633.73	92.7	532.74	211.31	208.38	346.29	713.11	149.12	73.03	134.3	87.03
C6ORF165	5219.6	95.34	289.02	172.65	836.53	246.28	211.31	283.05	312.0	132.44	149.12	211.31	138.1	153.34	212.78	567.1	138.1	71.5	131.51	231.32	444.72	24.99	120.1	376.41	61.68	119.26	208.38	389.72	221.86	256.78	387.02	99.43	1001.93	95.34	518.15	60.82	148.09	115.16	384.34	358.54	878.17	32.36	229.72	171.45	177.53	181.28	503.95	146.03	18.56	29.06	94.67
C6orf132	713.11	88.88	551.56	503.95	698.41	332.14	204.07	325.29	450.94	193.01	363.56	269.6	780.44	381.68	249.73	275.28	466.88	159.9	138.1	764.36	435.55	134.3	329.84	438.59	153.34	246.28	379.04	366.09	381.68	260.38	543.96	140.04	1183.45	1350.18	651.58	334.46	334.46	271.48	371.22	376.41	1044.52	138.1	206.94	432.53	417.77	234.57	638.15	307.69	163.28	133.36	237.86
C6orf52	175.07	69.52	129.69	53.57	293.07	37.32	5.5	110.43	129.69	31.67	82.87	63.45	48.18	143.01	68.07	175.07	31.45	60.39	59.97	82.29	102.25	14.78	65.26	57.89	33.78	75.64	48.87	27.64	41.81	150.17	105.89	33.3	214.27	17.51	206.94	34.02	26.67	62.12	157.68	98.04	228.13	14.56	131.51	72.52	44.57	91.41	205.5	48.87	7.4	63.89	22.75
C7orf63	271.48	145.02	265.87	42.41	253.23	323.03	132.44	58.71	187.71	144.01	228.13	107.38	103.69	258.57	135.24	307.69	77.25	127.89	147.06	38.4	132.44	86.43	43.94	92.05	80.01	260.38	246.28	119.26	99.43	149.12	140.04	108.9	194.36	55.89	242.88	36.27	41.81	76.71	208.38	88.26	265.87	63.45	368.65	53.95	61.25	187.71	211.31	58.3	124.37	132.44	59.97
C9orf135	32994.92	511.0	1685.71	532.74	3491.39	1745.2	1127.35	848.22	1769.57	718.08	638.15	414.87	836.53	872.1	698.41	2777.33	368.65	490.14	503.95	665.29	1175.27	127.0	202.66	483.38	163.28	775.05	1662.49	1030.12	860.08	532.74	1304.15	429.54	2682.69	312.0	3124.78	92.7	381.68	454.09	2319.15	1030.12	3901.01	142.01	1388.16	376.41	595.34	941.27	1977.24	346.29	104.42	64.8	103.69
C9orf24	687022.54	1551.09	6471.02	2224.63	16045.82	4575.41	3540.14	3742.05	6471.02	2520.38	6337.83	4268.94	3325.99	6121.9	2875.3	7081.29	2701.35	1662.49	4671.57	3146.52	5041.77	780.44	1819.35	1991.0	679.29	4095.0	4358.66	4450.27	3716.2	4639.29	5672.41	1977.24	12764.83	1540.37	13492.72	842.36	1417.35	2701.35	9215.48	4543.8	11424.74	669.92	6652.97	1963.57	2645.74	4736.79	9673.69	1781.89	314.17	620.67	525.39
C9orf9	764.36	346.29	642.59	329.84	1794.29	543.96	460.44	486.75	909.17	389.72	764.36	738.29	323.03	988.12	470.14	1322.37	332.14	361.04	473.41	444.72	708.18	239.52	211.31	316.37	234.57	486.75	878.17	708.18	525.39	808.0	559.28	376.41	1268.46	208.38	1519.15	141.02	373.81	454.09	738.29	616.37	1225.22	146.03	825.0	363.56	387.02	703.28	934.76	271.48	92.05	218.79	226.54
CACNG6	45701.96	114.36	656.11	232.94	1519.15	312.0	366.09	395.18	607.87	166.73	651.58	198.47	195.72	665.29	291.04	551.56	163.28	175.07	246.28	346.29	301.33	46.5	89.51	159.9	36.53	426.57	543.96	457.25	327.56	267.73	265.87	180.02	759.08	31.22	1183.45	56.28	105.89	218.79	616.37	395.18	1487.87	23.76	733.19	180.02	195.72	438.59	848.22	172.65	27.44	26.28	40.64
CASC1	1617.0	111.21	339.14	66.18	688.78	363.56	182.55	105.15	303.44	186.4	301.33	131.51	136.19	329.84	170.25	651.58	81.14	98.73	164.42	97.36	221.86	57.89	85.82	228.13	50.27	208.38	265.87	178.77	215.77	199.85	249.73	137.14	518.15	55.89	575.03	34.26	79.45	76.71	376.41	201.25	836.53	32.59	395.18	127.0	119.26	217.27	371.22	72.52	24.46	35.0	35.0
CCDC113	2816.11	134.3	283.05	185.11	769.69	332.14	236.21	204.07	336.79	190.34	223.41	194.36	253.23	297.17	232.94	599.49	148.09	118.43	214.27	231.32	277.2	76.17	163.28	249.73	73.03	228.13	414.87	295.11	224.97	287.01	341.51	144.01	591.22	155.5	521.76	82.29	205.5	152.28	379.04	303.44	733.19	68.55	307.69	131.51	181.28	285.03	503.95	167.9	52.45	39.79	90.77
CCDC13	327.56	122.64	211.31	95.34	532.74	314.17	136.19	63.45	258.57	91.41	248.0	75.11	110.43	395.18	120.94	356.05	120.1	103.69	161.02	94.67	157.68	55.49	77.79	77.79	127.0	218.79	318.57	172.65	217.27	152.28	149.12	139.07	429.54	35.76	248.0	65.72	78.34	143.01	314.17	129.69	595.34	45.21	323.03	61.68	90.77	183.82	309.83	89.51	24.99	39.22	42.41
CCDC146	4937.99	532.74	738.29	180.02	2148.82	1467.37	647.07	316.37	1477.58	607.87	660.68	521.76	299.25	753.83	642.59	1551.09	206.94	301.33	660.68	211.31	819.3	170.25	115.16	384.34	305.55	547.75	802.41	547.75	551.56	612.11	607.87	412.0	1388.16	98.04	2119.22	108.9	264.03	297.17	902.89	547.75	1697.45	116.78	1467.37	212.78	356.05	981.29	1119.56	327.56	121.79	214.27	130.6
CCDC148	239.52	31.9	50.98	23.42	158.79	75.64	45.53	32.82	96.68	32.82	61.25	50.63	35.76	66.65	37.59	86.43	27.64	21.63	57.08	24.81	55.89	15.11	18.84	43.32	18.43	85.22	65.72	69.03	33.3	44.57	54.72	27.25	115.16	14.14	165.57	10.47	17.0	23.42	135.24	47.84	236.21	21.01	93.35	22.43	22.1	73.03	133.36	22.26	7.63	10.31	16.63
CCDC151	5255.91	143.01	120.94	115.16	825.0	152.28	226.54	136.19	361.04	183.82	327.56	186.4	140.04	232.94	258.57	400.71	140.04	130.6	224.97	123.5	206.94	34.51	92.05	127.89	62.56	242.88	334.46	237.86	145.02	267.73	226.54	132.44	529.06	50.98	507.46	47.84	93.35	155.5	420.68	218.79	348.71	31.9	450.94	82.29	147.06	285.03	480.04	147.06	48.87	44.89	37.85
CCDC157	1066.48	96.68	191.67	90.14	656.11	241.19	234.57	100.83	232.94	162.14	231.32	198.47	159.9	392.44	212.78	283.05	123.5	127.0	175.07	129.69	218.79	61.25	75.11	105.89	81.14	148.09	228.13	181.28	105.15	236.21	198.47	101.54	483.38	133.36	493.56	63.0	137.14	198.47	287.01	187.71	295.11	90.14	323.03	105.89	166.73	334.46	341.51	148.09	41.81	60.39	75.64
CCDC171	43.32	35.25	60.82	28.45	181.28	55.89	34.26	19.68	31.22	74.06	85.22	48.87	17.51	33.06	50.63	135.24	49.91	14.56	75.11	21.32	61.25	33.54	22.59	48.18	28.24	80.57	23.08	50.63	46.18	52.45	54.72	34.75	155.5	22.59	151.22	18.29	22.59	77.79	74.06	49.91	52.45	34.75	78.34	40.07	10.96	88.88	72.01	17.0	18.16	40.64	27.05
CCDC173	3395.89	71.5	332.14	163.28	1111.82	444.72	217.27	121.79	239.52	94.67	329.84	251.48	211.31	486.75	131.51	260.38	78.34	108.14	209.84	130.6	193.01	55.49	102.25	242.88	53.19	175.07	189.02	303.44	194.36	201.25	438.59	127.0	607.87	99.43	532.74	33.54	111.99	152.28	497.0	172.65	460.44	29.7	381.68	76.17	176.29	473.41	255.0	131.51	39.79	30.12	77.25
CCDC181	417.77	127.0	305.55	147.06	780.44	764.36	204.07	170.25	460.44	102.97	361.04	198.47	297.17	575.03	211.31	260.38	102.25	92.7	186.4	204.07	303.44	50.98	82.87	301.33	39.79	273.37	450.94	358.54	234.57	283.05	379.04	138.1	579.04	137.14	500.46	40.36	111.21	80.01	490.14	265.87	785.88	31.0	723.08	142.01	120.94	231.32	376.41	150.17	35.25	32.82	106.63
CCDC33	12502.12	129.69	237.86	73.03	921.88	395.18	201.25	163.28	616.37	181.28	289.02	208.38	146.03	493.56	204.07	325.29	131.51	133.36	166.73	110.43	273.37	27.84	29.91	163.28	60.39	281.09	343.89	273.37	220.32	209.84	204.07	170.25	575.03	47.84	743.43	32.36	75.64	125.24	567.1	256.78	599.49	41.52	420.68	74.58	81.71	309.83	460.44	82.87	30.12	42.41	35.0
CCDC42B	30572.63	139.07	708.18	314.17	2255.7	575.03	796.86	341.51	738.29	363.56	1001.93	808.0	356.05	665.29	486.75	1233.75	473.41	309.83	466.88	334.46	836.53	87.65	181.28	224.97	118.43	563.18	775.05	684.02	299.25	738.29	780.44	329.84	1628.26	262.2	2104.58	105.15	244.57	511.0	995.0	660.68	1167.14	75.11	967.76	307.69	480.04	825.0	1151.06	204.07	73.03	132.44	81.71
CCDC60	5147.73	113.56	303.44	122.64	1023.0	320.8	249.73	123.5	368.65	114.36	232.94	172.65	155.5	353.59	158.79	848.22	99.43	114.36	201.25	127.89	271.48	24.81	84.04	169.07	24.63	253.23	293.07	220.32	202.66	239.52	295.11	86.43	599.49	56.28	884.29	15.11	84.04	98.73	511.0	244.57	738.29	45.53	339.14	98.04	130.6	320.8	633.73	73.54	24.63	29.06	35.5
CCDC74A	2915.45	470.14	497.0	199.85	1639.59	500.46	397.93	281.09	540.19	358.54	743.43	403.5	281.09	674.59	395.18	890.44	285.03	237.86	525.39	281.09	450.94	153.34	191.67	316.37	217.27	624.99	656.11	473.41	343.89	486.75	417.77	275.28	1242.34	107.38	1268.46	94.67	182.55	242.88	780.44	473.41	1051.79	97.36	796.86	229.72	303.44	559.28	974.5	181.28	73.54	162.14	94.01
CCDC78	31650.8	559.28	1806.78	551.56	6471.02	1757.34	1605.83	775.05	2573.36	1127.35	2271.4	1135.2	842.36	2384.37	1378.57	2915.45	753.83	660.68	1159.07	860.08	1757.34	253.23	412.0	718.08	387.02	1208.34	1437.15	1233.75	902.89	1781.89	1369.04	660.68	4066.71	229.72	4736.79	332.14	480.04	884.29	2777.33	1551.09	3716.2	221.86	2591.27	563.18	698.41	2351.53	3515.68	536.45	226.54	279.14	237.86
CDS1	414.87	289.02	480.04	529.06	878.17	571.05	327.56	616.37	518.15	400.71	547.75	307.69	583.07	540.19	303.44	587.13	392.44	186.4	334.46	595.34	470.14	172.65	551.56	848.22	195.72	327.56	409.15	497.0	703.28	389.72	563.18	239.52	802.41	332.14	698.41	397.93	497.0	432.53	551.56	591.22	1111.82	78.34	620.67	532.74	463.65	312.0	764.36	414.87	100.13	111.21	429.54
CLIC6	74760.09	1015.93	2061.24	2303.12	5555.65	1733.13	1208.34	1111.82	3257.52	1191.69	2777.33	1639.59	2682.69	2855.44	718.08	4038.61	1259.69	414.87	647.07	2367.9	4181.07	208.38	1191.69	2178.83	567.1	2319.15	2148.82	2816.11	1583.71	2209.26	4010.71	981.29	6983.79	825.0	4736.79	255.0	941.27	934.76	1819.35	2701.35	8022.41	206.94	2451.44	2004.85	1806.78	1331.57	5041.77	1059.11	44.89	80.01	575.03
CNGA3	10.63	0.0	47.5	3.63	265.87	48.52	35.0	20.86	47.84	1.93	86.43	12.93	9.13	70.01	3.03	8.65	7.69	4.43	10.63	8.38	49.21	5.96	4.39	20.56	0.0	13.52	5.32	42.11	5.15	61.25	29.48	4.86	149.12	1.99	53.95	27.05	13.62	39.5	80.01	10.96	3.72	0.0	165.57	12.93	15.56	136.19	48.52	1.58	0.0	0.89	0.25
CXXC4	258.57	59.13	141.02	32.36	265.87	35.25	47.84	21.47	23.25	43.94	57.49	69.03	23.59	43.94	18.84	204.07	53.19	10.47	46.18	36.01	95.34	13.03	29.06	37.85	16.63	94.01	63.89	72.52	165.57	115.16	70.51	18.84	186.4	9.48	239.52	3.06	69.52	40.07	130.6	35.5	186.4	10.0	73.54	29.7	46.84	49.91	84.63	6.67	1.16	7.69	91.41
DCDC1	336.79	35.25	52.82	16.27	129.69	87.65	49.91	16.15	70.01	44.25	75.11	33.78	33.78	75.64	31.67	93.35	25.54	19.25	50.98	21.94	42.11	10.47	12.55	35.5	16.39	58.71	74.58	58.3	46.84	70.01	53.95	36.27	112.77	12.74	110.43	8.99	18.7	29.06	121.79	48.18	125.24	23.25	87.03	23.08	23.59	75.11	90.77	16.27	7.46	13.12	12.09
DEFB124	79.45	9.78	10.79	0.37	95.34	30.12	9.06	0.0	16.15	10.88	25.35	23.93	2.2	14.67	17.9	10.79	0.0	0.83	8.92	0.0	17.38	1.0	0.0	4.43	13.52	17.51	10.0	16.15	12.18	1.22	7.17	6.78	16.88	0.0	43.94	0.12	12.74	2.94	45.85	8.71	49.21	5.96	28.86	0.16	9.27	18.7	15.22	1.0	2.63	13.72	1.0
