	TCGA.C8.A12O.01A.11R.A115.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A1AN.01A.11R.A12P.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.C8.A12Z.01A.11R.A115.07	TCGA.A2.A0EV.01A.11R.A034.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.E2.A15C.01A.31R.A12D.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.U3ZN.0626.SM.3DB7U	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9
ANKRD44	143.01	214.27	104.42	121.79	159.9	171.45	98.73	112.77	113.56	211.31	72.01	140.04	89.51	106.63	36.79	135.24	182.55	87.65	111.21	127.0	90.77	170.25	115.97	149.12	112.77	84.04	217.27	185.11	237.86	191.67	190.34	163.28	199.85	239.52	175.07	208.38	518.15	223.41	154.42	115.97	152.28	447.82	127.0	26.47	55.89	426.57	291.04	40.93	75.11	26.86	31.9	32.82	232.94	33.78	73.03	82.87	26.86	18.43	102.25	132.44	40.36	76.71	116.78	173.85	59.97	35.0	100.83	60.82	12.09	82.29	81.14	11.04	36.27	37.85	79.45	27.84	81.14	169.07	45.53	111.21	149.12	63.45	89.51	29.48	234.57	82.29	232.94	149.12	29.7	70.01	18.97	77.25	164.42	127.0	39.22	80.01	58.3	136.19	30.78	155.5	72.52	44.89	25.35	66.18	50.98	35.76	79.45	92.05	88.88	74.06	74.06	111.21	86.43	31.22	56.68	41.52	134.3	102.97	18.43	71.5	51.71	70.01	36.01	77.79	112.77	281.09	58.3	49.56	152.28	128.79	165.57	47.84	31.45	82.87	77.79	111.21	48.87	135.24	262.2	159.9	178.77
ANO6	981.29	1015.93	607.87	483.38	884.29	1037.29	612.11	567.1	599.49	890.44	842.36	638.15	1051.79	555.41	688.78	543.96	587.13	540.19	954.43	612.11	775.05	988.12	860.08	656.11	878.17	595.34	878.17	738.29	1030.12	866.07	1757.34	1304.15	1369.04	2400.97	1583.71	1143.1	2148.82	967.76	1628.26	1437.15	1832.01	1313.23	1143.1	521.76	507.46	1709.26	1909.85	514.56	660.68	232.94	249.73	389.72	780.44	587.13	490.14	796.86	361.04	301.33	633.73	389.72	265.87	262.2	642.59	295.11	384.34	435.55	764.36	651.58	466.88	884.29	802.41	435.55	441.64	514.56	521.76	536.45	775.05	780.44	460.44	656.11	599.49	389.72	511.0	532.74	595.34	825.0	426.57	351.14	693.58	389.72	718.08	642.59	669.92	392.44	466.88	1216.75	1143.1	909.17	723.08	1268.46	954.43	214.27	301.33	1359.57	373.81	289.02	616.37	397.93	543.96	961.07	808.0	866.07	921.88	414.87	291.04	275.28	808.0	361.04	343.89	791.35	647.07	995.0	718.08	454.09	848.22	703.28	507.46	403.5	297.17	575.03	665.29	323.03	753.83	363.56	866.07	703.28	450.94	368.65	1081.39	1167.14	1605.83
APPL1	642.59	713.11	679.29	591.22	866.07	616.37	314.17	928.3	688.78	884.29	503.95	684.02	356.05	775.05	555.41	447.82	420.68	486.75	392.44	629.35	529.06	813.63	521.76	435.55	629.35	629.35	738.29	438.59	1023.0	775.05	872.1	511.0	1073.91	698.41	808.0	559.28	1950.0	466.88	633.73	791.35	902.89	780.44	785.88	130.6	150.17	373.81	848.22	87.03	181.28	113.56	98.04	100.13	287.01	141.02	122.64	217.27	133.36	71.5	197.09	175.07	133.36	126.12	139.07	124.37	114.36	114.36	180.02	91.41	125.24	193.01	236.21	108.9	44.25	125.24	134.3	116.78	148.09	175.07	110.43	209.84	166.73	101.54	177.53	163.28	202.66	187.71	111.99	205.5	195.72	241.19	182.55	155.5	205.5	220.32	120.1	305.55	249.73	176.29	121.79	511.0	152.28	100.83	98.73	214.27	162.14	121.79	223.41	131.51	96.68	163.28	228.13	202.66	193.01	141.02	101.54	241.19	197.09	176.29	142.01	175.07	139.07	120.94	158.79	152.28	253.23	167.9	133.36	69.03	98.73	74.06	178.77	102.97	172.65	105.89	154.42	131.51	159.9	127.0	708.18	921.88	507.46
ARHGAP12	325.29	532.74	665.29	392.44	432.53	642.59	368.65	314.17	583.07	547.75	267.73	242.88	327.56	567.1	346.29	417.77	406.31	497.0	463.65	575.03	647.07	571.05	532.74	473.41	493.56	406.31	351.14	753.83	698.41	532.74	769.69	620.67	915.51	674.59	1081.39	796.86	1119.56	764.36	497.0	444.72	1001.93	1313.23	796.86	348.71	353.59	327.56	878.17	198.47	525.39	397.93	249.73	356.05	563.18	463.65	234.57	242.88	438.59	212.78	688.78	392.44	212.78	830.75	289.02	483.38	218.79	400.71	384.34	287.01	190.34	223.41	293.07	206.94	96.01	208.38	220.32	260.38	379.04	320.8	166.73	414.87	346.29	395.18	334.46	412.0	283.05	236.21	187.71	323.03	194.36	150.17	212.78	201.25	127.89	334.46	211.31	447.82	218.79	371.22	242.88	384.34	234.57	248.0	137.14	260.38	166.73	185.11	218.79	186.4	194.36	208.38	264.03	181.28	132.44	171.45	218.79	480.04	185.11	162.14	209.84	246.28	277.2	146.03	307.69	384.34	128.79	202.66	176.29	228.13	236.21	126.12	190.34	297.17	267.73	309.83	201.25	205.5	94.01	447.82	567.1	624.99	842.36
ARHGAP5	796.86	974.5	1135.2	591.22	669.92	1175.27	454.09	638.15	872.1	1295.13	642.59	981.29	1757.34	872.1	796.86	406.31	206.94	629.35	616.37	764.36	616.37	1216.75	638.15	503.95	961.07	728.11	743.43	624.99	688.78	1037.29	1794.29	934.76	2148.82	1572.76	1781.89	1242.34	2090.03	1104.13	1023.0	1104.13	1437.15	2875.3	1685.71	275.28	318.57	759.08	2915.45	190.34	395.18	234.57	194.36	226.54	339.14	271.48	231.32	320.8	167.9	187.71	114.36	403.5	176.29	209.84	221.86	301.33	206.94	191.67	403.5	176.29	234.57	420.68	457.25	218.79	96.01	275.28	336.79	289.02	301.33	397.93	212.78	387.02	273.37	267.73	314.17	260.38	262.2	246.28	237.86	253.23	269.6	291.04	299.25	127.89	559.28	389.72	206.94	624.99	420.68	251.48	199.85	651.58	371.22	193.01	145.02	500.46	185.11	217.27	567.1	126.12	193.01	412.0	242.88	195.72	157.68	281.09	215.77	353.59	289.02	529.06	249.73	351.14	406.31	329.84	363.56	353.59	301.33	381.68	145.02	248.0	194.36	246.28	262.2	132.44	297.17	134.3	307.69	356.05	303.44	255.0	995.0	1225.22	1322.37
ARL5A	679.29	1023.0	713.11	651.58	764.36	802.41	583.07	587.13	571.05	748.61	480.04	842.36	775.05	718.08	620.67	547.75	579.04	486.75	764.36	532.74	674.59	764.36	842.36	507.46	848.22	536.45	708.18	819.3	1015.93	708.18	954.43	575.03	1119.56	947.83	1088.92	540.19	1340.84	638.15	848.22	934.76	813.63	961.07	995.0	305.55	295.11	1096.5	1651.0	320.8	454.09	198.47	178.77	339.14	463.65	255.0	295.11	417.77	417.77	217.27	309.83	237.86	198.47	253.23	258.57	277.2	295.11	281.09	376.41	194.36	223.41	466.88	483.38	262.2	157.68	295.11	297.17	289.02	361.04	358.54	277.2	384.34	299.25	316.37	397.93	283.05	366.09	620.67	346.29	629.35	651.58	532.74	358.54	395.18	532.74	470.14	246.28	718.08	698.41	420.68	438.59	775.05	647.07	125.24	256.78	555.41	507.46	373.81	540.19	376.41	305.55	395.18	417.77	620.67	392.44	551.56	166.73	297.17	603.67	384.34	291.04	454.09	334.46	406.31	329.84	463.65	463.65	432.53	229.72	285.03	260.38	387.02	406.31	351.14	463.65	157.68	563.18	473.41	309.83	432.53	1001.93	1183.45	1674.06
ATE1	283.05	447.82	463.65	336.79	532.74	420.68	299.25	237.86	403.5	532.74	356.05	215.77	229.72	665.29	314.17	316.37	293.07	258.57	312.0	435.55	371.22	493.56	285.03	265.87	395.18	246.28	438.59	356.05	521.76	547.75	503.95	466.88	616.37	532.74	536.45	318.57	1183.45	271.48	483.38	470.14	674.59	941.27	612.11	185.11	195.72	426.57	743.43	133.36	320.8	132.44	115.97	215.77	291.04	111.21	154.42	379.04	226.54	110.43	113.56	183.82	161.02	267.73	178.77	163.28	190.34	143.01	198.47	201.25	139.07	305.55	295.11	140.04	111.99	185.11	187.71	217.27	201.25	277.2	190.34	303.44	244.57	155.5	241.19	181.28	205.5	435.55	176.29	212.78	339.14	228.13	325.29	249.73	353.59	178.77	204.07	591.22	514.56	358.54	195.72	660.68	265.87	201.25	129.69	389.72	356.05	156.59	256.78	155.5	206.94	281.09	348.71	279.14	327.56	195.72	208.38	140.04	447.82	197.09	159.9	540.19	223.41	190.34	368.65	177.53	303.44	194.36	131.51	144.01	148.09	204.07	248.0	186.4	291.04	151.22	314.17	285.03	144.01	165.57	373.81	414.87	307.69
ATF7	808.0	884.29	651.58	633.73	595.34	854.13	483.38	708.18	961.07	1008.9	620.67	674.59	718.08	780.44	842.36	684.02	511.0	555.41	638.15	591.22	591.22	1143.1	624.99	583.07	738.29	536.45	890.44	579.04	723.08	909.17	902.89	872.1	1199.98	896.64	842.36	961.07	1388.16	813.63	684.02	728.11	1104.13	1498.22	1135.2	211.31	246.28	688.78	591.22	239.52	264.03	256.78	134.3	206.94	379.04	237.86	148.09	287.01	241.19	208.38	387.02	239.52	170.25	346.29	187.71	161.02	267.73	277.2	221.86	194.36	198.47	189.02	307.69	141.02	155.5	218.79	147.06	181.28	176.29	231.32	127.0	167.9	163.28	147.06	187.71	246.28	287.01	175.07	285.03	163.28	162.14	145.02	136.19	96.68	150.17	153.34	115.97	180.02	136.19	289.02	163.28	162.14	198.47	139.07	140.04	275.28	119.26	123.5	201.25	101.54	124.37	157.68	169.07	167.9	202.66	124.37	180.02	291.04	205.5	236.21	139.07	204.07	301.33	182.55	152.28	226.54	147.06	159.9	182.55	281.09	204.07	182.55	138.1	156.59	199.85	105.89	147.06	165.57	120.1	146.03	651.58	575.03	423.61
ATXN1	343.89	525.39	483.38	224.97	387.02	414.87	323.03	698.41	325.29	476.71	351.14	503.95	830.75	332.14	291.04	358.54	289.02	275.28	497.0	376.41	334.46	423.61	466.88	435.55	358.54	287.01	423.61	269.6	476.71	616.37	406.31	277.2	368.65	339.14	476.71	423.61	536.45	389.72	379.04	218.79	334.46	559.28	457.25	154.42	145.02	371.22	242.88	305.55	124.37	67.59	87.03	62.56	172.65	80.57	99.43	91.41	211.31	69.52	63.0	173.85	100.83	166.73	127.89	108.14	83.45	55.89	142.01	104.42	96.01	142.01	180.02	94.01	59.55	98.04	125.24	103.69	124.37	150.17	87.03	170.25	152.28	145.02	127.89	161.02	129.69	84.04	361.04	143.01	103.69	105.89	78.34	90.77	78.89	178.77	78.89	108.14	102.97	115.16	65.26	72.52	138.1	147.06	98.73	144.01	67.12	88.88	202.66	120.94	116.78	127.89	96.01	87.65	110.43	113.56	73.54	171.45	81.14	915.51	115.97	101.54	127.0	93.35	80.57	145.02	80.57	149.12	119.26	198.47	221.86	141.02	66.65	108.14	115.97	176.29	98.04	92.05	89.51	111.21	265.87	414.87	406.31
BLOC1S6	753.83	915.51	665.29	525.39	791.35	934.76	567.1	642.59	525.39	769.69	728.11	638.15	813.63	483.38	723.08	579.04	607.87	483.38	836.53	674.59	624.99	775.05	802.41	616.37	759.08	483.38	665.29	921.88	563.18	928.3	974.5	753.83	1051.79	941.27	1096.5	587.13	1313.23	674.59	1127.35	669.92	1331.57	1127.35	961.07	327.56	289.02	896.64	1037.29	244.57	603.67	307.69	248.0	232.94	447.82	239.52	303.44	403.5	307.69	217.27	271.48	343.89	303.44	256.78	339.14	312.0	392.44	149.12	420.68	211.31	237.86	376.41	406.31	218.79	150.17	273.37	334.46	241.19	285.03	336.79	267.73	543.96	384.34	332.14	389.72	316.37	297.17	412.0	236.21	432.53	397.93	497.0	457.25	323.03	490.14	507.46	229.72	514.56	420.68	285.03	289.02	612.11	363.56	204.07	217.27	325.29	1073.91	363.56	366.09	348.71	214.27	412.0	293.07	287.01	264.03	334.46	327.56	397.93	417.77	679.29	305.55	316.37	303.44	262.2	297.17	366.09	447.82	316.37	275.28	251.48	291.04	242.88	323.03	223.41	265.87	698.41	325.29	368.65	669.92	423.61	802.41	1250.98	1628.26
C10orf118	221.86	363.56	291.04	239.52	291.04	332.14	178.77	176.29	346.29	320.8	249.73	189.02	181.28	182.55	320.8	218.79	466.88	217.27	158.79	361.04	262.2	366.09	208.38	189.02	409.15	262.2	260.38	194.36	493.56	356.05	540.19	305.55	503.95	429.54	486.75	432.53	348.71	356.05	381.68	307.69	371.22	563.18	514.56	59.55	57.49	146.03	656.11	36.27	63.45	36.53	32.36	26.86	97.36	47.17	52.82	63.45	45.85	27.64	37.85	54.72	36.53	86.43	46.84	32.59	35.25	30.12	62.12	30.78	51.71	67.12	65.26	52.08	14.35	42.11	74.58	47.17	66.65	67.59	44.25	88.88	94.01	78.89	53.19	64.34	68.07	37.32	93.35	52.45	25.91	61.68	27.25	80.57	73.03	72.52	28.86	86.43	132.44	55.49	24.99	69.52	62.12	49.56	35.5	31.45	48.18	22.92	33.3	90.77	30.34	61.68	100.83	47.5	63.45	45.21	75.64	145.02	68.07	94.67	73.03	62.12	49.91	25.91	51.35	68.07	46.18	43.94	49.56	143.01	146.03	15.91	82.87	24.99	43.02	148.09	40.07	23.25	78.34	37.59	293.07	368.65	698.41
C12orf29	457.25	339.14	483.38	327.56	417.77	376.41	232.94	373.81	361.04	389.72	426.57	529.06	329.84	346.29	223.41	277.2	307.69	303.44	234.57	299.25	444.72	547.75	376.41	189.02	283.05	232.94	353.59	595.34	483.38	358.54	521.76	414.87	603.67	358.54	563.18	376.41	878.17	457.25	412.0	483.38	551.56	872.1	555.41	265.87	249.73	316.37	591.22	226.54	201.25	159.9	178.77	155.5	212.78	175.07	190.34	329.84	163.28	193.01	140.04	215.77	152.28	197.09	197.09	237.86	193.01	206.94	214.27	164.42	202.66	293.07	231.32	177.53	97.36	307.69	248.0	244.57	255.0	289.02	185.11	299.25	236.21	215.77	279.14	279.14	246.28	463.65	260.38	244.57	466.88	162.14	285.03	137.14	303.44	264.03	264.03	466.88	325.29	281.09	177.53	463.65	426.57	205.5	116.78	454.09	327.56	183.82	293.07	281.09	289.02	279.14	209.84	209.84	244.57	211.31	208.38	236.21	379.04	336.79	204.07	323.03	262.2	295.11	351.14	283.05	447.82	248.0	198.47	146.03	255.0	183.82	204.07	293.07	217.27	148.09	232.94	140.04	297.17	176.29	438.59	567.1	651.58
C5orf15	1313.23	2090.03	2240.11	1651.0	1467.37	1540.37	1066.48	1081.39	1628.26	2555.58	1127.35	1781.89	1508.65	1685.71	1447.15	2384.37	1295.13	1417.35	2018.8	1757.34	2018.8	2047.0	1844.76	1628.26	1936.53	1781.89	1350.18	1322.37	1662.49	1733.13	1806.78	1304.15	1977.24	1769.57	2061.24	1397.83	2255.7	1250.98	1721.16	2163.77	2090.03	3303.0	2468.49	921.88	974.5	4328.55	2739.08	934.76	1277.29	473.41	703.28	1127.35	934.76	497.0	830.75	988.12	961.07	738.29	954.43	684.02	532.74	1143.1	872.1	1250.98	624.99	551.56	1104.13	400.71	775.05	967.76	1023.0	769.69	723.08	842.36	819.3	988.12	928.3	878.17	819.3	819.3	738.29	802.41	872.1	961.07	775.05	1467.37	1044.52	571.05	819.3	743.43	902.89	718.08	647.07	842.36	860.08	1159.07	791.35	743.43	813.63	1769.57	878.17	371.22	450.94	1295.13	532.74	514.56	890.44	493.56	490.14	1023.0	915.51	728.11	748.61	595.34	728.11	796.86	728.11	813.63	599.49	693.58	1119.56	974.5	1030.12	764.36	802.41	860.08	642.59	775.05	665.29	995.0	743.43	371.22	967.76	395.18	629.35	743.43	665.29	1015.93	3124.78	3146.52	3690.52
CAB39	1242.34	1135.2	1183.45	785.88	1183.45	974.5	733.19	830.75	1167.14	1662.49	791.35	1277.29	1104.13	1259.69	1151.06	878.17	866.07	1008.9	878.17	1594.73	1023.0	1191.69	1369.04	1044.52	1111.82	1111.82	1135.2	1111.82	1350.18	1151.06	1304.15	1066.48	1340.84	1447.15	1447.15	961.07	1519.15	1051.79	1104.13	1191.69	1447.15	2119.22	1295.13	447.82	441.64	1208.34	1909.85	379.04	503.95	356.05	379.04	414.87	854.13	269.6	420.68	633.73	301.33	309.83	438.59	460.44	420.68	579.04	454.09	543.96	400.71	409.15	532.74	336.79	358.54	599.49	567.1	327.56	253.23	341.51	426.57	395.18	429.54	536.45	384.34	684.02	500.46	389.72	595.34	473.41	518.15	543.96	384.34	571.05	529.06	595.34	525.39	483.38	616.37	543.96	343.89	775.05	764.36	638.15	450.94	961.07	555.41	318.57	346.29	616.37	476.71	480.04	684.02	412.0	356.05	507.46	551.56	497.0	490.14	463.65	379.04	441.64	595.34	718.08	363.56	507.46	406.31	483.38	444.72	403.5	651.58	466.88	309.83	384.34	417.77	463.65	507.46	277.2	532.74	389.72	563.18	587.13	559.28	346.29	1794.29	2061.24	2915.45
CAND1	2664.15	2148.82	2627.46	1322.37	2133.97	1794.29	1277.29	2451.44	2209.26	3039.3	1397.83	2047.0	2018.8	1583.71	1199.98	1870.53	1477.58	967.76	1519.15	1397.83	1896.65	3955.48	1936.53	1159.07	2178.83	1857.6	1832.01	1794.29	2018.8	1662.49	1870.53	1250.98	2400.97	1651.0	2004.85	1572.76	3190.46	693.58	1268.46	1073.91	2004.85	1721.16	2075.59	444.72	403.5	1508.65	2682.69	444.72	583.07	371.22	236.21	297.17	728.11	373.81	403.5	536.45	493.56	256.78	808.0	480.04	283.05	591.22	441.64	332.14	525.39	309.83	529.06	395.18	301.33	616.37	595.34	325.29	265.87	339.14	444.72	332.14	420.68	587.13	334.46	660.68	521.76	325.29	543.96	389.72	629.35	616.37	351.14	679.29	769.69	890.44	616.37	412.0	684.02	540.19	466.88	1340.84	1151.06	620.67	409.15	928.3	693.58	450.94	307.69	780.44	525.39	392.44	753.83	547.75	426.57	525.39	1037.29	738.29	587.13	571.05	249.73	563.18	656.11	1001.93	316.37	555.41	361.04	624.99	490.14	454.09	878.17	624.99	339.14	473.41	423.61	208.38	669.92	483.38	435.55	287.01	595.34	629.35	381.68	260.38	1477.58	1447.15	1594.73
CAPZA2	2664.15	3325.99	2367.9	1350.18	3847.29	3146.52	1950.0	3018.3	2502.97	3665.02	3540.14	2720.15	2591.27	2816.11	2758.13	2682.69	2240.11	1651.0	3060.45	1936.53	2645.74	3081.75	3325.99	1909.85	2627.46	2777.33	3060.45	2682.69	3103.19	2875.3	3955.48	2935.74	3419.52	4450.27	5255.91	2573.36	5913.33	3303.0	4607.24	4704.07	3018.3	5441.3	4836.35	890.44	988.12	4181.07	5954.47	11909.94	2032.85	878.17	656.11	1277.29	1950.0	656.11	1331.57	1340.84	1427.22	547.75	2133.97	1819.35	1167.14	1044.52	1639.59	4704.07	1551.09	819.3	1685.71	1572.76	629.35	1697.45	1628.26	802.41	638.15	1135.2	1081.39	718.08	961.07	1340.84	1250.98	1832.01	1487.87	854.13	1340.84	1037.29	1651.0	3018.3	848.22	1721.16	2434.5	1936.53	1857.6	1639.59	2018.8	1628.26	1225.22	3257.52	2367.9	1870.53	1697.45	3103.19	1936.53	909.17	1008.9	1909.85	1794.29	1397.83	1794.29	1259.69	1096.5	1819.35	1794.29	1745.2	1721.16	1697.45	612.11	1498.22	1806.78	1529.73	819.3	1540.37	928.3	1745.2	1447.15	1477.58	1963.57	1844.76	934.76	915.51	674.59	1051.79	1709.26	1143.1	1359.57	607.87	2047.0	1583.71	1143.1	1143.1	7032.37	8363.13	3665.02
CASC4	2303.12	1909.85	1331.57	1498.22	1477.58	2075.59	1250.98	1369.04	1427.22	1769.57	1242.34	1651.0	2209.26	1199.98	1477.58	1259.69	1051.79	1322.37	2163.77	1242.34	1605.83	2240.11	2061.24	1417.35	1757.34	1059.11	1350.18	2451.44	1417.35	1594.73	1991.0	1388.16	1819.35	2018.8	2682.69	1651.0	2895.31	1030.12	2193.99	2104.58	2061.24	2758.13	2319.15	616.37	775.05	1685.71	2434.5	529.06	718.08	595.34	587.13	713.11	1059.11	490.14	698.41	860.08	400.71	358.54	334.46	500.46	616.37	629.35	514.56	928.3	595.34	316.37	961.07	463.65	616.37	1001.93	1127.35	559.28	231.32	656.11	514.56	723.08	872.1	848.22	708.18	967.76	603.67	603.67	748.61	660.68	738.29	813.63	638.15	738.29	656.11	785.88	1151.06	642.59	866.07	417.77	429.54	1674.06	1331.57	836.53	638.15	1417.35	753.83	255.0	400.71	1088.92	830.75	529.06	909.17	733.19	507.46	1030.12	684.02	616.37	1119.56	738.29	624.99	571.05	921.88	819.3	679.29	947.83	808.0	785.88	759.08	961.07	1073.91	1001.93	665.29	525.39	348.71	536.45	848.22	258.57	915.51	251.48	753.83	866.07	660.68	743.43	1757.34	2193.99	1781.89
