	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.145LS.2726.SM.5Q5D8	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.147JS.2526.SM.5S2Q8	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.14BMV.2426.SM.5S2PP	GTEX.12ZZY.2726.SM.5EQ45	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.UJHI.1126.SM.4IHLN	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.Y8E4.2426.SM.4WWDN	GTEX.13OW6.2126.SM.5N9GL	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.11DXZ.1726.SM.5H12M	GTEX.TKQ2.1326.SM.4DXT9	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.QCQG.1626.SM.48U26	GTEX.11O72.2226.SM.5PNW2	GTEX.Y3IK.1826.SM.4WWDS	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07
C20orf194	76.17	11.47	31.22	49.56	25.54	68.55	205.5	26.47	262.2	23.93	60.82	156.59	208.38	10.63	43.02	165.57	37.05	18.29	24.81	45.53	17.13	185.11	34.02	34.51	103.69	193.01	221.86	198.47	28.65	35.25	190.34	19.82	13.62	215.77	27.64	44.25	32.36	158.79	124.37	151.22	23.76	30.78	94.01	241.19	20.86	141.02	135.24	171.45	44.57	199.85	51.71	201.25	32.13	19.39	26.1	19.68	10.08	23.76	47.84	34.02	0.0
C2orf81	34.02	24.81	34.26	27.44	23.25	34.51	94.01	27.84	92.7	17.77	39.22	73.03	62.12	11.82	44.25	41.52	27.25	34.75	62.56	47.5	10.08	101.54	21.47	37.32	52.08	131.51	108.14	59.97	22.1	33.3	99.43	44.89	28.65	109.66	25.54	19.82	23.76	50.63	57.49	35.76	19.97	40.64	51.35	50.98	22.1	47.17	45.53	49.21	47.17	38.4	35.76	90.14	31.0	12.36	10.47	8.71	3.03	6.26	20.11	6.57	0.0
C3orf55	21.32	6.41	12.74	16.15	8.99	5.92	35.76	1.22	279.14	19.97	16.27	98.04	95.34	19.25	12.83	16.27	26.1	7.06	13.52	23.76	5.87	32.59	18.84	14.24	43.02	253.23	33.3	27.05	15.0	29.06	71.0	3.06	6.84	15.91	10.55	82.87	19.53	22.59	20.56	82.29	4.31	1.91	19.68	108.14	12.55	25.72	51.35	38.12	51.35	19.11	9.2	67.12	7.63	6.78	0.0	0.0	0.0	0.0	11.91	0.0	0.0
CADM3	246.28	83.45	65.26	118.43	38.12	201.25	2627.46	55.89	2163.77	45.21	277.2	693.58	1529.73	21.47	214.27	426.57	106.63	83.45	112.77	275.28	81.71	1369.04	134.3	118.43	312.0	4181.07	1685.71	497.0	60.82	156.59	3742.05	108.9	29.27	1963.57	73.54	387.02	108.9	351.14	543.96	473.41	38.4	92.7	325.29	890.44	68.55	555.41	460.44	808.0	295.11	2573.36	223.41	1104.13	35.0	29.48	25.35	0.0	1.97	16.88	49.21	6.52	0.0
CALB2	260.38	127.89	133.36	176.29	135.24	155.5	1832.01	35.76	7749.1	56.28	563.18	1467.37	830.75	140.04	71.0	555.41	107.38	120.1	242.88	414.87	178.77	2777.33	111.99	123.5	429.54	12943.04	1073.91	417.77	92.7	86.43	2018.8	258.57	1.2	2434.5	400.71	395.18	114.36	417.77	743.43	599.49	98.73	43.94	579.04	44.25	181.28	503.95	511.0	381.68	579.04	2004.85	107.38	1001.93	63.89	47.84	1.45	0.15	9.13	2.1	0.26	0.27	0.0
CAMSAP2	75.11	26.86	53.57	58.3	41.22	81.71	211.31	49.21	189.02	56.68	67.59	122.64	178.77	29.48	89.51	131.51	57.89	27.05	46.5	57.89	47.17	175.07	67.12	52.08	100.83	224.97	194.36	140.04	53.95	60.39	187.71	30.12	34.75	177.53	46.5	95.34	55.1	126.12	128.79	164.42	52.08	47.5	72.52	172.65	45.21	142.01	141.02	173.85	59.55	197.09	62.56	153.34	47.84	33.06	58.3	53.19	20.56	48.87	90.77	86.43	0.0
CBLN2	24.46	14.24	16.51	10.79	8.65	55.1	87.03	18.16	126.12	8.32	39.5	53.19	67.12	13.93	15.91	48.87	11.21	5.87	42.11	41.81	11.04	194.36	21.01	17.13	45.21	158.79	120.1	44.25	36.27	24.28	70.51	24.46	5.02	108.14	17.51	75.11	23.25	30.34	31.22	103.69	6.52	34.51	53.57	206.94	15.45	55.49	41.52	80.57	50.27	109.66	37.59	54.33	7.46	11.55	13.12	0.0	1.25	2.43	6.84	3.92	0.0
CCDC147	5.59	0.0	1.06	3.44	0.68	0.62	5.06	0.51	3.69	0.39	0.8	5.41	5.28	1.35	0.78	3.08	1.03	1.79	2.05	0.82	1.22	7.34	1.43	0.4	2.86	6.26	12.45	3.44	0.0	1.75	8.85	2.05	1.38	8.25	0.85	1.22	1.36	2.97	3.79	4.94	0.97	2.07	5.45	6.94	1.38	3.06	4.94	1.85	0.92	7.28	2.01	6.89	0.22	0.97	1.66	0.65	0.18	1.69	3.92	2.89	0.0
CCDC3	154.42	66.65	64.8	78.34	28.45	90.77	624.99	66.18	480.04	32.59	229.72	204.07	470.14	44.57	100.83	205.5	66.18	34.26	78.34	87.65	39.5	432.53	72.01	64.34	139.07	285.03	395.18	206.94	29.27	105.89	551.56	43.32	27.05	460.44	64.8	154.42	34.02	417.77	253.23	163.28	48.87	70.01	133.36	400.71	49.21	228.13	291.04	518.15	125.24	463.65	84.63	336.79	46.84	38.12	656.11	232.94	289.02	246.28	665.29	603.67	0.0
CD109	26.28	3.92	7.51	28.04	8.13	24.28	180.02	12.55	201.25	9.56	20.41	87.65	128.79	4.17	22.59	60.82	14.24	8.32	10.39	24.28	9.63	94.01	19.53	12.27	36.27	133.36	119.26	96.68	7.28	28.24	162.14	9.41	6.11	108.9	11.64	24.99	11.13	71.0	81.14	47.84	20.11	10.96	32.82	85.82	8.99	82.87	66.18	82.29	24.11	127.0	23.76	134.3	4.94	4.39	8.38	7.4	2.29	10.55	13.42	8.99	0.0
CELF3	24.28	14.56	36.79	35.25	13.22	37.32	56.68	8.99	273.37	18.43	70.01	90.14	79.45	1.93	37.05	78.89	22.1	31.9	66.65	46.84	14.67	133.36	12.64	15.91	85.82	316.37	244.57	72.52	16.15	22.43	153.34	26.47	17.77	198.47	42.71	49.91	15.56	41.81	35.76	125.24	13.52	24.81	60.39	78.89	18.03	94.67	55.89	58.71	74.58	126.12	16.88	78.34	17.9	12.18	0.72	0.0	0.0	1.46	0.0	1.07	0.0
CLDN11	120.94	35.0	31.9	28.86	32.59	111.99	395.18	16.88	620.67	16.75	110.43	314.17	376.41	29.7	105.15	65.26	23.25	23.25	69.52	84.63	39.22	426.57	104.42	20.86	133.36	400.71	127.89	215.77	111.99	64.34	1119.56	33.3	13.03	318.57	70.51	234.57	40.36	316.37	195.72	166.73	7.57	22.75	157.68	175.07	10.47	287.01	127.89	480.04	64.8	191.67	66.18	536.45	14.03	14.14	29.7	66.18	24.28	32.36	51.35	46.18	16.88
CLEC3B	3280.18	1529.73	780.44	1277.29	684.02	2004.85	12853.63	679.29	9151.82	1104.13	2240.11	3955.48	7589.61	1199.98	3146.52	4268.94	1001.93	1250.98	1457.23	1487.87	1167.14	14561.8	1819.35	1674.06	1819.35	17927.91	5219.6	3039.3	819.3	2163.77	16157.44	1191.69	651.58	17927.91	1111.82	2255.7	1286.18	3349.13	9474.59	2816.11	444.72	1709.26	2664.15	8778.97	1561.89	2537.92	1733.13	8479.89	3212.66	11909.94	3614.55	5292.48	890.44	525.39	2193.99	1359.57	392.44	381.68	3742.05	3665.02	0.0
CLSTN2	5.87	5.02	8.19	2.97	3.99	15.0	104.42	3.23	112.77	7.4	17.25	29.91	61.25	1.36	10.08	21.16	14.56	2.01	5.63	5.28	1.35	40.36	4.17	3.99	27.44	113.56	35.25	34.26	5.59	12.83	82.29	3.06	2.14	82.29	4.78	65.72	6.94	59.55	34.51	34.51	2.1	5.59	11.91	101.54	2.84	29.06	23.42	79.45	10.79	60.39	5.63	73.54	3.56	0.99	21.63	9.78	4.54	4.17	16.15	7.69	0.0
CNGB1	14.78	3.69	7.57	12.45	2.51	8.71	8.38	2.63	101.54	4.43	3.86	8.32	13.83	4.9	2.89	12.09	7.46	7.94	3.11	7.06	4.21	16.51	8.58	3.26	15.11	59.97	18.43	8.19	9.56	6.46	26.86	4.06	0.0	32.82	6.16	6.84	8.06	15.56	14.45	27.64	5.19	1.13	11.82	9.06	1.68	24.63	20.26	15.0	13.62	21.63	9.93	29.7	8.19	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNRIP1	223.41	84.04	104.42	113.56	96.01	195.72	947.83	111.99	665.29	74.06	142.01	397.93	660.68	34.51	214.27	307.69	154.42	76.17	91.41	191.67	73.03	780.44	125.24	94.01	205.5	1015.93	743.43	295.11	146.03	142.01	915.51	88.26	56.28	748.61	80.57	223.41	111.99	295.11	392.44	301.33	77.79	88.26	202.66	368.65	79.45	291.04	307.69	571.05	202.66	753.83	140.04	764.36	135.24	78.89	91.41	62.12	49.56	49.56	172.65	106.63	0.0
COX4I2	32.13	31.45	26.86	47.5	10.55	36.53	441.64	24.81	387.02	26.47	88.26	108.9	167.9	18.84	68.55	68.55	16.03	33.06	42.41	47.17	38.95	212.78	16.63	34.75	63.89	351.14	234.57	87.03	7.34	22.75	234.57	27.84	41.52	239.52	23.42	53.95	21.16	51.35	144.01	98.04	42.41	37.85	56.28	163.28	69.52	90.77	48.52	66.65	82.87	167.9	36.79	244.57	35.76	15.45	35.0	2.14	28.86	55.49	22.26	16.03	0.0
CRTAP	2367.9	1183.45	1407.55	1487.87	1208.34	2271.4	4388.98	1225.22	4388.98	1359.57	1832.01	3589.58	4903.87	540.19	2075.59	3564.78	1709.26	1605.83	1508.65	2090.03	1183.45	4298.64	1529.73	1427.22	3303.0	5441.3	5006.93	3325.99	1340.84	1896.65	5147.73	1340.84	1023.0	4181.07	1417.35	2335.28	1467.37	3124.78	2875.3	3690.52	1268.46	1340.84	2303.12	4066.71	1369.04	3419.52	3467.27	3847.29	2209.26	4575.41	1923.14	4268.94	1340.84	866.07	1427.22	1923.14	1340.84	1151.06	1745.2	1081.39	0.0
CYP4X1	18.43	0.68	4.74	4.9	5.15	2.97	126.12	6.06	320.8	7.46	9.56	43.32	73.54	0.35	1.66	89.51	9.7	12.09	15.0	36.27	7.75	63.45	6.06	6.94	25.35	182.55	151.22	16.75	2.07	8.0	253.23	5.11	6.57	129.69	7.22	43.02	9.7	23.59	28.04	107.38	2.51	3.92	11.47	148.09	9.85	26.28	70.01	68.07	38.12	70.51	8.38	48.18	2.23	5.11	432.53	45.53	91.41	135.24	101.54	126.12	0.0
DIRAS2	5.59	1.43	1.91	1.89	0.89	0.48	12.93	3.59	18.56	2.14	1.16	3.96	9.48	0.52	2.73	6.46	1.19	0.84	5.28	0.83	1.17	13.22	5.15	1.5	3.38	20.56	15.8	6.78	2.2	3.79	13.52	3.29	1.69	15.0	1.22	4.46	1.68	5.23	4.06	6.62	1.46	1.35	7.57	22.75	1.16	7.0	5.82	5.23	3.82	13.42	1.69	7.0	0.49	0.93	7.69	3.06	28.24	18.56	5.23	0.39	0.0
DLX3	12.27	0.39	0.55	1.91	0.61	1.85	23.08	0.0	36.27	1.28	12.18	9.7	4.1	0.0	3.89	2.73	2.43	0.0	4.54	7.11	1.35	63.89	0.93	2.29	15.11	194.36	15.45	6.06	1.87	6.52	18.84	2.56	0.0	42.71	0.0	25.54	2.25	6.62	4.66	14.67	0.82	3.86	15.91	98.04	1.79	7.06	16.75	16.51	18.43	25.54	2.94	21.94	0.17	0.0	0.0	1.87	0.0	0.33	0.0	0.36	0.0
EBF1	54.72	13.22	21.78	24.28	31.0	22.26	256.78	31.0	371.22	20.41	39.22	89.51	135.24	23.25	42.71	76.71	38.67	13.83	26.47	49.56	21.47	128.79	38.12	29.48	61.25	334.46	127.0	100.13	21.94	48.18	336.79	18.29	11.73	202.66	28.24	74.58	40.36	108.14	105.15	99.43	13.42	14.89	46.18	152.28	36.01	82.29	98.04	158.79	53.57	135.24	32.36	130.6	17.77	10.63	21.01	7.22	2.27	14.14	13.52	6.41	0.0
EBF3	16.51	0.79	3.11	4.31	3.92	10.55	72.52	4.39	59.13	2.12	14.56	30.78	62.56	2.63	5.96	17.38	5.5	1.53	4.21	5.82	1.95	33.54	8.13	2.34	17.77	77.25	88.88	34.75	5.87	8.13	102.97	1.14	2.92	67.59	5.63	18.56	2.41	27.05	30.56	24.28	1.45	1.55	21.32	27.64	1.28	27.05	24.63	62.56	12.83	35.76	7.22	40.64	5.06	1.53	12.45	0.02	3.53	8.58	2.84	10.96	0.0
EPHA5	2.14	0.55	0.58	0.57	0.95	0.57	4.86	0.99	13.22	1.19	1.48	2.53	6.01	0.6	0.87	3.08	1.81	0.57	2.46	0.89	0.57	5.77	1.22	1.48	1.58	6.36	6.01	1.68	0.89	0.6	10.63	0.58	0.6	6.26	1.23	0.57	0.96	2.25	3.35	2.73	0.55	0.62	2.76	1.87	1.19	1.89	2.23	1.85	1.95	5.15	0.61	2.39	0.58	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EVC	62.56	6.31	16.15	29.91	10.08	47.5	175.07	20.86	143.01	8.99	35.5	87.65	156.59	5.87	29.91	120.94	22.59	8.51	16.88	28.45	12.93	163.28	19.39	17.64	78.34	143.01	161.02	141.02	13.12	23.25	191.67	18.16	8.71	147.06	19.68	36.01	19.11	115.97	97.36	133.36	18.03	23.93	74.58	127.89	10.55	90.77	116.78	141.02	25.91	186.4	29.91	162.14	11.64	5.15	47.17	12.27	41.22	12.27	23.76	13.03	0.0
FABP1	925580.18	2011721.67	726195.27	1085552.95	654483.73	925580.18	46339.95	1412675.8	9606.86	938500.81	1070607.81	185362.8	5517.27	1070607.81	851707.37	221968.2	800198.39	736332.6	817012.28	641014.63	789181.81	54349.29	1155430.26	1041331.96	391864.76	21617.82	4607.24	479109.86	951601.81	1078054.48	33455.53	1034138.94	602247.76	191899.64	757033.75	1019901.63	696613.03	711250.37	221968.2	402881.61	751804.53	1093103.58	606436.73	153724.82	811368.76	370726.6	636586.81	141455.6	706337.4	46339.95	1238359.56	107948.72	762299.34	1273174.62	2599854.48	2201414.44	1308968.45	2845004.48	5420519.65	1691649.38	0.0
FAM180B	16.88	12.45	8.65	7.17	7.51	8.51	45.85	3.29	34.26	4.06	16.51	55.89	78.89	7.11	15.0	24.81	9.93	12.0	5.32	6.62	6.62	49.56	19.53	3.03	4.86	104.42	33.06	5.06	3.06	14.14	81.14	7.34	0.0	68.55	8.25	22.43	6.11	24.81	45.21	14.45	5.02	4.58	19.82	18.16	9.7	24.11	26.86	44.25	24.11	34.02	7.75	24.63	5.32	8.92	0.0	0.0	0.0	0.0	2.39	0.0	0.0
FAM27E1	4.17	0.17	1.27	3.06	0.0	5.23	6.41	1.06	0.59	1.64	3.79	2.03	6.41	0.0	1.16	5.92	1.39	0.0	0.0	0.73	0.0	7.57	1.23	1.95	2.14	9.63	8.65	2.46	0.0	0.82	5.23	0.93	0.0	11.47	0.0	0.73	0.0	2.05	2.94	5.45	0.68	3.0	0.6	6.31	0.0	2.12	0.44	4.98	0.0	3.47	0.47	7.0	0.0	0.0	0.69	0.0	0.0	0.0	1.31	0.0	0.0
FBLN2	665.29	129.69	281.09	133.36	133.36	507.46	3982.99	87.65	6381.92	180.02	575.03	1857.6	4268.94	246.28	633.73	1066.48	260.38	264.03	232.94	320.8	161.02	2384.37	579.04	241.19	1350.18	6699.25	2119.22	836.53	167.9	813.63	7537.18	150.17	76.71	4769.75	441.64	2609.3	258.57	1059.11	3325.99	981.29	103.69	182.55	473.41	3168.41	130.6	753.83	1639.59	1950.0	1183.45	5006.93	400.71	3820.7	102.25	116.78	299.25	31.9	89.51	107.38	346.29	115.16	229.72
FBXL7	73.54	24.11	42.41	69.03	35.5	66.18	262.2	26.28	260.38	42.11	49.21	178.77	223.41	15.91	57.49	175.07	45.21	24.81	25.35	73.54	26.67	293.07	57.08	39.79	121.79	265.87	220.32	183.82	32.36	49.56	334.46	29.7	23.93	232.94	45.85	69.03	43.02	122.64	190.34	228.13	40.36	33.54	75.64	220.32	37.59	134.3	167.9	198.47	53.57	206.94	43.94	191.67	31.67	17.13	48.52	11.38	6.06	7.94	81.71	41.22	0.0
FGF13	83.45	16.39	12.27	29.27	15.45	55.89	206.94	11.3	264.03	17.51	53.95	155.5	291.04	11.04	43.32	123.5	37.59	14.78	35.5	62.12	16.15	236.21	38.12	35.76	114.36	273.37	429.54	206.94	24.11	33.78	316.37	16.39	20.41	454.09	14.03	61.68	32.59	149.12	173.85	143.01	19.68	19.39	90.14	426.57	23.93	161.02	164.42	173.85	36.53	271.48	60.39	218.79	31.9	3.44	47.5	15.0	3.82	30.34	64.8	18.16	392.44
FMO2	26.47	2.86	9.56	13.03	6.67	20.41	93.35	5.23	187.71	10.08	7.17	134.3	71.5	6.67	11.47	36.27	23.25	7.17	6.41	13.22	2.71	28.24	25.72	3.96	30.56	358.54	180.02	53.57	9.2	10.24	248.0	2.71	6.62	96.68	10.55	88.88	20.11	51.35	73.54	59.13	2.71	2.27	18.56	166.73	1.38	55.1	39.22	154.42	30.56	96.01	14.03	175.07	11.13	3.92	43.94	21.94	23.59	57.89	52.45	119.26	0.0
FRS3	85.82	57.49	76.17	84.04	58.71	78.89	130.6	61.68	139.07	45.85	66.18	126.12	153.34	53.19	64.8	105.15	69.52	85.82	66.18	67.12	39.22	115.16	44.89	63.89	83.45	133.36	177.53	104.42	56.68	64.34	185.11	55.1	81.71	186.4	85.82	80.57	73.54	102.97	100.83	83.45	48.87	75.64	95.34	89.51	58.3	102.97	84.04	112.77	87.03	130.6	97.36	146.03	76.17	43.32	56.28	22.26	77.25	54.72	49.56	67.12	0.0
GLT8D2	185.11	59.13	83.45	121.79	50.63	205.5	836.53	73.54	603.67	68.55	154.42	275.28	579.04	32.36	175.07	164.42	122.64	72.52	74.58	95.34	65.26	842.36	115.97	111.21	236.21	780.44	723.08	303.44	59.13	94.67	941.27	72.01	45.85	669.92	60.82	182.55	66.18	249.73	417.77	191.67	59.55	94.01	198.47	307.69	66.18	191.67	212.78	607.87	145.02	708.18	139.07	555.41	73.03	42.71	49.21	23.08	41.22	30.78	166.73	85.82	0.0
