	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8259.11A.01R.2263.07
CRLF3	199.85	141.02	157.68	59.97	198.47	88.26	220.32	159.9	133.36	159.9	131.51	136.19	178.77	87.65	126.12	128.79	103.69	69.52	215.77	84.04	85.22	98.04	123.5	112.77	77.25	82.29	82.87	100.83	113.56	139.07	119.26	121.79	152.28	75.64	141.02	88.26	117.6	139.07	71.0	102.25	75.11	96.01	138.1	135.24	115.16	96.68	111.99	94.67	70.01	107.38	86.43	102.97	121.79	105.89	74.06
CSNK2A1	1183.45	1199.98	1378.57	532.74	1208.34	723.08	1498.22	1001.93	825.0	1208.34	884.29	995.0	1487.87	684.02	1159.07	934.76	796.86	612.11	1127.35	808.0	753.83	642.59	1044.52	1151.06	603.67	536.45	571.05	571.05	854.13	1096.5	934.76	547.75	1015.93	796.86	1295.13	624.99	769.69	1583.71	660.68	813.63	567.1	890.44	1159.07	896.64	909.17	543.96	1066.48	775.05	583.07	555.41	665.29	854.13	733.19	718.08	796.86
CXADR	532.74	928.3	995.0	341.51	1304.15	273.37	974.5	1059.11	312.0	457.25	624.99	454.09	1119.56	211.31	830.75	293.07	395.18	234.57	764.36	366.09	361.04	376.41	842.36	1104.13	112.77	214.27	343.89	346.29	384.34	884.29	518.15	432.53	1059.11	358.54	1088.92	454.09	476.71	1151.06	343.89	518.15	307.69	246.28	1167.14	371.22	620.67	376.41	521.76	373.81	214.27	249.73	384.34	287.01	327.56	163.28	193.01
CYFIP1	1844.76	2119.22	1769.57	819.3	1594.73	1119.56	1757.34	1963.57	1388.16	2468.49	1008.9	1883.54	1844.76	1175.27	1498.22	1487.87	1175.27	1111.82	1508.65	1583.71	1529.73	981.29	1417.35	1685.71	1331.57	1119.56	684.02	1104.13	1407.55	1936.53	1794.29	1991.0	1151.06	1242.34	1909.85	1096.5	967.76	1950.0	1015.93	1991.0	954.43	1583.71	1709.26	1143.1	1662.49	995.0	1936.53	1208.34	1051.79	866.07	1096.5	1331.57	1037.29	1313.23	1081.39
DAG1	1175.27	1167.14	1167.14	753.83	1127.35	921.88	1313.23	1709.26	934.76	1617.0	1088.92	1059.11	1167.14	808.0	1277.29	954.43	896.64	660.68	902.89	819.3	842.36	620.67	1104.13	1151.06	536.45	629.35	607.87	796.86	1388.16	1508.65	1340.84	1119.56	848.22	836.53	1119.56	842.36	780.44	1651.0	603.67	1233.75	559.28	1313.23	1617.0	872.1	1313.23	642.59	1023.0	836.53	791.35	633.73	791.35	884.29	848.22	884.29	753.83
DDX6	1023.0	1044.52	769.69	156.59	1127.35	432.53	1135.2	1286.18	511.0	1167.14	555.41	669.92	1167.14	409.15	866.07	559.28	435.55	309.83	629.35	511.0	460.44	246.28	854.13	796.86	167.9	157.68	201.25	211.31	599.49	1015.93	825.0	866.07	551.56	348.71	1183.45	348.71	429.54	1350.18	204.07	656.11	197.09	493.56	1167.14	591.22	753.83	217.27	785.88	417.77	289.02	305.55	371.22	486.75	312.0	384.34	450.94
DENND4C	525.39	518.15	616.37	119.26	723.08	218.79	684.02	723.08	287.01	607.87	366.09	371.22	660.68	232.94	536.45	336.79	256.78	186.4	447.82	346.29	275.28	239.52	529.06	450.94	88.26	120.1	141.02	211.31	348.71	753.83	473.41	389.72	299.25	239.52	525.39	208.38	242.88	688.78	194.36	381.68	181.28	332.14	665.29	361.04	387.02	154.42	444.72	256.78	153.34	190.34	198.47	297.17	226.54	323.03	316.37
DHX33	242.88	198.47	236.21	74.58	148.09	157.68	146.03	183.82	132.44	211.31	190.34	197.09	228.13	135.24	212.78	153.34	99.43	124.37	190.34	155.5	163.28	120.94	237.86	166.73	115.97	101.54	107.38	123.5	156.59	212.78	194.36	229.72	154.42	111.99	205.5	124.37	116.78	209.84	106.63	173.85	94.67	173.85	212.78	186.4	177.53	117.6	198.47	117.6	128.79	135.24	137.14	127.0	128.79	152.28	127.89
DNAJA2	1487.87	1119.56	1208.34	813.63	1268.46	981.29	1350.18	1457.23	1051.79	1199.98	1151.06	1242.34	1313.23	884.29	1104.13	872.1	1081.39	836.53	1119.56	988.12	1001.93	902.89	1159.07	1111.82	759.08	638.15	854.13	896.64	1051.79	1350.18	1199.98	1119.56	2178.83	830.75	1151.06	848.22	551.56	1378.57	981.29	1088.92	708.18	915.51	1233.75	1225.22	1001.93	753.83	1111.82	830.75	921.88	896.64	1015.93	872.1	1081.39	1119.56	967.76
DNAJC21	769.69	708.18	909.17	381.68	981.29	483.38	981.29	1066.48	629.35	866.07	713.11	780.44	836.53	575.03	723.08	591.22	607.87	441.64	796.86	708.18	638.15	536.45	743.43	624.99	406.31	500.46	579.04	444.72	612.11	854.13	775.05	684.02	633.73	525.39	684.02	532.74	483.38	872.1	518.15	603.67	466.88	698.41	769.69	830.75	713.11	361.04	647.07	540.19	540.19	543.96	547.75	483.38	748.61	651.58	764.36
DYRK1A	660.68	802.41	703.28	267.73	830.75	460.44	878.17	775.05	547.75	629.35	490.14	583.07	796.86	432.53	665.29	500.46	480.04	353.59	743.43	511.0	403.5	409.15	693.58	698.41	127.0	283.05	295.11	341.51	547.75	638.15	603.67	638.15	514.56	387.02	872.1	392.44	480.04	819.3	373.81	525.39	293.07	490.14	802.41	603.67	579.04	373.81	587.13	514.56	412.0	406.31	361.04	470.14	384.34	438.59	493.56
