	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8259.11A.01R.2263.07
PTPN12	514.56	525.39	551.56	131.51	769.69	135.24	860.08	872.1	368.65	470.14	373.81	480.04	764.36	400.71	507.46	229.72	429.54	283.05	764.36	438.59	265.87	229.72	693.58	299.25	132.44	248.0	320.8	356.05	466.88	532.74	463.65	457.25	708.18	299.25	669.92	244.57	242.88	748.61	323.03	334.46	223.41	327.56	536.45	473.41	414.87	301.33	423.61	351.14	316.37	303.44	395.18	366.09	447.82	309.83	423.61
PUM2	1378.57	1322.37	1487.87	460.44	1685.71	743.43	1674.06	1572.76	813.63	1350.18	928.3	961.07	1685.71	764.36	1208.34	848.22	830.75	684.02	1001.93	961.07	830.75	819.3	1225.22	1208.34	457.25	503.95	612.11	728.11	890.44	1322.37	1059.11	1397.83	1015.93	738.29	1369.04	698.41	769.69	1540.37	651.58	995.0	555.41	825.0	1427.22	836.53	1135.2	665.29	1242.34	836.53	651.58	728.11	748.61	884.29	713.11	753.83	941.27
PURB	409.15	346.29	417.77	169.07	363.56	269.6	466.88	460.44	262.2	348.71	291.04	329.84	460.44	262.2	476.71	267.73	249.73	226.54	291.04	312.0	239.52	236.21	389.72	325.29	159.9	183.82	181.28	228.13	323.03	454.09	356.05	379.04	267.73	202.66	334.46	244.57	239.52	511.0	212.78	299.25	169.07	255.0	438.59	341.51	346.29	242.88	332.14	234.57	244.57	277.2	226.54	301.33	244.57	265.87	267.73
REEP3	480.04	595.34	1167.14	251.48	915.51	279.14	796.86	1119.56	334.46	579.04	414.87	511.0	587.13	373.81	525.39	392.44	339.14	412.0	607.87	518.15	387.02	346.29	395.18	612.11	226.54	277.2	318.57	255.0	351.14	836.53	503.95	518.15	493.56	279.14	547.75	253.23	412.0	688.78	251.48	457.25	363.56	358.54	733.19	244.57	507.46	249.73	575.03	264.03	389.72	348.71	379.04	281.09	343.89	336.79	412.0
RFWD3	126.12	164.42	202.66	81.71	217.27	102.97	154.42	197.09	135.24	193.01	96.68	136.19	187.71	102.97	214.27	128.79	89.51	78.34	185.11	129.69	105.89	84.63	234.57	269.6	49.91	59.97	80.01	96.01	124.37	115.16	159.9	143.01	53.57	94.01	140.04	110.43	125.24	218.79	92.7	135.24	54.72	154.42	224.97	124.37	133.36	126.12	163.28	108.9	120.94	102.97	87.03	132.44	77.79	65.72	132.44
RGPD6	412.0	265.87	406.31	120.94	409.15	220.32	373.81	486.75	234.57	343.89	318.57	420.68	412.0	236.21	463.65	189.02	283.05	182.55	417.77	301.33	228.13	244.57	301.33	253.23	149.12	162.14	161.02	253.23	285.03	457.25	409.15	329.84	161.02	144.01	287.01	218.79	232.94	351.14	194.36	316.37	92.7	309.83	301.33	332.14	265.87	191.67	297.17	241.19	194.36	241.19	157.68	246.28	299.25	316.37	343.89
RNF6	470.14	660.68	518.15	195.72	497.0	384.34	587.13	825.0	356.05	607.87	438.59	438.59	518.15	403.5	457.25	351.14	316.37	281.09	466.88	406.31	312.0	397.93	429.54	490.14	161.02	193.01	363.56	244.57	414.87	480.04	500.46	476.71	447.82	358.54	583.07	351.14	563.18	567.1	234.57	339.14	341.51	346.29	583.07	441.64	483.38	264.03	511.0	412.0	236.21	279.14	353.59	303.44	279.14	325.29	490.14
RPAP3	497.0	447.82	529.06	281.09	432.53	314.17	514.56	551.56	320.8	441.64	301.33	403.5	555.41	297.17	420.68	373.81	305.55	281.09	507.46	323.03	316.37	275.28	493.56	417.77	297.17	249.73	287.01	299.25	346.29	447.82	346.29	371.22	351.14	265.87	447.82	242.88	281.09	493.56	353.59	323.03	242.88	403.5	463.65	379.04	346.29	242.88	373.81	323.03	273.37	309.83	309.83	239.52	351.14	305.55	400.71
RPE	638.15	723.08	802.41	297.17	575.03	466.88	620.67	743.43	463.65	728.11	518.15	607.87	638.15	412.0	591.22	503.95	500.46	397.93	693.58	454.09	466.88	423.61	532.74	511.0	283.05	303.44	332.14	361.04	555.41	624.99	559.28	718.08	665.29	403.5	723.08	381.68	387.02	733.19	336.79	432.53	376.41	579.04	698.41	332.14	579.04	356.05	620.67	420.68	387.02	371.22	389.72	414.87	435.55	447.82	624.99
SCYL2	532.74	612.11	575.03	153.34	802.41	281.09	743.43	764.36	348.71	595.34	438.59	483.38	616.37	265.87	490.14	348.71	336.79	466.88	599.49	361.04	327.56	295.11	583.07	559.28	131.51	220.32	217.27	267.73	351.14	571.05	444.72	460.44	361.04	237.86	476.71	285.03	301.33	743.43	226.54	447.82	186.4	366.09	651.58	341.51	503.95	221.86	567.1	307.69	229.72	329.84	363.56	348.71	283.05	239.52	397.93
SEC24B	660.68	633.73	497.0	212.78	540.19	279.14	571.05	607.87	320.8	518.15	325.29	371.22	551.56	285.03	397.93	343.89	297.17	236.21	521.76	329.84	309.83	269.6	426.57	473.41	197.09	186.4	244.57	229.72	318.57	438.59	389.72	555.41	400.71	279.14	547.75	237.86	356.05	651.58	251.48	358.54	217.27	329.84	483.38	376.41	379.04	199.85	473.41	314.17	256.78	242.88	279.14	258.57	256.78	256.78	366.09
SEC24D	1111.82	713.11	1167.14	387.02	1127.35	450.94	941.27	1191.69	688.78	1111.82	624.99	866.07	860.08	420.68	748.61	616.37	435.55	483.38	775.05	660.68	511.0	563.18	848.22	575.03	195.72	356.05	314.17	346.29	748.61	748.61	1073.91	1167.14	551.56	426.57	1295.13	403.5	368.65	1388.16	473.41	743.43	339.14	748.61	928.3	353.59	860.08	307.69	780.44	476.71	599.49	432.53	547.75	414.87	915.51	612.11	575.03
SETD5	884.29	1051.79	1096.5	327.56	1216.75	607.87	848.22	808.0	698.41	753.83	728.11	988.12	1015.93	674.59	1059.11	607.87	624.99	529.06	1008.9	791.35	563.18	417.77	854.13	738.29	493.56	307.69	395.18	480.04	819.3	854.13	878.17	915.51	748.61	579.04	1225.22	595.34	688.78	967.76	447.82	813.63	356.05	775.05	718.08	684.02	802.41	493.56	854.13	684.02	358.54	435.55	460.44	1059.11	591.22	607.87	624.99
SHPRH	164.42	143.01	132.44	17.38	163.28	67.59	163.28	155.5	70.01	173.85	106.63	109.66	205.5	68.55	150.17	86.43	71.0	47.5	147.06	97.36	68.07	64.34	90.77	131.51	24.99	17.38	37.32	39.22	92.05	148.09	122.64	129.69	92.7	69.03	139.07	67.12	79.45	165.57	26.47	98.04	24.99	96.01	150.17	90.14	114.36	30.56	135.24	73.03	32.82	61.68	44.25	76.71	48.87	64.34	87.65
SLC2A13	88.26	101.54	74.06	28.04	81.71	49.91	92.05	123.5	36.79	63.45	31.0	47.5	69.03	41.81	50.27	73.03	33.54	51.35	111.99	43.63	57.08	42.11	58.71	102.97	13.32	20.41	18.84	29.48	45.85	72.01	54.72	110.43	96.01	20.26	68.07	37.32	79.45	102.25	19.82	57.89	21.94	23.42	87.03	51.71	65.26	27.44	59.13	31.67	32.13	41.22	43.02	37.32	29.27	28.45	30.78
SLC4A7	303.44	336.79	277.2	57.49	249.73	128.79	265.87	343.89	108.9	281.09	163.28	182.55	353.59	152.28	281.09	202.66	154.42	106.63	314.17	172.65	127.89	123.5	299.25	297.17	51.35	48.18	94.01	144.01	149.12	336.79	189.02	185.11	149.12	115.97	198.47	127.89	124.37	395.18	55.1	186.4	80.01	181.28	376.41	151.22	209.84	65.72	275.28	125.24	54.72	113.56	82.87	112.77	104.42	140.04	102.25
SMAD5	567.1	503.95	493.56	139.07	591.22	169.07	764.36	703.28	236.21	713.11	312.0	392.44	713.11	237.86	435.55	271.48	251.48	194.36	351.14	277.2	202.66	221.86	497.0	409.15	125.24	162.14	186.4	242.88	334.46	547.75	420.68	376.41	255.0	189.02	521.76	199.85	244.57	780.44	182.55	316.37	165.57	141.02	579.04	351.14	358.54	186.4	420.68	221.86	156.59	214.27	242.88	258.57	226.54	275.28	289.02
SMC3	616.37	529.06	656.11	204.07	848.22	244.57	629.35	674.59	381.68	532.74	353.59	493.56	708.18	318.57	514.56	389.72	363.56	206.94	567.1	320.8	323.03	318.57	583.07	503.95	242.88	199.85	253.23	287.01	432.53	547.75	417.77	403.5	438.59	295.11	473.41	273.37	353.59	603.67	269.6	381.68	223.41	371.22	571.05	438.59	444.72	262.2	470.14	316.37	256.78	289.02	293.07	332.14	334.46	320.8	389.72
SMG1	417.77	329.84	301.33	73.03	483.38	149.12	417.77	307.69	194.36	409.15	265.87	332.14	454.09	211.31	368.65	236.21	178.77	146.03	432.53	265.87	175.07	177.53	332.14	249.73	97.36	84.63	86.43	165.57	204.07	295.11	287.01	239.52	231.32	180.02	356.05	173.85	170.25	376.41	161.02	262.2	104.42	248.0	366.09	258.57	297.17	130.6	353.59	228.13	91.41	191.67	170.25	251.48	153.34	178.77	241.19
SMNDC1	463.65	423.61	470.14	153.34	532.74	264.03	480.04	518.15	341.51	426.57	353.59	447.82	503.95	316.37	463.65	285.03	323.03	218.79	503.95	358.54	258.57	260.38	432.53	353.59	186.4	204.07	249.73	260.38	358.54	429.54	423.61	303.44	265.87	228.13	441.64	273.37	267.73	460.44	218.79	303.44	214.27	329.84	447.82	368.65	361.04	239.52	384.34	295.11	293.07	307.69	241.19	314.17	334.46	312.0	397.93
SOAT1	2682.69	2434.5	1857.6	808.0	1378.57	995.0	1540.37	3018.3	1167.14	2163.77	1143.1	1104.13	2133.97	1030.12	1322.37	1498.22	842.36	579.04	1322.37	866.07	1417.35	928.3	1628.26	1508.65	339.14	813.63	813.63	651.58	1066.48	2148.82	1769.57	1628.26	802.41	1519.15	1540.37	902.89	1151.06	1950.0	713.11	1359.57	665.29	1407.55	1896.65	1199.98	1286.18	473.41	2178.83	759.08	679.29	633.73	1073.91	995.0	1073.91	915.51	1001.93
SRFBP1	255.0	164.42	193.01	59.55	218.79	127.0	137.14	214.27	105.15	166.73	100.13	155.5	201.25	111.21	161.02	122.64	85.22	72.01	187.71	124.37	103.69	77.25	205.5	171.45	94.01	63.0	57.89	80.01	115.16	209.84	182.55	169.07	199.85	88.26	182.55	86.43	110.43	202.66	81.71	118.43	71.0	117.6	198.47	153.34	142.01	60.39	163.28	108.14	70.51	90.14	100.83	78.34	120.94	92.7	96.01
SRPK1	384.34	409.15	368.65	206.94	429.54	244.57	426.57	332.14	244.57	320.8	309.83	281.09	447.82	248.0	329.84	301.33	265.87	204.07	346.29	221.86	211.31	209.84	466.88	353.59	214.27	177.53	189.02	194.36	229.72	295.11	267.73	320.8	289.02	253.23	358.54	204.07	273.37	463.65	183.82	239.52	185.11	246.28	329.84	332.14	320.8	166.73	371.22	289.02	202.66	209.84	202.66	217.27	211.31	223.41	218.79
SRPK2	529.06	693.58	688.78	265.87	660.68	493.56	854.13	599.49	486.75	743.43	447.82	551.56	733.19	432.53	591.22	551.56	444.72	314.17	728.11	463.65	438.59	318.57	718.08	780.44	239.52	220.32	293.07	260.38	409.15	616.37	473.41	575.03	500.46	417.77	620.67	409.15	406.31	836.53	316.37	412.0	307.69	426.57	665.29	493.56	529.06	316.37	616.37	450.94	334.46	341.51	332.14	438.59	267.73	318.57	514.56
SS18L1	316.37	285.03	376.41	173.85	275.28	291.04	265.87	253.23	198.47	299.25	279.14	295.11	305.55	208.38	332.14	197.09	180.02	229.72	334.46	248.0	221.86	244.57	299.25	237.86	205.5	156.59	180.02	217.27	264.03	312.0	277.2	583.07	318.57	215.77	277.2	195.72	209.84	281.09	167.9	242.88	175.07	262.2	283.05	260.38	267.73	176.29	314.17	199.85	205.5	229.72	236.21	237.86	249.73	273.37	206.94
STAG2	1008.9	967.76	981.29	409.15	1340.84	454.09	1397.83	1457.23	490.14	995.0	624.99	679.29	1286.18	486.75	878.17	571.05	500.46	423.61	764.36	536.45	571.05	493.56	753.83	866.07	305.55	249.73	368.65	387.02	612.11	1023.0	796.86	733.19	660.68	420.68	1081.39	412.0	511.0	1216.75	409.15	571.05	368.65	571.05	1066.48	595.34	674.59	412.0	866.07	476.71	366.09	457.25	426.57	607.87	412.0	486.75	579.04
