	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
ATAD1	414.87	323.03	417.77	497.0	348.71	395.18	457.25	480.04	336.79	332.14	476.71	371.22	343.89	379.04	329.84	466.88	414.87	316.37	457.25	368.65	41.81	500.46	518.15	941.27	384.34	376.41	258.57	674.59	665.29	555.41	633.73	830.75	400.71	775.05	438.59	669.92	785.88	954.43	438.59	529.06	759.08	493.56	620.67	638.15	591.22	624.99	1073.91	599.49	629.35	447.82	1066.48	941.27	629.35	669.92	974.5	583.07	511.0	470.14	529.06	629.35	466.88	603.67	450.94	733.19	551.56	656.11	480.04	518.15	583.07	450.94	432.53	447.82	647.07	470.14	583.07	587.13	575.03	595.34	454.09	551.56	660.68	441.64	836.53	1023.0	500.46	688.78	457.25	400.71	503.95	450.94	651.58	693.58	607.87	684.02	723.08	450.94	536.45	941.27	486.75	507.46	555.41	543.96	718.08	679.29	460.44	665.29	612.11	454.09	629.35	444.72	511.0	693.58	802.41	555.41	460.44	567.1	511.0	629.35	490.14	547.75	785.88	595.34	607.87	571.05
ATE1	195.72	150.17	287.01	262.2	126.12	239.52	260.38	226.54	148.09	178.77	193.01	165.57	186.4	205.5	157.68	190.34	237.86	157.68	176.29	151.22	204.07	283.05	289.02	457.25	146.03	197.09	120.94	406.31	343.89	273.37	395.18	403.5	249.73	555.41	392.44	327.56	251.48	583.07	182.55	277.2	486.75	295.11	346.29	285.03	348.71	412.0	379.04	279.14	318.57	297.17	460.44	457.25	228.13	409.15	486.75	275.28	314.17	246.28	281.09	336.79	295.11	379.04	214.27	400.71	305.55	329.84	199.85	334.46	318.57	205.5	204.07	234.57	295.11	211.31	414.87	279.14	299.25	371.22	334.46	320.8	281.09	381.68	595.34	693.58	189.02	684.02	271.48	234.57	289.02	293.07	490.14	246.28	414.87	373.81	376.41	366.09	301.33	521.76	329.84	351.14	264.03	301.33	381.68	293.07	285.03	486.75	420.68	343.89	353.59	327.56	341.51	507.46	441.64	423.61	314.17	381.68	283.05	395.18	205.5	244.57	387.02	417.77	363.56	307.69
BPNT1	293.07	299.25	409.15	389.72	305.55	368.65	473.41	361.04	291.04	363.56	273.37	473.41	277.2	397.93	368.65	262.2	373.81	312.0	295.11	283.05	285.03	447.82	392.44	525.39	237.86	316.37	312.0	486.75	454.09	454.09	753.83	660.68	457.25	567.1	503.95	511.0	463.65	651.58	412.0	532.74	514.56	521.76	480.04	351.14	438.59	571.05	595.34	379.04	532.74	483.38	616.37	624.99	339.14	412.0	813.63	450.94	457.25	400.71	490.14	647.07	392.44	587.13	603.67	571.05	532.74	547.75	307.69	559.28	438.59	414.87	503.95	327.56	473.41	320.8	603.67	551.56	476.71	547.75	346.29	567.1	432.53	543.96	738.29	830.75	379.04	791.35	503.95	450.94	432.53	339.14	660.68	432.53	547.75	444.72	703.28	514.56	463.65	603.67	595.34	674.59	417.77	486.75	473.41	444.72	429.54	529.06	587.13	547.75	583.07	563.18	551.56	567.1	529.06	638.15	417.77	438.59	403.5	356.05	412.0	356.05	525.39	616.37	483.38	429.54
BRCC3	211.31	236.21	242.88	309.83	159.9	244.57	253.23	229.72	201.25	211.31	217.27	194.36	215.77	208.38	171.45	215.77	287.01	204.07	199.85	139.07	209.84	248.0	249.73	450.94	228.13	256.78	167.9	361.04	329.84	307.69	334.46	392.44	299.25	389.72	373.81	305.55	307.69	406.31	231.32	323.03	406.31	343.89	346.29	339.14	232.94	334.46	297.17	312.0	305.55	318.57	343.89	447.82	218.79	297.17	460.44	281.09	316.37	246.28	285.03	376.41	271.48	303.44	301.33	325.29	312.0	323.03	262.2	348.71	325.29	267.73	256.78	279.14	309.83	283.05	384.34	307.69	273.37	339.14	269.6	348.71	356.05	318.57	389.72	507.46	224.97	507.46	287.01	336.79	366.09	299.25	363.56	287.01	289.02	363.56	395.18	295.11	316.37	412.0	307.69	371.22	327.56	281.09	563.18	236.21	285.03	339.14	387.02	323.03	368.65	277.2	379.04	417.77	366.09	329.84	329.84	305.55	295.11	204.07	236.21	323.03	384.34	353.59	279.14	336.79
C5orf24	514.56	387.02	493.56	543.96	493.56	490.14	540.19	579.04	327.56	497.0	480.04	483.38	521.76	490.14	351.14	669.92	555.41	426.57	493.56	555.41	450.94	579.04	651.58	780.44	368.65	493.56	457.25	684.02	743.43	529.06	629.35	775.05	603.67	830.75	567.1	579.04	624.99	836.53	493.56	463.65	529.06	525.39	579.04	591.22	607.87	603.67	547.75	435.55	583.07	543.96	708.18	693.58	387.02	660.68	1225.22	620.67	567.1	480.04	426.57	866.07	633.73	571.05	392.44	679.29	514.56	647.07	483.38	493.56	616.37	466.88	470.14	397.93	466.88	525.39	612.11	532.74	616.37	579.04	432.53	500.46	583.07	616.37	738.29	1051.79	587.13	728.11	460.44	532.74	473.41	454.09	928.3	616.37	518.15	733.19	693.58	463.65	665.29	1088.92	674.59	624.99	612.11	503.95	543.96	483.38	348.71	620.67	642.59	543.96	591.22	450.94	529.06	728.11	713.11	543.96	460.44	563.18	579.04	878.17	665.29	540.19	647.07	536.45	447.82	733.19
CAPZA2	1183.45	1508.65	1508.65	1457.23	1350.18	1487.87	1721.16	1487.87	1551.09	1651.0	1295.13	1417.35	1359.57	1529.73	1733.13	1322.37	1572.76	1397.83	2104.58	1268.46	1175.27	2032.85	1286.18	2645.74	1697.45	1225.22	1794.29	2434.5	2417.67	1909.85	2434.5	2758.13	1923.14	3280.18	2520.38	2664.15	2303.12	3257.52	2224.63	2018.8	2537.92	2255.7	2400.97	2287.2	2163.77	2935.74	2976.74	1806.78	2271.4	2627.46	3419.52	3190.46	1572.76	2163.77	4419.52	2835.7	2193.99	2178.83	1832.01	3303.0	1870.53	1909.85	2061.24	2573.36	2163.77	2835.7	1832.01	2004.85	2004.85	1769.57	1519.15	2271.4	2061.24	1561.89	2271.4	1977.24	1883.54	2367.9	1467.37	2701.35	1733.13	2777.33	3665.02	3018.3	1651.0	4543.8	1950.0	2303.12	2209.26	1936.53	3124.78	2255.7	2240.11	3060.45	3146.52	2335.28	2032.85	3081.75	2537.92	2502.97	1685.71	1909.85	2591.27	2104.58	1628.26	2758.13	2417.67	1909.85	2367.9	2485.67	2193.99	3039.3	2417.67	2537.92	1781.89	2287.2	2018.8	2758.13	2032.85	1991.0	2664.15	2193.99	2287.2	2417.67
CCDC47	780.44	808.0	967.76	1183.45	743.43	1015.93	1135.2	1111.82	902.89	733.19	1066.48	808.0	723.08	825.0	860.08	769.69	1111.82	633.73	1191.69	748.61	1037.29	1199.98	967.76	1733.13	647.07	921.88	764.36	1322.37	1340.84	1127.35	1350.18	1605.83	967.76	1498.22	1437.15	1088.92	1359.57	1529.73	967.76	1199.98	1378.57	1529.73	1427.22	1216.75	1208.34	1674.06	1457.23	934.76	1447.15	921.88	1605.83	1529.73	1159.07	1044.52	1832.01	1508.65	842.36	1015.93	1096.5	1369.04	988.12	1583.71	1447.15	1259.69	1127.35	1340.84	1008.9	1286.18	1066.48	941.27	954.43	1015.93	1242.34	921.88	1477.58	1175.27	1250.98	1313.23	780.44	1639.59	1051.79	1313.23	1963.57	1883.54	1001.93	1977.24	1096.5	1030.12	1030.12	878.17	1467.37	1104.13	1350.18	1340.84	1519.15	1467.37	1111.82	1457.23	1268.46	1594.73	769.69	1259.69	1427.22	1104.13	1167.14	1745.2	1721.16	1088.92	1551.09	1233.75	1233.75	1605.83	1397.83	1487.87	988.12	1135.2	1167.14	1397.83	1127.35	1167.14	1498.22	1467.37	1277.29	1030.12
CCPG1	1073.91	915.51	1088.92	1143.1	656.11	819.3	1250.98	1199.98	733.19	507.46	854.13	785.88	860.08	1437.15	1015.93	1111.82	1167.14	769.69	665.29	872.1	733.19	1295.13	928.3	1447.15	753.83	981.29	457.25	1551.09	1388.16	974.5	1457.23	1605.83	1277.29	1977.24	1508.65	1733.13	1832.01	1991.0	988.12	1111.82	1467.37	1639.59	1286.18	1183.45	928.3	1498.22	1963.57	1199.98	1397.83	1081.39	2119.22	2645.74	791.35	1191.69	3081.75	1617.0	1167.14	928.3	967.76	2032.85	1088.92	1259.69	1119.56	1561.89	1167.14	1487.87	961.07	1037.29	1127.35	1104.13	1051.79	909.17	1508.65	1008.9	1457.23	1397.83	1331.57	1540.37	909.17	1427.22	1119.56	1417.35	1819.35	2240.11	988.12	2119.22	1037.29	1073.91	1268.46	890.44	2004.85	1583.71	1457.23	2018.8	1936.53	1096.5	1216.75	2351.53	1487.87	1605.83	1044.52	1498.22	1437.15	981.29	764.36	1605.83	2468.49	1447.15	1594.73	1286.18	1540.37	2004.85	1709.26	1127.35	1572.76	1233.75	1208.34	1159.07	808.0	1127.35	1870.53	1651.0	1259.69	1359.57
CDC40	248.0	190.34	228.13	239.52	177.53	195.72	258.57	206.94	171.45	146.03	198.47	197.09	183.82	239.52	152.28	201.25	244.57	183.82	232.94	170.25	114.36	267.73	177.53	301.33	173.85	198.47	143.01	412.0	371.22	267.73	373.81	457.25	297.17	532.74	343.89	409.15	325.29	457.25	241.19	343.89	314.17	299.25	329.84	228.13	221.86	316.37	366.09	314.17	336.79	332.14	358.54	571.05	224.97	334.46	460.44	334.46	287.01	299.25	287.01	363.56	265.87	295.11	262.2	356.05	303.44	346.29	267.73	327.56	287.01	277.2	299.25	220.32	334.46	242.88	371.22	341.51	361.04	395.18	260.38	293.07	301.33	466.88	400.71	559.28	267.73	483.38	332.14	279.14	312.0	242.88	521.76	320.8	351.14	400.71	466.88	295.11	325.29	444.72	289.02	299.25	293.07	320.8	348.71	267.73	255.0	371.22	417.77	293.07	343.89	299.25	363.56	457.25	400.71	341.51	305.55	351.14	291.04	309.83	246.28	244.57	309.83	329.84	343.89	353.59
CDC5L	178.77	178.77	180.02	211.31	163.28	162.14	228.13	183.82	156.59	143.01	150.17	194.36	164.42	181.28	181.28	169.07	193.01	190.34	143.01	171.45	154.42	198.47	183.82	218.79	171.45	183.82	120.94	289.02	271.48	212.78	312.0	318.57	178.77	366.09	258.57	273.37	242.88	289.02	194.36	218.79	262.2	249.73	244.57	231.32	232.94	269.6	242.88	212.78	329.84	228.13	242.88	438.59	186.4	201.25	334.46	297.17	182.55	204.07	242.88	265.87	214.27	244.57	231.32	242.88	256.78	287.01	224.97	275.28	236.21	224.97	185.11	169.07	212.78	152.28	249.73	269.6	269.6	249.73	194.36	297.17	170.25	285.03	307.69	348.71	221.86	343.89	231.32	198.47	180.02	218.79	301.33	229.72	258.57	236.21	293.07	251.48	283.05	320.8	197.09	228.13	189.02	267.73	289.02	199.85	285.03	366.09	237.86	204.07	241.19	241.19	251.48	348.71	314.17	231.32	218.79	221.86	226.54	281.09	220.32	201.25	244.57	320.8	246.28	234.57
CDS1	420.68	316.37	400.71	409.15	351.14	547.75	500.46	507.46	414.87	447.82	417.77	279.14	379.04	389.72	236.21	320.8	633.73	264.03	273.37	366.09	438.59	460.44	438.59	738.29	307.69	463.65	249.73	532.74	595.34	429.54	579.04	656.11	483.38	738.29	703.28	511.0	647.07	842.36	647.07	493.56	723.08	813.63	595.34	819.3	511.0	651.58	693.58	591.22	480.04	460.44	825.0	669.92	733.19	480.04	1175.27	665.29	444.72	441.64	358.54	854.13	629.35	656.11	457.25	587.13	733.19	633.73	435.55	567.1	575.03	412.0	336.79	497.0	483.38	753.83	500.46	620.67	473.41	476.71	409.15	559.28	638.15	647.07	567.1	872.1	435.55	775.05	450.94	642.59	718.08	493.56	693.58	567.1	723.08	819.3	830.75	486.75	521.76	738.29	813.63	909.17	563.18	587.13	769.69	718.08	379.04	651.58	934.76	728.11	802.41	518.15	684.02	511.0	507.46	733.19	703.28	470.14	571.05	688.78	540.19	480.04	733.19	679.29	587.13	638.15
CHD9	212.78	165.57	226.54	212.78	111.21	204.07	295.11	226.54	121.79	98.04	198.47	159.9	151.22	206.94	109.66	197.09	264.03	145.02	190.34	180.02	153.34	241.19	218.79	379.04	167.9	187.71	88.26	426.57	371.22	217.27	412.0	409.15	309.83	397.93	246.28	379.04	289.02	351.14	158.79	275.28	285.03	248.0	303.44	334.46	181.28	289.02	334.46	400.71	358.54	283.05	293.07	607.87	237.86	265.87	395.18	450.94	271.48	271.48	376.41	279.14	271.48	271.48	258.57	291.04	339.14	323.03	277.2	295.11	231.32	287.01	271.48	186.4	332.14	205.5	253.23	246.28	305.55	255.0	223.41	320.8	285.03	299.25	343.89	463.65	158.79	656.11	249.73	248.0	264.03	260.38	366.09	244.57	314.17	281.09	323.03	231.32	307.69	373.81	204.07	293.07	293.07	371.22	341.51	283.05	327.56	358.54	384.34	191.67	287.01	182.55	332.14	563.18	511.0	329.84	246.28	269.6	181.28	198.47	111.21	223.41	244.57	366.09	287.01	373.81
CHUK	122.64	127.89	102.25	148.09	94.67	199.85	199.85	208.38	133.36	139.07	149.12	177.53	148.09	180.02	170.25	140.04	165.57	150.17	165.57	156.59	133.36	143.01	172.65	237.86	126.12	176.29	178.77	289.02	275.28	202.66	343.89	289.02	146.03	334.46	264.03	277.2	228.13	314.17	147.06	277.2	258.57	256.78	279.14	318.57	223.41	291.04	244.57	236.21	264.03	307.69	368.65	275.28	135.24	267.73	334.46	258.57	211.31	223.41	253.23	299.25	241.19	301.33	248.0	244.57	228.13	279.14	237.86	265.87	217.27	171.45	217.27	153.34	208.38	183.82	237.86	169.07	314.17	305.55	182.55	285.03	260.38	264.03	303.44	373.81	170.25	457.25	229.72	242.88	187.71	175.07	358.54	297.17	318.57	198.47	351.14	242.88	253.23	307.69	241.19	301.33	218.79	246.28	285.03	256.78	258.57	366.09	279.14	226.54	273.37	217.27	215.77	275.28	346.29	320.8	171.45	244.57	189.02	256.78	161.02	197.09	281.09	295.11	256.78	264.03
CLCN3	262.2	215.77	323.03	291.04	214.27	309.83	341.51	273.37	180.02	262.2	265.87	178.77	205.5	323.03	177.53	273.37	336.79	208.38	265.87	212.78	356.05	363.56	358.54	532.74	186.4	271.48	150.17	457.25	450.94	389.72	435.55	579.04	420.68	540.19	555.41	409.15	480.04	583.07	253.23	429.54	497.0	503.95	466.88	400.71	295.11	500.46	525.39	417.77	507.46	389.72	525.39	651.58	232.94	318.57	698.41	441.64	381.68	381.68	346.29	642.59	358.54	435.55	429.54	521.76	457.25	483.38	325.29	400.71	426.57	420.68	361.04	239.52	381.68	323.03	529.06	454.09	395.18	503.95	271.48	486.75	426.57	511.0	684.02	660.68	318.57	660.68	366.09	392.44	379.04	332.14	547.75	454.09	438.59	476.71	616.37	473.41	466.88	497.0	429.54	559.28	363.56	450.94	400.71	412.0	323.03	525.39	587.13	353.59	486.75	417.77	518.15	525.39	514.56	525.39	447.82	323.03	376.41	312.0	417.77	376.41	567.1	503.95	466.88	503.95
COG6	98.73	163.28	221.86	255.0	150.17	191.67	283.05	209.84	136.19	103.69	198.47	175.07	171.45	251.48	124.37	229.72	226.54	152.28	178.77	172.65	265.87	229.72	214.27	305.55	166.73	211.31	137.14	414.87	361.04	242.88	366.09	389.72	279.14	420.68	373.81	497.0	346.29	490.14	221.86	283.05	346.29	206.94	353.59	325.29	295.11	332.14	368.65	356.05	228.13	277.2	444.72	395.18	237.86	381.68	511.0	202.66	301.33	258.57	297.17	403.5	301.33	348.71	406.31	361.04	339.14	320.8	312.0	366.09	289.02	269.6	251.48	197.09	283.05	265.87	373.81	318.57	295.11	409.15	275.28	327.56	351.14	341.51	392.44	603.67	271.48	426.57	279.14	242.88	287.01	301.33	457.25	283.05	224.97	323.03	444.72	291.04	307.69	497.0	366.09	466.88	334.46	299.25	295.11	403.5	258.57	320.8	406.31	314.17	312.0	305.55	285.03	353.59	389.72	412.0	264.03	339.14	285.03	305.55	223.41	314.17	414.87	356.05	297.17	387.02
COMMD2	373.81	414.87	435.55	497.0	265.87	497.0	356.05	376.41	343.89	299.25	341.51	426.57	356.05	356.05	316.37	409.15	361.04	309.83	327.56	435.55	217.27	395.18	395.18	511.0	363.56	348.71	249.73	723.08	543.96	356.05	567.1	595.34	490.14	612.11	466.88	575.03	450.94	567.1	426.57	476.71	507.46	571.05	483.38	612.11	441.64	559.28	507.46	389.72	486.75	384.34	555.41	603.67	295.11	463.65	647.07	497.0	476.71	381.68	395.18	547.75	412.0	476.71	423.61	460.44	660.68	454.09	395.18	500.46	591.22	356.05	571.05	497.0	497.0	287.01	476.71	587.13	547.75	514.56	368.65	647.07	409.15	579.04	525.39	830.75	325.29	503.95	403.5	397.93	483.38	363.56	500.46	441.64	454.09	555.41	555.41	395.18	500.46	612.11	447.82	669.92	514.56	529.06	540.19	406.31	366.09	713.11	547.75	463.65	457.25	426.57	579.04	514.56	591.22	503.95	397.93	403.5	447.82	392.44	454.09	429.54	595.34	518.15	438.59	457.25
COPB1	842.36	1023.0	1277.29	1477.58	791.35	1119.56	1540.37	1111.82	902.89	1037.29	1096.5	1073.91	1008.9	1167.14	995.0	1159.07	1322.37	941.27	902.89	1059.11	1286.18	1313.23	1081.39	1870.53	1044.52	1119.56	902.89	1769.57	1857.6	1359.57	1950.0	1794.29	1073.91	2061.24	2119.22	1769.57	1519.15	1709.26	1242.34	1369.04	1697.45	1745.2	1806.78	1529.73	1216.75	1709.26	1628.26	1388.16	1594.73	1605.83	1662.49	2148.82	1268.46	1487.87	2591.27	1697.45	1135.2	1304.15	1617.0	2104.58	1487.87	1674.06	2193.99	1457.23	1721.16	1561.89	1340.84	1781.89	1191.69	1037.29	1191.69	1183.45	1304.15	1295.13	1594.73	1277.29	1594.73	1457.23	1167.14	1857.6	1498.22	1628.26	1896.65	2148.82	1313.23	2777.33	1350.18	1437.15	1295.13	1191.69	2303.12	1369.04	1674.06	1295.13	2004.85	2193.99	1477.58	1685.71	1781.89	2061.24	1183.45	1447.15	1651.0	1519.15	1857.6	2555.58	2004.85	1794.29	1651.0	1857.6	1651.0	2367.9	2271.4	1721.16	1594.73	1519.15	1427.22	1583.71	1167.14	1183.45	1709.26	2148.82	1605.83	1417.35
CTR9	271.48	392.44	373.81	389.72	323.03	348.71	409.15	325.29	285.03	260.38	373.81	329.84	309.83	358.54	332.14	275.28	466.88	363.56	341.51	291.04	406.31	371.22	307.69	693.58	281.09	327.56	234.57	599.49	591.22	429.54	620.67	656.11	438.59	620.67	674.59	603.67	460.44	603.67	301.33	540.19	532.74	567.1	555.41	525.39	406.31	575.03	497.0	429.54	616.37	497.0	447.82	743.43	320.8	406.31	708.18	466.88	438.59	463.65	507.46	616.37	412.0	559.28	616.37	500.46	616.37	607.87	420.68	647.07	429.54	460.44	518.15	336.79	426.57	348.71	612.11	483.38	547.75	595.34	450.94	567.1	438.59	540.19	780.44	785.88	363.56	947.83	490.14	460.44	441.64	423.61	620.67	447.82	591.22	438.59	647.07	651.58	612.11	536.45	412.0	688.78	551.56	543.96	567.1	493.56	547.75	708.18	571.05	476.71	583.07	607.87	595.34	616.37	665.29	583.07	503.95	486.75	406.31	348.71	384.34	470.14	563.18	688.78	507.46	532.74
DBT	85.82	61.68	98.73	105.89	50.98	110.43	108.9	84.63	45.53	89.51	84.63	54.33	68.07	87.65	40.36	84.04	108.9	56.68	80.57	55.1	60.39	93.35	84.04	115.16	49.21	84.63	64.8	208.38	162.14	120.94	152.28	221.86	127.0	202.66	166.73	169.07	162.14	218.79	69.52	176.29	190.34	147.06	172.65	115.97	109.66	195.72	218.79	132.44	249.73	142.01	208.38	329.84	72.52	102.25	242.88	149.12	122.64	158.79	211.31	189.02	86.43	142.01	112.77	126.12	185.11	201.25	108.9	190.34	141.02	132.44	138.1	85.82	152.28	77.79	163.28	176.29	134.3	161.02	109.66	177.53	125.24	218.79	228.13	232.94	101.54	214.27	124.37	106.63	133.36	69.52	154.42	153.34	172.65	134.3	283.05	112.77	167.9	165.57	102.97	145.02	114.36	149.12	186.4	128.79	169.07	195.72	159.9	98.04	183.82	138.1	241.19	217.27	209.84	163.28	113.56	131.51	128.79	115.16	88.26	117.6	187.71	195.72	137.14	151.22
DCAF10	165.57	144.01	236.21	205.5	145.02	187.71	262.2	170.25	125.24	159.9	171.45	140.04	150.17	186.4	189.02	164.42	180.02	167.9	147.06	194.36	167.9	295.11	215.77	224.97	167.9	190.34	156.59	314.17	281.09	256.78	351.14	363.56	172.65	297.17	256.78	279.14	258.57	323.03	178.77	260.38	299.25	279.14	297.17	212.78	279.14	303.44	176.29	173.85	358.54	283.05	232.94	412.0	177.53	209.84	356.05	275.28	249.73	256.78	221.86	327.56	244.57	387.02	283.05	232.94	303.44	285.03	185.11	242.88	206.94	198.47	231.32	226.54	189.02	231.32	336.79	232.94	248.0	255.0	297.17	299.25	279.14	334.46	435.55	287.01	185.11	379.04	224.97	271.48	202.66	220.32	323.03	186.4	334.46	246.28	323.03	341.51	305.55	279.14	212.78	297.17	244.57	287.01	293.07	358.54	262.2	412.0	269.6	285.03	291.04	262.2	242.88	287.01	454.09	299.25	287.01	237.86	201.25	279.14	275.28	248.0	260.38	299.25	260.38	209.84
DDX18	414.87	493.56	435.55	507.46	441.64	400.71	575.03	412.0	403.5	406.31	366.09	463.65	417.77	521.76	379.04	493.56	473.41	460.44	486.75	412.0	392.44	525.39	420.68	764.36	417.77	420.68	358.54	890.44	854.13	638.15	981.29	860.08	497.0	1030.12	764.36	1051.79	693.58	866.07	500.46	796.86	748.61	872.1	738.29	791.35	748.61	866.07	808.0	802.41	1066.48	665.29	961.07	1369.04	656.11	748.61	1208.34	909.17	543.96	567.1	728.11	743.43	669.92	775.05	896.64	819.3	703.28	780.44	674.59	890.44	629.35	525.39	698.41	571.05	842.36	460.44	830.75	642.59	915.51	775.05	563.18	909.17	684.02	703.28	1015.93	1159.07	551.56	1151.06	759.08	438.59	624.99	647.07	1030.12	684.02	1044.52	674.59	802.41	872.1	688.78	796.86	529.06	759.08	540.19	947.83	703.28	928.3	842.36	1167.14	708.18	518.15	728.11	802.41	802.41	988.12	1313.23	896.64	660.68	796.86	470.14	808.0	497.0	603.67	808.0	884.29	775.05	660.68
