	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.XLM4.0726.SM.4AT64	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
C10orf95	51.35	127.0	61.68	38.12	68.07	69.52	74.58	115.97	59.13	139.07	108.14	40.36	25.72	64.34	6.16	19.53	19.97	25.35	24.81	37.05	39.79	31.0	14.14	84.04	24.63	85.22
C11orf84	447.82	429.54	363.56	490.14	303.44	373.81	409.15	334.46	381.68	414.87	334.46	241.19	242.88	285.03	198.47	273.37	264.03	232.94	244.57	277.2	223.41	226.54	206.94	224.97	264.03	332.14
C15orf39	351.14	406.31	387.02	403.5	529.06	447.82	483.38	281.09	463.65	395.18	397.93	303.44	226.54	249.73	164.42	234.57	285.03	289.02	211.31	303.44	211.31	231.32	190.34	187.71	229.72	312.0
C19orf26	109.66	84.63	71.0	112.77	38.67	95.34	55.89	33.78	80.01	84.04	55.89	15.8	18.84	48.52	5.06	14.03	30.12	15.0	15.56	32.59	12.45	7.06	16.27	7.82	23.25	23.42
C1orf170	205.5	44.57	173.85	175.07	69.52	206.94	104.42	23.93	40.36	205.5	71.0	6.94	9.78	2.39	2.41	5.02	3.08	8.85	7.88	5.28	11.91	2.03	11.21	6.73	3.08	15.45
C2CD2L	332.14	265.87	283.05	309.83	275.28	303.44	275.28	217.27	307.69	281.09	264.03	186.4	191.67	172.65	139.07	181.28	206.94	122.64	193.01	309.83	156.59	176.29	135.24	182.55	198.47	229.72
C5AR2	76.17	38.4	87.03	128.79	44.25	43.94	42.11	38.67	39.5	53.19	29.48	29.91	22.75	4.43	8.99	7.06	8.99	2.94	1.64	4.03	8.19	4.31	14.03	5.59	7.46	2.73
C8orf4	6516.03	2417.67	3235.01	6426.31	2193.99	1286.18	2287.2	961.07	896.64	3847.29	1909.85	106.63	220.32	193.01	73.54	30.78	181.28	1991.0	223.41	106.63	186.4	47.17	152.28	140.04	211.31	733.19
CACNB1	660.68	521.76	796.86	713.11	215.77	1081.39	325.29	567.1	507.46	540.19	536.45	98.04	303.44	291.04	17.25	102.25	180.02	111.21	126.12	118.43	314.17	450.94	175.07	187.71	92.05	279.14
CAMK2N2	40.07	60.39	59.55	33.54	20.26	36.53	47.84	3.26	52.45	13.72	29.7	0.0	1.77	2.63	0.64	2.12	0.64	0.0	2.56	2.92	4.35	1.0	0.0	5.41	0.69	0.0
CCL26	70.51	26.28	62.56	60.82	42.71	27.05	40.07	24.81	4.94	60.39	32.59	9.13	1.81	0.0	1.57	8.65	5.15	5.5	6.57	1.79	5.36	1.19	2.94	1.91	4.06	2.39
CD300C	44.57	33.78	45.85	69.03	57.08	29.7	90.77	33.78	77.79	43.02	54.72	50.27	23.25	22.1	16.15	34.26	20.71	27.44	12.93	43.94	6.89	11.73	7.28	20.56	38.12	14.89
CDC42EP1	1819.35	808.0	1594.73	1529.73	1639.59	1457.23	1183.45	860.08	928.3	1832.01	1151.06	457.25	358.54	555.41	223.41	318.57	525.39	507.46	406.31	403.5	679.29	199.85	466.88	199.85	277.2	728.11
CDKN1A	4903.87	5076.84	6037.61	7081.29	3564.78	2758.13	5791.62	1883.54	1870.53	5112.16	5329.3	1059.11	1242.34	1883.54	954.43	848.22	2682.69	3690.52	866.07	497.0	1697.45	902.89	2502.97	1457.23	1322.37	2133.97
CFI	2777.33	941.27	2573.36	3467.27	1950.0	2520.38	1605.83	1151.06	836.53	2855.44	684.02	258.57	82.29	165.57	316.37	497.0	244.57	312.0	275.28	872.1	164.42	599.49	332.14	525.39	289.02	115.16
CLDN1	6079.61	1023.0	4066.71	3124.78	2758.13	4481.23	1883.54	1733.13	2255.7	3060.45	1923.14	2367.9	341.51	98.73	102.25	137.14	171.45	182.55	450.94	3325.99	1037.29	417.77	1073.91	301.33	743.43	88.26
CLTA	7382.04	7331.05	7280.4	7280.4	5954.47	5479.15	8305.36	6037.61	6983.79	8078.22	6935.54	6207.38	4903.87	4152.18	4419.52	4802.93	5255.91	5633.22	6381.92	5441.3	5255.91	3928.15	7081.29	6471.02	4903.87	5517.27
CNGA3	4.46	9.93	2.12	19.25	11.64	1.48	8.19	11.13	1.19	8.32	10.71	0.0	0.95	0.21	1.27	0.58	1.27	1.23	0.25	0.25	0.26	0.0	0.0	2.53	0.26	0.0
CSPG5	55.89	41.81	37.85	33.3	19.82	22.75	48.87	21.78	23.25	22.1	8.99	11.21	12.55	7.0	12.45	27.44	10.79	4.24	20.41	10.0	17.64	15.91	8.45	10.96	18.84	2.36
CTD-2510F5.6	132.44	104.42	88.26	96.68	62.12	59.13	149.12	51.35	18.29	105.15	115.16	23.93	31.9	34.75	20.26	46.18	43.63	36.01	82.87	57.49	14.56	48.87	35.5	0.0	65.26	81.71
CTD-3193O13.9	339.14	159.9	316.37	277.2	171.45	381.68	178.77	64.8	155.5	320.8	114.36	7.34	8.65	68.55	2.53	21.94	8.38	46.18	55.1	34.26	19.53	15.56	12.09	27.64	16.51	22.92
DAB2IP	718.08	529.06	802.41	728.11	775.05	854.13	860.08	713.11	802.41	909.17	769.69	316.37	470.14	669.92	279.14	612.11	575.03	353.59	297.17	327.56	647.07	642.59	299.25	387.02	529.06	514.56
DBNDD2	866.07	981.29	1104.13	1066.48	1008.9	748.61	1369.04	1119.56	591.22	1388.16	808.0	500.46	500.46	660.68	414.87	429.54	414.87	660.68	429.54	429.54	587.13	258.57	441.64	392.44	395.18	591.22
DLG4	1037.29	967.76	1023.0	921.88	518.15	1111.82	785.88	660.68	860.08	934.76	819.3	178.77	131.51	190.34	161.02	262.2	543.96	223.41	144.01	255.0	143.01	198.47	291.04	158.79	143.01	204.07
DRG2	961.07	928.3	967.76	934.76	830.75	1030.12	1051.79	974.5	981.29	909.17	902.89	785.88	866.07	616.37	595.34	796.86	808.0	854.13	848.22	921.88	723.08	819.3	860.08	713.11	759.08	733.19
EFHD2	6561.36	4836.35	3874.05	5555.65	3280.18	4038.61	5555.65	9409.14	4298.64	3103.19	2468.49	1529.73	981.29	1369.04	480.04	819.3	1674.06	1233.75	896.64	2400.97	1059.11	753.83	1066.48	941.27	872.1	1159.07
EHBP1L1	791.35	500.46	1088.92	1388.16	444.72	1191.69	486.75	277.2	381.68	1135.2	432.53	172.65	255.0	94.01	70.01	214.27	186.4	348.71	129.69	165.57	137.14	73.03	131.51	127.89	189.02	271.48
EML3	1674.06	1628.26	1721.16	1909.85	1073.91	1857.6	1183.45	1225.22	1208.34	1350.18	1378.57	629.35	1096.5	909.17	447.82	825.0	796.86	1051.79	825.0	934.76	808.0	808.0	954.43	642.59	753.83	785.88
FAM109A	420.68	327.56	281.09	624.99	228.13	403.5	361.04	318.57	376.41	248.0	283.05	94.67	111.21	63.45	124.37	212.78	140.04	80.57	166.73	172.65	145.02	145.02	108.14	89.51	107.38	138.1
FAM20A	5594.3	854.13	3768.09	6840.04	2133.97	3955.48	2319.15	866.07	281.09	3982.99	819.3	107.38	85.82	79.45	69.52	253.23	204.07	177.53	102.25	1023.0	187.71	49.56	74.06	119.26	97.36	204.07
FAM84A	218.79	329.84	318.57	470.14	529.06	199.85	246.28	185.11	159.9	642.59	193.01	39.5	18.03	29.06	31.9	49.21	24.46	138.1	48.18	41.81	122.64	61.25	26.67	21.01	99.43	30.12
FBXO6	336.79	392.44	281.09	361.04	267.73	361.04	307.69	289.02	220.32	460.44	208.38	161.02	173.85	202.66	208.38	314.17	176.29	318.57	186.4	116.78	256.78	176.29	215.77	123.5	173.85	271.48
FHL3	529.06	271.48	438.59	819.3	454.09	480.04	490.14	221.86	279.14	529.06	214.27	147.06	181.28	106.63	96.01	157.68	101.54	218.79	104.42	133.36	145.02	138.1	122.64	98.04	110.43	182.55
GABRG3	109.66	57.49	34.02	37.59	23.76	23.76	64.8	21.78	65.72	25.54	36.53	9.56	9.78	0.0	0.0	6.62	21.16	1.03	30.56	9.63	22.59	2.41	0.0	3.38	6.94	0.0
GALK1	444.72	514.56	435.55	651.58	376.41	423.61	595.34	514.56	341.51	500.46	356.05	262.2	285.03	100.13	242.88	320.8	323.03	237.86	373.81	220.32	223.41	194.36	450.94	224.97	244.57	277.2
GAS6	5329.3	5147.73	4736.79	6250.56	7081.29	4210.15	6294.04	4972.34	3212.66	6381.92	5041.77	2209.26	2451.44	2935.74	1806.78	2915.45	2163.77	2777.33	1857.6	1583.71	2303.12	1583.71	2133.97	2061.24	1923.14	3395.89
GDF15	2075.59	1037.29	2075.59	1806.78	1437.15	1015.93	1313.23	426.57	171.45	7230.1	2591.27	86.43	44.25	291.04	88.88	101.54	718.08	273.37	368.65	53.57	293.07	63.0	85.22	94.01	309.83	202.66
GGCT	4388.98	1313.23	3467.27	2976.74	2303.12	2645.74	2119.22	1322.37	1477.58	4239.45	1437.15	486.75	607.87	974.5	981.29	583.07	836.53	1733.13	854.13	1104.13	1340.84	808.0	1023.0	733.19	660.68	954.43
GLS2	334.46	154.42	218.79	127.0	125.24	297.17	133.36	143.01	140.04	356.05	191.67	31.9	56.68	209.84	25.54	139.07	50.27	76.17	40.93	55.89	95.34	87.65	62.12	62.12	66.65	74.58
GNAI2	7537.18	5219.6	6381.92	8598.28	5633.22	6699.25	5872.48	4450.27	5672.41	6426.31	4607.24	4066.71	3443.31	3124.78	2816.11	3690.52	3443.31	4388.98	2997.45	3190.46	3395.89	3060.45	3168.41	2915.45	3212.66	3901.01
GRAMD1A	1757.34	1594.73	1883.54	2271.4	1594.73	2061.24	2148.82	1378.57	1487.87	2485.67	1388.16	909.17	842.36	1225.22	559.28	1135.2	733.19	1167.14	543.96	1127.35	988.12	791.35	620.67	813.63	860.08	1044.52
H2AFX	1199.98	1081.39	748.61	1225.22	500.46	780.44	764.36	575.03	633.73	665.29	555.41	336.79	265.87	341.51	193.01	301.33	316.37	406.31	575.03	444.72	305.55	201.25	521.76	339.14	406.31	368.65
HGS	3081.75	2335.28	3325.99	3982.99	2835.7	3190.46	2591.27	2537.92	2163.77	4123.49	2240.11	1832.01	1757.34	1594.73	1111.82	1651.0	1685.71	1991.0	1594.73	1769.57	1745.2	1359.57	1583.71	1662.49	1378.57	1745.2
HTRA1	4802.93	4328.55	2976.74	3716.2	4038.61	2645.74	3874.05	3257.52	3235.01	2335.28	2384.37	1250.98	1030.12	486.75	1397.83	967.76	1583.71	1268.46	909.17	915.51	813.63	607.87	981.29	748.61	842.36	1508.65
IBSP	1.31	1.06	18.7	11.3	8.51	15.91	3.76	1.04	5.15	37.85	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	3.35	0.0
ICAM5	571.05	78.34	708.18	460.44	122.64	665.29	124.37	139.07	198.47	599.49	115.16	15.34	2.46	3.03	0.0	4.17	9.78	61.68	2.03	46.18	28.45	1.5	1.57	5.19	5.06	11.04
IER5L	1030.12	392.44	579.04	1259.69	275.28	866.07	260.38	133.36	283.05	1015.93	258.57	49.91	76.71	36.01	11.73	18.16	25.54	120.94	40.64	84.04	48.18	19.11	49.91	32.36	39.22	113.56
KCNK5	947.83	808.0	703.28	698.41	521.76	934.76	764.36	555.41	909.17	500.46	559.28	221.86	234.57	457.25	125.24	190.34	291.04	265.87	132.44	361.04	400.71	204.07	178.77	152.28	137.14	435.55
KLC2	420.68	493.56	457.25	595.34	511.0	529.06	432.53	309.83	441.64	476.71	420.68	493.56	334.46	295.11	249.73	346.29	395.18	249.73	351.14	376.41	260.38	366.09	289.02	277.2	366.09	363.56
LAD1	583.07	303.44	575.03	409.15	303.44	723.08	423.61	191.67	277.2	525.39	260.38	92.05	73.03	45.53	89.51	41.52	135.24	66.65	82.87	86.43	74.06	63.0	62.12	140.04	34.26	205.5
MAD2L2	1781.89	633.73	1081.39	1359.57	854.13	872.1	1304.15	579.04	529.06	1378.57	819.3	239.52	291.04	325.29	303.44	395.18	336.79	612.11	325.29	395.18	343.89	226.54	356.05	217.27	325.29	450.94
MAPK13	1183.45	961.07	1313.23	1277.29	1119.56	1111.82	1073.91	830.75	1151.06	1059.11	1015.93	713.11	1378.57	819.3	791.35	1001.93	1104.13	633.73	995.0	988.12	848.22	872.1	1008.9	854.13	629.35	1183.45
MPZL2	7081.29	2720.15	7485.11	6983.79	4481.23	4575.41	2997.45	3820.7	2777.33	6792.79	2739.08	819.3	559.28	2895.31	860.08	387.02	514.56	1757.34	543.96	848.22	1417.35	1437.15	507.46	928.3	738.29	1216.75
MTMR11	397.93	182.55	497.0	493.56	251.48	379.04	221.86	82.29	177.53	470.14	154.42	35.25	59.55	30.34	15.34	29.06	51.35	34.51	27.05	62.12	39.22	14.35	24.63	50.98	19.11	21.16
MVP	5791.62	2682.69	4869.99	8134.41	3564.78	5751.61	3515.68	1963.57	2835.7	5147.73	2319.15	1295.13	1427.22	896.64	674.59	1183.45	1487.87	1457.23	540.19	525.39	1477.58	878.17	1066.48	1096.5	825.0	2018.8
MYEF2	400.71	511.0	688.78	555.41	249.73	514.56	217.27	454.09	301.33	571.05	389.72	108.14	47.5	361.04	108.9	182.55	72.52	223.41	131.51	121.79	162.14	162.14	103.69	146.03	165.57	84.63
NANOS3	155.5	75.64	112.77	119.26	33.78	94.67	163.28	55.89	128.79	79.45	62.56	27.25	16.27	10.39	3.2	0.0	26.67	16.88	26.47	28.24	14.45	11.64	43.94	11.47	23.93	25.54
NCDN	1143.1	703.28	1259.69	909.17	713.11	995.0	629.35	521.76	738.29	616.37	629.35	497.0	473.41	329.84	351.14	642.59	723.08	299.25	435.55	647.07	309.83	397.93	361.04	412.0	567.1	457.25
NFATC4	2555.58	3303.0	2004.85	3280.18	1397.83	2240.11	2997.45	1572.76	2400.97	2351.53	1529.73	785.88	1059.11	688.78	314.17	1268.46	796.86	1457.23	728.11	629.35	848.22	503.95	954.43	674.59	551.56	1340.84
NRGN	698.41	490.14	769.69	476.71	275.28	343.89	480.04	320.8	314.17	503.95	387.02	139.07	248.0	162.14	69.52	220.32	138.1	297.17	162.14	122.64	199.85	120.94	151.22	111.99	98.04	305.55
NXPH3	48.87	53.95	43.32	44.25	60.82	22.92	206.94	84.04	69.03	24.99	60.82	12.83	18.16	30.12	13.83	24.28	11.91	21.78	10.24	9.63	43.63	13.93	11.64	19.68	10.24	37.85
OXTR	12.18	12.64	27.05	19.39	12.45	21.01	12.45	8.92	15.34	24.46	7.51	3.82	2.92	2.36	2.34	0.52	1.89	4.58	5.11	4.1	2.97	6.01	2.46	1.06	2.51	3.76
P2RY6	146.03	36.53	176.29	187.71	260.38	198.47	251.48	63.45	38.12	397.93	56.28	24.11	39.5	6.94	19.39	29.06	85.22	20.56	26.86	52.08	66.18	24.46	194.36	39.79	27.25	6.57
PDGFA	463.65	503.95	403.5	579.04	373.81	417.77	397.93	314.17	454.09	518.15	279.14	69.03	109.66	134.3	48.87	105.89	90.14	108.9	49.21	123.5	92.7	46.84	102.97	40.36	70.51	128.79
PDLIM4	8479.89	718.08	5672.41	8191.0	4038.61	6935.54	1697.45	583.07	1191.69	7331.05	728.11	387.02	336.79	518.15	15.45	273.37	432.53	591.22	255.0	438.59	314.17	41.81	392.44	31.67	153.34	420.68
PDLIM7	3540.14	1697.45	3212.66	4095.0	1857.6	2739.08	1991.0	1322.37	1540.37	2417.67	1259.69	579.04	624.99	764.36	223.41	483.38	511.0	995.0	540.19	518.15	460.44	417.77	450.94	444.72	435.55	1044.52
PELP1	1073.91	954.43	934.76	872.1	825.0	1059.11	961.07	830.75	1015.93	1044.52	848.22	616.37	638.15	941.27	551.56	651.58	703.28	718.08	532.74	693.58	563.18	651.58	547.75	579.04	629.35	583.07
PLEKHG2	688.78	1250.98	1111.82	1359.57	974.5	866.07	1081.39	1159.07	587.13	1388.16	507.46	301.33	297.17	356.05	60.82	153.34	197.09	368.65	80.57	336.79	220.32	127.89	185.11	139.07	163.28	366.09
PLEKHN1	228.13	57.49	218.79	195.72	108.14	281.09	96.01	24.46	57.49	273.37	86.43	25.17	13.72	2.68	0.82	19.68	14.03	10.31	3.99	9.34	8.13	4.35	4.9	6.78	1.91	9.7
PLK3	947.83	848.22	1151.06	1127.35	493.56	836.53	633.73	540.19	483.38	1008.9	748.61	312.0	275.28	260.38	87.65	159.9	267.73	249.73	173.85	223.41	332.14	145.02	249.73	152.28	217.27	295.11
PLP2	3018.3	2367.9	2835.7	3901.01	2720.15	3018.3	2271.4	2119.22	2075.59	3768.09	674.59	1250.98	1015.93	275.28	780.44	521.76	902.89	1572.76	500.46	624.99	1268.46	334.46	674.59	2303.12	466.88	1963.57
PLXDC1	438.59	435.55	785.88	1225.22	497.0	500.46	392.44	265.87	341.51	409.15	277.2	39.22	39.5	35.25	27.44	63.45	40.36	118.43	26.47	64.8	23.08	22.1	29.27	40.64	47.17	143.01
PML	1477.58	1757.34	1583.71	2104.58	1540.37	1757.34	1674.06	1498.22	1594.73	1806.78	1397.83	921.88	785.88	1044.52	575.03	872.1	813.63	902.89	703.28	708.18	902.89	642.59	848.22	785.88	780.44	981.29
PRPF8	5633.22	4769.75	5041.77	5791.62	4066.71	5711.87	5403.7	6121.9	4972.34	5672.41	4066.71	4358.66	4038.61	4388.98	3372.43	4802.93	4298.64	3614.55	3716.2	3372.43	4210.15	2895.31	4328.55	3540.14	4095.0	4181.07
PRTN3	52.45	11.04	4.35	8.06	13.42	25.91	46.18	11.13	16.15	18.7	4.86	1.89	3.11	13.42	0.0	2.92	1.01	3.08	0.52	2.58	4.39	0.0	9.06	0.37	1.27	7.46
PSD3	314.17	208.38	395.18	341.51	256.78	309.83	221.86	165.57	246.28	260.38	211.31	117.6	93.35	55.1	28.04	33.78	86.43	57.49	18.29	106.63	53.95	145.02	72.01	165.57	58.71	75.64
PTCHD4	346.29	258.57	297.17	476.71	124.37	267.73	105.89	145.02	64.8	241.19	273.37	6.31	11.91	46.18	30.12	16.75	20.11	21.94	15.11	2.92	24.28	14.45	60.82	29.06	39.79	42.11
QSOX1	3124.78	1697.45	2816.11	4639.29	2224.63	2255.7	1540.37	1104.13	1477.58	2209.26	941.27	830.75	438.59	460.44	358.54	559.28	872.1	679.29	403.5	703.28	514.56	248.0	563.18	463.65	1143.1	493.56
RAB27A	1674.06	1143.1	1769.57	1508.65	1277.29	2178.83	967.76	967.76	902.89	1350.18	1417.35	872.1	624.99	476.71	476.71	351.14	607.87	688.78	470.14	1277.29	1104.13	599.49	674.59	575.03	497.0	872.1
RAPGEFL1	182.55	153.34	187.71	167.9	75.11	281.09	97.36	127.0	159.9	161.02	117.6	66.65	135.24	84.63	40.07	84.04	96.68	42.71	81.71	98.73	60.39	103.69	102.25	62.56	103.69	36.01
RARA	1119.56	738.29	1127.35	1286.18	836.53	1044.52	733.19	543.96	759.08	915.51	603.67	397.93	480.04	435.55	229.72	309.83	387.02	406.31	255.0	327.56	473.41	262.2	376.41	253.23	341.51	400.71
RASD2	348.71	34.26	236.21	171.45	131.51	236.21	90.14	80.01	94.01	208.38	117.6	14.14	21.16	80.57	9.27	4.82	12.55	7.11	18.7	18.43	13.83	24.46	19.68	7.69	8.06	31.45
RENBP	412.0	518.15	201.25	507.46	249.73	447.82	743.43	312.0	387.02	665.29	384.34	83.45	91.41	75.64	34.26	260.38	105.89	195.72	53.19	40.07	78.34	30.12	73.54	246.28	163.28	157.68
RHOU	3820.7	2520.38	1757.34	2701.35	961.07	2104.58	3349.13	2061.24	1806.78	2119.22	1757.34	915.51	802.41	529.06	532.74	476.71	1008.9	1216.75	1001.93	764.36	1066.48	738.29	1457.23	713.11	941.27	1857.6
RP11-219B4.5	4.94	8.85	10.71	13.42	6.31	10.96	2.84	5.36	5.68	9.34	8.38	8.78	3.38	3.82	2.27	0.0	7.88	4.17	5.11	3.59	1.81	7.06	2.2	6.26	4.46	5.19
RUNX2	356.05	183.82	226.54	314.17	162.14	389.72	128.79	130.6	76.17	234.57	75.11	45.85	19.82	2.81	8.32	9.27	41.81	36.27	5.68	27.64	14.45	8.13	9.13	24.81	14.67	39.79
RYR1	395.18	126.12	414.87	397.93	202.66	441.64	62.56	71.5	279.14	264.03	175.07	15.0	33.54	3.35	23.08	96.68	57.08	31.22	29.7	46.84	116.78	11.82	21.16	14.89	43.02	48.18
SCG5	2468.49	1359.57	2119.22	2384.37	1066.48	1183.45	1350.18	476.71	1268.46	1407.55	854.13	595.34	77.25	146.03	204.07	158.79	198.47	341.51	93.35	346.29	121.79	36.53	69.52	764.36	86.43	232.94
SEC14L6	49.56	7.0	22.43	14.03	8.38	28.65	25.54	8.06	12.64	14.67	7.94	1.13	10.31	0.37	1.11	0.0	0.08	3.79	0.09	0.0	0.44	0.08	0.71	0.1	0.09	2.89
SEMA4C	974.5	669.92	915.51	981.29	728.11	1096.5	575.03	575.03	595.34	780.44	595.34	232.94	236.21	289.02	148.09	295.11	283.05	392.44	152.28	249.73	293.07	198.47	132.44	166.73	190.34	366.09
SEZ6L2	743.43	540.19	389.72	836.53	368.65	595.34	507.46	47.17	460.44	595.34	312.0	17.25	2.68	19.82	4.94	37.32	8.99	27.64	10.55	0.0	15.34	2.34	7.57	30.78	18.97	3.44
SLC22A31	3419.52	629.35	2090.03	3146.52	967.76	1963.57	187.71	85.22	540.19	2796.65	253.23	8.92	0.28	0.0	0.0	3.72	125.24	15.91	1.07	2.36	0.32	5.28	0.85	0.0	6.31	5.41
SLC24A5	21.01	11.55	33.3	22.1	4.94	34.51	7.06	25.72	21.47	22.1	17.51	0.99	2.58	8.85	2.32	11.47	3.06	5.73	5.54	2.73	9.56	7.0	1.11	3.69	2.05	2.01
SLC35C2	1883.54	1733.13	1806.78	1806.78	1340.84	1745.2	1733.13	1651.0	1639.59	1651.0	1572.76	1467.37	1457.23	1304.15	1167.14	1096.5	1183.45	1519.15	1340.84	1167.14	1322.37	1388.16	1467.37	1477.58	1313.23	1322.37
SLC4A2	3372.43	3794.3	2271.4	2682.69	1883.54	2739.08	3716.2	2075.59	2664.15	2047.0	2287.2	1143.1	1977.24	1540.37	830.75	1540.37	1487.87	1427.22	1561.89	1467.37	1617.0	1151.06	1397.83	1183.45	1561.89	1769.57
SNAI3	36.27	42.11	24.63	57.89	23.93	38.12	78.89	44.25	47.84	53.57	38.95	18.97	26.28	18.97	23.08	13.52	6.46	21.32	28.24	49.91	12.36	12.27	21.01	16.03	13.22	72.01
SPHK1	460.44	273.37	571.05	688.78	511.0	441.64	551.56	248.0	269.6	708.18	387.02	158.79	167.9	241.19	60.39	147.06	258.57	205.5	127.89	262.2	130.6	114.36	211.31	103.69	106.63	164.42
SPINT1	4181.07	2148.82	3467.27	3768.09	3928.15	3372.43	3018.3	1757.34	2701.35	4095.0	2537.92	2400.97	1457.23	1685.71	1498.22	1769.57	2796.65	813.63	1709.26	2319.15	1963.57	1870.53	2004.85	2148.82	1639.59	2224.63
SSBP4	2935.74	2720.15	2485.67	3303.0	1417.35	2627.46	2573.36	2061.24	1936.53	2591.27	2133.97	775.05	825.0	928.3	438.59	866.07	890.44	1277.29	1030.12	878.17	842.36	620.67	802.41	934.76	902.89	1250.98
SSTR3	69.03	5.73	34.26	23.93	5.92	41.52	10.0	1.43	16.75	31.45	5.77	0.53	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.58	0.0	3.5
