	TCGA.FJ.A871.01A.11R.A352.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.BH.A1EO.11A.31R.A137.07	GTEX.12WSK.2226.SM.5GCO5	GTEX.TSE9.2826.SM.4DXTF	GTEX.TML8.0726.SM.4DXTT	GTEX.S341.1126.SM.4AD6T	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.S4UY.1426.SM.4AD6Y	GTEX.TSE9.2726.SM.4DXSQ	TCGA.ZU.A8S4.01A.11R.A41I.07	TCGA.KN.8427.01A.11R.2315.07	TCGA.CW.6090.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.CZ.4860.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4861.01A.01R.1305.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.CZ.5461.01A.01R.1503.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.DV.5565.01A.01R.1541.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.CJ.6027.01A.11R.1672.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.B0.4814.01A.01R.1277.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.11PRG.0926.SM.5EGI8	GTEX.YJ8O.1826.SM.5HL82	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DE.A4M9.01A.11R.A250.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.117XS.0526.SM.5987Q	GTEX.SN8G.1526.SM.4DM79	GTEX.POYW.0826.SM.2XCEM	GTEX.14AS3.0226.SM.5Q5B6	GTEX.147F4.0826.SM.5QGRB	GTEX.RNOR.0926.SM.2TF56	GTEX.SIU8.0626.SM.2XCDN	GTEX.T2IS.0626.SM.32QP6	GTEX.12ZZX.1226.SM.5EGHS	GTEX.ZDTS.0926.SM.4WAXG	GTEX.ZVZQ.0626.SM.59HJU	GTEX.PLZ4.1226.SM.2I5FE	GTEX.14A6H.2426.SM.5Q5BO	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13OVI.1026.SM.5L3EM	GTEX.N7MT.0726.SM.3TW8S	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.14BIM.2226.SM.5SI8Y	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.13W3W.1426.SM.5LU56	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT	GTEX.T6MO.1526.SM.4DM57
CREBZF	190.34	426.57	234.57	397.93	575.03	389.72	718.08	872.1	791.35	514.56	743.43	348.71	265.87	376.41	255.0	733.19	262.2	420.68	260.38	285.03	279.14	423.61	947.83	463.65	503.95	567.1	281.09	164.42	281.09	356.05	579.04	366.09	255.0	429.54	161.02	256.78	1417.35	476.71	309.83	305.55	341.51	351.14	255.0	521.76	379.04	830.75	669.92	353.59	684.02	1066.48	1059.11	1572.76	1051.79	1369.04	1529.73	1540.37	954.43	921.88	1242.34	954.43	1295.13	934.76	808.0	1183.45	1242.34	1295.13	1457.23	769.69	1322.37	842.36	273.37	813.63	323.03	579.04	1143.1	616.37	909.17	1388.16	802.41
CTD-2368P22.1	11.04	48.18	18.03	26.67	19.97	71.0	87.03	162.14	295.11	48.87	33.3	15.22	17.51	22.75	49.91	90.14	60.82	9.34	29.91	34.75	10.47	28.04	218.79	15.56	49.21	56.28	30.34	40.36	42.41	74.58	115.16	57.08	34.51	37.32	24.46	26.67	182.55	57.49	45.85	47.84	10.71	130.6	61.68	37.85	63.89	140.04	54.33	86.43	122.64	281.09	228.13	325.29	154.42	267.73	532.74	285.03	239.52	166.73	295.11	148.09	134.3	176.29	214.27	323.03	271.48	334.46	234.57	76.71	303.44	384.34	68.07	176.29	105.89	63.45	110.43	33.78	138.1	490.14	46.84
DKFZP779L1853	2.03	0.45	0.82	0.39	1.41	1.79	0.25	10.79	5.5	0.89	0.39	0.68	0.0	0.41	0.41	4.94	0.0	0.37	0.83	0.0	1.69	0.0	2.51	0.0	0.83	0.0	0.4	0.46	1.2	2.76	0.87	1.97	0.4	0.77	0.0	0.47	7.75	0.79	0.82	1.17	0.77	1.69	0.0	1.97	0.4	3.63	0.41	0.0	3.89	7.22	15.91	36.27	6.73	20.41	13.42	23.25	14.03	9.48	20.11	11.47	10.0	13.52	19.25	62.12	28.65	36.01	4.43	6.52	33.54	12.93	1.97	1.68	1.51	2.78	6.46	0.46	10.71	14.14	4.31
DMTF1	256.78	429.54	334.46	447.82	642.59	665.29	848.22	921.88	878.17	723.08	769.69	368.65	454.09	327.56	273.37	1331.57	244.57	325.29	305.55	215.77	397.93	363.56	1437.15	547.75	633.73	483.38	255.0	400.71	320.8	327.56	825.0	583.07	334.46	305.55	293.07	336.79	2133.97	395.18	497.0	525.39	381.68	444.72	229.72	872.1	397.93	1015.93	1277.29	277.2	1477.58	1561.89	1674.06	2075.59	1757.34	2104.58	3820.7	2193.99	1477.58	1417.35	2537.92	1498.22	1685.71	1208.34	2047.0	2895.31	1950.0	2335.28	1151.06	1407.55	1561.89	1151.06	285.03	1259.69	429.54	796.86	830.75	514.56	1216.75	1963.57	669.92
DNAJB7	0.3	0.85	0.43	0.87	2.34	2.63	3.69	3.92	1.93	4.7	4.9	0.0	1.03	0.39	0.39	2.43	0.4	1.0	0.79	0.41	0.42	0.0	3.17	1.1	1.58	1.19	0.38	0.85	0.79	0.39	0.42	1.55	1.11	0.0	1.2	0.44	7.0	1.14	0.79	1.91	1.1	1.23	0.39	0.0	0.38	2.86	1.07	0.08	3.89	4.7	2.48	8.19	3.86	3.89	11.21	4.58	3.63	6.89	3.82	2.32	2.12	2.29	3.44	2.03	2.97	8.13	4.31	1.14	5.15	6.67	1.07	1.79	3.11	1.01	0.62	1.1	3.06	6.52	0.0
DOCK5	64.8	41.22	26.86	60.39	54.33	143.01	123.5	571.05	507.46	209.84	161.02	231.32	307.69	113.56	64.34	265.87	94.67	119.26	171.45	95.34	82.87	115.97	226.54	325.29	253.23	348.71	101.54	98.04	113.56	91.41	178.77	74.06	57.89	70.51	92.05	109.66	376.41	221.86	40.64	71.5	138.1	89.51	108.9	346.29	153.34	185.11	105.89	35.5	115.97	329.84	255.0	490.14	239.52	215.77	563.18	185.11	267.73	273.37	334.46	205.5	131.51	156.59	246.28	287.01	223.41	318.57	204.07	111.21	133.36	96.01	21.94	91.41	138.1	170.25	185.11	173.85	73.54	323.03	94.67
DOPEY1	23.25	59.55	110.43	253.23	153.34	117.6	166.73	215.77	234.57	212.78	175.07	60.39	57.89	112.77	56.28	232.94	128.79	75.64	82.29	102.97	56.28	135.24	122.64	105.15	105.89	125.24	134.3	74.06	178.77	145.02	155.5	123.5	106.63	224.97	150.17	125.24	262.2	130.6	80.01	167.9	108.14	45.85	78.34	80.57	92.7	231.32	186.4	90.14	307.69	316.37	358.54	470.14	293.07	267.73	406.31	559.28	348.71	412.0	460.44	309.83	269.6	297.17	368.65	314.17	363.56	457.25	312.0	291.04	403.5	231.32	50.27	175.07	87.03	220.32	275.28	195.72	271.48	429.54	187.71
EFCAB13	26.47	19.97	25.35	56.28	49.56	93.35	26.1	190.34	38.67	18.56	74.06	30.56	10.47	46.5	13.42	157.68	31.67	41.22	23.59	32.36	43.02	14.67	134.3	392.44	69.03	78.34	16.39	12.18	23.08	63.0	53.57	31.45	26.86	35.25	25.72	34.02	102.97	36.01	25.91	58.71	20.86	8.85	37.85	79.45	29.27	41.52	106.63	37.85	102.97	363.56	346.29	348.71	435.55	379.04	234.57	336.79	403.5	199.85	242.88	172.65	323.03	262.2	334.46	547.75	447.82	231.32	37.59	54.72	177.53	105.89	16.75	39.79	30.34	71.5	76.71	10.24	153.34	115.97	62.12
ELAC1	214.27	180.02	211.31	115.16	70.51	228.13	169.07	205.5	224.97	312.0	103.69	158.79	98.73	121.79	156.59	135.24	114.36	220.32	70.01	130.6	120.1	121.79	189.02	80.01	120.94	100.83	165.57	143.01	123.5	102.25	108.14	180.02	154.42	119.26	122.64	127.0	137.14	152.28	161.02	159.9	137.14	98.04	105.89	133.36	107.38	113.56	157.68	127.0	231.32	366.09	312.0	341.51	232.94	289.02	318.57	269.6	348.71	299.25	289.02	358.54	318.57	283.05	361.04	336.79	241.19	476.71	341.51	149.12	152.28	180.02	287.01	194.36	151.22	420.68	249.73	193.01	163.28	145.02	249.73
EPM2AIP1	72.52	67.59	104.42	143.01	187.71	164.42	157.68	218.79	312.0	141.02	190.34	61.25	91.41	92.05	88.26	142.01	127.0	150.17	53.95	111.21	104.42	84.63	239.52	84.63	119.26	127.89	97.36	106.63	120.94	185.11	155.5	146.03	136.19	121.79	122.64	109.66	251.48	110.43	145.02	158.79	98.73	141.02	105.15	107.38	86.43	143.01	176.29	162.14	249.73	529.06	444.72	463.65	470.14	420.68	1081.39	791.35	473.41	547.75	563.18	395.18	454.09	320.8	532.74	665.29	532.74	660.68	417.77	629.35	2018.8	954.43	115.97	500.46	58.71	164.42	320.8	202.66	563.18	647.07	204.07
EPOR	127.0	112.77	113.56	33.06	423.61	587.13	447.82	4095.0	7130.55	141.02	543.96	277.2	470.14	232.94	212.78	197.09	147.06	153.34	82.87	161.02	211.31	204.07	518.15	103.69	183.82	110.43	120.1	194.36	125.24	107.38	267.73	140.04	215.77	171.45	178.77	132.44	674.59	329.84	111.21	173.85	231.32	158.79	112.77	764.36	206.94	420.68	208.38	291.04	208.38	2502.97	3395.89	836.53	1225.22	2682.69	890.44	2796.65	1111.82	1088.92	947.83	981.29	1350.18	748.61	1250.98	1208.34	1977.24	3443.31	180.02	493.56	169.07	138.1	169.07	231.32	460.44	182.55	220.32	647.07	161.02	142.01	253.23
EXOG	127.0	102.97	93.35	113.56	84.63	99.43	143.01	95.34	97.36	121.79	146.03	150.17	74.58	56.68	66.18	80.01	53.19	52.82	32.59	73.54	84.63	59.13	126.12	31.45	67.12	40.07	62.12	41.22	89.51	70.01	85.22	90.77	68.55	58.3	57.49	72.52	156.59	84.63	78.34	86.43	63.0	30.78	45.21	59.97	41.81	58.3	93.35	87.03	92.05	127.89	84.04	195.72	110.43	100.83	312.0	148.09	143.01	157.68	198.47	150.17	131.51	122.64	156.59	117.6	178.77	253.23	142.01	82.29	77.25	84.04	45.21	89.51	143.01	165.57	112.77	109.66	115.16	191.67	101.54
EXOSC8	1135.2	866.07	629.35	612.11	1208.34	599.49	836.53	878.17	981.29	1044.52	1015.93	728.11	540.19	967.76	521.76	371.22	395.18	543.96	318.57	420.68	314.17	665.29	1001.93	660.68	624.99	616.37	616.37	521.76	329.84	426.57	441.64	327.56	470.14	607.87	567.1	583.07	872.1	503.95	503.95	466.88	595.34	529.06	688.78	579.04	638.15	854.13	466.88	363.56	703.28	493.56	679.29	1044.52	674.59	947.83	1023.0	1286.18	748.61	941.27	902.89	738.29	633.73	575.03	1059.11	669.92	1073.91	1066.48	909.17	1233.75	1304.15	1498.22	1159.07	921.88	366.09	476.71	698.41	791.35	1350.18	896.64	693.58
FAM149B1	293.07	318.57	444.72	397.93	567.1	490.14	435.55	547.75	607.87	397.93	620.67	346.29	567.1	279.14	232.94	497.0	403.5	417.77	307.69	400.71	438.59	361.04	529.06	246.28	299.25	409.15	376.41	521.76	348.71	392.44	353.59	363.56	339.14	406.31	406.31	351.14	620.67	366.09	231.32	371.22	441.64	438.59	486.75	616.37	457.25	674.59	567.1	395.18	665.29	457.25	432.53	521.76	540.19	473.41	693.58	674.59	438.59	490.14	587.13	536.45	473.41	420.68	514.56	633.73	555.41	551.56	384.34	748.61	728.11	819.3	351.14	848.22	320.8	281.09	291.04	392.44	941.27	848.22	299.25
FAM218A	9.7	18.7	3.72	6.94	2.92	40.07	29.06	63.45	37.32	43.63	0.68	14.56	0.35	7.82	24.46	53.95	9.06	12.64	19.53	8.0	12.55	1.19	94.67	32.13	21.63	10.08	6.94	10.0	9.2	46.18	12.27	24.11	14.56	5.68	6.31	6.01	17.51	18.84	4.24	22.26	18.56	32.36	8.45	44.25	10.16	13.62	17.0	14.89	17.64	121.79	75.11	97.36	63.0	84.63	130.6	126.12	180.02	111.21	97.36	186.4	51.35	87.03	176.29	163.28	101.54	145.02	17.9	6.11	26.47	77.79	18.29	7.88	24.11	149.12	35.0	26.67	53.57	28.86	16.39
FAM86B1	45.85	108.14	41.22	137.14	176.29	182.55	25.91	265.87	59.97	50.63	148.09	120.94	52.82	46.18	7.57	204.07	89.51	143.01	16.63	58.3	76.17	36.27	69.52	167.9	89.51	46.5	101.54	101.54	42.71	92.05	33.3	78.34	25.35	53.95	115.16	76.17	98.73	63.45	57.89	47.5	22.75	25.54	142.01	400.71	76.71	253.23	106.63	54.33	206.94	503.95	108.14	358.54	426.57	389.72	297.17	511.0	236.21	295.11	312.0	303.44	193.01	234.57	260.38	223.41	379.04	426.57	59.55	961.07	567.1	476.71	228.13	414.87	140.04	265.87	371.22	157.68	400.71	373.81	167.9
FKSG52	20.41	13.72	9.2	2.34	15.11	40.64	9.06	0.0	28.45	2.84	12.0	10.31	5.15	10.24	19.82	54.72	10.0	12.27	9.48	14.24	4.17	9.2	46.18	52.45	5.54	13.03	6.36	9.34	10.96	10.55	33.3	14.67	2.63	12.36	7.22	7.0	67.59	8.32	9.78	11.04	8.78	11.13	5.28	27.44	13.32	42.71	2.23	23.42	27.25	65.72	40.07	49.56	61.68	13.03	107.38	43.02	30.12	29.48	14.35	24.63	83.45	21.16	59.55	63.45	50.63	34.02	9.2	34.75	19.39	10.24	9.93	23.76	19.53	21.78	38.95	3.41	11.91	39.5	7.69
FMNL2	98.73	82.29	438.59	1819.35	674.59	150.17	441.64	616.37	583.07	450.94	753.83	281.09	1044.52	457.25	379.04	620.67	476.71	656.11	275.28	358.54	395.18	457.25	866.07	2335.28	718.08	836.53	423.61	208.38	587.13	426.57	555.41	547.75	162.14	457.25	204.07	769.69	759.08	511.0	303.44	514.56	651.58	144.01	305.55	579.04	575.03	400.71	571.05	246.28	348.71	713.11	1066.48	1407.55	967.76	718.08	1781.89	941.27	954.43	624.99	1044.52	954.43	616.37	567.1	884.29	2255.7	1081.39	1467.37	279.14	1540.37	463.65	854.13	281.09	1037.29	441.64	194.36	275.28	703.28	1066.48	819.3	563.18
FNBP4	327.56	567.1	361.04	1015.93	1304.15	718.08	1066.48	1340.84	1096.5	819.3	1583.71	483.38	753.83	353.59	299.25	1023.0	154.42	371.22	193.01	269.6	260.38	595.34	1819.35	603.67	555.41	603.67	253.23	271.48	500.46	406.31	988.12	406.31	361.04	384.34	379.04	341.51	1721.16	642.59	336.79	521.76	551.56	277.2	356.05	785.88	403.5	974.5	1051.79	450.94	842.36	1936.53	1583.71	2061.24	1286.18	1378.57	2004.85	1923.14	1143.1	1191.69	1242.34	1096.5	1259.69	1119.56	1286.18	1551.09	1199.98	1639.59	1572.76	1540.37	1923.14	1427.22	423.61	1745.2	607.87	723.08	1096.5	836.53	1407.55	1388.16	981.29
FSD2	0.85	0.0	0.38	0.82	0.0	3.32	0.8	0.77	3.11	0.09	0.39	0.39	0.0	0.39	0.39	0.0	0.8	0.0	1.57	1.62	0.83	1.97	1.75	0.38	0.4	0.0	0.38	2.1	0.39	0.0	0.42	0.39	1.48	2.16	1.99	0.44	2.43	0.39	0.78	0.0	0.0	0.83	0.39	1.16	0.0	1.77	12.55	3.66	0.93	7.34	1.0	3.96	24.28	5.45	4.66	2.86	5.96	18.84	2.63	1.93	3.96	2.43	9.93	21.32	1.25	30.12	0.45	1.08	3.35	2.81	0.0	0.72	0.11	3.08	0.0	0.83	1.45	2.53	0.45
GBA2	902.89	842.36	595.34	669.92	915.51	708.18	1151.06	1259.69	1277.29	921.88	764.36	934.76	414.87	728.11	591.22	703.28	497.0	1388.16	693.58	555.41	748.61	693.58	1819.35	368.65	780.44	638.15	785.88	830.75	603.67	688.78	1437.15	1111.82	733.19	642.59	603.67	693.58	1883.54	808.0	1378.57	915.51	684.02	733.19	842.36	420.68	764.36	1388.16	607.87	796.86	1857.6	1757.34	2163.77	1745.2	1639.59	1639.59	3349.13	1819.35	1991.0	1417.35	1674.06	1268.46	1340.84	1322.37	1844.76	1304.15	1572.76	2303.12	1199.98	2335.28	1208.34	1498.22	559.28	947.83	1059.11	1023.0	1030.12	1617.0	1059.11	1883.54	988.12
GNAL	43.02	4.94	143.01	555.41	169.07	115.97	185.11	163.28	95.34	79.45	320.8	25.17	28.04	7.57	41.22	138.1	77.79	63.0	41.52	74.06	59.13	58.71	52.45	16.03	34.51	22.75	34.75	23.25	57.08	133.36	33.3	32.82	17.38	119.26	121.79	17.77	73.03	32.13	24.46	44.57	12.09	23.76	29.06	20.41	10.39	79.45	113.56	147.06	191.67	105.89	66.65	117.6	166.73	162.14	305.55	175.07	183.82	201.25	389.72	251.48	119.26	167.9	229.72	356.05	209.84	206.94	102.25	98.04	68.07	84.04	18.97	138.1	209.84	371.22	384.34	128.79	162.14	234.57	336.79
GOLGA8A	307.69	866.07	109.66	90.14	583.07	603.67	417.77	1561.89	2032.85	514.56	571.05	92.7	403.5	12.83	104.42	397.93	17.0	9.85	22.1	31.67	332.14	16.88	1119.56	67.59	665.29	303.44	18.16	81.71	113.56	10.39	532.74	285.03	28.86	8.51	18.16	59.97	2997.45	476.71	23.93	64.34	162.14	122.64	30.12	713.11	7.51	529.06	332.14	73.03	1674.06	6652.97	5751.61	7485.11	2645.74	5366.37	3794.3	2720.15	2758.13	2816.11	4671.57	2271.4	1167.14	2682.69	2875.3	2573.36	3018.3	5913.33	825.0	848.22	1151.06	1001.93	25.17	759.08	253.23	748.61	249.73	595.34	738.29	2451.44	454.09
GPATCH8	127.0	136.19	147.06	389.72	226.54	229.72	351.14	256.78	361.04	277.2	237.86	164.42	291.04	167.9	90.77	376.41	202.66	285.03	175.07	193.01	143.01	329.84	281.09	287.01	265.87	262.2	195.72	146.03	429.54	285.03	289.02	183.82	173.85	291.04	229.72	226.54	291.04	242.88	198.47	307.69	265.87	118.43	175.07	205.5	237.86	291.04	616.37	232.94	529.06	305.55	353.59	629.35	525.39	387.02	802.41	497.0	450.94	507.46	555.41	466.88	381.68	348.71	353.59	463.65	403.5	497.0	409.15	457.25	567.1	493.56	175.07	476.71	211.31	332.14	529.06	273.37	470.14	518.15	260.38
GPR135	5.45	11.91	16.63	14.03	98.04	62.56	68.07	41.22	72.52	48.18	59.13	8.85	12.18	18.03	9.7	36.01	11.91	19.68	18.7	17.38	13.52	10.31	23.59	19.97	26.47	24.63	16.27	19.82	15.11	19.25	21.47	26.67	16.15	31.45	19.82	14.67	82.87	19.82	47.84	28.04	20.26	11.82	18.16	12.64	8.45	28.86	38.67	28.45	37.59	52.45	25.72	27.84	68.07	59.97	120.1	94.01	50.98	31.67	99.43	35.76	43.32	69.03	47.5	60.82	37.59	50.98	44.25	95.34	77.25	83.45	19.25	52.45	39.5	50.63	39.5	64.34	58.3	83.45	67.12
GPR62	2.01	7.51	2.18	2.27	1.28	14.24	9.78	10.63	3.2	10.71	0.0	0.99	0.33	0.37	1.83	0.39	2.34	3.53	0.39	3.56	4.03	1.93	1.71	0.36	0.77	1.93	3.26	0.0	0.38	4.54	0.0	2.25	1.08	0.35	2.73	1.27	8.19	1.1	0.77	0.37	0.36	0.8	0.73	0.0	0.0	8.99	2.94	15.68	5.59	0.44	10.79	2.32	3.99	4.39	9.13	20.11	10.0	23.25	15.68	4.9	1.99	1.35	4.62	9.27	8.51	5.19	10.63	5.5	20.86	21.32	8.45	2.51	6.41	10.88	21.47	3.92	21.32	3.41	7.4
ICA1L	10.71	21.47	46.5	149.12	163.28	71.0	223.41	163.28	262.2	115.97	171.45	47.5	36.53	33.3	16.39	86.43	23.42	62.12	10.63	35.25	37.32	33.3	121.79	21.16	65.72	24.81	40.64	24.11	24.46	80.57	93.35	61.25	32.82	118.43	23.08	33.78	224.97	34.75	35.0	32.36	61.68	16.39	29.48	40.64	4.1	137.14	88.88	48.18	144.01	248.0	54.33	356.05	150.17	186.4	301.33	153.34	209.84	129.69	199.85	162.14	146.03	133.36	157.68	147.06	165.57	239.52	713.11	246.28	395.18	226.54	94.67	332.14	50.98	117.6	295.11	182.55	154.42	303.44	125.24
IFRD1	435.55	414.87	567.1	1081.39	2061.24	327.56	540.19	785.88	674.59	395.18	2075.59	1519.15	638.15	583.07	738.29	854.13	295.11	295.11	295.11	297.17	559.28	403.5	808.0	2178.83	429.54	718.08	480.04	651.58	316.37	260.38	915.51	329.84	638.15	435.55	559.28	414.87	836.53	629.35	497.0	466.88	536.45	363.56	435.55	1159.07	616.37	603.67	909.17	599.49	954.43	1250.98	872.1	1127.35	1051.79	1096.5	1350.18	1277.29	860.08	896.64	981.29	842.36	713.11	813.63	1127.35	1073.91	947.83	842.36	638.15	1008.9	954.43	507.46	395.18	902.89	363.56	642.59	518.15	1199.98	679.29	647.07	616.37
IFT81	154.42	156.59	87.03	215.77	366.09	251.48	320.8	376.41	698.41	265.87	444.72	208.38	150.17	293.07	128.79	373.81	201.25	201.25	97.36	135.24	163.28	137.14	346.29	93.35	301.33	153.34	175.07	104.42	171.45	191.67	142.01	134.3	165.57	291.04	241.19	122.64	320.8	172.65	98.73	194.36	162.14	122.64	185.11	172.65	128.79	348.71	258.57	139.07	314.17	466.88	412.0	638.15	409.15	540.19	830.75	607.87	486.75	379.04	555.41	395.18	329.84	287.01	397.93	412.0	470.14	587.13	346.29	202.66	848.22	444.72	123.5	327.56	123.5	287.01	318.57	323.03	400.71	656.11	297.17
IKZF4	21.32	34.26	55.1	59.97	100.13	86.43	147.06	140.04	153.34	73.54	130.6	82.87	231.32	53.57	38.95	90.14	96.68	47.17	82.29	73.03	56.28	73.03	150.17	53.57	102.97	72.01	70.51	55.49	105.89	115.97	72.01	71.5	58.71	70.51	84.04	62.56	145.02	76.17	55.49	69.03	61.68	60.82	61.68	77.79	60.39	76.71	181.28	94.01	147.06	221.86	180.02	164.42	138.1	204.07	323.03	236.21	191.67	325.29	248.0	228.13	180.02	143.01	167.9	239.52	215.77	241.19	153.34	101.54	110.43	161.02	69.52	133.36	87.65	69.52	123.5	125.24	124.37	152.28	112.77
INTU	35.5	36.27	36.01	46.18	127.89	71.5	67.12	69.03	97.36	46.84	99.43	55.1	30.56	50.63	23.59	157.68	31.9	26.67	20.11	28.45	23.93	32.59	143.01	21.63	53.19	81.71	30.78	19.11	27.64	43.32	116.78	40.36	50.27	35.0	28.04	24.81	120.1	44.57	37.05	44.57	39.5	19.68	35.25	53.19	81.71	92.7	87.65	49.56	165.57	221.86	169.07	236.21	265.87	246.28	228.13	242.88	194.36	209.84	297.17	154.42	220.32	241.19	287.01	229.72	246.28	275.28	45.85	191.67	395.18	241.19	26.86	204.07	50.63	112.77	72.52	70.01	251.48	220.32	85.82
JMJD7-PLA2G4B	25.54	21.94	29.48	17.0	175.07	56.28	66.18	118.43	139.07	57.89	186.4	19.39	12.93	12.45	7.0	35.76	7.46	21.63	6.94	4.28	8.99	18.43	122.64	8.38	32.59	27.44	6.21	16.63	21.94	34.02	78.34	15.91	17.51	4.9	10.31	15.68	156.59	23.25	19.25	24.46	11.3	12.27	7.75	13.93	9.56	55.1	49.91	37.32	87.65	341.51	379.04	133.36	323.03	339.14	285.03	642.59	195.72	281.09	384.34	155.5	249.73	228.13	281.09	325.29	283.05	379.04	121.79	387.02	392.44	277.2	18.97	136.19	48.52	42.71	58.3	76.17	212.78	273.37	47.84
KCNAB3	70.01	226.54	3.38	3.79	27.44	85.22	49.21	26.1	52.45	114.36	21.63	24.46	12.55	5.5	8.13	73.03	4.98	11.55	2.48	9.7	6.84	3.35	121.79	7.57	19.82	13.83	8.06	7.46	9.63	4.86	46.18	24.11	5.02	7.51	5.41	10.79	117.6	18.56	11.3	11.73	15.0	13.12	4.7	17.51	2.73	34.51	13.72	21.94	25.72	34.02	59.13	15.22	51.35	21.78	189.02	79.45	46.5	50.27	58.3	74.06	39.22	16.27	61.25	36.53	65.26	120.94	49.91	120.1	291.04	260.38	59.55	229.72	152.28	122.64	363.56	14.35	189.02	120.1	118.43
KIAA0753	155.5	120.1	89.51	175.07	102.25	152.28	150.17	217.27	348.71	78.89	125.24	171.45	239.52	170.25	53.19	281.09	85.22	180.02	95.34	83.45	92.7	133.36	291.04	94.67	153.34	182.55	99.43	65.72	101.54	182.55	155.5	136.19	91.41	130.6	132.44	133.36	186.4	153.34	73.54	148.09	166.73	61.68	105.15	75.64	93.35	215.77	228.13	92.7	255.0	269.6	287.01	417.77	379.04	341.51	457.25	363.56	406.31	334.46	279.14	332.14	376.41	229.72	420.68	420.68	409.15	379.04	181.28	206.94	353.59	275.28	75.11	279.14	212.78	420.68	234.57	167.9	309.83	251.48	218.79
KIF27	15.56	21.94	44.25	61.25	139.07	84.63	40.64	77.79	99.43	55.49	130.6	37.32	46.18	44.89	16.75	64.8	30.12	42.71	18.84	22.75	17.64	35.5	78.89	43.02	36.53	50.98	34.02	21.16	46.18	43.32	57.89	40.64	25.54	39.5	42.41	39.5	92.05	47.84	31.9	35.76	33.78	30.12	21.63	22.75	64.8	97.36	170.25	86.43	171.45	150.17	141.02	228.13	161.02	173.85	201.25	283.05	116.78	120.94	182.55	106.63	173.85	112.77	134.3	273.37	229.72	159.9	90.77	176.29	299.25	127.0	77.25	220.32	87.65	58.71	80.57	39.22	221.86	171.45	51.71
L3MBTL1	51.71	51.35	16.39	20.86	248.0	72.52	92.05	277.2	218.79	146.03	190.34	53.19	82.29	26.67	25.35	154.42	23.42	19.97	21.47	16.39	25.91	37.05	241.19	32.59	82.87	55.49	12.74	17.51	28.86	79.45	120.94	27.25	27.44	24.81	29.06	20.11	414.87	53.95	22.92	32.13	23.25	27.84	16.63	87.65	18.7	167.9	104.42	72.01	239.52	397.93	406.31	336.79	275.28	403.5	251.48	490.14	262.2	325.29	511.0	220.32	244.57	232.94	249.73	316.37	373.81	493.56	70.51	314.17	387.02	329.84	18.03	146.03	115.16	59.97	101.54	47.5	303.44	521.76	89.51
LCAT	674.59	371.22	193.01	82.87	961.07	511.0	387.02	426.57	381.68	332.14	825.0	237.86	104.42	126.12	246.28	325.29	62.12	128.79	49.91	107.38	169.07	249.73	748.61	75.64	202.66	95.34	76.71	110.43	107.38	193.01	379.04	237.86	189.02	107.38	87.65	100.13	1051.79	231.32	231.32	187.71	156.59	134.3	161.02	223.41	115.97	507.46	497.0	723.08	884.29	1909.85	748.61	872.1	698.41	1051.79	1199.98	733.19	587.13	884.29	836.53	656.11	890.44	928.3	1417.35	624.99	995.0	866.07	223.41	1508.65	1073.91	1417.35	197.09	674.59	353.59	339.14	343.89	361.04	896.64	1540.37	303.44
