	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13OVJ.0626.SM.5J2O2	GTEX.14E6C.2626.SM.5RQJP	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.144GM.0226.SM.5Q5CB	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.QXCU.0326.SM.2TC63	GTEX.13O1R.0826.SM.5J2MB	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
B3GALNT1	0.0	0.28	283.05	830.75	928.3	1175.27	339.14	1183.45	529.06	450.94	928.3	1015.93	190.34	376.41	412.0	854.13	318.57	403.5	981.29	764.36	540.19	483.38	483.38	988.12	647.07	529.06	915.51	651.58	934.76	780.44	703.28	759.08	563.18	1066.48	463.65	389.72	1216.75	1023.0	616.37	1081.39	480.04	616.37	679.29	555.41	435.55	514.56	389.72	389.72	567.1	603.67	463.65	616.37	563.18	409.15	316.37	395.18	536.45	1008.9	915.51
B3GNT1	0.0	0.19	48.18	1208.34	1304.15	1127.35	232.94	1175.27	688.78	571.05	1059.11	1350.18	450.94	258.57	612.11	872.1	642.59	679.29	1199.98	981.29	703.28	854.13	543.96	1167.14	1127.35	674.59	1059.11	878.17	967.76	1119.56	607.87	934.76	775.05	1242.34	343.89	563.18	854.13	1151.06	802.41	954.43	866.07	587.13	813.63	738.29	555.41	708.18	802.41	583.07	332.14	371.22	633.73	713.11	713.11	921.88	392.44	563.18	890.44	1119.56	1030.12
BCO2	0.0	0.4	92.7	291.04	100.13	190.34	76.17	223.41	137.14	91.41	113.56	94.01	71.0	47.84	82.87	262.2	123.5	155.5	356.05	303.44	46.18	124.37	81.14	232.94	305.55	220.32	334.46	114.36	269.6	289.02	49.91	214.27	63.45	267.73	19.11	220.32	723.08	199.85	99.43	161.02	61.68	214.27	157.68	54.72	78.34	26.47	156.59	38.67	155.5	58.3	37.05	136.19	379.04	172.65	103.69	84.04	595.34	89.51	656.11
BHLHB9	0.0	0.16	14.14	97.36	94.67	121.79	73.54	141.02	63.0	70.51	87.65	93.35	56.68	76.17	57.89	102.25	75.11	53.95	110.43	98.04	59.97	73.03	61.25	144.01	99.43	77.25	93.35	105.89	108.9	125.24	69.03	133.36	59.97	111.99	29.48	48.18	129.69	94.01	78.89	98.73	76.71	85.22	88.26	76.17	82.87	60.82	72.01	60.39	107.38	46.84	88.88	96.01	85.82	87.03	77.25	118.43	109.66	129.69	105.89
C11orf63	0.0	0.27	19.53	148.09	182.55	116.78	66.18	123.5	108.9	102.97	127.89	138.1	52.45	48.52	96.01	138.1	74.58	107.38	126.12	111.21	119.26	127.89	84.63	112.77	130.6	117.6	150.17	120.94	156.59	129.69	81.71	103.69	80.57	152.28	52.82	92.7	144.01	132.44	115.16	149.12	115.97	115.16	100.13	100.83	137.14	68.07	125.24	75.64	77.79	67.59	82.29	112.77	100.13	120.94	72.01	110.43	111.99	141.02	163.28
C14orf64	0.0	0.13	0.04	157.68	289.02	241.19	7.88	154.42	83.45	96.01	220.32	134.3	14.89	14.14	26.67	164.42	78.89	73.54	142.01	91.41	59.55	98.04	42.11	194.36	77.79	53.19	108.9	120.1	189.02	115.97	49.21	163.28	110.43	172.65	17.77	76.71	285.03	88.26	97.36	96.68	147.06	258.57	115.16	80.57	74.06	108.14	118.43	69.03	36.53	26.47	49.91	102.97	66.65	120.1	48.18	78.89	144.01	127.89	217.27
C16orf74	141.02	314.17	58.3	733.19	412.0	450.94	95.34	381.68	44.25	101.54	237.86	503.95	47.84	68.07	47.5	536.45	108.9	127.0	417.77	397.93	59.97	150.17	21.47	334.46	493.56	409.15	476.71	297.17	334.46	358.54	40.36	525.39	92.05	387.02	151.22	414.87	587.13	454.09	108.14	309.83	271.48	275.28	164.42	78.89	183.82	220.32	139.07	34.02	79.45	17.64	59.13	249.73	273.37	195.72	75.11	77.25	397.93	277.2	559.28
C22orf46	0.0	0.17	25.35	366.09	351.14	348.71	119.26	316.37	220.32	229.72	327.56	301.33	121.79	41.22	234.57	303.44	134.3	180.02	406.31	343.89	205.5	194.36	175.07	323.03	395.18	180.02	363.56	309.83	403.5	309.83	220.32	323.03	189.02	368.65	146.03	253.23	314.17	351.14	229.72	293.07	158.79	265.87	260.38	181.28	214.27	152.28	209.84	164.42	124.37	65.26	234.57	283.05	256.78	232.94	126.12	202.66	279.14	314.17	503.95
C2orf81	0.0	0.0	5.23	237.86	176.29	147.06	31.22	221.86	91.41	84.63	170.25	110.43	46.5	27.44	91.41	171.45	67.12	84.04	260.38	246.28	88.26	92.05	61.68	221.86	170.25	109.66	149.12	201.25	206.94	185.11	115.97	171.45	120.1	208.38	78.34	77.79	194.36	153.34	132.44	150.17	126.12	80.57	146.03	111.99	63.45	105.15	125.24	36.79	22.26	37.32	95.34	124.37	108.14	137.14	29.06	26.1	163.28	149.12	275.28
C3orf18	0.0	0.18	8.71	660.68	507.46	447.82	166.73	656.11	265.87	373.81	316.37	325.29	92.7	81.14	251.48	483.38	283.05	339.14	447.82	547.75	242.88	332.14	244.57	503.95	518.15	312.0	511.0	368.65	420.68	521.76	309.83	500.46	307.69	551.56	228.13	327.56	497.0	435.55	303.44	444.72	397.93	265.87	435.55	291.04	248.0	232.94	293.07	117.6	185.11	138.1	221.86	379.04	395.18	353.59	164.42	169.07	466.88	426.57	583.07
C8orf12	0.0	0.0	0.0	106.63	115.97	81.14	6.41	150.17	29.48	34.51	35.76	35.5	16.75	4.35	10.47	56.28	14.03	35.25	62.12	53.57	8.71	10.88	26.86	61.68	29.48	21.63	40.36	41.81	73.03	197.09	31.9	88.88	34.02	47.84	3.69	16.15	64.8	33.06	20.56	25.17	40.93	63.89	18.43	21.78	10.55	20.71	28.86	15.8	11.64	18.16	15.22	32.59	75.11	18.03	3.5	6.21	24.99	67.59	27.64
C9orf66	0.0	0.0	0.0	61.25	82.87	78.34	3.96	45.21	15.8	29.48	55.89	67.59	24.46	0.57	25.17	46.84	34.51	46.84	70.01	50.63	13.22	39.79	16.88	81.14	58.71	41.81	37.05	73.54	65.26	45.85	22.26	55.49	64.34	76.17	27.05	38.4	81.71	68.55	36.27	67.12	64.34	55.89	43.32	27.64	28.65	34.02	22.26	10.96	10.0	5.15	29.27	42.11	40.93	45.21	14.56	17.9	75.64	45.53	120.1
CBX1	0.0	0.82	733.19	1757.34	1733.13	2178.83	896.64	1896.65	1051.79	1030.12	1594.73	1870.53	934.76	642.59	954.43	1427.22	921.88	967.76	1605.83	1427.22	1030.12	1088.92	1081.39	1685.71	1519.15	1143.1	1674.06	1551.09	1529.73	1794.29	1037.29	1617.0	1167.14	1950.0	981.29	890.44	1583.71	1561.89	1216.75	1757.34	1159.07	1088.92	1159.07	1225.22	1037.29	1073.91	1104.13	988.12	587.13	638.15	860.08	1127.35	1175.27	1427.22	718.08	1183.45	1572.76	1769.57	1617.0
CC2D2A	0.0	0.0	8.65	435.55	483.38	371.22	158.79	397.93	176.29	246.28	291.04	334.46	121.79	63.89	309.83	490.14	264.03	309.83	529.06	343.89	197.09	318.57	214.27	363.56	483.38	348.71	525.39	287.01	417.77	532.74	209.84	518.15	295.11	441.64	112.77	299.25	309.83	417.77	301.33	480.04	289.02	208.38	201.25	217.27	279.14	221.86	285.03	141.02	185.11	92.05	183.82	264.03	327.56	267.73	118.43	157.68	356.05	403.5	521.76
CCDC11	0.0	0.0	4.94	105.89	144.01	110.43	28.86	85.22	49.56	45.53	112.77	135.24	38.12	15.45	41.22	102.97	41.52	49.21	115.16	97.36	36.27	70.51	45.21	134.3	93.35	62.12	142.01	107.38	113.56	157.68	34.51	68.07	51.71	129.69	38.95	60.39	126.12	86.43	51.35	71.5	67.12	63.0	63.45	44.57	43.32	34.02	75.11	37.05	29.06	9.85	21.78	57.89	93.35	43.02	38.95	51.71	117.6	116.78	147.06
CCDC115	0.0	0.07	353.59	1781.89	1594.73	1870.53	743.43	1594.73	988.12	967.76	1551.09	1551.09	802.41	764.36	909.17	1359.57	947.83	878.17	1617.0	1369.04	909.17	1119.56	854.13	1369.04	1529.73	1340.84	1457.23	1242.34	1477.58	1388.16	981.29	1583.71	1081.39	1639.59	902.89	808.0	1662.49	1745.2	1119.56	1721.16	1073.91	995.0	1175.27	995.0	947.83	934.76	1030.12	813.63	791.35	775.05	1059.11	934.76	1242.34	1073.91	688.78	884.29	1498.22	1551.09	1447.15
CHRNA4	0.0	0.04	1.23	95.34	94.01	167.9	11.55	169.07	48.52	4.31	54.72	48.18	16.63	3.92	32.82	212.78	92.7	5.77	152.28	75.11	5.32	16.63	2.73	140.04	85.22	73.03	161.02	44.57	204.07	180.02	15.91	116.78	18.7	202.66	8.51	7.22	128.79	46.84	4.82	33.06	27.44	14.56	17.64	36.79	14.78	3.96	8.13	3.23	30.78	7.57	1.3	4.98	94.01	111.21	15.91	11.04	115.97	55.1	73.03
CHRNB1	0.0	0.35	229.72	909.17	961.07	660.68	457.25	981.29	591.22	583.07	651.58	616.37	236.21	215.77	389.72	693.58	366.09	460.44	819.3	547.75	389.72	587.13	327.56	723.08	665.29	571.05	555.41	587.13	603.67	693.58	429.54	684.02	559.28	775.05	253.23	450.94	1151.06	775.05	447.82	647.07	748.61	872.1	638.15	460.44	389.72	426.57	532.74	283.05	232.94	316.37	353.59	529.06	559.28	595.34	269.6	371.22	703.28	693.58	693.58
CLIC3	0.0	0.34	318.57	12415.75	14867.79	9540.5	5555.65	6516.03	10512.82	7485.11	12589.08	6745.86	3874.05	1519.15	4210.15	8901.53	8778.97	3794.3	8963.45	4210.15	4358.66	8598.28	4239.45	8963.45	7331.05	7857.29	10883.59	16727.26	7485.11	12415.75	4937.99	5913.33	5329.3	13123.73	1359.57	8078.22	8022.41	7382.04	3443.31	6381.92	15499.21	6250.56	8421.31	3257.52	2739.08	7749.1	2956.17	1583.71	2335.28	1143.1	1208.34	4419.52	8963.45	8022.41	3212.66	5219.6	10014.87	10296.45	19082.0
CNPY4	0.0	0.09	24.46	567.1	540.19	555.41	194.36	629.35	346.29	392.44	384.34	450.94	221.86	95.34	316.37	480.04	309.83	423.61	612.11	525.39	336.79	387.02	351.14	511.0	567.1	283.05	497.0	559.28	450.94	595.34	307.69	575.03	381.68	486.75	249.73	435.55	409.15	441.64	332.14	525.39	395.18	444.72	323.03	229.72	291.04	414.87	363.56	258.57	138.1	161.02	228.13	366.09	426.57	312.0	191.67	194.36	583.07	426.57	507.46
CRMP1	0.0	0.59	25.91	223.41	96.01	152.28	70.51	152.28	102.97	131.51	147.06	111.21	72.52	66.65	73.03	177.53	130.6	101.54	154.42	133.36	89.51	108.9	114.36	181.28	191.67	123.5	255.0	171.45	164.42	164.42	83.45	191.67	92.7	104.42	59.13	54.33	109.66	112.77	85.82	155.5	38.95	64.34	119.26	95.34	71.0	43.63	101.54	110.43	55.1	71.0	69.52	86.43	140.04	85.22	76.71	127.0	176.29	141.02	112.77
CTB-58E17.5	0.0	0.08	0.71	37.85	31.22	43.94	17.25	29.27	19.11	21.47	38.4	41.22	14.78	10.55	25.91	31.0	32.13	30.56	43.94	32.82	27.84	33.06	16.88	38.95	38.4	23.76	29.48	27.84	26.47	36.79	16.63	24.99	16.03	28.45	16.51	22.1	52.08	31.9	28.04	10.31	18.97	28.65	22.75	20.26	17.51	15.22	21.94	29.91	11.38	14.45	18.16	22.75	31.0	23.25	13.83	21.32	37.32	35.76	47.84
CUX1	791.35	878.17	1044.52	3039.3	2895.31	2915.45	1322.37	2758.13	1745.2	1594.73	2739.08	2875.3	1991.0	842.36	1709.26	2537.92	1359.57	1745.2	3280.18	1870.53	1594.73	1583.71	1457.23	2047.0	2935.74	2956.17	2720.15	1883.54	2720.15	2303.12	1583.71	2520.38	1896.65	2627.46	1583.71	1477.58	2645.74	3018.3	1757.34	2976.74	1733.13	1378.57	1936.53	1733.13	1605.83	1794.29	1883.54	1268.46	1844.76	1583.71	1617.0	1477.58	1883.54	2351.53	1498.22	2119.22	2224.63	2351.53	3103.19
DCTD	0.0	0.72	743.43	4512.4	4181.07	5076.84	2004.85	4066.71	2935.74	2434.5	3665.02	4671.57	2451.44	2224.63	2758.13	3820.7	2104.58	2502.97	4268.94	3716.2	2417.67	2240.11	2796.65	3540.14	4388.98	3395.89	4095.0	2956.17	4328.55	3491.39	2468.49	3928.15	2835.7	4388.98	2645.74	2319.15	4836.35	4972.34	2591.27	3589.58	3146.52	3039.3	3168.41	2468.49	2875.3	2451.44	2255.7	2351.53	2434.5	3081.75	2520.38	2796.65	2855.44	3190.46	2335.28	2468.49	3124.78	4903.87	3901.01
DET1	0.0	0.0	23.25	214.27	177.53	181.28	66.18	159.9	135.24	129.69	167.9	126.12	75.11	72.52	129.69	186.4	122.64	105.15	167.9	176.29	118.43	128.79	127.0	171.45	158.79	124.37	161.02	187.71	165.57	212.78	149.12	195.72	128.79	186.4	108.9	118.43	195.72	170.25	139.07	187.71	113.56	130.6	141.02	139.07	131.51	108.14	106.63	115.16	98.04	96.68	142.01	115.97	151.22	102.97	94.67	98.73	177.53	151.22	170.25
DFNA5	0.0	0.55	53.57	460.44	607.87	764.36	258.57	486.75	295.11	409.15	669.92	836.53	82.29	90.77	470.14	323.03	323.03	665.29	518.15	769.69	624.99	514.56	368.65	612.11	412.0	329.84	728.11	543.96	473.41	612.11	208.38	536.45	642.59	612.11	273.37	271.48	616.37	497.0	555.41	607.87	759.08	460.44	351.14	466.88	381.68	397.93	379.04	297.17	249.73	177.53	289.02	633.73	387.02	389.72	209.84	154.42	587.13	514.56	718.08
DHFRL1	0.0	0.0	22.1	143.01	152.28	191.67	33.54	209.84	108.9	114.36	142.01	115.97	53.57	41.81	105.89	108.14	97.36	96.68	156.59	150.17	94.01	120.1	128.79	176.29	139.07	67.59	133.36	156.59	135.24	201.25	107.38	182.55	127.89	148.09	85.82	92.05	146.03	146.03	99.43	172.65	88.26	145.02	107.38	91.41	82.29	88.88	100.13	92.05	41.81	83.45	130.6	100.13	122.64	76.17	55.89	56.28	147.06	141.02	140.04
EFS	0.0	0.95	120.1	579.04	429.54	420.68	123.5	599.49	81.71	229.72	518.15	500.46	137.14	141.02	155.5	674.59	209.84	303.44	480.04	283.05	153.34	244.57	58.3	693.58	878.17	426.57	764.36	303.44	579.04	638.15	132.44	624.99	242.88	669.92	116.78	180.02	432.53	563.18	198.47	460.44	277.2	232.94	295.11	178.77	175.07	147.06	89.51	84.04	60.39	65.26	75.11	239.52	435.55	429.54	142.01	151.22	669.92	543.96	620.67
EPHA6	0.0	0.17	0.08	46.18	32.82	53.19	19.39	36.53	29.06	25.72	68.55	46.84	10.31	1.81	14.56	29.48	13.03	18.03	38.4	48.87	7.82	16.51	15.0	76.71	26.28	13.03	34.75	18.43	46.84	92.05	12.27	38.67	25.91	59.55	28.45	12.0	72.01	52.82	24.99	16.88	30.78	21.63	29.48	42.71	20.26	9.56	28.24	7.94	33.78	24.99	21.63	48.52	34.75	2.58	12.36	13.12	29.48	81.14	26.47
EPHB1	0.0	0.22	7.22	902.89	708.18	559.28	191.67	624.99	109.66	175.07	256.78	356.05	49.21	55.89	91.41	669.92	132.44	141.02	395.18	336.79	135.24	309.83	72.52	490.14	738.29	246.28	540.19	497.0	529.06	409.15	81.71	480.04	145.02	460.44	105.15	69.03	447.82	514.56	187.71	525.39	157.68	206.94	163.28	111.99	114.36	47.17	120.1	73.54	176.29	48.87	113.56	237.86	231.32	109.66	127.0	76.17	684.02	540.19	669.92
EPHX2	0.0	0.19	39.79	1540.37	1651.0	1208.34	866.07	1167.14	693.58	884.29	1088.92	1233.75	583.07	281.09	902.89	1359.57	708.18	802.41	1369.04	1359.57	575.03	928.3	616.37	1437.15	1259.69	1427.22	1487.87	1111.82	1250.98	1540.37	669.92	1208.34	909.17	1427.22	583.07	713.11	1617.0	1304.15	780.44	1151.06	1073.91	967.76	1015.93	591.22	703.28	633.73	733.19	603.67	435.55	185.11	511.0	947.83	1250.98	915.51	607.87	780.44	1295.13	1304.15	1322.37
FAM104B	0.0	0.16	144.01	780.44	830.75	728.11	255.0	698.41	435.55	389.72	660.68	813.63	356.05	191.67	454.09	708.18	379.04	511.0	656.11	591.22	366.09	414.87	466.88	607.87	669.92	587.13	688.78	733.19	698.41	603.67	480.04	674.59	633.73	775.05	435.55	518.15	764.36	713.11	454.09	854.13	599.49	493.56	500.46	493.56	376.41	497.0	447.82	316.37	336.79	237.86	379.04	384.34	417.77	587.13	297.17	426.57	607.87	698.41	775.05
FAM117A	0.0	0.34	63.89	728.11	1030.12	1015.93	265.87	764.36	329.84	503.95	638.15	693.58	511.0	269.6	457.25	660.68	493.56	536.45	819.3	775.05	348.71	599.49	336.79	808.0	988.12	409.15	954.43	703.28	915.51	866.07	384.34	1037.29	493.56	890.44	279.14	368.65	928.3	698.41	466.88	674.59	563.18	607.87	529.06	460.44	507.46	358.54	591.22	262.2	249.73	318.57	420.68	450.94	825.0	563.18	348.71	403.5	981.29	825.0	808.0
FAM213B	0.0	0.57	273.37	547.75	532.74	612.11	175.07	638.15	312.0	361.04	368.65	332.14	166.73	129.69	246.28	483.38	348.71	320.8	563.18	490.14	236.21	320.8	339.14	470.14	480.04	368.65	473.41	473.41	540.19	429.54	258.57	633.73	256.78	543.96	264.03	435.55	420.68	507.46	305.55	403.5	438.59	341.51	336.79	194.36	281.09	248.0	281.09	190.34	153.34	180.02	208.38	334.46	346.29	460.44	176.29	183.82	490.14	466.88	480.04
FAM53B	0.0	0.42	63.89	1175.27	1008.9	842.36	356.05	988.12	463.65	679.29	825.0	796.86	409.15	224.97	414.87	1030.12	713.11	651.58	764.36	878.17	463.65	642.59	351.14	825.0	1015.93	441.64	802.41	830.75	848.22	1015.93	444.72	909.17	551.56	1167.14	182.55	651.58	1008.9	733.19	511.0	764.36	525.39	684.02	624.99	476.71	454.09	493.56	651.58	368.65	567.1	329.84	457.25	583.07	693.58	934.76	346.29	426.57	934.76	890.44	1159.07
