	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.SNMC.0426.SM.4DM5Y	GTEX.1122O.1626.SM.5N9CX	GTEX.111YS.1026.SM.5GZYE	GTEX.146FQ.1126.SM.5NQBM	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.ZAB5.1026.SM.5HL91	GTEX.YF7O.0826.SM.4W21F	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.Q2AH.1026.SM.48TZI	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.U8T8.1226.SM.4E3IH	GTEX.1211K.1426.SM.5FQTF	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.R55D.1526.SM.48FEJ
DNAJC25-GNG10	5.5	269.6	180.02	4.66	273.37	5.77	164.42	10.08	88.26	2.25	4.94	3.44	6.67	2.16	336.79	3.32	3.82	244.57	0.0	0.0	332.14	255.0	301.33	532.74	400.71	389.72	80.01	536.45	389.72	12.74	13.93	36.27	21.47	325.29	13.93	20.26
DSEL	38.67	62.12	58.3	45.53	36.27	35.5	41.81	51.35	42.41	37.32	28.45	40.64	40.93	37.32	37.32	35.76	28.65	43.63	10.31	39.22	116.78	111.99	155.5	126.12	88.26	69.52	97.36	76.17	95.34	46.5	110.43	64.34	78.89	49.91	80.57	52.82
FAM198B	486.75	571.05	293.07	241.19	258.57	152.28	178.77	314.17	339.14	155.5	139.07	215.77	158.79	239.52	281.09	214.27	111.99	131.51	0.0	0.38	1477.58	1044.52	1037.29	616.37	1250.98	1066.48	813.63	647.07	660.68	947.83	480.04	303.44	830.75	353.59	189.02	423.61
FAM92A1	536.45	674.59	616.37	412.0	454.09	264.03	264.03	379.04	256.78	234.57	521.76	376.41	409.15	507.46	381.68	334.46	241.19	379.04	0.0	0.71	728.11	698.41	1073.91	1073.91	708.18	830.75	1104.13	981.29	1008.9	529.06	638.15	813.63	785.88	848.22	660.68	703.28
FOXC2	9.93	12.18	14.14	9.2	10.31	9.48	19.25	41.81	6.26	8.71	5.23	6.67	7.51	14.45	19.82	17.51	5.15	8.32	0.0	0.31	42.11	40.64	15.91	57.89	28.04	32.82	71.0	30.12	12.18	25.35	52.08	8.38	35.5	8.06	18.56	11.91
FREM1	145.02	624.99	55.1	30.12	17.0	19.39	10.63	60.39	10.08	21.01	24.99	12.09	22.43	15.22	43.63	14.89	8.19	37.32	0.0	0.17	127.0	164.42	123.5	126.12	101.54	82.87	125.24	77.79	140.04	156.59	123.5	71.5	206.94	63.89	111.21	98.73
FYN	974.5	1467.37	769.69	620.67	624.99	743.43	555.41	934.76	603.67	435.55	693.58	748.61	642.59	638.15	616.37	595.34	518.15	511.0	0.0	0.96	1388.16	1572.76	830.75	1457.23	1216.75	1909.85	1794.29	1359.57	1286.18	1733.13	2434.5	1104.13	866.07	1685.71	753.83	842.36
GAL	532.74	708.18	967.76	299.25	287.01	137.14	63.89	490.14	3.96	92.7	384.34	23.59	255.0	239.52	417.77	6.57	6.67	90.77	0.0	0.44	693.58	129.69	221.86	759.08	2777.33	281.09	674.59	738.29	1183.45	684.02	1286.18	228.13	493.56	780.44	559.28	77.25
GALNT9	28.65	73.03	11.47	8.32	12.09	2.71	1.97	4.21	1.79	19.25	10.55	1.66	4.39	11.64	6.78	2.94	1.85	10.55	0.0	0.25	48.87	13.32	11.73	102.25	12.93	7.4	19.39	27.25	18.56	11.82	13.62	26.86	24.81	22.92	17.0	10.24
GNAO1	1617.0	5791.62	221.86	99.43	346.29	59.13	412.0	343.89	173.85	248.0	341.51	61.68	159.9	173.85	150.17	172.65	52.08	135.24	0.0	0.32	633.73	872.1	1628.26	1733.13	1159.07	2224.63	2032.85	2816.11	2104.58	1498.22	1977.24	2451.44	3515.68	2209.26	1594.73	1551.09
GRID1	45.85	59.55	32.59	29.06	13.52	13.22	13.52	20.26	18.7	16.75	16.27	18.03	14.14	2.2	25.91	9.27	14.35	14.03	0.0	0.22	111.99	231.32	108.14	153.34	221.86	121.79	115.16	208.38	180.02	60.39	178.77	169.07	158.79	175.07	221.86	136.19
HIST1H4F	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94	5.23	5.02	13.12	1.23	4.7	1.55	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HPCAL1	872.1	733.19	283.05	555.41	559.28	397.93	507.46	769.69	642.59	457.25	775.05	629.35	698.41	543.96	674.59	503.95	454.09	381.68	0.0	0.67	723.08	679.29	435.55	1119.56	796.86	860.08	559.28	587.13	595.34	575.03	529.06	389.72	460.44	460.44	486.75	503.95
IGDCC3	8.32	10.55	1.22	0.0	0.56	0.0	0.0	1.1	0.58	0.0	2.14	0.0	0.57	1.01	2.61	0.0	0.52	0.99	0.0	0.05	5.02	4.43	2.41	6.67	10.71	3.63	10.63	1.69	13.83	4.39	3.26	1.66	0.62	0.74	2.25	1.45
IGFBP4	17317.18	33455.53	12502.12	7695.57	9540.5	3955.48	3443.31	13776.25	4769.75	4543.8	9474.59	5479.15	7180.15	8078.22	12415.75	4903.87	4736.79	9876.98	3515.68	547.75	38430.46	58250.19	21026.65	40341.14	25005.23	23820.89	22072.07	22850.48	24832.5	15824.9	28525.2	19754.96	30999.42	33688.23	18052.61	23009.42
IL17RD	138.1	511.0	98.73	25.72	80.57	15.8	11.3	78.89	33.3	15.8	52.45	12.36	40.36	34.75	104.42	29.48	31.45	54.33	0.0	0.1	258.57	155.5	165.57	351.14	325.29	237.86	173.85	208.38	212.78	97.36	176.29	40.36	134.3	78.89	89.51	61.25
INPP4B	115.16	100.13	96.68	30.56	38.4	77.79	73.03	55.1	54.72	54.33	42.11	31.22	29.27	29.48	56.28	105.15	29.48	34.51	0.0	0.58	111.99	204.07	208.38	195.72	211.31	320.8	343.89	444.72	281.09	244.57	379.04	470.14	327.56	500.46	325.29	194.36
INSM1	8.13	3.0	0.0	1.69	3.69	0.0	0.0	1.83	0.0	0.0	0.0	6.21	0.0	0.0	3.92	1.6	0.0	0.0	0.0	0.01	64.8	3.82	1.5	117.6	6.67	77.79	1.89	1.93	9.06	3.99	0.96	0.0	1.46	1.35	0.53	0.0
IRAK1BP1	77.25	102.97	40.64	64.34	54.33	32.36	39.22	79.45	55.49	89.51	117.6	43.02	36.27	56.68	74.06	47.17	21.78	37.05	0.0	0.0	96.01	53.19	102.25	151.22	178.77	95.34	127.0	77.25	182.55	49.56	50.98	59.55	56.28	57.89	97.36	50.98
ISLR	1909.85	2758.13	3349.13	1037.29	1896.65	595.34	323.03	3103.19	490.14	718.08	1135.2	575.03	738.29	1096.5	1806.78	872.1	323.03	665.29	320.8	187.71	3847.29	3820.7	2573.36	6381.92	3955.48	1950.0	5913.33	3146.52	4239.45	884.29	5872.48	1769.57	5147.73	4903.87	4543.8	3443.31
KCNQ3	13.03	28.04	22.92	7.75	4.39	2.97	2.53	7.94	1.43	1.41	6.26	0.52	5.54	3.89	9.78	0.48	1.19	0.87	0.0	0.36	17.0	11.47	15.45	14.24	26.86	10.39	28.86	21.01	52.08	12.45	10.71	6.73	15.8	7.51	11.73	6.94
KERA	92.05	34.02	90.14	1.22	2.36	0.0	0.44	19.25	1.3	0.88	6.11	0.0	1.27	0.83	1.69	0.8	2.18	0.0	0.0	0.0	31.22	67.12	36.01	62.56	153.34	5.87	40.64	38.12	80.57	4.74	3.92	1.58	23.08	3.03	32.13	15.91
KLF14	0.0	2.94	0.2	0.59	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.09	8.51	0.39	0.88	10.24	1.58	1.3	2.68	3.08	0.8	2.29	4.21	2.27	2.34	1.36	0.0	0.0
LINGO1	53.57	96.01	36.79	16.88	21.32	23.42	40.07	111.21	14.24	9.2	29.27	17.25	37.05	29.91	76.17	9.27	5.41	11.82	0.0	0.37	59.55	92.7	61.25	115.16	173.85	85.82	59.13	38.4	52.45	28.04	215.77	23.08	59.13	24.99	72.52	13.72
LIX1	52.82	73.54	75.64	8.99	8.58	3.72	2.56	11.38	0.0	1.87	11.73	0.95	10.08	5.77	8.58	0.52	0.0	2.51	0.0	0.04	34.75	63.0	100.83	95.34	102.97	88.26	80.01	122.64	201.25	32.82	26.86	38.67	85.22	35.0	36.79	13.32
LPPR4	18.7	29.7	29.27	5.59	8.65	6.21	3.66	19.11	3.66	1.73	18.03	4.46	3.53	16.15	26.1	3.53	1.46	2.2	0.0	0.0	40.93	59.55	44.25	74.06	19.39	46.18	32.13	19.53	30.78	26.28	28.24	16.15	24.63	8.51	19.53	21.01
MEI1	275.28	6.94	11.91	18.16	21.63	46.5	18.29	33.3	33.54	10.55	58.71	29.06	19.82	17.13	87.03	23.08	29.7	15.68	0.0	0.54	70.51	98.73	89.51	99.43	118.43	218.79	24.28	32.36	21.78	297.17	71.5	20.86	122.64	47.5	72.01	29.7
MMP14	1639.59	2367.9	2119.22	1088.92	1233.75	1721.16	1417.35	1359.57	967.76	1225.22	947.83	1015.93	1037.29	1030.12	1119.56	1437.15	1286.18	1594.73	3874.05	412.0	4450.27	2835.7	1963.57	3690.52	1135.2	1628.26	2061.24	1950.0	1769.57	2367.9	5633.22	1977.24	2816.11	2609.3	2777.33	2255.7
MMP16	44.89	74.06	18.7	14.03	14.89	9.7	13.32	16.15	11.91	9.56	15.45	6.94	5.96	10.63	12.18	11.38	7.51	13.52	0.0	0.02	28.65	48.52	36.53	33.3	47.84	30.78	51.71	80.01	43.94	24.99	18.97	25.35	38.12	17.9	29.27	40.36
MRPL30	441.64	194.36	50.98	70.01	37.32	43.02	55.1	193.01	25.54	59.13	140.04	36.01	43.94	49.56	0.0	53.19	66.18	74.06	0.0	0.0	49.56	150.17	91.41	204.07	214.27	120.1	155.5	260.38	229.72	429.54	186.4	181.28	0.0	303.44	33.78	101.54
MXRA7	15715.58	36357.37	30999.42	8538.88	8901.53	5479.15	5872.48	9740.98	8191.0	6471.02	8022.41	6381.92	8901.53	6699.25	10014.87	6607.01	6207.38	8134.41	0.0	0.78	9540.5	8840.04	11345.82	12502.12	10959.3	11992.79	11745.96	12676.65	13215.02	11504.21	11424.74	12764.83	13492.72	14361.31	9945.68	12589.08
MXRA8	2976.74	4210.15	2777.33	1191.69	1757.34	819.3	571.05	2835.7	878.17	651.58	1159.07	836.53	954.43	1540.37	2090.03	780.44	674.59	825.0	0.0	1.01	4298.64	3146.52	2090.03	5147.73	2075.59	3168.41	3168.41	2193.99	2682.69	1477.58	6471.02	1963.57	4639.29	2664.15	5594.3	2935.74
NKX2-5	0.0	2.53	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	2.58	0.0	2.46	3.17	0.0	6.78	0.0	0.0	0.0	0.26	339.14	397.93	231.32	981.29	616.37	0.61	10.71	2.56	30.34	0.0	4.98	0.31	1.66	6.67	8421.31	6516.03
NOTCH3	249.73	497.0	921.88	195.72	532.74	332.14	332.14	825.0	392.44	198.47	575.03	255.0	376.41	358.54	703.28	341.51	291.04	228.13	0.0	0.87	909.17	1388.16	624.99	1044.52	547.75	808.0	854.13	376.41	417.77	241.19	1250.98	239.52	647.07	249.73	599.49	368.65
NOTUM	1.83	2.23	0.44	0.45	2.12	0.0	0.0	1.07	1.06	2.25	0.0	0.0	8.45	3.92	0.0	0.43	0.0	0.0	0.0	0.12	8.06	5.63	5.77	11.91	2.39	15.11	2.51	0.0	1.73	0.0	0.1	5.32	3.14	0.08	4.5	0.61
NRG3	16.51	32.36	5.92	3.41	0.95	3.82	1.38	3.69	3.66	0.99	4.21	0.0	3.53	0.0	7.51	1.35	3.11	1.83	0.0	0.0	5.96	59.13	30.78	13.42	85.82	16.88	58.71	69.03	67.12	19.11	20.26	30.78	34.26	11.55	70.51	24.81
NRSN1	60.82	94.67	66.65	21.63	7.4	1.79	2.2	17.77	0.61	7.75	6.21	2.63	20.11	10.0	10.55	0.0	4.28	6.01	0.0	0.0	50.98	17.9	32.82	53.57	96.68	13.42	62.12	87.03	108.9	16.88	29.06	8.13	39.5	30.12	28.65	16.63
NTRK2	59.13	75.11	73.54	17.64	24.11	14.56	31.45	44.57	9.2	13.93	11.73	5.32	26.86	23.25	54.72	8.85	8.71	12.55	0.0	0.33	116.78	163.28	97.36	152.28	85.82	73.03	262.2	187.71	228.13	102.25	366.09	126.12	182.55	80.01	156.59	102.25
OLFML2B	551.56	1540.37	176.29	53.19	55.49	45.21	40.93	193.01	50.27	41.52	146.03	36.27	92.05	38.4	170.25	66.18	30.12	74.58	0.0	0.6	890.44	587.13	269.6	1662.49	312.0	460.44	480.04	244.57	457.25	102.25	551.56	126.12	323.03	253.23	115.97	129.69
OPTC	21.16	204.07	18.43	1.64	4.13	0.97	0.65	6.73	4.74	2.07	8.51	2.89	2.36	2.89	2.41	0.0	2.39	5.15	0.0	0.0	7.17	4.17	24.46	12.27	8.19	7.28	2.73	10.79	7.22	1.46	4.94	3.44	4.28	5.11	6.78	3.5
PBX3	1508.65	3372.43	1135.2	947.83	769.69	708.18	723.08	819.3	723.08	915.51	961.07	796.86	909.17	713.11	967.76	1111.82	733.19	708.18	0.0	0.6	1950.0	2555.58	4607.24	2895.31	2682.69	2739.08	2417.67	3168.41	3103.19	974.5	1127.35	2032.85	1769.57	1769.57	2119.22	2287.2
PCED1B	127.0	279.14	41.22	27.84	43.94	26.1	17.13	82.87	44.25	28.04	56.28	37.32	34.02	63.45	59.13	14.89	19.68	45.85	0.0	0.47	118.43	163.28	147.06	169.07	173.85	201.25	92.05	74.06	127.0	204.07	166.73	84.63	156.59	70.01	239.52	145.02
PDE4D	389.72	854.13	236.21	198.47	211.31	190.34	226.54	208.38	312.0	198.47	198.47	146.03	131.51	151.22	264.03	202.66	72.52	111.21	59.97	48.18	633.73	693.58	961.07	796.86	713.11	796.86	679.29	928.3	780.44	595.34	387.02	450.94	638.15	688.78	320.8	603.67
PDGFRB	1073.91	1407.55	2104.58	872.1	1313.23	1135.2	1073.91	1519.15	1015.93	819.3	1457.23	1023.0	1508.65	1175.27	1733.13	961.07	981.29	1023.0	0.0	1.03	2537.92	2104.58	1572.76	2434.5	769.69	1844.76	1991.0	1167.14	1397.83	1225.22	1950.0	620.67	1233.75	842.36	842.36	981.29
PLEKHA2	483.38	796.86	264.03	339.14	275.28	137.14	127.0	189.02	173.85	183.82	201.25	209.84	205.5	220.32	249.73	136.19	195.72	165.57	703.28	1159.07	392.44	332.14	791.35	769.69	616.37	878.17	748.61	698.41	802.41	941.27	698.41	802.41	612.11	567.1	698.41	587.13
PPAPDC1A	88.26	93.35	65.72	26.28	36.27	14.56	10.96	38.95	25.17	17.9	57.89	15.22	43.32	26.47	43.02	17.51	18.43	12.0	0.0	0.17	107.38	24.63	114.36	146.03	66.65	39.5	36.27	48.52	73.03	10.88	55.49	28.65	73.03	108.9	113.56	15.45
PRKCB	273.37	525.39	228.13	63.0	285.03	28.24	30.56	237.86	54.72	44.57	66.18	16.88	80.57	124.37	395.18	21.63	28.04	76.17	49.91	176.29	603.67	551.56	1030.12	612.11	665.29	825.0	684.02	808.0	603.67	860.08	629.35	884.29	1369.04	802.41	733.19	633.73
PRNP	7642.41	15824.9	3847.29	1857.6	1721.16	2224.63	3589.58	2148.82	2367.9	1991.0	2875.3	2520.38	2148.82	1359.57	2148.82	3103.19	2451.44	2224.63	0.0	0.91	5147.73	8363.13	9279.58	7081.29	8247.98	5954.47	8658.09	9409.14	10014.87	5995.9	5006.93	7081.29	5954.47	7331.05	8963.45	8191.0
PTRHD1	698.41	246.28	158.79	271.48	293.07	277.2	241.19	473.41	162.14	206.94	493.56	318.57	327.56	343.89	336.79	265.87	277.2	336.79	0.0	0.27	669.92	351.14	444.72	848.22	507.46	612.11	450.94	327.56	339.14	327.56	438.59	392.44	555.41	607.87	301.33	426.57
RAMP2	1313.23	1295.13	1151.06	1697.45	764.36	693.58	624.99	1572.76	1066.48	884.29	708.18	1551.09	1233.75	1104.13	1059.11	967.76	624.99	356.05	0.0	0.12	2209.26	2224.63	2090.03	3928.15	2287.2	2664.15	3395.89	1977.24	1909.85	1487.87	5995.9	1350.18	1674.06	974.5	1819.35	1832.01
RBM11	44.89	74.06	21.94	10.88	17.25	10.24	18.03	10.71	3.5	8.71	19.82	4.13	2.03	8.0	12.45	2.07	16.27	3.32	0.0	0.36	24.11	24.81	111.21	43.02	116.78	68.55	58.71	67.59	81.14	1159.07	26.28	9.27	58.71	63.0	28.65	15.56
RCN1	1369.04	1304.15	1066.48	842.36	995.0	536.45	748.61	1111.82	660.68	536.45	1008.9	599.49	878.17	764.36	1208.34	656.11	688.78	941.27	0.0	0.87	2682.69	1561.89	1561.89	2061.24	1216.75	1487.87	1477.58	1477.58	1268.46	2384.37	1709.26	1268.46	1639.59	2047.0	1167.14	1651.0
RHOJ	532.74	866.07	791.35	255.0	518.15	265.87	295.11	599.49	291.04	275.28	616.37	212.78	220.32	256.78	463.65	199.85	151.22	258.57	54.72	228.13	759.08	1242.34	1008.9	1159.07	854.13	718.08	1304.15	1896.65	2047.0	651.58	532.74	1059.11	1066.48	669.92	1487.87	896.64
