	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13QIC.2326.SM.5LU5N	GTEX.13OVG.1426.SM.5K7VP	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11EQ9.2026.SM.5P9JI
DLEU7	17.0	4.86	4.46	1.22	6.11	5.28	5.36	13.22	5.68	9.78	15.11	4.94	5.77	7.0	5.02	6.67	6.89	7.34	2.71	2.73	11.3	8.13	9.2	18.16	6.41	2.12	2.63	9.2	0.0	7.88	11.55	10.55	10.24	1.16	3.23	1.77	5.82	0.0	2.43
FAM161A	102.25	25.54	25.35	65.72	59.97	46.84	32.82	109.66	23.76	68.07	45.85	60.39	75.64	21.63	35.25	48.18	46.5	95.34	35.25	70.01	122.64	103.69	71.5	73.54	84.63	32.13	39.22	36.01	12.18	48.87	81.14	78.34	101.54	34.75	11.04	14.89	9.41	0.09	20.11
FANCL	607.87	289.02	217.27	299.25	295.11	291.04	267.73	934.76	221.86	595.34	486.75	279.14	381.68	189.02	208.38	384.34	339.14	283.05	199.85	454.09	819.3	638.15	493.56	854.13	507.46	273.37	244.57	312.0	122.64	169.07	819.3	463.65	698.41	229.72	197.09	287.01	111.99	0.48	162.14
GCNT6	2.66	1.16	0.0	0.0	0.79	0.0	1.48	3.0	0.0	1.97	2.32	1.28	1.2	0.0	0.8	2.32	3.2	0.0	0.0	2.27	2.73	5.15	1.1	3.29	1.38	1.68	0.0	1.69	0.0	0.0	0.0	0.0	2.23	1.08	0.0	0.0	0.0	0.0	0.0
GLIPR1L2	76.71	39.22	35.5	24.63	71.0	37.05	36.53	87.65	57.89	74.58	97.36	84.04	70.01	46.18	25.54	72.52	47.84	77.79	43.02	119.26	153.34	103.69	128.79	209.84	59.55	51.35	52.08	99.43	7.94	42.71	129.69	46.84	35.0	21.94	1.68	0.78	2.01	0.0	3.47
GOPC	679.29	368.65	195.72	406.31	423.61	444.72	454.09	884.29	327.56	674.59	587.13	432.53	476.71	381.68	363.56	460.44	497.0	441.64	336.79	547.75	866.07	780.44	665.29	1199.98	490.14	323.03	341.51	555.41	229.72	320.8	902.89	543.96	624.99	329.84	264.03	318.57	291.04	87.65	159.9
METAP1D	127.0	102.97	75.64	133.36	96.01	126.12	87.65	202.66	108.9	178.77	120.94	130.6	114.36	85.22	133.36	113.56	120.1	161.02	94.67	161.02	140.04	195.72	118.43	223.41	163.28	129.69	77.25	140.04	66.65	90.77	241.19	82.29	165.57	59.97	63.0	46.84	17.9	0.32	94.67
MOB1B	336.79	201.25	78.34	170.25	214.27	194.36	199.85	395.18	110.43	332.14	334.46	173.85	232.94	157.68	153.34	181.28	214.27	177.53	169.07	289.02	432.53	307.69	246.28	358.54	297.17	191.67	139.07	255.0	123.5	109.66	571.05	224.97	470.14	138.1	82.29	65.72	97.36	0.46	71.5
MORN4	190.34	126.12	81.71	106.63	88.26	92.05	111.99	229.72	82.29	178.77	152.28	114.36	152.28	80.57	102.97	130.6	141.02	105.15	70.01	128.79	277.2	194.36	151.22	346.29	193.01	94.01	56.68	127.89	34.75	78.34	176.29	125.24	237.86	59.13	63.0	38.4	43.94	0.25	40.36
MTA3	896.64	669.92	463.65	842.36	802.41	547.75	543.96	934.76	703.28	872.1	872.1	642.59	872.1	432.53	624.99	642.59	674.59	674.59	620.67	902.89	1806.78	981.29	638.15	1286.18	738.29	624.99	454.09	612.11	414.87	379.04	902.89	599.49	974.5	353.59	395.18	791.35	638.15	214.27	521.76
NARS2	429.54	309.83	251.48	277.2	242.88	260.38	271.48	444.72	206.94	339.14	403.5	323.03	327.56	224.97	234.57	249.73	279.14	316.37	214.27	320.8	356.05	642.59	518.15	2224.63	358.54	237.86	258.57	265.87	175.07	108.9	417.77	258.57	403.5	159.9	158.79	84.63	107.38	0.08	262.2
NUDT12	381.68	244.57	112.77	169.07	279.14	231.32	231.32	379.04	212.78	403.5	303.44	265.87	255.0	204.07	226.54	217.27	293.07	218.79	147.06	136.19	995.0	603.67	435.55	447.82	348.71	87.65	99.43	361.04	31.9	162.14	450.94	432.53	775.05	171.45	50.63	43.02	82.87	0.3	175.07
OSGEPL1	267.73	154.42	100.13	176.29	148.09	195.72	125.24	363.56	143.01	173.85	223.41	183.82	190.34	118.43	129.69	182.55	194.36	175.07	147.06	199.85	273.37	346.29	223.41	325.29	191.67	157.68	140.04	186.4	63.45	142.01	387.02	205.5	214.27	75.11	55.89	41.52	26.67	0.0	67.12
PHF14	738.29	417.77	307.69	480.04	406.31	392.44	387.02	813.63	334.46	651.58	483.38	412.0	529.06	363.56	395.18	503.95	497.0	395.18	381.68	603.67	785.88	813.63	733.19	1023.0	579.04	595.34	361.04	616.37	429.54	293.07	764.36	540.19	669.92	387.02	384.34	275.28	229.72	0.43	384.34
PPIL3	842.36	764.36	363.56	454.09	587.13	409.15	444.72	1447.15	277.2	1127.35	1008.9	884.29	660.68	693.58	748.61	928.3	825.0	785.88	314.17	318.57	1529.73	1304.15	866.07	1073.91	679.29	674.59	486.75	836.53	353.59	275.28	813.63	967.76	902.89	616.37	237.86	103.69	301.33	0.38	242.88
PRRC1	1104.13	769.69	336.79	603.67	738.29	684.02	642.59	1286.18	575.03	909.17	1001.93	698.41	674.59	791.35	571.05	599.49	698.41	571.05	532.74	607.87	1313.23	1044.52	1104.13	1277.29	1044.52	703.28	447.82	1151.06	460.44	500.46	791.35	679.29	1242.34	575.03	412.0	466.88	633.73	0.39	483.38
RAG1	19.82	17.38	8.85	14.67	16.39	16.51	18.03	21.01	16.27	22.43	23.59	16.39	21.01	12.83	22.59	22.43	21.32	18.56	14.14	38.95	48.87	29.06	11.38	23.08	25.91	9.63	8.65	30.56	4.7	10.88	54.33	19.97	26.47	18.29	4.06	6.57	6.57	0.0	5.63
RAI14	624.99	376.41	117.6	183.82	146.03	206.94	529.06	323.03	164.42	384.34	693.58	381.68	237.86	269.6	239.52	381.68	460.44	155.5	255.0	341.51	638.15	423.61	603.67	660.68	603.67	450.94	228.13	536.45	144.01	100.83	435.55	363.56	624.99	246.28	172.65	249.73	403.5	0.72	229.72
RBM43	248.0	201.25	87.03	155.5	220.32	185.11	135.24	271.48	120.1	279.14	255.0	251.48	239.52	151.22	173.85	218.79	255.0	264.03	134.3	218.79	379.04	379.04	320.8	543.96	158.79	104.42	92.05	297.17	36.01	90.14	486.75	444.72	262.2	86.43	34.51	22.75	37.32	0.06	35.0
RPGRIP1L	149.12	80.01	22.75	47.84	63.0	56.28	78.34	164.42	49.56	120.1	111.99	62.56	58.71	52.08	59.97	66.18	83.45	62.56	55.89	53.57	141.02	145.02	115.97	112.77	98.73	77.79	42.41	86.43	40.36	40.36	119.26	50.98	128.79	35.0	43.94	38.67	29.48	0.0	25.35
SEC24D	819.3	616.37	195.72	303.44	429.54	529.06	571.05	796.86	366.09	532.74	995.0	480.04	299.25	624.99	395.18	423.61	669.92	299.25	285.03	366.09	688.78	620.67	540.19	1044.52	921.88	470.14	373.81	902.89	206.94	156.59	521.76	473.41	848.22	529.06	384.34	152.28	387.02	218.79	275.28
SLC35F5	988.12	723.08	432.53	571.05	961.07	780.44	624.99	1268.46	616.37	890.44	981.29	693.58	607.87	703.28	638.15	638.15	796.86	665.29	567.1	638.15	1208.34	819.3	785.88	2240.11	825.0	620.67	500.46	447.82	454.09	356.05	988.12	708.18	884.29	813.63	543.96	332.14	743.43	191.67	480.04
SLC4A1AP	444.72	366.09	265.87	384.34	332.14	366.09	406.31	423.61	361.04	403.5	361.04	366.09	400.71	379.04	368.65	387.02	417.77	366.09	366.09	356.05	587.13	571.05	450.94	713.11	389.72	356.05	361.04	444.72	293.07	303.44	599.49	363.56	521.76	356.05	332.14	432.53	356.05	131.51	339.14
SPEF2	242.88	78.34	33.78	71.0	66.65	51.35	63.0	409.15	43.02	303.44	167.9	125.24	105.89	49.91	40.36	114.36	105.15	105.15	44.89	106.63	460.44	341.51	214.27	395.18	198.47	36.53	37.05	80.01	14.56	48.87	371.22	69.03	237.86	37.59	1.03	5.92	9.13	0.18	21.63
TCTN3	1030.12	954.43	536.45	629.35	728.11	848.22	848.22	1242.34	612.11	819.3	1225.22	693.58	753.83	733.19	607.87	808.0	802.41	679.29	679.29	616.37	1369.04	1104.13	915.51	1721.16	981.29	708.18	518.15	842.36	532.74	540.19	1135.2	503.95	947.83	713.11	435.55	387.02	334.46	0.46	406.31
THNSL1	114.36	64.8	61.25	78.34	71.5	69.52	66.18	199.85	47.5	150.17	83.45	82.87	90.14	47.17	54.72	85.22	91.41	78.89	54.33	156.59	260.38	260.38	187.71	379.04	90.77	43.32	30.34	81.14	25.54	56.68	148.09	50.98	185.11	34.02	32.59	23.76	6.21	0.0	25.72
TMTC2	234.57	131.51	57.89	54.72	103.69	109.66	124.37	277.2	51.71	145.02	236.21	93.35	120.1	98.73	120.94	119.26	148.09	89.51	87.03	135.24	409.15	204.07	158.79	255.0	208.38	78.34	53.57	143.01	35.0	51.71	155.5	206.94	341.51	92.05	28.24	51.35	117.6	0.45	134.3
TRAM1L1	133.36	74.06	28.65	41.52	52.45	36.01	56.28	113.56	24.81	107.38	93.35	56.28	82.87	40.36	40.36	62.12	58.3	48.87	24.46	62.12	255.0	175.07	154.42	185.11	66.65	43.32	23.59	48.87	12.83	32.82	224.97	61.25	141.02	24.46	1.22	10.08	16.63	0.0	7.06
TRIM6	149.12	171.45	56.68	195.72	153.34	142.01	107.38	113.56	154.42	150.17	209.84	102.25	157.68	101.54	128.79	130.6	153.34	63.45	110.43	167.9	435.55	212.78	232.94	234.57	164.42	64.34	111.21	202.66	9.13	57.89	195.72	61.68	166.73	26.86	38.67	30.34	60.39	0.35	41.22
UPP2	2.27	0.77	2.84	0.85	0.79	0.78	1.11	3.72	1.97	2.34	2.32	0.85	6.01	0.37	1.6	1.55	1.19	1.27	0.8	4.43	7.57	2.92	1.5	1.45	2.78	0.0	1.1	2.84	0.78	1.25	4.94	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.01
WDSUB1	373.81	175.07	190.34	283.05	303.44	232.94	190.34	532.74	142.01	366.09	248.0	239.52	309.83	217.27	181.28	231.32	195.72	307.69	185.11	397.93	376.41	500.46	412.0	518.15	244.57	135.24	204.07	336.79	108.9	202.66	303.44	212.78	297.17	150.17	37.59	75.11	60.39	0.17	154.42
ZBTB41	281.09	129.69	58.3	127.0	178.77	142.01	143.01	291.04	102.25	246.28	202.66	140.04	162.14	127.89	115.16	145.02	173.85	124.37	115.16	228.13	493.56	351.14	283.05	307.69	212.78	74.06	125.24	187.71	88.88	93.35	329.84	173.85	441.64	71.5	55.1	24.81	38.67	44.89	35.5
ZFYVE16	563.18	346.29	153.34	314.17	435.55	334.46	336.79	713.11	301.33	521.76	583.07	332.14	412.0	301.33	312.0	343.89	389.72	395.18	271.48	532.74	665.29	791.35	444.72	836.53	460.44	269.6	198.47	409.15	236.21	236.21	915.51	395.18	624.99	291.04	104.42	109.66	147.06	147.06	102.97
ZNF140	571.05	343.89	212.78	275.28	307.69	323.03	334.46	728.11	248.0	591.22	454.09	291.04	387.02	242.88	253.23	351.14	409.15	295.11	246.28	432.53	909.17	587.13	616.37	842.36	476.71	265.87	224.97	297.17	156.59	186.4	769.69	368.65	748.61	253.23	183.82	127.0	121.79	0.22	159.9
ZNF491	42.41	32.82	19.39	40.07	33.78	30.12	28.24	51.71	26.47	59.55	54.33	36.79	43.63	34.75	41.81	45.53	51.35	46.84	31.9	31.0	76.71	76.17	72.52	90.14	35.0	29.91	15.22	31.45	9.41	37.32	47.84	32.13	37.59	23.42	0.6	2.63	4.58	0.15	9.56
ZNF568	209.84	151.22	80.01	111.99	146.03	115.97	139.07	249.73	95.34	182.55	176.29	111.99	149.12	113.56	109.66	164.42	169.07	120.94	90.77	164.42	312.0	291.04	214.27	373.81	183.82	173.85	87.65	165.57	52.82	55.1	186.4	256.78	221.86	94.01	3.59	4.98	9.7	0.45	23.76
ZNF680	412.0	211.31	100.83	155.5	176.29	163.28	159.9	447.82	104.42	397.93	289.02	173.85	343.89	109.66	127.0	177.53	199.85	220.32	125.24	283.05	915.51	426.57	389.72	521.76	301.33	155.5	157.68	301.33	66.65	73.03	532.74	209.84	674.59	101.54	37.85	31.67	24.99	0.41	36.79
ZNF91	486.75	299.25	145.02	262.2	258.57	249.73	198.47	665.29	195.72	551.56	426.57	281.09	366.09	185.11	204.07	339.14	297.17	299.25	215.77	293.07	808.0	698.41	389.72	674.59	361.04	231.32	182.55	279.14	73.54	121.79	620.67	287.01	536.45	204.07	37.32	138.1	60.39	0.72	92.05
