	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EM.A2P2.01A.11R.A206.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3UP.01A.11R.A22L.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.EL.A3GW.01A.11R.A206.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A2N8.01A.11R.A18C.07
GOLGA8S	1.85	4.35	5.28	3.23	3.14	1.31	4.54	4.62	4.7	4.5	10.47	0.06	0.0	14.35	58.71	36.01	44.57	58.71	39.79	22.59	36.53	35.25	16.15	21.47
GYPE	3.82	1.89	4.98	0.0	4.66	1.69	3.86	2.92	3.29	0.82	3.69	0.92	0.0	8.51	63.0	16.15	5.41	47.17	53.19	5.63	24.63	13.83	9.63	16.75
HDAC1	836.53	791.35	1369.04	629.35	1023.0	866.07	974.5	878.17	684.02	708.18	1073.91	450.94	0.0	2090.03	4607.24	2915.45	3564.78	4095.0	3874.05	3190.46	2573.36	3820.7	2537.92	3257.52
HIST1H4B	0.0	3.35	0.0	0.0	0.0	5.19	2.16	0.0	5.41	0.0	0.0	0.0	0.0	0.0	11.04	0.0	0.0	8.65	7.75	3.26	5.92	1.97	2.27	11.04
HLA-DMB	1427.22	145.02	1369.04	198.47	1199.98	197.09	1427.22	1135.2	1008.9	808.0	890.44	221.86	0.0	1551.09	10585.95	3515.68	3768.09	4328.55	2319.15	2384.37	1883.54	3467.27	3190.46	6516.03
HMGA2	2.36	0.0	0.0	0.0	0.16	47.17	0.15	0.2	0.0	0.09	0.95	1.35	738.29	209.84	647.07	197.09	189.02	438.59	387.02	387.02	579.04	356.05	493.56	209.84
HSPA4	759.08	674.59	909.17	599.49	518.15	1088.92	693.58	466.88	1322.37	909.17	872.1	540.19	1030.12	1015.93	2178.83	1151.06	1388.16	842.36	909.17	1427.22	1119.56	1519.15	1066.48	1268.46
IDE	208.38	157.68	269.6	177.53	273.37	145.02	193.01	189.02	140.04	170.25	205.5	180.02	0.0	329.84	295.11	260.38	336.79	283.05	299.25	339.14	316.37	466.88	392.44	339.14
IFNGR2	819.3	289.02	555.41	371.22	819.3	651.58	656.11	591.22	802.41	616.37	748.61	559.28	0.0	2555.58	4671.57	2004.85	3540.14	2178.83	3491.39	2061.24	2104.58	2796.65	1857.6	3443.31
IMPAD1	248.0	218.79	400.71	353.59	460.44	336.79	267.73	356.05	167.9	320.8	507.46	336.79	0.0	603.67	1407.55	329.84	860.08	543.96	540.19	514.56	493.56	896.64	688.78	563.18
INSC	8.25	5.15	10.0	1.2	3.76	4.1	1.19	15.91	2.58	0.38	8.25	7.51	0.0	1.97	43.32	6.01	23.08	20.56	5.45	8.0	3.2	47.5	2.01	5.06
IPP	131.51	103.69	156.59	111.99	162.14	101.54	136.19	89.51	75.11	121.79	206.94	103.69	0.0	348.71	318.57	224.97	312.0	211.31	242.88	248.0	255.0	316.37	351.14	271.48
KCNAB1	35.76	7.57	65.26	9.41	30.34	15.91	38.4	49.91	17.64	10.96	15.34	3.69	0.0	80.57	412.0	126.12	426.57	511.0	343.89	97.36	111.99	305.55	169.07	295.11
KCNJ11	8.13	2.68	11.3	4.28	9.41	0.19	49.21	4.43	7.17	6.73	6.16	40.07	0.0	57.89	525.39	177.53	312.0	325.29	265.87	54.72	297.17	309.83	115.16	231.32
KDM4C	71.0	67.59	132.44	88.88	101.54	40.93	111.99	104.42	104.42	126.12	155.5	78.89	0.0	384.34	547.75	343.89	470.14	656.11	438.59	429.54	361.04	473.41	417.77	447.82
KDM4E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	7.17	2.32	0.78	0.0	1.73	0.0	1.28	5.06	0.0	1.22
KHDC1L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	100.13	2.61	19.53	6.31	19.82	23.42	11.13	5.5	0.0	14.24
KLHL18	167.9	187.71	186.4	49.56	140.04	133.36	205.5	92.05	109.66	295.11	199.85	182.55	0.0	480.04	587.13	267.73	514.56	438.59	529.06	423.61	327.56	511.0	293.07	656.11
KRT27	0.0	3.56	0.0	0.0	0.0	0.0	2.86	13.72	5.54	5.32	0.0	0.0	0.0	78.34	435.55	20.56	198.47	206.94	149.12	105.89	32.13	236.21	10.24	246.28
KTN1	1015.93	1583.71	1651.0	1437.15	1936.53	1250.98	1487.87	1832.01	1191.69	1388.16	1733.13	1322.37	0.0	2555.58	3280.18	2609.3	2956.17	2384.37	2645.74	2485.67	2384.37	3018.3	2777.33	2664.15
LDLRAP1	559.28	389.72	417.77	251.48	629.35	327.56	567.1	361.04	698.41	429.54	748.61	473.41	0.0	463.65	1073.91	624.99	896.64	665.29	775.05	414.87	555.41	785.88	395.18	688.78
LIPG	1407.55	454.09	748.61	143.01	1697.45	703.28	1143.1	291.04	1216.75	1870.53	2400.97	273.37	0.0	1359.57	6337.83	2367.9	5555.65	4903.87	3982.99	480.04	1508.65	5441.3	2502.97	3081.75
LRP4	19.25	65.26	12.0	7.0	125.24	48.18	17.38	5.68	2.58	20.41	9.34	0.0	0.0	2032.85	4543.8	1096.5	3168.41	3235.01	3768.09	5711.87	1883.54	4512.4	2956.17	3190.46
LRRC38	0.0	0.57	3.23	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	1.99	14.24	0.49	2.46	2.78	5.19	0.0	0.51	4.24	0.0	2.25
LRRC57	123.5	117.6	111.21	73.54	127.0	98.04	112.77	88.26	43.63	64.34	124.37	115.97	0.0	255.0	480.04	256.78	376.41	454.09	366.09	273.37	242.88	426.57	314.17	384.34
LRWD1	281.09	223.41	223.41	262.2	260.38	303.44	187.71	312.0	246.28	346.29	293.07	271.48	0.0	269.6	1001.93	412.0	532.74	540.19	620.67	490.14	426.57	620.67	334.46	460.44
MCIDAS	0.0	0.0	34.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36	48.87	38.95	26.67	32.36	30.34	9.34	19.82	49.56	17.38	27.25
MDS2	1.64	4.03	0.0	0.0	0.0	1.17	0.46	2.34	0.0	0.85	0.0	2.71	0.0	7.4	50.63	8.13	33.3	23.42	42.11	8.19	3.66	38.67	4.82	33.3
MOSPD2	43.32	81.14	90.77	85.82	111.99	78.34	67.12	69.52	31.0	40.36	140.04	43.32	0.0	223.41	473.41	172.65	366.09	193.01	177.53	162.14	264.03	218.79	221.86	201.25
MS4A12	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	12.27	74.06	10.31	4.21	0.68	10.24	15.68	8.19	3.06	12.0	5.02
MSH2	107.38	46.18	96.01	59.97	116.78	42.41	87.65	98.73	74.58	65.26	109.66	23.25	0.0	392.44	395.18	353.59	336.79	343.89	289.02	395.18	303.44	490.14	518.15	318.57
MTUS1	791.35	656.11	967.76	1651.0	961.07	473.41	743.43	1037.29	486.75	620.67	703.28	2319.15	921.88	2148.82	2047.0	1519.15	1119.56	6164.49	4481.23	825.0	1685.71	3081.75	2148.82	3146.52
NFAM1	61.68	9.06	90.77	8.38	120.94	48.52	126.12	84.04	13.72	18.29	16.39	30.56	93.35	55.89	293.07	31.45	87.03	85.22	236.21	58.3	45.85	165.57	100.83	244.57
NIPA1	50.27	43.63	155.5	78.34	223.41	28.04	47.17	126.12	62.12	63.45	163.28	41.81	0.0	205.5	450.94	119.26	728.11	220.32	190.34	120.94	118.43	277.2	162.14	275.28
NLK	111.21	120.1	241.19	108.9	148.09	93.35	183.82	212.78	127.0	152.28	231.32	113.56	147.06	305.55	669.92	281.09	500.46	476.71	348.71	241.19	289.02	551.56	301.33	327.56
NLRP2	43.32	0.0	23.08	0.0	2.36	6.94	8.51	3.99	12.93	8.65	0.56	5.92	0.0	220.32	327.56	63.89	251.48	11.64	353.59	4.9	19.25	246.28	180.02	255.0
NPNT	19.97	10.71	450.94	30.56	10.71	17.51	183.82	117.6	58.71	575.03	529.06	9.63	878.17	6561.36	20881.4	8421.31	12676.65	12502.12	11909.94	9474.59	16843.62	12676.65	7589.61	8247.98
NVL	114.36	127.0	185.11	132.44	178.77	85.82	107.38	151.22	138.1	141.02	167.9	45.85	0.0	351.14	591.22	412.0	457.25	473.41	361.04	381.68	420.68	406.31	371.22	476.71
ORAI2	147.06	15.8	57.49	10.08	156.59	29.7	35.5	107.38	9.48	33.54	26.28	7.28	171.45	909.17	2468.49	551.56	1457.23	1437.15	1583.71	1183.45	507.46	1991.0	941.27	866.07
OSTF1	909.17	698.41	961.07	947.83	1369.04	660.68	1051.79	1023.0	1073.91	759.08	1081.39	693.58	813.63	842.36	2047.0	974.5	1769.57	1674.06	1605.83	1001.93	842.36	1583.71	1030.12	1674.06
PAK6	38.12	3.23	1.79	0.0	40.07	2.78	9.7	3.92	3.44	17.51	5.63	0.0	145.02	206.94	283.05	215.77	316.37	356.05	341.51	187.71	262.2	432.53	234.57	269.6
PARP8	201.25	83.45	251.48	275.28	107.38	49.21	166.73	195.72	616.37	102.97	543.96	201.25	197.09	656.11	825.0	571.05	665.29	660.68	599.49	429.54	656.11	713.11	656.11	490.14
PDE8B	13.52	12.27	41.52	10.08	18.97	9.34	12.09	15.68	15.8	10.55	45.85	23.42	0.0	674.59	3901.01	1685.71	2816.11	5076.84	2163.77	500.46	2061.24	3768.09	1977.24	1844.76
PIBF1	59.97	185.11	85.82	84.63	119.26	85.22	103.69	132.44	169.07	111.99	161.02	78.34	0.0	497.0	1199.98	325.29	514.56	429.54	543.96	289.02	500.46	500.46	358.54	684.02
PIGM	75.64	64.34	119.26	58.71	140.04	61.25	143.01	105.15	49.56	98.04	115.97	48.52	76.71	146.03	162.14	113.56	165.57	132.44	158.79	170.25	118.43	251.48	163.28	154.42
RBBP9	312.0	295.11	518.15	353.59	514.56	339.14	476.71	429.54	253.23	224.97	738.29	381.68	264.03	753.83	1119.56	470.14	1037.29	563.18	842.36	466.88	642.59	796.86	514.56	1023.0
RCAN3	96.68	24.63	24.28	33.3	16.39	12.93	58.3	56.68	19.97	15.0	83.45	17.0	0.0	293.07	656.11	228.13	591.22	493.56	414.87	204.07	211.31	400.71	260.38	267.73
RNF145	146.03	314.17	336.79	103.69	363.56	198.47	163.28	273.37	199.85	262.2	228.13	82.29	995.0	1561.89	2555.58	1225.22	1883.54	1498.22	2367.9	1225.22	1407.55	2367.9	1651.0	1721.16
RNF212	7.17	2.73	33.06	25.54	8.85	17.51	10.71	6.11	43.02	18.03	11.21	6.57	0.0	269.6	226.54	262.2	457.25	669.92	674.59	295.11	107.38	633.73	64.8	239.52
RP11-219B4.5	1.75	0.0	1.45	2.27	1.95	2.25	0.95	3.63	0.0	3.82	0.0	0.0	0.0	10.24	19.39	7.17	11.38	5.06	17.25	4.74	12.0	18.97	17.0	19.11
RP11-683L23.1	2.58	0.89	9.56	0.0	2.92	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97	50.63	4.74	23.42	50.98	36.27	13.93	1.97	9.06	8.99	28.24
SEC63	1030.12	1066.48	1225.22	1359.57	825.0	1259.69	1151.06	981.29	884.29	1044.52	1519.15	988.12	759.08	1923.14	3372.43	1977.24	2835.7	1950.0	1561.89	2075.59	1909.85	2739.08	2209.26	1781.89
SETD8	256.78	273.37	277.2	114.36	279.14	211.31	299.25	255.0	193.01	187.71	198.47	194.36	575.03	813.63	1199.98	796.86	1111.82	1350.18	1208.34	743.43	909.17	1313.23	791.35	954.43
SLC16A9	189.02	0.75	55.89	0.56	52.08	1.87	46.5	103.69	5.11	12.18	158.79	0.33	0.0	753.83	1883.54	186.4	848.22	400.71	1498.22	555.41	633.73	1127.35	463.65	860.08
SLC20A2	591.22	1963.57	808.0	896.64	1001.93	890.44	890.44	1340.84	775.05	819.3	571.05	825.0	0.0	1437.15	3303.0	1896.65	2384.37	1963.57	2720.15	941.27	1561.89	2178.83	1594.73	1551.09
SLC30A5	412.0	234.57	403.5	438.59	343.89	358.54	299.25	309.83	336.79	387.02	514.56	312.0	0.0	872.1	1183.45	941.27	1340.84	764.36	1023.0	967.76	902.89	1378.57	934.76	1250.98
SLC37A1	118.43	40.93	94.67	37.59	122.64	39.22	105.15	29.48	119.26	69.52	67.12	164.42	0.0	480.04	414.87	490.14	356.05	392.44	493.56	379.04	358.54	591.22	447.82	363.56
SLC39A10	47.5	43.94	116.78	43.02	49.91	14.67	60.82	40.93	17.9	14.03	92.7	10.08	186.4	2148.82	2004.85	723.08	1806.78	3018.3	2335.28	1350.18	1313.23	3190.46	1304.15	1806.78
SLC39A12	0.95	0.47	1.73	0.67	0.0	1.1	1.5	0.54	0.56	2.39	1.33	0.53	0.0	0.0	95.34	1.85	68.07	2.14	30.12	1.22	0.89	8.65	1.31	39.5
SLIT3	23.76	9.56	148.09	8.58	35.0	19.11	63.89	106.63	33.3	32.13	107.38	2.2	0.0	603.67	1407.55	476.71	1167.14	1233.75	1151.06	974.5	947.83	1175.27	1015.93	733.19
SNTB2	20.41	27.64	43.94	13.22	78.34	37.59	42.71	32.59	20.86	38.95	76.17	20.26	116.78	234.57	400.71	212.78	271.48	237.86	239.52	139.07	253.23	256.78	212.78	145.02
SPAST	68.07	87.03	96.68	59.97	108.14	82.87	94.67	89.51	80.57	69.03	100.83	53.57	0.0	205.5	454.09	104.42	356.05	190.34	183.82	201.25	148.09	265.87	201.25	194.36
SRCIN1	191.67	84.63	75.11	106.63	111.99	72.01	102.25	96.01	231.32	166.73	66.65	64.34	0.0	93.35	223.41	178.77	135.24	194.36	246.28	163.28	248.0	191.67	283.05	108.14
SSB	567.1	669.92	954.43	674.59	813.63	503.95	848.22	665.29	967.76	603.67	1304.15	423.61	0.0	2148.82	2915.45	2591.27	2591.27	2591.27	3303.0	2287.2	2400.97	3349.13	2104.58	2816.11
SSBP2	87.03	36.27	129.69	25.17	51.35	16.03	84.63	64.34	108.14	79.45	115.97	31.9	0.0	738.29	3665.02	713.11	1806.78	6792.79	3665.02	728.11	1457.23	4450.27	1104.13	3081.75
ST6GAL2	15.0	10.63	64.8	21.78	35.76	10.31	12.18	23.93	35.5	52.82	149.12	26.86	0.0	476.71	1242.34	819.3	1008.9	1127.35	1073.91	642.59	532.74	1721.16	638.15	753.83
ST6GALNAC3	8.38	6.31	16.63	5.32	9.13	23.93	12.64	19.11	5.11	12.93	19.11	10.55	0.0	177.53	507.46	127.0	406.31	603.67	293.07	143.01	154.42	728.11	291.04	713.11
SVOPL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94	0.0	0.0	0.0	74.58	351.14	55.89	208.38	55.49	323.03	55.49	44.25	92.7	23.76	140.04
TALDO1	5112.16	4512.4	4481.23	5954.47	6294.04	6250.56	4298.64	5006.93	5076.84	4388.98	3124.78	5329.3	0.0	3443.31	15607.02	5041.77	12415.75	7331.05	6164.49	6294.04	4736.79	6294.04	3982.99	10296.45
TAS1R1	4.98	2.03	0.0	2.89	0.93	2.86	1.35	2.66	2.73	1.64	4.82	2.2	0.0	1.16	38.4	1.08	40.93	16.75	32.13	0.0	0.43	3.59	1.91	21.94
TBX22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63	59.55	36.27	61.68	40.36	21.47	12.83	23.25	27.25	3.14	14.35
TBX3	457.25	1111.82	435.55	198.47	1037.29	1191.69	341.51	450.94	78.34	947.83	543.96	96.68	0.0	1883.54	2163.77	1923.14	2032.85	2240.11	2758.13	1883.54	2777.33	2997.45	1936.53	2133.97
TF	3406832.48	2825352.59	2068278.89	1739208.14	1.271475112E7	2279047.19	4165330.83	8273118.55	3007221.12	2232145.06	2375828.71	1355129.16	0.0	8.38	5.73	9.2	7.28	2.76	8.51	7.0	13.83	2.25	5.59	6.36
THUMPD3	454.09	409.15	429.54	395.18	447.82	295.11	379.04	397.93	318.57	361.04	351.14	283.05	0.0	551.56	642.59	674.59	624.99	612.11	555.41	575.03	575.03	759.08	651.58	718.08
TM6SF1	24.28	5.28	94.67	14.67	22.26	5.23	45.21	47.17	10.08	21.63	19.97	8.06	0.0	173.85	447.82	232.94	497.0	376.41	412.0	136.19	214.27	497.0	289.02	412.0
TMC3	0.78	0.04	0.64	1.2	1.48	0.0	0.64	0.97	0.53	1.33	0.97	0.09	0.0	16.88	98.04	4.06	87.03	82.87	27.64	20.71	4.46	23.59	8.0	29.7
TMEM108	1.11	3.63	3.23	0.0	1.23	0.0	3.2	13.42	5.82	8.92	4.58	0.0	0.0	157.68	813.63	129.69	1277.29	1519.15	1233.75	348.71	381.68	954.43	341.51	669.92
