	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.J8.A3YG.01A.11R.A22U.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.WHSE.0626.SM.4RGNF
ANKRD10	450.94	529.06	616.37	507.46	647.07	473.41	988.12	0.0	1096.5	170.25	1572.76	1277.29	1359.57	2163.77	3372.43	493.56	1781.89	1674.06	1697.45	1651.0	2004.85	2090.03	1066.48	1923.14	1794.29	2367.9	1167.14	1183.45	1572.76	1936.53	1561.89	1250.98	2287.2	1199.98	1733.13	813.63	1359.57	2271.4	1199.98	1208.34	1183.45	1183.45	2090.03	902.89	1883.54	1447.15	1769.57	1733.13	1111.82	2895.31	1857.6	1674.06	1477.58	1191.69	1023.0	2417.67	1457.23	1369.04	1794.29	1359.57	2591.27	2104.58	2303.12	1277.29	3280.18	2875.3	1745.2	1781.89	2335.28	1870.53	1991.0	1259.69	1313.23	2935.74	1250.98	1477.58	1572.76
ANKZF1	381.68	297.17	269.6	314.17	212.78	215.77	316.37	0.0	214.27	83.45	934.76	384.34	733.19	1208.34	1350.18	395.18	825.0	693.58	808.0	769.69	988.12	1127.35	616.37	575.03	1127.35	1277.29	607.87	612.11	688.78	1233.75	915.51	441.64	1407.55	490.14	1199.98	525.39	884.29	1508.65	703.28	476.71	647.07	603.67	1119.56	376.41	728.11	638.15	854.13	941.27	599.49	1477.58	1059.11	1081.39	336.79	571.05	463.65	1551.09	638.15	708.18	1088.92	438.59	1183.45	981.29	961.07	633.73	1259.69	1832.01	819.3	872.1	1066.48	909.17	1143.1	909.17	563.18	1437.15	450.94	878.17	941.27
AP000974.1	0.0	0.61	0.53	0.55	1.19	0.39	0.77	0.0	1.19	0.0	11.38	5.02	1.08	6.31	8.0	1.31	4.24	1.14	8.19	2.18	4.35	8.51	1.11	1.99	4.98	8.65	1.83	3.11	2.76	4.03	2.36	4.06	5.19	1.19	7.34	1.68	3.26	6.26	1.11	2.89	3.08	2.2	4.1	1.17	6.21	6.21	3.82	3.26	2.76	6.01	5.68	7.82	2.46	3.11	1.13	8.0	2.73	3.86	4.74	3.44	4.24	3.38	5.77	1.68	3.2	10.71	4.98	7.46	3.59	4.82	2.23	5.28	2.2	9.85	3.92	5.92	0.88
AP003068.6	4.66	1.89	3.32	2.1	7.63	2.34	3.86	0.0	5.5	0.0	16.39	12.74	16.39	35.0	29.27	8.0	19.82	12.74	19.53	26.28	27.84	26.28	3.29	12.27	30.78	31.22	7.0	11.91	9.93	25.17	13.62	10.31	34.51	7.88	23.08	7.88	20.41	40.07	20.86	12.55	20.86	16.75	28.65	10.96	24.46	17.64	21.63	22.26	10.63	33.54	24.63	27.25	11.91	9.34	12.55	43.94	15.91	15.34	24.63	14.03	44.57	21.16	26.86	15.68	49.21	59.97	20.26	18.7	29.06	29.91	24.11	20.41	7.82	39.22	9.85	13.52	11.47
APBB3	182.55	81.14	143.01	92.7	351.14	172.65	297.17	0.0	224.97	29.7	688.78	493.56	769.69	1259.69	1359.57	180.02	866.07	743.43	842.36	802.41	1001.93	1023.0	397.93	738.29	1268.46	1044.52	480.04	688.78	688.78	1044.52	860.08	493.56	1350.18	571.05	1350.18	470.14	1104.13	1350.18	669.92	599.49	612.11	607.87	1225.22	265.87	1001.93	693.58	769.69	759.08	579.04	1340.84	748.61	954.43	753.83	460.44	221.86	1498.22	563.18	642.59	1216.75	728.11	1286.18	1044.52	896.64	595.34	1674.06	2319.15	753.83	854.13	1277.29	941.27	934.76	748.61	642.59	1605.83	457.25	660.68	323.03
ASXL1	412.0	258.57	241.19	314.17	241.19	307.69	305.55	0.0	423.61	166.73	669.92	728.11	559.28	660.68	902.89	612.11	571.05	483.38	497.0	412.0	872.1	941.27	273.37	490.14	642.59	633.73	551.56	395.18	579.04	607.87	470.14	579.04	651.58	395.18	563.18	417.77	341.51	836.53	529.06	500.46	842.36	567.1	921.88	265.87	426.57	417.77	518.15	791.35	470.14	947.83	738.29	579.04	575.03	483.38	368.65	708.18	507.46	603.67	603.67	409.15	842.36	684.02	518.15	486.75	1167.14	830.75	423.61	679.29	629.35	728.11	529.06	607.87	559.28	651.58	466.88	514.56	1250.98
ATAT1	177.53	58.71	132.44	109.66	117.6	76.71	92.05	0.0	78.89	22.75	239.52	183.82	214.27	334.46	486.75	129.69	217.27	195.72	231.32	232.94	356.05	316.37	136.19	146.03	336.79	281.09	172.65	185.11	185.11	262.2	239.52	132.44	339.14	120.94	224.97	141.02	201.25	438.59	194.36	170.25	262.2	176.29	314.17	142.01	237.86	232.94	237.86	214.27	189.02	395.18	244.57	329.84	150.17	145.02	136.19	384.34	181.28	197.09	255.0	161.02	397.93	307.69	275.28	141.02	444.72	450.94	211.31	198.47	289.02	241.19	269.6	283.05	143.01	397.93	159.9	228.13	208.38
ATG16L2	113.56	113.56	74.58	45.21	251.48	175.07	237.86	0.0	267.73	182.55	647.07	532.74	540.19	728.11	909.17	244.57	555.41	339.14	444.72	406.31	819.3	642.59	255.0	281.09	981.29	775.05	249.73	373.81	387.02	878.17	384.34	264.03	941.27	303.44	775.05	323.03	518.15	848.22	366.09	251.48	381.68	483.38	981.29	281.09	785.88	503.95	571.05	738.29	267.73	1023.0	514.56	848.22	287.01	312.0	201.25	743.43	293.07	409.15	638.15	312.0	693.58	669.92	521.76	289.02	1397.83	1051.79	480.04	555.41	1313.23	791.35	665.29	802.41	323.03	961.07	295.11	379.04	351.14
AVIL	5.5	8.19	28.24	39.5	2.48	8.06	6.16	0.0	52.45	9.78	81.14	21.32	88.26	376.41	387.02	23.76	101.54	125.24	204.07	70.51	202.66	417.77	29.06	75.64	157.68	56.28	81.14	39.79	84.04	117.6	111.21	88.26	295.11	61.25	134.3	18.29	96.01	199.85	94.01	64.8	98.04	64.8	279.14	33.06	195.72	143.01	132.44	107.38	40.07	518.15	133.36	146.03	73.54	52.45	20.41	253.23	120.94	158.79	212.78	103.69	323.03	149.12	241.19	45.85	486.75	579.04	67.59	38.95	215.77	189.02	136.19	90.77	113.56	309.83	24.28	65.26	55.89
B3GAT2	2.29	1.77	3.53	0.0	0.82	0.0	0.4	0.0	3.96	0.0	6.41	4.06	4.7	9.93	16.75	5.54	5.92	3.82	6.06	6.52	10.55	11.04	1.83	7.57	10.71	9.34	4.03	6.11	4.78	9.63	5.82	4.39	10.0	6.11	7.94	4.86	5.28	11.82	3.0	4.39	9.48	3.59	8.25	3.99	10.08	3.63	5.54	7.06	1.81	17.25	8.65	5.06	6.11	2.84	4.98	13.52	8.25	5.96	10.79	7.57	17.13	10.39	9.34	3.66	15.56	18.97	10.16	8.06	12.64	10.39	5.41	6.26	5.96	8.58	4.94	3.82	6.26
C1orf147	1.16	0.72	1.83	0.0	1.58	0.39	2.63	0.0	0.0	1.31	12.18	1.3	2.34	14.89	8.58	0.0	5.23	5.06	5.36	2.94	9.34	10.96	3.59	1.38	20.41	5.77	3.32	4.03	3.53	8.06	2.53	3.72	7.22	1.3	5.45	0.0	4.1	9.48	5.96	2.48	7.4	7.11	12.09	3.29	11.47	1.22	4.1	7.63	2.36	18.43	5.5	7.82	1.3	2.25	1.85	9.13	4.7	3.53	3.96	2.14	10.79	6.06	9.34	2.41	4.54	14.35	6.67	12.36	8.19	10.96	3.56	12.45	1.2	7.88	7.11	5.68	1.55
C3orf35	2.34	1.85	1.58	2.07	2.43	0.82	0.43	0.0	6.89	0.23	18.43	13.03	28.65	29.27	60.39	12.93	18.43	19.11	28.24	23.42	42.71	35.76	10.88	22.92	47.17	26.86	10.31	18.43	10.79	40.93	14.89	19.39	36.27	17.13	32.36	14.56	28.86	40.36	15.56	23.08	16.88	17.13	22.1	14.14	24.63	29.27	17.38	30.12	7.88	54.33	24.81	27.44	26.28	13.32	5.15	44.89	18.16	18.84	34.26	25.91	68.55	40.64	29.48	14.03	85.22	59.97	20.86	35.76	47.84	19.97	40.93	18.56	21.32	42.11	12.93	18.43	29.48
C3orf62	50.27	32.59	68.55	86.43	72.52	100.13	127.0	0.0	109.66	89.51	181.28	88.26	116.78	153.34	189.02	108.14	126.12	158.79	136.19	128.79	208.38	123.5	115.97	96.68	226.54	186.4	143.01	100.83	123.5	118.43	120.94	94.01	199.85	80.57	90.77	89.51	122.64	169.07	101.54	78.34	94.67	101.54	166.73	143.01	190.34	134.3	178.77	143.01	112.77	199.85	121.79	171.45	103.69	75.11	48.18	167.9	120.1	158.79	102.97	195.72	217.27	178.77	176.29	102.25	249.73	234.57	115.97	131.51	138.1	163.28	105.15	204.07	117.6	173.85	107.38	195.72	105.15
C6orf163	5.02	0.0	1.87	3.56	9.06	4.17	1.91	0.0	4.39	1.11	7.22	31.45	20.71	22.75	27.25	16.88	12.36	10.16	15.91	13.72	16.88	20.56	4.58	19.68	17.25	27.44	3.35	10.31	7.22	10.47	6.11	14.03	17.0	21.32	15.34	8.45	11.47	11.38	15.68	12.93	12.64	9.41	12.45	19.68	22.92	6.84	17.13	15.91	7.22	21.63	12.64	17.64	10.88	7.22	6.46	18.97	8.78	9.93	16.27	29.27	9.48	31.9	14.56	6.84	31.22	25.35	13.93	10.96	33.54	15.0	5.11	11.55	11.13	26.28	8.78	9.56	7.17
CAPRIN2	70.51	120.94	57.49	173.85	70.01	59.97	83.45	0.0	142.01	15.8	209.84	316.37	173.85	253.23	363.56	275.28	176.29	185.11	224.97	159.9	309.83	262.2	65.26	379.04	228.13	289.02	143.01	248.0	172.65	241.19	169.07	201.25	217.27	267.73	236.21	191.67	146.03	293.07	154.42	131.51	182.55	206.94	303.44	127.89	221.86	163.28	182.55	194.36	132.44	325.29	185.11	177.53	229.72	164.42	147.06	295.11	180.02	172.65	224.97	264.03	275.28	279.14	226.54	108.14	314.17	363.56	175.07	143.01	246.28	211.31	202.66	205.5	151.22	285.03	136.19	153.34	150.17
CCDC116	1.93	0.71	1.41	1.85	1.22	1.91	0.41	0.0	1.5	0.64	0.0	2.53	4.17	11.91	8.19	3.69	4.62	3.11	6.11	3.59	8.38	8.06	3.0	3.56	13.83	1.68	3.99	3.29	2.97	7.34	6.57	1.71	8.58	2.53	6.21	3.66	4.82	6.36	4.28	2.41	8.85	2.34	9.06	4.66	5.36	4.28	4.06	7.22	6.11	7.88	4.98	4.62	4.74	4.03	1.71	9.34	4.82	4.24	4.06	5.19	9.34	6.21	9.48	4.94	5.87	11.64	3.26	7.57	8.45	5.32	12.74	2.86	2.97	8.71	5.68	5.15	2.39
CDK3	40.36	16.51	26.28	24.11	39.79	33.54	41.52	0.0	68.55	5.36	180.02	90.77	251.48	371.22	423.61	68.55	201.25	186.4	212.78	217.27	316.37	279.14	117.6	149.12	339.14	343.89	75.64	124.37	139.07	244.57	195.72	140.04	486.75	120.94	220.32	120.94	267.73	412.0	129.69	100.83	112.77	154.42	287.01	100.13	205.5	162.14	195.72	220.32	87.65	514.56	173.85	373.81	96.68	158.79	78.89	368.65	165.57	155.5	281.09	100.13	409.15	358.54	258.57	115.97	514.56	483.38	165.57	181.28	348.71	249.73	221.86	236.21	126.12	320.8	113.56	132.44	186.4
CDRT4	17.9	14.03	25.91	32.13	120.1	32.59	3.56	0.0	67.59	0.73	152.28	33.54	251.48	420.68	890.44	82.87	69.03	208.38	358.54	248.0	414.87	170.25	87.65	285.03	579.04	457.25	79.45	165.57	163.28	400.71	78.34	148.09	591.22	28.65	305.55	190.34	246.28	595.34	67.12	46.5	142.01	152.28	309.83	239.52	642.59	343.89	177.53	503.95	45.85	802.41	136.19	358.54	191.67	151.22	32.59	540.19	244.57	117.6	267.73	265.87	902.89	473.41	688.78	166.73	1127.35	703.28	283.05	178.77	460.44	242.88	540.19	102.25	50.98	866.07	299.25	77.25	256.78
CEP164	129.69	232.94	125.24	202.66	76.71	94.67	182.55	183.82	105.15	70.51	432.53	277.2	376.41	435.55	603.67	170.25	332.14	273.37	334.46	277.2	551.56	540.19	228.13	329.84	525.39	497.0	287.01	262.2	376.41	409.15	277.2	332.14	698.41	281.09	343.89	248.0	325.29	629.35	325.29	212.78	432.53	305.55	441.64	262.2	334.46	297.17	356.05	417.77	289.02	603.67	361.04	473.41	228.13	260.38	236.21	555.41	376.41	327.56	384.34	191.67	603.67	511.0	409.15	244.57	567.1	629.35	301.33	423.61	480.04	376.41	371.22	466.88	314.17	547.75	260.38	332.14	303.44
COLQ	4.28	8.51	1.38	10.0	26.1	44.89	34.51	0.0	23.42	2.12	57.89	35.25	47.17	48.87	80.57	19.11	37.05	20.71	25.72	39.79	58.3	61.68	15.68	43.02	81.14	99.43	24.63	29.48	40.64	61.25	35.0	37.85	66.18	15.91	36.79	18.29	31.9	105.15	29.91	21.94	53.57	30.56	70.51	25.91	47.17	31.0	58.71	42.11	13.03	115.16	37.05	71.0	15.34	33.78	14.14	68.55	32.59	30.12	29.91	35.76	85.82	78.89	43.02	27.05	115.16	72.01	31.22	29.27	39.79	37.05	62.12	39.79	28.04	63.45	25.91	33.06	24.99
CREBZF	221.86	122.64	140.04	323.03	172.65	150.17	220.32	0.0	318.57	45.21	748.61	536.45	607.87	878.17	981.29	314.17	660.68	587.13	669.92	540.19	1008.9	836.53	279.14	759.08	947.83	1159.07	435.55	693.58	595.34	872.1	555.41	454.09	995.0	507.46	928.3	403.5	583.07	866.07	420.68	457.25	551.56	616.37	808.0	351.14	536.45	432.53	591.22	785.88	414.87	1081.39	878.17	693.58	417.77	503.95	647.07	1088.92	536.45	612.11	842.36	486.75	1167.14	921.88	825.0	518.15	1250.98	1350.18	674.59	830.75	1001.93	915.51	559.28	669.92	511.0	860.08	379.04	616.37	890.44
