	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
C11orf82	77.25	102.97	52.45	10.55	12.27	21.32	283.05	366.09	119.26	23.42	17.51	11.91	23.08	29.27	2.25	7.17	6.26	11.55	21.94	86.43	61.68	189.02	11.04	20.26	22.1	13.93	18.03	20.86	70.51	23.25	14.03	31.22	45.21	18.7	19.39	55.49	54.72	28.24	31.22	26.47	75.64	10.39	83.45	22.92	22.43	72.01	61.25	46.84	37.59	18.03	2.86	17.64	11.73	7.69	14.67	13.62	1.95	8.32	4.66	18.03	7.06	6.11	2.27	13.52	9.48	10.16	16.63	7.57	29.91	12.36	6.57	41.52	25.35	4.7	22.26	12.0	18.7	12.83	16.27	22.26	9.34	4.24	37.59	27.44	6.67	18.97	30.56	17.25	2.2	9.7	26.1	7.82	4.1	17.64	21.94	8.19	11.64	29.27	13.42	18.84	11.91	28.86	1.31	11.04	3.41	4.62	18.84	43.94	22.43	16.63	5.28	3.53	3.92	15.34	14.56	35.76	11.55	24.99	11.21	8.58	14.78	20.26	9.2	4.62	11.38	27.64	51.71	55.49	38.12	218.79	249.73	17.9	13.42	3.92	211.31	214.27	73.03	101.54	181.28
C16orf59	271.48	186.4	212.78	13.42	18.7	10.47	486.75	647.07	35.25	45.85	58.71	24.81	27.25	120.1	30.78	41.22	19.82	53.19	53.19	423.61	351.14	551.56	43.32	125.24	289.02	44.57	44.25	26.67	191.67	65.72	44.25	76.17	253.23	51.71	47.5	53.95	209.84	158.79	48.87	119.26	217.27	38.12	420.68	198.47	20.41	563.18	153.34	155.5	23.93	17.9	30.34	13.93	18.56	3.41	10.16	12.36	12.36	16.03	13.62	58.3	14.45	2.14	0.0	12.0	15.68	11.64	17.0	9.85	10.31	12.93	11.64	15.11	59.13	15.34	29.06	19.82	9.34	19.39	42.11	8.71	7.63	16.88	22.92	16.15	12.0	31.45	42.71	6.16	10.47	10.96	10.16	5.36	16.15	2.39	10.55	9.27	10.47	57.89	11.21	29.48	23.93	41.52	11.3	11.04	14.56	12.36	33.54	26.67	5.11	11.73	7.82	6.31	21.78	62.12	28.04	66.18	23.25	17.38	11.38	3.96	45.85	18.16	59.55	7.22	19.68	6.78	392.44	256.78	373.81	202.66	493.56	105.89	59.97	34.75	147.06	473.41	314.17	567.1	825.0
C1orf170	38.95	98.73	83.45	1.79	14.24	2.84	55.89	31.0	48.87	72.01	52.45	8.45	8.71	16.03	26.86	19.53	17.25	6.36	18.97	31.45	69.52	23.76	26.1	26.28	152.28	19.25	14.67	27.05	2.03	13.32	17.64	14.24	27.84	3.14	5.87	24.63	19.53	44.57	30.78	43.94	78.34	21.94	28.24	39.22	17.0	3.08	1.95	28.04	8.65	2.68	2.46	4.39	7.75	4.1	2.27	5.87	1.55	1.62	2.89	47.5	11.04	7.69	3.14	8.19	4.21	2.14	6.41	8.13	1.03	1.0	0.0	6.89	8.58	3.92	5.28	10.16	9.27	4.94	15.22	6.78	40.64	4.5	2.39	1.25	2.46	0.35	6.36	1.87	11.55	14.67	1.03	34.51	1.11	4.74	27.44	14.56	4.9	7.69	8.32	4.39	8.19	2.27	2.92	10.55	1.45	16.88	4.5	1.28	20.26	10.24	4.03	0.16	14.35	20.71	3.59	12.0	2.51	5.36	1.97	0.52	7.46	7.17	0.0	23.93	50.27	0.0	108.9	199.85	180.02	100.83	23.76	112.77	152.28	115.97	25.17	30.34	28.45	305.55	35.5
C20orf96	206.94	351.14	159.9	49.91	84.63	63.0	291.04	387.02	115.97	189.02	98.73	65.26	73.54	109.66	138.1	69.52	102.97	87.65	119.26	108.9	291.04	336.79	69.03	162.14	77.79	43.02	80.01	105.89	123.5	96.68	68.55	111.99	74.06	75.64	93.35	255.0	204.07	112.77	101.54	132.44	150.17	85.22	59.55	206.94	72.52	150.17	80.01	64.8	100.13	71.0	42.11	39.5	40.93	44.57	56.28	79.45	44.25	64.8	42.11	58.3	71.0	44.57	29.91	38.95	33.3	43.94	62.12	47.17	65.72	78.34	56.28	54.72	95.34	62.56	94.01	48.52	31.22	24.46	60.82	19.39	45.53	58.3	68.07	29.06	38.4	61.25	71.5	25.91	26.47	46.84	54.33	11.73	43.94	50.98	35.76	92.7	36.53	77.25	54.33	73.03	39.5	37.32	52.45	102.97	35.76	40.64	37.32	41.52	22.43	39.22	39.79	78.89	90.14	81.71	98.73	47.5	47.84	89.51	31.22	28.65	43.02	59.55	64.34	35.25	70.51	66.65	299.25	376.41	555.41	503.95	262.2	316.37	647.07	249.73	563.18	507.46	651.58	728.11	551.56
C2orf48	4.98	1.38	11.82	0.0	1.51	0.0	130.6	65.72	2.61	5.28	1.3	0.84	0.82	1.25	0.0	1.83	0.79	0.0	0.79	11.73	26.28	22.59	2.39	3.06	5.32	3.38	1.35	3.08	2.23	3.5	0.0	2.12	1.53	1.27	0.77	1.48	5.45	11.73	3.44	2.81	9.56	1.77	48.87	2.34	1.75	10.16	2.14	4.7	2.05	0.0	3.32	0.0	0.78	1.91	1.38	0.0	0.75	0.0	0.0	2.16	1.08	0.0	0.72	0.77	0.8	0.0	2.05	0.82	0.84	0.82	0.0	2.2	0.75	2.18	3.2	2.12	5.92	0.01	1.27	1.55	0.75	1.38	5.68	1.28	0.88	2.41	0.0	0.0	1.31	0.0	1.35	0.0	0.0	3.82	1.39	0.0	4.24	0.93	0.0	0.0	0.6	3.17	0.0	0.0	0.09	0.74	2.66	1.93	0.0	0.36	0.0	2.58	0.0	0.73	2.51	1.75	0.37	0.0	0.64	0.0	1.66	1.48	0.33	0.0	0.59	0.0	11.38	37.85	78.89	17.51	154.42	1.5	0.0	1.25	53.19	12.55	8.19	8.71	13.83
CBR3	144.01	412.0	13.12	15.91	28.24	11.47	669.92	289.02	1369.04	125.24	57.08	9.85	16.39	115.16	36.01	44.57	14.14	12.83	12.55	72.52	193.01	34.51	65.72	37.05	88.88	44.89	36.27	26.47	16.39	35.25	13.62	47.17	41.52	116.78	25.72	24.46	25.54	17.9	41.22	138.1	59.97	50.27	50.27	129.69	19.25	12.55	180.02	51.35	16.51	23.42	17.13	8.85	24.63	11.13	9.41	22.75	9.7	11.3	13.12	33.3	22.43	3.72	11.64	8.51	11.47	13.72	6.73	7.63	8.51	7.06	15.68	13.03	18.84	11.47	53.57	42.11	36.01	30.78	25.35	14.89	35.76	3.79	17.0	1.57	9.7	11.73	24.28	0.46	5.87	7.94	9.7	13.12	13.62	10.16	24.63	9.13	3.14	7.0	23.59	32.59	16.27	12.64	29.7	18.16	16.39	19.82	9.63	10.24	23.42	6.78	7.69	8.78	18.16	27.05	51.35	37.05	17.0	41.52	11.91	2.27	21.94	15.8	21.01	4.86	0.0	9.85	136.19	775.05	214.27	144.01	173.85	348.71	185.11	500.46	46.84	23.25	429.54	152.28	54.33
CBX2	131.51	166.73	65.26	11.38	12.55	5.36	463.65	447.82	17.9	35.76	47.17	13.62	12.0	47.84	13.32	23.08	5.19	6.84	8.13	59.97	94.67	417.77	35.76	86.43	52.82	18.43	31.22	52.08	40.07	36.53	24.99	70.01	21.47	31.0	40.07	74.06	44.25	25.35	28.86	29.48	58.3	31.67	81.71	18.03	10.39	114.36	87.03	27.64	10.79	4.1	6.01	8.58	1.22	3.89	5.54	16.03	5.68	4.46	3.38	8.19	9.7	3.86	8.45	9.27	2.92	4.66	14.56	3.53	8.78	7.28	9.41	16.88	14.35	5.23	27.64	20.56	15.11	12.83	13.83	3.66	44.89	11.21	8.0	12.0	2.48	10.16	20.71	2.16	14.24	4.39	7.75	1.75	5.06	3.5	13.62	25.54	1.77	28.86	10.96	32.59	21.32	4.39	21.78	25.72	12.64	4.82	12.83	10.63	5.54	7.69	1.33	3.76	13.72	44.25	14.45	11.55	11.38	30.56	4.43	0.48	8.38	6.67	17.25	6.46	5.23	10.16	140.04	339.14	204.07	507.46	830.75	36.01	19.39	15.45	785.88	669.92	126.12	1111.82	483.38
CCNA2	312.0	170.25	223.41	25.72	11.21	6.11	1844.76	915.51	95.34	85.82	100.13	23.76	52.08	152.28	7.46	69.03	27.25	52.08	133.36	2335.28	177.53	665.29	38.67	94.67	187.71	72.01	85.82	66.18	2758.13	87.65	68.55	82.87	133.36	50.27	49.91	165.57	217.27	211.31	59.13	186.4	348.71	90.14	529.06	69.52	65.26	503.95	218.79	466.88	234.57	10.39	41.22	12.0	12.93	8.06	16.27	11.55	6.52	21.01	6.26	71.5	10.55	4.28	4.98	17.9	10.16	8.78	12.64	10.39	15.56	14.78	5.5	37.85	81.71	26.28	45.21	12.64	6.52	10.16	7.88	11.91	21.01	9.27	10.39	7.34	0.0	9.63	38.95	3.0	3.29	5.92	26.1	0.97	11.73	23.08	22.59	13.22	2.89	108.14	11.82	34.51	17.64	22.92	19.82	4.46	4.39	5.45	2.92	3.11	25.17	12.0	5.96	8.06	16.63	19.82	21.78	104.42	4.74	50.27	8.99	3.29	4.5	11.55	3.0	3.59	17.51	17.51	275.28	305.55	244.57	371.22	291.04	100.83	25.72	9.63	703.28	638.15	423.61	507.46	343.89
CCNB1	1519.15	547.75	884.29	51.35	37.05	42.41	5831.91	2701.35	320.8	466.88	348.71	78.89	106.63	688.78	59.13	312.0	57.08	99.43	307.69	1066.48	808.0	2271.4	96.68	236.21	819.3	339.14	176.29	206.94	642.59	128.79	236.21	373.81	1242.34	226.54	171.45	1498.22	954.43	830.75	155.5	703.28	974.5	379.04	1037.29	267.73	148.09	1733.13	483.38	583.07	587.13	27.84	90.77	52.45	53.57	24.46	37.32	33.3	36.27	115.16	39.79	143.01	56.28	35.25	22.26	45.21	31.0	42.41	30.78	59.97	42.41	71.0	37.59	191.67	201.25	27.44	198.47	67.59	81.71	86.43	50.27	139.07	96.68	26.67	77.25	58.3	63.0	46.84	82.87	39.79	33.06	44.25	113.56	49.56	45.85	63.89	81.71	35.25	27.84	703.28	57.08	198.47	35.25	88.26	73.54	90.77	30.56	61.68	40.07	31.22	109.66	47.5	13.12	55.1	14.45	118.43	150.17	363.56	25.35	123.5	23.42	15.45	55.1	77.25	54.33	31.67	25.35	67.59	718.08	825.0	796.86	1340.84	2047.0	373.81	101.54	70.51	2075.59	2537.92	1529.73	3280.18	2875.3
CCNB2	1322.37	373.81	265.87	13.03	9.48	3.66	1662.49	603.67	142.01	108.9	114.36	17.77	45.53	167.9	9.63	68.07	10.96	27.25	114.36	486.75	529.06	764.36	41.22	58.3	368.65	105.15	74.06	54.72	414.87	62.12	77.79	108.14	303.44	58.3	43.02	620.67	314.17	483.38	46.18	169.07	379.04	102.25	830.75	108.9	41.81	928.3	287.01	279.14	381.68	8.65	43.32	8.99	6.78	3.69	12.64	12.64	8.45	30.34	7.34	46.18	16.51	4.17	1.45	12.09	11.21	10.71	16.15	8.19	9.2	13.03	1.6	55.89	70.51	9.13	61.68	7.06	14.14	18.29	13.42	23.42	7.22	1.39	33.78	4.94	4.5	10.79	17.13	5.63	3.72	4.35	50.98	2.07	8.38	22.1	41.22	8.78	3.69	172.65	26.47	64.8	6.73	14.78	16.75	7.4	10.39	2.58	3.79	6.01	8.85	10.16	19.39	5.23	8.65	27.64	46.18	152.28	5.32	41.52	2.89	4.62	10.24	11.21	5.15	5.77	8.13	26.28	327.56	327.56	389.72	819.3	1551.09	128.79	43.32	38.67	1498.22	1427.22	688.78	1313.23	1216.75
CD109	51.35	172.65	10.71	7.46	11.04	5.11	253.23	118.43	76.71	379.04	275.28	9.7	28.45	90.14	18.43	87.03	6.06	12.64	10.24	12.64	99.43	23.08	28.04	14.45	4.35	8.92	49.56	221.86	43.63	7.4	11.82	70.01	141.02	42.41	71.5	9.41	43.94	44.57	35.0	58.3	81.71	142.01	102.25	39.5	26.47	121.79	15.56	52.08	20.41	9.13	6.73	8.51	5.15	17.64	7.63	20.41	2.14	6.67	1.75	2.81	6.21	2.71	5.87	6.41	7.69	19.53	6.57	5.92	6.21	18.43	6.01	8.71	12.36	1.57	49.56	6.94	5.68	0.79	6.67	9.06	44.57	2.2	4.06	19.39	7.06	5.77	6.36	0.69	5.02	0.15	7.06	0.26	10.55	10.88	8.19	8.32	3.5	2.73	5.92	8.0	2.2	6.41	7.94	12.36	7.94	0.25	2.84	4.74	24.11	1.95	1.39	10.71	2.43	10.79	18.16	13.42	3.5	127.0	1.68	1.62	10.96	2.41	14.14	1.93	1.03	4.1	199.85	202.66	100.83	155.5	117.6	59.13	46.84	9.34	42.11	77.25	129.69	60.39	50.98
CDC20	1066.48	656.11	293.07	15.22	17.0	18.16	620.67	967.76	242.88	221.86	173.85	11.91	53.57	275.28	59.97	176.29	32.59	73.03	96.68	830.75	974.5	4704.07	70.01	136.19	435.55	187.71	94.01	92.05	559.28	80.57	59.55	249.73	665.29	73.03	67.12	518.15	285.03	669.92	73.54	486.75	511.0	140.04	1757.34	229.72	51.35	2104.58	470.14	490.14	241.19	17.0	56.68	9.48	13.83	8.78	31.0	15.34	22.26	51.35	9.85	88.26	9.85	7.69	3.26	18.43	12.18	29.7	18.29	12.45	15.34	21.32	5.15	109.66	83.45	11.55	114.36	9.63	24.99	37.32	27.44	66.18	35.5	11.13	54.33	13.42	7.22	6.94	48.87	14.67	3.47	7.69	60.39	10.63	5.87	4.21	28.24	6.26	7.88	353.59	28.24	113.56	16.75	30.78	18.97	4.31	10.88	9.41	7.57	13.72	14.24	11.73	9.13	24.63	1.11	78.34	81.14	187.71	24.28	49.91	7.75	14.14	24.99	22.26	7.57	8.85	12.55	54.33	961.07	921.88	842.36	2047.0	1295.13	146.03	43.02	30.56	2816.11	1963.57	1183.45	4181.07	1378.57
CDC25A	133.36	92.05	22.26	6.21	1.97	10.0	191.67	172.65	41.22	15.56	27.25	5.02	30.56	16.75	6.94	17.64	3.08	7.11	27.25	65.72	53.57	316.37	10.39	14.78	43.63	10.16	10.08	12.83	55.49	17.77	6.62	27.05	53.57	10.63	11.21	56.28	108.14	45.21	18.97	31.45	49.56	9.93	105.89	41.22	6.16	205.5	37.05	32.82	57.49	8.45	12.36	8.65	3.86	4.39	11.91	8.32	3.69	4.98	4.98	16.63	7.4	2.25	4.39	6.36	5.59	8.13	7.57	5.73	10.63	13.83	3.82	17.77	31.0	5.23	19.39	5.28	5.5	31.22	12.27	8.78	5.82	3.06	16.63	7.28	17.51	5.63	22.75	19.53	2.12	7.28	21.78	17.77	4.21	5.06	14.14	10.0	4.94	49.91	16.15	15.22	8.06	17.51	2.81	9.63	13.62	12.74	1.73	14.67	8.25	6.41	8.19	5.36	13.22	10.71	18.97	34.51	2.46	14.14	4.5	2.73	3.96	14.67	20.11	21.63	5.23	22.75	30.78	40.64	84.04	98.04	140.04	35.0	41.22	24.99	236.21	244.57	74.06	183.82	220.32
CDC25B	1397.83	921.88	860.08	231.32	409.15	297.17	3820.7	2609.3	301.33	503.95	624.99	320.8	273.37	684.02	381.68	480.04	423.61	780.44	842.36	1639.59	1639.59	1350.18	896.64	612.11	460.44	567.1	529.06	275.28	825.0	808.0	332.14	1096.5	1685.71	884.29	503.95	571.05	1844.76	1617.0	603.67	1023.0	1073.91	947.83	1561.89	647.07	830.75	1191.69	518.15	444.72	361.04	299.25	223.41	400.71	323.03	444.72	253.23	507.46	140.04	206.94	264.03	518.15	361.04	275.28	293.07	289.02	204.07	291.04	392.44	346.29	406.31	224.97	283.05	260.38	551.56	483.38	587.13	295.11	325.29	356.05	503.95	316.37	426.57	152.28	642.59	98.73	161.02	521.76	457.25	738.29	392.44	669.92	248.0	490.14	289.02	241.19	463.65	769.69	305.55	414.87	403.5	258.57	253.23	297.17	341.51	363.56	295.11	532.74	187.71	229.72	316.37	267.73	454.09	279.14	743.43	412.0	540.19	392.44	142.01	642.59	251.48	145.02	400.71	389.72	417.77	684.02	98.04	127.0	1417.35	825.0	2287.2	2075.59	2609.3	309.83	139.07	273.37	5954.47	2004.85	679.29	2720.15	1605.83
CDC45	507.46	211.31	269.6	10.0	26.1	2.92	262.2	376.41	48.52	71.0	95.34	17.0	38.67	109.66	24.46	38.67	14.89	38.67	90.14	457.25	497.0	624.99	22.92	197.09	246.28	57.49	48.18	45.85	242.88	104.42	46.84	47.5	162.14	43.32	42.11	220.32	171.45	532.74	50.63	149.12	265.87	69.52	480.04	145.02	31.22	373.81	356.05	244.57	72.52	2.2	11.64	10.71	20.26	5.23	30.34	21.32	3.35	7.11	19.97	80.57	6.21	10.96	7.75	22.1	8.99	14.78	19.53	32.59	9.06	4.9	1.2	51.71	108.9	7.34	32.36	32.82	10.79	43.94	44.25	18.97	24.81	1.77	37.59	7.4	10.96	2.97	138.1	6.21	8.51	13.83	24.63	10.55	14.89	6.36	21.01	5.54	5.36	77.79	7.57	24.99	6.46	68.07	7.88	7.22	23.25	27.84	17.38	29.27	14.35	6.73	0.0	0.0	23.59	24.81	17.0	101.54	10.63	12.27	10.16	2.97	10.63	2.94	15.8	6.31	3.47	12.55	199.85	253.23	301.33	624.99	1051.79	74.58	19.68	8.65	529.06	660.68	412.0	397.93	417.77
CDCA2	92.05	46.84	40.93	4.66	4.66	0.55	251.48	325.29	25.54	132.44	16.15	2.71	5.5	33.06	0.57	9.78	3.38	2.81	15.22	79.45	27.05	202.66	5.11	9.27	45.21	5.73	18.43	7.34	31.0	13.22	9.34	14.45	35.5	6.73	10.71	43.63	47.17	23.76	10.31	13.62	32.36	12.0	100.13	17.38	5.82	101.54	52.82	20.71	63.45	0.99	6.73	0.0	4.54	1.06	5.19	1.17	1.01	2.63	1.07	14.03	2.76	0.55	0.48	2.53	1.62	1.97	6.01	3.76	4.5	1.11	1.06	9.41	15.56	1.39	14.24	1.64	2.34	1.6	2.84	4.94	3.06	0.91	6.73	1.06	0.0	2.58	17.77	0.45	0.89	2.48	16.51	1.01	3.38	1.46	4.66	1.83	1.58	34.02	6.78	23.42	2.43	5.82	3.2	5.73	1.17	3.29	0.0	0.96	1.36	1.57	0.0	3.29	0.0	7.82	13.62	38.12	0.0	7.69	3.06	1.11	2.73	2.56	2.63	0.46	2.41	8.19	69.52	83.45	63.0	117.6	187.71	18.7	35.25	12.36	121.79	153.34	81.14	121.79	171.45
CDCA3	819.3	454.09	336.79	19.39	16.63	2.48	2367.9	1519.15	109.66	149.12	108.9	34.02	43.94	218.79	43.02	84.63	45.53	52.45	175.07	525.39	412.0	1909.85	69.03	129.69	397.93	161.02	87.03	65.26	373.81	104.42	89.51	172.65	518.15	77.25	57.49	607.87	327.56	460.44	57.49	320.8	387.02	150.17	928.3	253.23	36.27	612.11	271.48	224.97	287.01	10.16	50.27	9.7	17.0	10.88	24.28	22.26	7.4	49.56	25.72	88.88	21.32	8.32	6.94	10.63	11.21	12.09	18.43	17.9	9.2	22.26	13.83	41.52	51.35	24.28	62.56	20.41	3.63	21.01	10.55	31.22	17.38	20.26	31.45	8.58	8.32	34.75	47.5	5.45	10.71	13.93	60.82	3.06	22.26	13.83	34.51	16.75	5.5	232.94	23.93	76.71	19.97	43.63	41.81	7.75	21.78	18.29	9.41	5.02	7.57	3.5	17.64	17.77	29.48	14.89	40.64	171.45	3.79	57.49	14.14	6.78	10.71	13.42	8.0	11.55	21.63	25.17	476.71	525.39	490.14	1757.34	796.86	161.02	21.32	17.9	1159.07	1008.9	733.19	1143.1	769.69
CDCA5	591.22	490.14	314.17	14.67	21.94	8.92	1583.71	651.58	108.14	78.89	96.01	18.03	29.27	137.14	25.91	70.01	18.84	32.13	90.14	599.49	381.68	1051.79	64.34	94.01	221.86	64.8	56.28	64.8	295.11	75.11	61.25	119.26	305.55	52.82	47.84	163.28	260.38	183.82	45.53	237.86	376.41	66.65	607.87	113.56	85.82	555.41	271.48	212.78	163.28	11.38	21.47	16.15	11.73	11.21	13.62	15.34	12.27	10.79	9.63	53.57	18.16	4.58	3.63	13.52	8.13	12.09	12.09	12.36	14.78	7.75	10.55	55.89	64.34	11.82	54.72	19.25	13.83	46.84	16.15	18.97	11.55	9.63	23.76	10.24	8.71	18.29	93.35	12.55	4.78	11.73	42.71	16.88	9.63	10.39	29.7	6.52	7.22	158.79	12.83	52.82	5.28	40.64	14.14	14.24	16.88	9.7	9.93	14.67	12.36	11.47	3.44	5.45	3.99	27.44	35.0	129.69	13.83	39.5	7.4	1.45	3.38	16.39	16.39	15.0	12.64	20.11	379.04	279.14	343.89	656.11	1322.37	102.97	29.7	30.34	738.29	1051.79	334.46	507.46	848.22
CDCA8	346.29	336.79	287.01	11.91	14.35	3.69	503.95	529.06	77.79	74.58	92.05	16.88	23.25	92.7	14.89	59.13	15.8	20.56	39.79	457.25	336.79	1044.52	38.67	76.71	166.73	61.25	49.21	36.01	325.29	57.89	54.33	95.34	224.97	46.5	29.7	171.45	144.01	223.41	38.12	211.31	199.85	68.55	463.65	72.01	38.67	511.0	209.84	161.02	150.17	8.65	26.67	8.25	17.51	6.57	12.93	9.06	4.1	17.25	7.17	43.94	16.51	2.53	2.81	6.94	11.91	10.39	14.24	5.68	9.06	14.89	11.91	42.11	43.63	11.55	45.85	11.91	10.47	14.78	14.67	18.97	19.82	5.63	25.35	12.45	5.23	8.78	43.02	1.69	4.82	2.23	34.51	2.12	8.25	7.46	28.65	8.13	4.43	124.37	13.83	45.21	5.63	21.32	14.03	12.45	15.45	13.52	10.88	13.22	9.41	3.59	3.69	2.48	7.94	28.65	24.99	112.77	11.91	26.86	7.34	3.23	5.63	9.93	8.58	2.1	12.83	15.56	358.54	220.32	368.65	567.1	753.83	53.95	21.63	20.56	974.5	529.06	289.02	529.06	457.25
