	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Z93S.2426.SM.5HL8N	GTEX.145LS.2726.SM.5Q5D8	GTEX.13OVJ.1826.SM.5KM2D	GTEX.ZF28.2526.SM.57WFH	GTEX.11WQK.2126.SM.5EQME	GTEX.14E6C.2226.SM.5QGQG	GTEX.13SLW.2826.SM.5Q5ES	GTEX.ZTTD.2626.SM.57WEX	GTEX.11WQK.2526.SM.5CVL8	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	GTEX.146FH.2126.SM.5SI9U	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V
DOCK11	866.07	31.45	327.56	197.09	206.94	124.37	217.27	89.51	148.09	191.67	144.01	100.83	37.05	8.51	50.27	27.64	61.25	39.5	35.5	3.38	10.39	9.06	38.4	19.68	49.91	12.09	10.08	53.57	7.17	8.13	19.97	2.76	30.34	348.71	429.54	281.09	423.61	299.25	447.82	303.44
EDN3	5.15	0.0	35.76	127.89	185.11	95.34	171.45	193.01	92.05	140.04	80.01	132.44	0.0	1.91	0.0	1.19	2.71	1.22	0.0	1.08	1.16	0.0	0.0	3.06	0.62	1.79	0.1	0.85	0.0	0.0	0.0	0.0	0.07	208.38	435.55	170.25	1008.9	395.18	215.77	1662.49
EVI5L	113.56	70.51	466.88	299.25	297.17	226.54	348.71	289.02	223.41	237.86	351.14	239.52	178.77	108.9	80.01	115.16	86.43	66.65	87.65	68.07	79.45	85.22	57.49	55.1	98.73	117.6	77.25	98.04	80.01	32.59	102.97	66.65	55.1	543.96	406.31	532.74	503.95	348.71	579.04	563.18
FBXL7	104.42	21.47	866.07	293.07	223.41	170.25	212.78	175.07	75.11	314.17	153.34	198.47	33.3	24.81	24.81	29.7	29.7	20.26	35.5	5.96	18.84	19.25	23.93	27.05	24.11	10.16	10.96	22.75	15.34	6.41	13.52	8.65	53.19	599.49	587.13	551.56	493.56	490.14	836.53	376.41
FOXF1	3.2	19.82	3690.52	703.28	1870.53	728.11	947.83	1322.37	642.59	954.43	1936.53	1059.11	60.39	8.78	12.55	100.83	40.93	52.82	79.45	22.1	61.25	39.5	70.51	96.68	44.25	15.11	10.71	19.68	63.0	10.16	13.42	34.75	33.78	4123.49	1806.78	2682.69	3325.99	2664.15	3665.02	2485.67
FOXP1	224.97	249.73	1044.52	802.41	796.86	511.0	723.08	579.04	647.07	813.63	764.36	854.13	206.94	114.36	334.46	215.77	291.04	260.38	281.09	137.14	202.66	249.73	480.04	293.07	128.79	172.65	148.09	139.07	255.0	348.71	202.66	221.86	150.17	1437.15	1322.37	1594.73	1467.37	1143.1	1081.39	1950.0
FRG1	1685.71	642.59	1350.18	1059.11	1104.13	1051.79	909.17	1183.45	1081.39	1447.15	1259.69	1322.37	769.69	698.41	698.41	525.39	791.35	532.74	603.67	660.68	497.0	603.67	629.35	647.07	743.43	647.07	708.18	785.88	595.34	629.35	713.11	616.37	669.92	1167.14	1950.0	1437.15	1183.45	1447.15	1250.98	1498.22
GNB4	197.09	29.27	281.09	120.1	187.71	110.43	102.25	104.42	166.73	209.84	115.97	163.28	33.54	3.92	13.72	21.78	22.75	70.01	80.57	3.5	29.27	16.15	75.64	26.86	45.53	29.91	10.39	29.91	18.16	11.47	20.26	27.25	42.71	733.19	703.28	599.49	954.43	563.18	703.28	543.96
GUCY1B3	223.41	93.35	2384.37	305.55	543.96	397.93	343.89	575.03	432.53	470.14	486.75	872.1	197.09	49.21	44.57	150.17	74.58	73.03	150.17	37.59	93.35	77.25	115.16	102.97	90.77	24.99	12.64	85.22	99.43	40.93	32.82	48.87	127.0	1037.29	1350.18	1143.1	974.5	813.63	974.5	954.43
HDGFRP3	532.74	37.85	1286.18	878.17	825.0	563.18	769.69	529.06	389.72	563.18	780.44	796.86	74.06	22.26	43.63	63.89	88.88	36.79	63.0	6.06	33.3	29.06	49.91	43.02	38.67	10.0	9.78	25.72	22.75	4.21	8.45	28.65	37.05	1199.98	1135.2	1104.13	1044.52	1268.46	1295.13	1015.93
INPP4A	117.6	70.51	518.15	217.27	293.07	195.72	287.01	198.47	320.8	242.88	320.8	248.0	111.21	38.4	56.68	75.64	78.34	65.26	72.52	20.86	43.02	39.5	85.22	47.84	84.04	46.84	48.18	59.97	45.21	31.67	51.35	47.5	70.01	353.59	275.28	420.68	540.19	312.0	356.05	332.14
JAM3	105.15	45.21	4181.07	1208.34	1008.9	647.07	947.83	620.67	587.13	759.08	1044.52	679.29	131.51	36.01	75.11	105.89	77.79	75.11	73.03	22.43	50.98	39.5	59.13	53.95	40.64	24.46	45.85	26.28	67.59	22.26	30.56	25.35	42.41	1498.22	1467.37	2502.97	1769.57	1304.15	2004.85	1447.15
KCTD2	728.11	131.51	791.35	493.56	532.74	450.94	497.0	607.87	384.34	447.82	511.0	543.96	246.28	224.97	234.57	157.68	237.86	172.65	191.67	157.68	193.01	135.24	178.77	130.6	220.32	170.25	127.0	156.59	162.14	154.42	152.28	118.43	256.78	607.87	718.08	591.22	733.19	454.09	497.0	599.49
MAMDC2	48.18	8.51	1540.37	368.65	1359.57	409.15	674.59	228.13	226.54	555.41	525.39	503.95	5.82	5.41	4.31	16.39	14.56	9.2	13.03	1.23	9.34	6.06	10.63	18.29	24.28	6.62	4.82	33.54	15.91	1.19	31.0	0.35	8.06	915.51	1950.0	1605.83	775.05	3716.2	2739.08	1427.22
MAP7D1	3103.19	323.03	11584.24	2451.44	2956.17	2193.99	3168.41	2739.08	2090.03	2163.77	3018.3	2645.74	941.27	318.57	559.28	470.14	470.14	373.81	450.94	246.28	432.53	297.17	400.71	295.11	332.14	400.71	264.03	366.09	289.02	204.07	244.57	242.88	511.0	4181.07	4736.79	4239.45	3794.3	3901.01	4836.35	3589.58
MB21D2	57.08	11.91	76.71	145.02	112.77	55.89	40.64	91.41	52.82	101.54	59.55	68.07	24.81	2.48	6.52	8.45	28.45	17.64	13.42	3.17	12.93	9.63	14.35	15.68	14.89	3.26	13.52	6.31	8.19	3.69	12.45	6.62	23.59	116.78	91.41	177.53	81.71	126.12	151.22	178.77
METTL24	3.29	5.45	954.43	119.26	231.32	45.21	131.51	33.54	26.86	86.43	98.04	43.02	9.34	0.0	2.46	6.73	2.51	10.31	3.76	1.0	4.94	4.54	10.16	7.63	7.82	6.31	0.75	2.73	3.08	2.29	0.0	4.5	11.13	624.99	409.15	974.5	1015.93	316.37	669.92	620.67
MOB3A	571.05	128.79	1340.84	698.41	733.19	567.1	1051.79	647.07	480.04	669.92	854.13	713.11	314.17	124.37	145.02	178.77	191.67	155.5	162.14	68.07	123.5	97.36	149.12	120.1	172.65	137.14	115.97	155.5	76.71	88.26	104.42	82.29	187.71	2148.82	1605.83	1313.23	1583.71	1350.18	1819.35	1417.35
MRPL10	825.0	417.77	1936.53	1104.13	947.83	1001.93	1088.92	718.08	947.83	1183.45	995.0	651.58	629.35	669.92	764.36	518.15	599.49	454.09	547.75	521.76	432.53	507.46	480.04	412.0	426.57	483.38	559.28	503.95	414.87	470.14	583.07	423.61	332.14	1529.73	3168.41	2032.85	2271.4	2032.85	2287.2	2271.4
MRVI1	232.94	13.42	5672.41	1104.13	769.69	620.67	748.61	466.88	890.44	764.36	1008.9	417.77	56.68	26.67	26.67	45.53	47.17	23.59	44.57	5.68	26.67	14.14	27.25	15.11	11.55	19.68	6.46	15.22	38.4	3.0	9.7	7.28	11.73	3081.75	4802.93	2816.11	3081.75	2119.22	2468.49	2178.83
NKAIN3	0.0	0.0	27.25	9.34	14.35	6.57	3.82	2.29	8.78	9.34	4.21	6.67	0.0	0.0	0.0	0.0	0.62	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.27	36.53	23.93	16.15	9.63	7.46	5.41
P2RY14	183.82	7.17	262.2	90.77	400.71	109.66	236.21	11.73	37.05	190.34	177.53	75.64	21.32	5.11	4.54	17.38	36.01	6.73	1.81	1.13	3.44	3.06	6.89	7.82	0.0	0.0	0.0	13.93	6.11	14.89	0.0	2.66	1.69	1844.76	1477.58	2104.58	775.05	1781.89	2664.15	163.28
PDCL	376.41	70.01	265.87	186.4	281.09	153.34	187.71	228.13	145.02	256.78	178.77	281.09	136.19	81.14	96.68	111.21	128.79	94.67	96.68	45.53	64.8	74.58	99.43	94.01	135.24	63.45	39.22	78.34	53.95	63.0	86.43	43.63	69.52	285.03	316.37	244.57	368.65	201.25	291.04	279.14
PENK	32.82	0.0	3039.3	171.45	420.68	224.97	154.42	503.95	115.16	341.51	486.75	486.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	8.19	0.0	0.0	0.0	0.23	1.41	2.66	3.76	0.48	1.77	3.0	0.0	1.07	769.69	1508.65	1745.2	934.76	1583.71	540.19	1044.52
PIP5K1C	232.94	99.43	4095.0	808.0	796.86	674.59	1104.13	1183.45	718.08	616.37	967.76	1081.39	275.28	105.15	127.89	166.73	139.07	108.9	130.6	58.71	99.43	70.51	115.16	87.65	133.36	94.01	81.71	110.43	70.01	83.45	69.52	58.71	147.06	1605.83	1175.27	1662.49	2004.85	1295.13	2004.85	1870.53
PLCD3	373.81	21.94	981.29	1111.82	1467.37	1540.37	2367.9	1208.34	1844.76	1674.06	1639.59	1407.55	75.64	38.4	71.5	42.11	28.86	39.5	72.01	24.28	31.0	19.68	21.78	58.3	15.22	20.86	9.78	14.89	7.94	29.06	34.51	1.28	16.88	1896.65	3955.48	1304.15	2018.8	988.12	1359.57	1498.22
PNMA1	1286.18	80.57	4903.87	1225.22	1250.98	579.04	1322.37	723.08	318.57	941.27	1135.2	802.41	193.01	88.88	110.43	95.34	102.97	82.87	120.94	29.7	61.25	63.45	90.14	59.13	81.14	64.8	49.91	67.59	56.28	36.79	79.45	18.43	80.01	2240.11	2119.22	2090.03	2502.97	1857.6	2032.85	2075.59
PTPLAD2	14.56	27.64	327.56	193.01	348.71	147.06	373.81	70.51	93.35	215.77	147.06	116.78	50.27	20.26	17.9	20.41	36.27	27.84	27.44	10.39	19.97	21.94	44.25	44.57	36.79	23.59	15.34	30.56	33.54	6.26	6.16	33.06	34.75	490.14	389.72	693.58	470.14	336.79	341.51	368.65
RALA	764.36	256.78	473.41	738.29	947.83	521.76	785.88	647.07	423.61	775.05	642.59	780.44	490.14	256.78	312.0	242.88	287.01	242.88	269.6	178.77	279.14	231.32	301.33	309.83	246.28	185.11	194.36	211.31	258.57	211.31	231.32	194.36	279.14	860.08	698.41	703.28	660.68	579.04	551.56	753.83
RAP2A	642.59	97.36	229.72	343.89	334.46	161.02	351.14	180.02	197.09	303.44	269.6	297.17	307.69	77.79	132.44	111.99	110.43	135.24	115.16	46.5	82.29	85.82	152.28	105.89	116.78	94.67	52.82	84.04	56.68	95.34	64.8	55.89	117.6	432.53	312.0	336.79	356.05	305.55	295.11	363.56
RBPMS2	476.71	140.04	13215.02	1340.84	1457.23	808.0	1508.65	733.19	981.29	769.69	1208.34	1119.56	242.88	152.28	55.1	108.14	182.55	161.02	129.69	114.36	361.04	165.57	236.21	156.59	95.34	218.79	120.1	74.58	43.32	127.89	144.01	77.25	164.42	2739.08	5441.3	4937.99	4419.52	3768.09	5831.91	4419.52
RGS5	6079.61	490.14	9945.68	2758.13	4298.64	860.08	1551.09	961.07	1685.71	2796.65	1561.89	1096.5	1242.34	409.15	921.88	1304.15	1359.57	149.12	660.68	109.66	389.72	193.01	287.01	158.79	297.17	68.07	98.04	346.29	199.85	214.27	137.14	130.6	353.59	3564.78	7433.4	26800.01	5995.9	6561.36	7280.4	3847.29
SAA1	2068278.89	1290947.48	20.71	26.28	46.84	7.17	117.6	49.21	38.4	37.85	102.25	181.28	978355.0	2343119.96	1715263.94	1668359.93	2845004.48	4194303.0	2126426.15	520665.48	1221310.69	2011721.67	3336720.86	3178687.03	1012856.65	1775752.63	1204496.53	2097151.0	1535204.12	839981.65	1229805.58	1364554.84	1327240.99	46.84	15607.02	6.94	9.78	73.54	74.58	2434.5
SETD1A	177.53	80.01	327.56	193.01	197.09	195.72	260.38	281.09	211.31	206.94	239.52	199.85	137.14	109.66	130.6	123.5	120.1	104.42	127.0	92.7	106.63	75.11	130.6	92.05	130.6	167.9	183.82	125.24	71.5	90.14	100.13	63.89	110.43	287.01	348.71	329.84	403.5	285.03	432.53	406.31
SOGA1	139.07	14.45	547.75	201.25	165.57	118.43	176.29	172.65	190.34	135.24	116.78	186.4	53.57	13.42	16.03	36.01	32.36	16.39	33.06	4.9	12.55	9.13	22.1	20.56	16.63	8.85	10.08	21.32	8.06	10.96	16.27	3.29	15.0	392.44	341.51	460.44	651.58	371.22	470.14	381.68
SYDE1	423.61	78.89	1427.22	293.07	409.15	289.02	366.09	211.31	295.11	341.51	444.72	198.47	124.37	61.68	47.17	116.78	100.13	75.11	109.66	27.84	56.28	48.52	81.14	56.28	105.15	48.87	29.27	96.01	52.08	35.76	55.49	9.63	104.42	802.41	723.08	656.11	748.61	476.71	633.73	607.87
SYDE2	56.28	19.25	212.78	51.35	70.01	32.13	53.95	69.03	49.21	44.57	93.35	123.5	9.7	6.31	11.91	16.51	12.83	23.08	42.71	21.47	30.56	15.68	32.13	15.56	34.51	16.88	39.5	23.42	16.51	22.43	31.9	21.94	36.53	244.57	194.36	126.12	150.17	232.94	130.6	206.94
SYT11	100.13	20.56	693.58	323.03	454.09	303.44	332.14	204.07	152.28	366.09	299.25	293.07	53.95	11.82	25.91	25.35	31.22	17.9	45.85	8.45	21.01	15.45	23.42	10.31	30.56	8.85	11.38	24.28	13.32	8.78	10.63	8.32	15.34	500.46	438.59	669.92	438.59	540.19	450.94	384.34
TBC1D25	248.0	155.5	417.77	228.13	231.32	224.97	281.09	267.73	265.87	231.32	273.37	279.14	161.02	105.15	108.14	122.64	147.06	166.73	164.42	136.19	139.07	132.44	194.36	96.01	136.19	165.57	130.6	114.36	105.89	135.24	89.51	94.01	176.29	343.89	426.57	346.29	412.0	420.68	555.41	486.75
TRIM32	228.13	60.39	269.6	228.13	173.85	111.99	147.06	170.25	96.01	173.85	132.44	218.79	76.71	64.34	59.97	70.51	71.0	58.71	71.0	33.78	55.49	35.25	65.72	39.79	102.25	61.68	32.36	67.59	32.36	69.52	38.95	38.4	62.56	208.38	237.86	181.28	283.05	138.1	193.01	262.2
TSHZ3	54.72	13.22	1104.13	237.86	258.57	163.28	255.0	150.17	131.51	231.32	177.53	281.09	22.1	12.36	11.91	15.11	18.7	18.29	26.28	2.58	16.88	7.57	22.75	20.41	17.38	12.18	8.92	12.36	17.9	7.22	10.79	6.31	15.11	460.44	358.54	497.0	703.28	289.02	358.54	285.03
TTL	236.21	146.03	529.06	368.65	307.69	228.13	346.29	249.73	228.13	265.87	332.14	409.15	248.0	183.82	191.67	155.5	460.44	145.02	173.85	89.51	116.78	120.94	197.09	108.14	187.71	108.14	175.07	154.42	100.83	142.01	157.68	92.7	127.89	463.65	395.18	305.55	307.69	384.34	420.68	368.65
ZBTB4	825.0	123.5	2816.11	836.53	878.17	633.73	860.08	647.07	607.87	808.0	624.99	743.43	186.4	77.79	115.97	165.57	202.66	147.06	201.25	85.22	124.37	90.77	146.03	108.14	166.73	71.0	52.82	185.11	56.68	91.41	42.11	59.97	177.53	1529.73	1447.15	2032.85	2720.15	1369.04	2047.0	2061.24
ZDHHC18	703.28	260.38	435.55	497.0	532.74	339.14	733.19	395.18	450.94	397.93	414.87	314.17	309.83	187.71	423.61	204.07	279.14	283.05	356.05	256.78	271.48	185.11	314.17	205.5	293.07	212.78	173.85	305.55	156.59	291.04	215.77	361.04	353.59	679.29	713.11	514.56	775.05	583.07	629.35	928.3
ZEB1	656.11	105.15	4239.45	995.0	1008.9	493.56	607.87	438.59	490.14	532.74	674.59	988.12	119.26	73.03	92.7	162.14	187.71	103.69	153.34	62.56	131.51	74.06	181.28	84.04	101.54	42.71	65.26	115.97	74.06	99.43	77.79	55.89	120.1	1896.65	1167.14	1628.26	1977.24	1242.34	1769.57	1378.57
ZNF532	343.89	47.17	1757.34	483.38	414.87	314.17	429.54	142.01	358.54	476.71	486.75	197.09	98.73	25.35	43.63	85.82	59.97	54.33	71.5	12.09	40.93	23.08	59.13	34.75	47.5	42.71	45.21	31.67	17.25	14.35	40.64	20.11	57.89	647.07	633.73	848.22	1183.45	808.0	1104.13	928.3
