	GTEX.14AS3.1626.SM.5S2OY	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZLV1.0426.SM.4WWC2	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.NL3G.0526.SM.4RTWW	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.33.4587.11A.01R.2125.07	TCGA.EJ.7125.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3725.11A.01R.1736.07	TCGA.AG.3742.11A.01R.1660.07	GTEX.ZV6S.1526.SM.5NQ7O
EEF1G	182810.84	48982.22	76330.98	56657.31	1.55	18304.63	25530.66	26248.46	22535.88	15285.81	46986.85	34396.12	20030.74	53973.86	20310.37	25530.66	11584.24	13123.73	18304.63	37121.34	14065.74	27174.14	11112.3	22535.88	24321.43	24321.43	33688.23	17681.08	16960.78	35118.87	50709.61	39785.74	25530.66	33688.23	29531.18	83528.61	27938.14	8963.45	17317.18	34396.12	32315.87	21768.19	16611.71	26614.89	19892.37	46662.28	79572.48	87075.75	60304.42	65535.0	53230.77	155870.75
EIF3H	12415.75	4181.07	7695.57	7081.29	1.04	3325.99	4388.98	3212.66	2573.36	3820.7	5791.62	4836.35	2855.44	4736.79	2720.15	1819.35	2104.58	2061.24	2720.15	2976.74	3665.02	2451.44	2591.27	3280.18	3039.3	3349.13	3768.09	3060.45	3928.15	3081.75	4836.35	5183.54	2758.13	3081.75	4066.71	6699.25	3168.41	1870.53	4152.18	2835.7	2417.67	2739.08	2645.74	3690.52	2720.15	4268.94	6207.38	8022.41	5995.9	5633.22	5872.48	10659.59
EIF3K	35856.82	11504.21	27938.14	24832.5	1.35	7485.11	9945.68	6792.79	4419.52	4481.23	6207.38	12415.75	4095.0	7537.18	9088.59	5555.65	3257.52	1359.57	4152.18	10154.69	3443.31	5913.33	3794.3	6079.61	7642.41	5112.16	10959.3	3982.99	4450.27	6983.79	10959.3	10154.69	5633.22	5791.62	9409.14	15075.35	6294.04	1498.22	1561.89	11992.79	7749.1	7331.05	3690.52	2976.74	4802.93	9808.75	11345.82	15285.81	12589.08	16383.0	11745.96	31215.04
FAM104B	1037.29	688.78	743.43	866.07	0.16	366.09	674.59	493.56	423.61	170.25	400.71	698.41	669.92	376.41	536.45	339.14	299.25	237.86	571.05	543.96	271.48	417.77	309.83	688.78	381.68	346.29	153.34	444.72	206.94	579.04	679.29	633.73	309.83	567.1	417.77	647.07	444.72	234.57	332.14	438.59	289.02	400.71	426.57	420.68	325.29	567.1	753.83	860.08	703.28	928.3	866.07	1199.98
FAU	150561.19	50359.33	65535.0	71219.26	21919.61	33224.42	26800.01	26248.46	19618.49	27553.49	35363.15	36864.92	23492.92	29943.43	33688.23	21468.49	16960.78	14663.09	16045.82	25005.23	20593.91	26248.46	22850.48	12676.65	30572.63	30785.28	43236.64	22850.48	23009.42	29736.59	27174.14	33224.42	21468.49	28132.47	36106.23	40341.14	38697.77	12589.08	6745.86	26614.89	21172.91	17317.18	11424.74	15715.58	19618.49	61146.25	53601.03	70727.3	36864.92	63742.91	40621.74	97288.74
HEBP2	2777.33	1977.24	3982.99	2997.45	0.82	679.29	775.05	878.17	417.77	579.04	802.41	647.07	848.22	896.64	890.44	518.15	571.05	299.25	713.11	587.13	1498.22	842.36	860.08	457.25	1008.9	511.0	896.64	928.3	599.49	974.5	988.12	1250.98	612.11	796.86	947.83	941.27	802.41	289.02	397.93	389.72	373.81	314.17	575.03	518.15	384.34	1208.34	3257.52	1950.0	1745.2	2287.2	1936.53	2555.58
HOXA7	842.36	348.71	356.05	17.77	0.44	54.33	68.55	156.59	53.95	49.21	31.9	111.99	8.71	98.73	76.17	66.65	11.3	47.84	43.02	62.12	36.27	92.05	18.43	23.25	82.29	38.12	176.29	125.24	25.54	64.34	44.57	90.77	232.94	58.3	35.25	194.36	19.25	13.32	4.31	67.12	38.4	42.41	55.89	234.57	23.59	66.18	87.65	228.13	376.41	356.05	291.04	2434.5
HSD17B10	2701.35	3103.19	4210.15	4512.4	0.46	1909.85	3280.18	2287.2	1685.71	1322.37	1721.16	2075.59	1498.22	1628.26	2520.38	2032.85	1447.15	551.56	1794.29	2591.27	1437.15	2417.67	1572.76	2193.99	1909.85	1540.37	2627.46	1551.09	1477.58	2178.83	1963.57	2682.69	1883.54	1950.0	2609.3	3235.01	1662.49	941.27	1088.92	1639.59	1572.76	1721.16	1685.71	1135.2	1883.54	2485.67	2682.69	2240.11	2400.97	2976.74	2047.0	4328.55
KLHDC3	3955.48	2178.83	2645.74	2555.58	255.0	1242.34	1540.37	1477.58	1806.78	1059.11	1674.06	2148.82	1508.65	1923.14	2018.8	2287.2	1030.12	1350.18	1832.01	1639.59	2061.24	1628.26	1096.5	1259.69	2061.24	1697.45	1794.29	1991.0	1001.93	1151.06	2032.85	1268.46	1844.76	1896.65	1617.0	2119.22	1529.73	1322.37	1066.48	2148.82	1832.01	1639.59	1806.78	1467.37	1259.69	1883.54	2502.97	2758.13	2178.83	2451.44	2224.63	2627.46
LSM3	967.76	525.39	567.1	718.08	0.25	277.2	490.14	409.15	189.02	253.23	264.03	339.14	260.38	307.69	403.5	246.28	277.2	108.14	435.55	353.59	316.37	361.04	293.07	420.68	339.14	182.55	273.37	307.69	226.54	267.73	426.57	376.41	320.8	361.04	318.57	575.03	237.86	206.94	139.07	195.72	190.34	234.57	256.78	277.2	226.54	536.45	529.06	460.44	389.72	540.19	525.39	769.69
LSMD1	12943.04	5255.91	4671.57	10883.59	0.57	3419.52	5255.91	3847.29	2609.3	1487.87	2796.65	6381.92	3280.18	2976.74	6426.31	4010.71	2255.7	1104.13	2701.35	3372.43	2090.03	4802.93	1963.57	2591.27	6164.49	2520.38	1594.73	3515.68	1594.73	5041.77	5791.62	4802.93	3564.78	4388.98	4328.55	7433.4	3665.02	1008.9	753.83	3742.05	3742.05	2468.49	1388.16	2935.74	2400.97	8247.98	7382.04	6121.9	3874.05	7130.55	3639.7	11992.79
MRPL2	2163.77	1757.34	2591.27	3982.99	0.79	1487.87	1417.35	1208.34	866.07	447.82	954.43	2075.59	1119.56	1216.75	1583.71	1088.92	808.0	371.22	890.44	1135.2	974.5	1628.26	890.44	660.68	1950.0	1015.93	1175.27	1135.2	620.67	1015.93	1225.22	1427.22	1259.69	1304.15	1605.83	1259.69	1250.98	612.11	591.22	1081.39	775.05	1167.14	728.11	830.75	665.29	1487.87	1340.84	2018.8	1561.89	1844.76	1594.73	2573.36
MRPL37	2417.67	1617.0	2047.0	2104.58	0.21	1059.11	1350.18	1015.93	981.29	753.83	988.12	1350.18	995.0	1304.15	947.83	1023.0	848.22	303.44	1225.22	1268.46	884.29	1159.07	915.51	1467.37	1143.1	738.29	909.17	967.76	974.5	1350.18	1529.73	1397.83	1151.06	1143.1	1175.27	1639.59	902.89	507.46	967.76	1111.82	1159.07	1111.82	1059.11	1066.48	947.83	1051.79	1519.15	1551.09	1561.89	1651.0	1437.15	1721.16
NABP2	1183.45	1008.9	1378.57	1183.45	575.03	555.41	603.67	647.07	414.87	339.14	470.14	616.37	470.14	536.45	555.41	511.0	371.22	190.34	497.0	620.67	371.22	559.28	366.09	536.45	583.07	346.29	426.57	493.56	279.14	599.49	591.22	713.11	480.04	595.34	507.46	665.29	500.46	244.57	285.03	507.46	540.19	486.75	412.0	480.04	426.57	713.11	934.76	1088.92	866.07	890.44	842.36	1216.75
NDUFA11	24832.5	13033.07	13123.73	29124.6	1.13	5517.27	9344.14	6381.92	3665.02	1883.54	4802.93	10733.74	4903.87	5255.91	11267.44	4575.41	5954.47	1844.76	4903.87	5076.84	3874.05	5517.27	4010.71	4038.61	9740.98	4181.07	5913.33	5329.3	3690.52	6935.54	8718.32	6840.04	5183.54	6516.03	6471.02	12943.04	5672.41	3690.52	954.43	6381.92	4704.07	4972.34	2209.26	3235.01	3303.0	12764.83	15715.58	15934.98	9088.59	19082.0	10154.69	26800.01
NDUFA12	4419.52	4268.94	6607.01	6652.97	0.49	1662.49	2956.17	2520.38	1467.37	1340.84	2956.17	2777.33	1733.13	1896.65	3589.58	2178.83	1697.45	1127.35	3103.19	3103.19	3395.89	1819.35	2335.28	2997.45	2855.44	1001.93	1286.18	2739.08	1781.89	1561.89	2875.3	4481.23	1870.53	3716.2	2573.36	3060.45	2777.33	1769.57	928.3	1757.34	1519.15	1487.87	2417.67	1540.37	1896.65	3589.58	3742.05	4481.23	3515.68	5555.65	4736.79	6250.56
NDUFA7	4038.61	3491.39	3515.68	4836.35	0.52	2224.63	3540.14	1697.45	1651.0	884.29	2032.85	3081.75	2400.97	2434.5	3325.99	1923.14	1757.34	409.15	2384.37	2224.63	1417.35	2255.7	1857.6	1991.0	3257.52	2133.97	1832.01	1936.53	1639.59	2875.3	2855.44	3060.45	2303.12	2537.92	3039.3	4358.66	2502.97	830.75	974.5	1844.76	1745.2	2075.59	1286.18	1159.07	1397.83	3280.18	4736.79	3901.01	2758.13	4298.64	2451.44	5329.3
NDUFB8	8191.0	11745.96	13586.57	15180.22	1.1	5112.16	5872.48	4268.94	2502.97	3325.99	3515.68	5872.48	3372.43	3874.05	5594.3	4210.15	2645.74	1529.73	5006.93	3820.7	3955.48	5076.84	2956.17	4268.94	6935.54	3982.99	6294.04	3564.78	4181.07	4152.18	8305.36	6840.04	4181.07	4869.99	4607.24	8840.04	4095.0	2777.33	1991.0	4869.99	3081.75	3124.78	2573.36	2537.92	2664.15	8901.53	9740.98	11992.79	8658.09	12589.08	10014.87	13776.25
NDUFS5	24660.96	17197.56	20170.07	29943.43	1.07	7331.05	11827.67	5292.48	4671.57	10883.59	4869.99	8247.98	4152.18	6294.04	14065.74	3124.78	3491.39	5292.48	8305.36	6381.92	2777.33	11112.3	7130.55	8598.28	8598.28	7642.41	12415.75	4937.99	4358.66	7032.37	7230.1	12589.08	5594.3	8479.89	10512.82	16496.96	8598.28	7032.37	1651.0	2645.74	5913.33	3018.3	4836.35	3955.48	2520.38	13033.07	13681.08	16843.62	10154.69	18689.27	15607.02	22225.61
NDUFS6	3325.99	2434.5	2956.17	5366.37	0.77	1651.0	1628.26	1388.16	915.51	785.88	813.63	2061.24	1268.46	1088.92	2777.33	1295.13	1066.48	389.72	1008.9	1167.14	1015.93	1617.0	1487.87	884.29	1651.0	915.51	1721.16	1498.22	878.17	1963.57	1794.29	2835.7	848.22	1561.89	1685.71	2047.0	1268.46	674.59	403.5	1199.98	1044.52	669.92	775.05	819.3	1119.56	1721.16	2133.97	1991.0	1909.85	2400.97	1896.65	3257.52
NDUFS8	4769.75	5147.73	6079.61	14765.09	0.75	3768.09	3589.58	3491.39	1832.01	1151.06	2240.11	4972.34	2451.44	2271.4	4095.0	2835.7	2209.26	1427.22	2468.49	2573.36	2193.99	3639.7	1733.13	2976.74	4972.34	2502.97	3419.52	2701.35	1639.59	3349.13	4181.07	5006.93	2451.44	3190.46	3018.3	3665.02	3349.13	1697.45	1417.35	3103.19	2240.11	2997.45	1781.89	2520.38	1662.49	3982.99	5711.87	6207.38	4802.93	4836.35	3742.05	5791.62
NEDD8	8134.41	8363.13	7130.55	11424.74	0.97	6079.61	7331.05	5913.33	3103.19	1963.57	5555.65	5751.61	7081.29	6079.61	9808.75	5403.7	3235.01	2520.38	7331.05	6037.61	4239.45	6561.36	6561.36	5441.3	6079.61	5183.54	4937.99	5954.47	3443.31	6207.38	7331.05	9151.82	3982.99	6607.01	7081.29	11992.79	4450.27	3614.55	2193.99	3874.05	4210.15	2591.27	3349.13	3018.3	3349.13	9673.69	9409.14	6840.04	7331.05	10733.74	6516.03	9409.14
OST4	25708.25	16383.0	10512.82	23169.48	0.99	7857.29	11745.96	8598.28	4268.94	1950.0	6607.01	10512.82	8598.28	9025.81	9945.68	5219.6	4607.24	6652.97	9025.81	8840.04	4152.18	8778.97	4328.55	7485.11	11424.74	8598.28	4639.29	5292.48	2895.31	13586.57	10154.69	13123.73	5831.91	6792.79	7485.11	20451.65	10084.54	4802.93	3081.75	6887.62	7537.18	3589.58	4095.0	4769.75	4671.57	16960.78	18304.63	18560.17	12160.22	23169.48	11909.94	16727.26
PHB2	11827.67	6935.54	11745.96	7857.29	1.25	3325.99	4419.52	3874.05	3124.78	3874.05	6561.36	7230.1	2502.97	5292.48	3303.0	3103.19	2468.49	1540.37	2664.15	4607.24	2303.12	3820.7	2417.67	2875.3	3467.27	2609.3	5041.77	2777.33	3190.46	3928.15	4543.8	3928.15	5366.37	4152.18	5147.73	6516.03	4268.94	2255.7	2485.67	5831.91	3491.39	4239.45	2417.67	3168.41	1745.2	5403.7	7966.99	10883.59	7382.04	10084.54	6607.01	8538.88
POLR2F	11267.44	3372.43	3467.27	6250.56	0.79	1745.2	2502.97	1870.53	1883.54	607.87	1923.14	2758.13	2271.4	1844.76	2758.13	1540.37	1417.35	934.76	1540.37	1991.0	1628.26	2287.2	1551.09	1199.98	2855.44	1417.35	1857.6	1963.57	1135.2	1781.89	2193.99	2701.35	1183.45	2255.7	2319.15	3235.01	2047.0	967.76	329.84	1857.6	1662.49	961.07	928.3	1096.5	2032.85	3690.52	3349.13	3955.48	2997.45	4736.79	2645.74	8718.32
POLR2I	6983.79	2875.3	3901.01	10883.59	0.68	2255.7	1806.78	1991.0	1183.45	866.07	1447.15	2573.36	2367.9	1794.29	2367.9	1870.53	1397.83	651.58	1259.69	1857.6	1175.27	2075.59	1350.18	1119.56	2178.83	2271.4	2119.22	1697.45	1135.2	2351.53	2417.67	2047.0	1331.57	2739.08	1870.53	2400.97	1540.37	967.76	563.18	1259.69	1225.22	1111.82	769.69	764.36	1519.15	2777.33	3124.78	5366.37	2895.31	3212.66	2367.9	7749.1
POLR2J	5479.15	2417.67	3491.39	6561.36	2468.49	1639.59	2796.65	2004.85	1259.69	1397.83	2018.8	3349.13	2061.24	2047.0	1806.78	1457.23	1378.57	591.22	2133.97	1709.26	2075.59	2193.99	1674.06	2004.85	2682.69	1572.76	1757.34	1685.71	1286.18	2090.03	2777.33	2133.97	1806.78	3018.3	2520.38	4152.18	1909.85	1721.16	633.73	1819.35	1208.34	1870.53	1313.23	1073.91	1467.37	2701.35	3639.7	5672.41	3820.7	3614.55	2555.58	7280.4
ROMO1	18304.63	7589.61	9088.59	16383.0	9344.14	4937.99	6471.02	4671.57	2018.8	2434.5	2835.7	5041.77	4181.07	3491.39	7537.18	2976.74	3589.58	1369.04	3280.18	3190.46	2104.58	4937.99	3491.39	2855.44	5672.41	3235.01	6745.86	3955.48	2417.67	5255.91	5219.6	7331.05	2609.3	4450.27	3955.48	6983.79	4869.99	1844.76	941.27	3395.89	2240.11	2796.65	2178.83	2384.37	3235.01	11827.67	8963.45	8022.41	5791.62	12764.83	5441.3	18689.27
RPL10A	184082.4	65990.84	87681.42	100719.65	1.57	24153.43	41763.8	30999.42	11909.94	23986.58	42937.97	36357.37	21172.91	55107.99	30785.28	21320.18	17558.94	10883.59	23986.58	43840.21	13968.57	28525.2	13681.08	30361.44	37639.55	25354.3	39510.91	17681.08	16496.96	32994.92	42937.97	33922.56	38430.46	28132.47	32315.87	113315.62	39237.98	7230.1	13306.94	24153.43	11112.3	26800.01	9945.68	10512.82	14561.8	56657.31	100719.65	100719.65	75803.72	114897.47	67846.12	170568.48
RPL14	137587.47	38966.94	58655.36	87075.75	233003.78	23169.48	26800.01	21172.91	18052.61	19618.49	34396.12	39785.74	29124.6	36864.92	25179.16	18431.96	10733.74	10154.69	15285.81	24321.43	17437.64	18431.96	14971.21	15180.22	22850.48	24490.61	36106.23	20593.91	21468.49	17681.08	35609.13	33688.23	20030.74	21320.18	40621.74	69271.73	24832.5	13872.08	9540.5	20737.16	19082.0	16383.0	11664.82	11664.82	13776.25	38697.77	47974.16	96616.71	43840.21	52497.92	42346.82	133825.1
RPL15	176583.6	64632.75	73730.83	88905.42	1.58	20593.91	44761.41	30572.63	19482.97	32092.64	52497.92	50011.46	17558.94	42641.37	24832.5	17804.06	16960.78	22692.63	20451.65	28328.16	16157.44	23986.58	13033.07	16727.26	37639.55	35118.87	41763.8	20881.4	21468.49	33688.23	60723.88	31215.04	33922.56	31215.04	30151.71	118949.35	27938.14	11992.79	22225.61	34158.52	22850.48	19754.96	19082.0	24153.43	19214.73	69753.56	84109.6	102836.01	57051.4	104271.56	57847.82	253213.41
RPL19	531605.79	77934.88	130165.62	191899.64	854.13	48982.22	52135.28	53230.77	27174.14	32092.64	71714.63	66912.05	36106.23	79022.82	52135.28	35118.87	28132.47	26067.14	28723.62	47313.67	30361.44	47642.77	29736.59	28923.41	55877.28	50359.33	68793.23	35118.87	35856.82	49666.0	61999.83	64632.75	38164.99	50011.46	67377.47	116501.39	60723.88	21468.49	19082.0	49666.0	36357.37	30785.28	20593.91	27938.14	23986.58	80125.95	95949.32	154794.07	80683.28	104271.56	74243.68	320506.81
