	TCGA.LN.A7HY.01A.12R.A354.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.2H.A9GR.01A.12R.A37I.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
C17orf51	50.27	109.66	53.19	14.35	13.52	51.71	57.89	82.29	20.11	13.52	30.12	0.47	18.29	14.35	7.0	16.27	4.74
C17orf70	511.0	620.67	579.04	417.77	387.02	665.29	480.04	551.56	514.56	285.03	264.03	0.67	228.13	242.88	248.0	283.05	197.09
C19orf43	7433.4	6887.62	4903.87	3982.99	4869.99	5954.47	5479.15	5913.33	4639.29	2627.46	2591.27	1.0	2468.49	3124.78	2835.7	3146.52	3955.48
C2orf82	61.25	50.27	65.72	28.24	50.98	175.07	65.72	45.53	28.45	4.06	7.46	0.45	5.73	14.35	6.36	7.82	14.45
C8orf59	4543.8	4095.0	3212.66	3614.55	2645.74	3257.52	4298.64	3955.48	2573.36	2591.27	2287.2	5403.7	3395.89	1540.37	3081.75	2193.99	2004.85
CDK5RAP1	872.1	733.19	647.07	629.35	525.39	872.1	591.22	902.89	503.95	387.02	358.54	182.55	299.25	356.05	295.11	348.71	336.79
CLDND2	84.63	35.5	24.63	76.71	45.85	131.51	94.67	172.65	64.8	12.93	11.55	0.44	26.67	0.21	12.93	38.95	18.84
CNIH4	2485.67	1769.57	1350.18	1685.71	1378.57	1457.23	1388.16	2004.85	1191.69	1051.79	915.51	106.63	1388.16	988.12	884.29	1030.12	1757.34
COL27A1	1183.45	255.0	228.13	633.73	273.37	1127.35	312.0	403.5	136.19	59.13	152.28	0.93	124.37	61.68	50.27	37.59	55.49
CRNN	4802.93	358.54	2171106.91	1221310.69	2805836.45	5.45	3212.66	3820.7	4107985.47	134755.94	133825.1	0.0	4851500.88	834179.46	6183532.28	4558095.38	5534416.31
CSNK1G2	2209.26	1313.23	1605.83	995.0	1225.22	1594.73	1977.24	1340.84	1322.37	791.35	981.29	0.66	813.63	660.68	1023.0	796.86	1030.12
DDX10	743.43	381.68	397.93	571.05	329.84	620.67	497.0	620.67	285.03	373.81	392.44	0.47	346.29	297.17	361.04	587.13	493.56
DDX11	669.92	353.59	376.41	591.22	384.34	860.08	954.43	1331.57	283.05	140.04	175.07	0.71	285.03	260.38	137.14	209.84	58.3
DDX56	2367.9	1844.76	1769.57	2224.63	1583.71	2777.33	1457.23	2451.44	1304.15	1304.15	1437.15	0.99	1259.69	1437.15	1159.07	1051.79	1388.16
DGKZ	1143.1	921.88	1159.07	1135.2	1073.91	1594.73	1313.23	1378.57	967.76	651.58	674.59	1135.2	819.3	928.3	791.35	660.68	638.15
DIRC1	3.35	6.16	0.0	0.0	1.58	1.14	4.03	1.08	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0
DNM1L	1096.5	1008.9	941.27	1369.04	813.63	1225.22	1427.22	1540.37	764.36	748.61	753.83	320.8	866.07	743.43	599.49	490.14	486.75
DPP9	974.5	1143.1	961.07	769.69	866.07	1259.69	941.27	808.0	738.29	490.14	651.58	1605.83	587.13	934.76	842.36	612.11	403.5
EDC4	1073.91	1143.1	902.89	866.07	733.19	1259.69	947.83	1427.22	934.76	656.11	599.49	208.38	559.28	612.11	532.74	500.46	379.04
ERCC2	395.18	379.04	334.46	518.15	253.23	395.18	325.29	476.71	293.07	158.79	180.02	0.4	115.97	253.23	255.0	155.5	107.38
EXOSC10	1066.48	1119.56	1191.69	1447.15	1030.12	1529.73	1378.57	1628.26	909.17	854.13	842.36	1.01	890.44	698.41	543.96	647.07	555.41
FAM133B	473.41	376.41	303.44	521.76	267.73	555.41	540.19	551.56	248.0	420.68	305.55	0.58	220.32	389.72	221.86	182.55	189.02
FAM213B	521.76	371.22	403.5	379.04	316.37	848.22	438.59	423.61	277.2	229.72	273.37	0.57	301.33	234.57	376.41	329.84	260.38
FAM53A	66.18	37.32	22.43	29.91	11.73	67.59	24.99	38.4	13.03	12.09	16.15	0.2	6.57	13.22	3.41	10.79	13.52
FLAD1	1096.5	890.44	1030.12	1023.0	733.19	1225.22	921.88	1350.18	698.41	612.11	555.41	0.82	743.43	698.41	872.1	921.88	791.35
FSCN1	6935.54	7642.41	2451.44	6121.9	2384.37	1757.34	5006.93	9540.5	1617.0	2240.11	4972.34	0.83	3039.3	1870.53	3716.2	1628.26	3443.31
GLMN	376.41	279.14	253.23	423.61	264.03	191.67	301.33	403.5	205.5	171.45	163.28	0.55	241.19	115.97	206.94	105.89	262.2
GPR63	18.97	8.32	11.3	9.41	13.83	13.93	14.45	32.36	11.21	8.92	7.4	0.23	9.56	1.83	2.03	7.11	3.17
IFT122	414.87	295.11	231.32	255.0	195.72	361.04	242.88	373.81	269.6	153.34	153.34	0.77	86.43	119.26	48.87	105.15	97.36
ILF3	3349.13	2664.15	2777.33	2682.69	2255.7	3168.41	3491.39	4972.34	2075.59	1519.15	1733.13	1.19	2119.22	1572.76	2148.82	1304.15	1447.15
ILKAP	595.34	571.05	703.28	921.88	571.05	967.76	842.36	1175.27	620.67	500.46	423.61	0.99	366.09	463.65	400.71	329.84	417.77
IRF3	2367.9	1628.26	1594.73	2627.46	1208.34	2468.49	1769.57	2255.7	1208.34	896.64	974.5	507.46	830.75	928.3	723.08	665.29	665.29
ITGB1BP1	2255.7	3235.01	2018.8	1437.15	1819.35	2240.11	2434.5	2351.53	1936.53	967.76	1277.29	0.49	2032.85	1286.18	1819.35	638.15	1733.13
KNTC1	1199.98	679.29	271.48	764.36	353.59	579.04	860.08	1923.14	236.21	189.02	153.34	0.83	248.0	94.01	144.01	88.88	94.67
KXD1	3081.75	3325.99	2367.9	1697.45	1977.24	2758.13	2319.15	2682.69	2018.8	1225.22	1286.18	2384.37	1378.57	1350.18	1519.15	1313.23	1551.09
LSM1	1295.13	1037.29	780.44	1023.0	808.0	1628.26	1051.79	902.89	813.63	860.08	703.28	0.77	791.35	848.22	941.27	995.0	1407.55
LYRM4	775.05	629.35	518.15	473.41	432.53	669.92	620.67	579.04	409.15	423.61	271.48	115.16	629.35	466.88	387.02	301.33	486.75
METTL12	363.56	158.79	162.14	183.82	173.85	325.29	301.33	293.07	150.17	83.45	54.33	0.45	162.14	72.01	38.4	107.38	108.14
METTL16	587.13	412.0	363.56	441.64	271.48	348.71	387.02	612.11	281.09	281.09	287.01	327.56	142.01	242.88	325.29	273.37	258.57
MFSD10	2240.11	2417.67	1605.83	1498.22	1001.93	3039.3	1023.0	1407.55	1159.07	525.39	896.64	1.23	384.34	872.1	387.02	454.09	226.54
MIER2	733.19	743.43	503.95	389.72	460.44	551.56	503.95	547.75	507.46	221.86	316.37	0.52	521.76	277.2	314.17	381.68	316.37
MLLT11	234.57	114.36	83.45	164.42	109.66	64.8	224.97	249.73	94.67	44.89	43.94	0.95	32.13	43.32	38.4	23.93	13.42
MPP3	241.19	234.57	159.9	181.28	134.3	323.03	158.79	229.72	132.44	44.25	34.75	0.8	16.39	23.42	9.06	24.11	22.75
MRPL9	2303.12	1806.78	1519.15	1674.06	1208.34	2004.85	1487.87	2075.59	1023.0	1073.91	909.17	0.69	813.63	1096.5	909.17	995.0	1151.06
MTERFD1	638.15	348.71	363.56	579.04	309.83	373.81	603.67	607.87	241.19	316.37	289.02	0.13	106.63	187.71	176.29	212.78	239.52
N6AMT2	291.04	346.29	202.66	273.37	178.77	271.48	214.27	193.01	173.85	129.69	135.24	0.08	78.34	120.94	108.14	162.14	134.3
NADK	967.76	1233.75	1159.07	995.0	693.58	1936.53	1304.15	1457.23	981.29	529.06	703.28	571.05	371.22	733.19	341.51	518.15	376.41
NOL9	128.79	193.01	181.28	249.73	164.42	169.07	236.21	260.38	155.5	103.69	99.43	379.04	71.5	72.52	140.04	98.73	119.26
NPIPA1	5329.3	2645.74	1909.85	2287.2	1896.65	3168.41	2047.0	4038.61	1378.57	368.65	511.0	1.33	392.44	414.87	212.78	182.55	305.55
NSUN5	1304.15	1151.06	738.29	1159.07	543.96	1437.15	728.11	1167.14	540.19	423.61	353.59	0.49	325.29	642.59	318.57	447.82	283.05
PALD1	124.37	236.21	229.72	147.06	128.79	165.57	229.72	163.28	147.06	59.13	47.84	0.57	150.17	94.01	59.55	57.08	37.05
PAM16	1286.18	1225.22	819.3	1119.56	738.29	1561.89	954.43	1540.37	703.28	603.67	490.14	0.85	551.56	409.15	595.34	493.56	693.58
PCDHGC5	26.1	49.56	27.84	28.65	19.39	36.01	25.91	39.5	24.46	2.16	45.53	0.51	0.4	4.58	0.0	1.85	2.63
PCNX	285.03	336.79	242.88	299.25	159.9	334.46	466.88	400.71	189.02	128.79	147.06	0.48	147.06	169.07	111.99	124.37	106.63
PELP1	1151.06	909.17	860.08	915.51	620.67	1059.11	848.22	1242.34	579.04	525.39	438.59	1037.29	521.76	638.15	507.46	341.51	363.56
PEX5	521.76	748.61	603.67	579.04	358.54	423.61	651.58	1008.9	476.71	395.18	314.17	0.65	312.0	420.68	332.14	309.83	441.64
PFDN2	4210.15	3372.43	2573.36	3257.52	1781.89	3303.0	2875.3	5751.61	1529.73	1977.24	1467.37	0.6	2468.49	2209.26	2335.28	1794.29	2796.65
PHKG2	1268.46	802.41	587.13	723.08	536.45	896.64	638.15	1015.93	493.56	420.68	392.44	1.0	473.41	381.68	400.71	267.73	309.83
PIGH	521.76	412.0	397.93	381.68	325.29	480.04	373.81	470.14	406.31	348.71	323.03	2537.92	197.09	246.28	275.28	275.28	242.88
PLXNA1	921.88	808.0	563.18	674.59	400.71	403.5	674.59	802.41	329.84	193.01	332.14	52.82	178.77	262.2	150.17	156.59	67.12
POLE	791.35	612.11	551.56	642.59	500.46	647.07	748.61	1199.98	473.41	267.73	327.56	0.93	339.14	277.2	197.09	199.85	158.79
POLG	995.0	1008.9	1023.0	915.51	896.64	1508.65	974.5	915.51	1191.69	698.41	575.03	0.87	616.37	665.29	599.49	607.87	497.0
POLN	49.56	33.78	18.03	37.85	19.11	128.79	21.94	45.85	28.86	4.24	5.28	0.49	6.01	4.86	7.11	6.94	2.94
PON2	2627.46	2319.15	1529.73	2119.22	1295.13	2468.49	1583.71	1685.71	860.08	529.06	693.58	1.0	180.02	698.41	258.57	473.41	253.23
PRSS45	11.13	3.96	3.32	4.98	3.44	3.96	2.25	17.25	2.46	1.27	0.0	0.35	0.0	3.53	0.96	0.58	0.0
PYCR2	1991.0	1369.04	1175.27	1331.57	1104.13	1870.53	1977.24	1806.78	961.07	764.36	796.86	0.8	529.06	1081.39	332.14	723.08	397.93
PYURF	2777.33	1427.22	1487.87	2104.58	1540.37	1617.0	2335.28	1617.0	1477.58	764.36	1259.69	0.83	1277.29	981.29	1242.34	1819.35	2335.28
QPCTL	166.73	120.94	132.44	131.51	90.77	253.23	178.77	258.57	93.35	87.65	98.04	0.65	44.89	90.14	86.43	65.26	44.25
RPGRIP1L	139.07	67.12	40.07	80.57	39.79	61.68	90.77	169.07	35.25	48.52	33.54	0.0	37.59	45.53	32.59	28.04	20.11
RPP21	3349.13	3168.41	2555.58	2255.7	2287.2	2935.74	2047.0	2335.28	2240.11	1529.73	1096.5	0.54	2018.8	1844.76	2061.24	2224.63	2178.83
RPS17	41475.31	32767.0	25530.66	21172.91	26248.46	25354.3	24660.96	20737.16	34876.28	8901.53	15075.35	1.31	11909.94	15075.35	21919.61	5913.33	24660.96
RPS19BP1	2976.74	3515.68	2032.85	1794.29	2018.8	2090.03	2502.97	2209.26	2271.4	1397.83	1447.15	0.87	848.22	1322.37	1769.57	1540.37	1322.37
SAP25	80.57	13.03	69.52	825.0	31.9	144.01	47.17	15.68	55.49	3.79	3.53	1.28	7.46	14.78	1.11	0.0	0.61
SDCCAG3	1350.18	941.27	902.89	928.3	708.18	1697.45	866.07	1044.52	703.28	363.56	490.14	0.71	301.33	432.53	309.83	303.44	244.57
SIRT6	842.36	660.68	555.41	490.14	507.46	995.0	633.73	521.76	457.25	283.05	277.2	0.71	262.2	368.65	371.22	262.2	299.25
SMARCD3	1104.13	633.73	441.64	305.55	215.77	334.46	563.18	529.06	217.27	193.01	260.38	1.04	72.52	314.17	92.05	127.0	76.17
SMG9	961.07	679.29	486.75	579.04	336.79	1167.14	718.08	995.0	441.64	353.59	312.0	0.31	152.28	339.14	177.53	158.79	172.65
SNAPC4	191.67	120.1	167.9	128.79	104.42	275.28	136.19	150.17	106.63	77.25	79.45	0.64	51.71	64.34	50.27	48.87	36.53
SSB	2573.36	2032.85	1508.65	2400.97	1259.69	2537.92	2645.74	3768.09	866.07	1605.83	1143.1	0.83	1519.15	1605.83	1167.14	1127.35	1651.0
STK11	1447.15	1151.06	1030.12	830.75	1051.79	1151.06	921.88	974.5	1081.39	651.58	620.67	148.09	713.11	825.0	878.17	728.11	1135.2
STXBP4	71.5	61.68	33.3	37.59	14.03	28.86	88.26	72.52	20.86	31.67	26.86	0.15	24.28	20.26	11.64	25.91	21.01
SUPV3L1	921.88	651.58	555.41	743.43	457.25	785.88	642.59	1051.79	480.04	514.56	460.44	0.65	381.68	514.56	518.15	423.61	624.99
SYMPK	995.0	808.0	1250.98	1151.06	896.64	1304.15	995.0	1417.35	848.22	819.3	764.36	0.99	684.02	764.36	571.05	567.1	583.07
TAF1D	3820.7	2303.12	1583.71	2976.74	1467.37	3614.55	3168.41	2627.46	1183.45	1059.11	1216.75	0.46	791.35	791.35	1008.9	633.73	1286.18
TARBP2	967.76	708.18	688.78	647.07	521.76	819.3	583.07	995.0	497.0	432.53	392.44	0.0	297.17	444.72	353.59	371.22	323.03
TBC1D19	156.59	86.43	57.49	74.06	46.5	38.67	87.65	97.36	49.56	56.68	51.35	0.13	35.76	73.03	19.11	36.79	26.28
TBC1D24	75.64	87.65	52.08	54.33	29.91	80.01	76.17	146.03	28.04	14.89	42.11	73.03	11.3	41.81	35.0	38.4	24.46
TBC1D32	81.14	88.26	54.72	84.04	57.08	103.69	108.14	82.29	34.26	50.63	68.07	289.02	36.79	44.89	32.59	30.12	21.78
TBL2	693.58	567.1	540.19	536.45	334.46	1051.79	480.04	642.59	400.71	457.25	384.34	323.03	249.73	540.19	371.22	420.68	351.14
TCEA2	2664.15	1313.23	583.07	638.15	518.15	397.93	1286.18	1674.06	567.1	256.78	182.55	0.58	183.82	303.44	178.77	138.1	217.27
THUMPD2	242.88	193.01	244.57	356.05	281.09	389.72	348.71	466.88	217.27	171.45	167.9	0.51	82.29	140.04	118.43	100.13	172.65
TIMM9	1685.71	941.27	884.29	1104.13	669.92	1697.45	1477.58	1437.15	693.58	1023.0	878.17	0.72	684.02	1242.34	785.88	679.29	1066.48
TMEM120B	165.57	140.04	98.73	133.36	66.65	201.25	137.14	141.02	47.17	40.36	70.51	543.96	60.82	73.03	45.21	59.13	35.25
TMEM161A	995.0	723.08	620.67	490.14	483.38	796.86	738.29	1096.5	521.76	307.69	403.5	0.61	201.25	438.59	262.2	351.14	273.37
TMEM243	642.59	620.67	363.56	486.75	320.8	775.05	493.56	629.35	341.51	314.17	264.03	0.57	164.42	198.47	137.14	132.44	175.07
TRIM35	334.46	551.56	412.0	343.89	295.11	327.56	356.05	473.41	307.69	348.71	289.02	87.03	303.44	320.8	229.72	371.22	543.96
U2AF2	3589.58	3768.09	4095.0	3515.68	2997.45	4038.61	3982.99	5954.47	2895.31	2777.33	2502.97	1.23	3124.78	3212.66	2555.58	2303.12	1697.45
UBE2G2	1277.29	872.1	928.3	1015.93	753.83	1066.48	1175.27	1023.0	808.0	620.67	470.14	1059.11	599.49	651.58	403.5	555.41	295.11
USP34	1369.04	1023.0	890.44	1135.2	1127.35	1242.34	1304.15	1225.22	1104.13	796.86	808.0	0.88	660.68	612.11	808.0	723.08	909.17
USP45	172.65	123.5	115.16	165.57	96.68	167.9	152.28	220.32	92.7	101.54	104.42	0.47	83.45	55.89	61.25	87.03	55.89
UTP6	1617.0	1259.69	1081.39	1417.35	974.5	1605.83	1427.22	1651.0	796.86	1081.39	909.17	327.56	769.69	647.07	713.11	679.29	961.07
WDR75	830.75	759.08	591.22	842.36	447.82	723.08	738.29	819.3	412.0	490.14	414.87	0.65	343.89	329.84	318.57	327.56	384.34
WDR90	1304.15	974.5	753.83	651.58	540.19	1685.71	660.68	1175.27	447.82	151.22	217.27	0.97	166.73	166.73	88.88	57.08	84.63
WRAP73	497.0	444.72	426.57	525.39	363.56	583.07	559.28	579.04	441.64	269.6	299.25	0.79	249.73	255.0	244.57	231.32	146.03
XPO5	698.41	633.73	647.07	669.92	486.75	647.07	483.38	785.88	470.14	435.55	363.56	0.68	373.81	361.04	341.51	426.57	343.89
XPO6	2915.45	1991.0	2004.85	1909.85	1561.89	1963.57	1781.89	2701.35	1359.57	1322.37	1427.22	1008.9	1183.45	1183.45	1277.29	1340.84	1023.0
YARS2	808.0	363.56	316.37	389.72	246.28	329.84	607.87	684.02	279.14	417.77	432.53	0.04	248.0	318.57	346.29	397.93	320.8
ZBTB17	743.43	902.89	647.07	743.43	603.67	830.75	842.36	796.86	728.11	417.77	373.81	0.78	665.29	460.44	713.11	426.57	368.65
ZNF219	1594.73	1487.87	1651.0	1073.91	1508.65	1088.92	1745.2	1073.91	1697.45	525.39	426.57	0.92	571.05	713.11	1225.22	836.53	1167.14
ZNF239	61.25	44.25	32.13	37.59	11.38	177.53	46.84	74.06	19.11	26.28	13.42	0.17	0.59	10.47	3.08	10.88	0.82
ZNF696	105.15	65.72	81.71	81.14	32.36	127.89	90.14	150.17	54.72	40.93	38.95	0.0	15.68	47.17	23.08	47.17	16.15
ZNF787	647.07	651.58	529.06	518.15	361.04	624.99	470.14	476.71	466.88	309.83	265.87	231.32	236.21	423.61	432.53	275.28	397.93
ZNF814	341.51	212.78	173.85	150.17	180.02	314.17	154.42	206.94	195.72	83.45	146.03	0.74	21.78	116.78	64.8	61.25	26.28
