	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.144GM.0126.SM.5Q5AX	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZY6K.0326.SM.5SIBB	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07
BSDC1	813.63	733.19	796.86	988.12	0.0	0.72	373.81	1225.22	1359.57	780.44	2303.12	791.35	1359.57	1628.26	1081.39	723.08	591.22	620.67	1167.14	1313.23	836.53	1594.73	1183.45	748.61	1331.57	961.07	1331.57	947.83	1457.23	1745.2	819.3	934.76	1617.0	591.22	928.3	1806.78	890.44	1806.78	1350.18	1561.89	1437.15	1870.53	1250.98	836.53	341.51
BTD	194.36	239.52	171.45	511.0	0.0	0.24	305.55	830.75	947.83	232.94	1119.56	684.02	503.95	708.18	718.08	209.84	432.53	507.46	902.89	884.29	351.14	785.88	507.46	224.97	529.06	591.22	954.43	656.11	633.73	748.61	281.09	323.03	703.28	435.55	612.11	902.89	1167.14	791.35	921.88	633.73	693.58	947.83	521.76	381.68	220.32
C14orf132	24.99	3.44	5.19	4.06	0.0	0.29	24.11	555.41	1572.76	208.38	2319.15	460.44	878.17	928.3	674.59	114.36	54.33	162.14	954.43	603.67	497.0	684.02	1135.2	107.38	830.75	454.09	1104.13	738.29	743.43	802.41	460.44	224.97	915.51	109.66	239.52	1857.6	629.35	842.36	921.88	525.39	902.89	1427.22	555.41	172.65	72.01
C1QTNF7	1.64	2.92	2.81	4.82	0.0	0.0	2.94	253.23	551.56	11.91	764.36	154.42	223.41	255.0	88.88	3.72	23.59	28.04	237.86	305.55	61.25	232.94	264.03	4.5	255.0	59.13	202.66	92.7	138.1	277.2	18.16	43.63	420.68	4.31	96.68	217.27	69.03	389.72	356.05	246.28	177.53	684.02	35.5	24.99	0.89
CBX7	91.41	68.07	96.01	279.14	0.0	0.36	51.35	1081.39	1340.84	389.72	2148.82	297.17	1216.75	1447.15	854.13	220.32	164.42	353.59	1183.45	1322.37	486.75	825.0	1313.23	220.32	1844.76	723.08	1407.55	796.86	1977.24	2004.85	297.17	258.57	616.37	271.48	376.41	1745.2	591.22	1819.35	1331.57	961.07	1447.15	2303.12	647.07	232.94	22.75
CDIPT	1096.5	1605.83	1183.45	1896.65	0.0	0.74	902.89	2148.82	3665.02	1963.57	3928.15	2004.85	2417.67	2627.46	2682.69	1457.23	2240.11	2163.77	2609.3	2485.67	2240.11	2935.74	2609.3	1605.83	2573.36	1936.53	2061.24	2367.9	3103.19	3467.27	1540.37	460.44	3018.3	2485.67	2018.8	3349.13	2018.8	3467.27	2777.33	3081.75	2400.97	2720.15	2032.85	1417.35	1322.37
CRTC3	120.1	109.66	172.65	171.45	0.0	0.56	237.86	607.87	490.14	470.14	638.15	277.2	438.59	493.56	346.29	438.59	171.45	189.02	289.02	368.65	361.04	525.39	563.18	273.37	441.64	493.56	384.34	587.13	624.99	551.56	426.57	368.65	403.5	221.86	409.15	599.49	332.14	414.87	497.0	470.14	651.58	825.0	346.29	241.19	87.65
CTSF	400.71	49.56	117.6	1651.0	0.0	0.04	186.4	1757.34	1757.34	511.0	2004.85	915.51	1175.27	1088.92	769.69	186.4	283.05	529.06	1104.13	1015.93	693.58	1572.76	1594.73	285.03	1781.89	547.75	1277.29	1183.45	2468.49	3103.19	209.84	366.09	1781.89	239.52	1008.9	1143.1	559.28	2627.46	1832.01	1651.0	1127.35	1977.24	329.84	454.09	115.16
CYB5D2	246.28	291.04	132.44	356.05	0.0	0.1	376.41	656.11	981.29	217.27	708.18	490.14	540.19	470.14	525.39	246.28	232.94	381.68	444.72	567.1	325.29	688.78	571.05	258.57	358.54	497.0	480.04	432.53	629.35	473.41	239.52	341.51	320.8	231.32	400.71	764.36	403.5	547.75	417.77	595.34	511.0	769.69	312.0	351.14	480.04
DIXDC1	28.04	38.4	29.48	26.1	0.0	0.16	22.92	164.42	395.18	111.21	371.22	115.16	223.41	223.41	121.79	107.38	71.5	63.89	208.38	215.77	72.52	267.73	242.88	61.25	291.04	129.69	236.21	208.38	237.86	332.14	128.79	62.12	346.29	53.19	242.88	248.0	113.56	356.05	301.33	217.27	351.14	551.56	202.66	173.85	15.22
EVC	29.48	5.59	54.72	38.4	0.0	0.33	10.71	182.55	228.13	136.19	595.34	137.14	190.34	172.65	119.26	35.25	40.93	27.05	129.69	220.32	81.71	177.53	190.34	21.32	218.79	194.36	204.07	167.9	228.13	251.48	106.63	105.15	287.01	50.98	102.25	325.29	111.21	323.03	217.27	379.04	130.6	363.56	96.68	90.14	11.3
FAM168A	190.34	57.08	146.03	190.34	137.14	107.38	51.71	470.14	540.19	281.09	547.75	366.09	376.41	429.54	277.2	202.66	376.41	275.28	336.79	470.14	234.57	384.34	400.71	234.57	332.14	366.09	460.44	603.67	346.29	423.61	293.07	647.07	327.56	256.78	353.59	674.59	271.48	647.07	543.96	486.75	392.44	511.0	325.29	303.44	50.63
FAM180A	1.46	2.39	11.91	8.85	0.0	0.13	1.79	85.22	85.82	18.16	156.59	44.25	26.86	44.25	45.85	17.38	7.51	5.02	39.22	31.45	21.01	255.0	61.68	2.89	27.84	20.41	53.57	79.45	100.13	92.7	14.45	23.76	41.22	7.69	27.84	68.55	28.45	185.11	92.05	56.68	114.36	115.16	2.14	20.11	0.0
FAM227B	33.78	37.32	38.95	59.13	0.0	0.09	60.39	153.34	143.01	40.64	128.79	102.97	133.36	108.9	76.71	63.89	82.29	92.7	124.37	103.69	44.25	41.52	87.03	38.67	127.0	57.89	193.01	71.5	158.79	104.42	49.56	74.06	150.17	30.78	100.83	74.58	60.39	102.97	115.16	72.01	115.97	132.44	111.99	69.03	17.64
FKBP9	825.0	1498.22	624.99	236.21	947.83	3146.52	967.76	1674.06	3742.05	961.07	4419.52	2119.22	1781.89	2367.9	1651.0	470.14	703.28	941.27	1857.6	1561.89	921.88	2133.97	1594.73	540.19	1277.29	1709.26	2193.99	1721.16	1250.98	1286.18	733.19	1295.13	2384.37	813.63	1745.2	3665.02	878.17	2287.2	1883.54	1583.71	1977.24	2915.45	669.92	1015.93	974.5
FOXO4	40.07	167.9	123.5	102.97	0.0	0.31	47.5	603.67	665.29	115.97	1059.11	187.71	521.76	583.07	271.48	177.53	124.37	204.07	417.77	339.14	232.94	460.44	486.75	139.07	460.44	265.87	514.56	392.44	463.65	665.29	183.82	170.25	575.03	167.9	155.5	591.22	318.57	884.29	616.37	497.0	595.34	624.99	231.32	100.13	27.64
FXYD1	43.63	23.93	34.26	133.36	0.0	0.34	50.63	1447.15	2255.7	713.11	3235.01	497.0	1477.58	1551.09	1277.29	379.04	108.9	193.01	1073.91	1662.49	842.36	1350.18	1605.83	368.65	1977.24	995.0	1806.78	2255.7	4010.71	2591.27	161.02	265.87	1286.18	115.97	753.83	2485.67	381.68	3146.52	1733.13	1268.46	1769.57	2148.82	209.84	197.09	42.71
FYCO1	57.89	87.65	164.42	178.77	201.25	48.52	51.71	629.35	647.07	470.14	647.07	123.5	571.05	575.03	400.71	336.79	94.01	231.32	376.41	400.71	417.77	351.14	400.71	187.71	995.0	397.93	397.93	441.64	316.37	423.61	358.54	141.02	466.88	239.52	406.31	497.0	518.15	1340.84	941.27	463.65	723.08	1359.57	738.29	215.77	28.24
GPIHBP1	0.92	3.66	10.08	10.88	0.0	0.0	2.14	1529.73	4607.24	215.77	1857.6	435.55	287.01	1437.15	1605.83	20.56	376.41	791.35	1322.37	909.17	211.31	540.19	603.67	251.48	928.3	599.49	2915.45	1225.22	1950.0	3467.27	52.45	244.57	555.41	307.69	1651.0	2335.28	1167.14	1685.71	1572.76	571.05	575.03	2178.83	392.44	98.04	0.0
GPLD1	0.59	0.73	2.61	5.68	0.0	0.0	5.77	42.71	71.5	31.9	50.63	24.28	43.02	73.54	35.76	18.03	3.03	10.16	48.87	26.1	13.03	70.51	24.99	20.41	87.03	14.45	60.82	31.0	38.67	51.35	22.75	47.84	38.4	10.88	25.35	42.71	39.79	48.87	75.11	73.54	68.55	54.33	25.17	10.96	4.66
HLF	7.22	3.59	9.85	57.08	0.0	0.13	3.56	480.04	1519.15	122.64	780.44	262.2	444.72	435.55	384.34	83.45	23.08	42.71	476.71	599.49	279.14	571.05	285.03	25.72	3039.3	389.72	587.13	674.59	265.87	1023.0	214.27	303.44	1051.79	48.52	1096.5	571.05	318.57	543.96	563.18	334.46	808.0	1572.76	665.29	42.71	2.32
IP6K1	293.07	260.38	323.03	406.31	0.0	0.57	186.4	813.63	642.59	748.61	974.5	525.39	616.37	1081.39	674.59	559.28	406.31	470.14	723.08	591.22	457.25	555.41	656.11	450.94	688.78	703.28	633.73	995.0	854.13	775.05	414.87	555.41	490.14	961.07	429.54	1127.35	444.72	1059.11	713.11	1001.93	988.12	878.17	400.71	536.45	148.09
KANK2	543.96	229.72	195.72	312.0	854.13	153.34	269.6	3257.52	4869.99	2335.28	6471.02	1674.06	4836.35	3982.99	3303.0	563.18	587.13	1487.87	2178.83	3124.78	2004.85	3372.43	3190.46	429.54	3820.7	2664.15	4010.71	4038.61	4066.71	3419.52	1870.53	1529.73	2976.74	1199.98	2075.59	4869.99	1540.37	4095.0	3639.7	5006.93	3235.01	7280.4	1674.06	775.05	91.41
KAT6B	21.63	40.64	44.57	53.57	53.95	57.08	35.25	241.19	289.02	132.44	420.68	147.06	239.52	249.73	180.02	74.06	70.01	96.68	251.48	204.07	126.12	212.78	366.09	72.01	217.27	159.9	264.03	248.0	255.0	285.03	193.01	151.22	283.05	89.51	229.72	316.37	185.11	384.34	301.33	231.32	299.25	336.79	167.9	111.99	12.93
KCNA5	0.82	1.91	1.55	3.44	0.0	0.06	0.0	27.25	53.95	36.27	31.45	5.02	68.07	60.82	19.53	19.68	8.25	5.5	35.25	14.89	10.88	32.59	30.34	5.54	52.45	34.51	65.26	87.65	63.0	105.15	3.38	16.39	71.5	1.03	5.06	32.82	3.72	35.76	36.53	9.93	87.65	144.01	6.89	16.39	0.0
KCNAB1	2.1	4.24	5.11	5.68	0.0	0.0	8.65	101.54	158.79	33.3	72.52	18.16	146.03	139.07	76.17	20.86	16.15	32.36	85.22	43.02	77.79	111.21	84.04	11.38	159.9	63.0	147.06	125.24	114.36	94.01	23.59	29.48	47.17	25.72	73.03	58.3	43.94	75.64	84.04	27.05	205.5	299.25	56.68	17.77	10.55
KIAA0355	72.52	77.79	138.1	96.68	0.0	0.45	43.94	258.57	381.68	318.57	684.02	156.59	334.46	351.14	246.28	255.0	58.71	120.94	241.19	277.2	178.77	361.04	389.72	119.26	309.83	265.87	392.44	441.64	483.38	371.22	307.69	180.02	329.84	99.43	229.72	450.94	206.94	466.88	507.46	341.51	334.46	507.46	231.32	138.1	27.05
KIF26A	3.59	2.78	4.62	3.41	3.38	50.27	26.67	30.56	93.35	48.18	73.03	41.22	66.18	44.57	34.51	29.91	25.17	26.1	14.56	148.09	8.78	78.34	69.52	22.92	88.26	61.25	77.79	106.63	76.71	92.05	17.9	12.27	79.45	13.03	11.21	143.01	26.1	71.5	70.51	104.42	26.28	165.57	32.36	38.4	0.6
KLHL36	218.79	264.03	307.69	201.25	0.0	0.73	387.02	444.72	532.74	269.6	579.04	363.56	414.87	563.18	371.22	323.03	176.29	251.48	559.28	406.31	283.05	624.99	500.46	251.48	665.29	325.29	454.09	395.18	525.39	679.29	373.81	316.37	397.93	260.38	287.01	514.56	529.06	356.05	583.07	480.04	447.82	591.22	447.82	285.03	198.47
LIFR	14.35	3.03	6.46	5.82	0.0	0.38	10.55	571.05	1225.22	120.1	2485.67	271.48	591.22	819.3	656.11	163.28	73.03	173.85	743.43	483.38	229.72	802.41	1457.23	78.34	890.44	379.04	1199.98	967.76	412.0	961.07	205.5	112.77	890.44	74.06	567.1	1277.29	536.45	1151.06	1870.53	389.72	902.89	2816.11	780.44	86.43	21.32
LMOD1	25.91	49.91	36.01	29.27	0.0	0.49	22.43	379.04	1487.87	241.19	1081.39	218.79	620.67	679.29	403.5	34.26	56.68	173.85	432.53	181.28	384.34	1233.75	563.18	41.22	738.29	204.07	842.36	1487.87	1417.35	1662.49	170.25	112.77	638.15	38.95	193.01	718.08	217.27	1008.9	616.37	507.46	1662.49	2645.74	409.15	88.88	4.24
LRRC2	1.23	1.95	6.21	14.45	0.0	0.0	0.92	27.44	51.71	3.99	27.44	29.48	31.0	36.53	13.72	3.03	9.13	17.13	58.71	14.35	13.72	60.82	9.41	5.23	34.75	19.68	19.39	17.13	13.52	55.89	20.71	9.06	48.87	7.57	32.59	24.63	37.85	47.17	44.89	41.22	33.06	52.45	31.45	14.24	0.18
MAML3	3.82	49.21	40.36	23.08	0.0	0.35	35.76	176.29	297.17	42.71	264.03	70.51	120.1	215.77	115.97	55.89	46.18	90.14	141.02	100.83	85.22	173.85	128.79	32.59	182.55	89.51	140.04	115.97	152.28	80.57	53.19	58.71	215.77	50.63	55.49	139.07	121.79	173.85	186.4	193.01	114.36	295.11	173.85	36.01	2.92
MARCH8	89.51	75.64	133.36	157.68	0.0	0.39	137.14	454.09	571.05	176.29	842.36	348.71	463.65	698.41	316.37	142.01	212.78	234.57	435.55	525.39	171.45	540.19	620.67	220.32	651.58	406.31	426.57	423.61	571.05	775.05	301.33	204.07	974.5	157.68	336.79	703.28	476.71	743.43	791.35	603.67	490.14	947.83	361.04	253.23	77.25
MME	9.2	20.41	145.02	3.0	0.0	0.27	26.1	2163.77	1073.91	141.02	5329.3	115.16	941.27	1073.91	400.71	154.42	120.1	45.85	764.36	928.3	529.06	563.18	1096.5	137.14	1378.57	500.46	860.08	435.55	400.71	738.29	264.03	58.3	819.3	71.0	703.28	728.11	320.8	1551.09	2682.69	379.04	1909.85	4869.99	397.93	42.71	73.54
NEGR1	2.46	7.4	4.24	1.17	0.0	0.27	5.92	348.71	297.17	31.9	713.11	19.97	281.09	156.59	102.97	20.26	10.0	10.47	135.24	49.21	65.72	173.85	255.0	8.92	212.78	57.89	152.28	94.01	265.87	397.93	19.68	11.64	132.44	24.63	101.54	260.38	105.15	693.58	525.39	92.05	638.15	718.08	43.32	23.59	1.0
NFIX	156.59	277.2	125.24	208.38	447.82	332.14	123.5	2777.33	4298.64	1936.53	6079.61	3303.0	2645.74	2855.44	1066.48	723.08	346.29	612.11	1407.55	4066.71	1259.69	2502.97	2224.63	271.48	2148.82	2004.85	2956.17	3443.31	2119.22	2935.74	1081.39	1757.34	1769.57	890.44	2104.58	5751.61	708.18	3742.05	2018.8	5041.77	1662.49	3716.2	728.11	629.35	51.71
NMNAT3	42.41	307.69	12.74	59.97	0.0	0.47	37.05	72.52	144.01	45.53	171.45	44.25	84.63	55.1	169.07	19.53	47.84	27.05	103.69	161.02	48.52	58.71	82.29	9.78	165.57	39.79	141.02	29.7	120.1	275.28	44.25	37.85	172.65	19.25	33.3	146.03	85.82	181.28	55.89	90.14	47.17	281.09	74.58	24.28	30.12
NXPH3	25.91	9.63	9.63	4.13	0.0	0.03	3.0	175.07	187.71	62.12	221.86	67.59	178.77	135.24	55.1	12.93	22.43	19.39	76.71	161.02	36.27	115.16	96.68	14.56	351.14	50.63	144.01	170.25	100.83	351.14	24.63	27.25	193.01	13.93	27.44	126.12	43.32	169.07	103.69	205.5	157.68	660.68	56.28	24.99	3.86
PBXIP1	703.28	555.41	988.12	1073.91	620.67	189.02	555.41	2104.58	4038.61	684.02	3564.78	1923.14	2148.82	2682.69	1183.45	633.73	780.44	1175.27	2018.8	2777.33	1143.1	2956.17	1896.65	718.08	2609.3	1583.71	2520.38	2758.13	2701.35	3982.99	500.46	1208.34	3955.48	525.39	1183.45	3794.3	1127.35	6337.83	2573.36	3768.09	2573.36	4937.99	796.86	1923.14	403.5
PCDHA3	0.33	0.56	0.0	0.97	0.0	0.1	0.51	29.06	72.01	2.43	31.9	9.85	12.09	42.41	11.38	1.14	5.23	4.86	20.86	26.67	14.45	87.65	18.29	0.46	7.94	14.67	52.08	40.93	48.18	29.27	5.06	6.78	44.89	0.95	39.5	24.81	20.86	49.91	57.08	7.22	24.99	95.34	10.0	3.76	0.0
PCDHB11	1.75	7.0	3.11	0.45	0.0	0.24	4.31	36.01	3.35	27.84	73.54	8.65	15.8	38.4	2.78	21.47	0.0	9.85	13.83	10.47	5.77	28.86	13.83	18.84	7.57	1.3	53.19	71.5	24.28	30.34	2.73	2.56	24.28	1.71	10.55	50.98	1.85	121.79	56.68	38.12	19.97	139.07	8.92	7.82	0.93
PCDHGA5	0.79	0.87	2.1	6.26	0.0	0.26	7.28	27.25	37.59	15.22	76.17	11.38	18.84	35.5	23.25	11.38	10.16	6.57	14.56	41.81	23.25	32.13	14.24	10.0	44.25	25.91	15.11	48.52	54.33	54.33	10.55	16.39	39.22	13.32	33.06	56.68	14.35	62.56	57.49	16.88	23.25	61.68	26.1	4.98	2.01
PGM5	5.87	25.54	8.0	11.3	0.0	0.33	25.91	111.99	764.36	197.09	743.43	146.03	567.1	497.0	165.57	29.48	34.51	26.28	665.29	447.82	182.55	303.44	236.21	42.11	698.41	395.18	351.14	559.28	457.25	796.86	39.79	46.5	414.87	35.0	121.79	703.28	78.34	884.29	521.76	381.68	967.76	1628.26	150.17	64.34	5.5
PKD2	116.78	30.78	77.79	85.82	0.0	0.42	34.02	312.0	651.58	191.67	896.64	187.71	414.87	307.69	262.2	190.34	170.25	112.77	295.11	221.86	239.52	591.22	624.99	154.42	426.57	175.07	426.57	420.68	435.55	480.04	177.53	166.73	463.65	85.82	346.29	309.83	195.72	665.29	567.1	271.48	633.73	878.17	241.19	180.02	44.57
PLEKHH2	3.59	7.06	8.65	18.84	0.0	0.47	9.06	339.14	447.82	62.12	400.71	244.57	327.56	417.77	269.6	71.0	20.56	59.55	346.29	387.02	106.63	540.19	373.81	53.95	432.53	244.57	368.65	163.28	387.02	457.25	40.07	202.66	529.06	27.44	242.88	336.79	82.87	373.81	842.36	444.72	389.72	878.17	223.41	62.56	6.52
PRELP	17.38	9.27	17.0	66.18	0.0	0.53	22.92	3168.41	5329.3	186.4	12244.81	202.66	1151.06	2485.67	1191.69	84.04	107.38	403.5	1417.35	1066.48	896.64	3124.78	3901.01	221.86	2303.12	346.29	1594.73	954.43	3982.99	8247.98	120.94	92.05	1331.57	120.94	647.07	2133.97	525.39	9474.59	7803.01	1001.93	4010.71	3614.55	327.56	76.71	2.71
PTK2	688.78	1015.93	679.29	896.64	0.0	0.73	624.99	1183.45	1023.0	791.35	1417.35	633.73	1073.91	1508.65	1030.12	872.1	303.44	647.07	1233.75	836.53	848.22	1081.39	1191.69	563.18	1378.57	921.88	1143.1	878.17	1183.45	1037.29	656.11	579.04	1617.0	384.34	1378.57	1096.5	974.5	1437.15	1233.75	1081.39	1685.71	2119.22	1417.35	713.11	988.12
PTPN21	101.54	62.12	94.67	49.56	0.0	0.24	26.28	480.04	759.08	412.0	1697.45	224.97	909.17	791.35	543.96	221.86	100.13	162.14	665.29	551.56	229.72	540.19	1143.1	108.9	1304.15	480.04	890.44	417.77	743.43	620.67	358.54	279.14	607.87	123.5	363.56	884.29	281.09	723.08	624.99	500.46	642.59	941.27	514.56	158.79	23.59
RASL11A	33.3	265.87	70.01	105.89	0.0	0.42	108.9	587.13	842.36	429.54	2047.0	119.26	571.05	1551.09	1066.48	329.84	57.49	341.51	1896.65	575.03	743.43	429.54	567.1	323.03	152.28	536.45	1008.9	656.11	2148.82	3280.18	194.36	251.48	327.56	111.99	99.43	1135.2	277.2	4010.71	954.43	356.05	1119.56	1950.0	353.59	363.56	45.85
RASL12	21.94	24.63	48.87	21.47	0.0	0.56	49.91	314.17	567.1	412.0	457.25	368.65	406.31	361.04	503.95	92.7	92.05	249.73	221.86	551.56	231.32	543.96	167.9	153.34	463.65	536.45	1096.5	796.86	457.25	674.59	98.04	269.6	412.0	82.87	277.2	536.45	140.04	346.29	521.76	595.34	679.29	1015.93	297.17	253.23	16.63
RP11-1055B8.7	15.56	52.45	31.0	57.89	0.0	0.64	24.46	131.51	220.32	118.43	260.38	125.24	205.5	265.87	69.03	48.52	36.27	81.71	161.02	285.03	48.87	283.05	83.45	81.71	490.14	197.09	228.13	287.01	204.07	150.17	67.12	116.78	141.02	88.26	118.43	400.71	94.01	164.42	146.03	414.87	80.01	480.04	46.18	142.01	2.86
