	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.RWS6.0226.SM.2XCA9	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.PW2O.0526.SM.2I3DX	GTEX.12WSA.1026.SM.5EGHN	GTEX.UJMC.0726.SM.3GADX	GTEX.13OW8.1726.SM.5L3GO	TCGA.33.4589.01A.01R.1443.07
COL21A1	27.64	4.94	2.01	4.28	0.58	0.0	0.57	98.04	36.79	226.54	84.04	151.22	45.85	47.84	20.71	748.61	19.25	193.01	86.43	153.34	116.78	21.32	647.07	163.28	41.52	49.21	33.3	2.89	316.37	84.04	299.25	116.78	157.68	2.29
COL4A3	8.25	1.85	0.0	0.0	0.0	0.0	0.4	454.09	379.04	2319.15	571.05	1313.23	543.96	583.07	112.77	1844.76	94.01	2075.59	708.18	2367.9	1135.2	218.79	2895.31	1417.35	303.44	665.29	73.54	73.03	633.73	1883.54	3794.3	974.5	323.03	0.0
CREBRF	36.27	47.17	27.64	34.75	24.99	0.0	0.34	149.12	65.72	277.2	295.11	166.73	167.9	214.27	108.9	194.36	89.51	275.28	153.34	460.44	267.73	67.12	503.95	258.57	145.02	316.37	153.34	103.69	334.46	153.34	454.09	228.13	514.56	41.52
DCUN1D2	113.56	113.56	128.79	62.56	111.21	0.0	0.75	127.89	67.59	208.38	167.9	214.27	426.57	299.25	52.82	241.19	157.68	299.25	218.79	283.05	75.11	186.4	356.05	341.51	161.02	152.28	108.14	143.01	395.18	155.5	447.82	473.41	466.88	81.14
DENND6A	123.5	137.14	137.14	149.12	120.94	229.72	85.22	283.05	173.85	397.93	267.73	178.77	279.14	264.03	185.11	339.14	152.28	444.72	231.32	142.01	236.21	223.41	441.64	400.71	169.07	234.57	169.07	143.01	336.79	193.01	361.04	262.2	414.87	157.68
DMXL1	122.64	144.01	103.69	94.01	125.24	0.0	0.46	381.68	202.66	329.84	346.29	244.57	246.28	244.57	234.57	674.59	301.33	518.15	312.0	518.15	460.44	221.86	633.73	511.0	303.44	332.14	191.67	204.07	497.0	220.32	480.04	373.81	872.1	115.97
DNAJB14	97.36	163.28	165.57	223.41	145.02	0.0	0.46	417.77	190.34	287.01	325.29	381.68	348.71	273.37	241.19	525.39	283.05	486.75	403.5	438.59	387.02	237.86	511.0	480.04	265.87	251.48	251.48	214.27	551.56	189.02	507.46	629.35	483.38	156.59
DTNA	111.99	37.85	13.72	11.82	10.96	0.0	0.74	172.65	41.81	303.44	204.07	170.25	201.25	206.94	16.51	258.57	169.07	341.51	162.14	289.02	88.26	29.7	483.38	215.77	154.42	151.22	34.02	11.91	130.6	113.56	567.1	153.34	205.5	35.5
EIF4EBP2	417.77	269.6	248.0	785.88	244.57	403.5	314.17	1051.79	651.58	1397.83	1059.11	785.88	836.53	1529.73	656.11	1331.57	651.58	1135.2	866.07	1313.23	1088.92	616.37	1628.26	1208.34	961.07	988.12	575.03	591.22	1397.83	819.3	1369.04	1617.0	1066.48	204.07
ETAA1	157.68	102.97	126.12	57.89	124.37	0.0	0.2	136.19	94.01	94.01	105.15	170.25	264.03	144.01	61.25	255.0	137.14	320.8	197.09	217.27	122.64	75.11	221.86	273.37	136.19	140.04	118.43	92.7	332.14	115.97	303.44	206.94	151.22	133.36
FAM180A	4.78	0.0	2.48	4.31	0.83	0.0	0.13	36.01	18.16	156.59	94.01	26.86	25.72	44.25	17.38	111.99	21.01	70.51	68.07	27.84	37.05	28.04	149.12	191.67	34.75	49.91	9.7	7.69	76.17	56.68	98.04	44.25	53.57	0.0
FAM214A	176.29	72.52	124.37	158.79	107.38	0.0	0.37	543.96	202.66	532.74	665.29	397.93	698.41	532.74	195.72	854.13	301.33	825.0	507.46	753.83	603.67	159.9	1191.69	1001.93	329.84	633.73	234.57	149.12	1037.29	381.68	1216.75	607.87	1127.35	208.38
FAM76B	57.49	99.43	63.0	116.78	89.51	0.0	0.6	132.44	86.43	169.07	299.25	183.82	237.86	151.22	106.63	343.89	145.02	373.81	285.03	387.02	232.94	120.94	361.04	387.02	176.29	194.36	152.28	69.52	346.29	117.6	529.06	327.56	392.44	73.03
FAM8A1	132.44	115.16	98.73	97.36	113.56	0.0	0.48	503.95	154.42	551.56	536.45	323.03	417.77	497.0	221.86	463.65	248.0	567.1	493.56	780.44	460.44	107.38	974.5	603.67	211.31	450.94	194.36	156.59	954.43	325.29	981.29	540.19	656.11	88.88
FCHO2	117.6	152.28	87.65	124.37	83.45	283.05	80.57	866.07	253.23	854.13	974.5	638.15	902.89	387.02	271.48	1044.52	473.41	1340.84	679.29	738.29	426.57	138.1	1331.57	780.44	688.78	995.0	400.71	332.14	1923.14	490.14	733.19	1051.79	1857.6	195.72
FGD4	48.87	19.82	34.02	70.51	70.01	96.01	157.68	172.65	139.07	387.02	651.58	187.71	194.36	170.25	94.67	480.04	191.67	339.14	255.0	339.14	287.01	89.51	651.58	262.2	212.78	511.0	146.03	133.36	353.59	172.65	400.71	316.37	860.08	34.02
FIGN	11.47	1.57	11.21	1.85	34.26	0.0	0.36	10.63	5.41	36.79	22.43	14.35	27.64	30.34	1.35	32.59	9.7	41.22	47.5	78.89	13.93	10.0	55.89	21.47	16.88	19.25	18.29	5.73	39.79	51.35	67.59	27.05	29.48	4.03
GGNBP2	890.44	595.34	878.17	703.28	679.29	684.02	791.35	1259.69	684.02	698.41	1268.46	954.43	1250.98	902.89	624.99	1191.69	796.86	1437.15	1191.69	1151.06	819.3	825.0	1583.71	1617.0	1127.35	1151.06	708.18	854.13	1340.84	728.11	1487.87	1111.82	1551.09	764.36
GOLGA6L4	6.46	3.11	8.85	0.77	8.13	0.0	0.75	14.14	7.17	26.47	47.5	18.84	84.63	24.81	13.62	66.18	18.97	76.17	38.4	98.04	61.68	10.08	103.69	129.69	34.02	35.0	18.7	10.16	141.02	24.81	46.84	83.45	78.34	2.23
GPRC5B	31.9	81.14	16.15	242.88	19.97	66.18	90.77	165.57	105.15	295.11	591.22	55.89	96.01	88.88	114.36	583.07	50.63	417.77	314.17	236.21	620.67	120.1	432.53	490.14	109.66	191.67	85.22	49.21	429.54	145.02	819.3	201.25	198.47	18.16
GPSM1	28.04	37.05	60.82	81.14	185.11	0.0	0.77	152.28	220.32	587.13	438.59	212.78	743.43	463.65	132.44	500.46	191.67	262.2	265.87	197.09	283.05	123.5	223.41	348.71	221.86	728.11	125.24	161.02	312.0	277.2	780.44	607.87	397.93	24.99
GRM3	0.0	0.0	0.0	0.0	0.0	0.0	0.06	3.92	4.24	3.56	3.41	4.54	1.55	2.27	2.63	11.73	3.2	4.13	5.63	5.11	5.63	3.44	7.51	3.32	2.23	4.74	0.25	2.68	11.82	3.82	2.71	3.82	11.82	0.0
H1FNT	0.65	0.0	0.8	7.69	0.0	0.0	0.0	2.29	1.87	2.03	2.94	3.96	7.22	2.76	0.87	4.98	0.84	3.82	5.73	7.46	6.89	0.82	8.19	8.51	3.82	3.72	1.07	1.23	7.88	5.32	6.84	2.86	9.48	0.0
HBP1	447.82	463.65	447.82	909.17	309.83	0.0	0.26	1199.98	547.75	2018.8	1781.89	974.5	1143.1	1540.37	884.29	1628.26	693.58	1991.0	1159.07	2163.77	1757.34	595.34	2835.7	1721.16	1407.55	1806.78	753.83	483.38	2303.12	1151.06	2148.82	1369.04	2163.77	1044.52
HLF	2.25	3.66	1.77	49.21	6.62	0.0	0.13	327.56	122.64	780.44	718.08	444.72	460.44	435.55	83.45	934.76	279.14	164.42	921.88	3039.3	647.07	178.77	2047.0	1023.0	441.64	633.73	87.65	48.52	780.44	334.46	1639.59	1001.93	679.29	2.32
JMY	33.06	34.75	55.89	36.53	39.22	0.0	0.2	91.41	46.5	139.07	193.01	73.03	92.7	99.43	50.27	117.6	46.84	162.14	89.51	173.85	135.24	53.57	154.42	120.1	68.55	111.99	52.82	28.86	134.3	87.65	118.43	88.88	198.47	35.5
KANSL1L	57.89	40.64	35.5	35.76	34.26	68.55	172.65	224.97	110.43	348.71	423.61	273.37	273.37	218.79	172.65	426.57	148.09	358.54	204.07	384.34	201.25	79.45	579.04	309.83	166.73	368.65	175.07	68.55	406.31	334.46	529.06	343.89	381.68	46.5
KBTBD3	60.82	90.14	4.66	48.87	28.04	0.0	0.25	130.6	74.58	115.97	85.22	146.03	156.59	146.03	38.12	82.29	35.0	137.14	112.77	248.0	127.89	8.45	187.71	198.47	102.25	149.12	56.28	73.03	77.25	78.89	277.2	57.08	228.13	84.63
KCNMB3	118.43	38.95	29.48	15.11	19.97	0.0	0.64	39.79	34.51	29.7	61.68	55.1	62.12	51.35	31.9	119.26	16.88	90.14	47.84	45.53	87.65	30.78	166.73	101.54	29.06	36.27	42.41	22.92	170.25	59.55	140.04	55.1	126.12	42.11
KDM3A	223.41	260.38	176.29	403.5	265.87	0.0	0.55	320.8	189.02	511.0	483.38	339.14	486.75	543.96	244.57	624.99	269.6	599.49	356.05	583.07	320.8	173.85	1030.12	555.41	400.71	669.92	221.86	167.9	688.78	409.15	688.78	642.59	543.96	258.57
KIAA1107	11.47	8.58	8.65	0.89	6.31	0.0	0.0	16.39	9.48	53.19	27.25	43.94	28.24	29.91	6.46	37.85	12.93	40.64	24.81	48.87	15.68	4.39	57.08	34.02	14.89	38.12	17.38	10.0	41.52	50.63	43.32	33.3	43.94	3.32
KIAA1109	180.02	115.97	191.67	119.26	139.07	0.0	0.77	341.51	205.5	921.88	802.41	688.78	616.37	389.72	193.01	802.41	400.71	1001.93	738.29	825.0	379.04	147.06	1008.9	669.92	460.44	802.41	312.0	159.9	842.36	579.04	1008.9	1051.79	753.83	37.85
KIAA1731	51.71	41.22	55.1	46.18	64.8	0.0	0.57	70.01	49.91	70.01	98.04	74.58	108.9	102.97	37.32	135.24	56.68	147.06	84.04	95.34	52.82	55.49	164.42	127.0	62.56	69.52	73.54	54.33	144.01	104.42	92.7	122.64	141.02	19.53
KLHL24	89.51	154.42	89.51	116.78	38.67	0.0	0.44	368.65	173.85	540.19	406.31	490.14	457.25	698.41	189.02	698.41	255.0	819.3	392.44	1322.37	703.28	64.8	1030.12	759.08	262.2	684.02	187.71	162.14	878.17	480.04	1104.13	629.35	884.29	236.21
LIFR	18.16	50.98	10.47	13.12	11.55	0.0	0.38	476.71	120.1	2485.67	642.59	591.22	1427.22	819.3	163.28	1388.16	229.72	1268.46	1572.76	890.44	376.41	329.84	3257.52	1183.45	571.05	674.59	209.84	74.06	866.07	389.72	1594.73	2061.24	1832.01	21.32
LOXL4	4.86	5.87	4.35	6.57	3.2	0.0	0.56	43.94	80.01	591.22	98.73	246.28	175.07	159.9	32.82	616.37	102.97	86.43	71.5	148.09	43.94	72.01	117.6	175.07	100.83	120.94	13.32	8.45	277.2	57.89	299.25	138.1	15.11	15.0
LRRC39	6.11	0.0	9.41	0.41	0.72	0.0	0.56	11.13	5.15	5.06	27.05	3.63	18.7	11.55	4.13	19.25	16.39	34.75	11.64	14.67	24.63	6.16	24.11	52.08	7.88	6.16	5.28	12.74	28.04	5.82	18.43	22.92	55.49	1.0
MAP1LC3B	1359.57	921.88	909.17	1216.75	480.04	860.08	356.05	2451.44	915.51	1697.45	2875.3	1051.79	1208.34	1233.75	1277.29	1519.15	1199.98	1950.0	1457.23	1487.87	1950.0	1427.22	2018.8	1991.0	1427.22	2004.85	878.17	1313.23	2255.7	954.43	1540.37	1508.65	3190.46	1037.29
MBTD1	73.54	29.06	66.18	69.03	55.1	83.45	84.04	114.36	54.72	99.43	125.24	132.44	144.01	120.1	85.22	166.73	95.34	224.97	117.6	150.17	84.63	71.5	202.66	198.47	69.03	98.73	93.35	59.97	236.21	138.1	217.27	129.69	185.11	46.18
MEGF6	16.75	22.43	38.12	127.89	95.34	0.0	0.8	808.0	312.0	2739.08	1066.48	466.88	896.64	571.05	135.24	688.78	221.86	1233.75	860.08	656.11	275.28	50.27	2090.03	4010.71	684.02	759.08	68.55	54.33	1199.98	1781.89	1662.49	555.41	307.69	16.63
MME	36.27	297.17	62.56	43.63	9.13	0.0	0.27	866.07	141.02	5329.3	1127.35	941.27	620.67	1073.91	154.42	1457.23	529.06	406.31	529.06	1378.57	366.09	587.13	1104.13	928.3	1023.0	813.63	117.6	71.0	197.09	379.04	5633.22	1304.15	575.03	73.54
NEGR1	5.15	19.39	2.39	3.99	0.96	0.0	0.27	121.79	31.9	713.11	320.8	281.09	224.97	156.59	20.26	368.65	65.72	166.73	176.29	212.78	101.54	96.01	148.09	172.65	289.02	190.34	18.03	24.63	140.04	92.05	551.56	376.41	50.27	1.0
NPY1R	0.67	3.08	0.0	28.45	0.0	0.0	0.15	48.87	9.41	204.07	82.29	31.67	24.28	73.03	3.03	92.7	4.35	45.53	71.0	22.26	50.27	11.91	115.16	325.29	17.77	24.99	23.42	2.89	158.79	37.85	244.57	60.39	43.02	0.83
NPY5R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	1.66	18.84	9.56	1.36	2.71	7.46	0.0	5.59	2.34	7.22	7.22	1.77	3.14	1.95	18.03	19.11	4.06	3.08	2.53	0.92	16.75	2.12	18.97	8.32	8.45	0.0
NR2C1	384.34	567.1	291.04	356.05	447.82	0.0	0.51	379.04	211.31	500.46	567.1	381.68	684.02	503.95	400.71	684.02	397.93	954.43	450.94	669.92	575.03	320.8	902.89	802.41	244.57	612.11	242.88	151.22	775.05	587.13	791.35	723.08	884.29	215.77
NSMCE4A	514.56	361.04	379.04	486.75	551.56	0.0	0.74	915.51	567.1	563.18	769.69	866.07	1457.23	819.3	511.0	1369.04	583.07	1175.27	866.07	954.43	848.22	412.0	1350.18	1605.83	825.0	780.44	476.71	426.57	1457.23	616.37	1745.2	1277.29	1030.12	426.57
PAPD4	211.31	466.88	299.25	218.79	244.57	0.0	0.48	476.71	334.46	379.04	426.57	406.31	507.46	403.5	387.02	967.76	420.68	884.29	423.61	669.92	753.83	329.84	909.17	884.29	371.22	493.56	341.51	356.05	1111.82	460.44	463.65	607.87	1044.52	293.07
PDE1A	3.23	28.45	3.44	11.04	0.79	0.0	0.34	111.21	57.89	66.65	43.32	12.74	32.59	33.3	28.86	195.72	33.54	113.56	65.26	52.45	56.28	20.56	217.27	94.01	66.18	76.17	48.52	20.41	281.09	27.25	171.45	100.13	104.42	15.22
PEX1	92.7	82.87	59.55	74.58	68.55	0.0	0.59	204.07	145.02	155.5	190.34	199.85	325.29	181.28	106.63	486.75	204.07	351.14	384.34	262.2	260.38	121.79	341.51	511.0	237.86	136.19	121.79	132.44	336.79	178.77	356.05	329.84	353.59	175.07
PIK3IP1	351.14	66.18	89.51	98.73	53.95	0.0	0.31	1233.75	417.77	2627.46	1417.35	796.86	2193.99	1721.16	591.22	2287.2	769.69	3742.05	1175.27	2875.3	1639.59	341.51	5366.37	2816.11	1806.78	2758.13	417.77	511.0	4388.98	1159.07	4298.64	1870.53	8022.41	543.96
PLEKHA5	295.11	244.57	251.48	191.67	189.02	0.0	0.43	301.33	236.21	277.2	603.67	351.14	346.29	260.38	231.32	490.14	141.02	429.54	420.68	336.79	244.57	135.24	473.41	343.89	215.77	202.66	171.45	50.98	525.39	316.37	551.56	400.71	283.05	214.27
PPM1B	291.04	217.27	277.2	309.83	204.07	0.0	0.25	647.07	281.09	759.08	775.05	463.65	780.44	579.04	457.25	703.28	450.94	842.36	642.59	679.29	665.29	444.72	769.69	698.41	571.05	591.22	361.04	320.8	830.75	384.34	532.74	642.59	1508.65	334.46
PPM1K	81.71	56.68	140.04	22.1	13.03	204.07	457.25	318.57	57.49	457.25	381.68	376.41	281.09	361.04	56.68	525.39	77.79	466.88	316.37	289.02	115.97	79.45	356.05	579.04	159.9	299.25	141.02	74.58	262.2	231.32	438.59	229.72	265.87	20.71
PRELP	12.0	25.72	6.36	9.7	2.23	0.0	0.53	1583.71	186.4	12244.81	6935.54	1151.06	1745.2	2485.67	84.04	2997.45	896.64	1991.0	2855.44	2303.12	1757.34	255.0	4010.71	3540.14	2739.08	5831.91	100.13	120.94	4152.18	1001.93	10084.54	2537.92	2047.0	2.71
PRKAB1	309.83	395.18	283.05	463.65	366.09	0.0	0.4	1883.54	1088.92	2417.67	1628.26	1378.57	1572.76	1963.57	1487.87	1551.09	988.12	2520.38	1583.71	2224.63	2178.83	1242.34	3690.52	2664.15	1304.15	3589.58	651.58	961.07	4038.61	1883.54	3820.7	1909.85	5219.6	454.09
PRKAG2	169.07	123.5	111.21	100.13	157.68	0.0	0.59	647.07	403.5	503.95	819.3	525.39	547.75	426.57	221.86	1066.48	463.65	854.13	591.22	669.92	368.65	279.14	866.07	934.76	575.03	688.78	511.0	232.94	1008.9	237.86	703.28	591.22	1259.69	153.34
PTPRM	381.68	103.69	88.88	75.11	80.57	0.0	0.78	2047.0	289.02	3349.13	3639.7	1225.22	3614.55	2664.15	525.39	4388.98	1651.0	5751.61	2777.33	2485.67	1651.0	473.41	6426.31	4972.34	1870.53	2075.59	518.15	412.0	2855.44	878.17	2271.4	9474.59	2875.3	44.25
RAPGEF3	228.13	84.63	190.34	239.52	143.01	0.0	0.67	205.5	152.28	665.29	450.94	289.02	1378.57	532.74	140.04	579.04	155.5	842.36	595.34	813.63	116.78	80.57	775.05	854.13	246.28	656.11	241.19	86.43	301.33	403.5	320.8	483.38	463.65	120.1
RBM43	39.79	26.28	34.51	5.45	32.13	0.0	0.06	86.43	52.08	96.01	96.68	97.36	121.79	105.89	91.41	228.13	73.54	183.82	100.83	228.13	205.5	55.49	297.17	153.34	84.63	114.36	45.85	33.78	156.59	84.63	265.87	120.1	193.01	21.78
REV3L	71.5	62.56	157.68	130.6	44.57	119.26	169.07	320.8	190.34	228.13	262.2	237.86	229.72	175.07	212.78	397.93	214.27	346.29	267.73	348.71	287.01	202.66	356.05	312.0	183.82	206.94	166.73	187.71	529.06	181.28	267.73	291.04	400.71	28.04
RNF103	152.28	132.44	143.01	127.89	92.7	0.0	0.54	470.14	221.86	480.04	624.99	392.44	536.45	567.1	332.14	612.11	260.38	718.08	497.0	312.0	454.09	291.04	928.3	684.02	281.09	507.46	232.94	248.0	642.59	368.65	703.28	559.28	497.0	119.26
RNF146	202.66	180.02	234.57	256.78	84.63	0.0	0.67	698.41	325.29	450.94	890.44	728.11	1096.5	679.29	246.28	1088.92	551.56	1540.37	890.44	1407.55	866.07	293.07	1286.18	1674.06	669.92	435.55	620.67	563.18	1313.23	525.39	1151.06	848.22	1477.58	242.88
RNPC3	78.34	129.69	123.5	104.42	98.04	0.0	0.79	217.27	146.03	163.28	406.31	341.51	406.31	209.84	111.21	551.56	206.94	532.74	262.2	536.45	189.02	96.68	555.41	476.71	316.37	423.61	176.29	73.54	503.95	193.01	878.17	769.69	403.5	105.89
RWDD2A	36.27	31.9	40.36	41.22	20.26	0.0	0.35	78.34	73.03	74.06	88.88	68.07	113.56	98.73	53.57	107.38	60.82	127.89	89.51	147.06	163.28	78.34	204.07	193.01	65.72	120.94	50.27	63.45	251.48	48.87	131.51	82.87	180.02	50.63
SESN1	103.69	122.64	101.54	102.97	67.59	0.0	0.25	638.15	403.5	848.22	872.1	612.11	836.53	748.61	406.31	1151.06	336.79	1467.37	860.08	825.0	684.02	183.82	2796.65	1277.29	521.76	1963.57	339.14	173.85	1572.76	738.29	1331.57	813.63	4239.45	118.43
SFTPC	16.75	70.51	1.48	31.67	0.8	64186.29	44145.15	5.882801313E7	1.748967224E7	7.92550749E7	4.811555286E7	3.003205688E7	4.188702152E7	3.130739107E7	2.4225111E7	1.130141336E7	1.36273329E7	2.339991475E7	5.761735011E7	4.878722096E7	3.72309724E7	1.194579786E7	2.276004283E7	2.706640506E7	5.228884881E7	1.0826562323E8	1290947.48	1163466.92	2.037080884E7	6.17527469E7	1.178133652E7	2.578448588E7	2.009035788E7	72.01
SH3D19	156.59	121.79	323.03	540.19	432.53	358.54	102.25	1081.39	400.71	1721.16	1487.87	872.1	1030.12	1111.82	373.81	1639.59	642.59	1794.29	1119.56	934.76	928.3	329.84	2004.85	1529.73	1030.12	890.44	423.61	361.04	1529.73	1023.0	1733.13	1015.93	934.76	120.1
SLC25A36	194.36	295.11	435.55	591.22	271.48	0.0	0.6	629.35	521.76	638.15	947.83	802.41	878.17	547.75	595.34	1605.83	571.05	1697.45	921.88	1819.35	1151.06	353.59	1662.49	1467.37	647.07	1167.14	358.54	387.02	2104.58	559.28	830.75	1467.37	1259.69	283.05
SNAP23	759.08	981.29	426.57	656.11	860.08	961.07	470.14	1561.89	1001.93	1487.87	2367.9	1709.26	1977.24	1794.29	1378.57	2367.9	1135.2	2335.28	1477.58	1594.73	1259.69	896.64	2609.3	2163.77	1529.73	1963.57	1551.09	1225.22	2224.63	1143.1	1769.57	1628.26	3639.7	769.69
SPATA6	3.92	55.89	0.93	40.64	9.93	0.0	0.37	71.5	65.72	305.55	198.47	142.01	100.83	126.12	69.52	180.02	37.05	159.9	153.34	208.38	49.56	31.22	255.0	159.9	87.03	232.94	78.89	22.26	130.6	105.15	209.84	148.09	131.51	5.45
SRPX2	76.17	99.43	73.03	57.89	39.22	0.0	1.11	141.02	77.79	363.56	145.02	81.71	85.82	155.5	18.16	320.8	146.03	85.82	182.55	116.78	97.36	7.88	220.32	151.22	104.42	74.06	59.13	49.21	218.79	150.17	366.09	253.23	125.24	67.12
SSH2	327.56	113.56	353.59	287.01	454.09	303.44	49.56	507.46	287.01	791.35	780.44	438.59	503.95	854.13	397.93	842.36	665.29	624.99	728.11	848.22	547.75	189.02	1104.13	878.17	909.17	967.76	438.59	616.37	669.92	503.95	967.76	624.99	1350.18	316.37
SYTL4	38.67	25.54	21.16	37.05	15.68	0.0	0.74	134.3	80.01	511.0	325.29	199.85	309.83	285.03	101.54	371.22	172.65	229.72	175.07	223.41	127.89	40.93	226.54	242.88	148.09	236.21	121.79	39.5	371.22	173.85	780.44	733.19	260.38	13.93
TBCEL	60.82	69.03	51.71	149.12	30.34	0.0	0.29	297.17	154.42	567.1	395.18	256.78	400.71	450.94	159.9	423.61	279.14	438.59	500.46	251.48	320.8	209.84	848.22	583.07	258.57	356.05	159.9	131.51	684.02	217.27	559.28	599.49	571.05	37.59
