	GTEX.U4B1.1226.SM.4DXT7	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.Y111.1726.SM.4SOIQ	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.RNOR.1326.SM.48FDE	GTEX.145MN.1126.SM.5RQJB	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.13OW8.2226.SM.5K7Z4	GTEX.T2IS.0926.SM.4DM5B	GTEX.148VJ.1126.SM.5NQBZ	TCGA.38.4625.01A.01R.1206.07	GTEX.12696.2226.SM.5EQ65	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.PWN1.2026.SM.48TD9	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
ANKRD6	122.64	75.64	194.36	158.79	244.57	224.97	118.43	231.32	285.03	343.89	223.41	253.23	361.04	231.32	426.57	417.77	373.81	291.04	118.43	343.89	417.77	466.88	529.06	279.14	269.6	387.02	182.55	316.37	260.38	172.65	0.0	49.91	108.14	84.63	114.36	441.64	325.29	684.02	104.42	102.97	136.19	363.56	397.93	202.66	211.31	209.84	384.34	166.73	128.79	142.01	185.11	77.79	97.36	197.09	60.82	80.01	420.68	103.69	157.68	80.01	171.45	180.02	63.45
AP000974.1	1.38	1.25	2.2	0.44	0.0	5.68	4.39	16.51	13.32	28.86	3.96	7.82	10.63	4.17	9.41	10.55	8.65	19.11	7.28	9.27	15.56	6.41	7.94	5.15	12.36	17.9	10.96	7.88	9.85	6.46	0.0	1.69	0.52	2.68	0.43	8.45	16.15	14.56	3.29	3.69	0.96	16.63	0.97	2.23	2.94	6.67	4.39	3.11	4.31	1.39	2.51	2.12	2.97	10.88	2.92	5.15	0.0	3.5	2.16	1.41	2.32	1.41	0.51
APBA3	323.03	256.78	221.86	241.19	258.57	343.89	435.55	796.86	669.92	733.19	529.06	733.19	567.1	336.79	713.11	616.37	620.67	629.35	389.72	620.67	555.41	497.0	591.22	384.34	559.28	620.67	620.67	583.07	684.02	444.72	0.0	269.6	262.2	295.11	356.05	567.1	733.19	665.29	392.44	260.38	305.55	514.56	423.61	187.71	384.34	332.14	457.25	251.48	271.48	214.27	314.17	269.6	265.87	718.08	389.72	435.55	220.32	463.65	293.07	256.78	356.05	256.78	228.13
ARHGAP33	116.78	80.01	139.07	60.39	60.82	231.32	178.77	595.34	551.56	1175.27	273.37	529.06	363.56	392.44	583.07	638.15	638.15	753.83	220.32	486.75	400.71	587.13	327.56	356.05	540.19	915.51	490.14	423.61	547.75	379.04	0.0	55.1	59.97	113.56	61.25	239.52	336.79	366.09	138.1	82.87	58.3	470.14	84.04	102.97	183.82	194.36	283.05	167.9	262.2	163.28	56.68	54.33	96.68	248.0	83.45	120.94	161.02	234.57	141.02	49.21	105.89	47.84	44.25
ARHGAP44	93.35	30.12	61.25	68.55	50.98	75.11	145.02	253.23	239.52	214.27	165.57	214.27	224.97	143.01	255.0	234.57	217.27	281.09	165.57	177.53	220.32	237.86	202.66	232.94	220.32	246.28	267.73	267.73	265.87	130.6	0.0	41.52	15.45	35.5	11.73	120.1	236.21	146.03	48.18	61.25	27.44	175.07	17.38	62.12	59.55	88.26	161.02	74.06	53.95	42.11	24.63	49.56	23.42	162.14	32.13	69.52	54.72	71.5	73.03	19.39	61.68	64.8	22.59
ARMCX4	178.77	329.84	166.73	208.38	169.07	366.09	392.44	733.19	988.12	954.43	698.41	890.44	620.67	540.19	738.29	928.3	603.67	854.13	397.93	638.15	896.64	753.83	547.75	813.63	674.59	902.89	591.22	708.18	733.19	665.29	0.0	169.07	88.26	100.83	89.51	444.72	583.07	599.49	214.27	185.11	82.29	961.07	262.2	307.69	312.0	305.55	351.14	234.57	189.02	228.13	137.14	91.41	92.7	563.18	100.83	181.28	769.69	361.04	241.19	150.17	120.1	68.55	72.52
ASIC3	23.59	93.35	7.11	13.52	18.16	51.71	217.27	688.78	480.04	764.36	389.72	769.69	414.87	127.89	514.56	441.64	297.17	400.71	187.71	412.0	341.51	309.83	312.0	241.19	368.65	316.37	373.81	361.04	447.82	368.65	0.0	8.19	28.45	46.18	193.01	152.28	141.02	253.23	59.55	40.36	29.48	101.54	53.95	124.37	149.12	169.07	101.54	82.29	43.94	143.01	79.45	48.87	21.78	176.29	43.94	63.0	195.72	83.45	223.41	28.24	69.52	37.05	30.34
ATAT1	89.51	108.9	95.34	88.88	97.36	186.4	159.9	339.14	356.05	551.56	400.71	314.17	265.87	303.44	351.14	466.88	303.44	346.29	283.05	299.25	353.59	426.57	320.8	253.23	397.93	397.93	275.28	307.69	329.84	414.87	0.0	112.77	135.24	119.26	58.71	262.2	241.19	387.02	127.89	181.28	88.88	232.94	231.32	165.57	212.78	159.9	206.94	198.47	159.9	135.24	120.94	93.35	87.03	209.84	114.36	152.28	218.79	223.41	153.34	113.56	197.09	170.25	154.42
ATXN2L	1242.34	825.0	921.88	1051.79	1001.93	1721.16	1844.76	3190.46	2796.65	3540.14	3280.18	3540.14	2163.77	1923.14	2796.65	3325.99	2895.31	3039.3	1498.22	3235.01	2835.7	2485.67	3443.31	2875.3	3081.75	2816.11	2555.58	2682.69	3060.45	2502.97	3443.31	954.43	1388.16	1457.23	1135.2	1857.6	2303.12	3257.52	1277.29	1467.37	872.1	1806.78	2240.11	890.44	1769.57	1225.22	1617.0	1037.29	1467.37	1378.57	1208.34	915.51	1096.5	1447.15	1322.37	1477.58	2758.13	2018.8	1388.16	928.3	1639.59	1015.93	1208.34
BRD1	389.72	309.83	368.65	381.68	339.14	540.19	426.57	665.29	764.36	974.5	738.29	713.11	441.64	511.0	743.43	684.02	629.35	579.04	480.04	563.18	571.05	563.18	507.46	638.15	607.87	624.99	616.37	802.41	629.35	866.07	0.0	366.09	356.05	277.2	318.57	543.96	497.0	728.11	480.04	348.71	283.05	698.41	1059.11	808.0	642.59	555.41	688.78	429.54	414.87	483.38	444.72	277.2	320.8	825.0	217.27	607.87	518.15	647.07	547.75	490.14	395.18	346.29	287.01
BRF1	273.37	289.02	332.14	353.59	303.44	417.77	624.99	915.51	836.53	753.83	665.29	1104.13	647.07	486.75	748.61	743.43	651.58	688.78	575.03	638.15	642.59	624.99	642.59	764.36	733.19	802.41	583.07	595.34	638.15	723.08	327.56	332.14	297.17	232.94	392.44	457.25	660.68	599.49	339.14	236.21	221.86	376.41	412.0	429.54	371.22	480.04	397.93	297.17	234.57	358.54	229.72	244.57	224.97	497.0	271.48	361.04	497.0	371.22	400.71	297.17	376.41	299.25	309.83
BRICD5	110.43	69.03	12.09	30.12	42.11	152.28	220.32	503.95	381.68	480.04	525.39	466.88	305.55	152.28	435.55	409.15	420.68	361.04	271.48	429.54	414.87	301.33	403.5	291.04	466.88	395.18	363.56	279.14	384.34	665.29	0.0	62.56	76.71	10.79	21.63	117.6	128.79	148.09	46.5	14.03	7.63	102.25	76.71	30.56	124.37	76.17	41.81	27.84	33.78	45.53	66.65	18.03	39.22	198.47	56.28	70.01	208.38	183.82	24.28	69.03	74.06	92.7	38.67
BZRAP1	490.14	384.34	221.86	256.78	312.0	476.71	961.07	2609.3	2434.5	2090.03	1008.9	3639.7	3212.66	1277.29	2104.58	2796.65	2047.0	2701.35	896.64	2032.85	2133.97	1745.2	2163.77	2758.13	2255.7	2485.67	2255.7	1857.6	2485.67	1208.34	0.0	167.9	72.52	112.77	92.05	500.46	1073.91	1540.37	211.31	334.46	96.01	1295.13	32.82	217.27	248.0	212.78	854.13	131.51	457.25	242.88	105.89	63.89	72.52	703.28	176.29	258.57	384.34	368.65	291.04	299.25	236.21	392.44	348.71
C1orf220	5.73	0.4	2.23	0.89	0.0	19.39	1.68	67.12	28.65	92.05	2.03	53.19	22.92	11.64	49.56	55.89	43.02	85.82	5.54	59.55	63.45	31.45	34.26	16.88	35.76	50.27	15.56	49.21	47.84	3.2	0.0	0.69	0.68	2.63	0.78	5.82	23.93	15.91	1.33	1.81	4.43	35.76	1.66	3.11	7.06	9.48	11.21	0.0	7.63	3.63	4.06	1.33	0.0	20.26	7.22	8.13	3.82	6.46	2.76	2.32	3.11	3.06	0.53
CASD1	339.14	108.9	255.0	299.25	244.57	305.55	232.94	363.56	420.68	500.46	301.33	320.8	297.17	320.8	403.5	346.29	417.77	361.04	241.19	414.87	341.51	325.29	363.56	363.56	323.03	361.04	325.29	438.59	356.05	299.25	0.0	336.79	163.28	99.43	134.3	287.01	231.32	470.14	283.05	295.11	150.17	426.57	314.17	309.83	256.78	271.48	285.03	239.52	255.0	165.57	105.89	215.77	108.14	244.57	100.13	316.37	373.81	241.19	251.48	208.38	146.03	202.66	153.34
CCDC14	159.9	137.14	175.07	171.45	153.34	447.82	647.07	1250.98	1001.93	1104.13	830.75	1111.82	947.83	764.36	1044.52	1250.98	1088.92	1331.57	753.83	1199.98	1350.18	1073.91	909.17	1037.29	1233.75	1066.48	780.44	884.29	947.83	884.29	0.0	127.89	142.01	208.38	136.19	320.8	521.76	507.46	287.01	312.0	90.77	551.56	228.13	214.27	291.04	289.02	417.77	226.54	208.38	226.54	104.42	78.89	162.14	441.64	214.27	251.48	429.54	420.68	206.94	275.28	287.01	384.34	256.78
CCS	1059.11	890.44	928.3	1001.93	1015.93	1857.6	1457.23	2520.38	2537.92	2956.17	1896.65	2555.58	2104.58	1340.84	2133.97	2664.15	2032.85	2645.74	1233.75	2351.53	2335.28	2104.58	1572.76	1819.35	1991.0	2271.4	2240.11	2018.8	2335.28	1551.09	0.0	551.56	571.05	928.3	723.08	1096.5	1674.06	1806.78	1073.91	813.63	764.36	1628.26	583.07	764.36	1208.34	981.29	1378.57	967.76	1286.18	764.36	708.18	884.29	624.99	1674.06	1073.91	995.0	1331.57	1208.34	1127.35	785.88	1044.52	921.88	1044.52
CENPT	607.87	490.14	540.19	503.95	540.19	1151.06	1447.15	2855.44	2591.27	2855.44	2417.67	3235.01	2032.85	1183.45	2400.97	2627.46	2163.77	2645.74	1167.14	2271.4	2047.0	2303.12	2061.24	2075.59	2434.5	2645.74	2193.99	2148.82	2271.4	2061.24	0.0	395.18	460.44	583.07	656.11	1059.11	1277.29	1388.16	412.0	536.45	356.05	1088.92	947.83	543.96	808.0	836.53	775.05	575.03	603.67	808.0	587.13	392.44	476.71	954.43	551.56	563.18	1081.39	1008.9	595.34	470.14	595.34	629.35	490.14
CLK3	967.76	902.89	854.13	1143.1	1001.93	1359.57	1769.57	2163.77	1794.29	2209.26	1991.0	2451.44	1561.89	1437.15	1923.14	1781.89	1844.76	2090.03	1277.29	1819.35	1685.71	1685.71	1639.59	1540.37	1721.16	1977.24	1651.0	1745.2	1896.65	1733.13	0.0	995.0	848.22	836.53	884.29	1159.07	1487.87	1709.26	890.44	961.07	928.3	1242.34	1159.07	854.13	934.76	1233.75	1119.56	954.43	954.43	1233.75	866.07	1015.93	1044.52	1388.16	890.44	902.89	1250.98	1088.92	1051.79	813.63	1015.93	915.51	764.36
CNNM3	231.32	128.79	279.14	356.05	256.78	447.82	423.61	486.75	483.38	551.56	199.85	457.25	381.68	432.53	507.46	579.04	525.39	587.13	323.03	457.25	497.0	409.15	511.0	441.64	486.75	511.0	435.55	511.0	551.56	316.37	154.42	271.48	281.09	356.05	191.67	305.55	392.44	363.56	234.57	258.57	412.0	387.02	176.29	183.82	356.05	339.14	441.64	256.78	387.02	189.02	172.65	262.2	318.57	559.28	186.4	348.71	185.11	299.25	351.14	142.01	392.44	144.01	144.01
COG7	426.57	232.94	244.57	269.6	271.48	368.65	460.44	947.83	1127.35	1340.84	1023.0	1313.23	713.11	503.95	1059.11	1143.1	819.3	733.19	373.81	995.0	819.3	796.86	599.49	842.36	909.17	860.08	693.58	825.0	896.64	791.35	348.71	327.56	236.21	221.86	314.17	563.18	521.76	629.35	279.14	379.04	287.01	547.75	444.72	309.83	339.14	295.11	409.15	267.73	356.05	301.33	251.48	255.0	211.31	607.87	341.51	316.37	483.38	409.15	334.46	204.07	358.54	320.8	275.28
COX19	94.67	87.03	122.64	148.09	94.67	141.02	127.0	392.44	237.86	269.6	289.02	400.71	246.28	305.55	293.07	329.84	283.05	241.19	159.9	299.25	358.54	423.61	220.32	379.04	279.14	307.69	215.77	293.07	269.6	525.39	176.29	113.56	96.01	100.83	108.9	149.12	221.86	343.89	132.44	83.45	88.26	281.09	172.65	82.29	165.57	87.65	156.59	69.03	71.0	102.97	107.38	87.03	112.77	176.29	93.35	85.82	147.06	176.29	53.95	125.24	117.6	124.37	106.63
CPSF3L	2133.97	2875.3	1277.29	1572.76	1529.73	2485.67	3955.48	5112.16	5147.73	4543.8	4095.0	6792.79	3716.2	2935.74	4239.45	5366.37	4450.27	4869.99	4123.49	4736.79	4836.35	4298.64	4358.66	5219.6	4543.8	4639.29	4010.71	3874.05	4639.29	2997.45	1662.49	1605.83	1519.15	1674.06	1963.57	3168.41	3212.66	3325.99	1572.76	1662.49	1304.15	2032.85	1819.35	1639.59	2935.74	2777.33	2573.36	1540.37	1896.65	2573.36	1662.49	1225.22	1304.15	3395.89	1605.83	2240.11	2271.4	2240.11	2319.15	1540.37	2240.11	2351.53	1745.2
CSAD	172.65	149.12	199.85	183.82	176.29	708.18	1037.29	2895.31	2193.99	2664.15	2555.58	2627.46	2163.77	1359.57	2627.46	3303.0	2591.27	2591.27	1397.83	2739.08	2796.65	2895.31	2240.11	2119.22	2434.5	2895.31	2133.97	1923.14	2178.83	2178.83	0.0	120.94	151.22	287.01	195.72	559.28	830.75	1151.06	147.06	169.07	72.52	1127.35	273.37	217.27	376.41	206.94	412.0	241.19	212.78	341.51	137.14	31.0	198.47	866.07	169.07	198.47	1088.92	579.04	175.07	167.9	220.32	366.09	229.72
DES	589853.66	1364554.84	386469.83	489177.0	711250.37	919186.72	307450.64	241220.67	425853.18	215898.44	411347.03	296977.71	623486.02	318292.9	411347.03	527933.71	260332.24	324980.94	305326.92	267651.2	345900.08	246289.25	284880.02	585779.24	550352.86	239554.43	375901.76	244588.0	296977.71	450134.56	0.0	531605.79	794671.01	772940.66	2924988.47	875652.15	945028.61	1026995.62	573724.06	459592.86	1246973.04	851707.37	1545882.32	677564.08	783730.52	706337.4	313910.86	577714.63	691801.16	1108362.75	659036.03	912837.43	1800541.22	1452391.55	716197.51	741454.2	1048575.0	1063212.58	691801.16	485798.0	577714.63	746611.43	459592.86
DFFB	49.21	35.76	49.21	43.63	43.63	70.51	98.04	223.41	201.25	371.22	158.79	217.27	129.69	105.89	186.4	189.02	208.38	255.0	118.43	140.04	262.2	151.22	206.94	117.6	249.73	239.52	169.07	260.38	291.04	136.19	0.0	43.32	66.65	60.82	37.05	124.37	202.66	134.3	67.59	52.08	54.33	224.97	54.72	54.33	89.51	60.82	114.36	50.27	48.18	53.95	39.22	33.06	50.98	151.22	53.57	76.71	71.0	92.7	71.0	60.82	92.05	80.01	52.82
DGAT1	647.07	1397.83	764.36	785.88	633.73	961.07	1081.39	1674.06	2119.22	3190.46	2047.0	2573.36	1991.0	842.36	1844.76	2351.53	1551.09	2178.83	848.22	1447.15	1605.83	1733.13	1721.16	1340.84	2119.22	1896.65	1639.59	1936.53	1628.26	1073.91	0.0	651.58	1008.9	1008.9	1250.98	2351.53	2193.99	3235.01	551.56	555.41	406.31	1487.87	1242.34	866.07	1378.57	981.29	1407.55	660.68	1233.75	1030.12	860.08	785.88	703.28	1561.89	872.1	1572.76	1757.34	1709.26	961.07	353.59	775.05	638.15	603.67
DIP2A	199.85	164.42	201.25	246.28	199.85	450.94	336.79	915.51	836.53	878.17	753.83	902.89	587.13	836.53	967.76	1127.35	896.64	890.44	353.59	974.5	813.63	813.63	796.86	860.08	802.41	915.51	679.29	884.29	743.43	674.59	209.84	149.12	195.72	336.79	194.36	371.22	334.46	587.13	198.47	209.84	153.34	470.14	493.56	158.79	334.46	218.79	521.76	190.34	253.23	285.03	180.02	164.42	177.53	409.15	157.68	291.04	674.59	358.54	258.57	151.22	253.23	241.19	215.77
DLG4	395.18	275.28	358.54	309.83	299.25	785.88	414.87	890.44	796.86	1304.15	1322.37	921.88	529.06	567.1	995.0	1143.1	854.13	802.41	371.22	723.08	733.19	848.22	703.28	638.15	872.1	896.64	769.69	624.99	607.87	753.83	0.0	134.3	109.66	414.87	98.73	575.03	688.78	775.05	417.77	417.77	334.46	511.0	293.07	412.0	633.73	463.65	753.83	438.59	540.19	559.28	387.02	417.77	260.38	1250.98	470.14	536.45	995.0	638.15	521.76	273.37	769.69	521.76	620.67
DMTF1	341.51	291.04	271.48	381.68	414.87	860.08	1119.56	2255.7	2090.03	2351.53	1388.16	1936.53	1498.22	2018.8	2287.2	2720.15	2303.12	2701.35	1397.83	2319.15	2816.11	2520.38	2075.59	2178.83	1977.24	3060.45	1709.26	2075.59	1909.85	2224.63	0.0	463.65	363.56	507.46	260.38	967.76	1135.2	1628.26	587.13	599.49	329.84	1233.75	890.44	480.04	981.29	698.41	981.29	460.44	698.41	507.46	320.8	241.19	457.25	1015.93	403.5	698.41	1936.53	1066.48	629.35	341.51	429.54	567.1	409.15
