	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.E7.A97P.01A.11R.A38B.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A766.01A.11R.A32O.07	TCGA.D8.A27M.01A.11R.A16F.07	TCGA.A8.A08I.01A.11R.A00Z.07	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.MY.A913.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	GTEX.146FR.0426.SM.5SI97	TCGA.DQ.5630.01A.01R.1873.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.D6.6825.01A.21R.1915.07	TCGA.CQ.5325.01A.01R.1686.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.H7.8501.01A.11R.2403.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.UF.A7JO.01A.11R.A34R.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.62.8402.01A.11R.2326.07	TCGA.95.7562.01A.11R.2241.07	GTEX.11NV4.1126.SM.5HL6J	GTEX.WHPG.1426.SM.3NMBB	TCGA.33.4589.01A.01R.1443.07	TCGA.39.5011.01A.01R.1443.07	GTEX.WYVS.2026.SM.4RGNS	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.4253.01A.01R.1131.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.12WSH.0226.SM.5GCOG	GTEX.P4QT.2626.SM.2I3FM	GTEX.13O1R.0826.SM.5J2MB	TCGA.N9.A4Q7.01A.11R.A28V.07
CMTR2	139.07	185.11	229.72	92.7	54.72	100.83	507.46	591.22	214.27	69.03	191.67	105.89	309.83	231.32	242.88	281.09	303.44	334.46	264.03	220.32	281.09	329.84	285.03	341.51	264.03	113.56	105.89	318.57	267.73	264.03	262.2	332.14	256.78	211.31	547.75	217.27	291.04	178.77	212.78	379.04	144.01	68.07	59.13	47.5	70.01	69.52	90.14	255.0	146.03	68.07	265.87	187.71	169.07	441.64	251.48	316.37	279.14	318.57	172.65	299.25	208.38	39.79
CNEP1R1	153.34	194.36	209.84	199.85	172.65	246.28	426.57	412.0	246.28	115.97	237.86	229.72	318.57	297.17	176.29	241.19	323.03	339.14	316.37	206.94	223.41	246.28	208.38	297.17	291.04	193.01	211.31	314.17	198.47	309.83	226.54	265.87	215.77	307.69	480.04	190.34	264.03	201.25	228.13	329.84	176.29	120.94	88.26	83.45	115.16	103.69	76.17	316.37	158.79	141.02	323.03	303.44	256.78	264.03	275.28	358.54	387.02	281.09	165.57	148.09	176.29	92.7
CREBBP	237.86	260.38	239.52	205.5	124.37	157.68	551.56	665.29	339.14	169.07	429.54	248.0	607.87	150.17	432.53	334.46	547.75	312.0	599.49	226.54	307.69	540.19	343.89	123.5	339.14	169.07	169.07	521.76	500.46	497.0	343.89	466.88	277.2	267.73	764.36	224.97	182.55	287.01	293.07	457.25	64.8	110.43	143.01	267.73	95.34	126.12	150.17	318.57	423.61	158.79	525.39	68.07	142.01	384.34	432.53	915.51	397.93	277.2	379.04	642.59	684.02	128.79
CSTF2T	39.5	269.6	329.84	229.72	52.45	183.82	356.05	305.55	316.37	173.85	244.57	269.6	264.03	275.28	265.87	273.37	423.61	301.33	325.29	281.09	220.32	297.17	277.2	224.97	297.17	231.32	277.2	384.34	273.37	283.05	211.31	246.28	283.05	194.36	283.05	325.29	198.47	191.67	366.09	332.14	102.97	132.44	118.43	224.97	46.84	163.28	134.3	253.23	204.07	260.38	473.41	177.53	162.14	379.04	256.78	429.54	224.97	301.33	224.97	397.93	334.46	82.29
DDX6	209.84	318.57	289.02	420.68	63.89	154.42	1119.56	934.76	466.88	82.29	403.5	172.65	703.28	420.68	1225.22	775.05	775.05	674.59	1167.14	507.46	679.29	1225.22	813.63	260.38	842.36	318.57	217.27	1096.5	1259.69	1023.0	389.72	1119.56	497.0	389.72	1936.53	220.32	277.2	555.41	417.77	1175.27	50.27	71.5	63.45	148.09	66.65	82.29	116.78	563.18	642.59	470.14	616.37	128.79	486.75	1151.06	466.88	1457.23	1051.79	295.11	256.78	921.88	511.0	80.57
DYNC1LI2	713.11	591.22	974.5	514.56	406.31	441.64	1832.01	1651.0	954.43	507.46	915.51	529.06	1437.15	624.99	1143.1	1081.39	1487.87	860.08	1322.37	764.36	647.07	1175.27	1073.91	540.19	1008.9	567.1	514.56	1561.89	1059.11	1286.18	775.05	1127.35	748.61	921.88	2303.12	476.71	551.56	728.11	915.51	1286.18	59.55	181.28	108.9	236.21	226.54	158.79	187.71	1268.46	591.22	500.46	1870.53	234.57	392.44	796.86	981.29	1936.53	1030.12	995.0	1119.56	1617.0	2384.37	124.37
EP300	214.27	201.25	239.52	212.78	114.36	105.89	708.18	490.14	389.72	138.1	264.03	229.72	532.74	191.67	571.05	441.64	624.99	343.89	638.15	295.11	346.29	866.07	486.75	140.04	381.68	183.82	134.3	629.35	529.06	599.49	185.11	563.18	353.59	301.33	1286.18	178.77	182.55	231.32	423.61	521.76	28.24	85.82	64.34	150.17	62.56	159.9	108.9	392.44	258.57	162.14	511.0	67.12	146.03	412.0	460.44	836.53	575.03	356.05	303.44	500.46	476.71	75.11
FAM21C	187.71	215.77	205.5	156.59	146.03	136.19	567.1	819.3	234.57	73.54	152.28	171.45	438.59	221.86	318.57	269.6	470.14	217.27	387.02	201.25	244.57	341.51	285.03	198.47	273.37	187.71	148.09	381.68	339.14	346.29	217.27	327.56	223.41	234.57	466.88	205.5	176.29	211.31	285.03	334.46	13.22	125.24	29.7	135.24	112.77	185.11	46.5	334.46	147.06	287.01	242.88	29.27	95.34	241.19	301.33	579.04	775.05	320.8	366.09	493.56	417.77	78.89
GFPT1	480.04	275.28	320.8	253.23	153.34	145.02	1806.78	825.0	348.71	115.16	237.86	187.71	674.59	341.51	314.17	297.17	417.77	353.59	503.95	234.57	186.4	483.38	327.56	205.5	361.04	289.02	141.02	551.56	429.54	551.56	348.71	414.87	148.09	217.27	884.29	108.14	140.04	255.0	208.38	759.08	76.71	157.68	94.67	112.77	173.85	148.09	126.12	629.35	656.11	172.65	454.09	143.01	860.08	1037.29	318.57	441.64	616.37	941.27	1794.29	540.19	665.29	208.38
GIGYF2	339.14	297.17	325.29	170.25	231.32	205.5	1088.92	759.08	438.59	165.57	279.14	162.14	669.92	260.38	575.03	497.0	656.11	450.94	669.92	329.84	293.07	753.83	536.45	226.54	392.44	336.79	283.05	555.41	457.25	607.87	309.83	603.67	334.46	336.79	836.53	214.27	339.14	312.0	384.34	559.28	94.01	232.94	154.42	236.21	139.07	194.36	155.5	493.56	417.77	483.38	473.41	114.36	376.41	802.41	521.76	854.13	547.75	334.46	447.82	633.73	500.46	277.2
GLG1	759.08	728.11	988.12	1023.0	780.44	1044.52	2645.74	1781.89	1066.48	567.1	1135.2	703.28	733.19	759.08	1487.87	1111.82	1757.34	1175.27	2104.58	1073.91	802.41	1697.45	1111.82	738.29	1286.18	1143.1	1359.57	2104.58	1651.0	1605.83	1447.15	1191.69	928.3	1191.69	2875.3	866.07	819.3	748.61	921.88	1250.98	476.71	281.09	371.22	332.14	551.56	325.29	466.88	1781.89	872.1	896.64	1135.2	629.35	759.08	1397.83	878.17	2178.83	1030.12	872.1	1104.13	1674.06	1191.69	395.18
IDE	144.01	301.33	258.57	285.03	152.28	126.12	376.41	441.64	255.0	135.24	150.17	221.86	444.72	183.82	395.18	281.09	599.49	303.44	412.0	226.54	255.0	642.59	457.25	159.9	353.59	293.07	173.85	356.05	353.59	403.5	220.32	316.37	212.78	163.28	679.29	256.78	189.02	226.54	183.82	540.19	262.2	186.4	157.68	295.11	189.02	161.02	164.42	301.33	209.84	27.84	193.01	125.24	190.34	669.92	429.54	511.0	486.75	325.29	258.57	343.89	291.04	187.71
KAT6B	49.21	73.54	85.82	77.79	20.86	37.05	156.59	223.41	120.94	59.55	66.18	60.39	181.28	51.35	115.16	104.42	183.82	80.01	171.45	82.87	61.68	155.5	98.04	34.02	107.38	58.71	44.57	145.02	111.21	115.97	88.88	122.64	87.03	71.0	373.81	59.13	44.57	62.12	55.49	182.55	23.08	28.04	25.17	57.08	19.25	32.82	32.13	70.01	87.65	62.56	159.9	12.93	43.32	236.21	119.26	236.21	141.02	93.35	170.25	220.32	102.25	35.25
KIDINS220	223.41	271.48	303.44	186.4	84.63	123.5	493.56	379.04	241.19	152.28	275.28	265.87	426.57	269.6	371.22	395.18	647.07	346.29	647.07	299.25	275.28	457.25	373.81	148.09	403.5	220.32	211.31	595.34	343.89	466.88	395.18	395.18	356.05	307.69	947.83	220.32	137.14	214.27	314.17	497.0	33.06	140.04	82.87	215.77	82.87	153.34	76.17	529.06	309.83	234.57	624.99	96.01	134.3	358.54	420.68	587.13	500.46	253.23	432.53	466.88	358.54	59.55
KLHL11	9.06	14.67	7.57	10.55	1.3	8.06	54.33	94.01	30.12	6.41	27.44	7.57	35.25	22.92	58.3	24.99	77.79	32.36	67.12	12.55	28.86	61.68	56.68	15.22	46.18	12.18	7.69	70.51	40.93	52.08	29.7	37.32	19.97	16.75	187.71	4.86	7.06	14.03	50.63	61.68	0.74	2.32	3.86	6.78	1.14	5.5	3.26	28.24	17.51	13.32	34.75	4.7	18.56	35.5	36.79	152.28	74.06	17.77	8.25	88.88	20.41	4.58
LATS1	94.01	83.45	136.19	102.25	55.1	118.43	197.09	1015.93	183.82	92.7	92.7	74.58	156.59	129.69	232.94	177.53	299.25	169.07	314.17	171.45	159.9	221.86	167.9	114.36	209.84	127.0	90.14	283.05	239.52	204.07	187.71	186.4	154.42	164.42	555.41	111.21	128.79	118.43	197.09	248.0	24.63	45.85	32.36	38.67	46.5	66.18	43.02	98.04	138.1	124.37	255.0	69.03	135.24	185.11	226.54	332.14	297.17	190.34	152.28	181.28	193.01	71.0
MED13L	84.63	186.4	163.28	149.12	98.73	111.99	543.96	848.22	305.55	114.36	281.09	161.02	547.75	165.57	417.77	389.72	620.67	323.03	547.75	236.21	325.29	559.28	318.57	125.24	457.25	212.78	153.34	521.76	389.72	591.22	368.65	429.54	341.51	303.44	1457.23	185.11	229.72	236.21	463.65	486.75	21.01	60.82	58.71	108.9	51.71	115.16	49.91	285.03	248.0	358.54	312.0	35.0	180.02	371.22	320.8	651.58	432.53	158.79	348.71	543.96	379.04	81.14
MFAP3	229.72	208.38	228.13	190.34	156.59	202.66	358.54	397.93	316.37	85.22	303.44	153.34	343.89	334.46	423.61	301.33	551.56	438.59	620.67	258.57	260.38	547.75	429.54	246.28	395.18	123.5	152.28	656.11	400.71	583.07	226.54	381.68	226.54	269.6	503.95	214.27	201.25	289.02	281.09	429.54	161.02	128.79	94.01	154.42	85.22	143.01	110.43	244.57	237.86	325.29	406.31	151.22	190.34	348.71	287.01	476.71	363.56	237.86	460.44	307.69	336.79	81.14
MID2	30.12	70.51	64.34	144.01	46.5	101.54	159.9	239.52	71.5	37.32	141.02	23.59	202.66	102.97	141.02	92.05	180.02	75.11	187.71	73.54	123.5	224.97	110.43	73.03	156.59	87.03	31.67	158.79	134.3	198.47	53.19	183.82	55.89	91.41	718.08	129.69	15.22	85.22	141.02	249.73	21.94	27.64	45.21	53.19	25.54	62.56	48.18	172.65	248.0	177.53	108.14	35.5	88.26	514.56	110.43	110.43	37.32	34.02	214.27	182.55	120.94	40.93
MKL2	69.03	98.73	79.45	63.0	22.43	45.85	297.17	1030.12	194.36	91.41	165.57	52.82	373.81	102.25	253.23	180.02	327.56	150.17	384.34	109.66	159.9	295.11	208.38	100.83	202.66	51.71	55.1	332.14	248.0	271.48	167.9	255.0	102.97	108.14	532.74	73.54	83.45	111.99	157.68	423.61	15.8	39.5	27.84	36.53	11.3	25.17	39.79	103.69	248.0	312.0	159.9	39.79	96.01	182.55	185.11	444.72	267.73	110.43	232.94	353.59	275.28	11.21
MON1B	314.17	536.45	318.57	351.14	334.46	371.22	808.0	890.44	525.39	199.85	503.95	248.0	674.59	316.37	633.73	438.59	493.56	316.37	656.11	277.2	239.52	511.0	521.76	376.41	447.82	281.09	267.73	647.07	587.13	555.41	420.68	361.04	376.41	470.14	842.36	239.52	320.8	228.13	353.59	551.56	96.01	197.09	134.3	141.02	255.0	115.97	229.72	591.22	305.55	320.8	660.68	155.5	389.72	381.68	454.09	1059.11	503.95	866.07	470.14	518.15	808.0	138.1
MYCBP2	336.79	629.35	497.0	318.57	191.67	262.2	1225.22	571.05	490.14	336.79	669.92	514.56	1844.76	412.0	698.41	954.43	1001.93	642.59	1167.14	633.73	612.11	1457.23	1059.11	318.57	934.76	336.79	384.34	1159.07	629.35	1175.27	540.19	733.19	583.07	660.68	1135.2	603.67	356.05	633.73	693.58	1350.18	41.52	139.07	117.6	119.26	96.01	169.07	99.43	591.22	295.11	198.47	764.36	63.0	221.86	1088.92	988.12	1322.37	896.64	511.0	728.11	753.83	525.39	175.07
MYO9A	47.84	69.52	57.49	46.5	36.27	30.12	305.55	127.89	108.9	37.32	60.82	46.18	155.5	56.68	215.77	115.97	264.03	88.88	212.78	80.01	77.25	152.28	138.1	78.89	102.97	48.18	63.0	176.29	96.68	195.72	72.01	197.09	89.51	82.87	215.77	52.45	52.82	94.01	92.05	206.94	21.94	14.78	23.42	18.29	8.85	28.86	12.93	93.35	61.25	101.54	221.86	19.39	58.71	134.3	96.68	204.07	117.6	72.01	162.14	283.05	208.38	18.16
NCOA1	339.14	163.28	169.07	198.47	73.54	89.51	316.37	432.53	171.45	98.04	146.03	141.02	651.58	129.69	258.57	182.55	316.37	157.68	361.04	140.04	127.0	426.57	251.48	72.52	217.27	180.02	108.14	281.09	220.32	353.59	110.43	253.23	158.79	119.26	642.59	127.0	136.19	118.43	159.9	381.68	51.35	102.97	82.87	73.54	88.88	100.13	102.25	273.37	353.59	346.29	476.71	42.11	156.59	334.46	312.0	532.74	397.93	277.2	264.03	316.37	166.73	85.82
NFAT5	110.43	74.06	65.72	40.36	19.53	28.65	241.19	256.78	141.02	14.24	143.01	40.93	260.38	50.98	108.9	134.3	162.14	85.82	199.85	66.18	52.82	183.82	132.44	58.3	141.02	41.22	33.3	242.88	137.14	260.38	80.57	147.06	111.21	73.03	624.99	62.12	62.12	72.52	127.89	209.84	14.67	5.02	5.41	15.91	18.97	14.45	12.09	92.7	47.5	130.6	154.42	8.78	37.85	129.69	199.85	353.59	248.0	84.04	57.49	220.32	265.87	14.89
NFATC3	98.73	142.01	176.29	226.54	120.1	105.15	301.33	665.29	228.13	138.1	217.27	157.68	190.34	118.43	283.05	159.9	320.8	295.11	373.81	193.01	193.01	379.04	314.17	87.03	277.2	120.1	138.1	320.8	244.57	267.73	258.57	212.78	195.72	122.64	587.13	93.35	131.51	127.0	156.59	327.56	10.47	69.03	71.0	90.14	73.54	81.14	82.29	170.25	187.71	182.55	466.88	26.67	148.09	253.23	215.77	463.65	223.41	157.68	356.05	392.44	201.25	85.82
OGFOD1	373.81	688.78	525.39	432.53	366.09	575.03	1073.91	1023.0	713.11	320.8	813.63	381.68	579.04	470.14	878.17	934.76	981.29	813.63	819.3	769.69	514.56	921.88	921.88	866.07	693.58	684.02	532.74	1167.14	941.27	684.02	587.13	802.41	738.29	836.53	1008.9	543.96	480.04	830.75	780.44	698.41	182.55	368.65	171.45	153.34	208.38	199.85	244.57	642.59	387.02	186.4	651.58	373.81	438.59	836.53	521.76	785.88	947.83	532.74	529.06	536.45	679.29	264.03
PAPD5	82.87	132.44	132.44	72.52	96.68	105.89	303.44	314.17	120.94	82.87	139.07	105.89	148.09	75.11	148.09	159.9	262.2	154.42	248.0	165.57	144.01	236.21	215.77	105.89	198.47	121.79	142.01	186.4	135.24	209.84	182.55	246.28	123.5	220.32	379.04	202.66	159.9	140.04	177.53	229.72	120.94	100.13	63.0	57.08	76.17	85.22	76.71	111.21	137.14	301.33	175.07	102.25	100.13	253.23	214.27	201.25	211.31	114.36	204.07	163.28	114.36	68.55
PBRM1	120.94	209.84	287.01	191.67	107.38	116.78	511.0	738.29	379.04	182.55	223.41	178.77	368.65	135.24	454.09	361.04	409.15	206.94	480.04	267.73	256.78	603.67	432.53	183.82	229.72	186.4	147.06	723.08	373.81	511.0	155.5	441.64	269.6	153.34	708.18	108.9	158.79	260.38	234.57	551.56	29.27	85.82	77.25	122.64	101.54	115.16	59.55	301.33	346.29	118.43	392.44	69.52	145.02	400.71	351.14	642.59	379.04	397.93	226.54	486.75	287.01	82.29
PRKCH	307.69	353.59	435.55	423.61	241.19	281.09	426.57	486.75	454.09	220.32	361.04	409.15	503.95	244.57	514.56	366.09	660.68	454.09	629.35	232.94	348.71	808.0	521.76	332.14	406.31	529.06	287.01	642.59	429.54	684.02	346.29	559.28	287.01	486.75	796.86	329.84	591.22	343.89	511.0	688.78	159.9	77.25	39.5	53.19	20.11	74.58	82.29	521.76	271.48	2367.9	651.58	253.23	341.51	1059.11	397.93	595.34	490.14	336.79	514.56	536.45	400.71	176.29
RBM27	116.78	163.28	183.82	156.59	104.42	120.94	262.2	381.68	198.47	100.13	194.36	142.01	202.66	143.01	301.33	167.9	351.14	220.32	314.17	193.01	180.02	312.0	218.79	177.53	226.54	130.6	120.94	336.79	275.28	275.28	229.72	244.57	185.11	180.02	403.5	147.06	169.07	187.71	194.36	273.37	75.64	66.65	63.45	80.57	90.14	96.68	22.26	144.01	228.13	80.57	212.78	75.11	145.02	248.0	221.86	295.11	287.01	183.82	178.77	212.78	202.66	118.43
REST	169.07	145.02	209.84	154.42	71.0	111.21	318.57	329.84	258.57	70.01	145.02	120.94	158.79	146.03	249.73	212.78	356.05	189.02	341.51	175.07	237.86	285.03	220.32	133.36	220.32	114.36	112.77	314.17	307.69	287.01	142.01	267.73	193.01	194.36	808.0	111.21	144.01	169.07	214.27	289.02	53.57	32.82	43.63	60.39	52.08	55.49	28.65	208.38	169.07	56.68	199.85	82.87	112.77	260.38	279.14	395.18	258.57	167.9	114.36	198.47	186.4	81.14
RSPRY1	312.0	303.44	384.34	299.25	175.07	241.19	591.22	819.3	343.89	223.41	301.33	269.6	361.04	409.15	444.72	395.18	426.57	406.31	575.03	371.22	371.22	392.44	363.56	629.35	400.71	176.29	232.94	738.29	480.04	400.71	414.87	361.04	348.71	318.57	665.29	269.6	295.11	301.33	283.05	397.93	120.1	221.86	166.73	135.24	204.07	130.6	138.1	693.58	269.6	301.33	483.38	260.38	334.46	351.14	470.14	503.95	651.58	423.61	387.02	376.41	406.31	82.29
