	TCGA.DK.AA6X.01A.12R.A42T.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.FU.A57G.01A.11R.A26T.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.55.7570.01A.11R.2039.07	TCGA.55.7724.01A.11R.2170.07	TCGA.21.1075.01A.01R.0692.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.N5.A4RT.01A.11R.A28V.07
C4orf46	117.6	140.04	176.29	96.68	130.6	220.32	106.63	223.41	480.04	69.03	55.1	46.18	52.82	36.79	32.13	60.82	60.82	96.68	55.49	43.02	57.49	104.42	63.45	64.8	84.04	48.18	54.33	58.3	52.82	53.57	60.39	53.57	39.79	51.71	49.21	60.39	61.25	52.45	112.77	63.0	57.89	73.03	69.03	25.17	38.12	55.1	38.67	32.13	52.08	43.63	52.08	24.99	29.48	37.85	46.18	58.71	46.84	40.07	11.91	15.22	33.06	12.93	14.45	152.28	97.36	148.09	150.17	110.43	131.51	170.25	119.26	89.51	101.54	138.1	106.63	157.68	187.71	275.28
CASP3	1277.29	638.15	1030.12	854.13	954.43	1119.56	379.04	651.58	1977.24	193.01	147.06	256.78	182.55	159.9	144.01	209.84	536.45	420.68	275.28	159.9	163.28	198.47	185.11	231.32	339.14	206.94	175.07	163.28	149.12	149.12	232.94	177.53	140.04	152.28	144.01	224.97	165.57	161.02	351.14	199.85	229.72	334.46	209.84	137.14	132.44	204.07	136.19	119.26	126.12	164.42	158.79	99.43	159.9	135.24	181.28	273.37	145.02	140.04	116.78	187.71	287.01	95.34	239.52	373.81	728.11	480.04	204.07	229.72	223.41	197.09	206.94	265.87	256.78	237.86	186.4	260.38	825.0	587.13
CBX3	4358.66	4639.29	4704.07	4972.34	4328.55	3540.14	3257.52	4937.99	6471.02	1923.14	2193.99	2047.0	2119.22	1437.15	1015.93	1340.84	1417.35	2997.45	2303.12	1806.78	2004.85	2573.36	1870.53	1923.14	2271.4	1477.58	1923.14	1781.89	1819.35	2090.03	1963.57	1909.85	1844.76	1745.2	1651.0	2018.8	1977.24	1617.0	2468.49	2061.24	1923.14	2758.13	1909.85	728.11	1508.65	1781.89	1498.22	1313.23	1457.23	1709.26	1447.15	1208.34	1540.37	1427.22	1519.15	1407.55	1286.18	1447.15	521.76	836.53	884.29	1008.9	1001.93	6337.83	4181.07	6164.49	3212.66	1832.01	2004.85	2075.59	2209.26	1844.76	2367.9	1896.65	2104.58	1936.53	4481.23	5292.48
CCDC59	1397.83	1819.35	1529.73	1397.83	866.07	1001.93	1159.07	1096.5	1295.13	599.49	988.12	616.37	896.64	351.14	334.46	403.5	521.76	915.51	571.05	688.78	616.37	791.35	583.07	587.13	703.28	480.04	629.35	603.67	607.87	669.92	688.78	490.14	543.96	521.76	575.03	842.36	775.05	514.56	607.87	612.11	656.11	764.36	555.41	90.14	599.49	579.04	476.71	486.75	480.04	559.28	551.56	376.41	521.76	511.0	612.11	595.34	521.76	457.25	98.73	346.29	476.71	476.71	368.65	1733.13	1088.92	2004.85	1088.92	1331.57	1286.18	1135.2	1378.57	1111.82	1331.57	1044.52	1277.29	1397.83	1794.29	1844.76
CENPK	229.72	320.8	356.05	483.38	301.33	356.05	50.27	248.0	1250.98	21.01	13.93	15.68	21.01	14.14	7.94	10.39	45.85	64.8	18.7	8.06	10.24	190.34	11.04	6.01	21.78	15.8	8.45	14.45	9.93	17.38	29.27	8.13	9.56	6.46	10.16	18.43	21.47	11.38	27.44	16.15	22.26	17.13	16.27	4.78	8.92	13.12	9.41	8.32	4.24	13.52	5.59	4.43	6.36	4.98	9.56	12.36	5.23	4.82	1.13	7.22	15.91	2.14	7.57	307.69	120.1	638.15	24.11	17.25	20.56	15.0	18.43	46.18	11.47	26.28	42.71	16.27	444.72	255.0
CENPQ	108.9	110.43	155.5	132.44	195.72	181.28	144.01	123.5	432.53	58.3	67.59	48.18	82.29	31.0	32.36	36.27	70.51	105.15	68.07	44.57	43.63	123.5	71.5	63.0	71.0	57.89	59.97	61.68	83.45	65.72	96.01	63.89	48.52	63.45	62.12	82.87	100.13	57.08	123.5	55.49	68.55	120.1	77.25	6.94	52.82	68.55	57.49	41.22	43.94	40.93	48.87	51.71	42.71	45.85	48.18	56.28	45.21	58.71	14.14	18.16	32.82	12.36	31.67	155.5	193.01	301.33	91.41	105.15	86.43	92.7	100.13	95.34	74.58	98.73	66.65	89.51	295.11	325.29
COIL	503.95	307.69	981.29	525.39	563.18	379.04	327.56	279.14	511.0	198.47	199.85	202.66	191.67	173.85	173.85	214.27	194.36	221.86	246.28	181.28	217.27	255.0	201.25	195.72	237.86	175.07	218.79	201.25	190.34	253.23	186.4	232.94	215.77	232.94	193.01	236.21	199.85	194.36	226.54	182.55	195.72	248.0	223.41	70.51	197.09	175.07	162.14	148.09	177.53	175.07	167.9	132.44	170.25	204.07	183.82	164.42	165.57	176.29	99.43	159.9	181.28	53.19	101.54	470.14	285.03	713.11	291.04	356.05	334.46	334.46	253.23	420.68	327.56	356.05	346.29	384.34	483.38	336.79
COPS5	1950.0	1991.0	1250.98	1963.57	1594.73	1769.57	1407.55	2104.58	1583.71	1119.56	1733.13	1143.1	1628.26	1088.92	1151.06	961.07	1183.45	1259.69	1896.65	1268.46	1143.1	1216.75	1104.13	1104.13	1199.98	1104.13	1183.45	1225.22	1183.45	1250.98	1467.37	1143.1	1104.13	1191.69	1127.35	1340.84	1427.22	1059.11	1331.57	1295.13	1104.13	1268.46	1208.34	426.57	1250.98	1096.5	1268.46	1030.12	1023.0	1073.91	995.0	1073.91	1135.2	1151.06	1191.69	921.88	934.76	1081.39	642.59	633.73	1127.35	728.11	728.11	1447.15	1617.0	2224.63	1073.91	1159.07	1015.93	1111.82	902.89	1322.37	896.64	1259.69	1111.82	1350.18	1617.0	1662.49
DCAF16	316.37	392.44	305.55	607.87	387.02	540.19	376.41	368.65	591.22	232.94	170.25	215.77	193.01	115.97	153.34	163.28	305.55	201.25	231.32	212.78	253.23	371.22	283.05	228.13	231.32	154.42	281.09	241.19	199.85	293.07	220.32	299.25	241.19	251.48	264.03	262.2	232.94	248.0	147.06	217.27	239.52	191.67	323.03	84.04	236.21	232.94	178.77	194.36	189.02	327.56	237.86	199.85	175.07	224.97	248.0	217.27	232.94	189.02	32.82	49.91	38.95	21.16	56.68	417.77	301.33	486.75	466.88	346.29	384.34	366.09	226.54	334.46	423.61	332.14	346.29	323.03	483.38	543.96
DENR	1769.57	1350.18	1259.69	1407.55	872.1	1167.14	915.51	981.29	928.3	624.99	547.75	733.19	624.99	381.68	470.14	718.08	723.08	836.53	633.73	571.05	612.11	808.0	728.11	693.58	775.05	543.96	665.29	612.11	647.07	679.29	708.18	698.41	656.11	665.29	624.99	688.78	587.13	612.11	802.41	728.11	633.73	780.44	616.37	269.6	500.46	629.35	575.03	547.75	540.19	620.67	529.06	500.46	587.13	563.18	555.41	543.96	518.15	551.56	212.78	287.01	470.14	175.07	414.87	1467.37	1096.5	1487.87	660.68	684.02	629.35	698.41	884.29	738.29	583.07	665.29	624.99	738.29	1286.18	1508.65
DNAJC21	1304.15	1369.04	860.08	854.13	759.08	1304.15	909.17	728.11	1088.92	698.41	497.0	603.67	575.03	406.31	476.71	612.11	934.76	642.59	579.04	616.37	738.29	738.29	708.18	698.41	748.61	688.78	866.07	684.02	633.73	884.29	591.22	796.86	723.08	679.29	733.19	748.61	591.22	624.99	567.1	703.28	708.18	738.29	802.41	99.43	607.87	633.73	633.73	579.04	612.11	698.41	607.87	693.58	595.34	651.58	559.28	708.18	599.49	669.92	85.82	273.37	361.04	414.87	305.55	723.08	961.07	1417.35	521.76	583.07	819.3	595.34	728.11	579.04	518.15	651.58	575.03	607.87	1030.12	2032.85
EIF2B1	1191.69	974.5	1199.98	733.19	802.41	854.13	928.3	718.08	780.44	679.29	595.34	599.49	688.78	507.46	473.41	551.56	651.58	733.19	748.61	529.06	514.56	624.99	612.11	543.96	620.67	493.56	603.67	595.34	563.18	633.73	575.03	612.11	583.07	599.49	521.76	669.92	551.56	532.74	587.13	571.05	591.22	583.07	638.15	432.53	536.45	612.11	599.49	476.71	571.05	555.41	559.28	547.75	624.99	575.03	599.49	555.41	543.96	567.1	343.89	441.64	426.57	309.83	339.14	1191.69	1059.11	947.83	674.59	780.44	603.67	860.08	624.99	748.61	642.59	743.43	674.59	624.99	1583.71	1447.15
EIF2S2	2701.35	1923.14	1733.13	2240.11	1806.78	1340.84	1242.34	1583.71	1923.14	884.29	890.44	1037.29	988.12	669.92	728.11	813.63	941.27	1015.93	1340.84	775.05	836.53	1096.5	796.86	915.51	1081.39	830.75	825.0	854.13	921.88	896.64	848.22	842.36	860.08	836.53	808.0	902.89	854.13	791.35	934.76	981.29	921.88	1051.79	890.44	312.0	791.35	842.36	860.08	743.43	743.43	775.05	713.11	759.08	796.86	785.88	775.05	819.3	693.58	791.35	339.14	591.22	981.29	759.08	684.02	2090.03	2047.0	2319.15	1119.56	896.64	808.0	775.05	836.53	1183.45	902.89	947.83	1378.57	941.27	2573.36	2148.82
ERGIC2	2758.13	2573.36	1721.16	1467.37	2303.12	1529.73	2004.85	2502.97	2502.97	1081.39	1096.5	1216.75	1096.5	684.02	748.61	1044.52	738.29	1437.15	1806.78	934.76	934.76	1487.87	921.88	1216.75	1225.22	961.07	1081.39	1111.82	1250.98	1151.06	1208.34	1127.35	780.44	1088.92	974.5	1044.52	1096.5	1104.13	1733.13	1088.92	1233.75	1467.37	1216.75	224.97	1037.29	921.88	988.12	909.17	733.19	1015.93	947.83	808.0	842.36	872.1	967.76	1059.11	612.11	902.89	237.86	363.56	1340.84	785.88	1242.34	2209.26	2956.17	2720.15	1233.75	1127.35	1008.9	988.12	1427.22	1417.35	909.17	1233.75	921.88	1127.35	2271.4	2451.44
FAM49B	1331.57	2351.53	1322.37	1769.57	974.5	1896.65	1331.57	1286.18	1674.06	665.29	723.08	785.88	830.75	503.95	435.55	759.08	674.59	1088.92	1304.15	579.04	466.88	830.75	620.67	660.68	866.07	563.18	607.87	583.07	638.15	603.67	759.08	579.04	571.05	607.87	444.72	660.68	660.68	503.95	1199.98	688.78	713.11	884.29	642.59	629.35	529.06	802.41	500.46	423.61	511.0	607.87	457.25	460.44	507.46	500.46	571.05	743.43	412.0	500.46	214.27	132.44	591.22	185.11	332.14	1304.15	2061.24	3372.43	748.61	583.07	624.99	780.44	587.13	1350.18	555.41	961.07	647.07	718.08	1359.57	1594.73
FBXO5	215.77	77.79	171.45	249.73	101.54	293.07	104.42	127.89	616.37	66.18	51.35	57.89	54.33	30.12	42.71	45.53	76.71	88.88	41.22	63.45	53.95	166.73	67.59	64.8	94.01	50.63	59.55	53.57	55.89	68.07	71.0	76.71	58.3	67.12	50.27	59.13	59.55	65.72	71.5	64.34	53.57	71.5	60.39	7.06	55.1	59.97	50.98	44.57	58.3	44.57	48.18	41.52	55.49	57.08	50.63	59.55	47.17	50.27	13.03	19.25	16.75	20.86	15.11	279.14	121.79	281.09	66.18	118.43	68.07	124.37	133.36	197.09	69.52	166.73	148.09	161.02	204.07	426.57
GINS3	343.89	217.27	148.09	289.02	175.07	346.29	116.78	159.9	293.07	56.68	43.32	48.18	63.0	39.79	41.52	59.55	92.7	136.19	98.04	44.57	43.94	99.43	48.87	58.71	71.0	36.53	53.19	43.94	44.57	44.25	53.19	37.05	39.5	47.17	48.87	50.63	51.35	43.02	72.01	73.03	57.08	55.89	65.26	47.84	46.18	55.49	38.95	54.33	46.5	44.89	47.84	36.79	35.0	34.51	40.07	55.49	36.01	37.32	25.54	26.1	34.02	19.25	14.56	267.73	155.5	387.02	77.79	96.68	53.19	87.03	64.34	67.12	59.97	102.97	76.17	75.11	163.28	246.28
GOLT1B	703.28	753.83	698.41	486.75	638.15	713.11	629.35	802.41	1073.91	429.54	547.75	384.34	507.46	291.04	320.8	420.68	320.8	603.67	890.44	493.56	395.18	536.45	361.04	420.68	559.28	438.59	412.0	387.02	454.09	463.65	563.18	463.65	309.83	406.31	379.04	480.04	665.29	366.09	647.07	368.65	466.88	583.07	395.18	201.25	420.68	353.59	363.56	283.05	318.57	325.29	318.57	348.71	356.05	363.56	376.41	500.46	265.87	303.44	129.69	132.44	316.37	220.32	318.57	825.0	896.64	1268.46	651.58	379.04	571.05	395.18	423.61	575.03	571.05	500.46	444.72	409.15	656.11	961.07
GPX3	417.77	638.15	483.38	441.64	961.07	241.19	100023.92	64186.29	2609.3	353168.2	783730.52	391864.76	394590.4	327241.36	299043.36	378516.38	365622.68	262143.0	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	299043.36	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	17078.76	2287.2	320506.81	10512.82	180294.02	2645.74	19482.97	1378.57	546551.29	499455.67	419990.32	405683.88	338781.54	275175.93	428815.23	284880.02	513497.31	301123.38	9409.14	1313.23
GRSF1	2384.37	2193.99	2609.3	2720.15	2417.67	2895.31	1685.71	2224.63	1594.73	1286.18	1119.56	1242.34	1295.13	1111.82	1561.89	1697.45	1709.26	1397.83	1685.71	1313.23	1519.15	1583.71	1477.58	1313.23	1447.15	1397.83	1583.71	1457.23	1295.13	1583.71	1208.34	1685.71	1540.37	1417.35	1437.15	1340.84	1233.75	1359.57	1378.57	1540.37	1242.34	1583.71	1369.04	1030.12	1159.07	1304.15	1277.29	1151.06	1286.18	1119.56	1183.45	1199.98	1340.84	1268.46	1143.1	1208.34	1066.48	1304.15	669.92	599.49	1467.37	633.73	791.35	2287.2	1832.01	1519.15	1037.29	1268.46	1127.35	1015.93	1191.69	1407.55	1096.5	1322.37	1135.2	1388.16	1721.16	2555.58
HDAC2	1857.6	2004.85	1594.73	3540.14	1883.54	3665.02	1733.13	2032.85	4607.24	1313.23	791.35	1295.13	1104.13	1001.93	1151.06	995.0	1073.91	1477.58	684.02	1044.52	1242.34	1583.71	1096.5	1350.18	1651.0	1135.2	1268.46	1225.22	1295.13	1322.37	1088.92	1359.57	1286.18	1322.37	1151.06	1313.23	896.64	1233.75	1467.37	1295.13	1304.15	1685.71	1286.18	363.56	1030.12	1183.45	1066.48	1088.92	1216.75	1104.13	974.5	947.83	1059.11	1059.11	1008.9	1135.2	1088.92	1023.0	291.04	285.03	403.5	329.84	397.93	4802.93	2271.4	2777.33	1066.48	1250.98	1259.69	1143.1	1167.14	2075.59	1167.14	1529.73	1242.34	1388.16	3325.99	5147.73
