	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.A7.A6VY.01A.12R.A33J.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N
C11orf83	389.72	775.05	379.04	1119.56	293.07	403.5	236.21	309.83	738.29	483.38	314.17	555.41	178.77	279.14	525.39	138.1	514.56	253.23	318.57	267.73	341.51	122.64	325.29	483.38	231.32	387.02	172.65	500.46	142.01	368.65	373.81	353.59	96.01	90.77	71.5	85.82	63.0	102.97	85.22	69.52	130.6	146.03	39.5	241.19	115.97	78.89	113.56	166.73	73.03	148.09	105.15	36.27	115.97	80.57	63.45	122.64	165.57	166.73	748.61	54.33	111.21	334.46	115.16	88.26	98.04
C12orf44	2104.58	1487.87	1159.07	3146.52	1191.69	2485.67	718.08	995.0	1388.16	2367.9	1322.37	1242.34	954.43	1183.45	981.29	1397.83	1639.59	1991.0	1572.76	934.76	1135.2	555.41	1369.04	1617.0	1199.98	1427.22	854.13	1175.27	872.1	1437.15	854.13	1529.73	490.14	384.34	215.77	229.72	241.19	406.31	329.84	258.57	934.76	813.63	339.14	1081.39	848.22	703.28	981.29	878.17	974.5	830.75	1388.16	307.69	514.56	603.67	728.11	842.36	1044.52	540.19	2895.31	540.19	1008.9	1127.35	599.49	563.18	819.3
C16orf13	3639.7	4268.94	3395.89	8247.98	1143.1	3443.31	3103.19	2777.33	4575.41	4972.34	2178.83	3081.75	1313.23	1519.15	2319.15	1359.57	2664.15	2178.83	2047.0	2400.97	2367.9	1059.11	2319.15	3349.13	1477.58	2032.85	1259.69	3018.3	1111.82	1977.24	4239.45	2224.63	764.36	902.89	660.68	563.18	708.18	718.08	1268.46	703.28	1175.27	1467.37	540.19	1909.85	808.0	791.35	1088.92	620.67	753.83	974.5	620.67	379.04	1427.22	583.07	1331.57	1159.07	1662.49	1037.29	3039.3	379.04	1023.0	1733.13	1457.23	651.58	620.67
C16orf59	264.03	258.57	127.89	669.92	93.35	432.53	119.26	173.85	954.43	669.92	185.11	176.29	75.64	35.5	181.28	32.59	199.85	75.64	88.26	212.78	69.52	18.56	158.79	262.2	50.98	194.36	33.78	131.51	38.4	166.73	115.16	229.72	21.32	11.47	1.68	3.66	34.75	16.75	12.83	15.0	40.36	25.17	9.63	56.28	24.28	112.77	27.64	44.89	36.01	24.28	17.0	18.97	24.46	31.45	22.92	28.24	14.14	33.78	21.32	34.02	31.67	52.08	35.5	60.82	45.53
C19orf60	2240.11	2935.74	1806.78	3168.41	842.36	1651.0	616.37	529.06	2240.11	2384.37	1923.14	1477.58	426.57	665.29	915.51	271.48	1023.0	529.06	1127.35	656.11	547.75	616.37	1477.58	1529.73	884.29	1322.37	612.11	1870.53	708.18	1268.46	206.94	934.76	426.57	392.44	269.6	295.11	264.03	353.59	387.02	220.32	514.56	417.77	153.34	1059.11	567.1	525.39	642.59	497.0	463.65	848.22	450.94	82.87	802.41	229.72	563.18	583.07	373.81	753.83	2224.63	92.7	988.12	842.36	457.25	262.2	336.79
CCDC124	4607.24	3982.99	2835.7	3235.01	2520.38	3081.75	941.27	1037.29	5147.73	2701.35	2468.49	2591.27	1225.22	1963.57	1583.71	1457.23	2400.97	1417.35	1923.14	1594.73	1806.78	616.37	2875.3	3982.99	1583.71	2796.65	1175.27	3716.2	1467.37	2367.9	1794.29	2209.26	575.03	603.67	444.72	473.41	197.09	503.95	480.04	400.71	1143.1	830.75	206.94	2178.83	511.0	567.1	890.44	743.43	514.56	967.76	728.11	218.79	915.51	473.41	674.59	934.76	2537.92	1037.29	2163.77	287.01	808.0	1143.1	928.3	551.56	961.07
CCDC85B	1151.06	1340.84	743.43	1498.22	134.3	954.43	162.14	223.41	497.0	961.07	336.79	507.46	187.71	460.44	348.71	120.94	753.83	271.48	264.03	165.57	249.73	146.03	258.57	543.96	599.49	497.0	182.55	1883.54	432.53	543.96	220.32	275.28	90.77	134.3	80.01	110.43	64.8	110.43	170.25	79.45	128.79	153.34	68.55	647.07	98.04	287.01	167.9	73.03	214.27	493.56	138.1	27.05	281.09	91.41	267.73	125.24	343.89	262.2	1008.9	11.21	110.43	327.56	180.02	82.29	130.6
CDCA4	567.1	563.18	157.68	579.04	214.27	444.72	232.94	368.65	256.78	486.75	318.57	277.2	183.82	199.85	363.56	183.82	267.73	148.09	260.38	273.37	182.55	255.0	241.19	412.0	181.28	309.83	236.21	403.5	148.09	307.69	262.2	409.15	118.43	111.99	40.64	50.98	159.9	120.94	111.21	98.73	183.82	194.36	120.1	152.28	244.57	182.55	152.28	223.41	201.25	182.55	212.78	101.54	151.22	190.34	101.54	171.45	140.04	249.73	332.14	72.01	211.31	260.38	167.9	169.07	303.44
CHTF18	884.29	563.18	1250.98	1651.0	299.25	1529.73	176.29	376.41	2178.83	1844.76	633.73	708.18	108.9	162.14	392.44	105.15	358.54	215.77	358.54	323.03	185.11	82.87	217.27	651.58	218.79	406.31	120.94	339.14	94.67	457.25	316.37	376.41	148.09	51.35	19.25	28.86	103.69	56.28	52.08	49.91	255.0	129.69	38.4	209.84	152.28	242.88	98.73	173.85	182.55	153.34	115.16	53.57	201.25	111.21	114.36	348.71	78.89	166.73	78.34	72.01	265.87	104.42	98.04	77.79	100.13
COMTD1	915.51	1769.57	616.37	1540.37	191.67	693.58	208.38	339.14	1369.04	1175.27	327.56	733.19	178.77	414.87	297.17	267.73	309.83	217.27	500.46	381.68	536.45	171.45	281.09	764.36	299.25	1081.39	190.34	693.58	231.32	563.18	281.09	376.41	140.04	72.52	50.27	84.63	77.79	111.99	87.03	54.33	193.01	149.12	58.3	307.69	90.14	264.03	197.09	71.0	165.57	155.5	115.16	12.09	277.2	72.01	162.14	116.78	104.42	171.45	587.13	37.59	136.19	429.54	199.85	62.12	61.68
DRAP1	3716.2	5441.3	3395.89	8134.41	4095.0	4607.24	2193.99	2075.59	5594.3	7280.4	3564.78	2777.33	2720.15	3168.41	2520.38	2018.8	2915.45	2451.44	2758.13	2133.97	2485.67	988.12	3874.05	4298.64	2319.15	3639.7	1498.22	5329.3	1977.24	3257.52	1721.16	3039.3	974.5	780.44	884.29	796.86	497.0	796.86	854.13	743.43	1909.85	1225.22	483.38	2758.13	878.17	878.17	1322.37	1286.18	947.83	1477.58	1081.39	679.29	1073.91	842.36	769.69	2061.24	3742.05	1397.83	5791.62	665.29	1467.37	3443.31	1794.29	842.36	1397.83
DTYMK	575.03	1388.16	607.87	2004.85	629.35	1066.48	669.92	684.02	1268.46	1104.13	941.27	836.53	624.99	521.76	591.22	567.1	928.3	447.82	753.83	703.28	361.04	432.53	753.83	961.07	483.38	1111.82	454.09	769.69	336.79	915.51	921.88	507.46	327.56	289.02	267.73	244.57	275.28	301.33	309.83	251.48	366.09	511.0	209.84	587.13	325.29	291.04	318.57	361.04	376.41	423.61	249.73	251.48	417.77	297.17	303.44	493.56	256.78	314.17	1088.92	229.72	332.14	713.11	406.31	376.41	483.38
E2F1	329.84	660.68	83.45	902.89	186.4	575.03	77.79	262.2	674.59	1030.12	507.46	109.66	112.77	74.06	454.09	97.36	172.65	118.43	82.29	271.48	97.36	21.16	221.86	753.83	43.32	432.53	63.89	403.5	69.03	343.89	96.68	348.71	25.35	21.32	19.25	23.59	36.27	33.78	28.24	26.47	109.66	27.05	16.75	81.71	81.14	193.01	19.68	19.68	78.89	94.01	97.36	8.32	63.45	52.45	28.24	58.71	16.03	71.0	34.26	17.77	51.71	85.82	53.57	63.0	51.35
EBNA1BP2	3146.52	2956.17	1519.15	3039.3	2061.24	2591.27	2319.15	1936.53	3564.78	2835.7	1909.85	1594.73	1936.53	1167.14	1199.98	1519.15	2335.28	1628.26	1651.0	3060.45	1378.57	1208.34	2119.22	2468.49	1745.2	3716.2	1467.37	2303.12	1208.34	1216.75	1745.2	2434.5	1199.98	915.51	547.75	679.29	878.17	1051.79	1044.52	698.41	1388.16	1561.89	780.44	1909.85	988.12	981.29	1001.93	1066.48	1322.37	1023.0	890.44	1259.69	1151.06	1233.75	934.76	1268.46	2224.63	1191.69	2777.33	1225.22	1427.22	2417.67	1088.92	909.17	1059.11
EIF6	5183.54	7642.41	3515.68	8363.13	2701.35	5517.27	3716.2	3349.13	4481.23	6250.56	5366.37	3168.41	2384.37	2935.74	2591.27	2935.74	3589.58	3901.01	3081.75	2627.46	4419.52	2720.15	3212.66	6840.04	2976.74	4328.55	2627.46	6250.56	2627.46	3540.14	3395.89	4358.66	2119.22	1977.24	1322.37	1437.15	1844.76	1583.71	2502.97	1709.26	2758.13	2855.44	1498.22	3257.52	1870.53	2335.28	1832.01	1662.49	2555.58	2075.59	2119.22	1388.16	1572.76	2104.58	1936.53	2240.11	4239.45	2351.53	6561.36	1519.15	2209.26	4450.27	2485.67	2148.82	2400.97
EXOSC4	1073.91	1044.52	928.3	2335.28	616.37	3349.13	1697.45	1427.22	1023.0	2915.45	1605.83	961.07	532.74	693.58	808.0	651.58	1183.45	656.11	1008.9	1304.15	1081.39	426.57	896.64	2384.37	796.86	2664.15	500.46	3146.52	651.58	1963.57	1008.9	1081.39	221.86	239.52	150.17	152.28	231.32	229.72	279.14	215.77	518.15	599.49	122.64	854.13	373.81	392.44	392.44	414.87	486.75	403.5	743.43	77.25	281.09	389.72	373.81	429.54	884.29	275.28	2119.22	185.11	305.55	819.3	529.06	126.12	493.56
FAM195A	909.17	1216.75	1096.5	5555.65	361.04	753.83	902.89	647.07	1977.24	1135.2	802.41	1519.15	332.14	395.18	961.07	470.14	1037.29	497.0	860.08	511.0	665.29	283.05	708.18	656.11	417.77	836.53	295.11	511.0	258.57	825.0	1096.5	934.76	137.14	212.78	123.5	139.07	127.0	169.07	120.94	126.12	215.77	265.87	69.03	435.55	161.02	208.38	181.28	195.72	262.2	173.85	215.77	67.12	253.23	148.09	195.72	307.69	146.03	228.13	1088.92	77.25	229.72	579.04	305.55	130.6	102.97
GADD45GIP1	5041.77	4450.27	2400.97	5751.61	2032.85	2485.67	1175.27	1199.98	3742.05	2664.15	2090.03	2319.15	1397.83	1781.89	2224.63	1487.87	2287.2	2018.8	2104.58	1583.71	1832.01	591.22	2384.37	2997.45	1628.26	3443.31	1096.5	3540.14	1199.98	2855.44	3349.13	1991.0	500.46	497.0	412.0	432.53	183.82	490.14	486.75	273.37	1313.23	1008.9	180.02	2032.85	493.56	988.12	884.29	486.75	1015.93	1015.93	595.34	293.07	1199.98	679.29	954.43	656.11	1806.78	629.35	3955.48	264.03	713.11	1605.83	974.5	466.88	665.29
GLTPD1	587.13	674.59	808.0	941.27	389.72	842.36	587.13	426.57	529.06	902.89	371.22	848.22	241.19	271.48	981.29	329.84	616.37	334.46	633.73	273.37	341.51	346.29	723.08	567.1	579.04	629.35	395.18	507.46	463.65	329.84	616.37	473.41	253.23	301.33	181.28	157.68	154.42	267.73	253.23	162.14	336.79	361.04	127.89	511.0	339.14	454.09	381.68	327.56	332.14	463.65	275.28	57.08	414.87	320.8	301.33	273.37	122.64	303.44	660.68	178.77	244.57	647.07	514.56	248.0	507.46
H2AFX	4066.71	2664.15	629.35	2193.99	358.54	1572.76	595.34	438.59	1781.89	1794.29	775.05	616.37	384.34	723.08	995.0	279.14	1051.79	447.82	387.02	1191.69	466.88	351.14	878.17	1242.34	620.67	733.19	376.41	2384.37	547.75	551.56	842.36	915.51	186.4	190.34	102.97	124.37	181.28	212.78	171.45	140.04	256.78	325.29	131.51	532.74	220.32	511.0	264.03	229.72	239.52	255.0	234.57	44.89	297.17	169.07	275.28	170.25	368.65	220.32	551.56	33.3	224.97	432.53	291.04	118.43	195.72
HES6	223.41	470.14	107.38	1617.0	99.43	197.09	75.64	177.53	764.36	780.44	171.45	119.26	39.5	90.14	269.6	14.14	94.67	55.49	69.03	91.41	55.49	28.04	253.23	1051.79	61.68	327.56	48.52	107.38	66.18	285.03	285.03	412.0	15.0	10.71	15.91	13.62	5.23	10.39	15.34	13.42	42.41	24.28	9.63	51.71	10.55	22.75	43.32	9.27	23.59	35.0	9.93	1.3	38.67	27.05	35.5	38.4	23.42	17.0	165.57	14.45	21.32	96.01	32.13	16.15	51.71
HSPBP1	3081.75	1745.2	1066.48	1594.73	808.0	1225.22	587.13	753.83	1447.15	1437.15	954.43	1037.29	444.72	679.29	463.65	607.87	1225.22	486.75	896.64	698.41	733.19	571.05	825.0	1685.71	669.92	974.5	511.0	954.43	379.04	878.17	587.13	791.35	366.09	295.11	165.57	194.36	217.27	271.48	323.03	197.09	490.14	500.46	205.5	693.58	460.44	265.87	466.88	332.14	579.04	423.61	325.29	166.73	728.11	358.54	669.92	412.0	587.13	490.14	934.76	84.04	409.15	703.28	316.37	279.14	366.09
IER5L	902.89	579.04	575.03	567.1	127.89	738.29	115.97	111.99	417.77	738.29	316.37	366.09	204.07	273.37	84.04	265.87	473.41	169.07	143.01	301.33	100.83	120.1	163.28	312.0	287.01	316.37	100.83	384.34	366.09	307.69	373.81	162.14	73.03	40.07	22.26	33.54	33.54	57.49	66.65	57.49	53.95	93.35	70.51	140.04	128.79	146.03	50.63	100.13	117.6	111.99	149.12	42.11	115.97	30.56	114.36	77.25	117.6	92.7	153.34	68.55	106.63	45.85	42.71	83.45	80.01
LSM4	4937.99	6699.25	3303.0	8901.53	3235.01	5479.15	4671.57	2609.3	8840.04	5711.87	4419.52	3589.58	2537.92	2796.65	4512.4	2664.15	4481.23	2520.38	2451.44	3103.19	2271.4	2047.0	4607.24	6516.03	2502.97	3982.99	2018.8	6079.61	2209.26	3874.05	5633.22	6561.36	1199.98	1447.15	1008.9	915.51	995.0	1119.56	1304.15	1183.45	1674.06	1963.57	1059.11	2816.11	1059.11	1819.35	1259.69	1519.15	1733.13	2417.67	1167.14	665.29	1697.45	1378.57	941.27	1896.65	1794.29	1977.24	4639.29	902.89	1651.0	3395.89	1175.27	1096.5	1721.16
MGP	145432.49	48307.85	469249.9	275175.93	485798.0	86474.27	998912.34	1139523.1	593956.43	329517.51	431797.89	368165.8	736332.6	623486.02	577714.63	716197.51	462789.59	546551.29	489177.0	569761.05	1196176.45	414208.18	539026.74	443937.41	623486.02	256748.15	434801.29	402881.61	706337.4	363097.14	687022.54	305326.92	343510.77	225066.78	31215.04	38966.94	110983.6	229795.93	453265.5	275175.93	462789.59	800198.39	397335.0	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	378516.38	496005.67	107948.72	400098.69	334117.42	341137.96	565825.41	869603.57	331809.5	1100706.72	845824.19	496005.67	1308968.45	358098.26	311742.51	614902.29
MRGBP	420.68	587.13	500.46	1096.5	397.93	785.88	208.38	318.57	543.96	612.11	974.5	441.64	244.57	293.07	323.03	412.0	450.94	312.0	303.44	329.84	361.04	255.0	373.81	629.35	264.03	651.58	318.57	796.86	265.87	414.87	267.73	426.57	255.0	232.94	151.22	119.26	223.41	253.23	177.53	186.4	264.03	260.38	185.11	307.69	384.34	229.72	295.11	343.89	234.57	291.04	279.14	242.88	234.57	199.85	185.11	281.09	163.28	198.47	356.05	177.53	297.17	336.79	218.79	223.41	307.69
MRPL12	2224.63	5441.3	1397.83	4095.0	1135.2	4869.99	1437.15	1857.6	6381.92	3665.02	2209.26	1594.73	928.3	1388.16	1477.58	808.0	1923.14	1331.57	1407.55	2502.97	2004.85	579.04	3103.19	2417.67	1437.15	1769.57	878.17	2835.7	1175.27	1529.73	1991.0	1651.0	547.75	713.11	353.59	463.65	387.02	603.67	595.34	432.53	878.17	848.22	279.14	1467.37	633.73	679.29	624.99	466.88	575.03	769.69	511.0	229.72	616.37	514.56	684.02	660.68	1950.0	698.41	2319.15	441.64	395.18	1651.0	813.63	460.44	723.08
