	TCGA.FD.A3SR.01A.11R.A22U.07	TCGA.A2.A3XX.01A.21R.A239.07	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.BH.A0B3.01A.11R.A056.07	TCGA.ZJ.AB0H.01A.11R.A42T.07	TCGA.W5.AA2Q.01A.11R.A41I.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6936.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.7696.01A.11R.2125.07
DUSP12	1111.82	802.41	981.29	718.08	830.75	1313.23	514.56	514.56	426.57	403.5	327.56	381.68	651.58	693.58	323.03	457.25	954.43	543.96	293.07	665.29	144.01	0.68	1044.52
EFNA1	20170.07	5711.87	7803.01	5366.37	3955.48	17078.76	4095.0	4972.34	1295.13	1397.83	2271.4	2400.97	1977.24	2351.53	819.3	1167.14	6426.31	1909.85	733.19	9808.75	1111.82	0.79	8901.53
FAM229B	199.85	447.82	420.68	417.77	72.01	450.94	136.19	125.24	23.76	45.53	32.59	116.78	125.24	169.07	49.21	57.08	39.79	40.07	116.78	191.67	109.66	0.28	232.94
FLAD1	2400.97	2875.3	3820.7	2287.2	1950.0	2367.9	1857.6	1950.0	1111.82	909.17	1104.13	1304.15	1457.23	1277.29	733.19	1111.82	1628.26	884.29	698.41	2468.49	595.34	0.82	1963.57
GPR89A	947.83	669.92	1322.37	1073.91	450.94	1151.06	346.29	244.57	289.02	220.32	237.86	281.09	381.68	480.04	183.82	264.03	339.14	267.73	209.84	591.22	145.02	0.45	872.1
GPR89B	796.86	514.56	1088.92	743.43	223.41	759.08	229.72	197.09	137.14	96.68	138.1	194.36	177.53	301.33	151.22	155.5	193.01	204.07	152.28	567.1	97.36	0.43	791.35
HAX1	4181.07	3349.13	5672.41	6294.04	3168.41	5594.3	2796.65	2855.44	2303.12	1417.35	1963.57	2240.11	1819.35	2664.15	1733.13	2287.2	2720.15	1583.71	1844.76	4512.4	1487.87	1457.23	5791.62
HDGF	10225.32	12943.04	9279.58	20881.4	18178.19	13492.72	11345.82	8778.97	6516.03	6164.49	6079.61	5479.15	5441.3	9876.98	5006.93	7857.29	10296.45	7642.41	4704.07	14262.1	5594.3	5219.6	10014.87
ISG20L2	1508.65	1397.83	1685.71	1757.34	1059.11	1769.57	559.28	454.09	884.29	791.35	555.41	587.13	607.87	603.67	460.44	728.11	909.17	698.41	540.19	1883.54	476.71	583.07	1529.73
JTB	10014.87	6516.03	6294.04	9606.86	6887.62	9279.58	3395.89	3190.46	2163.77	2240.11	2468.49	2119.22	2148.82	2502.97	2047.0	3515.68	3018.3	2645.74	2520.38	7749.1	1259.69	1.17	7433.4
KRTCAP2	22535.88	12076.21	15285.81	20881.4	10296.45	18950.18	9279.58	9673.69	4639.29	3928.15	5183.54	3690.52	6121.9	6887.62	3372.43	3639.7	6745.86	4123.49	3564.78	11267.44	2018.8	162.14	11035.54
LAMTOR2	8840.04	4268.94	10440.2	6121.9	3982.99	6516.03	2816.11	3443.31	1977.24	1936.53	2303.12	1551.09	2047.0	2240.11	1709.26	1651.0	2434.5	1457.23	1745.2	4972.34	1259.69	0.53	3874.05
LYSMD1	351.14	339.14	579.04	366.09	267.73	432.53	223.41	190.34	111.21	135.24	150.17	145.02	151.22	171.45	114.36	126.12	234.57	98.04	128.79	476.71	60.82	0.15	314.17
METTL13	1427.22	1806.78	1794.29	988.12	1051.79	1561.89	493.56	392.44	432.53	334.46	275.28	409.15	500.46	536.45	318.57	483.38	563.18	343.89	301.33	1111.82	368.65	0.0	1059.11
METTL18	559.28	381.68	656.11	244.57	297.17	698.41	138.1	87.03	87.03	97.36	81.14	99.43	198.47	134.3	126.12	144.01	90.77	99.43	99.43	208.38	67.59	0.0	518.15
MGST3	5594.3	11345.82	19754.96	5594.3	4268.94	7966.99	3874.05	3103.19	2335.28	1923.14	2004.85	1583.71	2178.83	2417.67	2133.97	3103.19	3901.01	2255.7	2855.44	5403.7	753.83	1.01	6887.62
MSTO1	1508.65	2224.63	2255.7	1369.04	1250.98	3018.3	1044.52	1037.29	785.88	954.43	476.71	642.59	1477.58	934.76	470.14	656.11	1023.0	909.17	525.39	1313.23	271.48	718.08	2502.97
NCSTN	7966.99	3742.05	10883.59	4836.35	2351.53	5594.3	2627.46	2224.63	1709.26	1477.58	1721.16	1709.26	1540.37	2855.44	1651.0	1674.06	2178.83	1191.69	1340.84	4450.27	1322.37	0.89	3491.39
NDUFS2	3235.01	4239.45	5751.61	5292.48	3794.3	5183.54	2224.63	2224.63	1857.6	1832.01	1806.78	1745.2	1950.0	2367.9	1674.06	2133.97	3395.89	2119.22	1883.54	5006.93	836.53	1135.2	4607.24
PEX11B	1806.78	1745.2	1806.78	1119.56	1001.93	1832.01	684.02	435.55	769.69	547.75	547.75	536.45	595.34	1088.92	780.44	624.99	748.61	669.92	616.37	1233.75	351.14	0.32	1508.65
PEX19	2193.99	1757.34	2319.15	1508.65	915.51	2075.59	902.89	583.07	521.76	409.15	521.76	518.15	454.09	836.53	808.0	728.11	995.0	688.78	860.08	1745.2	518.15	0.74	1378.57
PI4KB	2573.36	2004.85	2240.11	2384.37	2032.85	3235.01	1143.1	1037.29	947.83	1001.93	1167.14	743.43	1001.93	1340.84	1242.34	1151.06	1313.23	1001.93	1322.37	2255.7	583.07	1.03	2664.15
PIGM	316.37	336.79	612.11	236.21	115.97	480.04	82.87	62.56	55.49	61.25	47.5	65.72	87.03	84.63	63.45	79.45	98.73	68.55	56.68	199.85	55.49	81.14	260.38
PRCC	3955.48	2956.17	4095.0	3060.45	2417.67	4038.61	1832.01	1977.24	1457.23	1617.0	1322.37	1819.35	1540.37	1950.0	1322.37	1572.76	2335.28	1268.46	1015.93	3564.78	934.76	0.92	2915.45
PRUNE	1081.39	981.29	2335.28	1369.04	698.41	1447.15	454.09	346.29	341.51	406.31	389.72	379.04	297.17	409.15	384.34	379.04	486.75	297.17	351.14	1023.0	190.34	0.42	1001.93
PSMB4	13033.07	20451.65	26067.14	18304.63	15607.02	14867.79	12943.04	13586.57	8191.0	7130.55	7695.57	6294.04	6792.79	14971.21	4836.35	8658.09	12502.12	5954.47	4704.07	17558.94	4972.34	1.45	15180.22
PSMD4	8963.45	9540.5	10585.95	8718.32	6652.97	9808.75	6745.86	7331.05	4419.52	3955.48	4268.94	4607.24	5711.87	7032.37	3820.7	5112.16	6294.04	3372.43	3467.27	8963.45	3018.3	1.08	7280.4
PYGO2	2555.58	1268.46	1857.6	1457.23	1175.27	2997.45	1001.93	759.08	536.45	698.41	656.11	466.88	525.39	981.29	638.15	638.15	915.51	595.34	583.07	1388.16	376.41	0.67	1286.18
RAB13	5219.6	6294.04	4123.49	6792.79	4095.0	4937.99	3212.66	3639.7	2537.92	2119.22	3103.19	2875.3	3794.3	4152.18	2351.53	3146.52	3349.13	2319.15	2384.37	4123.49	1508.65	0.72	3716.2
RBM8A	6745.86	7749.1	6983.79	9025.81	6079.61	5479.15	6983.79	3768.09	3982.99	3372.43	2451.44	4802.93	4836.35	7485.11	4328.55	4937.99	5329.3	4038.61	6337.83	7589.61	2319.15	438.59	6381.92
RRNAD1	2319.15	1605.83	2451.44	808.0	988.12	1963.57	1225.22	1135.2	381.68	476.71	624.99	624.99	836.53	1127.35	497.0	525.39	854.13	543.96	713.11	1259.69	212.78	0.67	2090.03
S100A11	122293.5	111755.56	107203.06	233003.78	169390.27	25708.25	951601.81	1187913.85	334117.42	925580.18	443937.41	355624.68	610654.84	731246.37	636586.81	711250.37	397335.0	800198.39	1100706.72	131071.0	68318.04	1.23	118949.35
SCAMP3	4298.64	3955.48	5403.7	4419.52	3103.19	7589.61	3039.3	2758.13	1769.57	1369.04	1991.0	1417.35	1369.04	3303.0	1617.0	1628.26	2739.08	1313.23	1447.15	4575.41	928.3	660.68	3982.99
SETDB1	1277.29	1015.93	1685.71	1208.34	848.22	1806.78	738.29	669.92	473.41	493.56	525.39	595.34	836.53	743.43	571.05	547.75	954.43	567.1	555.41	1037.29	218.79	0.91	1594.73
SF3B4	4388.98	2664.15	4239.45	4639.29	2148.82	4123.49	3018.3	2855.44	2032.85	1844.76	1447.15	2319.15	2417.67	3212.66	1594.73	2061.24	2758.13	1721.16	1388.16	3742.05	1733.13	0.64	3589.58
SLC25A44	693.58	563.18	947.83	921.88	620.67	1135.2	395.18	334.46	287.01	273.37	228.13	318.57	336.79	351.14	273.37	379.04	723.08	409.15	291.04	866.07	297.17	212.78	1051.79
SLC39A1	6471.02	4481.23	3639.7	8078.22	3190.46	7032.37	2400.97	2119.22	1617.0	1159.07	1119.56	836.53	1081.39	2796.65	1023.0	1936.53	1594.73	1331.57	967.76	4358.66	1322.37	0.68	3060.45
SMG5	3540.14	1896.65	2178.83	2627.46	1662.49	2319.15	1794.29	1605.83	1088.92	1304.15	1697.45	1037.29	1685.71	2502.97	1350.18	1437.15	1437.15	1104.13	1242.34	1844.76	759.08	112.77	1950.0
SNAP47	647.07	1594.73	2119.22	1008.9	819.3	1407.55	497.0	733.19	351.14	348.71	267.73	334.46	669.92	620.67	273.37	373.81	884.29	406.31	339.14	1340.84	371.22	0.43	1081.39
TARS2	1369.04	1151.06	1119.56	775.05	764.36	934.76	503.95	389.72	285.03	366.09	283.05	368.65	414.87	403.5	521.76	447.82	599.49	397.93	438.59	1340.84	297.17	0.17	1467.37
TXNDC11	836.53	961.07	890.44	1498.22	1259.69	1447.15	647.07	595.34	567.1	493.56	476.71	547.75	567.1	785.88	466.88	651.58	447.82	616.37	543.96	941.27	743.43	0.78	947.83
UBAP2L	4769.75	4095.0	5672.41	5329.3	3982.99	5076.84	2875.3	3103.19	2468.49	2664.15	2255.7	2816.11	3235.01	3901.01	2645.74	2417.67	3349.13	2271.4	2240.11	4358.66	1096.5	2417.67	5441.3
UBE2Q1	3847.29	3639.7	4639.29	4210.15	2417.67	4181.07	2485.67	2090.03	1051.79	1242.34	1001.93	1477.58	1674.06	2520.38	1111.82	974.5	2047.0	1081.39	1051.79	3168.41	808.0	0.71	4181.07
UBQLN4	1757.34	1991.0	3820.7	2367.9	1191.69	2895.31	967.76	723.08	748.61	1044.52	995.0	743.43	679.29	961.07	780.44	723.08	1477.58	713.11	860.08	1709.26	529.06	0.77	1208.34
UFC1	8191.0	8538.88	11584.24	7433.4	3168.41	13492.72	2956.17	2835.7	2163.77	1639.59	2816.11	2303.12	2645.74	2485.67	2303.12	2520.38	2720.15	2148.82	2591.27	4239.45	884.29	0.88	4972.34
YY1AP1	2895.31	1923.14	3257.52	3716.2	2682.69	5672.41	1685.71	1467.37	1583.71	1407.55	1191.69	1397.83	1551.09	1794.29	2240.11	1651.0	2367.9	1674.06	2555.58	2434.5	679.29	0.53	3372.43
ZNF672	1001.93	967.76	836.53	708.18	902.89	928.3	599.49	412.0	368.65	409.15	316.37	409.15	571.05	392.44	470.14	543.96	536.45	400.71	480.04	1277.29	271.48	0.65	860.08
ZNF687	1304.15	567.1	543.96	780.44	785.88	1104.13	429.54	376.41	267.73	246.28	275.28	239.52	327.56	314.17	363.56	336.79	483.38	267.73	336.79	878.17	239.52	0.57	1277.29
