	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.E7.A3X6.01A.12R.A22U.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.2F.A9KO.01A.11R.A38B.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.78.7163.01A.12R.2066.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.60.2721.01A.01R.0851.07
CPED1	28.65	22.59	5.5	55.49	4.62	7.69	6.52	395.18	813.63	915.51	1313.23	738.29	540.19	297.17	599.49	954.43	105.89
CTD-3214H19.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	532.74	98.04	57.08	118.43	312.0	563.18	134.3	236.21	379.04	0.0
CYGB	193.01	165.57	161.02	161.02	60.39	119.26	42.71	1417.35	1001.93	679.29	1594.73	1322.37	1639.59	759.08	738.29	728.11	299.25
DACT3	23.93	16.27	8.0	71.5	13.72	12.27	8.92	287.01	575.03	406.31	305.55	348.71	343.89	74.06	283.05	267.73	35.76
DENND3	223.41	199.85	85.22	80.01	171.45	941.27	114.36	753.83	6516.03	1508.65	2400.97	2303.12	1832.01	3614.55	1857.6	3146.52	327.56
DNAJB5	214.27	78.34	16.51	130.6	76.17	67.12	111.21	381.68	267.73	318.57	796.86	395.18	476.71	226.54	312.0	679.29	123.5
EDIL3	42.11	73.03	31.9	43.94	28.45	73.03	21.78	500.46	890.44	684.02	2758.13	525.39	928.3	182.55	703.28	1378.57	251.48
EDNRA	42.71	34.02	16.15	57.89	21.78	48.18	281.09	708.18	529.06	928.3	1208.34	718.08	1096.5	63.0	791.35	698.41	95.34
EHD1	480.04	567.1	320.8	607.87	647.07	392.44	878.17	941.27	3564.78	3639.7	3060.45	2119.22	915.51	1628.26	2537.92	1277.29	674.59
ENTPD1	392.44	169.07	127.0	403.5	87.65	61.25	293.07	591.22	555.41	215.77	1508.65	825.0	896.64	511.0	267.73	1127.35	579.04
FABP3	239.52	289.02	111.21	551.56	38.4	103.69	26.67	5112.16	1378.57	118.43	4802.93	1191.69	1639.59	2816.11	6887.62	305.55	201.25
FAM101B	105.15	55.49	38.67	49.21	44.25	32.36	19.11	256.78	258.57	825.0	575.03	334.46	551.56	273.37	283.05	387.02	81.14
FEZ1	124.37	110.43	89.51	127.0	62.56	46.84	24.46	429.54	780.44	3419.52	1268.46	802.41	1081.39	217.27	947.83	780.44	316.37
FILIP1L	183.82	148.09	61.68	406.31	64.8	97.36	36.27	728.11	981.29	791.35	1806.78	1175.27	921.88	483.38	981.29	1594.73	273.37
FOXF1	199.85	35.76	33.78	164.42	18.7	65.26	7.69	764.36	1008.9	693.58	693.58	591.22	1304.15	1175.27	1127.35	346.29	42.11
FXYD5	3212.66	5255.91	2163.77	1529.73	363.56	2351.53	2351.53	10084.54	4512.4	10225.32	26800.01	11267.44	8598.28	20737.16	11992.79	8479.89	2573.36
FXYD6	155.5	60.39	23.76	414.87	102.25	215.77	20.26	2935.74	3955.48	5076.84	5954.47	5255.91	4388.98	2319.15	2591.27	3928.15	529.06
GIPC3	26.28	19.11	24.28	13.72	10.24	9.41	6.16	63.0	75.11	56.28	80.57	107.38	92.7	54.72	71.5	51.71	25.17
GLI1	10.16	15.34	1.25	31.45	3.2	5.15	1.43	92.05	16.15	42.11	23.25	108.9	96.68	10.47	15.0	36.01	31.22
GLI2	7.51	3.41	0.33	24.99	7.06	7.57	2.2	52.08	66.18	8.99	28.45	78.89	53.95	40.64	102.97	30.56	35.76
GLIPR1	293.07	271.48	21.01	356.05	39.22	71.0	44.25	595.34	511.0	669.92	1561.89	941.27	1088.92	1378.57	412.0	1417.35	447.82
GNAI2	5183.54	5255.91	4181.07	3060.45	2627.46	2224.63	3540.14	11189.6	16269.83	27938.14	17317.18	10512.82	17317.18	8598.28	18178.19	23009.42	4123.49
GPR124	100.13	94.67	40.93	191.67	37.05	23.42	8.06	423.61	379.04	291.04	802.41	915.51	579.04	273.37	314.17	698.41	193.01
HEY2	7.22	21.01	32.13	18.97	5.68	5.41	6.84	56.28	163.28	177.53	34.51	85.82	33.06	13.93	57.89	33.06	19.97
HLA-DRA	122293.5	19348.38	6652.97	25887.07	1733.13	18178.19	25005.23	569761.05	341137.96	341137.96	466008.55	668235.84	417089.23	1085552.95	273275.14	645473.24	20310.37
HLA-DRB1	53601.03	4972.34	2591.27	12329.98	420.68	3982.99	9409.14	159145.95	90146.51	207103.59	54727.32	195931.88	164758.26	472513.8	223512.12	249727.34	9673.69
HSPB2	26.1	30.34	15.8	38.4	11.91	33.54	8.78	150.17	507.46	371.22	450.94	444.72	397.93	258.57	236.21	361.04	69.52
IL2RG	1709.26	688.78	118.43	1088.92	134.3	173.85	255.0	1617.0	5006.93	7911.95	3212.66	1819.35	5183.54	2061.24	3639.7	4038.61	1259.69
IQSEC1	158.79	363.56	181.28	186.4	201.25	124.37	194.36	1104.13	1151.06	679.29	1519.15	1709.26	2485.67	1066.48	974.5	1268.46	246.28
IRF8	181.28	63.89	2.81	183.82	29.06	35.5	26.47	1233.75	1519.15	1498.22	934.76	4095.0	3018.3	5366.37	860.08	2163.77	195.72
KIAA0355	53.57	112.77	92.7	162.14	60.82	66.65	56.68	336.79	536.45	366.09	753.83	450.94	384.34	279.14	309.83	1051.79	136.19
KIF17	26.28	11.64	5.5	15.0	3.82	25.72	7.34	142.01	88.26	289.02	94.67	88.26	127.89	124.37	137.14	74.58	30.12
KIRREL	88.26	58.71	29.06	85.22	40.93	24.99	26.67	423.61	262.2	314.17	500.46	384.34	423.61	88.26	229.72	395.18	163.28
KLF13	638.15	583.07	718.08	334.46	80.01	665.29	384.34	1407.55	1781.89	1242.34	1572.76	2224.63	1388.16	3124.78	1769.57	1977.24	1745.2
LAMA4	214.27	379.04	104.42	438.59	94.01	57.08	74.58	1397.83	3690.52	21026.65	1991.0	1216.75	1286.18	420.68	1857.6	1519.15	371.22
LHFP	205.5	153.34	120.94	271.48	100.13	189.02	40.64	1923.14	1721.16	2255.7	2935.74	2555.58	2573.36	1143.1	2255.7	2555.58	376.41
LIX1L	339.14	199.85	32.13	134.3	256.78	34.02	83.45	301.33	473.41	205.5	493.56	483.38	514.56	289.02	381.68	688.78	205.5
LRRC32	351.14	241.19	69.03	253.23	78.89	218.79	67.12	1617.0	6426.31	16843.62	5954.47	1159.07	4543.8	713.11	5403.7	2935.74	295.11
LRRFIP1	638.15	1397.83	1487.87	1331.57	995.0	785.88	1233.75	3716.2	5711.87	2935.74	7537.18	7382.04	8078.22	2400.97	5147.73	7749.1	915.51
LRRN4CL	9.85	14.67	6.11	21.01	1.89	1.87	2.84	144.01	87.65	33.06	137.14	102.97	92.7	17.51	116.78	113.56	34.26
LTBP4	642.59	723.08	289.02	708.18	928.3	629.35	307.69	12329.98	14262.1	10440.2	14163.58	13399.51	7642.41	6607.01	12853.63	9945.68	3018.3
MEF2A	201.25	218.79	267.73	273.37	312.0	189.02	295.11	718.08	954.43	684.02	1304.15	928.3	1340.84	624.99	674.59	1175.27	392.44
MICAL2	175.07	176.29	185.11	384.34	123.5	262.2	473.41	1208.34	1417.35	723.08	2271.4	2061.24	271.48	1111.82	2434.5	2739.08	323.03
MSRB3	76.71	59.97	23.76	186.4	19.53	38.12	14.14	497.0	703.28	599.49	2061.24	947.83	791.35	150.17	511.0	1674.06	119.26
NAALADL1	81.71	41.22	20.41	126.12	28.45	64.34	18.97	166.73	314.17	642.59	323.03	232.94	429.54	115.97	260.38	183.82	197.09
NPR2	63.45	38.67	130.6	96.68	46.18	70.01	51.35	563.18	748.61	281.09	305.55	366.09	312.0	122.64	148.09	198.47	109.66
NXPH3	13.42	18.43	1.57	41.22	2.48	7.88	5.32	265.87	164.42	52.82	134.3	412.0	132.44	297.17	93.35	108.14	13.22
OLFML1	55.1	25.91	11.55	41.52	14.89	17.9	5.92	540.19	514.56	397.93	1151.06	848.22	954.43	251.48	551.56	780.44	167.9
OLFML3	493.56	220.32	24.11	457.25	44.89	161.02	167.9	1617.0	1127.35	1508.65	2720.15	2591.27	2627.46	1073.91	1508.65	2104.58	808.0
PALLD	909.17	1639.59	177.53	1685.71	351.14	457.25	392.44	2193.99	3325.99	1709.26	6381.92	3742.05	3212.66	1745.2	2148.82	4450.27	1508.65
PALM2-AKAP2	0.0	4.31	1.23	0.0	3.72	0.0	3.38	69.03	120.1	34.75	246.28	88.26	59.13	44.57	111.21	189.02	12.83
PDLIM3	251.48	172.65	22.92	693.58	105.15	69.52	454.09	2627.46	4481.23	2178.83	4836.35	4038.61	2133.97	575.03	3564.78	4512.4	205.5
PDZRN3	43.63	36.53	6.21	156.59	11.64	21.16	12.93	435.55	197.09	157.68	293.07	307.69	575.03	105.89	128.79	201.25	212.78
PIK3R5	118.43	34.26	3.11	56.68	19.82	19.39	21.01	358.54	1832.01	460.44	1037.29	361.04	1745.2	1583.71	426.57	743.43	182.55
PLAGL1	88.88	145.02	10.55	215.77	15.91	145.02	7.06	693.58	575.03	220.32	392.44	1572.76	1167.14	426.57	543.96	511.0	195.72
PLEKHA2	974.5	336.79	358.54	334.46	25.54	96.01	164.42	525.39	511.0	166.73	921.88	941.27	674.59	785.88	511.0	1037.29	279.14
PLXDC2	890.44	267.73	62.12	141.02	38.12	41.22	39.22	802.41	988.12	669.92	1769.57	1059.11	1733.13	718.08	860.08	2090.03	265.87
PRKG1	11.73	11.3	5.77	25.72	7.17	12.93	4.17	217.27	199.85	157.68	269.6	166.73	248.0	98.04	144.01	236.21	55.89
PURG	1.97	0.32	0.61	0.35	0.95	0.0	0.35	5.02	12.27	7.28	8.71	7.88	2.2	1.48	0.97	4.39	1.45
PXDN	170.25	105.89	39.5	180.02	94.67	38.95	511.0	226.54	796.86	2468.49	802.41	299.25	540.19	164.42	866.07	1135.2	769.69
RAPGEF1	454.09	251.48	144.01	490.14	473.41	204.07	267.73	2367.9	1844.76	1208.34	2520.38	2209.26	3419.52	2777.33	1437.15	2701.35	480.04
RARRES2	1844.76	660.68	217.27	1745.2	579.04	3018.3	279.14	11827.67	29327.18	26800.01	26986.43	13492.72	23492.92	7857.29	14262.1	11909.94	5183.54
RHOG	1594.73	1250.98	934.76	1225.22	624.99	1199.98	1844.76	2209.26	3303.0	7803.01	5751.61	2335.28	3039.3	1639.59	3820.7	3060.45	1388.16
RRAS	909.17	1757.34	642.59	665.29	928.3	2816.11	967.76	3372.43	7032.37	6250.56	4937.99	4268.94	3665.02	2193.99	7433.4	4298.64	1111.82
SEC14L1	361.04	361.04	341.51	540.19	595.34	157.68	1015.93	995.0	1977.24	2319.15	3874.05	1340.84	2720.15	5791.62	1340.84	5594.3	1044.52
SELM	2855.44	1119.56	114.36	1977.24	2935.74	620.67	1963.57	4972.34	7433.4	6337.83	6207.38	2956.17	2935.74	2701.35	3467.27	2609.3	2739.08
SERPINB9	154.42	77.79	12.27	154.42	31.9	37.05	31.45	379.04	2224.63	2287.2	1295.13	441.64	981.29	429.54	738.29	624.99	253.23
SPTAN1	669.92	275.28	208.38	836.53	1037.29	529.06	591.22	1733.13	4388.98	3039.3	2855.44	4704.07	2997.45	1909.85	2537.92	4010.71	921.88
SRPX	29.48	34.75	18.84	156.59	17.38	58.71	49.56	457.25	256.78	75.11	417.77	457.25	185.11	476.71	314.17	974.5	108.9
ST3GAL2	119.26	80.57	57.89	100.13	83.45	22.75	144.01	414.87	318.57	435.55	353.59	438.59	473.41	152.28	466.88	547.75	120.94
SYT11	65.72	42.71	10.08	84.04	31.0	12.36	36.27	100.83	114.36	158.79	387.02	132.44	291.04	78.34	149.12	215.77	97.36
TCEAL7	18.97	20.71	2.48	58.3	6.94	23.76	3.47	127.89	122.64	73.03	194.36	395.18	228.13	57.49	117.6	289.02	42.11
TFEB	540.19	297.17	115.16	191.67	43.94	323.03	450.94	836.53	642.59	1594.73	563.18	547.75	521.76	612.11	780.44	426.57	329.84
TIMP2	1407.55	836.53	234.57	1662.49	232.94	381.68	559.28	6887.62	8901.53	3982.99	23656.34	11584.24	8022.41	9409.14	11504.21	16157.44	3039.3
TMEFF2	0.0	1.53	0.0	2.01	0.0	0.36	0.28	2.86	1.39	14.78	9.13	13.83	2.07	0.0	2.03	1.1	5.92
TMEM204	178.77	175.07	176.29	100.13	78.89	187.71	50.98	351.14	435.55	1167.14	1369.04	384.34	325.29	2119.22	780.44	1909.85	273.37
TNFRSF1B	934.76	267.73	49.21	470.14	237.86	253.23	162.14	825.0	2434.5	2777.33	4210.15	813.63	1709.26	1639.59	3955.48	2224.63	599.49
TPM4	4869.99	12853.63	3372.43	3955.48	4328.55	1529.73	4802.93	13306.94	12160.22	16496.96	29327.18	12502.12	14867.79	8247.98	11424.74	30572.63	6792.79
TRPC4	5.54	6.41	2.43	7.69	4.1	1.17	0.61	44.89	36.79	76.17	85.22	45.53	63.45	19.82	24.99	67.12	6.67
TSPAN2	40.07	51.35	19.53	170.25	12.27	8.51	3.82	108.14	198.47	113.56	246.28	133.36	65.26	45.53	85.22	400.71	29.7
TUBA1A	1551.09	1001.93	450.94	1340.84	438.59	1685.71	656.11	9025.81	4268.94	8363.13	8134.41	11112.3	7280.4	1350.18	6294.04	10154.69	1857.6
VASH1	131.51	112.77	77.25	81.71	35.5	16.03	13.83	551.56	536.45	228.13	258.57	1233.75	1119.56	373.81	211.31	497.0	116.78
VCL	633.73	698.41	599.49	842.36	480.04	414.87	547.75	1104.13	1697.45	1950.0	2720.15	1870.53	1896.65	1605.83	1096.5	3540.14	1096.5
VGLL3	5.06	29.27	74.58	41.52	8.99	10.0	3.59	258.57	262.2	470.14	684.02	201.25	483.38	395.18	204.07	497.0	77.79
VGLL4	307.69	995.0	587.13	1008.9	909.17	490.14	518.15	1096.5	1709.26	1199.98	1233.75	1001.93	1233.75	518.15	1175.27	866.07	860.08
VMO1	134.3	45.53	12.83	72.52	13.32	156.59	27.64	1628.26	1950.0	3212.66	890.44	1304.15	1628.26	1304.15	1037.29	2104.58	52.82
WBP1L	323.03	289.02	343.89	336.79	323.03	486.75	444.72	1030.12	928.3	738.29	1870.53	733.19	1605.83	934.76	1199.98	1268.46	764.36
WDR1	3103.19	3235.01	2701.35	3614.55	6250.56	2485.67	3235.01	4450.27	3564.78	4671.57	9151.82	6561.36	4903.87	3257.52	5711.87	9151.82	2796.65
WFDC1	119.26	279.14	190.34	181.28	13.03	44.25	22.26	1066.48	616.37	988.12	4358.66	791.35	2004.85	121.79	595.34	796.86	61.68
ZCCHC24	62.56	39.79	24.11	115.97	57.89	70.51	81.71	684.02	387.02	193.01	967.76	723.08	974.5	293.07	536.45	511.0	146.03
ZEB1	59.97	45.53	21.63	141.02	20.56	26.28	9.2	351.14	753.83	1023.0	607.87	336.79	599.49	376.41	684.02	842.36	127.89
ZEB2	117.6	96.68	34.51	223.41	55.1	61.68	26.47	1322.37	1977.24	1963.57	2319.15	1447.15	2537.92	961.07	1350.18	2240.11	264.03
ZNF521	17.0	23.25	6.11	36.27	12.27	6.26	5.73	224.97	75.64	48.52	96.01	665.29	201.25	42.41	104.42	149.12	109.66
