	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.W5.AA2W.01A.11R.A41I.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.05.4244.01A.01R.1107.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5935.01A.11R.1755.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
DPM2	1208.34	2664.15	1259.69	1313.23	0.0	1208.34	0.51	2434.5	1081.39	1030.12	988.12	1111.82	1081.39	414.87	476.71	525.39	473.41	872.1	500.46	454.09	395.18	743.43	743.43	599.49
DUSP12	688.78	587.13	351.14	753.83	0.0	748.61	0.68	854.13	423.61	287.01	264.03	540.19	392.44	220.32	244.57	325.29	316.37	244.57	180.02	376.41	403.5	201.25	316.37	285.03
EFNA4	583.07	358.54	206.94	836.53	0.0	780.44	0.55	995.0	175.07	199.85	260.38	197.09	170.25	80.57	127.89	348.71	62.12	121.79	102.97	78.89	124.37	137.14	166.73	100.13
ERAL1	603.67	836.53	1001.93	1119.56	0.0	1199.98	0.34	1104.13	836.53	543.96	490.14	1127.35	836.53	392.44	181.28	228.13	332.14	521.76	312.0	316.37	147.06	371.22	373.81	262.2
FAM90A1	7.63	63.89	43.02	16.27	0.0	52.08	0.27	22.26	23.93	1.45	1.79	6.21	18.97	10.63	5.87	0.0	6.73	20.71	10.39	3.03	1.35	8.58	2.84	4.74
FDPS	4450.27	6745.86	3395.89	8840.04	0.0	4869.99	0.61	4903.87	7857.29	4181.07	3467.27	4298.64	3614.55	3874.05	6121.9	5112.16	2720.15	3768.09	3639.7	2720.15	2303.12	4181.07	3103.19	3146.52
FLAD1	1208.34	1225.22	1008.9	1733.13	0.0	1313.23	0.82	1313.23	674.59	629.35	536.45	928.3	738.29	320.8	255.0	291.04	267.73	476.71	463.65	163.28	323.03	341.51	320.8	269.6
GBA	1651.0	2255.7	2434.5	2434.5	0.0	2701.35	0.3	2047.0	1313.23	1225.22	1199.98	1857.6	1340.84	860.08	638.15	703.28	1159.07	1369.04	1111.82	791.35	575.03	1191.69	802.41	1081.39
GEMIN8	642.59	1143.1	647.07	309.83	0.0	808.0	0.42	555.41	738.29	392.44	376.41	414.87	503.95	239.52	336.79	129.69	180.02	713.11	414.87	220.32	95.34	460.44	371.22	334.46
GPATCH4	669.92	1617.0	450.94	769.69	0.0	1015.93	0.0	988.12	318.57	297.17	470.14	441.64	397.93	262.2	201.25	176.29	297.17	264.03	206.94	239.52	295.11	217.27	353.59	234.57
HDHD1	420.68	728.11	412.0	444.72	0.0	480.04	0.1	866.07	647.07	283.05	316.37	363.56	283.05	60.39	246.28	53.57	85.22	176.29	105.15	180.02	83.45	100.83	463.65	181.28
INTS3	1127.35	1991.0	1844.76	1662.49	532.74	1769.57	1073.91	1697.45	1159.07	543.96	497.0	1183.45	1286.18	529.06	1397.83	381.68	373.81	860.08	693.58	830.75	373.81	759.08	555.41	571.05
JMJD4	454.09	384.34	414.87	624.99	0.0	656.11	0.0	688.78	258.57	228.13	220.32	318.57	339.14	164.42	72.52	113.56	156.59	204.07	105.89	120.1	74.58	195.72	217.27	127.89
KIAA0907	1119.56	1397.83	1268.46	1350.18	0.0	1963.57	1.35	866.07	460.44	441.64	295.11	406.31	490.14	536.45	753.83	323.03	384.34	878.17	457.25	616.37	540.19	603.67	358.54	518.15
KLHL12	603.67	1242.34	599.49	884.29	0.0	728.11	0.0	703.28	463.65	229.72	265.87	483.38	500.46	209.84	115.16	100.83	197.09	346.29	224.97	175.07	121.79	293.07	237.86	199.85
KRCC1	674.59	713.11	819.3	1066.48	0.0	551.56	0.34	616.37	915.51	890.44	679.29	1081.39	1183.45	228.13	244.57	163.28	120.94	463.65	312.0	343.89	309.83	361.04	392.44	281.09
LAMTOR2	3901.01	5366.37	4450.27	3901.01	0.0	2875.3	0.53	5076.84	2956.17	3124.78	3395.89	4123.49	1950.0	1350.18	1233.75	1104.13	878.17	2061.24	2047.0	1388.16	759.08	1794.29	1551.09	1225.22
LYSMD1	205.5	343.89	145.02	239.52	0.0	283.05	0.15	307.69	127.0	77.79	57.49	123.5	154.42	23.25	44.25	31.45	40.07	82.29	52.45	18.97	22.75	60.82	44.57	44.57
METTL13	915.51	1001.93	429.54	775.05	0.0	624.99	0.0	988.12	466.88	291.04	293.07	555.41	511.0	169.07	190.34	187.71	151.22	320.8	156.59	155.5	242.88	325.29	208.38	153.34
MORN2	684.02	928.3	1199.98	1639.59	0.0	796.86	0.0	624.99	460.44	1896.65	511.0	1088.92	1397.83	429.54	947.83	295.11	341.51	536.45	397.93	450.94	212.78	231.32	295.11	287.01
MRM1	81.71	325.29	157.68	147.06	0.0	283.05	0.06	191.67	81.71	61.68	59.97	106.63	85.82	26.28	22.59	15.34	35.25	71.0	27.25	20.86	21.63	56.68	57.08	30.34
MRPL36	866.07	1023.0	1457.23	1605.83	0.0	1143.1	0.78	1572.76	647.07	1073.91	1519.15	961.07	802.41	363.56	303.44	503.95	275.28	346.29	273.37	473.41	693.58	426.57	571.05	318.57
MRPL9	1963.57	2287.2	1467.37	1991.0	0.0	2335.28	0.69	2997.45	1135.2	836.53	825.0	1242.34	1277.29	567.1	395.18	332.14	518.15	1001.93	642.59	476.71	242.88	884.29	679.29	536.45
MRPS5	796.86	1896.65	1088.92	1540.37	0.0	1594.73	0.75	1417.35	1051.79	718.08	1286.18	1199.98	947.83	480.04	1369.04	473.41	532.74	748.61	1001.93	638.15	633.73	665.29	748.61	620.67
MSTO1	1216.75	1467.37	1208.34	2032.85	1073.91	2739.08	718.08	1605.83	532.74	395.18	379.04	665.29	698.41	269.6	228.13	197.09	279.14	441.64	255.0	195.72	204.07	251.48	379.04	249.73
MTX1	1437.15	2163.77	2119.22	1950.0	0.0	2609.3	0.52	2701.35	909.17	1233.75	842.36	1199.98	1127.35	624.99	444.72	633.73	842.36	866.07	1066.48	466.88	314.17	825.0	728.11	599.49
MTX2	738.29	1268.46	974.5	1096.5	0.0	1030.12	0.0	1151.06	813.63	540.19	665.29	708.18	708.18	265.87	226.54	107.38	191.67	532.74	420.68	334.46	123.5	447.82	368.65	269.6
MYO15A	32.82	158.79	36.27	59.13	0.0	126.12	0.37	49.91	68.55	75.11	30.56	92.7	144.01	31.9	39.22	22.75	44.57	113.56	41.22	23.42	15.22	57.49	14.56	29.27
NCSTN	2502.97	3639.7	2895.31	2537.92	0.0	2384.37	0.89	3168.41	2367.9	2777.33	1870.53	2468.49	2537.92	2075.59	928.3	872.1	3372.43	3349.13	2645.74	1359.57	616.37	1832.01	1781.89	2119.22
NENF	3589.58	2682.69	2555.58	3039.3	0.0	4298.64	0.78	5292.48	1857.6	2303.12	3690.52	2627.46	2090.03	1572.76	1674.06	2777.33	1857.6	2701.35	1674.06	1709.26	967.76	2997.45	2104.58	1733.13
NFS1	463.65	688.78	928.3	981.29	0.0	1023.0	0.11	733.19	529.06	387.02	318.57	616.37	555.41	248.0	169.07	92.7	198.47	343.89	295.11	199.85	71.5	327.56	214.27	183.82
NSUN5	738.29	764.36	647.07	713.11	0.0	1350.18	0.49	825.0	567.1	336.79	387.02	842.36	660.68	152.28	198.47	132.44	193.01	389.72	262.2	120.1	104.42	279.14	242.88	153.34
NUDT17	183.82	406.31	187.71	220.32	0.0	426.57	0.33	100.13	190.34	107.38	39.79	209.84	167.9	18.56	120.94	26.1	41.81	59.55	96.01	43.94	40.93	110.43	45.21	44.57
NVL	928.3	656.11	679.29	848.22	0.0	1001.93	0.27	780.44	351.14	267.73	228.13	503.95	420.68	108.14	140.04	95.34	162.14	285.03	212.78	126.12	80.01	214.27	189.02	176.29
PI4KB	1745.2	1844.76	1617.0	1685.71	0.0	2047.0	1.03	2163.77	1617.0	1561.89	1259.69	1417.35	1819.35	1259.69	1151.06	1233.75	764.36	2816.11	890.44	718.08	607.87	1378.57	1304.15	693.58
PIGC	1135.2	1685.71	1044.52	1119.56	0.0	934.76	0.02	1572.76	679.29	525.39	356.05	748.61	753.83	275.28	162.14	129.69	368.65	473.41	305.55	285.03	139.07	480.04	395.18	221.86
PMF1	2178.83	2591.27	2119.22	1639.59	0.0	2976.74	0.66	3235.01	1923.14	2032.85	1051.79	2104.58	1639.59	1143.1	698.41	1508.65	1259.69	1685.71	947.83	1286.18	785.88	1286.18	1259.69	854.13
PMVK	1844.76	2119.22	1733.13	1378.57	0.0	1322.37	0.25	1909.85	1233.75	860.08	902.89	1457.23	1059.11	493.56	579.04	941.27	346.29	1159.07	521.76	1081.39	518.15	713.11	651.58	684.02
POGK	638.15	1059.11	435.55	559.28	0.0	651.58	0.41	703.28	540.19	397.93	575.03	441.64	389.72	256.78	441.64	190.34	371.22	563.18	279.14	429.54	341.51	500.46	460.44	414.87
POLR3C	878.17	693.58	612.11	819.3	0.0	633.73	0.0	836.53	470.14	450.94	332.14	551.56	642.59	164.42	159.9	144.01	395.18	379.04	178.77	163.28	141.02	559.28	248.0	312.0
PRPF3	1551.09	2417.67	2271.4	2271.4	0.0	3190.46	1.19	1745.2	1001.93	660.68	688.78	890.44	1277.29	733.19	866.07	507.46	460.44	1008.9	848.22	579.04	432.53	791.35	674.59	642.59
PRUNE	759.08	583.07	616.37	733.19	0.0	764.36	0.42	1159.07	435.55	406.31	265.87	400.71	532.74	191.67	194.36	177.53	178.77	387.02	265.87	172.65	275.28	366.09	251.48	241.19
PSMD4	4903.87	5791.62	4802.93	6426.31	0.0	5219.6	1.08	5995.9	3039.3	3190.46	2468.49	4704.07	2895.31	1487.87	1304.15	1467.37	1388.16	3018.3	2061.24	1561.89	896.64	1498.22	2178.83	1529.73
PYCR2	2701.35	3794.3	2193.99	2591.27	0.0	3280.18	0.8	2915.45	1605.83	1437.15	1457.23	2351.53	2104.58	961.07	693.58	417.77	665.29	1498.22	909.17	860.08	575.03	688.78	1073.91	866.07
RABIF	348.71	447.82	271.48	348.71	0.0	381.68	0.0	414.87	201.25	131.51	127.0	244.57	197.09	83.45	102.25	111.21	115.97	98.04	75.64	137.14	147.06	77.79	103.69	95.34
RHNO1	607.87	921.88	693.58	791.35	0.0	1081.39	0.21	406.31	688.78	665.29	603.67	665.29	571.05	336.79	114.36	169.07	351.14	503.95	325.29	299.25	95.34	420.68	325.29	265.87
RUSC1	1250.98	1225.22	748.61	1208.34	0.0	3124.78	0.85	1991.0	813.63	409.15	237.86	723.08	764.36	325.29	660.68	753.83	429.54	518.15	400.71	629.35	490.14	212.78	470.14	356.05
SDHC	4239.45	8479.89	4095.0	3955.48	0.0	2664.15	0.72	4704.07	1936.53	2875.3	2193.99	3146.52	2090.03	2451.44	1277.29	872.1	2148.82	2485.67	2032.85	2004.85	830.75	2090.03	1733.13	2573.36
SETDB1	842.36	1225.22	1104.13	1081.39	0.0	1350.18	0.91	1151.06	1015.93	563.18	486.75	1167.14	780.44	529.06	381.68	265.87	264.03	995.0	915.51	197.09	221.86	547.75	514.56	432.53
SF3B4	2090.03	2609.3	1487.87	2018.8	0.0	2061.24	0.64	2591.27	1023.0	1572.76	1081.39	1583.71	1322.37	1191.69	612.11	1250.98	921.88	872.1	915.51	1044.52	1167.14	529.06	1023.0	563.18
SLC46A1	269.6	199.85	373.81	525.39	0.0	642.59	0.14	503.95	343.89	217.27	241.19	384.34	514.56	46.84	110.43	33.54	76.17	224.97	157.68	89.51	65.26	171.45	74.06	84.63
SLC50A1	2193.99	2796.65	1883.54	4869.99	0.0	6250.56	0.73	4937.99	1015.93	1340.84	1977.24	890.44	860.08	1111.82	1030.12	1104.13	780.44	836.53	854.13	836.53	579.04	819.3	1540.37	802.41
SMIM19	1242.34	1350.18	1313.23	1199.98	0.0	1135.2	0.51	902.89	1388.16	3419.52	1167.14	1242.34	1447.15	819.3	253.23	329.84	698.41	1159.07	1104.13	733.19	226.54	1143.1	718.08	579.04
SNAP47	915.51	1081.39	854.13	934.76	0.0	967.76	0.43	1159.07	559.28	420.68	309.83	567.1	718.08	223.41	269.6	320.8	234.57	420.68	181.28	242.88	299.25	301.33	351.14	258.57
SNAPIN	1832.01	2417.67	1313.23	2573.36	0.0	1605.83	0.47	2193.99	1259.69	1369.04	1143.1	1923.14	1388.16	490.14	547.75	497.0	435.55	819.3	599.49	669.92	249.73	518.15	684.02	507.46
SPDYE3	99.43	84.04	103.69	69.03	0.0	93.35	0.0	60.82	94.67	32.13	28.86	78.89	88.26	35.5	12.45	16.39	28.04	48.87	36.79	43.02	18.29	34.75	28.24	30.56
STAMBP	518.15	825.0	708.18	974.5	0.0	713.11	0.48	679.29	532.74	497.0	587.13	688.78	684.02	283.05	209.84	169.07	258.57	470.14	325.29	318.57	139.07	381.68	373.81	320.8
TACO1	420.68	555.41	688.78	583.07	0.0	483.38	0.0	559.28	381.68	299.25	223.41	447.82	373.81	124.37	95.34	94.01	175.07	256.78	150.17	118.43	85.22	209.84	211.31	117.6
TADA1	285.03	466.88	151.22	429.54	0.0	285.03	0.52	420.68	143.01	134.3	193.01	142.01	220.32	60.82	136.19	35.5	135.24	159.9	129.69	76.71	59.97	144.01	166.73	102.25
TAF5L	463.65	559.28	242.88	540.19	0.0	551.56	0.22	620.67	334.46	346.29	318.57	325.29	432.53	202.66	163.28	134.3	318.57	351.14	201.25	220.32	231.32	540.19	169.07	307.69
TARS2	698.41	1183.45	961.07	884.29	0.0	866.07	0.17	902.89	450.94	303.44	194.36	435.55	490.14	258.57	92.7	81.14	185.11	414.87	195.72	96.01	72.01	343.89	165.57	158.79
TMEM177	173.85	239.52	318.57	232.94	0.0	371.22	0.0	414.87	100.13	90.14	102.25	122.64	127.0	43.32	40.93	16.15	44.25	77.79	48.52	40.07	23.42	80.01	59.97	43.32
TMEM214	1870.53	1844.76	1991.0	1950.0	0.0	1923.14	0.91	2591.27	1242.34	1225.22	1066.48	1467.37	1268.46	981.29	1757.34	1350.18	890.44	921.88	1008.9	1359.57	1183.45	854.13	1304.15	915.51
UBE2Q1	2758.13	3491.39	1923.14	2701.35	0.0	2645.74	0.71	3874.05	1175.27	1208.34	954.43	1857.6	2271.4	688.78	674.59	860.08	624.99	2032.85	1023.0	1183.45	693.58	1561.89	1697.45	808.0
UFC1	5672.41	6652.97	5112.16	4704.07	0.0	3901.01	0.88	6652.97	2777.33	6471.02	4358.66	5041.77	5366.37	1991.0	2739.08	1551.09	1896.65	3639.7	2520.38	2047.0	1397.83	2468.49	2271.4	2240.11
USP21	743.43	909.17	780.44	941.27	0.0	1529.73	0.8	1127.35	486.75	473.41	258.57	753.83	961.07	305.55	842.36	525.39	323.03	438.59	497.0	212.78	361.04	450.94	463.65	277.2
UVSSA	193.01	426.57	381.68	356.05	0.0	981.29	1.01	134.3	236.21	166.73	148.09	122.64	128.79	111.21	112.77	17.13	48.52	395.18	159.9	100.83	21.32	182.55	102.25	95.34
WBSCR16	728.11	981.29	791.35	555.41	0.0	1088.92	0.41	860.08	620.67	612.11	423.61	825.0	612.11	435.55	249.73	172.65	267.73	543.96	395.18	253.23	150.17	447.82	395.18	323.03
ZNF138	332.14	229.72	145.02	113.56	0.0	229.72	0.13	144.01	115.97	49.21	57.49	98.73	117.6	22.59	34.02	18.97	21.16	85.82	40.07	39.5	19.82	43.63	41.22	28.65
ZNF622	848.22	571.05	713.11	1001.93	0.0	423.61	0.21	954.43	503.95	441.64	447.82	500.46	693.58	281.09	244.57	287.01	291.04	414.87	260.38	215.77	435.55	595.34	409.15	277.2
