	GTEX.11GSP.0726.SM.5986L	GTEX.111VG.0726.SM.5GIDC	TCGA.56.8082.11A.01R.2247.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.7737.01A.11R.2118.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.AJ.A3NE.11A.11R.A22K.07
BDKRB2	733.19	187.71	246.28	18.56	32.13	1.85	5.54	21.16	69.03	80.01	20.86	75.11	33.06	167.9	12.55	6.73	88.88	165.57	33.06	11.55	118.43	146.03	16.27	5.32	228.13	43.94	9.93	17.38	37.05	125.24	96.68	33.78	26.28	206.94	12.55	152.28	38.95	91.41	52.45	96.68	4.03	3.92	141.02	16.75	7.82	15.22	16.88	7.11	25.35	15.0	47.84	33.3	19.25	76.71	34.75	3.29	5.54	8.13	17.51	127.0	66.65	36.79	32.82	507.46	476.71
C11orf96	11189.6	14361.31	7485.11	260.38	819.3	19.53	116.78	287.01	1427.22	1268.46	417.77	1674.06	679.29	3491.39	90.14	129.69	1030.12	1540.37	1340.84	162.14	2104.58	1769.57	209.84	167.9	11745.96	1044.52	95.34	78.34	320.8	3325.99	2915.45	454.09	120.1	4869.99	208.38	915.51	312.0	738.29	974.5	934.76	688.78	295.11	1540.37	915.51	75.11	343.89	295.11	108.9	583.07	435.55	1225.22	607.87	1030.12	1388.16	329.84	65.72	132.44	47.17	262.2	1844.76	1709.26	497.0	244.57	4095.0	10154.69
C2CD4B	463.65	915.51	1331.57	10.0	77.79	0.0	6.78	4.78	39.5	30.34	45.53	81.71	25.91	151.22	1.31	2.34	36.79	53.57	40.07	2.34	33.54	77.79	32.13	8.58	426.57	239.52	0.0	1.97	36.53	214.27	92.7	38.4	14.14	128.79	1.23	70.51	3.86	21.63	18.16	106.63	2.56	0.0	52.45	7.51	0.88	6.94	1.95	15.68	1.28	26.1	281.09	32.59	69.52	57.89	25.91	1.13	2.1	1.95	8.13	285.03	76.71	10.88	16.51	239.52	698.41
CCL2	48982.22	36610.26	110983.6	162.14	1781.89	78.34	167.9	954.43	5711.87	14867.79	2287.2	10296.45	967.76	3491.39	154.42	171.45	3540.14	19754.96	1119.56	277.2	5751.61	3124.78	490.14	107.38	23656.34	4123.49	62.56	232.94	780.44	6561.36	18689.27	1639.59	547.75	5219.6	738.29	8363.13	223.41	2855.44	1896.65	3124.78	98.73	249.73	9808.75	497.0	153.34	651.58	172.65	358.54	307.69	1175.27	5954.47	848.22	656.11	3146.52	934.76	131.51	279.14	476.71	819.3	5112.16	14065.74	713.11	490.14	16383.0	17197.56
CCL7	172.65	5.63	88.88	0.0	5.28	0.0	1.53	2.32	6.36	14.89	1.73	22.59	0.99	7.63	1.03	0.0	9.78	38.95	4.31	2.01	2.12	16.88	0.0	3.14	26.67	7.22	0.0	0.0	1.04	6.41	42.71	1.28	0.97	8.06	2.71	9.85	0.64	9.13	1.69	4.86	0.0	0.0	24.81	0.95	0.0	0.0	0.0	0.0	0.0	0.95	13.83	0.0	0.0	6.94	3.41	0.0	2.16	0.0	1.33	0.0	18.43	0.0	0.0	23.08	34.02
CCL8	187.71	285.03	403.5	3.99	6.62	0.0	2.48	2.66	15.11	40.07	13.32	19.53	8.58	42.11	0.28	1.79	11.04	101.54	10.08	2.71	4.74	20.11	18.29	1.2	299.25	23.93	0.0	1.48	3.86	65.72	8.78	4.7	8.71	49.56	1.17	52.08	1.83	6.67	5.77	22.92	2.63	1.03	42.11	0.0	0.27	0.57	2.07	0.0	0.59	4.13	0.27	5.02	7.11	16.15	4.74	0.0	2.56	2.03	0.0	44.89	39.22	5.87	6.26	320.8	151.22
CCNL1	3395.89	5479.15	4181.07	854.13	713.11	830.75	1135.2	624.99	3491.39	2537.92	1286.18	1583.71	1583.71	1529.73	417.77	733.19	1498.22	2485.67	3081.75	395.18	1883.54	1651.0	842.36	1447.15	4095.0	1883.54	1159.07	1081.39	665.29	3540.14	2075.59	713.11	1447.15	3124.78	656.11	2835.7	1127.35	1159.07	1950.0	1870.53	1183.45	713.11	2720.15	1467.37	1268.46	866.07	1286.18	669.92	595.34	1572.76	934.76	1159.07	748.61	1191.69	2591.27	708.18	1175.27	693.58	1388.16	6079.61	1073.91	1540.37	423.61	2855.44	3039.3
CD300E	1175.27	155.5	836.53	1.43	5.28	0.96	0.72	0.4	7.94	64.34	4.66	2.61	8.45	22.59	2.39	2.63	11.3	45.85	9.78	1.14	5.11	18.16	9.41	0.42	58.71	11.91	1.55	2.61	3.63	21.16	15.8	12.27	3.76	39.22	2.23	17.25	2.68	4.58	4.17	12.45	3.69	2.61	48.18	3.66	0.41	2.25	1.5	0.74	1.17	1.13	5.45	2.73	1.57	8.13	4.06	0.69	1.22	2.16	0.41	11.3	1.27	10.0	0.4	162.14	117.6
CDKN1A	18819.27	13681.08	19618.49	616.37	1437.15	1175.27	1639.59	1388.16	7382.04	3847.29	1208.34	5292.48	1088.92	3491.39	1066.48	1208.34	1427.22	6079.61	7642.41	532.74	7485.11	4704.07	854.13	1111.82	13776.25	5995.9	647.07	748.61	1127.35	9279.58	4972.34	974.5	1359.57	4268.94	493.56	3190.46	1617.0	1508.65	2468.49	5711.87	713.11	2645.74	4575.41	1437.15	575.03	1242.34	511.0	684.02	1268.46	3372.43	4903.87	2591.27	2400.97	2287.2	1857.6	713.11	314.17	684.02	1508.65	5995.9	6887.62	1066.48	1540.37	13033.07	8305.36
CEBPB	8247.98	2351.53	3589.58	583.07	679.29	334.46	232.94	629.35	1104.13	518.15	629.35	1143.1	406.31	981.29	228.13	153.34	836.53	1111.82	866.07	199.85	1304.15	718.08	366.09	356.05	2004.85	813.63	327.56	237.86	309.83	1594.73	2627.46	563.18	525.39	1991.0	435.55	728.11	457.25	551.56	825.0	1225.22	273.37	283.05	878.17	384.34	318.57	514.56	242.88	334.46	457.25	551.56	995.0	403.5	688.78	1208.34	896.64	152.28	397.93	228.13	559.28	2018.8	1044.52	529.06	819.3	2178.83	3419.52
CEBPD	6164.49	4903.87	5594.3	796.86	1477.58	271.48	633.73	1135.2	6079.61	4903.87	1519.15	5329.3	808.0	3639.7	256.78	273.37	2400.97	2133.97	9151.82	265.87	2209.26	2090.03	842.36	995.0	7966.99	2777.33	447.82	205.5	511.0	6516.03	4152.18	2032.85	708.18	4450.27	656.11	1259.69	480.04	1175.27	2816.11	3742.05	878.17	295.11	3103.19	866.07	698.41	1685.71	307.69	346.29	995.0	1407.55	6935.54	791.35	1896.65	3639.7	1242.34	551.56	493.56	117.6	1159.07	5076.84	1832.01	406.31	723.08	3515.68	6207.38
CH25H	4607.24	4639.29	2451.44	29.06	75.64	2.92	5.32	18.43	108.9	65.26	94.67	98.04	61.25	226.54	15.0	18.7	111.21	244.57	132.44	30.56	185.11	92.05	21.32	15.45	1015.93	146.03	3.59	7.0	96.01	295.11	234.57	31.67	17.51	620.67	12.18	72.52	17.9	52.82	73.54	246.28	5.96	4.43	115.97	29.7	13.52	14.78	5.06	19.11	25.91	28.45	172.65	36.01	46.84	159.9	40.36	3.96	6.84	14.89	55.49	503.95	303.44	88.26	115.97	503.95	264.03
CNN2	11827.67	10585.95	4869.99	1081.39	1340.84	713.11	1008.9	1697.45	2520.38	1487.87	2032.85	2520.38	1457.23	1781.89	1183.45	693.58	1870.53	2609.3	412.0	1427.22	2935.74	1950.0	915.51	1397.83	2133.97	819.3	775.05	1159.07	1151.06	2178.83	2451.44	1437.15	2061.24	2303.12	775.05	1963.57	872.1	902.89	2004.85	1685.71	1350.18	417.77	1769.57	860.08	1051.79	1628.26	420.68	529.06	1191.69	521.76	1628.26	848.22	1073.91	2271.4	1467.37	713.11	723.08	2032.85	2335.28	3665.02	2555.58	1605.83	1628.26	4010.71	3716.2
CREB5	1081.39	884.29	647.07	5.02	9.85	1.93	3.14	12.27	82.29	39.79	13.42	56.68	65.26	71.0	9.56	3.41	47.84	63.89	34.26	6.06	58.71	49.91	16.27	6.94	126.12	19.25	4.28	3.03	35.0	139.07	129.69	10.0	16.03	107.38	4.86	47.17	6.57	50.63	39.22	22.26	4.13	3.63	48.18	5.92	7.17	10.55	12.27	3.96	21.01	7.82	17.0	24.99	8.58	17.64	23.25	8.65	3.26	7.22	23.42	106.63	22.43	36.27	13.72	186.4	303.44
CREM	3665.02	2367.9	2004.85	432.53	1096.5	361.04	587.13	571.05	967.76	1605.83	540.19	808.0	674.59	2384.37	389.72	454.09	1059.11	1963.57	769.69	511.0	1191.69	1605.83	397.93	511.0	3081.75	1104.13	500.46	429.54	698.41	1685.71	1519.15	808.0	540.19	1651.0	381.68	559.28	808.0	698.41	941.27	921.88	483.38	595.34	2148.82	490.14	341.51	583.07	420.68	366.09	529.06	518.15	1216.75	532.74	738.29	947.83	395.18	291.04	423.61	379.04	511.0	708.18	1167.14	743.43	819.3	1628.26	7081.29
CSF2	49.91	10.88	175.07	0.0	0.0	0.0	0.0	0.83	2.73	0.83	4.78	2.58	2.66	0.91	0.0	0.0	2.01	8.38	1.95	0.0	1.81	11.82	0.84	0.0	3.76	2.34	0.0	0.0	0.0	6.41	1.45	0.0	0.84	4.62	0.0	6.36	0.0	2.05	0.0	0.0	0.0	0.0	7.0	1.11	0.0	0.0	0.54	0.0	0.0	0.0	0.88	0.88	0.0	1.48	1.69	0.0	0.0	0.82	0.85	3.72	5.82	0.57	0.0	72.52	32.82
CSF3	3716.2	4802.93	17558.94	9.85	11.82	0.0	4.54	0.97	242.88	51.71	8.85	35.25	6.36	497.0	0.35	1.97	3.92	665.29	85.82	0.33	61.25	105.15	1.64	10.63	1832.01	27.64	0.0	0.0	7.4	909.17	260.38	1.93	1.66	480.04	0.66	55.49	1.35	6.62	31.67	13.52	0.0	0.57	49.91	0.65	0.0	1.64	3.89	2.18	2.36	1.95	56.28	21.94	15.8	24.11	10.96	0.29	0.71	0.33	2.66	540.19	139.07	11.13	10.79	679.29	1709.26
CSRNP1	3395.89	2119.22	4736.79	406.31	791.35	262.2	866.07	599.49	3955.48	1073.91	1088.92	2417.67	813.63	1111.82	595.34	629.35	529.06	3103.19	2434.5	503.95	3564.78	2032.85	480.04	629.35	2915.45	3257.52	387.02	295.11	723.08	4543.8	2701.35	373.81	463.65	2796.65	341.51	1167.14	406.31	607.87	1331.57	3901.01	281.09	194.36	2555.58	490.14	373.81	521.76	316.37	327.56	728.11	476.71	1457.23	1583.71	854.13	1498.22	612.11	271.48	314.17	303.44	896.64	3901.01	2627.46	656.11	679.29	3235.01	2303.12
DCUN1D3	536.45	493.56	368.65	56.68	63.89	50.63	81.14	75.64	162.14	121.79	68.55	111.21	130.6	82.29	63.89	63.0	81.14	414.87	145.02	76.71	264.03	186.4	53.19	55.89	346.29	176.29	58.71	72.52	122.64	323.03	148.09	47.5	73.54	246.28	43.94	111.21	57.08	87.65	108.14	172.65	34.02	44.57	275.28	52.45	55.49	54.33	59.97	80.01	81.71	52.82	114.36	111.99	64.34	94.01	101.54	45.53	52.82	69.03	87.03	172.65	167.9	83.45	69.03	208.38	291.04
DHH	34.02	13.72	10.16	5.82	8.38	0.61	2.97	1.06	7.28	5.32	6.01	2.51	2.94	8.58	6.52	1.43	13.93	16.51	6.94	3.23	15.0	5.28	4.66	5.54	39.79	5.11	3.32	0.72	1.55	9.78	9.63	6.01	2.53	16.15	6.46	13.32	11.21	10.0	3.29	8.92	2.76	1.57	5.54	6.01	1.79	1.79	4.62	1.03	1.11	4.62	2.25	3.38	7.51	5.59	7.51	1.91	6.21	2.07	5.41	12.18	9.41	7.82	4.28	17.13	34.26
DLC1	4869.99	4512.4	2240.11	26.86	103.69	31.0	47.17	65.72	171.45	103.69	68.55	128.79	149.12	303.44	105.15	32.82	117.6	320.8	150.17	32.36	381.68	255.0	60.82	43.02	387.02	172.65	47.5	30.78	166.73	358.54	176.29	31.9	42.41	384.34	44.57	265.87	165.57	295.11	110.43	356.05	25.35	35.5	295.11	78.34	29.27	35.25	41.22	16.88	69.03	63.45	58.3	206.94	49.21	214.27	144.01	13.03	22.92	48.18	74.06	242.88	163.28	105.15	33.54	896.64	1175.27
DLL1	193.01	660.68	151.22	59.55	204.07	39.5	105.89	239.52	595.34	450.94	256.78	426.57	142.01	167.9	92.05	77.79	361.04	285.03	152.28	84.63	518.15	320.8	93.35	103.69	775.05	356.05	82.29	111.99	96.01	373.81	563.18	128.79	130.6	454.09	147.06	260.38	258.57	246.28	161.02	392.44	48.52	65.26	500.46	127.0	205.5	167.9	118.43	86.43	102.25	318.57	208.38	111.21	133.36	389.72	208.38	103.69	156.59	116.78	133.36	450.94	392.44	239.52	149.12	366.09	275.28
DMWD	934.76	775.05	785.88	529.06	447.82	299.25	483.38	450.94	693.58	567.1	599.49	454.09	575.03	624.99	555.41	444.72	607.87	536.45	348.71	291.04	563.18	536.45	490.14	540.19	995.0	595.34	460.44	441.64	358.54	884.29	616.37	486.75	529.06	813.63	400.71	490.14	583.07	486.75	463.65	547.75	507.46	356.05	591.22	460.44	454.09	381.68	387.02	320.8	529.06	450.94	536.45	529.06	460.44	529.06	435.55	373.81	444.72	420.68	536.45	780.44	660.68	500.46	432.53	674.59	796.86
DNTTIP2	1794.29	1277.29	1651.0	988.12	738.29	902.89	733.19	595.34	1081.39	1225.22	748.61	698.41	748.61	995.0	791.35	723.08	896.64	1081.39	848.22	587.13	995.0	723.08	748.61	785.88	1191.69	909.17	718.08	698.41	1059.11	1044.52	1037.29	947.83	660.68	961.07	529.06	708.18	642.59	1008.9	1008.9	674.59	708.18	819.3	1073.91	624.99	503.95	616.37	813.63	693.58	759.08	884.29	1167.14	743.43	723.08	878.17	669.92	543.96	947.83	738.29	775.05	791.35	1104.13	1001.93	866.07	1073.91	1417.35
DPH3	518.15	497.0	620.67	172.65	249.73	208.38	169.07	229.72	256.78	271.48	241.19	228.13	224.97	241.19	173.85	197.09	229.72	376.41	155.5	183.82	275.28	271.48	187.71	195.72	356.05	187.71	187.71	172.65	351.14	281.09	285.03	211.31	189.02	226.54	141.02	208.38	211.31	191.67	325.29	204.07	123.5	224.97	384.34	152.28	177.53	176.29	167.9	186.4	232.94	183.82	348.71	204.07	231.32	283.05	96.01	132.44	165.57	244.57	221.86	190.34	312.0	277.2	253.23	470.14	540.19
DUSP5	2303.12	941.27	1143.1	60.82	211.31	36.27	57.08	109.66	830.75	503.95	293.07	529.06	379.04	339.14	76.17	113.56	220.32	2537.92	301.33	111.99	2224.63	460.44	104.42	108.14	1467.37	503.95	23.25	33.06	262.2	1191.69	1662.49	145.02	110.43	1806.78	74.58	785.88	70.51	215.77	486.75	620.67	29.48	20.41	503.95	61.25	49.91	103.69	64.8	58.71	118.43	84.04	361.04	316.37	334.46	532.74	178.77	25.35	67.12	33.3	129.69	2335.28	591.22	269.6	500.46	1594.73	1950.0
DUSP8	723.08	460.44	525.39	54.33	120.1	112.77	150.17	40.64	231.32	116.78	65.26	339.14	118.43	176.29	111.99	29.27	156.59	197.09	116.78	25.72	283.05	293.07	81.71	59.13	447.82	358.54	66.65	81.71	145.02	183.82	285.03	70.01	74.06	269.6	48.52	163.28	115.16	101.54	120.94	514.56	97.36	198.47	234.57	46.5	43.32	111.21	27.44	76.71	241.19	228.13	173.85	167.9	102.25	152.28	87.03	82.29	75.11	29.27	83.45	454.09	215.77	91.41	76.71	293.07	343.89
ERF	1651.0	2209.26	1685.71	389.72	633.73	260.38	473.41	483.38	1225.22	647.07	679.29	1250.98	571.05	733.19	351.14	381.68	819.3	1359.57	1191.69	420.68	1286.18	1044.52	429.54	303.44	1457.23	1051.79	229.72	426.57	441.64	981.29	1540.37	607.87	529.06	1487.87	518.15	808.0	660.68	1096.5	651.58	802.41	409.15	412.0	1081.39	624.99	397.93	450.94	376.41	353.59	669.92	819.3	974.5	420.68	406.31	1096.5	743.43	361.04	339.14	441.64	638.15	1844.76	896.64	620.67	571.05	2178.83	2271.4
FAM131A	624.99	1519.15	571.05	253.23	348.71	151.22	297.17	314.17	463.65	490.14	262.2	384.34	334.46	476.71	267.73	172.65	423.61	420.68	195.72	186.4	381.68	435.55	206.94	208.38	819.3	518.15	199.85	170.25	201.25	291.04	674.59	318.57	260.38	748.61	291.04	371.22	379.04	450.94	275.28	406.31	283.05	318.57	507.46	435.55	229.72	189.02	260.38	285.03	341.51	325.29	309.83	275.28	297.17	420.68	423.61	228.13	316.37	220.32	341.51	429.54	395.18	309.83	309.83	656.11	780.44
