	TCGA.G4.6306.01A.11R.1774.07	TCGA.AD.6963.01A.11R.1928.07	TCGA.AA.A01Z.01A.11R.A083.07	TCGA.G4.6295.01A.11R.1723.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.DM.A0X9.01A.11R.A155.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.DY.A1DC.01A.31R.A155.07	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.TMMY.1626.SM.4DXTY
CCDC169	0.0	0.0	0.0	1.16	0.0	1.77	4.13	0.0	0.0	0.09	0.0	0.85	10.71	3.29	8.71	7.69	22.1	48.87	25.91	33.06	27.64	3.82	8.85	12.83	46.5	4.35	14.56	30.56	8.85	62.56
CCDC42B	5.96	4.58	9.06	3.14	13.12	9.7	1.17	0.66	0.0	0.0	5.23	20.41	67.12	2.73	37.32	22.26	21.32	5.45	89.51	68.55	127.0	19.39	17.51	61.25	111.21	32.82	22.1	116.78	65.72	12.18
CDH22	0.11	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	2.07	8.19	5.96	3.35	0.43	1.39	0.45	37.05	32.36	8.13	2.25	20.41	15.11	17.77	27.05	4.39	51.35	5.87	42.11
CDK5R2	2.18	1.03	1.07	0.72	0.0	2.14	0.0	0.0	0.0	0.19	0.45	4.43	21.32	13.62	6.41	3.23	7.88	4.1	36.01	54.33	20.41	14.35	10.39	12.09	16.63	7.69	9.2	70.51	18.16	36.01
CHGB	2.78	2.78	0.4	2.07	0.44	1.35	14.03	0.1	0.0	0.33	2.43	9.41	232.94	53.95	41.81	37.85	22.92	40.64	656.11	921.88	186.4	236.21	82.29	62.12	384.34	42.41	69.03	6079.61	39510.91	669.92
CMBL	100.83	248.0	620.67	409.15	409.15	305.55	55.89	42.71	579.04	162.14	297.17	173.85	1508.65	1519.15	693.58	1331.57	1015.93	1015.93	2682.69	3146.52	1832.01	3794.3	521.76	1561.89	4210.15	915.51	785.88	4298.64	4010.71	3847.29
CTNNA2	0.95	1.31	1.73	0.0	1.0	6.31	0.0	0.39	0.0	0.0	1.38	0.59	21.63	1.11	2.39	2.76	2.63	4.98	23.93	38.4	15.34	8.38	4.43	5.23	21.47	0.59	6.73	19.97	4.46	3.76
CYP2C18	81.71	8.99	5.92	2.71	53.57	17.51	8.25	279.14	0.0	0.0	0.92	291.04	974.5	343.89	1159.07	454.09	116.78	1044.52	2224.63	1806.78	1617.0	1540.37	262.2	830.75	1427.22	1594.73	397.93	2451.44	3235.01	1066.48
ENTPD5	186.4	71.5	152.28	47.17	158.79	224.97	112.77	177.53	0.0	0.49	71.0	392.44	432.53	348.71	236.21	358.54	171.45	647.07	665.29	1044.52	1001.93	1304.15	244.57	764.36	579.04	575.03	178.77	1208.34	575.03	547.75
EYA2	6.84	4.66	5.63	10.71	5.32	8.51	10.55	14.24	0.0	0.48	5.73	111.21	206.94	392.44	320.8	105.89	25.54	162.14	366.09	376.41	343.89	138.1	244.57	417.77	220.32	373.81	265.87	764.36	684.02	830.75
FAM47E-STBD1	45.85	74.58	71.0	26.86	100.13	52.45	16.27	5.77	0.0	0.48	38.67	72.01	105.89	150.17	68.55	58.71	120.1	54.33	376.41	258.57	122.64	126.12	86.43	151.22	262.2	164.42	125.24	237.86	167.9	120.94
FEV	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	142.01	15.56	14.45	7.4	6.73	237.86	231.32	220.32	59.97	154.42	24.28	36.53	155.5	46.5	40.36	373.81	211.31	191.67
FFAR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56	0.0	0.0	0.0	0.0	0.0	6.57	43.63	3.14	1.46	0.97	0.0	35.25	0.0	0.93	28.45	11.38	3.06
GABRG2	0.0	0.24	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.45	16.27	4.39	0.56	6.36	1.35	0.92	16.88	22.43	5.59	4.7	1.2	0.0	25.35	0.0	4.28	14.89	9.41	5.02
GCK	2.36	1.66	3.63	0.93	0.65	3.47	10.96	23.08	0.0	0.22	1.0	1.08	11.13	9.2	4.24	5.36	8.32	7.22	15.45	18.84	10.24	14.35	17.25	25.72	26.47	14.67	23.08	34.51	16.63	40.07
GCNT4	1.03	0.54	1.08	1.48	1.17	0.89	8.71	7.46	0.0	0.06	1.87	27.25	181.28	96.68	205.5	111.21	16.63	134.3	426.57	273.37	381.68	312.0	149.12	194.36	397.93	202.66	176.29	559.28	162.14	759.08
GPR119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	5.41	0.22	0.0	1.1	0.0	0.0	2.68	8.99	4.62	5.87	0.0	1.3	13.42	0.0	0.0	0.0	8.45	2.39
GREM2	1.51	3.99	10.16	8.58	0.0	7.63	0.24	0.04	0.0	0.09	14.89	50.98	384.34	134.3	49.91	158.79	147.06	96.01	131.51	102.25	140.04	87.03	197.09	118.43	221.86	208.38	146.03	620.67	447.82	180.02
GRIA3	0.0	0.8	1.99	0.79	0.0	0.85	1.48	2.1	0.0	0.13	4.31	8.06	33.3	5.54	4.78	13.32	10.71	25.72	20.71	21.47	48.18	31.9	23.08	24.46	39.79	18.97	23.25	40.93	13.12	37.59
GSG1L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	11.13	1.73	1.41	0.83	5.63	0.87	10.31	18.7	0.55	4.82	8.25	14.67	35.0	0.0	3.99	9.7	21.78	4.58
HPGD	353.59	291.04	98.73	34.26	172.65	38.4	13.83	10.31	0.0	0.61	195.72	343.89	1639.59	379.04	1896.65	3190.46	457.25	1923.14	5995.9	4010.71	6207.38	3303.0	1674.06	4802.93	7749.1	3235.01	1733.13	11112.3	6561.36	2163.77
ID4	37.85	110.43	65.72	198.47	12.0	43.63	49.21	53.95	0.0	0.47	120.1	88.26	403.5	189.02	339.14	258.57	316.37	305.55	718.08	595.34	693.58	279.14	563.18	336.79	603.67	262.2	493.56	1119.56	1096.5	1096.5
IL1RAPL1	0.0	0.43	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	4.21	0.49	0.54	0.44	3.26	1.97	2.61	1.93	3.32	1.35	2.51	1.23	3.59	3.29	4.1	4.58	2.2	2.53
INSM1	3.96	0.0	0.0	8.06	0.0	1.14	0.0	0.0	0.0	0.01	0.0	3.35	105.89	18.97	34.26	8.19	12.55	4.94	172.65	166.73	95.34	65.26	46.84	53.57	161.02	34.02	26.1	403.5	70.01	171.45
KANK4	0.6	1.2	2.97	2.01	1.97	1.64	0.73	0.18	0.0	0.01	5.15	10.0	57.08	17.51	14.67	14.56	16.63	37.85	59.55	80.01	84.04	29.48	39.5	31.22	40.64	26.86	29.06	58.71	32.36	53.95
KCNK16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	1.14	98.04	2.36	2.51	5.28	2.36	5.5	99.43	289.02	40.64	15.22	5.63	10.55	476.71	13.12	5.92	104.42	82.29	25.54
LNX1	119.26	35.5	55.1	167.9	158.79	105.89	44.89	11.91	0.0	0.16	94.67	134.3	142.01	83.45	165.57	159.9	120.1	141.02	325.29	226.54	301.33	277.2	132.44	212.78	172.65	191.67	105.15	236.21	246.28	281.09
MARCH4	0.41	0.89	0.95	1.11	0.21	1.3	0.12	0.53	0.0	0.0	3.17	2.34	19.53	7.11	3.0	2.63	2.41	6.78	18.56	37.32	13.52	8.65	3.72	6.67	19.25	4.78	2.63	21.94	13.93	23.25
METTL9	1350.18	1268.46	1583.71	1508.65	1191.69	1044.52	1259.69	1001.93	0.0	0.74	981.29	1167.14	1709.26	1794.29	1709.26	1286.18	1417.35	1605.83	1923.14	1498.22	1561.89	1651.0	2061.24	1639.59	2319.15	764.36	2061.24	1832.01	2451.44	2193.99
MMP28	97.36	11.55	106.63	27.84	47.84	38.95	848.22	166.73	0.0	0.4	42.41	143.01	246.28	189.02	775.05	228.13	159.9	166.73	796.86	796.86	518.15	543.96	190.34	486.75	902.89	275.28	248.0	1216.75	981.29	514.56
NANOG	0.0	1.64	0.0	0.83	0.51	1.87	0.0	1.3	0.0	0.0	0.0	0.28	3.14	1.53	5.19	2.1	5.63	1.45	8.65	5.45	8.92	0.0	0.0	0.51	11.21	0.0	0.0	5.5	5.96	14.89
NET1	743.43	967.76	1066.48	1250.98	514.56	974.5	1697.45	305.55	0.0	0.47	1745.2	1340.84	1923.14	775.05	1322.37	1896.65	1059.11	1242.34	2664.15	3280.18	2537.92	1685.71	941.27	1923.14	1697.45	1819.35	1001.93	2976.74	2645.74	1427.22
NKX2-2	0.0	0.0	0.0	1.03	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.62	62.56	24.11	16.88	5.73	5.11	6.52	77.79	142.01	52.08	30.12	7.4	32.13	72.52	22.1	18.56	40.93	15.56	45.85
NOL4	0.0	0.0	0.0	0.06	0.0	0.75	0.0	0.0	0.0	0.0	0.0	2.25	13.42	10.96	4.78	2.2	1.64	3.0	18.97	28.45	8.58	1.5	11.04	3.89	24.81	31.9	4.43	49.91	17.64	20.71
NSG2	0.0	4.21	0.0	0.88	0.0	1.75	0.15	0.0	0.0	0.31	4.5	5.45	33.78	16.15	7.4	16.39	4.78	11.82	33.06	106.63	25.91	27.05	8.71	11.55	87.65	26.28	44.57	26.28	10.63	76.17
NUDT12	154.42	106.63	118.43	108.14	138.1	88.88	87.65	109.66	0.0	0.3	119.26	249.73	332.14	151.22	226.54	503.95	215.77	264.03	285.03	199.85	420.68	271.48	186.4	182.55	417.77	176.29	186.4	559.28	320.8	866.07
PGA4	10.96	5.11	0.0	0.0	11.21	3.03	0.0	0.0	0.0	0.0	0.0	1229805.58	2263304.65	5235876.81	4987895.16	2111737.85	6581567.44	9569418.63	24153.43	57448.23	1.835920079E7	5128124.01	3028138.0	6446120.72	627822.72	1.138002091E7	9179599.9	5403.7	16496.96	53230.77
PGRMC2	1081.39	796.86	1001.93	543.96	743.43	974.5	764.36	941.27	0.0	0.77	1081.39	896.64	1561.89	1119.56	1268.46	1508.65	1407.55	1709.26	2090.03	1745.2	2758.13	2451.44	1304.15	2104.58	2434.5	1721.16	1216.75	2367.9	1340.84	2468.49
PLCL2	9.48	12.55	4.54	21.78	17.64	15.0	5.5	4.13	0.0	0.45	10.71	142.01	316.37	154.42	126.12	224.97	151.22	162.14	244.57	205.5	267.73	175.07	260.38	150.17	293.07	114.36	159.9	368.65	307.69	332.14
PTPRN	8.45	7.69	1.31	39.79	6.26	1.83	6.26	0.27	0.0	0.33	17.9	29.91	185.11	80.57	57.49	42.41	38.4	51.35	303.44	234.57	130.6	96.01	74.06	76.17	201.25	153.34	91.41	166.73	56.28	409.15
SCG3	0.58	1.11	0.61	1.36	0.0	2.14	0.0	0.0	0.0	0.02	1.48	8.06	82.87	27.64	22.43	21.32	9.34	22.75	98.73	120.94	77.79	18.97	48.18	31.0	211.31	30.78	41.22	237.86	166.73	239.52
SCGN	5.92	5.32	0.73	3.08	0.0	4.28	0.0	0.0	0.0	0.0	5.68	12.09	117.6	373.81	19.82	21.78	13.22	36.53	249.73	255.0	103.69	105.15	38.4	73.03	490.14	73.03	41.52	540.19	173.85	518.15
SEC14L5	0.82	0.09	1.11	0.09	0.13	0.13	0.45	2.2	0.0	0.09	0.38	2.32	35.5	5.32	8.06	13.83	5.28	5.45	31.67	44.89	35.0	11.82	15.45	20.86	13.83	12.09	23.59	60.39	10.79	84.04
SEZ6L	0.0	0.0	0.43	1.06	0.46	0.0	0.0	0.0	0.0	0.0	0.79	1.64	13.22	3.59	0.87	2.73	3.86	1.68	19.39	49.21	13.52	14.89	3.69	17.0	30.56	1.93	4.58	16.63	21.47	6.73
SGSM1	1.58	8.92	4.31	1.23	26.47	14.03	0.2	0.19	0.0	0.15	3.72	16.51	49.56	44.25	54.72	40.07	12.36	24.28	96.01	150.17	76.17	25.35	32.13	52.82	48.18	48.52	35.76	136.19	102.25	81.71
SH3BGRL2	275.28	256.78	281.09	454.09	299.25	341.51	10.63	6.46	314.17	460.44	575.03	518.15	1088.92	500.46	1350.18	1151.06	688.78	848.22	1781.89	1529.73	2224.63	1037.29	785.88	1605.83	2224.63	1250.98	693.58	2287.2	1457.23	1896.65
SHISA6	0.0	0.0	0.69	0.0	0.0	1.39	7.4	0.0	0.0	0.01	1.66	15.11	73.54	26.86	25.72	22.1	28.65	37.59	107.38	148.09	105.89	45.21	62.12	75.11	66.65	77.25	26.47	329.84	88.88	85.82
SLC25A53	62.12	101.54	94.67	48.52	76.17	89.51	53.95	30.34	0.0	0.2	41.52	117.6	158.79	123.5	110.43	128.79	146.03	81.14	121.79	171.45	120.94	164.42	144.01	158.79	277.2	149.12	181.28	271.48	117.6	211.31
SMIM14	287.01	95.34	244.57	293.07	224.97	167.9	303.44	341.51	1250.98	521.76	256.78	500.46	1397.83	559.28	1135.2	854.13	595.34	1135.2	2047.0	2119.22	2061.24	1044.52	1242.34	1369.04	2591.27	995.0	1529.73	2400.97	3614.55	1651.0
SMIM5	48.18	21.78	43.02	12.74	21.63	20.86	4.31	67.59	0.0	0.39	13.32	49.56	155.5	13.83	183.82	101.54	27.64	94.01	423.61	397.93	327.56	178.77	141.02	368.65	551.56	435.55	148.09	547.75	780.44	226.54
SNTG2	0.0	3.76	0.0	1.48	0.0	1.62	3.2	0.0	0.0	0.21	0.0	3.96	26.1	2.12	16.27	8.45	3.47	2.03	20.56	15.11	6.06	16.51	13.03	18.29	29.7	0.0	19.82	20.26	19.68	16.75
SOX21	0.0	0.0	0.0	6.94	0.0	0.0	2.34	0.0	0.0	0.09	0.0	52.08	285.03	37.59	860.08	426.57	34.26	199.85	1208.34	1088.92	1605.83	329.84	241.19	941.27	961.07	808.0	483.38	1498.22	947.83	1023.0
SPAG16	175.07	212.78	26.67	30.56	13.62	177.53	40.93	25.72	0.0	0.26	305.55	187.71	563.18	262.2	251.48	249.73	110.43	343.89	591.22	555.41	551.56	271.48	476.71	521.76	785.88	555.41	447.82	2956.17	1781.89	1268.46
STK32B	1.71	2.63	2.46	1.69	1.27	3.63	3.47	0.99	0.0	0.31	3.44	25.35	115.97	43.32	71.0	54.72	47.84	60.39	95.34	85.22	194.36	50.63	144.01	100.13	106.63	141.02	95.34	177.53	59.97	157.68
SUSD4	1.85	2.2	1.22	8.78	0.93	3.29	5.45	61.68	0.0	0.38	7.69	33.3	201.25	246.28	139.07	194.36	127.89	111.99	223.41	215.77	412.0	95.34	221.86	218.79	309.83	325.29	283.05	457.25	127.89	460.44
SYT4	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	2.05	4.86	28.65	16.03	9.78	12.55	13.52	15.45	28.45	56.28	28.04	4.39	7.4	5.28	63.45	16.75	20.71	30.12	25.72	88.26
TEX9	48.87	20.26	36.79	11.55	35.5	60.82	3.38	2.66	0.0	0.0	33.54	102.97	228.13	113.56	115.16	115.16	149.12	123.5	126.12	85.82	211.31	111.99	256.78	150.17	262.2	139.07	231.32	323.03	162.14	271.48
TLR3	30.78	28.24	8.0	15.56	31.67	21.94	17.9	7.0	0.0	0.11	12.93	63.45	111.21	58.71	84.04	119.26	69.03	104.42	242.88	246.28	198.47	218.79	88.88	77.25	119.26	169.07	87.65	373.81	1437.15	273.37
TMEM220	14.45	17.38	27.64	33.3	34.26	8.51	16.15	24.81	0.0	0.37	17.9	105.89	414.87	116.78	119.26	262.2	120.1	149.12	273.37	532.74	301.33	346.29	275.28	476.71	603.67	232.94	241.19	743.43	180.02	389.72
TOMM20L	1.69	3.56	1.81	1.16	2.03	0.0	0.87	1.87	0.0	0.0	2.43	2.71	4.54	0.0	2.07	2.1	4.54	2.92	2.01	8.25	9.27	2.05	3.79	11.55	7.63	5.59	9.27	8.71	8.13	13.72
VWA5B2	8.51	0.0	2.39	11.47	3.89	18.03	0.06	0.0	0.0	0.26	9.48	20.11	166.73	51.71	38.67	18.16	21.47	36.53	139.07	150.17	84.04	44.89	24.11	42.11	42.41	42.41	15.91	108.9	47.84	144.01
WNT10A	8.92	6.01	1.87	1.79	0.0	1.0	3.23	31.9	0.0	0.01	0.46	13.42	44.89	22.1	35.25	14.45	15.56	12.18	103.69	167.9	49.91	155.5	52.82	96.01	44.89	23.25	37.05	239.52	115.16	24.11
ZDHHC20	199.85	521.76	476.71	457.25	262.2	327.56	202.66	129.69	0.0	0.23	267.73	848.22	708.18	476.71	525.39	1051.79	1127.35	836.53	1242.34	1066.48	1066.48	688.78	423.61	651.58	1183.45	414.87	450.94	1844.76	503.95	1561.89
ZNF536	0.85	2.78	2.12	6.41	0.92	2.68	0.0	0.0	0.0	0.0	4.17	6.52	34.51	8.99	10.88	12.83	9.63	10.88	12.36	30.78	17.13	28.45	19.68	28.86	9.78	17.38	10.63	46.5	45.85	18.16
