	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.13QIC.2326.SM.5LU5N	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.3K.AAZ8.01A.12R.A39D.07
BTBD1	551.56	1111.82	909.17	1498.22	1250.98	450.94	688.78	1119.56	941.27	684.02	587.13	954.43	1119.56	769.69	629.35	665.29	791.35	775.05	679.29	947.83	1457.23	1167.14	201.25	339.14	242.88	295.11	246.28	185.11	189.02	275.28	260.38
C12orf4	154.42	295.11	269.6	371.22	299.25	204.07	209.84	303.44	162.14	193.01	79.45	220.32	180.02	169.07	193.01	208.38	137.14	221.86	169.07	155.5	497.0	267.73	57.08	81.14	94.67	51.35	44.57	57.89	59.55	87.65	72.01
CALCRL	187.71	928.3	713.11	775.05	555.41	171.45	1051.79	988.12	251.48	1151.06	71.5	348.71	249.73	432.53	473.41	303.44	414.87	285.03	336.79	269.6	878.17	620.67	127.0	115.16	71.5	81.71	25.17	23.42	177.53	36.79	22.92
CEP170	256.78	647.07	591.22	890.44	629.35	241.19	511.0	438.59	392.44	318.57	123.5	361.04	318.57	579.04	409.15	532.74	432.53	371.22	387.02	454.09	1183.45	624.99	129.69	90.77	164.42	123.5	97.36	104.42	114.36	156.59	99.43
CLN8	199.85	234.57	226.54	351.14	256.78	124.37	194.36	242.88	316.37	194.36	223.41	265.87	275.28	231.32	232.94	119.26	105.89	231.32	87.65	289.02	579.04	426.57	44.25	100.83	47.5	90.14	90.77	63.45	56.68	88.88	41.22
CPVL	93.35	802.41	813.63	603.67	890.44	389.72	536.45	397.93	460.44	98.73	63.45	193.01	249.73	214.27	426.57	571.05	567.1	417.77	403.5	406.31	769.69	518.15	197.09	100.83	117.6	195.72	137.14	79.45	323.03	232.94	473.41
CSGALNACT2	194.36	518.15	381.68	684.02	457.25	234.57	571.05	373.81	283.05	236.21	108.14	279.14	154.42	246.28	438.59	551.56	316.37	303.44	262.2	420.68	698.41	318.57	99.43	140.04	102.25	92.05	94.67	74.58	76.71	69.03	146.03
CTTNBP2NL	127.89	384.34	258.57	493.56	480.04	117.6	444.72	287.01	242.88	256.78	71.0	265.87	161.02	209.84	236.21	366.09	165.57	339.14	231.32	323.03	555.41	547.75	25.35	26.47	16.51	29.27	14.78	12.27	26.86	18.29	19.53
CYLD	193.01	591.22	679.29	656.11	624.99	348.71	463.65	1119.56	267.73	503.95	123.5	896.64	289.02	164.42	368.65	599.49	297.17	540.19	351.14	258.57	836.53	651.58	164.42	134.3	186.4	150.17	175.07	147.06	197.09	173.85	262.2
DDR2	97.36	674.59	277.2	273.37	791.35	40.07	825.0	281.09	175.07	265.87	16.88	131.51	43.32	151.22	186.4	295.11	155.5	239.52	114.36	231.32	2255.7	780.44	12.83	13.52	20.41	14.14	7.46	6.78	13.12	10.08	12.27
DFNA5	97.36	177.53	275.28	205.5	283.05	68.55	291.04	127.89	93.35	112.77	26.86	108.9	28.65	152.28	145.02	417.77	81.71	239.52	78.89	189.02	201.25	181.28	147.06	95.34	6.06	26.1	10.88	68.07	7.06	11.3	7.22
DOCK11	30.34	217.27	153.34	358.54	194.36	43.63	180.02	96.68	58.3	72.01	7.0	47.84	34.02	58.71	88.88	140.04	120.94	116.78	88.88	72.52	307.69	251.48	6.46	4.31	2.89	12.45	39.79	11.91	10.47	6.06	7.4
DSE	123.5	540.19	320.8	429.54	629.35	93.35	830.75	395.18	161.02	171.45	46.5	202.66	90.77	121.79	343.89	366.09	241.19	444.72	152.28	348.71	295.11	234.57	18.43	14.78	36.79	29.7	7.94	19.97	25.35	18.7	24.11
ELK3	339.14	1457.23	616.37	775.05	1437.15	299.25	1331.57	825.0	497.0	684.02	191.67	575.03	412.0	414.87	599.49	679.29	679.29	759.08	470.14	567.1	2271.4	1572.76	117.6	103.69	30.78	135.24	17.64	40.93	103.69	65.72	36.27
FCHSD2	187.71	532.74	429.54	616.37	514.56	128.79	397.93	429.54	325.29	323.03	120.1	414.87	237.86	281.09	346.29	381.68	397.93	341.51	651.58	358.54	703.28	595.34	85.82	81.14	70.51	146.03	55.1	71.0	111.99	94.01	115.16
FNIP2	127.0	305.55	256.78	890.44	417.77	71.5	285.03	157.68	232.94	149.12	24.11	122.64	100.13	143.01	199.85	191.67	253.23	463.65	165.57	164.42	1208.34	551.56	31.9	69.03	104.42	128.79	85.22	46.18	44.25	55.89	133.36
GAS2L3	23.59	148.09	85.82	136.19	77.25	31.22	51.71	30.78	92.05	35.25	6.21	62.12	23.42	117.6	102.97	99.43	70.51	127.0	48.52	82.87	435.55	126.12	12.0	11.04	9.06	16.88	17.9	19.25	10.79	17.13	5.87
GNB4	55.89	420.68	327.56	480.04	674.59	42.41	432.53	260.38	193.01	88.88	11.55	111.99	57.49	113.56	198.47	674.59	124.37	503.95	178.77	159.9	647.07	417.77	5.73	7.57	2.81	4.54	2.76	2.25	6.16	3.06	2.76
GPR4	88.88	403.5	198.47	183.82	205.5	158.79	397.93	199.85	101.54	460.44	34.26	110.43	66.65	173.85	191.67	205.5	74.06	186.4	165.57	145.02	450.94	221.86	59.97	94.67	30.56	90.77	24.63	29.7	59.97	38.67	38.12
GYPE	3.53	25.91	5.28	12.45	12.0	2.86	9.13	10.96	6.31	11.13	1.71	2.66	2.86	6.36	6.31	6.36	10.24	8.19	3.03	3.96	17.64	9.2	0.95	0.55	0.0	0.99	0.0	0.0	2.53	0.0	2.43
HDGFRP3	493.56	1044.52	941.27	1051.79	1417.35	733.19	660.68	753.83	647.07	808.0	287.01	1088.92	848.22	1250.98	796.86	285.03	947.83	336.79	723.08	1551.09	2075.59	830.75	26.67	22.26	12.27	25.91	7.51	8.78	29.06	9.34	19.39
HECW2	24.81	120.94	70.51	104.42	70.51	36.01	180.02	157.68	43.02	255.0	9.27	58.71	19.68	112.77	62.56	73.03	41.22	28.45	53.95	52.45	165.57	90.77	23.25	14.78	15.22	12.0	4.94	4.21	21.16	4.43	5.28
HIAT1	497.0	1066.48	638.15	909.17	954.43	476.71	723.08	1066.48	819.3	607.87	470.14	753.83	651.58	665.29	514.56	629.35	571.05	1066.48	848.22	934.76	1662.49	1096.5	211.31	226.54	406.31	295.11	323.03	314.17	183.82	190.34	262.2
ITGA4	16.63	226.54	220.32	220.32	180.02	62.12	180.02	176.29	105.15	75.11	12.09	74.06	42.41	50.27	183.82	256.78	89.51	307.69	107.38	80.57	76.17	155.5	8.58	5.59	3.69	10.08	2.89	2.29	18.29	7.11	13.83
KCTD10	454.09	1066.48	748.61	890.44	1572.76	384.34	1268.46	703.28	633.73	633.73	273.37	536.45	525.39	497.0	836.53	743.43	363.56	1030.12	651.58	728.11	1769.57	1331.57	172.65	218.79	178.77	156.59	94.01	113.56	186.4	153.34	138.1
KCTD12	373.81	1639.59	915.51	854.13	1832.01	209.84	796.86	836.53	514.56	395.18	74.06	356.05	232.94	289.02	426.57	579.04	796.86	1051.79	348.71	656.11	4639.29	2777.33	39.5	53.95	10.16	59.55	7.88	10.39	72.01	29.27	23.08
KIAA0247	559.28	1030.12	785.88	1268.46	785.88	684.02	1037.29	934.76	1088.92	743.43	447.82	836.53	743.43	723.08	1286.18	1350.18	599.49	1529.73	674.59	759.08	1059.11	961.07	104.42	100.13	120.94	117.6	111.21	169.07	109.66	98.73	172.65
LACC1	63.89	152.28	171.45	232.94	122.64	108.14	201.25	74.58	78.89	62.56	10.55	52.45	104.42	80.57	131.51	187.71	39.5	166.73	52.08	108.14	123.5	234.57	34.51	39.79	16.63	46.84	25.54	23.42	32.82	37.32	37.85
LIMS1	368.65	1359.57	902.89	2720.15	1268.46	420.68	1216.75	791.35	995.0	543.96	170.25	708.18	473.41	551.56	796.86	1159.07	583.07	1199.98	728.11	1037.29	2287.2	1769.57	209.84	153.34	363.56	119.26	162.14	195.72	256.78	125.24	112.77
LIMS3L	14.35	45.21	24.28	52.82	20.41	8.85	43.94	13.32	34.26	19.82	3.96	15.68	12.64	12.74	31.0	41.22	5.73	30.12	9.41	34.02	38.4	71.0	2.61	2.68	8.32	1.87	2.78	3.0	1.75	0.51	0.0
MAP1A	31.67	154.42	52.45	432.53	287.01	22.26	305.55	71.5	73.54	71.0	8.51	45.85	8.65	61.68	103.69	66.18	26.86	61.25	34.75	111.99	163.28	88.26	3.06	6.26	0.61	2.34	1.36	1.46	3.32	1.91	1.73
MB21D1	23.93	74.58	80.57	120.1	75.64	49.56	55.49	37.32	53.57	32.59	43.32	50.63	40.93	87.03	87.03	57.89	81.14	93.35	46.5	26.67	141.02	66.65	5.96	6.52	2.27	7.4	1.45	3.2	8.38	8.85	13.52
MDFIC	205.5	595.34	555.41	1001.93	543.96	205.5	785.88	246.28	307.69	279.14	36.01	287.01	234.57	256.78	323.03	384.34	334.46	603.67	80.01	334.46	1417.35	842.36	201.25	107.38	29.7	159.9	7.22	132.44	199.85	39.22	21.94
MEF2A	473.41	860.08	563.18	753.83	1001.93	332.14	624.99	493.56	480.04	457.25	167.9	343.89	239.52	417.77	532.74	890.44	441.64	718.08	397.93	669.92	1242.34	1037.29	107.38	131.51	127.0	152.28	115.97	111.99	119.26	104.42	137.14
MITF	41.22	253.23	151.22	473.41	251.48	58.71	329.84	122.64	111.21	90.77	78.34	162.14	28.45	90.77	119.26	249.73	151.22	117.6	34.51	194.36	221.86	327.56	9.34	10.79	3.23	14.78	17.25	5.45	7.17	17.64	10.47
MSANTD3	197.09	358.54	327.56	884.29	466.88	255.0	563.18	197.09	327.56	204.07	90.14	217.27	303.44	329.84	423.61	329.84	234.57	289.02	215.77	376.41	1001.93	289.02	180.02	189.02	169.07	244.57	155.5	178.77	118.43	211.31	167.9
MTMR2	205.5	426.57	314.17	656.11	511.0	167.9	848.22	289.02	183.82	239.52	50.27	251.48	224.97	271.48	267.73	303.44	182.55	412.0	71.5	285.03	909.17	684.02	29.27	50.27	20.41	46.84	37.59	10.79	42.41	40.93	14.14
MYO10	206.94	305.55	258.57	412.0	384.34	73.03	412.0	291.04	271.48	406.31	148.09	366.09	244.57	206.94	149.12	723.08	72.01	348.71	126.12	231.32	429.54	563.18	26.28	13.72	10.55	16.27	7.06	7.94	21.32	7.4	17.64
MYO5A	88.88	262.2	198.47	579.04	258.57	134.3	208.38	121.79	220.32	138.1	17.51	115.16	145.02	218.79	269.6	189.02	159.9	239.52	147.06	187.71	242.88	273.37	24.11	53.19	26.86	34.02	9.34	10.88	14.14	40.36	53.95
NTRK3	74.06	733.19	63.45	813.63	123.5	4.17	48.87	41.52	143.01	38.95	7.51	18.56	2.51	26.67	11.64	6.01	48.52	209.84	17.51	6.57	78.34	190.34	0.0	3.26	0.0	2.84	0.8	0.0	3.53	0.75	2.12
PAQR8	38.12	111.21	130.6	56.28	102.25	64.8	116.78	108.9	48.18	112.77	17.0	84.63	30.34	34.51	51.71	67.12	76.17	189.02	48.52	67.59	176.29	99.43	18.43	7.46	2.43	11.21	2.73	4.78	17.51	7.28	5.77
PCDH17	27.25	214.27	73.03	154.42	97.36	36.27	107.38	78.34	34.26	102.97	6.01	55.89	31.0	54.72	118.43	90.14	38.4	59.13	75.64	62.12	135.24	31.45	13.42	22.26	6.78	20.11	4.74	4.43	27.44	4.24	5.68
PIGK	466.88	902.89	738.29	1059.11	848.22	612.11	928.3	974.5	332.14	703.28	669.92	860.08	665.29	967.76	231.32	624.99	819.3	995.0	543.96	808.0	854.13	1350.18	312.0	195.72	273.37	273.37	638.15	271.48	379.04	186.4	220.32
PIK3CG	4.98	88.88	92.05	170.25	72.52	18.7	43.94	62.56	34.51	18.97	3.56	37.85	17.25	15.11	48.18	92.7	43.94	466.88	37.59	22.43	16.15	98.73	2.76	1.08	2.61	2.18	0.33	1.41	5.87	1.45	2.56
PIP4K2A	178.77	660.68	454.09	595.34	693.58	351.14	525.39	507.46	412.0	260.38	132.44	320.8	264.03	251.48	180.02	476.71	264.03	389.72	214.27	255.0	571.05	470.14	97.36	116.78	61.68	127.0	145.02	66.65	118.43	100.83	124.37
PLCB4	88.26	129.69	265.87	209.84	529.06	193.01	142.01	169.07	120.94	71.0	2.81	158.79	417.77	52.82	13.62	209.84	53.95	86.43	228.13	244.57	718.08	651.58	1.77	8.0	0.93	5.41	0.92	2.16	1.33	1.5	1.28
PLEKHA2	112.77	320.8	376.41	633.73	583.07	190.34	358.54	186.4	242.88	144.01	23.25	231.32	228.13	104.42	277.2	267.73	231.32	426.57	122.64	215.77	420.68	559.28	46.5	19.25	10.55	25.72	7.82	11.47	31.45	27.25	17.0
PLEKHO2	209.84	490.14	583.07	1151.06	693.58	368.65	529.06	334.46	329.84	316.37	164.42	271.48	195.72	285.03	603.67	412.0	486.75	518.15	291.04	301.33	1104.13	607.87	113.56	89.51	33.78	148.09	27.64	30.78	93.35	53.57	61.68
PRTG	14.14	25.17	13.03	11.38	34.02	1.97	18.7	33.06	21.78	13.03	1.75	5.92	0.69	19.97	3.72	7.11	2.73	11.55	2.76	6.41	39.5	32.36	0.99	1.81	0.56	1.83	0.55	0.58	0.57	0.51	0.0
PTPN12	1030.12	1437.15	1407.55	2627.46	1225.22	872.1	1662.49	1447.15	988.12	1183.45	669.92	1331.57	785.88	1015.93	1225.22	2451.44	1167.14	1199.98	688.78	1268.46	2555.58	1561.89	334.46	303.44	217.27	149.12	166.73	301.33	193.01	275.28	223.41
QKI	358.54	1313.23	764.36	1216.75	1529.73	201.25	1745.2	830.75	583.07	684.02	75.64	429.54	373.81	447.82	493.56	967.76	454.09	1175.27	327.56	624.99	3874.05	2178.83	228.13	162.14	332.14	194.36	137.14	123.5	173.85	176.29	447.82
RALB	769.69	1508.65	1331.57	1617.0	1617.0	688.78	1397.83	1151.06	1081.39	1397.83	633.73	1208.34	444.72	884.29	1498.22	1529.73	1037.29	1923.14	629.35	1199.98	1991.0	1936.53	283.05	389.72	151.22	336.79	327.56	231.32	273.37	329.84	273.37
RAP1A	1159.07	1909.85	1896.65	2434.5	1857.6	1397.83	2163.77	1685.71	1313.23	1457.23	947.83	1832.01	1794.29	1286.18	1447.15	2255.7	1794.29	2351.53	1477.58	2434.5	2739.08	1950.0	808.0	954.43	780.44	1216.75	1081.39	1119.56	995.0	830.75	775.05
RAP2B	116.78	236.21	236.21	249.73	221.86	214.27	258.57	145.02	165.57	114.36	77.25	125.24	108.14	106.63	181.28	232.94	136.19	281.09	185.11	212.78	353.59	205.5	58.71	48.18	23.42	59.55	53.57	39.5	76.71	45.53	88.26
RASSF2	61.68	387.02	281.09	316.37	381.68	105.89	409.15	201.25	130.6	156.59	32.36	95.34	48.18	105.89	137.14	205.5	129.69	173.85	112.77	159.9	301.33	166.73	19.53	11.38	7.22	21.47	5.96	6.01	33.06	10.88	24.81
RFTN2	33.78	109.66	33.54	279.14	90.77	14.14	170.25	44.89	34.75	41.52	10.63	43.63	17.25	51.71	35.25	66.65	31.45	34.02	19.53	65.26	121.79	127.89	35.0	7.34	3.53	10.24	2.73	4.5	13.03	2.14	4.5
RNF19B	312.0	514.56	480.04	1066.48	483.38	457.25	525.39	426.57	343.89	287.01	283.05	301.33	381.68	435.55	529.06	497.0	351.14	753.83	246.28	536.45	1111.82	547.75	125.24	187.71	96.01	141.02	85.22	185.11	63.0	166.73	182.55
RP2	95.34	312.0	348.71	358.54	228.13	105.89	305.55	309.83	166.73	193.01	65.72	215.77	111.21	132.44	236.21	165.57	99.43	212.78	181.28	182.55	249.73	366.09	33.06	62.56	31.67	52.08	32.36	45.21	70.51	42.11	47.5
RPS6KA2	229.72	381.68	264.03	607.87	595.34	74.06	796.86	285.03	307.69	314.17	139.07	105.89	167.9	400.71	182.55	332.14	136.19	231.32	397.93	211.31	256.78	348.71	147.06	111.21	17.64	63.0	16.15	76.71	76.71	71.0	36.79
SCGB2A2	649962.87	269512.87	1800541.22	365622.68	215898.44	978355.0	857631.47	1318073.06	1238359.56	1788103.97	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	1524599.69	8805660.77	1345768.59	1578364.61	1187913.85	1442359.14	731246.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEP15	4239.45	7180.15	6652.97	7230.1	6652.97	4066.71	7857.29	6607.01	6471.02	4972.34	7433.4	5831.91	6381.92	5076.84	3982.99	5041.77	4903.87	8247.98	4328.55	7695.57	8022.41	7230.1	2956.17	3103.19	3325.99	4736.79	4607.24	3018.3	4066.71	3081.75	3395.89
SGTB	34.51	92.05	115.97	246.28	115.97	32.59	102.97	56.68	100.83	33.78	7.4	32.36	36.79	43.94	84.63	72.01	62.12	74.58	74.06	60.82	194.36	120.94	12.55	20.86	32.36	20.71	31.67	24.11	19.97	38.12	19.82
SLFN11	108.14	551.56	1127.35	356.05	733.19	115.97	603.67	281.09	201.25	208.38	18.43	128.79	65.72	156.59	351.14	486.75	228.13	441.64	104.42	172.65	988.12	529.06	27.25	34.02	23.25	36.53	7.46	12.27	44.89	15.11	14.45
SLFN5	137.14	403.5	665.29	540.19	583.07	285.03	409.15	226.54	332.14	279.14	65.26	291.04	120.1	291.04	236.21	563.18	97.36	429.54	105.89	94.01	1151.06	507.46	41.81	40.64	46.18	96.01	61.68	43.02	31.0	48.52	130.6
SMAD1	285.03	723.08	656.11	796.86	796.86	633.73	620.67	612.11	500.46	497.0	190.34	656.11	305.55	480.04	540.19	1388.16	423.61	466.88	532.74	595.34	791.35	1304.15	162.14	119.26	186.4	80.57	59.55	164.42	88.26	70.51	165.57
SRGAP2	486.75	988.12	447.82	708.18	1199.98	356.05	954.43	463.65	616.37	629.35	303.44	567.1	260.38	802.41	1135.2	796.86	693.58	1088.92	540.19	796.86	1199.98	830.75	638.15	153.34	50.27	211.31	185.11	177.53	392.44	500.46	83.45
ST8SIA4	27.05	158.79	164.42	204.07	94.01	70.01	109.66	101.54	52.08	102.25	9.85	62.56	36.79	43.94	123.5	132.44	94.67	120.94	56.68	67.12	356.05	94.67	10.55	7.4	6.46	15.11	2.14	3.38	15.91	6.57	7.57
SUSD1	105.15	163.28	131.51	234.57	264.03	95.34	148.09	94.67	108.14	134.3	40.64	135.24	146.03	143.01	95.34	139.07	65.26	316.37	122.64	115.97	193.01	253.23	41.81	55.1	7.94	91.41	38.4	38.12	11.13	13.42	18.03
SYT11	48.18	246.28	162.14	124.37	241.19	43.94	251.48	142.01	69.03	146.03	24.46	93.35	43.63	68.07	126.12	142.01	80.01	120.94	74.58	92.05	336.79	115.97	12.55	17.25	4.24	13.83	6.89	8.19	21.94	7.75	8.58
TEX10	204.07	314.17	269.6	483.38	358.54	199.85	309.83	316.37	232.94	194.36	86.43	228.13	295.11	264.03	237.86	336.79	244.57	244.57	242.88	182.55	406.31	438.59	76.17	104.42	150.17	88.88	61.68	138.1	107.38	133.36	120.1
TLR4	62.56	334.46	255.0	267.73	305.55	80.01	226.54	181.28	133.36	73.54	14.67	103.69	61.25	59.97	211.31	231.32	206.94	444.72	94.01	81.14	366.09	287.01	18.84	11.3	15.22	24.11	10.16	12.64	33.06	9.7	10.47
TMEM167B	543.96	1135.2	698.41	1104.13	1183.45	540.19	1044.52	1313.23	825.0	738.29	595.34	1066.48	1151.06	638.15	1111.82	819.3	708.18	808.0	872.1	780.44	1529.73	1407.55	285.03	299.25	348.71	264.03	309.83	283.05	198.47	193.01	204.07
TMTC1	100.83	460.44	134.3	89.51	447.82	18.84	131.51	90.77	94.01	84.04	14.89	42.11	53.95	190.34	41.52	81.14	346.29	49.91	1233.75	27.25	854.13	638.15	50.98	17.25	12.0	22.43	8.99	17.13	35.0	24.99	3.26
TNFRSF10A	130.6	231.32	241.19	279.14	151.22	143.01	59.13	191.67	141.02	92.05	135.24	105.15	191.67	180.02	223.41	283.05	204.07	277.2	262.2	201.25	429.54	291.04	29.7	109.66	59.55	58.71	53.95	3.2	24.99	59.97	51.71
TRANK1	97.36	551.56	353.59	493.56	334.46	214.27	457.25	395.18	165.57	287.01	45.53	256.78	99.43	193.01	718.08	435.55	231.32	269.6	190.34	94.01	341.51	295.11	84.63	56.68	25.54	76.17	35.0	109.66	37.85	25.91	100.13
UBLCP1	463.65	599.49	733.19	825.0	629.35	432.53	575.03	536.45	303.44	435.55	271.48	438.59	348.71	312.0	363.56	595.34	503.95	432.53	356.05	532.74	688.78	679.29	220.32	255.0	246.28	251.48	232.94	193.01	264.03	429.54	253.23
VGLL4	961.07	1628.26	1143.1	1233.75	1857.6	587.13	2004.85	1127.35	1151.06	884.29	607.87	1183.45	902.89	848.22	1388.16	1572.76	791.35	1331.57	738.29	1529.73	1437.15	1572.76	336.79	255.0	177.53	195.72	166.73	167.9	198.47	229.72	194.36
WIPF1	229.72	1151.06	872.1	1540.37	1015.93	514.56	1313.23	656.11	403.5	309.83	55.1	356.05	220.32	303.44	753.83	995.0	540.19	1175.27	287.01	656.11	1286.18	1340.84	53.95	41.22	24.81	91.41	14.35	12.64	133.36	52.08	66.18
ZEB2	148.09	728.11	301.33	764.36	785.88	149.12	698.41	301.33	295.11	279.14	52.08	150.17	63.0	158.79	432.53	348.71	327.56	348.71	166.73	269.6	1819.35	698.41	38.67	41.52	18.97	56.68	12.45	17.64	108.14	36.01	40.07
