	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
AP4S1	48.52	125.24	256.78	93.35	69.03	84.63	72.52	35.0	66.18	59.97	81.14	62.56	77.25	146.03	59.13	74.06	80.01	53.95	82.87	214.27	87.65	40.36	52.45	164.42	72.01	67.59	177.53	139.07	67.59	137.14	42.41	32.13	103.69	98.73	116.78	38.4	100.13	34.75	63.0	44.89	62.12	79.45	46.84	53.57	59.55	101.54	55.1	91.41	57.08	140.04	62.56	94.67	87.65	58.71	93.35	43.63	45.21	57.49	27.25	197.09	66.18	59.97	51.71	81.71	177.53	64.8	58.71	60.39	99.43	118.43	53.95	45.21	115.97	47.17	44.25	77.25	67.12	41.52	43.94	125.24	112.77	49.56	80.01	56.68	82.87	125.24	165.57	94.67	85.82	115.16	38.95	154.42	59.97	39.79	237.86	291.04
ARHGEF26	17.9	872.1	4671.57	30.12	66.65	125.24	115.16	34.26	23.93	48.18	100.83	107.38	108.14	281.09	223.41	221.86	150.17	36.79	112.77	307.69	41.22	59.13	78.34	454.09	100.83	104.42	246.28	287.01	98.73	256.78	27.05	56.68	193.01	454.09	343.89	36.53	412.0	48.52	145.02	39.5	48.18	112.77	42.71	59.97	55.49	232.94	40.93	224.97	43.02	363.56	130.6	63.0	193.01	63.0	173.85	45.53	31.45	34.26	43.63	429.54	48.52	139.07	35.0	88.88	273.37	48.18	31.9	88.26	186.4	353.59	53.57	43.63	212.78	43.02	73.03	108.9	41.81	49.56	48.87	285.03	336.79	47.17	187.71	194.36	126.12	267.73	379.04	158.79	332.14	267.73	33.78	563.18	61.68	30.56	1745.2	1208.34
ARHGEF6	49.21	267.73	346.29	121.79	93.35	150.17	125.24	102.25	43.63	74.58	169.07	122.64	104.42	336.79	106.63	131.51	84.04	82.87	125.24	733.19	106.63	114.36	52.82	466.88	64.8	84.63	473.41	197.09	65.26	133.36	19.39	78.34	71.5	163.28	248.0	65.26	161.02	46.18	119.26	100.13	63.89	105.89	36.27	84.04	104.42	150.17	65.26	139.07	102.25	185.11	157.68	193.01	165.57	80.57	129.69	72.52	78.34	57.89	39.22	563.18	89.51	85.82	60.82	75.11	171.45	82.29	93.35	101.54	102.97	181.28	55.1	44.25	136.19	70.01	59.13	195.72	75.11	151.22	54.33	277.2	202.66	55.49	89.51	129.69	77.25	244.57	371.22	224.97	147.06	660.68	134.3	323.03	88.88	53.19	395.18	395.18
ARMCX1	30.78	511.0	1397.83	132.44	97.36	206.94	128.79	96.01	44.25	85.22	153.34	115.16	208.38	555.41	172.65	234.57	130.6	63.89	204.07	559.28	86.43	98.04	72.52	693.58	124.37	139.07	660.68	483.38	92.05	175.07	43.32	75.11	125.24	283.05	358.54	65.72	256.78	57.08	170.25	70.01	64.34	163.28	47.17	108.9	68.55	195.72	49.56	275.28	86.43	339.14	167.9	148.09	208.38	110.43	231.32	73.03	50.63	84.04	52.82	521.76	67.12	117.6	48.87	91.41	417.77	62.56	89.51	138.1	175.07	329.84	61.25	58.3	241.19	34.75	83.45	253.23	83.45	98.04	57.08	460.44	327.56	76.71	264.03	180.02	142.01	339.14	366.09	255.0	320.8	426.57	59.97	403.5	98.04	50.98	679.29	1331.57
ATF7	389.72	444.72	884.29	351.14	381.68	426.57	392.44	307.69	226.54	379.04	343.89	332.14	371.22	503.95	447.82	473.41	406.31	293.07	371.22	575.03	441.64	314.17	320.8	466.88	348.71	406.31	555.41	476.71	323.03	450.94	186.4	368.65	329.84	480.04	540.19	267.73	426.57	258.57	346.29	291.04	327.56	283.05	381.68	376.41	336.79	429.54	299.25	400.71	312.0	429.54	353.59	376.41	559.28	293.07	412.0	325.29	253.23	312.0	356.05	536.45	384.34	327.56	269.6	314.17	423.61	316.37	339.14	325.29	435.55	466.88	312.0	303.44	309.83	336.79	312.0	336.79	307.69	332.14	309.83	423.61	551.56	395.18	387.02	379.04	417.77	473.41	500.46	518.15	480.04	511.0	299.25	547.75	381.68	265.87	591.22	791.35
ATP6V1G2	6.06	137.14	221.86	17.13	41.52	53.19	38.67	30.12	33.54	24.81	42.41	19.97	45.85	95.34	25.17	40.93	25.17	20.11	32.13	102.25	21.94	26.1	14.56	159.9	31.9	27.25	80.01	76.17	27.25	23.25	9.63	17.38	37.59	61.25	63.45	15.68	50.63	17.25	59.97	21.16	23.93	44.25	13.62	30.78	20.41	44.25	19.39	41.22	15.0	78.89	32.13	27.64	49.91	29.06	29.91	20.11	18.03	23.42	18.7	161.02	21.32	18.97	12.45	18.97	61.25	22.26	21.63	14.89	22.43	75.64	15.56	11.73	43.63	20.71	26.86	27.05	19.11	25.91	16.15	94.01	57.08	16.51	41.52	35.5	35.0	46.5	57.08	72.01	93.35	109.66	26.47	106.63	23.76	13.32	120.1	175.07
BAI3	1.58	48.18	253.23	6.94	12.36	13.72	17.51	5.82	3.59	9.7	9.85	9.85	11.82	62.56	19.82	35.76	9.41	4.1	14.45	96.68	6.11	12.55	9.7	94.01	10.79	20.86	87.65	45.21	12.09	22.59	2.34	10.88	30.78	31.22	53.95	10.63	28.04	6.31	20.86	7.88	8.99	26.86	7.17	11.21	3.79	27.64	3.79	26.67	12.36	55.1	22.43	5.73	16.51	11.82	31.9	5.19	9.13	5.02	3.47	112.77	4.66	18.43	6.67	6.31	23.76	6.36	8.65	10.55	14.03	43.02	8.51	8.06	27.84	10.79	14.03	37.05	5.77	11.64	3.99	36.53	33.06	4.82	18.03	21.01	25.72	41.22	37.59	29.27	44.89	61.25	4.46	62.12	4.62	4.1	118.43	226.54
BOD1	348.71	902.89	1051.79	688.78	429.54	693.58	547.75	591.22	507.46	525.39	785.88	579.04	633.73	967.76	620.67	547.75	543.96	379.04	728.11	785.88	409.15	603.67	432.53	1073.91	718.08	703.28	1175.27	1208.34	547.75	769.69	293.07	483.38	540.19	921.88	679.29	463.65	607.87	463.65	642.59	507.46	567.1	633.73	414.87	480.04	476.71	612.11	429.54	860.08	518.15	718.08	728.11	599.49	656.11	612.11	629.35	555.41	500.46	435.55	642.59	934.76	503.95	579.04	460.44	567.1	753.83	595.34	567.1	555.41	480.04	708.18	295.11	595.34	842.36	381.68	529.06	698.41	503.95	536.45	460.44	866.07	587.13	633.73	769.69	738.29	571.05	825.0	928.3	813.63	941.27	753.83	540.19	928.3	669.92	420.68	1059.11	1066.48
BRAF	121.79	198.47	291.04	148.09	126.12	181.28	157.68	111.99	94.01	129.69	162.14	119.26	157.68	198.47	158.79	140.04	148.09	114.36	147.06	273.37	155.5	137.14	92.05	269.6	128.79	128.79	273.37	195.72	127.89	157.68	88.26	121.79	149.12	169.07	180.02	90.77	139.07	112.77	129.69	143.01	120.94	100.83	126.12	130.6	151.22	150.17	137.14	162.14	128.79	154.42	150.17	177.53	220.32	136.19	152.28	132.44	99.43	108.9	143.01	271.48	122.64	143.01	122.64	129.69	220.32	123.5	130.6	119.26	135.24	190.34	94.01	127.0	189.02	149.12	131.51	155.5	127.89	167.9	94.67	237.86	186.4	120.1	150.17	186.4	137.14	158.79	236.21	232.94	167.9	229.72	121.79	202.66	171.45	98.04	454.09	293.07
BZRAP1	71.0	320.8	476.71	205.5	153.34	241.19	106.63	86.43	43.63	162.14	175.07	156.59	265.87	728.11	185.11	169.07	134.3	67.12	258.57	318.57	59.13	100.83	125.24	629.35	136.19	126.12	872.1	490.14	128.79	256.78	109.66	102.25	194.36	403.5	256.78	68.07	248.0	75.64	208.38	100.13	96.68	140.04	50.63	53.95	118.43	199.85	82.29	115.97	136.19	305.55	316.37	172.65	226.54	94.67	181.28	36.01	87.65	53.95	55.89	890.44	96.68	156.59	47.5	99.43	242.88	65.72	152.28	158.79	120.1	169.07	34.51	128.79	429.54	74.58	82.29	318.57	53.95	138.1	27.64	275.28	178.77	106.63	237.86	182.55	106.63	389.72	718.08	447.82	271.48	571.05	77.79	297.17	191.67	50.63	1350.18	420.68
C11orf63	13.93	63.45	75.11	22.75	10.16	19.68	14.35	16.03	4.43	12.18	33.78	16.88	18.29	79.45	18.03	26.28	11.73	8.25	18.7	85.82	15.45	16.15	10.71	158.79	13.72	23.25	92.7	35.25	5.54	15.8	6.78	14.56	19.11	46.18	71.0	7.94	50.63	14.78	19.97	10.31	11.64	17.0	14.14	17.9	18.29	28.24	5.87	30.56	20.11	59.55	32.13	17.77	48.87	16.63	24.99	15.56	11.55	7.82	13.12	117.6	10.47	8.51	6.36	12.18	45.21	13.03	12.64	18.84	24.99	50.27	4.82	7.75	18.56	8.06	13.93	23.42	10.47	16.15	17.51	44.57	48.52	8.65	24.99	23.59	27.84	36.53	67.59	33.3	44.89	118.43	6.31	47.17	20.71	6.41	135.24	80.57
C20orf194	12.45	217.27	595.34	44.25	38.4	76.17	65.72	36.79	11.47	31.22	57.49	57.89	63.45	239.52	87.65	93.35	49.56	25.54	68.55	205.5	26.47	38.67	31.0	164.42	45.53	60.82	185.11	156.59	45.21	127.89	10.63	27.05	77.25	165.57	148.09	27.64	155.5	18.29	75.11	26.28	24.81	45.53	17.13	34.02	34.51	103.69	30.34	98.73	42.71	198.47	70.01	60.39	105.89	34.51	89.51	26.1	19.82	21.94	13.62	215.77	27.64	68.07	27.05	42.11	158.79	19.11	33.3	55.89	75.64	151.22	23.76	22.1	87.65	22.75	28.04	94.01	24.63	43.02	20.86	141.02	135.24	27.64	79.45	85.22	51.71	130.6	155.5	85.22	156.59	201.25	32.13	209.84	40.36	19.39	559.28	567.1
CACNA2D3	5.02	43.63	94.67	14.78	13.62	19.53	8.99	4.39	4.17	3.35	13.52	14.35	8.58	52.82	9.78	21.32	12.83	3.5	22.43	21.63	2.25	5.11	3.56	70.01	5.54	12.27	46.18	35.25	5.87	14.67	2.18	6.16	9.41	24.99	9.7	5.59	27.84	2.63	9.93	2.29	3.41	9.78	4.06	4.94	4.21	15.45	2.01	16.51	7.88	29.91	15.68	6.57	17.9	4.13	18.29	8.85	1.83	6.89	0.41	44.57	1.35	8.32	1.81	3.72	24.99	3.63	7.82	2.86	12.83	20.41	6.73	5.02	17.38	4.74	6.73	9.27	3.99	4.98	4.21	24.28	21.78	4.62	16.63	10.31	12.64	37.05	41.52	16.75	17.9	20.26	2.73	33.78	3.06	2.51	50.98	88.26
CASP12	0.0	12.09	30.12	6.89	4.58	7.69	9.78	1.75	4.46	6.78	18.56	4.66	17.64	24.99	8.78	5.15	10.24	0.72	8.25	46.5	3.53	2.63	1.85	48.87	4.39	9.27	47.17	22.1	2.16	9.48	2.39	3.17	4.98	8.38	12.27	2.12	3.59	5.36	7.4	3.92	3.59	11.55	5.19	9.93	8.32	5.19	4.13	10.79	4.58	12.18	5.77	12.74	6.36	4.35	8.45	1.16	1.87	4.7	3.06	35.0	7.46	2.92	1.45	4.1	18.7	4.13	3.86	8.13	3.59	15.11	4.13	2.53	17.77	4.35	6.01	9.56	0.87	4.94	1.0	12.83	13.22	5.5	12.83	10.96	13.32	12.93	21.32	15.56	11.13	29.06	11.55	11.13	3.72	2.07	57.89	56.28
CDH2	4.9	49.91	181.28	6.84	13.32	14.89	11.73	6.94	2.53	2.46	5.5	4.46	12.18	70.51	17.9	29.06	13.42	3.47	11.04	142.01	6.36	7.75	7.0	148.09	9.7	8.32	89.51	34.02	10.63	15.34	2.2	6.31	17.38	23.25	57.08	5.68	42.71	3.41	23.76	6.41	6.21	16.39	4.43	6.46	4.58	26.67	3.0	20.26	6.62	57.49	17.64	5.41	25.54	12.93	21.16	6.36	4.43	4.94	5.32	113.56	6.78	19.39	7.17	10.88	31.22	7.0	3.32	7.46	17.13	43.02	5.23	3.92	14.67	4.74	8.38	28.24	3.96	9.7	5.59	42.41	39.22	3.23	26.47	17.51	19.68	27.64	50.98	29.06	43.94	85.22	3.79	73.03	6.01	3.03	223.41	220.32
