	TCGA.E9.A228.01A.31R.A157.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.BH.A0C7.01B.11R.A115.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07
CCDC64	860.08	334.46	336.79	447.82	583.07	599.49	312.0	521.76	713.11	420.68	8.0	15.56	236.21	2.89	3.47	11.64	40.36	3.2	2.01	35.0	37.05	13.12	13.42	24.46	6.26	12.93	236.21	10.16	39.5	3.03	6.06	8.92	8.65	18.03	15.11	28.86	18.56	40.93	21.94	8.92	2.12	5.06	18.97	25.72	17.64	17.25	35.25	0.0
CDYL2	733.19	389.72	314.17	273.37	264.03	143.01	379.04	202.66	183.82	281.09	34.75	82.87	191.67	31.0	76.17	103.69	108.14	77.25	100.83	123.5	198.47	78.89	81.71	120.94	84.04	108.14	191.67	47.5	87.65	78.34	104.42	52.45	169.07	149.12	131.51	138.1	85.22	140.04	90.77	249.73	42.41	470.14	117.6	162.14	110.43	81.71	103.69	0.0
DLG3	2816.11	1044.52	1286.18	753.83	872.1	1059.11	1081.39	1733.13	1304.15	1088.92	77.25	182.55	397.93	63.89	59.13	102.97	567.1	47.84	37.05	511.0	642.59	87.65	143.01	346.29	64.34	41.52	397.93	157.68	642.59	56.68	55.49	41.81	242.88	271.48	129.69	195.72	348.71	540.19	198.47	48.18	80.01	94.67	231.32	279.14	323.03	285.03	281.09	0.0
DNMT1	1697.45	1467.37	1651.0	1651.0	1757.34	1127.35	1183.45	1487.87	3190.46	1467.37	450.94	514.56	624.99	244.57	341.51	361.04	791.35	438.59	256.78	796.86	921.88	314.17	429.54	486.75	703.28	379.04	624.99	341.51	890.44	444.72	420.68	325.29	450.94	559.28	348.71	555.41	1073.91	934.76	808.0	529.06	242.88	279.14	665.29	708.18	1073.91	909.17	775.05	0.0
ELMO3	995.0	480.04	738.29	470.14	409.15	633.73	301.33	848.22	403.5	403.5	9.34	49.21	165.57	11.47	10.16	16.15	271.48	7.75	6.94	166.73	228.13	15.91	56.28	140.04	10.16	8.78	165.57	55.1	218.79	11.91	24.46	17.51	90.77	88.88	29.7	44.57	87.65	307.69	36.01	35.0	31.45	22.1	52.08	171.45	140.04	30.34	202.66	0.0
EPN3	866.07	463.65	2720.15	555.41	567.1	836.53	490.14	521.76	1208.34	909.17	0.26	35.0	190.34	0.59	2.32	8.65	291.04	0.66	0.29	221.86	226.54	7.4	46.84	224.97	1.64	4.46	190.34	45.53	182.55	4.74	10.55	0.67	70.01	92.05	8.99	6.01	54.33	309.83	13.32	6.78	24.99	9.41	34.75	70.51	96.01	14.56	98.73	0.0
F7	108.9	31.9	49.56	18.43	36.79	133.36	68.55	124.37	187.71	68.55	5.73	6.62	15.8	5.63	3.41	1.23	17.51	0.0	0.42	24.99	14.03	2.39	10.08	5.92	5.77	2.81	15.8	1.35	6.78	3.79	2.03	2.43	1.85	61.25	9.41	0.78	2.78	27.64	9.85	0.0	1.01	0.0	0.05	13.83	0.48	9.13	7.0	0.0
FAAH	1896.65	571.05	414.87	872.1	555.41	1159.07	669.92	825.0	547.75	884.29	135.24	214.27	366.09	299.25	193.01	239.52	376.41	130.6	265.87	486.75	409.15	264.03	217.27	309.83	166.73	190.34	366.09	269.6	368.65	165.57	253.23	260.38	208.38	281.09	320.8	197.09	157.68	551.56	303.44	224.97	215.77	518.15	389.72	223.41	206.94	66.18	334.46	0.0
FABP4	1407.55	242.88	289.02	1143.1	988.12	567.1	35.5	547.75	1883.54	48.18	313910.86	228208.61	103551.29	365622.68	253213.41	322736.12	92680.9	386469.83	394590.4	134755.94	104996.83	258533.99	348306.01	279017.26	327241.36	358098.26	103551.29	370726.6	81244.48	489177.0	292889.12	273275.14	447025.24	716197.51	602247.76	345900.08	282912.21	130165.62	327241.36	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	394590.4	636586.81	0.0
FAM222A	201.25	115.97	52.82	275.28	211.31	151.22	44.25	80.57	78.89	148.09	7.51	19.97	68.55	7.46	13.93	5.15	66.65	12.45	8.58	63.89	76.17	8.65	19.11	45.53	5.45	9.2	68.55	19.97	59.55	13.03	8.78	30.12	24.99	24.63	19.39	7.88	27.05	68.07	8.92	17.77	18.29	12.93	11.13	31.22	58.3	5.15	7.11	0.0
FAM83H	329.84	599.49	1923.14	1044.52	395.18	1023.0	819.3	1151.06	518.15	1167.14	11.21	51.35	441.64	19.25	28.86	30.56	242.88	5.5	21.01	194.36	215.77	32.59	73.54	165.57	18.97	18.29	441.64	44.89	267.73	29.27	27.64	37.32	175.07	121.79	49.91	82.29	75.64	351.14	78.89	95.34	60.82	50.27	56.28	121.79	246.28	16.27	155.5	0.0
FAM86C1	236.21	218.79	102.25	420.68	218.79	199.85	180.02	172.65	193.01	128.79	88.88	68.55	154.42	75.64	66.65	73.03	118.43	74.58	82.29	129.69	95.34	102.25	83.45	98.73	59.97	51.35	154.42	59.55	120.1	47.17	71.0	58.3	132.44	108.14	108.14	114.36	68.55	198.47	82.87	146.03	125.24	85.22	220.32	90.14	122.64	130.6	92.05	0.0
FKBP4	6516.03	8078.22	12415.75	4903.87	19348.38	4298.64	4836.35	8901.53	5441.3	3768.09	1066.48	902.89	3168.41	1143.1	1059.11	775.05	2303.12	764.36	825.0	2367.9	2193.99	759.08	1313.23	1733.13	878.17	753.83	3168.41	967.76	2047.0	651.58	1037.29	1044.52	1225.22	3443.31	1151.06	1733.13	1721.16	3212.66	1119.56	860.08	1159.07	595.34	2400.97	3716.2	1733.13	1268.46	1088.92	0.0
FOXK2	688.78	713.11	981.29	414.87	1044.52	616.37	718.08	896.64	1037.29	473.41	409.15	366.09	392.44	289.02	351.14	343.89	500.46	348.71	363.56	518.15	620.67	358.54	353.59	435.55	480.04	309.83	392.44	356.05	486.75	325.29	373.81	371.22	287.01	559.28	253.23	327.56	358.54	514.56	325.29	518.15	181.28	269.6	493.56	426.57	559.28	299.25	381.68	0.0
FRAT2	409.15	177.53	309.83	148.09	397.93	281.09	248.0	205.5	389.72	480.04	148.09	58.3	228.13	111.21	46.18	120.94	189.02	78.89	81.14	141.02	258.57	91.41	142.01	117.6	124.37	127.0	228.13	87.65	94.67	87.65	92.7	102.25	132.44	130.6	114.36	119.26	85.82	154.42	173.85	117.6	87.03	153.34	126.12	119.26	140.04	299.25	172.65	0.0
GNMT	87.03	37.05	70.01	45.53	88.88	320.8	7.88	341.51	32.36	134.3	7.28	6.73	21.63	4.98	6.84	8.45	36.01	3.03	0.0	56.28	23.93	3.47	11.73	18.84	1.66	8.92	21.63	6.11	37.05	7.69	0.96	24.11	6.01	1.71	27.44	4.13	10.47	43.63	7.46	5.5	7.11	7.94	0.96	27.25	6.78	13.42	4.43	0.0
GRIN1	6.41	35.76	7.94	20.86	21.32	46.84	18.43	6.36	79.45	40.93	0.0	2.25	14.78	0.0	0.0	0.89	14.14	0.0	0.0	5.06	16.63	2.14	1.87	20.56	0.0	0.0	14.78	4.21	25.35	0.0	0.48	0.0	8.58	3.26	0.0	0.0	2.1	13.22	1.2	0.0	1.06	0.03	0.99	6.16	8.71	0.02	4.06	0.0
GRTP1	312.0	551.56	356.05	521.76	483.38	854.13	507.46	713.11	1417.35	603.67	81.71	106.63	318.57	127.89	126.12	121.79	285.03	88.88	101.54	229.72	307.69	105.15	138.1	258.57	79.45	127.0	318.57	151.22	287.01	127.89	142.01	125.24	109.66	202.66	76.71	106.63	198.47	412.0	63.45	65.26	84.63	101.54	138.1	165.57	201.25	84.63	348.71	0.0
HMGCR	947.83	1135.2	624.99	493.56	511.0	555.41	698.41	665.29	514.56	848.22	206.94	262.2	332.14	121.79	228.13	231.32	486.75	241.19	154.42	341.51	470.14	204.07	220.32	316.37	255.0	170.25	332.14	339.14	521.76	231.32	186.4	165.57	312.0	299.25	341.51	299.25	389.72	500.46	361.04	211.31	212.78	178.77	191.67	186.4	316.37	289.02	536.45	0.0
ILDR1	131.51	363.56	175.07	186.4	194.36	161.02	211.31	242.88	217.27	392.44	0.16	19.97	54.72	0.79	2.51	6.31	94.01	0.19	0.2	105.15	106.63	5.92	12.0	72.01	0.48	0.2	54.72	14.78	87.65	0.97	0.91	0.0	28.24	43.02	6.46	13.22	33.06	97.36	8.78	6.31	7.94	0.0	13.83	54.33	49.21	7.69	74.58	0.0
INPP5J	214.27	325.29	316.37	429.54	128.79	559.28	674.59	368.65	723.08	860.08	9.7	56.28	283.05	17.13	12.74	28.65	647.07	8.51	7.75	186.4	599.49	19.82	43.63	248.0	12.36	12.83	283.05	27.44	638.15	18.29	24.99	12.83	52.82	262.2	12.64	13.83	194.36	316.37	26.28	6.31	19.11	11.73	41.22	134.3	176.29	17.13	85.22	0.0
KIAA1522	480.04	1561.89	1870.53	1447.15	2915.45	2032.85	2434.5	3874.05	1001.93	1427.22	159.9	297.17	961.07	170.25	130.6	190.34	1277.29	138.1	98.04	974.5	1286.18	182.55	320.8	854.13	214.27	103.69	961.07	281.09	1143.1	94.67	197.09	97.36	555.41	616.37	226.54	323.03	507.46	1350.18	363.56	226.54	201.25	258.57	325.29	620.67	718.08	332.14	647.07	0.0
KNTC1	559.28	381.68	251.48	497.0	483.38	320.8	327.56	466.88	647.07	607.87	116.78	125.24	239.52	58.3	99.43	108.14	205.5	202.66	84.04	119.26	231.32	119.26	175.07	172.65	107.38	118.43	239.52	140.04	208.38	141.02	100.83	88.26	202.66	86.43	94.67	231.32	176.29	237.86	111.99	107.38	68.07	133.36	81.14	224.97	167.9	177.53	255.0	0.0
LIG1	1250.98	624.99	723.08	688.78	808.0	748.61	651.58	674.59	796.86	1359.57	115.16	147.06	351.14	85.22	80.01	73.03	454.09	61.25	75.11	264.03	432.53	114.36	125.24	246.28	88.26	111.99	351.14	111.21	476.71	131.51	100.83	116.78	176.29	343.89	134.3	194.36	301.33	435.55	173.85	122.64	113.56	130.6	195.72	301.33	307.69	291.04	334.46	0.0
LRRC14	384.34	395.18	1104.13	555.41	454.09	599.49	559.28	426.57	403.5	684.02	214.27	224.97	361.04	234.57	173.85	191.67	371.22	194.36	187.71	314.17	334.46	167.9	237.86	255.0	218.79	217.27	361.04	218.79	336.79	198.47	220.32	214.27	211.31	303.44	165.57	341.51	273.37	409.15	140.04	158.79	126.12	163.28	387.02	366.09	295.11	228.13	248.0	0.0
MAP6D1	62.12	161.02	156.59	141.02	44.89	55.1	51.35	42.11	84.04	131.51	18.43	22.59	60.82	10.71	10.16	18.7	44.89	24.99	14.14	33.78	31.9	21.63	26.86	20.41	19.25	17.25	60.82	17.0	48.52	22.43	19.11	17.25	33.78	78.34	20.26	20.26	17.64	73.54	52.08	42.41	23.59	45.53	18.56	8.19	138.1	38.12	24.28	0.0
MAST2	525.39	872.1	441.64	660.68	830.75	642.59	547.75	591.22	363.56	848.22	242.88	307.69	303.44	246.28	244.57	242.88	409.15	303.44	241.19	387.02	361.04	256.78	281.09	265.87	460.44	291.04	303.44	267.73	373.81	231.32	224.97	193.01	231.32	332.14	218.79	265.87	497.0	358.54	248.0	234.57	164.42	182.55	255.0	363.56	281.09	397.93	543.96	0.0
MEIS3	819.3	808.0	251.48	387.02	348.71	813.63	860.08	389.72	493.56	688.78	305.55	218.79	414.87	100.13	94.01	65.72	260.38	90.77	96.68	201.25	314.17	126.12	171.45	197.09	162.14	102.97	414.87	120.94	265.87	98.04	74.58	82.29	107.38	125.24	73.03	226.54	217.27	454.09	242.88	120.1	55.49	31.45	256.78	480.04	246.28	158.79	208.38	0.0
MREG	473.41	921.88	780.44	738.29	490.14	1208.34	551.56	1104.13	791.35	825.0	105.15	144.01	325.29	44.89	94.67	107.38	423.61	127.89	100.13	532.74	575.03	82.87	158.79	314.17	84.63	70.01	325.29	107.38	412.0	136.19	81.14	127.89	242.88	563.18	241.19	151.22	150.17	507.46	158.79	139.07	189.02	125.24	98.04	167.9	217.27	71.0	31.9	0.0
MROH1	291.04	166.73	780.44	432.53	579.04	423.61	312.0	551.56	244.57	463.65	100.83	115.16	303.44	81.71	90.77	102.25	244.57	103.69	88.88	218.79	234.57	127.89	123.5	190.34	193.01	151.22	303.44	109.66	215.77	120.1	122.64	87.65	108.14	190.34	64.34	146.03	182.55	189.02	137.14	116.78	83.45	69.52	159.9	206.94	152.28	182.55	205.5	0.0
NCAPD3	656.11	457.25	1437.15	289.02	490.14	575.03	318.57	327.56	463.65	454.09	111.99	161.02	195.72	100.13	228.13	153.34	295.11	183.82	144.01	217.27	318.57	187.71	211.31	237.86	241.19	193.01	195.72	242.88	241.19	236.21	145.02	206.94	157.68	255.0	145.02	137.14	148.09	336.79	185.11	403.5	189.02	86.43	214.27	325.29	232.94	153.34	127.89	0.0
NUP188	571.05	723.08	547.75	647.07	674.59	536.45	529.06	718.08	791.35	708.18	303.44	329.84	420.68	237.86	320.8	441.64	507.46	429.54	285.03	518.15	503.95	476.71	356.05	412.0	567.1	307.69	420.68	309.83	514.56	341.51	323.03	237.86	223.41	435.55	273.37	406.31	486.75	438.59	289.02	507.46	208.38	521.76	490.14	532.74	460.44	518.15	323.03	0.0
NUP210	603.67	490.14	713.11	529.06	1001.93	571.05	409.15	1143.1	1216.75	525.39	24.63	40.07	189.02	5.63	13.62	19.25	187.71	18.29	6.21	165.57	181.28	27.05	43.63	95.34	28.65	22.43	189.02	46.18	165.57	15.22	16.27	6.36	78.34	110.43	26.47	59.13	70.51	198.47	32.13	33.54	28.86	36.79	53.95	87.65	131.51	47.5	26.67	0.0
PGLYRP2	1.66	83.45	24.99	248.0	117.6	470.14	120.1	3.41	7.28	139.07	0.0	6.46	51.35	0.0	0.0	5.77	46.18	0.0	0.0	28.86	14.78	0.0	17.9	49.21	0.37	0.4	51.35	6.36	16.88	0.0	0.39	2.34	12.27	26.47	4.24	0.0	55.1	26.1	0.67	1.2	0.27	1.28	0.0	10.31	71.0	0.0	0.0	0.0
PLEKHD1	185.11	7.63	108.14	148.09	15.68	23.08	41.22	384.34	115.16	71.0	0.41	0.89	38.95	0.0	0.0	0.45	24.28	0.0	0.0	4.06	6.11	0.0	2.63	2.86	0.41	0.45	38.95	0.0	6.52	0.0	0.45	0.45	0.55	9.85	0.0	0.13	1.27	1.93	0.0	2.29	0.0	0.0	1.73	7.69	2.58	1.19	0.08	0.0
POLE	647.07	397.93	420.68	684.02	507.46	665.29	395.18	460.44	476.71	555.41	187.71	236.21	303.44	204.07	193.01	161.02	299.25	151.22	158.79	221.86	343.89	212.78	237.86	320.8	221.86	231.32	303.44	221.86	429.54	249.73	273.37	389.72	215.77	191.67	161.02	241.19	307.69	242.88	217.27	264.03	162.14	186.4	149.12	348.71	329.84	215.77	351.14	0.0
PPP2R3B	177.53	76.17	110.43	156.59	64.34	208.38	87.03	139.07	85.22	181.28	64.34	54.72	63.89	55.1	40.64	31.0	163.28	34.75	27.64	57.89	102.97	60.82	42.41	56.28	48.52	45.53	63.89	79.45	107.38	38.4	27.25	57.08	39.22	95.34	36.01	55.89	101.54	96.01	33.78	26.1	41.52	25.35	53.57	94.67	65.26	72.52	59.13	0.0
RAB3D	466.88	769.69	1388.16	1119.56	612.11	703.28	785.88	1159.07	796.86	785.88	161.02	176.29	346.29	167.9	112.77	176.29	358.54	136.19	116.78	327.56	366.09	144.01	189.02	283.05	147.06	139.07	346.29	180.02	256.78	131.51	138.1	107.38	305.55	441.64	143.01	327.56	346.29	616.37	206.94	94.67	114.36	152.28	198.47	275.28	283.05	264.03	236.21	336.79
RAD54L	293.07	110.43	129.69	236.21	182.55	55.1	87.65	194.36	145.02	191.67	10.55	6.36	32.36	9.7	7.75	4.1	10.88	1.66	3.23	12.83	13.42	10.31	8.65	14.45	12.74	6.89	32.36	11.91	15.56	10.24	2.48	8.13	22.26	24.81	5.87	15.22	26.67	23.25	6.01	2.97	14.56	6.52	1.93	14.14	55.49	9.78	28.24	0.0
RCC2	1369.04	2032.85	2119.22	1950.0	2133.97	1397.83	1651.0	2018.8	1674.06	1561.89	555.41	563.18	954.43	392.44	791.35	366.09	1023.0	417.77	511.0	866.07	890.44	490.14	529.06	669.92	503.95	373.81	954.43	563.18	890.44	366.09	423.61	759.08	525.39	780.44	674.59	651.58	457.25	1096.5	791.35	575.03	406.31	368.65	1111.82	954.43	1001.93	612.11	536.45	909.17
RNF43	1950.0	244.57	547.75	511.0	379.04	351.14	356.05	476.71	1081.39	241.19	0.62	28.24	170.25	3.0	4.39	8.32	275.28	0.68	0.31	146.03	332.14	5.23	34.02	185.11	0.97	1.85	170.25	36.79	271.48	0.74	6.84	0.32	50.98	86.43	10.88	7.34	61.68	281.09	16.88	9.34	7.94	4.46	14.14	103.69	107.38	6.78	60.82	0.0
RP11-123K3.4	13.72	10.47	44.89	9.34	22.26	8.25	21.32	27.64	6.11	14.78	0.0	0.0	6.26	0.0	0.0	0.0	13.03	0.0	0.0	14.45	3.5	0.0	0.83	1.93	1.75	0.0	6.26	0.0	7.69	0.0	1.55	0.0	0.0	3.53	0.0	5.11	4.82	0.0	0.0	7.82	0.0	0.0	0.0	0.0	5.96	0.0	3.14	0.0
RTKN	665.29	775.05	909.17	1806.78	555.41	1183.45	775.05	1051.79	723.08	733.19	171.45	161.02	454.09	144.01	149.12	83.45	426.57	94.67	94.01	312.0	503.95	101.54	175.07	275.28	123.5	105.15	454.09	136.19	473.41	96.68	141.02	117.6	260.38	336.79	171.45	242.88	303.44	536.45	218.79	151.22	98.73	105.89	205.5	312.0	414.87	220.32	301.33	0.0
SFXN5	279.14	500.46	361.04	426.57	343.89	476.71	371.22	890.44	379.04	454.09	80.01	94.67	297.17	79.45	66.18	63.45	145.02	71.0	67.12	103.69	135.24	59.13	59.13	77.25	92.05	74.06	297.17	67.59	129.69	81.71	61.25	43.02	60.39	82.29	53.19	123.5	133.36	197.09	97.36	63.0	62.56	85.22	126.12	150.17	110.43	139.07	133.36	0.0
SLC25A15	521.76	366.09	165.57	205.5	229.72	162.14	183.82	273.37	176.29	145.02	50.63	50.98	167.9	22.75	56.68	54.72	148.09	40.07	71.5	166.73	135.24	39.79	77.25	106.63	51.71	51.71	167.9	78.89	102.97	55.89	63.89	53.19	77.79	52.82	81.14	97.36	63.89	103.69	51.35	142.01	133.36	49.21	91.41	189.02	133.36	43.63	94.01	0.0
SMARCA4	2335.28	2032.85	1745.2	2104.58	2004.85	1936.53	1857.6	2119.22	3303.0	1896.65	603.67	612.11	1096.5	591.22	607.87	591.22	1111.82	642.59	529.06	1030.12	941.27	536.45	633.73	743.43	703.28	587.13	1096.5	525.39	995.0	480.04	665.29	438.59	738.29	860.08	620.67	1208.34	1001.93	1313.23	728.11	738.29	460.44	426.57	896.64	1111.82	1073.91	819.3	748.61	2573.36
SPAG1	171.45	115.97	417.77	126.12	356.05	117.6	145.02	185.11	178.77	244.57	34.02	57.08	127.0	20.26	32.59	46.84	62.56	41.22	31.22	71.5	99.43	46.18	53.95	63.0	35.76	28.86	127.0	46.5	102.97	36.53	37.05	32.82	59.13	289.02	88.26	42.11	131.51	72.52	101.54	24.28	40.07	34.26	64.8	96.01	52.82	115.16	167.9	0.0
