	GTEX.XBEC.1526.SM.4AT68	GTEX.13NZB.0626.SM.5IFH6	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.OHPK.2626.SM.2HMK9	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.XBEW.0126.SM.4AT66
ENSA	1963.57	2061.24	2255.7	3847.29	3443.31	199.85	6699.25	6652.97	5329.3	6745.86	5954.47	5711.87	5255.91	4903.87	5255.91	6294.04	5255.91	6037.61	6745.86	5751.61	6426.31	3467.27	6037.61	5147.73	6207.38	5995.9	5711.87	6471.02	6887.62	5872.48	6471.02	5041.77
FAM69A	151.22	126.12	115.97	75.11	98.73	0.23	239.52	182.55	173.85	185.11	255.0	109.66	110.43	102.97	151.22	224.97	161.02	116.78	74.58	146.03	128.79	145.02	198.47	299.25	198.47	269.6	132.44	232.94	236.21	205.5	242.88	122.64
FEZ2	376.41	379.04	289.02	307.69	161.02	0.55	1127.35	738.29	708.18	796.86	961.07	420.68	703.28	486.75	660.68	842.36	842.36	571.05	759.08	769.69	884.29	532.74	830.75	995.0	753.83	934.76	571.05	759.08	571.05	808.0	563.18	607.87
GNPDA2	71.0	75.11	67.12	28.45	14.45	0.31	514.56	334.46	334.46	397.93	397.93	234.57	341.51	316.37	269.6	353.59	420.68	285.03	303.44	295.11	343.89	262.2	403.5	595.34	381.68	361.04	312.0	384.34	373.81	384.34	368.65	260.38
HSBP1	884.29	775.05	769.69	444.72	669.92	0.73	4328.55	3280.18	2133.97	3303.0	4543.8	2061.24	2163.77	1991.0	2367.9	3146.52	2485.67	2816.11	3874.05	2682.69	4239.45	1639.59	2796.65	3515.68	3982.99	2835.7	2178.83	4038.61	3303.0	2591.27	4481.23	2163.77
LINC00998	441.64	514.56	334.46	105.89	366.09	0.32	2400.97	1467.37	1159.07	1628.26	1909.85	854.13	1096.5	947.83	1023.0	1605.83	1331.57	1199.98	1242.34	1369.04	1662.49	830.75	1437.15	2287.2	1963.57	1781.89	723.08	1674.06	2133.97	1286.18	1551.09	1225.22
LSM5	902.89	902.89	890.44	909.17	674.59	1044.52	1757.34	1183.45	995.0	1388.16	1685.71	808.0	1081.39	1059.11	988.12	1233.75	1295.13	1104.13	1529.73	1111.82	1806.78	974.5	1359.57	2335.28	1832.01	1167.14	928.3	1427.22	1304.15	1242.34	1498.22	1167.14
MED4	423.61	454.09	511.0	518.15	435.55	0.53	1651.0	1286.18	1127.35	1242.34	1457.23	1015.93	1369.04	1159.07	981.29	1225.22	1268.46	1104.13	1191.69	974.5	1268.46	909.17	1313.23	1628.26	1216.75	1066.48	1088.92	1191.69	1268.46	1059.11	1175.27	1096.5
MKKS	332.14	397.93	323.03	381.68	384.34	0.39	813.63	708.18	476.71	620.67	587.13	248.0	351.14	403.5	507.46	624.99	379.04	532.74	417.77	536.45	563.18	363.56	651.58	842.36	733.19	796.86	358.54	656.11	507.46	567.1	612.11	503.95
MORF4L1	1781.89	2485.67	1529.73	2351.53	2777.33	1572.76	9088.59	7485.11	7032.37	7966.99	9151.82	5954.47	5995.9	5791.62	7433.4	7032.37	7433.4	5791.62	6745.86	6935.54	7130.55	3820.7	8840.04	9606.86	8022.41	7032.37	6840.04	5751.61	6294.04	7537.18	6745.86	5147.73
MRPS10	358.54	397.93	447.82	447.82	232.94	363.56	708.18	583.07	551.56	575.03	753.83	373.81	466.88	470.14	480.04	511.0	595.34	543.96	414.87	583.07	713.11	327.56	567.1	1096.5	718.08	624.99	551.56	473.41	633.73	563.18	612.11	511.0
MRPS28	1340.84	1051.79	1268.46	1191.69	1216.75	0.52	1923.14	1909.85	1745.2	1977.24	1769.57	813.63	1519.15	1119.56	1397.83	1745.2	1963.57	1199.98	1015.93	1617.0	1467.37	1208.34	2119.22	1857.6	2287.2	2119.22	1208.34	1857.6	1832.01	1832.01	1359.57	1498.22
NAP1L5	68.07	38.12	26.86	49.21	96.68	0.27	438.59	420.68	206.94	395.18	414.87	309.83	163.28	320.8	307.69	363.56	246.28	329.84	299.25	289.02	376.41	94.01	438.59	529.06	366.09	318.57	206.94	460.44	295.11	346.29	320.8	201.25
NOL7	503.95	624.99	540.19	616.37	470.14	0.61	1745.2	1628.26	1359.57	1950.0	1794.29	981.29	1066.48	1151.06	1277.29	1286.18	1498.22	1350.18	1350.18	1340.84	1437.15	1023.0	1572.76	1936.53	1447.15	1697.45	1225.22	1508.65	1447.15	1437.15	1397.83	1066.48
OCIAD1	2287.2	2400.97	3467.27	2119.22	2287.2	0.78	6250.56	5329.3	4328.55	6337.83	6887.62	3515.68	3768.09	3614.55	3955.48	4419.52	4358.66	4123.49	4607.24	4010.71	5913.33	3235.01	5147.73	7642.41	5006.93	5711.87	3467.27	4481.23	5041.77	4328.55	5112.16	3820.7
PDCD10	256.78	373.81	228.13	435.55	320.8	0.87	1183.45	961.07	902.89	1015.93	1088.92	540.19	780.44	713.11	764.36	764.36	866.07	665.29	775.05	708.18	848.22	595.34	1073.91	1111.82	902.89	988.12	669.92	988.12	1023.0	981.29	896.64	684.02
PDCD2	567.1	417.77	529.06	872.1	567.1	0.65	1286.18	1135.2	1030.12	1030.12	1417.35	1030.12	1127.35	1059.11	1044.52	1119.56	1119.56	1044.52	1313.23	1191.69	1447.15	974.5	1242.34	1551.09	1277.29	1127.35	1044.52	1233.75	1081.39	1059.11	1159.07	890.44
PFN2	368.65	142.01	301.33	137.14	59.55	1.01	6250.56	3443.31	2895.31	4210.15	4769.75	2451.44	2855.44	2163.77	3103.19	3325.99	3018.3	2351.53	2895.31	3146.52	4419.52	1832.01	3820.7	5594.3	4152.18	3716.2	1662.49	3665.02	3847.29	3467.27	3212.66	2303.12
POLR2K	620.67	579.04	420.68	490.14	503.95	0.8	1950.0	1369.04	1191.69	2004.85	2148.82	974.5	1111.82	1088.92	1051.79	1359.57	1457.23	1242.34	1313.23	1437.15	1685.71	896.64	1639.59	2119.22	1639.59	1551.09	1127.35	1331.57	1304.15	1313.23	1709.26	1216.75
PPAP2B	902.89	1340.84	1844.76	8718.32	5711.87	0.27	14561.8	12415.75	10659.59	14163.58	16157.44	3325.99	5403.7	9606.86	10014.87	13399.51	10512.82	8718.32	5292.48	8191.0	7433.4	3928.15	18178.19	18304.63	10959.3	12244.81	7130.55	10959.3	10014.87	15392.14	4239.45	8598.28
PYURF	1111.82	1015.93	1378.57	1135.2	674.59	0.83	2796.65	1594.73	1268.46	1896.65	2895.31	854.13	1175.27	1277.29	1151.06	1551.09	1806.78	1745.2	1950.0	1583.71	2004.85	934.76	1709.26	3257.52	2148.82	1447.15	1529.73	1991.0	1697.45	1467.37	1923.14	1467.37
RAB9A	185.11	312.0	251.48	275.28	409.15	0.69	679.29	591.22	633.73	587.13	743.43	559.28	567.1	447.82	559.28	525.39	718.08	518.15	620.67	651.58	638.15	460.44	743.43	733.19	872.1	607.87	473.41	872.1	679.29	651.58	575.03	507.46
REEP5	1250.98	1331.57	1286.18	1143.1	1208.34	688.78	8658.09	4836.35	4704.07	7230.1	7081.29	3716.2	3716.2	3395.89	4543.8	5403.7	4268.94	4607.24	4123.49	5147.73	5517.27	3419.52	5751.61	8247.98	7130.55	6426.31	3349.13	5292.48	6516.03	4671.57	5292.48	3303.0
SERF1B	316.37	189.02	98.04	239.52	271.48	0.51	2133.97	1936.53	1594.73	1304.15	2627.46	775.05	1322.37	1322.37	1259.69	1639.59	1697.45	1477.58	1023.0	1104.13	2104.58	679.29	1819.35	1674.06	1417.35	2061.24	872.1	1001.93	890.44	1008.9	1651.0	1001.93
SF3B14	1044.52	1250.98	1477.58	1685.71	1259.69	0.92	3614.55	2591.27	1963.57	3081.75	3716.2	1806.78	2351.53	2133.97	2148.82	2240.11	2451.44	2319.15	2796.65	2178.83	3039.3	1628.26	2976.74	3325.99	3235.01	2627.46	1896.65	3081.75	2935.74	2367.9	3443.31	1963.57
SH3BGRL	409.15	356.05	366.09	217.27	392.44	0.61	3665.02	2075.59	1769.57	3103.19	3515.68	1781.89	1733.13	1844.76	1628.26	2303.12	1991.0	2434.5	2682.69	2502.97	2915.45	1617.0	2047.0	3515.68	2163.77	1883.54	1709.26	1883.54	2193.99	1883.54	2609.3	1697.45
SNX6	358.54	384.34	273.37	234.57	246.28	0.65	1259.69	921.88	884.29	1073.91	1208.34	466.88	748.61	733.19	775.05	909.17	860.08	819.3	819.3	878.17	1030.12	693.58	995.0	1388.16	961.07	878.17	836.53	808.0	878.17	866.07	915.51	688.78
SSH2	202.66	239.52	162.14	152.28	159.9	49.56	567.1	397.93	323.03	529.06	733.19	473.41	381.68	435.55	420.68	587.13	420.68	540.19	642.59	406.31	764.36	336.79	490.14	384.34	629.35	466.88	483.38	414.87	473.41	466.88	579.04	373.81
SUCLA2	267.73	420.68	236.21	269.6	201.25	0.49	1295.13	1008.9	947.83	1437.15	1350.18	595.34	830.75	674.59	780.44	890.44	1030.12	748.61	688.78	842.36	967.76	591.22	995.0	1487.87	1104.13	1104.13	723.08	860.08	974.5	995.0	896.64	708.18
TAF9	1023.0	1159.07	1175.27	1639.59	915.51	366.09	2075.59	1697.45	1583.71	1697.45	2032.85	1457.23	1519.15	1427.22	1242.34	1417.35	1745.2	1540.37	2032.85	1313.23	1745.2	1313.23	1794.29	2335.28	2664.15	1781.89	1340.84	1697.45	1832.01	2004.85	1883.54	1457.23
TATDN3	115.97	60.39	193.01	90.14	70.01	0.16	387.02	237.86	253.23	325.29	417.77	205.5	346.29	289.02	275.28	325.29	289.02	258.57	316.37	287.01	339.14	229.72	325.29	444.72	260.38	242.88	269.6	237.86	323.03	217.27	309.83	262.2
TCEAL1	579.04	493.56	149.12	281.09	289.02	0.57	1127.35	1030.12	872.1	1066.48	974.5	909.17	842.36	825.0	813.63	785.88	860.08	860.08	1096.5	769.69	974.5	764.36	878.17	1030.12	1143.1	1059.11	825.0	909.17	896.64	1175.27	1216.75	866.07
TCEAL8	376.41	376.41	277.2	186.4	444.72	0.54	2178.83	1923.14	1769.57	1685.71	1950.0	1388.16	1447.15	1250.98	1594.73	1769.57	1806.78	1551.09	1498.22	1923.14	1583.71	1191.69	1806.78	2319.15	2384.37	2148.82	1397.83	1950.0	2004.85	1909.85	1561.89	1259.69
TG	42.41	19.82	11.3	24.63	10.08	0.64	2068278.89	2247670.86	2126426.15	1751305.3	2375828.71	2111737.85	1493223.86	1739208.14	1838374.44	1984025.69	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	925580.18	1929772.37	992012.34	2636147.11	2263304.65	1238359.56	3178687.03	3886391.01	2263304.65	2672946.37	778316.89
TMBIM4	1378.57	2163.77	1674.06	1457.23	1519.15	0.87	4328.55	4575.41	3491.39	4419.52	4419.52	2520.38	3212.66	2875.3	2895.31	3146.52	3901.01	2537.92	3146.52	3060.45	4298.64	2573.36	4210.15	4903.87	4181.07	3901.01	2777.33	3540.14	4328.55	3395.89	3515.68	3235.01
TSNAX	269.6	361.04	318.57	301.33	156.59	403.5	896.64	642.59	629.35	688.78	836.53	432.53	529.06	647.07	624.99	642.59	629.35	454.09	414.87	575.03	638.15	389.72	651.58	1104.13	603.67	647.07	559.28	567.1	543.96	603.67	457.25	473.41
TWSG1	61.68	182.55	26.28	50.63	57.49	0.39	1111.82	563.18	397.93	890.44	1159.07	334.46	460.44	414.87	493.56	450.94	470.14	521.76	400.71	521.76	620.67	320.8	599.49	1159.07	480.04	595.34	285.03	432.53	529.06	575.03	409.15	368.65
VPS29	1540.37	1639.59	1519.15	1617.0	1378.57	0.85	2627.46	2417.67	2609.3	2591.27	2777.33	1896.65	2520.38	2240.11	1991.0	2573.36	2573.36	2061.24	2434.5	1991.0	2537.92	2178.83	2384.37	3540.14	2835.7	2720.15	2163.77	2915.45	2720.15	2193.99	2163.77	2209.26
