	TCGA.DK.A3WX.01A.22R.A22U.07	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A950.01A.11R.A42T.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.6954.01A.11R.1915.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A5QA.01A.11R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A94O.01A.11R.A414.31	TCGA.A5.A1OH.01A.21R.A22K.07
DIDO1	674.59	417.77	248.0	769.69	532.74	587.13	753.83	267.73	555.41	256.78	423.61	277.2	395.18	287.01	256.78	507.46	583.07	255.0	368.65	368.65	381.68	1023.0	305.55	334.46	285.03	543.96	441.64	412.0	412.0	348.71	830.75	387.02	656.11	511.0	283.05	336.79	325.29	392.44	366.09	242.88	1950.0	1498.22	607.87
DNTTIP1	1259.69	1259.69	334.46	854.13	866.07	909.17	1378.57	529.06	1259.69	420.68	759.08	470.14	785.88	733.19	612.11	698.41	1167.14	463.65	583.07	392.44	733.19	2148.82	629.35	579.04	728.11	1757.34	825.0	521.76	753.83	532.74	1388.16	629.35	1350.18	1151.06	423.61	612.11	708.18	603.67	1191.69	718.08	2468.49	2434.5	1697.45
DPM1	2255.7	1519.15	1104.13	1870.53	1467.37	1662.49	2255.7	1331.57	2796.65	1008.9	1529.73	995.0	1023.0	954.43	967.76	1781.89	2434.5	1037.29	1923.14	775.05	1467.37	3395.89	1322.37	1119.56	1175.27	2739.08	1594.73	830.75	1572.76	713.11	1794.29	1096.5	2468.49	1313.23	819.3	1378.57	1096.5	1407.55	1605.83	1191.69	2209.26	2485.67	1844.76
DSN1	693.58	403.5	414.87	842.36	420.68	518.15	679.29	164.42	397.93	175.07	303.44	194.36	260.38	139.07	133.36	256.78	417.77	130.6	232.94	186.4	287.01	529.06	131.51	220.32	186.4	651.58	387.02	205.5	780.44	211.31	579.04	242.88	733.19	323.03	98.04	218.79	212.78	303.44	426.57	187.71	656.11	785.88	1259.69
ENTPD6	2816.11	1819.35	507.46	2400.97	1151.06	1286.18	2351.53	521.76	1001.93	642.59	753.83	764.36	836.53	507.46	595.34	854.13	928.3	285.03	457.25	674.59	688.78	878.17	346.29	591.22	361.04	2400.97	1350.18	698.41	1487.87	638.15	1909.85	974.5	1781.89	1883.54	381.68	409.15	941.27	738.29	1225.22	583.07	3060.45	3901.01	1191.69
ESF1	497.0	361.04	128.79	264.03	193.01	381.68	316.37	92.05	417.77	124.37	293.07	260.38	154.42	111.99	148.09	277.2	371.22	90.77	197.09	130.6	150.17	555.41	206.94	212.78	108.9	363.56	307.69	166.73	275.28	157.68	339.14	205.5	591.22	244.57	116.78	177.53	172.65	262.2	187.71	136.19	660.68	1277.29	521.76
IDH3B	2537.92	1781.89	896.64	2895.31	2502.97	2627.46	2701.35	1769.57	3103.19	1529.73	2047.0	1225.22	2287.2	1617.0	1216.75	3589.58	2271.4	974.5	2104.58	1721.16	1709.26	3280.18	1977.24	1540.37	1277.29	3847.29	1950.0	1233.75	3349.13	1883.54	3467.27	1437.15	2451.44	1936.53	1397.83	2148.82	2004.85	1407.55	2591.27	1896.65	4543.8	3564.78	3847.29
KRT17	237899.7	334117.42	4953441.24	341137.96	370726.6	475800.4	239554.43	475800.4	408505.64	971597.0	542775.98	485798.0	589853.66	462789.59	431797.89	466008.55	716197.51	701458.36	593956.43	524287.0	524287.0	212926.09	565825.41	645473.24	513497.31	373305.21	327241.36	397335.0	546551.29	632189.57	154794.07	450134.56	122293.5	585779.24	912837.43	417089.23	546551.29	475800.4	338781.54	506427.83	656.11	1757.34	529.06
LSM14B	1417.35	669.92	432.53	1199.98	1175.27	1127.35	1447.15	444.72	878.17	532.74	728.11	633.73	748.61	460.44	493.56	587.13	1111.82	353.59	551.56	665.29	579.04	2163.77	651.58	543.96	559.28	1001.93	890.44	514.56	981.29	748.61	1143.1	802.41	1378.57	785.88	688.78	669.92	693.58	775.05	1313.23	493.56	2004.85	1639.59	1529.73
MANBAL	2417.67	1551.09	1001.93	1697.45	3190.46	2796.65	1806.78	1242.34	2178.83	1183.45	1551.09	1388.16	1540.37	1313.23	1322.37	1583.71	2271.4	854.13	1233.75	1651.0	1359.57	2485.67	1119.56	1135.2	1340.84	2682.69	2018.8	1001.93	3515.68	1583.71	2555.58	1104.13	2855.44	2400.97	1015.93	1388.16	1111.82	1572.76	2032.85	1561.89	1991.0	2520.38	5041.77
MCM8	500.46	118.43	100.13	497.0	159.9	271.48	371.22	28.24	189.02	43.32	91.41	70.51	89.51	51.35	58.71	90.14	142.01	28.24	72.52	51.71	81.14	148.09	57.89	59.97	38.95	264.03	152.28	85.22	173.85	60.39	264.03	141.02	348.71	120.94	31.0	75.11	80.01	96.68	140.04	43.63	759.08	854.13	543.96
MGME1	669.92	571.05	921.88	1051.79	371.22	1044.52	1001.93	327.56	583.07	205.5	460.44	336.79	460.44	224.97	226.54	395.18	688.78	199.85	291.04	283.05	248.0	1135.2	189.02	329.84	199.85	723.08	647.07	251.48	612.11	438.59	915.51	423.61	974.5	450.94	208.38	376.41	417.77	555.41	473.41	309.83	1359.57	1159.07	1277.29
MRGBP	934.76	764.36	327.56	1359.57	748.61	842.36	1250.98	567.1	1233.75	395.18	454.09	417.77	599.49	529.06	253.23	567.1	819.3	211.31	371.22	351.14	503.95	1199.98	379.04	363.56	603.67	1340.84	703.28	339.14	684.02	591.22	1111.82	638.15	1519.15	1477.58	346.29	223.41	409.15	463.65	961.07	318.57	1175.27	909.17	1111.82
MRPS26	2240.11	1059.11	1073.91	1561.89	2032.85	2047.0	2047.0	426.57	1529.73	616.37	1183.45	693.58	988.12	429.54	753.83	1008.9	1250.98	358.54	447.82	775.05	728.11	1819.35	563.18	796.86	532.74	1769.57	708.18	620.67	981.29	780.44	1467.37	1037.29	1572.76	2061.24	674.59	616.37	1159.07	728.11	1350.18	954.43	2417.67	3303.0	3794.3
MYBL2	1857.6	743.43	397.93	4123.49	1030.12	511.0	1529.73	285.03	802.41	547.75	432.53	379.04	884.29	438.59	463.65	642.59	842.36	121.79	414.87	336.79	819.3	1378.57	363.56	438.59	679.29	1242.34	633.73	463.65	974.5	665.29	1350.18	753.83	1407.55	1151.06	361.04	180.02	579.04	559.28	2133.97	476.71	3794.3	2895.31	1233.75
NCOA6	928.3	878.17	551.56	775.05	587.13	547.75	941.27	163.28	819.3	420.68	521.76	397.93	543.96	329.84	397.93	665.29	559.28	356.05	450.94	339.14	423.61	1529.73	518.15	271.48	483.38	703.28	791.35	480.04	1199.98	483.38	693.58	525.39	830.75	854.13	426.57	493.56	669.92	463.65	536.45	351.14	1397.83	1407.55	928.3
NDUFAF5	563.18	466.88	239.52	567.1	483.38	665.29	624.99	283.05	733.19	180.02	518.15	237.86	301.33	157.68	242.88	480.04	476.71	334.46	320.8	204.07	277.2	583.07	258.57	265.87	248.0	819.3	387.02	190.34	325.29	211.31	384.34	307.69	775.05	417.77	217.27	271.48	271.48	271.48	320.8	356.05	860.08	854.13	1051.79
NELFCD	2835.7	2047.0	954.43	2104.58	2451.44	2682.69	2664.15	884.29	2004.85	1216.75	1685.71	1295.13	1268.46	830.75	947.83	1844.76	2090.03	813.63	890.44	1733.13	1143.1	2468.49	934.76	1015.93	651.58	1819.35	1286.18	713.11	1651.0	1233.75	2417.67	961.07	2193.99	1709.26	988.12	1159.07	1015.93	1331.57	2032.85	1208.34	3690.52	4066.71	3235.01
NFS1	1088.92	703.28	480.04	1037.29	764.36	620.67	836.53	518.15	921.88	376.41	733.19	327.56	629.35	253.23	287.01	708.18	1008.9	287.01	412.0	599.49	507.46	1883.54	412.0	435.55	669.92	1104.13	651.58	332.14	1350.18	559.28	1081.39	607.87	1359.57	785.88	271.48	417.77	483.38	414.87	961.07	392.44	1909.85	1832.01	909.17
NOP56	11745.96	5147.73	2178.83	5594.3	5872.48	7180.15	5594.3	1008.9	6381.92	1896.65	4769.75	3716.2	3589.58	1369.04	1896.65	4210.15	3982.99	1583.71	2935.74	2209.26	2997.45	3146.52	3190.46	3443.31	2148.82	6337.83	4388.98	1977.24	3690.52	2609.3	6381.92	2777.33	6652.97	4481.23	1369.04	2417.67	3212.66	3665.02	3639.7	3372.43	11992.79	10368.08	11909.94
NXT1	1037.29	703.28	503.95	842.36	1088.92	1331.57	947.83	642.59	1001.93	329.84	540.19	368.65	764.36	435.55	232.94	567.1	830.75	214.27	579.04	409.15	497.0	961.07	460.44	466.88	470.14	1066.48	743.43	476.71	629.35	514.56	1096.5	493.56	988.12	1037.29	351.14	429.54	733.19	493.56	813.63	529.06	1242.34	1286.18	1561.89
PDRG1	1175.27	540.19	438.59	915.51	591.22	651.58	825.0	420.68	974.5	242.88	532.74	457.25	414.87	305.55	291.04	571.05	1015.93	295.11	265.87	435.55	343.89	1167.14	379.04	384.34	466.88	1477.58	703.28	255.0	1066.48	400.71	1030.12	323.03	1216.75	961.07	262.2	368.65	450.94	435.55	713.11	620.67	1225.22	1073.91	1340.84
PET117	444.72	400.71	123.5	503.95	208.38	229.72	466.88	182.55	567.1	137.14	329.84	212.78	260.38	123.5	237.86	273.37	371.22	146.03	209.84	181.28	191.67	575.03	186.4	232.94	148.09	480.04	303.44	171.45	493.56	208.38	389.72	255.0	447.82	366.09	115.97	197.09	301.33	228.13	450.94	185.11	836.53	1119.56	974.5
PFDN4	2004.85	1844.76	547.75	1457.23	2004.85	1896.65	2319.15	1447.15	2777.33	738.29	1143.1	836.53	1225.22	713.11	447.82	860.08	1857.6	497.0	836.53	674.59	1066.48	2915.45	733.19	733.19	1208.34	2855.44	1259.69	460.44	1059.11	638.15	1540.37	796.86	3515.68	1594.73	575.03	521.76	1051.79	878.17	1127.35	684.02	2047.0	1477.58	2004.85
PIGU	1277.29	629.35	587.13	878.17	1104.13	728.11	995.0	403.5	1135.2	473.41	656.11	361.04	607.87	361.04	435.55	651.58	836.53	305.55	323.03	547.75	500.46	1709.26	387.02	555.41	532.74	1447.15	842.36	376.41	1508.65	587.13	1081.39	493.56	1529.73	1096.5	392.44	406.31	587.13	361.04	974.5	525.39	1896.65	1769.57	921.88
POLR3F	460.44	205.5	96.01	232.94	166.73	232.94	305.55	144.01	305.55	102.25	253.23	108.14	136.19	96.01	103.69	260.38	358.54	116.78	119.26	131.51	152.28	287.01	123.5	142.01	74.58	318.57	267.73	109.66	295.11	118.43	265.87	162.14	325.29	194.36	94.01	136.19	155.5	208.38	161.02	134.3	551.56	460.44	417.77
RAE1	1628.26	759.08	591.22	1191.69	967.76	1111.82	1286.18	486.75	1051.79	612.11	954.43	629.35	819.3	703.28	651.58	1044.52	1378.57	417.77	684.02	575.03	698.41	1697.45	599.49	642.59	444.72	1167.14	1051.79	483.38	934.76	854.13	1369.04	733.19	1519.15	791.35	412.0	647.07	603.67	723.08	1277.29	753.83	2090.03	2004.85	2335.28
RALY	5517.27	3349.13	3515.68	4123.49	4450.27	4388.98	6164.49	1923.14	4210.15	2075.59	2976.74	2468.49	3515.68	2875.3	2271.4	2796.65	3540.14	1594.73	2335.28	2720.15	2609.3	5872.48	2303.12	2178.83	2855.44	5872.48	3665.02	2591.27	7695.57	2956.17	6471.02	2739.08	6250.56	4210.15	2451.44	2664.15	3060.45	2645.74	3768.09	2537.92	5255.91	5831.91	8901.53
RTFDC1	2915.45	1883.54	1331.57	2573.36	2417.67	2104.58	2956.17	1923.14	2997.45	1605.83	2061.24	1709.26	1991.0	2047.0	1583.71	2224.63	3349.13	1304.15	1594.73	1832.01	2061.24	4575.41	1977.24	1594.73	1832.01	3372.43	2384.37	1540.37	2976.74	1769.57	3665.02	1923.14	3257.52	2434.5	1467.37	1819.35	1757.34	1651.0	2351.53	1794.29	2664.15	2720.15	3716.2
SLC35C2	1467.37	1037.29	743.43	1457.23	1304.15	1119.56	1769.57	693.58	1467.37	665.29	1104.13	591.22	954.43	825.0	775.05	1175.27	1487.87	420.68	785.88	915.51	819.3	2520.38	591.22	748.61	921.88	2061.24	1008.9	723.08	1151.06	884.29	2400.97	988.12	2163.77	1111.82	612.11	909.17	753.83	941.27	1477.58	848.22	2451.44	1991.0	1540.37
SNRPB	10440.2	9409.14	8247.98	11909.94	11504.21	11992.79	11909.94	5872.48	13215.02	6294.04	6840.04	4639.29	6250.56	5791.62	5441.3	6516.03	10959.3	3928.15	5329.3	4010.71	7642.41	12589.08	6294.04	6607.01	5329.3	16269.83	8598.28	4481.23	10659.59	7485.11	12244.81	6037.61	15392.14	12502.12	5479.15	6294.04	8305.36	6471.02	10733.74	7749.1	14663.09	17681.08	14765.09
SNRPB2	2075.59	1340.84	511.0	1277.29	1175.27	1350.18	1322.37	743.43	2148.82	607.87	1183.45	909.17	1059.11	698.41	466.88	819.3	1721.16	551.56	775.05	575.03	759.08	1508.65	665.29	813.63	620.67	1832.01	1096.5	642.59	1519.15	679.29	1467.37	698.41	2485.67	1388.16	571.05	743.43	1096.5	995.0	780.44	802.41	2485.67	3257.52	3768.09
SNX5	4298.64	3190.46	1794.29	2209.26	2032.85	2816.11	3665.02	1561.89	3303.0	1268.46	2701.35	2119.22	1781.89	1583.71	1437.15	2434.5	3060.45	1159.07	2240.11	1651.0	1733.13	2682.69	2400.97	1709.26	1529.73	2555.58	2319.15	1242.34	2133.97	1870.53	2895.31	1896.65	3589.58	2895.31	1540.37	2061.24	2434.5	2047.0	2520.38	1674.06	6652.97	5711.87	4038.61
SPATA2	293.07	220.32	116.78	202.66	159.9	157.68	256.78	56.28	155.5	106.63	195.72	111.21	151.22	98.04	142.01	181.28	215.77	77.79	111.99	139.07	155.5	346.29	157.68	126.12	127.0	269.6	169.07	145.02	181.28	178.77	348.71	161.02	209.84	189.02	121.79	142.01	166.73	132.44	166.73	102.97	808.0	825.0	301.33
TASP1	223.41	177.53	122.64	195.72	183.82	232.94	275.28	119.26	229.72	138.1	138.1	95.34	67.59	96.01	108.14	158.79	221.86	63.0	163.28	122.64	112.77	277.2	128.79	98.04	81.14	271.48	177.53	126.12	215.77	117.6	249.73	120.94	299.25	121.79	71.0	112.77	125.24	141.02	143.01	107.38	656.11	587.13	287.01
TMEM223	698.41	444.72	220.32	429.54	718.08	591.22	450.94	271.48	769.69	232.94	341.51	183.82	563.18	241.19	258.57	295.11	476.71	123.5	269.6	271.48	497.0	848.22	244.57	271.48	305.55	656.11	426.57	191.67	532.74	417.77	450.94	395.18	802.41	825.0	194.36	279.14	476.71	353.59	688.78	275.28	656.11	738.29	1322.37
TTI1	511.0	329.84	224.97	518.15	334.46	316.37	417.77	142.01	325.29	178.77	299.25	175.07	381.68	171.45	126.12	209.84	332.14	108.9	171.45	246.28	237.86	441.64	124.37	173.85	262.2	406.31	323.03	183.82	591.22	297.17	703.28	181.28	454.09	368.65	148.09	214.27	279.14	223.41	305.55	169.07	1127.35	1199.98	638.15
UBE2C	5329.3	4066.71	1651.0	4210.15	4038.61	1487.87	4181.07	543.96	3124.78	483.38	1277.29	941.27	3820.7	934.76	698.41	947.83	1781.89	189.02	884.29	325.29	2178.83	3280.18	633.73	1208.34	2287.2	4543.8	1407.55	599.49	1151.06	1757.34	4095.0	1540.37	5006.93	4769.75	563.18	819.3	2468.49	1066.48	3589.58	1286.18	8963.45	8538.88	6207.38
UQCC1	902.89	525.39	384.34	466.88	493.56	555.41	775.05	414.87	583.07	256.78	651.58	318.57	414.87	267.73	332.14	633.73	802.41	346.29	463.65	426.57	457.25	642.59	182.55	463.65	435.55	915.51	579.04	312.0	1208.34	493.56	1225.22	403.5	748.61	764.36	190.34	473.41	507.46	373.81	547.75	395.18	1427.22	503.95	603.67
VPS16	1059.11	830.75	327.56	1467.37	733.19	656.11	1199.98	514.56	1059.11	466.88	769.69	483.38	872.1	460.44	444.72	669.92	703.28	599.49	432.53	633.73	647.07	1044.52	536.45	587.13	447.82	1340.84	830.75	603.67	825.0	426.57	1167.14	743.43	1313.23	780.44	480.04	529.06	633.73	511.0	698.41	599.49	1617.0	1540.37	1685.71
ZNF343	293.07	109.66	113.56	186.4	170.25	236.21	226.54	63.89	159.9	105.15	144.01	103.69	154.42	80.57	75.64	165.57	125.24	77.79	87.03	118.43	92.05	198.47	71.0	126.12	51.35	199.85	157.68	101.54	126.12	137.14	205.5	85.22	236.21	221.86	76.17	110.43	132.44	111.99	127.89	73.03	395.18	480.04	312.0
